"S1808-86942016000100001-scl","The judicialization of the medical act","Campos, Roberto Augusto de Carvalho, Camargo, Rosmari Aparecida Elias, Neves, Luciano Rodrigues","Brazilian Journal of Otorhinolaryngology; 82(1); 1-2","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100001&lang=pt" 
"S0100-39842016000100003-scl","Fine-needle aspiration of axillary lymph nodes: a change of paradigm in the approach to axillary compromise?","Urban, Linei A. B. D.","Radiologia Brasileira; 49(1); IX-IX","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100003&lang=pt" 
"S0100-39842016000100001-scl","Imaging evaluation in metabolic syndrome: beyond steatosis","Zapparoli, Maurício","Radiologia Brasileira; 49(1); V-VI","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100001&lang=pt" 
"S0100-39842016000100056-scl","Tracheobronchopathia osteochondroplastica: computed tomography, bronchoscopy and histopathological findings","Ribeiro, Gabriela Maria Ribeiro e, Natal, Marcelo Ricardo Canuto, Silva, Eduardo Felipe, Freitas, Sabrina Cardoso, Moraes, Waldete Cabral, Maciel, Fernanda Cunha","Radiologia Brasileira; 49(1); 56-57","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100056&lang=pt" 
"S0482-50042016000100079-scl","Piomiosite no lúpus eritematoso sistêmico juvenil","Blay, Gabriela, Ferriani, Mariana P.L., Buscatti, Izabel M., França, Camila M.P., Campos, Lucia M.A., Silva, Clovis A.","Revista Brasileira de Reumatologia; 56(1); 79-81","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100079&lang=pt" 
"S0100-39842016000100058-scl","Posterior reversible encephalopathy syndrome following immunoglobulin therapy in a patient with Miller-Fisher syndrome","Ribeiro, Bruno Niemeyer de Freitas, Salata, Tiago Medina, Borges, Rafael Silveira, Marchiori, Edson","Radiologia Brasileira; 49(1); 58-59","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100058&lang=pt" 
"S0482-50042016000100086-scl","Anormalidades esqueléticas da síndrome tricorrinofalangiana tipo I","Barros, Guilherme Monteiro de, Kakehasi, Adriana Maria","Revista Brasileira de Reumatologia; 56(1); 86-89","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100086&lang=pt" 
"S0100-39842016000100061-scl","Bilateral elastofibroma dorsi","Pessoa, Juliana, Sasso, Aline Amaral Dal, Barreto, Miriam Menna, Zanetti, Gláucia Maria Ribeiro, Marchiori, Edson","Radiologia Brasileira; 49(1); 61-61","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100061&lang=pt" 
"S0100-39842016000100043-scl","Hyperechoic breast lesions: anatomopathological correlation and differential sonographic diagnosis","Medeiros, Marcelo Menezes, Graziano, Luciana, Souza, Juliana Alves de, Guatelli, Camila Souza, Poli, Miriam Rosalina B., Yoshitake, Rafael","Radiologia Brasileira; 49(1); 43-48","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100043&lang=pt" 
"S0100-39842016000100006-scl","Diagnostic underestimation of atypical ductal hyperplasia and ductal carcinoma in situ at percutaneous core needle and vacuum-assisted biopsies of the breast in a Brazilian reference institution","Badan, Gustavo Machado, Roveda Júnior, Decio, Piato, Sebastião, Fleury, Eduardo de Faria Castro, Campos, Mário Sérgio Dantas, Pecci, Carlos Alberto Ferreira, Ferreira, Felipe Augusto Trocoli, D&#039;Ávila, Camila","Radiologia Brasileira; 49(1); 6-11","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100006&lang=pt" 
"S0482-50042016000100082-scl","Morfeia generalizada em uma criança com ictiose arlequim, uma associação rara","Giacomin, Maria F.A., França, Camila M.P., Oliveira, Zilda N.P., Machado, Maria C.R., Sallum, Adriana M.E., Silva, Clovis A.","Revista Brasileira de Reumatologia; 56(1); 82-85","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100082&lang=pt" 
"S0100-39842016000100012-scl","Receiver operating characteristic (ROC) curve for classification of18F-NaF uptake on PET/CT","Valadares, Agnes Araujo, Duarte, Paulo Schiavom, Carvalho, Giovanna, Ono, Carla Rachel, Coura-Filho, George Barberio, Sado, Heitor Naoki, Sapienza, Marcelo Tatit, Buchpiguel, Carlos Alberto","Radiologia Brasileira; 49(1); 12-16","Radiologia Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100012&lang=pt" 
"S0482-50042016000100008-scl","Análise das propriedades psicométricas do American Orthopaedic Foot and Ankle Society Score (Aofas) em pacientes com artrite reumatoide: aplicação do modelo Rasch","Conceição, Cristiano Sena da, Gomes Neto, Mansueto, Costa Neto, Anolino, Mendes, Selena M.D, Baptista, Abrahão Fontes, Sá, Kátia Nunes","Revista Brasileira de Reumatologia; 56(1); 8-13","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100008&lang=pt" 
"S0482-50042016000100052-scl","Diretrizes de conduta e tratamento de síndromes febris periódicas: síndrome de febre periódica, estomatite aftosa, faringite e adenite","Terreri, Maria Teresa R.A., Bernardo, Wanderley Marques, Len, Claudio Arnaldo, Silva, Clovis Artur Almeida da, Magalhães, Cristina Medeiros Ribeiro de, Sacchetti, Silvana B., Ferriani, Virgínia Paes Leme, Piotto, Daniela Gerent Petry, Cavalcanti, André de Souza, Moraes, Ana Júlia Pantoja de, Sztajnbok, Flavio Roberto, Oliveira, Sheila Knupp Feitosa de, Campos, Lucia Maria Arruda, Bandeira, Marcia, Santos, Flávia Patricia Sena Teixeira, Magalhães, Claudia Saad","Revista Brasileira de Reumatologia; 56(1); 52-57","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100052&lang=pt" 
"S0100-39842016000100004-scl","Prevalence and sonographic changes compatible with fatty liver disease in patients referred for abdominal ultrasound examination in Aracaju, SE","Cruz, Josilda Ferreira, Cruz, Mário Augusto Ferreira, Machado Neto, José, Santana, Demetrius Silva de, Oliveira, Cristiane Costa da Cunha, Lima, Sônia Oliveira","Radiologia Brasileira; 49(1); 1-5","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100004&lang=pt" 
"S0100-39842016000100035-scl","Solitary pulmonary nodule and 18F-FDG PET/CT. Part 1: epidemiology, morphological evaluation and cancer probability","Mosmann, Marcos Pretto, Borba, Marcelle Alves, Macedo, Francisco Pires Negromonte de, Liguori, Adriano de Araujo Lima, Villarim Neto, Arthur, Lima, Kenio Costa de","Radiologia Brasileira; 49(1); 35-42","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100035&lang=pt" 
"S0482-50042016000100014-scl","Influência das comorbidades na capacidade funcional de pacientes com artrite reumatoide","Marques, Wanessa Vieira, Cruz, Vitor Alves, Rego, Jozelia, Silva, Nilzio Antonio da","Revista Brasileira de Reumatologia; 56(1); 14-21","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100014&lang=pt" 
"S0482-50042016000100022-scl","Qualidade de vida nas espondiloartrites: análise de uma grande coorte brasileira","Ribeiro, Sandra L.E., Albuquerque, Elisa N., Bortoluzzo, Adriana B., Gonçalves, Célio R., Silva, José Antonio Braga da, Ximenes, Antonio Carlos, Bértolo, Manoel B., Keiserman, Mauro, Menin, Rita, Skare, Thelma L., Carneiro, Sueli, Azevedo, Valderílio F., Vieira, Walber P., Bianchi, Washington A., Bonfiglioli, Rubens, Campanholo, Cristiano, Carvalho, Hellen M.S., Costa, Izaias P., Duarte, Angela L.B. Pinto, Kohem, Charles L., Leite, Nocy H., Lima, Sonia A.L., Meirelles, Eduardo S., Pereira, Ivânio A., Pinheiro, Marcelo M., Polito, Elizandra, Resende, Gustavo G., Rocha, Francisco Airton C., Santiago, Mittermayer B., Sauma, Maria de Fátima L.C., Valim, Valéria, Sampaio-Barros, Percival D.","Revista Brasileira de Reumatologia; 56(1); 22-27","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100022&lang=pt" 
"S0482-50042016000100002-scl","Correlação entre a síndrome antifosfolipídica e a crioglobulinemia: série de quatro casos e revisão da literatura","Shachaf, Shiber, Yair, Molad","Revista Brasileira de Reumatologia; 56(1); 2-7","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100002&lang=pt" 
"S0482-50042016000100028-scl","Linfócitos Th17 e linfócitos T CD4+ multifuncionais em pacientes com lúpus eritematoso sistêmico","Araújo, Júlio Antônio Pereira, Mesquita Jr., Danilo, Cruvinel, Wilson de Melo, Salmazi, Karina Inácio, Kallás, Esper Georges, Andrade, Luis Eduardo Coelho","Revista Brasileira de Reumatologia; 56(1); 28-36","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100028&lang=pt" 
"S0100-39842016000100017-scl","Strategies to evaluate the impact of rectal volume on prostate motion during three-dimensional conformal radiotherapy for prostate cancer","Poli, Ana Paula Diniz Fortuna, Dias, Rodrigo Souza, Giordani, Adelmo José, Segreto, Helena Regina Comodo, Segreto, Roberto Araujo","Radiologia Brasileira; 49(1); 17-20","Radiologia Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100017&lang=pt" 
"S0100-39842016000100063-scl","Mesothelioma of the tunica vaginalis in a patient with giant hydrocele","Montón, Cecilia Santos, Esparza, José Federico Ojeda, Ventura, André Barbosa, Izquierdo, Manuela Martín, Plaza, Patricia Antúnez, Polo, Manuel Herrero","Radiologia Brasileira; 49(1); 63-64","Radiologia Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100063&lang=pt" 
"S0100-39842016000100059-scl","Pulmonary paracoccidioidomycosis showing reversed halo sign with nodular/coarse contour","Queiroz, Rodolfo Mendes, Gomes, Michela Prestes, Valentin, Marcus Vinicius Nascimento","Radiologia Brasileira; 49(1); 59-60","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100059&lang=pt" 
"S0100-39842016000100002-scl","Cardiac MRI and CT: the eyes to visualize coronary arterial disease and their effect on the prognosis explained by the Schrödinger&#039;s cat paradox","Rochitte, Carlos E.","Radiologia Brasileira; 49(1); VII-VIII","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100002&lang=pt" 
"S0100-39842016000100057-scl","Giant pedunculated hemangioma of the liver","Candido, Paula de Castro Menezes, Pereira, Izabela Machado Flores, Matos, Breno Assunção, Fontes, Mario Henrique Giordano, Pires, Teófilo Eduardo de Abreu, Costa, Petrônio Rabelo","Radiologia Brasileira; 49(1); 57-58","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100057&lang=pt" 
"S0482-50042016000100058-scl","Associação de imunodeficiência primária com lúpus eritematoso sistêmico: revisão da literatura e as lições aprendidas pela Divisão de Reumatologia de um hospital universitário terciário em São Paulo","Errante, Paolo Ruggero, Perazzio, Sandro Félix, Frazão, Josias Brito, Silva, Neusa Pereira da, Andrade, Luis Eduardo Coelho","Revista Brasileira de Reumatologia; 56(1); 58-68","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100058&lang=pt" 
"S0100-39842016000100026-scl","Cardiac magnetic resonance imaging and computed tomography in ischemic cardiomyopathy: an update","Assunção, Fernanda Boldrini, Oliveira, Diogo Costa Leandro de, Souza, Vitor Frauches, Nacif, Marcelo Souto","Radiologia Brasileira; 49(1); 26-34","Radiologia Brasileira","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842016000100026&lang=pt" 
"S0482-50042016000100037-scl","Diretrizes de conduta e tratamento de síndromes febris periódicas associadas a febre familiar do Mediterrâneo","Terreri, Maria Teresa R.A., Bernardo, Wanderley Marques, Len, Claudio Arnaldo, Silva, Clovis Artur Almeida da, Magalhães, Cristina Medeiros Ribeiro de, Sacchetti, Silvana B., Ferriani, Virgínia Paes Leme, Piotto, Daniela Gerent Petry, Cavalcanti, André de Souza, Moraes, Ana Júlia Pantoja de, Sztajnbok, Flavio Roberto, Oliveira, Sheila Knupp Feitosa de, Campos, Lucia Maria Arruda, Bandeira, Marcia, Santos, Flávia Patricia Sena Teixeira, Magalhães, Claudia Saad","Revista Brasileira de Reumatologia; 56(1); 37-43","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100037&lang=pt" 
"S0482-50042016000100044-scl","Diretrizes de conduta e tratamento de síndromes febris periódicas associadas à criopirina (criopirinopatias – CAPS)","Terreri, Maria Teresa R.A., Bernardo, Wanderley Marques, Len, Claudio Arnaldo, Silva, Clovis Artur Almeida da, Magalhães, Cristina Medeiros Ribeiro de, Sacchetti, Silvana B., Ferriani, Virgínia Paes Leme, Piotto, Daniela Gerent Petry, Cavalcanti, André de Souza, Moraes, Ana Júlia Pantoja de, Sztajnbok, Flavio Roberto, Oliveira, Sheila Knupp Feitosa de, Campos, Lucia Maria Arruda, Bandeira, Marcia, Santos, Flávia Patricia Sena Teixeira, Magalhães, Claudia Saad","Revista Brasileira de Reumatologia; 56(1); 44-51","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100044&lang=pt" 
"S0482-50042016000100069-scl","Aspectos psicológicos da síndrome da fibromialgia juvenil: revisão de literatura","Goulart, Rubens, Pessoa, Cinthia, Lombardi Junior, Império","Revista Brasileira de Reumatologia; 56(1); 69-74","Revista Brasileira de Reumatologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042016000100069&lang=pt" 
"S0038-23532016000100008-sza","What separates them from us?","Slotow, Rob","South African Journal of Science; 112(1-2); 01-02","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100008&lang=pt" 
"S0038-23532016000100005-sza","Brave old world: Can today&#039;s university truly be &#039;home&#039; to tomorrow&#039;s minds?","Wright, Laurence","South African Journal of Science; 112(1-2); 1-2","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100005&lang=pt" 
"S0038-23532016000100007-sza","Participatory democracy for our time","Egan, Anthony","South African Journal of Science; 112(1-2); 01-02","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100007&lang=pt" 
"S0038-23532016000100010-sza","Safe spending rates for South African retirees","Maré, Eben","South African Journal of Science; 112(1-2); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000100010&lang=pt" 
"S1808-86942016000100105-scl","Rhinitis and pregnancy: literature review","Caparroz, Fábio Azevedo, Gregorio, Luciano Lobato, Bongiovanni, Giuliano, Izu, Suemy Cioffi, Kosugi, Eduardo Macoto","Brazilian Journal of Otorhinolaryngology; 82(1); 105-111","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100105&lang=pt" 
"S1808-86942016000100056-scl","The influence of (central) auditory processing disorder in speech sound disorders","Barrozo, Tatiane Faria, Pagan-Neves, Luciana de Oliveira, Vilela, Nadia, Carvallo, Renata Mota Mamede, Wertzner, Haydée Fiszbein","Brazilian Journal of Otorhinolaryngology; 82(1); 56-64","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100056&lang=pt" 
"S1808-86942016000100011-scl","Morphological analysis of the vestibular system of guinea pigs poisoned by organophosphate","Cogo, Lícia Assunção, Santos Filha, Valdete Alves Valentins dos, Murashima, Adriana de Andrade Batista, Hyppolito, Miguel Angelo, Silveira, Aron Ferreira da","Brazilian Journal of Otorhinolaryngology; 82(1); 11-16","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100011&lang=pt" 
"S1808-86942016000100076-scl","Intensive care unit: results of the Newborn Hearing Screening","Rechia, Inaê Costa, Liberalesso, Kátia Pase, Angst, Otília Valéria Melchiors, Mahl, Fernanda Donato, Garcia, Michele Vargas, Biaggio, Eliara Pinto Vieira","Brazilian Journal of Otorhinolaryngology; 82(1); 76-81","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100076&lang=pt" 
"S1808-86942016000100039-scl","Acoustic analysis of oropharyngeal swallowing using Sonar Doppler","Soria, Franciele Savaris, Silva, Roberta Gonçalves da, Furkim, Ana Maria","Brazilian Journal of Otorhinolaryngology; 82(1); 39-46","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100039&lang=pt" 
"S1808-86942016000100065-scl","Cancer treatment in determination of hearing loss","Oliveira, Priscila Feliciano de, Oliveira, Camila Silva, Andrade, Joice Santos, Santos, Tamara Figueiredo do Carmo, Oliveira-Barreto, Aline Cabral de","Brazilian Journal of Otorhinolaryngology; 82(1); 65-69","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100065&lang=pt" 
"S1808-86942016000100003-scl","The effects of concurrent cognitive tasks on postural sway in healthy subjects","Mujdeci, Banu, Turkyilmaz, Didem, Yagcioglu, Suha, Aksoy, Songul","Brazilian Journal of Otorhinolaryngology; 82(1); 3-10","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100003&lang=pt" 
"S1808-86942016000100070-scl","Hearing performance and voice acoustics of cochlear implanted children","Coelho, Ana Cristina, Brasolotto, Alcione Ghedino, Bevilacqua, Maria Cecília, Moret, Adriane Lima Mortari, Bahmad Júnior, Fayez","Brazilian Journal of Otorhinolaryngology; 82(1); 70-75","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100070&lang=pt" 
"S1808-86942016000100088-scl","Laryngoscopy evaluation protocol for the differentiation of essential and dystonic voice tremor","Moraes, Bruno Teixeira de, Biase, Noemi Grigoletto de","Brazilian Journal of Otorhinolaryngology; 82(1); 88-96","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100088&lang=pt" 
"S1808-86942016000100033-scl","Association between maxillary sinus pathologies and healthy teeth","Roque-Torres, Gina D., Ramirez-Sotelo, Laura Ricardina, Vaz, Sergio Lins de Azevedo, Bóscolo, Solange Maria de Almeida de, Bóscolo, Frab Norberto","Brazilian Journal of Otorhinolaryngology; 82(1); 33-38","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100033&lang=pt" 
"S1808-86942016000100097-scl","Tinnitus and cell phones: the role of electromagnetic radiofrequency radiation","Medeiros, Luisa Nascimento, Sanchez, Tanit Ganz","Brazilian Journal of Otorhinolaryngology; 82(1); 97-104","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942016000100097&lang=pt" 
"S0021-75572016000100073-scl","A short form of the neonatal intensive care unit family needs inventory","Alves, Elisabete, Severo, Milton, Amorim, Mariana, Grande, Catarina, Silva, Susana","Jornal de Pediatria; 92(1); 73-80","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100073&lang=pt" 
"S0021-75572016000100053-scl","The mediator role of psychological morbidity on sleep and health behaviors in adolescents","Pucci, Silvia Helena Modenesi, Pereira, Maria da Graça","Jornal de Pediatria; 92(1); 53-57","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100053&lang=pt" 
"S0021-75572016000100058-scl","Characterization of a group unrelated patients with arthrogryposis multiplex congenita","Valdés-Flores, Margarita, Casas-Avila, Leonora, Hernández-Zamora, Edgar, Kofman, Susana, Hidalgo-Bravo, Alberto","Jornal de Pediatria; 92(1); 58-64","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100058&lang=pt" 
"S0021-75572016000100065-scl","Parents&#039; perception of health-related quality of life in children and adolescents with excess weight","Nascimento, Melissa Maria Romero, Melo, Tatiana Rocha, Pinto, Rogério Melo Costa, Morales, Nívea Macedo Oliveira, Mendonça, Tânia Maria Silva, Paro, Helena Borges Martins da Silva, Silva, Carlos Henrique Martins","Jornal de Pediatria; 92(1); 65-72","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100065&lang=pt" 
"S0021-75572016000100046-scl","Deuterium oxide dilution and body composition in overweight and obese schoolchildren aged 6-9 years","Bila, Wendell Costa, Freitas, André Everton de, Galdino, Alexsandro Sobreira, Ferriolli, Eduardo, Pfrimer, Karina, Lamounier, Joel Alves","Jornal de Pediatria; 92(1); 46-52","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100046&lang=pt" 
"S0021-75572016000100040-scl","Hospitalizations and deaths due to pertussis in children from 1996 to 2013☆","Mançaneira, Janayne F., Benedetti, Juliana R., Zhang, Linjie","Jornal de Pediatria; 92(1); 40-45","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000100040&lang=pt" 
