"S0103-90162015000500432-scl","Composting sewage sludge with green waste from tree pruning","Moretti, Sarah Mello Leite, Bertoncini, Edna Ivani, Abreu-Junior, Cassio Hamilton","Scientia Agricola; 72(5); 432-439","Scientia Agricola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162015000500432&lang=pt" 
"S1413-81232015001003033-spa","Equipe de saúde: negociações e limites da autonomia, pertencimento e reconhecimento do outro","Silva, Elaine Menezes da, Moreira, Martha Cristina Nunes","Ciência &amp; Saúde Coletiva; 20(10); 3033-3042","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003033&lang=pt" 
"S1413-81232015001003043-spa","A flexibilização das relações de trabalho na saúde: a realidade de um Hospital Universitário Federal","Alves, Sheila Maria Parreira, Coelho, Maria Carlota de Rezende, Borges, Luiz Henrique, Cruz, César Albenes de Mendonça, Massaroni, Leila, Maciel, Paulete Maria Ambrósio","Ciência &amp; Saúde Coletiva; 20(10); 3043-3050","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003043&lang=pt" 
"S1413-81232015001003051-spa","A arte do improviso: o processo de trabalho dos gestores de um Hospital Universitário Federal","Littike, Denilda, Sodré, Francis","Ciência &amp; Saúde Coletiva; 20(10); 3051-3062","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003051&lang=pt" 
"S1413-81232015001003063-spa","Entre &quot;feudos&quot; e cogestão: paradoxos da autonomia em uma experiência de democratização da gestão no âmbito hospitalar","Silva, Atila Mendes da, Sá, Marilene de Castilho, Miranda, Lilian","Ciência &amp; Saúde Coletiva; 20(10); 3063-3072","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003063&lang=pt" 
"S1413-81232015001003073-spa","Configuração das práticas de inovação na atenção primária à saúde: estudo de caso","Nodari, Cristine Hermann, Camargo, Maria Emilia, Olea, Pelayo Munhoz, Dorion, Eric Charles Henri, Claus, Suzete Marchetto","Ciência &amp; Saúde Coletiva; 20(10); 3073-3086","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003073&lang=pt" 
"S1413-81232015001003087-spa","Estresse ocupacional e satisfação dos usuários com os cuidados de saúde primários em Portugal","Roque, Hugo, Veloso, Ana, Silva, Isabel, Costa, Patrício","Ciência &amp; Saúde Coletiva; 20(10); 3087-3097","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003087&lang=pt" 
"S1413-81232015001003099-spa","Hortas comunitárias como atividade promotora de saúde: uma experiência em Unidades Básicas de Saúde","Costa, Christiane Gasparini Araújo, Garcia, Mariana Tarricone, Ribeiro, Silvana Maria, Salandini, Marcia Fernanda de Sousa, Bógus, Cláudia Maria","Ciência &amp; Saúde Coletiva; 20(10); 3099-3110","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003099&lang=pt" 
"S1413-81232015001003111-spa","A Interface entre a Atenção Primária e os Serviços Odontológicos de Urgência (SOU) no SUS: a interface entre níveis de atenção em saúde bucal","Austregésilo, Silvia Carréra, Leal, Márcia Carréra Campos, Figueiredo, Nilcema, Góes, Paulo Sávio Angeiras de","Ciência &amp; Saúde Coletiva; 20(10); 3111-3120","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003111&lang=pt" 
"S1413-81232015001003121-spa","Necessidade e alocação de laboratórios regionais de prótese dentária no Brasil: um estudo exploratório","Aguiar, Violeta Rodrigues, Celeste, Roger Keller","Ciência &amp; Saúde Coletiva; 20(10); 3121-3128","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003121&lang=pt" 
"S1413-81232015001003129-spa","O valor social dos dentes e o acesso aos serviços odontológicos","Fonseca, Luciara Leão Viana, Nehmy, Rosa Maria Quadros, Mota, Joaquim Antônio César","Ciência &amp; Saúde Coletiva; 20(10); 3129-3138","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003129&lang=pt" 
"S1413-81232015001003139-spa","Considerações sobre a acessibilidade nos Centros de Atenção Psicossocial no Brasil","Costa, Nilson do Rosário, Corrêa, Suzane Gattass de Paula, Silva, Paulo Roberto Fagundes da","Ciência &amp; Saúde Coletiva; 20(10); 3139-3150","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003139&lang=pt" 
"S1413-81232015001003151-spa","Práticas assistenciais em saúde mental na atenção primária à saúde: análise a partir de experiências desenvolvidas em Florianópolis, Brasil","Frosi, Raquel Valiente, Tesser, Charles Dalcanale","Ciência &amp; Saúde Coletiva; 20(10); 3151-3161","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003151&lang=pt" 
"S1413-81232015001003163-spa","Uma análise da prevenção do câncer de mama no Brasil","Rodrigues, Juliana Dantas, Cruz, Mércia Santos, Paixão, Adriano Nascimento","Ciência &amp; Saúde Coletiva; 20(10); 3163-3176","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003163&lang=pt" 
"S1413-81232015001003177-spa","Patient delays and system delays in breast cancer treatment in developed and developing countries","Freitas, Angela Gabrielly Quirino, Weller, Mathias","Ciência &amp; Saúde Coletiva; 20(10); 3177-3189","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003177&lang=pt" 
"S1413-81232015001003199-spa","O modelo de atenção diferenciada nos Distritos Sanitários Especiais Indígenas: reflexões a partir do Alto Rio Negro/AM, Brasil","Pontes, Ana Lucia de Moura, Rego, Sergio, Garnelo, Luiza","Ciência &amp; Saúde Coletiva; 20(10); 3199-3210","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003199&lang=pt" 
"S1413-81232015001003211-spa","Estudos de custo-efetividade em saúde no Brasil: uma revisão sistemática","Moraz, Gabriele, Garcez, Anderson da Silva, Assis, Eliseu Miranda de, Santos, Jandira Pereira dos, Barcellos, Nêmora Tregnago, Kroeff, Locimara Ramos","Ciência &amp; Saúde Coletiva; 20(10); 3211-3229","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003211&lang=pt" 
"S1413-81232015001003243-spa","Avaliação de serviços em saúde mental no Brasil: revisão sistemática da literatura","Costa, Pedro Henrique Antunes da, Colugnati, Fernando Antonio Basile, Ronzani, Telmo Mota","Ciência &amp; Saúde Coletiva; 20(10); 3243-3253","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003243&lang=pt" 
"S1413-81232015001003255-spa","Saúde Mental: como as equipes de Saúde da Família podem integrar esse cuidado na Atenção Básica?","Gryschek, Guilherme, Pinto, Adriana Avanzi Marques","Ciência &amp; Saúde Coletiva; 20(10); 3255-3262","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003255&lang=pt" 
"S1413-81232015001003263-spa","Uso, cuidado e política das práticas integrativas e complementares na Atenção Primária à Saúde","Contatore, Octávio Augusto, Barros, Nelson Filice de, Durval, Melissa Rossati, Barrio, Pedro Cristóvão Carneiro da Cunha, Coutinho, Bernardo Diniz, Santos, Júlia Amorim, Nascimento, Juliana Luporini do, Oliveira, Silene de Lima, Peres, Silvia Miguel de Paula","Ciência &amp; Saúde Coletiva; 20(10); 3263-3273","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003263&lang=pt" 
"S1413-81232015001003275-spa","Trajetórias de Joaquim Alberto Cardoso de Melo: Quincas, Um berro à vida","Zancan, Lenira, Matida, Álvaro Hideyoshi","Ciência &amp; Saúde Coletiva; 20(10); 3275-3282","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003275&lang=pt" 
"S1684-18242015000500002-cub","Intervención educativa sobre infecciones de transmisión sexual en adolescentes","Ortíz Sánchez, Neida Loreta, Rodríguez González, Dialys Angela, Vázquez Lugo, Mercedes, Álvarez Aragón, Mileyvis, Sánchez Urra, Liudis","Revista Médica Electrónica; 37(5); 418-429","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500002&lang=pt" 
"S1684-18242015000500003-cub","Variantes anatómicas del lóbulo piramidal del tiroides","Trevín Fernández, Gisela, Casado Méndez, Pedro Rafael, Fonseca Sosa, Fernando Karen, Neyra Rodríguez, Carlos Manuel, Ferrer Macadán, Carmen Elena, Del Castillo Remón, Irene Luisa","Revista Médica Electrónica; 37(5); 430-438","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500003&lang=pt" 
"S1684-18242015000500007-cub","Rehabilitación integral del paciente con trastorno mental grave. Hospital Psiquiátrico de Matanzas","Rodríguez Cárdenas, Orestes, Martínez Hernández, Olivia, González Ledesma, Yuderkis, Rodríguez Hernández, Leydis Alina, Zamora Lombardía, Elizabeth, Sierra Muñiz, Mayte","Revista Médica Electrónica; 37(5); 479-487","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500007&lang=pt" 
"S1684-18242015000500011-cub","La familia: una visión interdisciplinaria","Martínez Vasallo, Haydee Maité","Revista Médica Electrónica; 37(5); 523-534","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500011&lang=pt" 
"S1684-18242015000500015-cub","Acercamiento a la vida y obra del Doctor Luis de la Caridad Medín Perdomo","Hernández Batista, Mary Blanca, González López, Armando, Sierra Benítez, Enrique Marcos, León Pérez, Mairiannys Quianella, Álvarez Aragón, Mileyvis, Rodriguez Gonzales, Dialys Angela","Revista Médica Electrónica; 37(5); 550-555","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500015&lang=pt" 
"S1684-18242015000500014-cub","La mujer en la dirección de las Ciencias Médicas en Colón (1982-2014)","Vázquez Lugo, Mercedes, Ortíz Sánchez, Neida Loreta, Inda Hernández, Jorge Catalino, Álvarez Aragón, Mileyvis, Rodríguez González, Dialys Ángela","Revista Médica Electrónica; 37(5); 541-549","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500014&lang=pt" 
"S1413-81232015001003283-spa","Telessaúde no Brasil – conceitos e aplicações","Pereira, Claudia Cristina Aguiar, Machado, Carla Jorge","Ciência &amp; Saúde Coletiva; 20(10); 3283-3284","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003283&lang=pt" 
"S1413-81232015001003285-spa","A detecção precoce do câncer de mama e o impacto do rastreamento mamográfico nas taxas de sobrevida","Soares, Leonardo Ribeiro, Freitas-Junior, Ruffo, Oliveira, José Carlos","Ciência &amp; Saúde Coletiva; 20(10); 3285-3286","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003285&lang=pt" 
"S1684-18242015000500006-cub","Detección precoz de pacientes con riesgo de diabetes mellitus en la atención primaria de salud","Mirabal Izquierdo, Daylín, Vega Jiménez, Junior","Revista Médica Electrónica; 37(5); 469-478","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500006&lang=pt" 
"S1684-18242015000500004-cub","Neumonía asociada a la ventilación mecánica en una unidad polivalente de cuidados intensivos","Rodríguez García, Raydel Manuel, Pérez Sarmiento, Raúl, Roura Carrasco, Juan Orlando, Basulto Barroso, Manuel","Revista Médica Electrónica; 37(5); 439-451","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500004&lang=pt" 
"S1684-18242015000500005-cub","Disfunción cerebral focal vascular en adultos mayores de la comunidad. Prevalencia, factores de riesgo aterogénico y manejo","Valhuerdi Cerero, Adolfo Juan, Llibre Guerra, Juan Jesús, Valhuerdi Porto, Camelia, Porto Alvarez, Rudbeckia Bibiana, Muñoz Rodríguez, Rodny, Muñoz Rodríguez, Milena","Revista Médica Electrónica; 37(5); 452-468","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500005&lang=pt" 
"S1684-18242015000500008-cub","Técnicas de injerto óseo alveolar en fisura labio alveolo palatina. Revisión de la literatura","Matthews Zúñiga, Francisca, Gatica, Jorge, Cartes-Velásquez, Ricardo","Revista Médica Electrónica; 37(5); 488-501","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500008&lang=pt" 
"S1684-18242015000500009-cub","Infarto agudo del miocardio más doble lesión mitral en gestante del tercer trimestre","Rodríguez García, Raydel Manuel, Pérez Sarmiento, Raúl, Roura Carrasco, Juan Orlando, López Socarrás, Yohandra","Revista Médica Electrónica; 37(5); 502-513","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500009&lang=pt" 
"S1684-18242015000500010-cub","Consideraciones acerca los métodos estadísticos y la investigación en salud","Martínez Abreu, Judit, Soler Cárdenas, Silvio Faustino, Benet Rodríguez, Mikhail, González Ferrer, Vielka, Iglesias Durruthy, Migdeala","Revista Médica Electrónica; 37(5); 514-522","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500010&lang=pt" 
"S1684-18242015000500012-cub","El proceso de autoevaluación en la Universidad de Ciencias Médicas de Matanzas, una necesidad impostergable","Placeres Hernández, José Fernando","Revista Médica Electrónica; 37(5); 535-537","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500012&lang=pt" 
"S0103-05822015010400001-scl","O questionário da Organização Mundial da Saúde na avaliação da qualidade de vida de pais de crianças com asma","Roncada, Cristian","Revista Paulista de Pediatria; 33(3); 1-1","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015010400001&lang=pt" 
"S1413-81232015001003287-spa","Errata","","Ciência &amp; Saúde Coletiva; 20(10); 3287-3287","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003287&lang=pt" 
"S1684-18242015000500013-cub","Necesidad de implementación de acciones para la acreditación en la Universidad de Ciencias Médicas de Matanzas","Martínez Abreu, Judit","Revista Médica Electrónica; 37(5); 538-540","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500013&lang=pt" 
"S1684-18242015000500001-cub","Vigilancia epidemiológica en y con la comunidad: una manera efectiva de fomentar salud","Martínez Abreu, Judit","Revista Médica Electrónica; 37(5); 416-417","Revista Médica Electrónica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242015000500001&lang=pt" 
"S1413-81232015001002930-spa","A ligação em falta no caminho para a Cobertura Universal de Saúde: a gestão","Dussault, Gilles","Ciência &amp; Saúde Coletiva; 20(10); 2930-2930","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001002930&lang=pt" 
"S1413-81232015001003191-spa","Análise do perfil de pacientes com HIV/Aids hospitalizados após introdução da terapia antirretroviral (HAART)","Nunes, Altacílio Aparecido, Caliani, Laís Scalone, Nunes, Maíra Souza, Silva, Anderson Soares da, Mello, Luane Marques de","Ciência &amp; Saúde Coletiva; 20(10); 3191-3198","Ciência &amp; Saúde Coletiva","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015001003191&lang=pt" 
"S1679-87592015010400001-scl","Invasive crustaceans peracarids help to evaluate coastal ecosystem","Fricke, Anna","Brazilian Journal of Oceanography; 63(3); 1-1","Brazilian Journal of Oceanography","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592015010400001&lang=pt" 
"S0100-879X2015001000005-scl","Introduction to the IX Meeting of the &quot;Sociedade Brasileira de Biociências Nucleares&quot;. Caxambu, MG, Brazil, August 27-30, 2014","Oliveira, Silvia Maria Velasques de","Brazilian Journal of Medical and Biological Research; 48(10); -","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000005&lang=pt" 
"S0100-879X2015001000010-scl","Evaluation of 99mTc-HYNIC-βAla-Bombesin(7-14) as an agent for pancreas tumor detection in mice","Carlesso, F.N., Fuscaldi, L.L., Araújo, R.S., Teixeira, C.S., Oliveira, M.C., Fernandes, S.O.A., Cassali, G.D., Reis, D.C., Barros, A.L.B., Cardoso, V.N.","Brazilian Journal of Medical and Biological Research; 48(10); 923-928","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000010&lang=pt" 
"S0100-879X2015001000011-scl","Nucleotide excision repair pathway assessment in DNA exposed to low-intensity red and infrared lasers","Fonseca, A.S., Campos, V.M.A., Magalhães, L.A.G., Paoli, F.","Brazilian Journal of Medical and Biological Research; 48(10); 929-938","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000011&lang=pt" 
"S0100-879X2015001000012-scl","Low-level red laser therapy alters effects of ultraviolet C radiation on Escherichia coli cells","Canuto, K.S., Sergio, L.P.S., Guimarães, O.R., Geller, M., Paoli, F., Fonseca, A.S.","Brazilian Journal of Medical and Biological Research; 48(10); 939-944","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000012&lang=pt" 
"S0100-879X2015001000013-scl","Low-intensity red and infrared laser effects at high fluences on Escherichia coli cultures","Barboza, L.L., Campos, V.M.A., Magalhães, L.A.G., Paoli, F., Fonseca, A.S.","Brazilian Journal of Medical and Biological Research; 48(10); 945-952","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000013&lang=pt" 
"S0100-879X2015001000009-scl","Long-term correlation of the electrocorticogram as a bioindicator of brain exposure to ionizing radiation","Aguiar, L.A.A., Silva, I.M.S., Fernandes, T.S., Nogueira, R.A.","Brazilian Journal of Medical and Biological Research; 48(10); 915-922","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000009&lang=pt" 
"S0100-879X2015001000008-scl","A dose-response curve for biodosimetry from a 6 MV electron linear accelerator","Lemos-Pinto, M.M.P., Cadena, M., Santos, N., Fernandes, T.S., Borges, E., Amaral, A.","Brazilian Journal of Medical and Biological Research; 48(10); 908-914","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000008&lang=pt" 
"S0100-879X2015001000003-scl","Correlations between forced oscillation technique parameters and pulmonary densitovolumetry values in patients with acromegaly","Camilo, G.B., Carvalho, A.R.S., Machado, D.C., Mogami, R., Kasuki, L., Gadelha, M.R., Melo, P.L., Lopes, A.J.","Brazilian Journal of Medical and Biological Research; 48(10); 877-885","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000003&lang=pt" 
"S0100-879X2015001000002-scl","Salvaged single-unit cord blood transplantation for 26 patients with hematologic malignancies not in remission","Yao, W., Zheng, C.C., Liu, H.L., Geng, L.Q., Tang, B.L., Tong, J., Zhu, X.Y., Song, K.D., Qiang, P., Sun, Z.M.","Brazilian Journal of Medical and Biological Research; 48(10); 871-876","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000002&lang=pt" 
"S0100-879X2015001000001-scl","Protective effects of tumor necrosis factor-α blockade by adalimumab on articular cartilage and subchondral bone in a rat model of osteoarthritis","Ma, C.H., Lv, Q., Yu, Y.X., Zhang, Y., Kong, D., Niu, K.R., Yi, C.Q.","Brazilian Journal of Medical and Biological Research; 48(10); 863-870","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000001&lang=pt" 
"S0100-879X2015001000006-scl","Reconstructive dosimetry for cutaneous radiation syndrome","Lima, C.M.A., Lima, A.R., Degenhardt, Ä.L., Valverde, N.J., Da Silva, F.C.A.","Brazilian Journal of Medical and Biological Research; 48(10); 895-901","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000006&lang=pt" 
"S0100-879X2015001000004-scl","Short-term follow-up of exercise training program and beta-blocker treatment on quality of life in dogs with naturally acquired chronic mitral valve disease","Marcondes-Santos, M., Mansur, A.P., Fragata, F.S., Strunz, C.M.C.","Brazilian Journal of Medical and Biological Research; 48(10); 886-894","Brazilian Journal of Medical and Biological Research","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2015001000004&lang=pt" 
"S0004-27492015000550085-scl","Primary cutaneous adenoid cystic carcinoma of the eyelid and literature review","Coban, Deniz Turgut, Erol, Muhammet Kazim, Suren, Dinc, Tutus, Birsel","Arquivos Brasileiros de Oftalmologia; 78(5); 323-325","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550085&lang=pt" 
"S0004-27492015000550084-scl","Ophthalmic Doppler in persistent hyperplastic primary vitreous atypical presentation: case report","Morales, Maira Saad de Avila, Tartarella, Márcia Beatriz, Gouveia, Enéias Bezerra, Mandello, Maria Helena, Allemann, Norma","Arquivos Brasileiros de Oftalmologia; 78(5); 320-322","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000550084&lang=pt" 
