"S0100-204X2014000400237-scl","Simulação do risco de deficit hídrico em regiões de expansão do cultivo de cana-de-açúcar no Brasil","Vianna, Murilo dos Santos, Sentelhas, Paulo Cesar","Pesquisa Agropecuária Brasileira; 49(4); 237-246","Pesquisa Agropecuária Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2014000400237&lang=pt" 
"S1025-02552014000200002-cub","Incisión de Mc Burney, ¿debió llamarse de Mc Arthur?","Armas Pérez, Bárbaro Agustín","Revista Archivo Médico de Camagüey; 18(2); 164-166","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200002&lang=pt" 
"S1025-02552014000200005-cub","El mantenedor de espacio en la prevención de maloclusiones","García Peláez, Soledad Yanedy, Martín Zaldivar, Ledia, Lage Ugarte, Maité, Altunaga Carbonel, Ana","Revista Archivo Médico de Camagüey; 18(2); 193-199","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200005&lang=pt" 
"S1025-02552014000200004-cub","Variante diagnóstica en pacientes con metatarso varo","Rodríguez Rodríguez, Eugenio Isidro, Arredondo Reyes, Reydy","Revista Archivo Médico de Camagüey; 18(2); 180-192","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200004&lang=pt" 
"S1025-02552014000200007-cub","Demencia por déficit de vitamina B12: reporte de caso","Junco Bonet, Miguel Damián","Revista Archivo Médico de Camagüey; 18(2); 209-217","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200007&lang=pt" 
"S1025-02552014000200006-cub","Acantosis nigricans y linfoma no Hodgkin: presentación de un caso","Junco Bonet, Miguel Damián, Larquin Comet, José Ignácio","Revista Archivo Médico de Camagüey; 18(2); 200-208","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200006&lang=pt" 
"S1810-634X2014000200008-per","¿Quién fue Santiago Antúnez de Mayolo?","Valles F, Luis","Revista de la Sociedad Química del Perú; 80(2); 144-145","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200008&lang=pt" 
"S1810-634X2014000200006-per","Caracterización de una espirolactona sesquiterpénica α-metilénica obtenida de Ambrosia arborescens Miller y evaluación de su actividad biológica en Tripanosoma cruzi","Cano de Terrones, Teresa","Revista de la Sociedad Química del Perú; 80(2); 124-135","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200006&lang=pt" 
"S1810-634X2014000200005-per","Optimización de la técnica de voltamperometría de adsorción (Adsv) en la determinación de amaranth sobre electrodos serigrafiados de carbono: Efecto de surfactantes en la sensibilidad","Bolaños, Karen Liceth, Nagles, Edgar, Arancibia, Verónica, Otiniano, Manuel, Leiva, Yaritza, Mariño, Adrián, Scarpetta, Laura","Revista de la Sociedad Química del Perú; 80(2); 115-123","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200005&lang=pt" 
"S1810-634X2014000200004-per","Polifenoles, micronutrientes minerales y potencial antioxidante de papas nativas","Suárez, Silvia, Ale, Neptalí, Trabucco, Juan, Sanabria, Oswaldo","Revista de la Sociedad Química del Perú; 80(2); 108-114","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200004&lang=pt" 
"S1810-634X2014000200002-per","Síntesis, caracterización y aplicación de armazones metal orgánicos en la adsorción de dimetilamina","Sun-Kou, María del Rosario, Bravo Hualpa, Fabiola, Beltrán Suito, Rodrigo, Picasso Escobar, Gino, Samanamu, Christian","Revista de la Sociedad Química del Perú; 80(2); 85-96","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200002&lang=pt" 
"S1810-634X2014000200001-per","","Valles F, Luis","Revista de la Sociedad Química del Perú; 80(2); 83-84","Revista de la Sociedad Química del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1810-634X2014000200001&lang=pt" 
"S1851-82652014000100003-spa","La reforma de la atención médica de la administración Obama: dificultades para un acuerdo similar en Argentina","Belmartino, Susana","Salud Colectiva; 10(1); 41-55","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100003&lang=pt" 
"S1851-82652014000100009-spa","Las complejas relaciones entre crisis económica y salud: la mortalidad general disminuye pero el problema no está resuelto","Facchini, Luiz Augusto, Nunes, Bruno Pereira","Salud Colectiva; 10(1); 98-101","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100009&lang=pt" 
"S1851-82652014000100007-spa","Relación entre crisis económica y salud: ¿lo relevante son las políticas de austeridad?","La Parra, Daniel, Álvarez-Dardet, Carlos","Salud Colectiva; 10(1); 91-94","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100007&lang=pt" 
"S1851-82652014000100008-spa","El sufrimiento de la población en la crisis económica del Estado español","Borrell, Carme, Rodríguez-Sanz, Maica, Bartoll, Xavier, Malmusi, Davide, Novoa, Ana M","Salud Colectiva; 10(1); 95-98","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100008&lang=pt" 
"S1851-82652014000100010-spa","¿La Gran Recesión como causa de mejoras de la salud? respuesta a mis críticos","Tapia Granados, José A","Salud Colectiva; 10(1); 101-107","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100010&lang=pt" 
"S1851-82652014000100013-spa","Discurso de Carlos Matus en la presentación de Adiós, Señor Presidente","Matus, Carlos","Salud Colectiva; 10(1); 137-140","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100013&lang=pt" 
"S1025-02552014000200010-cub","Ventajas de los biosensores en hemodiálisis","Curbelo Rodríguez, Leonardo, Marcano Díaz, Amarilis, Pedroso Alfonso, Osmeida","Revista Archivo Médico de Camagüey; 18(2); 240-254","Revista Archivo Médico de Camagüey","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552014000200010&lang=pt" 
"S1851-82652014000100011-spa","La medicina del trabajo en el gobierno nacional y popular","Testa, Mario","Salud Colectiva; 10(1); 109-116","Salud Colectiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1851-82652014000100011&lang=pt" 
"S1690-31102014000100004-ven","Cintura hipertrigliceridémica y resistencia a la insulina en una comunidad rural y una urbana de Tinaquillo, Venezuela","Querales, Marvin, Rojas, Susan, Quevedo, Guillermo, Remolina, Jenifer, Mundaray, Oriana, Graterol, Diana","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 25-33","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100004&lang=pt" 
"S1690-31102014000100005-ven","Manejo de la hiperglucemia en el paciente hospitalizado con diabetes mellitus","Sánchez, Miguel, Luna, Magda, Villarreal, Yuraima, Zerpa, Yajaira, Bermúdez, Andrés","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 34-40","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100005&lang=pt" 
"S1690-31102014000100006-ven","Manejo de la hiperplasia suprarrenal congénita","Mejía, Yanire, Meza, Marisol, Briceño, Yajaira, Guillen, Mayela, Paoli, Mariela","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 41-51","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100006&lang=pt" 
"S1690-31102014000100007-ven","Resúmenes de ponencias del XIV Congreso Venezolano de Endocrinología y Metabolismo (2013)","","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 52-69","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100007&lang=pt" 
"S1690-31102014000100001-ven","Investigación y Publicación","Paoli de Valeri, Mariela","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 1-3","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100001&lang=pt" 
"S1690-31102014000100002-ven","Disfunción tiroidea y su relación con el perfil lípidico e índices aterogénicos en individuos antes y después de la tiroidectomía","González de Mirena, Emy, Gil, Yris, Younes, Tania, Perelli, Amarilys, Calzolaio, Vita, Superlano, Laura, Gómez, Brenda, Castillo, Diego, Henriquez, Jhonnarly","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 4-11","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100002&lang=pt" 
"S1690-31102014000100003-ven","Consumo de calcio y densidad mineral ósea en hombres jóvenes con diferentes niveles de actividad física","Nyisztor K, Judith, Carías P, Diamela, Velazco G, Yuly","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 12-24","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100003&lang=pt" 
"S1690-31102014000100008-ven","","","Revista Venezolana de Endocrinología y Metabolismo; 12(1); 70-70","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2014","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102014000100008&lang=pt" 
"S0188-46112014000100013-mex","El enigma del capital y las crisis del capitalismo","Talledos Sánchez, Edgar","Investigaciones geográficas; (83); 142-145","Investigaciones geográficas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-46112014000100013&lang=pt" 
"S1405-92742014000100008-mex","Las deudas de los oprimidos en el imperio de la liquidez","Servet, Jean-Michel","Desacatos; (44); 83-102","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100008&lang=pt" 
"S1405-92742014000100009-mex","Corporación minera, colusión gubernamental y desposesión campesina: El caso de Goldcorp Inc. en Mazapil, Zacatecas","Garibay, Claudio, Boni, Andrés, Panico, Francesco, Urquijo, Pedro","Desacatos; (44); 113-142","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100009&lang=pt" 
"S1405-92742014000100006-mex","La deuda: del sueño a la pesadilla colectiva. Endeudamiento de mujeres rurales del centro de Veracruz","Guzmán Gómez, Gabriela","Desacatos; (44); 67-82","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100006&lang=pt" 
"S1405-92742014000100007-mex","La servidumbre por deuda en el ámbito rural del sur de la India","Picherit, David","Desacatos; (44); 83-102","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100007&lang=pt" 
"S1405-92742014000100004-mex","Significados múltiples y contradictorios del sobreendeudamiento: Un estudio de caso de hogares en pobreza rural en Tamil Nadu, sur de la India","Guérin, Isabelle, Roesch, Marc, Venkatasubramanian, Govindan, Kumar, Santosh","Desacatos; (44); 35-50","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100004&lang=pt" 
"S1405-92742014000100005-mex","Prácticas financieras riesgosas para afrontar la crisis económica en los hogares: entre malabarismos con el dinero y sobreendeudamiento","Angulo Salazar, Lourdes","Desacatos; (44); 51-66","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100005&lang=pt" 
"S1405-92742014000100002-mex","De dineros, crisis y sobreendeudamientos","Villarreal, Magdalena","Desacatos; (44); 9-15","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100002&lang=pt" 
"S1405-92742014000100003-mex","Mexicanos endeudados en la crisis hipotecaria en California","Villarreal, Magdalena","Desacatos; (44); 19-34","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100003&lang=pt" 
"S1405-92742014000100001-mex","Desacatos, una revista de su tiempo","Aziz Nassif, Alberto","Desacatos; (44); 7-8","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100001&lang=pt" 
"S1405-92742014000100015-mex","Una sociología moral de las relaciones bancarias","Wilkis, Ariel","Desacatos; (44); 210-215","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100015&lang=pt" 
"S1405-92742014000100014-mex","Etnografiando la bolsa de valores: São Paulo, 1993","Rabossi, Fernando","Desacatos; (44); 205-209","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100014&lang=pt" 
"S1405-92742014000100017-mex","Tierra, reformas y recursos naturales: una perspectiva desde el sur de México","Rosas Salas, Sergio Francisco","Desacatos; (44); 219-222","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100017&lang=pt" 
"S1405-92742014000100016-mex","Circuitos migratorios, estrategias y flexibilidad laboral en la huasteca poblana","Fuentes Díaz, Antonio","Desacatos; (44); 216-218","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100016&lang=pt" 
"S1405-92742014000100011-mex","Amenazas y vulnerabilidades: las dos caras de los desastres en Celestún, Yucatán","Soares, Denise, Murillo, Daniel, Romero, Roberto, Millán, Gemma","Desacatos; (44); 159-177","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100011&lang=pt" 
"S1405-92742014000100010-mex","La Iglesia católica en la lucha por la contrarreforma religiosa en México","Hernández Vicencio, Tania","Desacatos; (44); 143-158","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100010&lang=pt" 
"S1405-92742014000100013-mex","Malabarismos para conseguir dinero y relaciones sociales: Testimonio del sur rural de la India","Guérin, Isabelle","Desacatos; (44); 191-201","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100013&lang=pt" 
"S1405-92742014000100012-mex","Herencia de los exempla jesuitas: Homenaje a la obra de Danièle Dehouve","Raby, Dominique","Desacatos; (44); 181-187","Desacatos","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-92742014000100012&lang=pt" 
"S0104-026X2014000100020-scl","A potencialidade do Gênero: feminismos e filosofias na leitura de Chanter","Tatagiba, Ana Paula","Revista Estudos Feministas; 22(1); 361-364","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100020&lang=pt" 
"S0482-50042014000200140-scl","Protocolos de avaliação da força de preensão manual em indivíduos com artrite reumatoide: uma revisão sistemática","Shiratori, Ana Paula, Iop, Rodrigo da Rosa, Borges Júnior, Noé Gomes, Domenech, Susana Cristina, Gevaerd, Monique da Silva","Revista Brasileira de Reumatologia; 54(2); 140-147","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200140&lang=pt" 
"S0482-50042014000200102-scl","Reações infusionais imediatas a agentes imunobiológicos endovenosos no tratamento de doenças autoimunes: experiência de 2.126 procedimentos em um centro de infusão não oncológico","Moss, Ingrid Bandeira, Moss, Monique Bandeira, Reis, Debora Silva dos, Coelho, Reno Martins","Revista Brasileira de Reumatologia; 54(2); 102-109","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200102&lang=pt" 
"S0482-50042014000200131-scl","Incidência de neoplasias nas doenças reumatológicas autoimunes mais prevalentes: uma revisão sistemática","Machado, Roberta Ismael Lacerda, Braz, Alessandra de Sousa, Freire, Eutilia Andrade Medeiros","Revista Brasileira de Reumatologia; 54(2); 131-139","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200131&lang=pt" 
"S0482-50042014000200083-scl","Efeitos de um minuto e dez minutos de deambulação em ratos com artrite induzida por adjuvante completo de Freund sobre os sintomas de dor e edema","Gomes, Raquel Pinheiro, Bressan, Elisângela, Silva, Tatiane Morgana da, Gevaerd, Monique da Silva, Tonussi, Carlos Rogério, Domenech, Susana Cristina","Revista Brasileira de Reumatologia; 54(2); 83-89","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200083&lang=pt" 
"S0482-50042014000200155-scl","Meningite criptocócica fatal em paciente com lúpus eritematoso sistêmico juvenil","Cavalcante, Erica G., Montoni, João D., Oliveira, Guilherme T., Campos, Lucia M.A., Paz, Jose A., Silva, Clovis A.","Revista Brasileira de Reumatologia; 54(2); 155-158","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200155&lang=pt" 
"S0482-50042014000200095-scl","Tradução, adaptação cultural e validação para a língua portuguesa (Brasil) do Systemic Sclerosis Questionnaire (SySQ)","Machado, Roberta Ismael Lacerda, Souto, Lais Medeiros, Freire, Eutilia Andrade Medeiros","Revista Brasileira de Reumatologia; 54(2); 95-101","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200095&lang=pt" 
"S0482-50042014000200090-scl","Estudo da automedicação para dor musculoesquelética entre estudantes dos cursos de enfermagem e medicina da Pontifícia Universidade Católica - São Paulo","Martinez, José Eduardo, Pereira, Giovanni Augusto Farina, Ribeiro, Luiz Gustavo Martinelli, Nunes, Ricardo, Ilias, Daniel, Navarro, Luiz Gustavo Moretti","Revista Brasileira de Reumatologia; 54(2); 90-94","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200090&lang=pt" 
"S0482-50042014000200117-scl","Protocolo para avaliação física em portadores de síndrome de fibromialgia","Santos, Michele R. dos, Moro, Claudia M.C., Vosgerau, Dilmeire S.R.","Revista Brasileira de Reumatologia; 54(2); 117-123","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200117&lang=pt" 
"S0482-50042014000200110-scl","A natação é capaz de manter a saúde do tecido ósseo e minimizar a reabsorção óssea pós-menopausa?","Barreto, Tâmara Kelly Delgado Paes, Bizarria, Fabiana Soares, Coutinho, Marcos Paulo Galdino, Silveira, Patrícia Verçoza de Castro, Silva, Karina de Carvalho da, Esteves, Ana Cristina Falcão, Moraes, Sílvia Regina Arruda de","Revista Brasileira de Reumatologia; 54(2); 110-116","Revista Brasileira de Reumatologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042014000200110&lang=pt" 
"S0104-026X2014000100005-scl","A organização das mulheres extrativistas na região Sudoeste mato-grossense, Brasil","Mendes, Maurício Ferreira, Neves, Sandra Mara Alves da Silva, Neves, Ronaldo José, Silva, Tânia Paula da","Revista Estudos Feministas; 22(1); 71-89","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100005&lang=pt" 
"S0104-026X2014000100004-scl","Limites e possibilidades da militância política em um movimento social rural de mulheres","Salvaro, Giovana Ilka Jacinto, Lago, Mara Coelho de Souza, Wolff, Cristina Scheibe","Revista Estudos Feministas; 22(1); 51-70","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100004&lang=pt" 
"S0104-026X2014000100009-scl","(Obs)cena: o lugar do desejo feminino em Gustav Klimt e Clarice Lispector","Rosito, Valeria","Revista Estudos Feministas; 22(1); 151-171","Revista Estudos Feministas","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100009&lang=pt" 
"S0104-026X2014000100008-scl","Directoras asiáticas en acción: Aparna Sen (1945)","Val Cubero, Alejandra","Revista Estudos Feministas; 22(1); 135-149","Revista Estudos Feministas","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2014000100008&lang=pt" 
