"S0102-311X2003000400008-scl","Debate sobre o artigo de Maria Andréa Loyola","Estellita-Lins, Carlos Eduardo","Cadernos de Saúde Pública; 19(4); 892-893","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400008&lang=pt" 
"S0102-311X2003000400042-scl","Enteropatógenos associados com diarréia infantil (&lt; 5 anos de idade) em amostra da população da área metropolitana de Criciúma, Santa Catarina, Brasil","Schnack, Felice Jaqueline, Fontana, Lidiani de Medeiros, Barbosa, Paulo Roberto, Silva, Loraine Storch Meyer da, Baillargeon, Clair Maria Martinello, Barichello, Tatiana, Póvoa, Marinete Marins, Cavasini, Carlos Eugênio, Machado, Ricardo Luiz Dantas","Cadernos de Saúde Pública; 19(4); 1205-1208","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400042&lang=pt" 
"S0102-311X2003000400039-scl","Ensaios clínicos pragmáticos: uma opção na construção de evidências em saúde","Coutinho, Evandro da Silva Freire, Huf, Gisele, Bloch, Katia Vergetti","Cadernos de Saúde Pública; 19(4); 1189-1193","Cadernos de Saúde Pública","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2003000400039&lang=pt" 
"S0100-879X2003000800019-scl","Cytoskeletal and cellular adhesion proteins in zebrafish (Danio rerio) myogenesis","Costa, M.L., Escaleira, R., Manasfi, M., Souza, L.F. de, Mermelstein, C.S.","Brazilian Journal of Medical and Biological Research; 36(8); 1117-1120","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800019&lang=pt" 
"S0100-879X2003000800018-scl","Changes in cell shape, cytoskeletal proteins and adhesion sites of cultured cells after extracellular Ca2+ chelation","Mermelstein, C.S., Rebello, M.I.L., Amaral, L.M., Costa, M.L.","Brazilian Journal of Medical and Biological Research; 36(8); 1111-1116","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800018&lang=pt" 
"S0100-879X2003000800013-scl","Distribution of versican and hyaluronan in the mouse uterus during decidualization","San Martin, S., Soto-Suazo, M., Zorn, T.M.T.","Brazilian Journal of Medical and Biological Research; 36(8); 1067-1071","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800013&lang=pt" 
"S0100-879X2003000800014-scl","Immunohistochemical demonstration of TGF-ß and decorin in paracoccidioidal granulomas","Nishikaku, A.S., Burger, E.","Brazilian Journal of Medical and Biological Research; 36(8); 1073-1078","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800014&lang=pt" 
"S0100-879X2003000800011-scl","Glycosaminoglycans affect the interaction of human plasma kallikrein with plasminogen, factor XII and inhibitors","Gozzo, A.J., Nunes, V.A., Nader, H.B., Dietrich, C.P., Carmona, A.K., Sampaio, M.U., Sampaio, C.A.M., Araújo, M.S.","Brazilian Journal of Medical and Biological Research; 36(8); 1055-1059","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800011&lang=pt" 
"S0100-879X2003000800015-scl","Decorin is one of the proteoglycans expressed in Walker 256 rat mammary carcinoma","Oba-Shinjo, S.M., Berto, A.G.A., Passerotti, C.C., Barbosa, C.D., Sampaio, L.O.","Brazilian Journal of Medical and Biological Research; 36(8); 1079-1089","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800015&lang=pt" 
"S0100-879X2003000800012-scl","Distribution of biglycan and decorin in rat dental tissue","Tenório, D.M.H., Santos, M.F., Zorn, T.M.T.","Brazilian Journal of Medical and Biological Research; 36(8); 1061-1065","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800012&lang=pt" 
"S0100-879X2003000800010-scl","Antioxidant dietary deficiency induces caspase activation in chick skeletal muscle cells","Nunes, V.A., Gozzo, A.J., Juliano, M.A., Cerqueira César, M., Sampaio, M.U., Sampaio, C.A.M., Araújo, M.S.","Brazilian Journal of Medical and Biological Research; 36(8); 1047-1053","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800010&lang=pt" 
"S0100-879X2003000800016-scl","Simultaneous changes in the function and expression of beta 1 integrins during the growth arrest of poorly differentiated colorectal cells (LISP-1)","Roela, R.A., Brentani, M.M., Katayama, M.L.H., Reis, M., Federico, M.H.H.","Brazilian Journal of Medical and Biological Research; 36(8); 1091-1099","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800016&lang=pt" 
"S0100-879X2003000800002-scl","Importance of hyaluronan biosynthesis and degradation in cell differentiation and tumor formation","Heldin, P.","Brazilian Journal of Medical and Biological Research; 36(8); 967-973","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800002&lang=pt" 
"S0100-879X2003000800004-scl","Endothelial cells, tissue factor and infectious diseases","Lopes-Bezerra, L.M., Filler, S.G.","Brazilian Journal of Medical and Biological Research; 36(8); 987-991","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800004&lang=pt" 
"S0100-879X2003000800007-scl","Thymocyte migration: an affair of multiple cellular interactions?","Savino, W., Ayres Martins, S., Neves-dos-Santos, S., Smaniotto, S., Ocampo, J.S.P., Mendes-da-Cruz, D.A., Terra-Granado, E., Kusmenok, O., Villa-Verde, D.M.S.","Brazilian Journal of Medical and Biological Research; 36(8); 1015-1025","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800007&lang=pt" 
"S0100-879X2003000800017-scl","Differential expression of integrin subunits on adherent and nonadherent mast cells","Grodzki, A.C.G., Dávila Pástor, M.V., Sousa, J.F., Oliver, C., Jamur, M.C.","Brazilian Journal of Medical and Biological Research; 36(8); 1101-1109","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800017&lang=pt" 
"S0100-879X2003000800003-scl","What can digital transcript profiling reveal about human cancers?","Cerutti, J.M., Riggins, G.J., Souza, S.J. de","Brazilian Journal of Medical and Biological Research; 36(8); 975-985","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800003&lang=pt" 
"S0100-879X2003000800020-scl","Trypanosoma cruzi infection: a continuous invader-host cell cross talk with participation of extracellular matrix and adhesion and chemoattractant molecules","Marino, A.P.M.P., Silva, A.A., Pinho, R.T., Lannes-Vieira, J.","Brazilian Journal of Medical and Biological Research; 36(8); 1121-1133","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800020&lang=pt" 
"S0100-879X2003000800006-scl","Functional role of a specific ganglioside in neuronal migration and neurite outgrowth","Mendez-Otero, R., Santiago, M.F.","Brazilian Journal of Medical and Biological Research; 36(8); 1003-1013","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800006&lang=pt" 
"S0100-879X2003000800005-scl","Sulfated proteoglycans as modulators of neuronal migration and axonal decussation in the developing midbrain","Cavalcante, L.A., Garcia-Abreu, J., Mendes, F.A., Moura Neto, V., Silva, L.C.F., Onofre, G., Weissmüller, G., Carvalho, S.L.","Brazilian Journal of Medical and Biological Research; 36(8); 993-1002","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800005&lang=pt" 
"S0100-879X2003000800008-scl","Building bone tissue: matrices and scaffolds in physiology and biotechnology","Riminucci, M., Bianco, P.","Brazilian Journal of Medical and Biological Research; 36(8); 1027-1036","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800008&lang=pt" 
"S0100-879X2003000800001-scl","Dimensions and dynamics in integrin function","Yamada, K.M., Pankov, R., Cukierman, E.","Brazilian Journal of Medical and Biological Research; 36(8); 959-966","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800001&lang=pt" 
"S0100-879X2003000800009-scl","Collagens and proteoglycans of the corneal extracellular matrix","Michelacci, Y.M.","Brazilian Journal of Medical and Biological Research; 36(8); 1037-1046","Brazilian Journal of Medical and Biological Research","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2003000800009&lang=pt" 
"S0100-40422003000400010-scl","Use of the EPR technique to determine thermal stability of some humified organic substances found in soil organic-mineral fractions","Saab, Sérgio da Costa, Martin-Neto, Ladislau","Química Nova; 26(4); 497-498","Química Nova","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400010&lang=pt" 
"S0100-40422003000400009-scl","Síntese e caracterização de um composto VOPO4-DMA","Farias, Robson Fernandes de","Química Nova; 26(4); 493-496","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400009&lang=pt" 
"S0100-40422003000400032-scl","Prof. Dr. Wilson A. Gazotti Jr.","De Paoli, Marco A.","Química Nova; 26(4); 627-627","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400032&lang=pt" 
"S0100-40422003000400031-scl","Prof. Dr. Luiz Manoel Aleixo","Tubino, Matthieu","Química Nova; 26(4); 626-626","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400031&lang=pt" 
"S0100-40422003000400030-scl","Tio Tungstênio: memórias de uma infância química","Faria, Roberto de Barros","Química Nova; 26(4); 625-625","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400030&lang=pt" 
"S0100-40422003000400008-scl","Fotocromismo em filmes finos de óxidos de tungstênio de diferentes composições","Galvão, José R., Scarminio, Jair","Química Nova; 26(4); 488-492","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400008&lang=pt" 
"S0100-40422003000400003-scl","Flavonóides glicosilados das folhas e flores de Bauhinia forficata (Leguminosae)","Pizzolatti, Moacir Geraldo, Cunha Jr., Anildo, Szpoganicz, Bruno, Sousa, Eliandra de, Braz-Filho, Raimundo, Schripsema, Jan","Química Nova; 26(4); 466-469","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400003&lang=pt" 
"S0100-40422003000400001-scl","Editorial","Vieira, Paulo Cezar","Química Nova; 26(4); 459-459","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400001&lang=pt" 
"S0100-40422003000400004-scl","Emprego de padrão único para a construção de curvas analíticas em sistema de análise por injeção em fluxo associado à espectrofotometria em fase sólida","Oliveira, Fábio Santos de, Korn, Mauro","Química Nova; 26(4); 470-474","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400004&lang=pt" 
"S0100-40422003000400007-scl","Flavonóide e triterpenos de Stigmaphyllom paralias","David, Jorge M., Santos, Fátima A., Guedes, Maria Lenise da S., David, Juceni P.","Química Nova; 26(4); 484-487","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400007&lang=pt" 
"S0100-40422003000400013-scl","Novel santalane sesquiterpenoids from the stem bark of Duguetia glabriuscula - Annonaceae","Pereira, Núbia F. Gomes, Carollo, Carlos Alexandre, Garcez, Silva, Siqueira, João Máximo de","Química Nova; 26(4); 512-516","Química Nova","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400013&lang=pt" 
"S0100-40422003000400018-scl","Antimoniais empregados no tratamento da leishmaniose: estado da arte","Rath, Susanne, Trivelin, Luciano Augusto, Imbrunito, Talitha Rebecca, Tomazela, Daniela Maria, Jesús, Marcelo Nunes de, Marzal, Percy Calvo, Andrade Junior, Heitor Franco de, Tempone, André Gustavo","Química Nova; 26(4); 550-555","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400018&lang=pt" 
"S0100-40422003000400017-scl","Simulações computacionais e ferramentas de modelização em educação química: uma revisão de literatura publicada","Ribeiro, Angela A., Greca, Ileana M.","Química Nova; 26(4); 542-549","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400017&lang=pt" 
"S0100-40422003000400021-scl","Determinação da 2,5-hexanodiona em amostras de urina submetidas à hidrólise ácida: importância da coluna cromatográfica e do pH do meio","Barroca, Márcia Martins, Silveira, Josianne Nicácio, Alvarez-Leite, Edna Maria","Química Nova; 26(4); 570-572","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400021&lang=pt" 
"S0100-40422003000400024-scl","Relato de uma experiência pedagógica no ensino de química: formação profissional com responsabilidade ambiental","Abreu, Daniela Gonçalves de, Iamamoto, Yassuko","Química Nova; 26(4); 582-584","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400024&lang=pt" 
"S0100-40422003000400029-scl","Avaliação dos programas de pós-graduação em química no Brasil: versão 2002","Gama, Alfredo Arnóbio S. da, Cadore, Solange, Ferreira, Vitor F.","Química Nova; 26(4); 618-624","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400029&lang=pt" 
"S0100-40422003000400002-scl","Quantificação do linalol no óleo essencial da Aniba duckei Korstermans utilizando uma nova coluna capilar POLYH4-MD em Cromatografia Gasosa","Silva, Denise Domingos da, Chierice, Gilberto Orivaldo, Galhiane, Mário Sérgio, Chaar, Jamal da Silva, Mouchrek-Filho, Victor Elias","Química Nova; 26(4); 461-465","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400002&lang=pt" 
"S0100-40422003000400005-scl","Determinação potenciométrica em fluxo de cloreto de cetilpiridinio em desinfectantes bucais","Baptista, Paula C. S., Araújo, Alberto N., Montenegro, Maria da Conceição B. S. M.","Química Nova; 26(4); 475-478","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400005&lang=pt" 
"S0100-40422003000400006-scl","Avaliação do nível da vulnerabilidade do solo devido à presença de termelétrica a carvão (Figueira, PR- Brasil)","Flues, Marlene, Hama, Patrícia, Fornaro, Adalgiza","Química Nova; 26(4); 479-483","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400006&lang=pt" 
"S0100-40422003000400011-scl","Um novo modelo para os sítios de interação dos antagonistas H2, baseado na caracterização química dos sítios primário e secundário por QSAR- 3D","Fabiano, Ronaldo Lepesqueur, Montanari, Carlos Alberto","Química Nova; 26(4); 499-506","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400011&lang=pt" 
"S0100-40422003000400012-scl","Cálculo ab initio de intensidades Raman dinâmicas utilizando a teoria da resposta linear","Vidal, Luciano N., Vazquez, Pedro A. M.","Química Nova; 26(4); 507-511","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400012&lang=pt" 
"S0100-40422003000400014-scl","Ocorrência de flavonas, flavonóis e seus glicosídeos em espécies do gênero Solanum (Solanaceae)","Silva, Tania Maria Sarmento da, Carvalho, Mário Geraldo de, Braz-Filho, Raimundo, Agra, Maria de Fatima","Química Nova; 26(4); 517-522","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400014&lang=pt" 
"S0100-40422003000400015-scl","Fármacos no meio ambiente","Bila, Daniele Maia, Dezotti, Márcia","Química Nova; 26(4); 523-530","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400015&lang=pt" 
"S0100-40422003000400016-scl","Reações aldólicas assimétricas catalíticas","Corrêa Jr., Ivan R., Pilli, Ronaldo A.","Química Nova; 26(4); 531-541","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400016&lang=pt" 
"S0100-40422003000400019-scl","Espectrometria de massas com ionização por &quot;electrospray&quot; aplicada ao estudo de espécies inorgânicas e organometálicas","Moraes, Maria Carolina B., Lago, Claudimir Lucio do","Química Nova; 26(4); 556-563","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400019&lang=pt" 
"S0100-40422003000400020-scl","Transferência de energia entre corantes catiônicos em sistemas homogêneos","Oliveira, Hueder Paulo Moisés de, Machulek Junior, Amilcar, Legendre, Alexandre de Oliveira, Gehlen, Marcelo Henrique","Química Nova; 26(4); 564-569","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400020&lang=pt" 
"S0100-40422003000400022-scl","Processamento da pasta eletrolítica de pilhas usadas","Afonso, Júlio Carlos, Barandas, Ana Paula Mauro Gonçalves, Silva, Gustavo Alves Pinto da, Fonseca, Sandro Guimarães da","Química Nova; 26(4); 573-577","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400022&lang=pt" 
"S0100-40422003000400023-scl","Procedimentos para recuperação de Ag de resíduos líquidos e sólidos","Bendassolli, José Albertino, Tavares, Glauco Arnold, Ignoto, Raquel de Fátima, Rosseti, Alexssandra Luiza Rodrigues Molina","Química Nova; 26(4); 578-581","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400023&lang=pt" 
"S0100-40422003000400025-scl","As percepções dos professores de química geral sobre a seleção e a organização conceitual em sua disciplina","Silva, Shirley Martim da, Eichler, Marcelo Leandro, Del Pino, José Claudio","Química Nova; 26(4); 585-594","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400025&lang=pt" 
"S0100-40422003000400028-scl","Gerenciamento de resíduos químicos e águas servidas no laboratório de isótopos estáveis do CENA/USP","Bendassolli, José Albertino, Máximo, Everaldo, Tavares, Glauco Arnold, Ignoto, Raquel de Fátima","Química Nova; 26(4); 612-617","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400028&lang=pt" 
"S0100-40422003000400027-scl","Gerenciamento de resíduos laboratoriais: recuperação de elementos e preparo para descarte final","Afonso, Júlio Carlos, Noronha, Leandro Anido, Felipe, Renata Pinheiro, Freidinger, Nicolas","Química Nova; 26(4); 602-611","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400027&lang=pt" 
"S0100-40422003000400026-scl","Decomposição térmica do bicarbonato de sódio: do processo Solvay ao diagrama tipo Ellingham","Maia, Alessandra de Souza, Osorio, Viktoria Klara Lakatos","Química Nova; 26(4); 595-601","Química Nova","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422003000400026&lang=pt" 
"S0717-68212003012000001-chl","FINANCIAL INNOVATION IN MULTI-PERIOD ECONOMIES","KAWAMURA, ENRIQUE","Cuadernos de economía; 40(120); 177-205","Cuadernos de economía","Inglês","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000001&lang=pt" 
"S0717-68212003012000002-chl","GOBIERNO CORPORATIVO: ¿QUE ES? Y ¿COMO ANDAMOS POR CASA?","Lefort, Fernando","Cuadernos de economía; 40(120); 207-237","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000002&lang=pt" 
"S0717-68212003012000003-chl","A CROSS-COUNTRY ESTIMATION OF THE ELASTICITY OF SUBSTITUTION BETWEEN LABOR AND CAPITAL IN MANUFACTURING INDUSTRIES","CLARO, SEBASTIÁN","Cuadernos de economía; 40(120); 239-257","Cuadernos de economía","Inglês","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000003&lang=pt" 
"S0717-68212003012000004-chl","EL DINERO COMO INDICADOR LIDER","CHOI HA, SE KYU, LAGOS M, LUIS FELIPE","Cuadernos de economía; 40(120); 259-283","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000004&lang=pt" 
"S0717-68212003012000005-chl","A SOCIAL ACCOUTING MATRIX FOR BOLIVIA FEATURING FORMAL AND INFORMAL ACTIVITIES","THIELE, RAINER, PIAZOLO, DANIEL","Cuadernos de economía; 40(120); 285-318","Cuadernos de economía","Inglês","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000005&lang=pt" 
"S0717-68212003012000006-chl","INTRODUCCION AL DEBATE ACERCA DE: LA FUNCION DE PRESTAMISTA DE ULTIMA INSTANCIA NACIONAL E INTERNACIONAL","Ossa S, Fernando","Cuadernos de economía; 40(120); 319-322","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000006&lang=pt" 
"S0717-68212003012000007-chl","LOS BANCOS CENTRALES COMO PRESTAMISTAS DE ULTIMA INSTANCIA","OSSA S, FERNANDO","Cuadernos de economía; 40(120); 323-335","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000007&lang=pt" 
"S0717-68212003012000008-chl","EL PRESTAMISTA DE ULTIMA INSTANCIA EN LA NUEVA INDUSTRIA BANCARIA","BARANDIARÁN, EDGARDO","Cuadernos de economía; 40(120); 337-358","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000008&lang=pt" 
"S0717-68212003012000009-chl","CRISIS FINANCIERAS INTERNACIONALES, PRESTAMISTA DE ULTIMA INSTANCIA Y NUEVA ARQUITECTURA FINANCIERA INTERNACIONAL","JADRESIC, ESTEBAN, SCHMIDT-HEBBEL, KLAUS, VALDÉS, RODRIGO","Cuadernos de economía; 40(120); 359-391","Cuadernos de economía","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68212003012000009&lang=pt" 
"S0717-75182003000200001-chl","SOCIEDAD CHILENA DE NUTRICIÓN: 60 AÑOS DE PRESENCIA EN LA NUTRICIÓN DEL PAÍS","Ilabaca Mendoza, Juan","Revista chilena de nutrición; 30(2); 78-79","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200001&lang=pt" 
"S0717-75182003000200002-chl","PREVENCIÓN DE DIABETES MELLITUS TIPO 2","Lahsen M, Rodolfo, Liberman G, Claudio","Revista chilena de nutrición; 30(2); 80-90","Revista chilena de nutrición","Espanhol","2003","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75182003000200002&lang=pt" 
