"S0100-67622006000100011-scl","Um modelo de distribuição diamétrica para povoamentos de Tectona grandis submetidos a desbaste","Leite, Helio Garcia, Nogueira, Gilciano Saraiva, Campos, João Carlos Chagas, Takizawa, Fausto Hissashi, Rodrigues, Flávio Lopes","Revista Árvore; 30(1); 89-98","Revista Árvore","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622006000100011&lang=pt" 
"S1519-69842006000100002-scl","Potential bird dispersers of Psychotria in a area of Atlantic forest on Ilha Grande, RJ, Southeastern Brazil: a biochemical analysis of the fruits","Almeida, E. M., Costa, P. F., Buckeridge, M. S., Alves, M. A. S.","Brazilian Journal of Biology; 66(1a); 01-08","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100002&lang=pt" 
"S1519-69842006000100003-scl","Dispersal of the egg parasitoid Gryon gallardoi (Brethes) (Hymenoptera: Scelionidae) in tobacco crops","Canto-Silva, C. R., Kolberg, R., Romanowski, H. P., Redaelli, L. R.","Brazilian Journal of Biology; 66(1a); 09-17","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100003&lang=pt" 
"S1519-69842006000100005-scl","Diet and capture of Hypostomus strigaticeps (Siluriformes, Loricariidae) in a small brazilian stream: relationship with limnological aspects","Cardone, I. B., Lima-Junior, S. E., Goitein, R.","Brazilian Journal of Biology; 66(1a); 25-33","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100005&lang=pt" 
"S1519-69842006000100006-scl","Effects of an oil spill and discharge of domestic sewage on the insect fauna of Cururu stream, Manaus, AM, Brazil","Couceiro, S. R. M., Forsberg, B. R., Hamada, N., Ferreira, R. L. M.","Brazilian Journal of Biology; 66(1a); 35-44","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100006&lang=pt" 
"S1519-69842006000100007-scl","Expression pattern of glycoconjugates in the Bidderian and ovarian follicles of the Brazilian toad Bufo ictericus analyzed by lectin histochemistry","Farias, C. F., Azevedo, R. A., Brito-Gitirana, L.","Brazilian Journal of Biology; 66(1a); 45-51","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100007&lang=pt" 
"S1519-69842006000100010-scl","Ichthyofauna diversity in a protected area in the state of São Paulo, southeastern Brazil","Gomiero, L. M., Braga, F. M. S.","Brazilian Journal of Biology; 66(1a); 75-83","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100010&lang=pt" 
"S1519-69842006000100013-scl","Mercury contents in aquatic macrophytes from two reservoirs in the Paraíba do Sul: Guandú river system, SE Brazil","Molisani, M. M., Rocha, R., Machado, W., Barreto, R. C., Lacerda, L. D.","Brazilian Journal of Biology; 66(1a); 101-107","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100013&lang=pt" 
"S1519-69842006000100016-scl","Feeding dynamics and ecomorphology of Oligosarcus jenynsii (Gunther, 1864) and Oligosarcus robustus (Menezes, 1969) in the Lagoa Fortaleza, southern Brazil","Nunes, D. M., Hartz, S. M.","Brazilian Journal of Biology; 66(1a); 121-132","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100016&lang=pt" 
"S1519-69842006000100017-scl","Abundance and frugivory of the toco toucan (Ramphastos toco) in a gallery forest in Brazil&#039;s Southern Pantanal","Ragusa-Netto, J.","Brazilian Journal of Biology; 66(1a); 133-142","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100017&lang=pt" 
"S1519-69842006000100019-scl","Reproductive studies on ipecac (Cephaelis ipecacuanha (Brot.) A. Rich; Rubiaceae): meiotic behavior and pollen viability","Souza, M. M., Martins, E. R., Pereira, T. N. S., Oliveira, L. O.","Brazilian Journal of Biology; 66(1a); 151-159","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100019&lang=pt" 
"S1519-69842006000100021-scl","Body size, diet and endoparasites of the microhylid frog Chiasmocleis capixaba in an Atlantic Forest area of southern Bahia state, Brazil","Van Sluys, M., Schittini, G. M., Marra, R. V., Azevedo, A. R. M., Vicente, J. J., Vrcibradic, D.","Brazilian Journal of Biology; 66(1a); 107-173","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100021&lang=pt" 
"S1519-69842006000100022-scl","Considerations on the effect of anti-sandfly antibodies on biological parameters of Lutzomyia longipalpis (Lutz &amp; Neiva, 1912) (Diptera: Psychodidae: Phlebotominae)","Vilela, M. L., Souza, N. A., Oliveira, S. M. P., Costa-Pinto, D., Cabello, P. H., Rangel, E. F., Traub-Cseko, Y. M.","Brazilian Journal of Biology; 66(1a); 175-183","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100022&lang=pt" 
"S1519-69842006000100004-scl","Reproductive parameters and longevity of Gryon gallardoi (Brethes) (Hymenoptera: Scelionidae) parasitizing Spartocera dentiventris (Berg) (Hemiptera: Coreidae) eggs","Canto-Silva, C. R., Romanowski, H. P., Redaelli, L. R.","Brazilian Journal of Biology; 66(1a); 19-24","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100004&lang=pt" 
"S1519-69842006000100009-scl","Distribution patterns of Neotropical primates (Platyrrhini) based on Parsimony Analysis of Endemicity","Goldani, A., Carvalho, G. S., Bicca-Marques, J. C.","Brazilian Journal of Biology; 66(1a); 61-74","Brazilian Journal of Biology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842006000100009&lang=pt" 
"S0074-02762006000100023-scl","Identification of sex pheromones of Lutzomyia longipalpis (Lutz &amp; Neiva, 1912) populations from the state of São Paulo, Brazil","Casanova, Cláudio, Hamilton, JGC, Trigo, JR, Costa, Antonio IP","Memórias do Instituto Oswaldo Cruz; 101(1); 113-115","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100023&lang=pt" 
"S0074-02762006000100002-scl","Physiological changes in Biomphalaria glabrata say, 1818 (Pulmonata: Planorbidae) caused by sub-lethal concentrations of the latex of Euphorbia splendens var. hislopii N.E.B (Euphorbiaceae)","Mello-Silva, Clélia Christina, Vasconcellos, Maurício Carvalho de, Pinheiro, Jairo, Rodrigues, Maria de Lurdes de Azevedo","Memórias do Instituto Oswaldo Cruz; 101(1); 3-8","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100002&lang=pt" 
"S0074-02762006000100003-scl","Recombinant tegumental protein Shistosoma japonicum very lowdensity lipoprotein binding protein as a vaccine candidate against Schistosoma japonicum","Gan, Xiao-Xian, Shen, Li-Ying, Wang, Yue, Ding, Jian-Zu, Shen, Hui-Ying, Zeng, Xiao-Peng, McManus, Donald P, Brindley, Paul J, Fan, Jinjiang","Memórias do Instituto Oswaldo Cruz; 101(1); 9-13","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100003&lang=pt" 
"S0074-02762006000100004-scl","Taeniosis-cysticercosis complex in individuals of a peasants&#039; settlement (Teodoro Sampaio, Pontal of Paranapanema, SP, Brazil)","Prestes-Carneiro, Luiz Euribel, Freitas, Selma de Bastos Zambeli de, Zago, Sueli Cristina Schadeck, Miguel, Nadia Araújo, Primo, Oswaldo Bill, Iha, Alberto Hiroshi, Espíndola, Noeli Maria, Vaz, Adelaide José","Memórias do Instituto Oswaldo Cruz; 101(1); 15-20","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100004&lang=pt" 
"S0074-02762006000100006-scl","Molecular trees of trypanosomes incongruent with fossil records of hosts","Kerr, Sara F","Memórias do Instituto Oswaldo Cruz; 101(1); 25-30","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100006&lang=pt" 
"S0074-02762006000100007-scl","Epidemiology of visceral leishmaniasis through spatial analysis, in Belo Horizonte municipality, state of Minas Gerais, Brazil","Margonari, Carina, Freitas, Christian Rezende, Ribeiro, Rosemary Campos, Moura, Ana Clara Mourão, Timbó, Marcos, Gripp, Adriano Heckert, Pessanha, José Eduardo, Dias, Edelberto Santos","Memórias do Instituto Oswaldo Cruz; 101(1); 31-38","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100007&lang=pt" 
"S0074-02762006000100008-scl","Genetic structure of Triatoma venosa (Hemiptera: Reduviidae): molecular and morphometric evidence","Vargas, Erika, Espitia, Claudia, Patiño, Carlos, Pinto, Nestor, Aguilera, Germán, Jaramillo, Carlos, Bargues, María Dolores, Guhl, Felipe","Memórias do Instituto Oswaldo Cruz; 101(1); 39-45","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100008&lang=pt" 
"S0074-02762006000100009-scl","Variation in the hatching response of Ochlerotatus albifasciatus egg batches (Diptera: Culicidae) in temperate Argentina","Campos, Raúl Ernesto, Sy, Victoria Elena","Memórias do Instituto Oswaldo Cruz; 101(1); 47-53","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100009&lang=pt" 
"S0074-02762006000100011-scl","Genetic characterization of St. Louis encephalitis virus isolated from human in São Paulo, Brazil","Santos, Cecília Luiza Simões dos, Sallum, Maria Anice Mureb, Franco, Heitor Moreira, Oshiro, Fabíola Maiumi, Rocco, Iray Maria","Memórias do Instituto Oswaldo Cruz; 101(1); 57-63","Memórias do Instituto Oswaldo Cruz","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762006000100011&lang=pt" 
"S1806-37132006000100013-scl","Novas terapias ergogênicas no tratamento da doença pulmonar obstrutiva crônica","Villaça, Debora Strose, Lerario, Maria Cristina, Dal Corso, Simone, Neder, José Alberto","Jornal Brasileiro de Pneumologia; 32(1); 66-74","Jornal Brasileiro de Pneumologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132006000100013&lang=pt" 
"S0100-204X2006000200008-scl","Deficit hídrico e produtividade na cultura do milho","Bergamaschi, Homero, Dalmago, Genei Antonio, Comiran, Flávia, Bergonci, João Ito, Müller, Artur Gustavo, França, Solange, Santos, Antonio Odair, Radin, Bernadete, Bianchi, Cleusa Adriane Menegassi, Pereira, Pedro Gabert","Pesquisa Agropecuária Brasileira; 41(2); 243-249","Pesquisa Agropecuária Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2006000200008&lang=pt" 
"S0100-879X2006000200002-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Pim-1 kinase inhibits the activation of reporter gene expression in Elk-1 and c-Fos reporting systems but not the endogenous gene expression: an artifact of the reporter gene assay by transient co-transfection","Yan, B., Wang, H., Kon, T., Li, C.-Y.","Brazilian Journal of Medical and Biological Research; 39(2); 169-176","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200002&lang=pt" 
"S0100-879X2006000200005-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;CYP2A6 and CYP2E1 polymorphisms in a Brazilian population living in Rio de Janeiro","Rossini, A., Soares Lima, S., Rapozo, D.C.M., Faria, M., Albano, R.M., Ribeiro Pinto, L.F.","Brazilian Journal of Medical and Biological Research; 39(2); 195-201","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200005&lang=pt" 
"S0100-879X2006000200006-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Lycopene and ß-carotene protect in vivo iron-induced oxidative stress damage in rat prostate","Matos, H.R., Marques, S.A., Gomes, O.F., Silva, A.A., Heimann, J.C., Di Mascio, P., Medeiros, M.H.G.","Brazilian Journal of Medical and Biological Research; 39(2); 203-210","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200006&lang=pt" 
"S0100-879X2006000200009-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Effects of gamma-radiation on cell growth, cycle arrest, death, and superoxide dismutase expression by DU 145 human prostate cancer cells","Vucic, V., Isenovic, E.R., Adzic, M., Ruzdijic, S., Radojcic, M.B.","Brazilian Journal of Medical and Biological Research; 39(2); 227-236","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200009&lang=pt" 
"S0100-879X2006000200010-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;The P48T germline mutation and polymorphism in the CDKN2A gene of patients with melanoma","Huber, J., Ramos, E.S.","Brazilian Journal of Medical and Biological Research; 39(2); 237-241","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200010&lang=pt" 
"S0100-879X2006000200017-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Fecal estradiol and progesterone metabolite levels in the three-toed sloth (Bradypus variegatus)","Mühlbauer, M., Duarte, D.P.F., Gilmore, D.P., da Costa, C.P.","Brazilian Journal of Medical and Biological Research; 39(2); 289-295","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200017&lang=pt" 
"S0100-879X2006000200015-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Effect of topical dorzolamide on rabbit central corneal thickness","Almeida Jr., G.C., Faria e Souza, S.J.","Brazilian Journal of Medical and Biological Research; 39(2); 277-281","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200015&lang=pt" 
"S0100-879X2006000200016-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Protective effects of phosphodiesterase inhibitors on lung function and remodeling in a murine model of chronic asthma","Campos, H.S., Xisto, D.G., Oliveira, M.B.G., Teixeira, I., Negri, E.M., Mauad, T., Carnielli, D., Lima, L.M., Barreiro, E.J., Faffe, D.S., Zin, W.A., Lapa e Silva, J.R., Rocco, P.R.M.","Brazilian Journal of Medical and Biological Research; 39(2); 283-287","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200016&lang=pt" 
"S0100-879X2006000200019-scl","&lt;a name=&quot;home&quot;&gt;&lt;/a&gt;Effect of unsaturated fatty acids on myocardial performance, metabolism and morphology","Pinotti, M.F., Silva, M.D.P., Sugizaki, M.M., Diniz, Y.S., Sant&#039;Ana, L.S., Aragon, F.F., Padovani, C.R., Novelli, E.L.B., Cicogna, A.C.","Brazilian Journal of Medical and Biological Research; 39(2); 305-312","Brazilian Journal of Medical and Biological Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2006000200019&lang=pt" 
"S0004-27492006000100002-scl","Avaliação da qualidade de corte do microceratótomo Masyk® na confecção de lamela corneana pediculada em olhos porcinos","Victor, Gustavo, Alves, Milton Ruiz, Nosé, Walton","Arquivos Brasileiros de Oftalmologia; 69(1); 7-10","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100002&lang=pt" 
"S0004-27492006000100006-scl","Risco de contaminação do corante azul de tripano após primeira utilização","Malta, João Baptista Nigro Santiago, Felberg, Sérgio, Murça, Maria Aparecida Soares, Barros, Maurício Arruda Câmara, Mimica, Lycia Mara Genne","Arquivos Brasileiros de Oftalmologia; 69(1); 27-31","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100006&lang=pt" 
"S0004-27492006000100011-scl","Melhora dos limiares de sensibilidade do campo visual após redução da pressão intra-ocular em pacientes com glaucoma: tratamento cirúrgico vs. clínico","Magacho, Leopoldo, Queiroz, Carlos Frederico, Medeiros, Mariele, Lima, Francisco Eduardo, Magacho, Bernardo, Ávila, Marcos","Arquivos Brasileiros de Oftalmologia; 69(1); 51-55","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100011&lang=pt" 
"S0004-27492006000100015-scl","Estudo da micobiota em conjuntiva sadia de diabéticos, residentes na área urbana da cidade de São Paulo - Brasil","Andrade, Alfredo José Muniz de, Höfling-Lima, Ana Luisa, Yu, Maria Cecília Zorat, Godoy, Patricio, Gompertz, Olga Fischman, Bonfim, Sabrina de Souza, Andrade, Francisco Eudes Muniz de","Arquivos Brasileiros de Oftalmologia; 69(1); 75-83","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100015&lang=pt" 
"S0102-86502006000100002-scl","Problemas éticos en las revistas biomédicas: las responsabilidades de sus directores","Stegemann, Herbert","Acta Cirurgica Brasileira; 21(1); 5-6","Acta Cirurgica Brasileira","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100002&lang=pt" 
"S0102-86502006000100001-scl","Evolução histórica da revista Acta Cirúrgica Brasileira (1986-2005)","Goldenberg, Saul, Goldenberg, Alberto, Fino, Tânia Pereira Morais","Acta Cirurgica Brasileira; 21(1); 1-4","Acta Cirurgica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100001&lang=pt" 
"S0102-86502006000100004-scl","Vital dye is enough for inguinal sentinel lymph node biopsy in melanoma patients","Oliveira Filho, Renato Santos de, Silva, Allisson Monteiro da, Hochman, Bernardo, Oliveira, Renato Leão de, Arcuschin, Liliana, Wagner, Jairo, Yamaga, Lílian Yuri, Ferreira, Lydia Masako","Acta Cirurgica Brasileira; 21(1); 12-15","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100004&lang=pt" 
"S0102-86502006000100005-scl","A study of the effects of pinealectomy on intestinal cell proliferation in infant newborn rats","Dalio, Marcelo Belini, Haikel Júnior, Luis Fernando, Dalio, Renato Belini, Pinto, André Pera Marques, Silva, Júlio César Fernandes da, Vespúcio, Marcelo Vinícius Oliveira, Guimarães, Marco Aurélio, Garcia, Sérgio Britto","Acta Cirurgica Brasileira; 21(1); 16-20","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100005&lang=pt" 
"S0102-86502006000100010-scl","Efeitos da desnervação intrínseca do jejuno após enterectomia extensa na síndrome do intestino curto em ratos","Carvalho, Carlos Eduardo Verdiani de, Basile, Filipe Volpe D&#039;Angieri, Vespúcio, Marcelo Vinícius Oliveira, Iglesias, Antonio Carlos Garrido, Gava, Nelson Fabrício, Garcia, Sérgio Britto","Acta Cirurgica Brasileira; 21(1); 43-46","Acta Cirurgica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100010&lang=pt" 
"S0102-86502006000100009-scl","Modelo experimental do carcinossarcoma 256 de Walker em bexiga de ratos","Dornelas, Conceição Aparecida, Almeida, Paulo Roberto Carvalho de, Nascimento, Germana Lopes do, Lima, Érika Bastos, Moraes, Manoel Odorico de","Acta Cirurgica Brasileira; 21(1); 38-42","Acta Cirurgica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100009&lang=pt" 
"S0102-86502006000100003-scl","Prehospital pediatric trauma classification (PHPTC) as a tool for optimizing trauma care resources in the city of São Paulo, Brazil","Abib, Simone de Campos Vieira, Schettini, Sergio Tomaz, Figueiredo, Luiz Francisco Poli de","Acta Cirurgica Brasileira; 21(1); 7-11","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100003&lang=pt" 
"S0102-86502006000100006-scl","Intraluminal injection of short chain fatty acids diminishes intestinal mucosa injury in experimental ischemia-reperfusion","Aguilar-Nascimento, José Eduardo de, Salomão, Alberto Bicudo, Nochi Jr., Rubens Jardim, Nascimento, Mariana, Neves, José de Souza","Acta Cirurgica Brasileira; 21(1); 21-25","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100006&lang=pt" 
"S0102-86502006000100007-scl","Evaluation of the positioning of the tip of the Veress needle during creation of closed pneumoperitoneum in pigs","Azevedo, João Luiz Moreira Coutinho, Guindalini, Rodrigo Santa Cruz, Sorbello, Albino Augusto, Silva, Cássio Edvan Paulino da, Azevedo, Otávio Cansanção, Aguiar, Gilmara da Silva, Menezes, Francisco Julimar Correia de, Delorenzo, Aline, Pasqualin, Rubens Campana, Kozu, Fábio Okutani","Acta Cirurgica Brasileira; 21(1); 26-30","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100007&lang=pt" 
"S0102-86502006000100008-scl","Total hepatic ischemia and reperfusion after state controlled hemorrhagic shock, with used of different solutions: effects of neutrophils sequestration in kidney of rats","Hirano, Elcio Shiyoiti, Mantovani, Mario, Morandin, Rosana Celestina, Brito, Jarbas de, Pavani, Lilian","Acta Cirurgica Brasileira; 21(1); 31-37","Acta Cirurgica Brasileira","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100008&lang=pt" 
"S0102-86502006000100011-scl","Análise biomecânica do joelho íntegro e com ruptura do ligamento cruzado cranial quanto ao grau de deslocamento cranial e rigidez articular em cães","Romano, Leandro, Pereira, Cezar Augusto Martins, Schmaedecke, Alexandre, Saut, João Paulo Elsen, Ferrigno, Cássio Ricardo Auada","Acta Cirurgica Brasileira; 21(1); 46-50","Acta Cirurgica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100011&lang=pt" 
"S0102-86502006000100012-scl","Efeitos da oxigenoterapia hiperbárica em ratos submetidos à ligadura das veias hepáticas: avaliação da mortalidade e da histologia do fígado e baço","Costa-Val, Ricardo, Nunes, Tarcizo Afonso, Silva, Roberto Carlos de Oliveira e, Souza, Tatiana Karina De Puy e","Acta Cirurgica Brasileira; 21(1); 51-56","Acta Cirurgica Brasileira","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502006000100012&lang=pt" 
"S0004-27492006000100008-scl","Epífora e flacidez sem ectrópio: &quot;tarsal strip&quot; resolve sempre?","Knijnik, Denis","Arquivos Brasileiros de Oftalmologia; 69(1); 37-39","Arquivos Brasileiros de Oftalmologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492006000100008&lang=pt" 
