"S0718-33052006000100010-chl","TRANSFORMATIONAL AND TRANSACTIONAL LEADERSHIP: A STUDY OF THEIR INFLUENCE IN SMALL COMPANIES","Pedraja-Rejas, Liliana, Rodríguez-Ponce, Emilio, Delgado-Almonte, Milagros, Rodríguez-Ponce, Juan","Ingeniare. Revista chilena de ingeniería; 14(2); 159-166","Ingeniare. Revista chilena de ingeniería","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-33052006000100010&lang=pt" 
"S0568-25172006000200007-mex","Soluciones pulso en la calidad postcosecha de lisianthus (Eustoma grandiflorum Raf.) cv. &#039;echo blue&#039;","Cruz-Crespo, Elia, Arévalo-Galarza, Lourdes, Cano-Medrano, Raquel, Gaytán-Acuña, Elda Araceli","Agricultura técnica en México; 32(2); 191-200","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200007&lang=pt" 
"S0568-25172006000200008-mex","Distribución de la punta morada y Bactericera cockerelli Sulc. en las principales zonas productoras de papa en México","Rubio Covarrubias, Oswaldo Ángel, Almeyda León, Isidro Humberto, Ireta Moreno, Javier, Sánchez Salas, José Alfredo, Fernández Sosa, Rogelio, Borbón Soto, José Trinidad, Díaz Hernández, Carlos, Garzón Tiznado, José Antonio, Rocha Rodríguez, Ramiro, Cadena Hinojosa, Mateo Armando","Agricultura técnica en México; 32(2); 201-211","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200008&lang=pt" 
"S0568-25172006000200009-mex","Caracterización de líneas de jitomate en hidroponía","Ramos Ortega, Adriana, Carballo Carballo, Aquiles, Hernández Livera, Adrián, Corona Torres, Tarsicio, Sandoval Villa, Manuel","Agricultura técnica en México; 32(2); 213-223","Agricultura técnica en México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0568-25172006000200009&lang=pt" 
"S1851-82652006000200001-arg","Democracia, Ciudadanía y Políticas Sociales","","Salud colectiva; 2(2); 109-112","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200001&lang=pt" 
"S1851-82652006000200002-arg","Epistemología y Teoría del Conocimiento","García, Rolando","Salud colectiva; 2(2); 109-122","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200002&lang=pt" 
"S1851-82652006000200004-arg","Educación Permanente en Salud: una Estrategia para Intervenir en la Micropolítica del Trabajo en Salud","Merhy, Emerson Elias, Camargo Macruz Feuerwerker, Laura, Burg Ceccim, Ricardo","Salud colectiva; 2(2); 147-160","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200004&lang=pt" 
"S1851-82652006000200005-arg","Pruebas Genéticas Predictivas y Percepción de Riesgos: Apuntes para la Comunicación Pública de Contenidos sobre Biotecnología","Castiel, Luis David, Sanz Valero, Javier","Salud colectiva; 2(2); 161-172","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200005&lang=pt" 
"S1851-82652006000200008-arg","La Descentralización de Servicios de Salud en Córdoba (Argentina): Entre la Confianza Democrática y el Desencanto Neoliberal","Ase, Iván","Salud colectiva; 2(2); 199-218","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200008&lang=pt" 
"S1851-82652006000200006-arg","Esterilizadas en Nombre de la Salud Pública: Raza, Inmigración y Control Reproductivo en California en el Siglo XX","Minna Stern, Alexandra","Salud colectiva; 2(2); 173-189","Salud colectiva","Espanhol","2006","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652006000200006&lang=pt" 
"S1130-14732006000400001-esp","Aneurismas de la región de la arteria oftálmica","Vega-Basulto, S.D., Gutiérrez-Muñoz, F.G., Mosquera-Betancourt, G., Rivero-Truit, F., Vega-Trenado, S. A.","Neurocirugía; 17(4); 303-316","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400001&lang=pt" 
"S0004-06142006000600005-esp","Evolución urológica de pacientes con agenesia de sacro: 20 años de seguimiento","Abascal Junquera, José María, Conejero Sugrañes, Joan, Martos Calvo, Raul, Celma Doménech, Ana, Salvador Lacambra, Carlos, Zamora Escamez, Pascual","Archivos Españoles de Urología (Ed. impresa); 59(6); 595-600","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600005&lang=pt" 
"S0004-06142006000600010-esp","Quiste prauretral de la glándula de Llitré: un caso excepcional","Bujons, Anna, Ponce de León, X., Baez, Carlos, Gausa, Lluis, Montlleó, M., Caparrós, Joan, Villavicencio, Humberto","Archivos Españoles de Urología (Ed. impresa); 59(6); 624-626","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600010&lang=pt" 
"S0004-06142006000600004-esp","Estudio de factores físico-químicos en pacientes con litiasis renal","Arrabal Martín, Miguel, Fernández Rodríguez, Antonio, Arrabal Polo, Miguel Ángel, Ruíz García, Mª José, Zuluaga Gómez, Armando","Archivos Españoles de Urología (Ed. impresa); 59(6); 583-594","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600004&lang=pt" 
"S0004-06142006000600015-esp","A propósito de un caso: priapismo de alto flujo","Bujons, Anna, Pascual, X., Martí, J., De la Torre, P., Sarquella, H., Villavicencio, Humberto","Archivos Españoles de Urología (Ed. impresa); 59(6); 640-644","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600015&lang=pt" 
"S0004-06142006000600007-esp","Nuevo sling masculino &quot;ARGUS&quot; para el tratamiento de la incontinencia urinaria de esfuerzo","Moreno Sierra, Jesús, Victor Romano, Salomón, Galante Romo, Isabel, Barrera Ortega, Jerónimo, Salinas Casado, Jesús, Silmi Moyano, Angel","Archivos Españoles de Urología (Ed. impresa); 59(6); 607-613","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600007&lang=pt" 
"S0004-06142006000600016-esp","Tratamiento endoscópico de una válvula uretral posterior tipo III","Álvarez Múgica, Miguel, Fernández Gómez, Jesús Mª, Jalón Monzón, Antonio, Escaf Barmadahn, Safwan, González Álvarez, Roberto Carlos, Regadera Sejas, Francisco Javier","Archivos Españoles de Urología (Ed. impresa); 59(6); 645-645","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600016&lang=pt" 
"S0004-06142006000600001-esp","Cancer de próstata: sobretratamiento y sobrediagnóstico","García González, Ricardo, Mayayo Dehesa, Teodoro","Archivos Españoles de Urología (Ed. impresa); 59(6); 563-569","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600001&lang=pt" 
"S0004-06142006000600008-esp","Nefroureterectomía derecha laparoscópica vía transperitoneal","Escalera Almendros, Carlos, Chiva Robles, Vicente, Rodríguez García, Nuria, Pascual Mateo, Carlos, García Tello, Ana, Berenguer Sánchez, Antonio","Archivos Españoles de Urología (Ed. impresa); 59(6); 615-620","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600008&lang=pt" 
"S0004-06142006000600003-esp","Cirugía renal conservadora de nefronas como tratamiento de rescate tras fracaso de la termoablación mediante radiofrecuencia en paciente monorreno con adenocarcinoma renal","Fernández Rosado, Enrique, Sánchez Rodríguez-Losada, Javier, Chantada Abal, Venancio, Rois Soto, José Manuel","Archivos Españoles de Urología (Ed. impresa); 59(6); 577-582","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600003&lang=pt" 
"S0004-06142006000600011-esp","Presencia de malla de prolene en vagina","Bujons, Anna, Errando, Carlos, Prados, Manel, Báez, Carlos, Arañó, Pedro, Villavicencio, Humberto","Archivos Españoles de Urología (Ed. impresa); 59(6); 627-631","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600011&lang=pt" 
"S0004-06142006000600013-esp","Torsión de pene: A propósito de un caso","Arch Cañas, Albert, Gutiérrez del Pozo, Rafael","Archivos Españoles de Urología (Ed. impresa); 59(6); 635-636","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600013&lang=pt" 
"S0004-06142006000600006-esp","¿Puede sustituir el nomograma de Blaivas y Groutz a los estudios videourodinámicos en el diagnóstico de la obstrucción del tracto urinario inferior en la mujer?","Vírseda Chamorro, Miguel, Salinas Casado, Jesús, Adot Zurbano, José María, Martín García, Carlos","Archivos Españoles de Urología (Ed. impresa); 59(6); 601-605","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600006&lang=pt" 
"S0004-06142006000600002-esp","Necrosis de pene: Revisión de 18 casos en el Hospital de Especialidades Centro Médico nacional Siglo XXI","Montoya Martínez, Guillermo, Otero García, José Manuel, López Samano, Virgilio, González Martínez, José, Serrano Brambila, Eduardo","Archivos Españoles de Urología (Ed. impresa); 59(6); 571-576","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600002&lang=pt" 
"S0004-06142006000600014-esp","Papiloma invertido de la uretra anterior masculina: Presentación de un caso y breve revisión de la literatura","Ochoa Undargarain, Otto, Hermida Pérez, José A., Ochoa Montes de Oca, Johannes","Archivos Españoles de Urología (Ed. impresa); 59(6); 635-636","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600014&lang=pt" 
"S0004-06142006000600009-esp","Carcinoma sarcomatoide renal con elementos heterólogos malignos: A propósito de un caso","Torres Gómez, Francisco Javier, Torres Olivera, Francisco Javier","Archivos Españoles de Urología (Ed. impresa); 59(6); 621-624","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600009&lang=pt" 
"S0004-06142006000600012-esp","Tumor de Wilms en paciente adulto presentación de un caso: Case report","Martínez Mansur, Rodrigo, Piana, Mauro, Codone, José, Díez, Marcos, Elizalde, Florencia, Reyes, Eduardo, Villeta, Matias, Lioy Lupis, Marcelo, Solano, Francisco, Serrano, A., Proto, J., Sicher, R.","Archivos Españoles de Urología (Ed. impresa); 59(6); 632-634","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142006000600012&lang=pt" 
"S1130-14732006000400004-esp","Hernias discales calcificadas en la infancia","Ortega-Martínez, M., Cabezudo, J.M., Fernández-Portales, I., Gómez-Perals, L., Bernal-García, L.M.","Neurocirugía; 17(4); 333-339","Neurocirugía","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732006000400004&lang=pt" 
"S1516-73132006000200005-scl","O estudo do tratamento da informação nos livros didáticos das séries iniciais do ensino fundamental","Lemos, Maria Patrícia Freitas de","Ciência &amp; Educação (Bauru); 12(2); 171-184","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200005&lang=pt" 
"S1516-73132006000200001-scl","Editorial","","Ciência &amp; Educação (Bauru); 12(2); -","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200001&lang=pt" 
"S1516-73132006000200008-scl","Cautela ao usar imagens em aulas de ciências","Silva, Henrique César da, Zimmermann, Erika, Carneiro, Maria Helena da Silva, Gastal, Maria Luiza, Cassiano, Webster Spiguel","Ciência &amp; Educação (Bauru); 12(2); 219-233","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200008&lang=pt" 
"S1516-73132006000200006-scl","Formação de professores e educadores para abordagem da educação sexual na escola: o que mostram as pesquisas","Silva, Regina Célia Pinheiro da, Megid Neto, Jorge","Ciência &amp; Educação (Bauru); 12(2); 185-197","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200006&lang=pt" 
"S1516-73132006000200004-scl","O ensino de física no contexto da deficiência visual: análise de uma atividade estruturada sobre um evento sonoro - posição de encontro de dois móveis","Camargo, Eder Pires de, Silva, Dirceu da","Ciência &amp; Educação (Bauru); 12(2); 155-169","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200004&lang=pt" 
"S1516-73132006000200007-scl","A visão dos pesquisadores-orientadores de um programa de vocação científica sobre a iniciação científica de estudantes de ensino médio","Filipecki, Ana, Barros, Susana de Sousa, Elia, Marcos da Fonseca","Ciência &amp; Educação (Bauru); 12(2); 199-217","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200007&lang=pt" 
"S1516-73132006000200009-scl","Ensinar, formar, educar e instruir: a linguagem da crise escolar","Barbosa-Lima, Maria da Conceição, Castro, Giselle Faur de, Araújo, Roberto Moreira Xavier de","Ciência &amp; Educação (Bauru); 12(2); 235-245","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200009&lang=pt" 
"S1516-73132006000200003-scl","O ensino de Física para deficientes visuais a partir de uma perspectiva fenomenológica","Costa, Luciano Gonsalves, Neves, Marcos Cesar Danhoni, Barone, Dante Augusto Couto","Ciência &amp; Educação (Bauru); 12(2); 143-153","Ciência &amp; Educação (Bauru)","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200003&lang=pt" 
"S1516-73132006000200002-scl","El trabajo de laboratorio en cursos de física desde la teoría de campos conceptuales","Andres Z., Ma. Maite, Pesa, Marta A., Moreira, Marco Antonio","Ciência &amp; Educação (Bauru); 12(2); 129-142","Ciência &amp; Educação (Bauru)","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-73132006000200002&lang=pt" 
"S1130-01082006000800007-esp","Pancreatic pseudocyst located in the liver","Les, I., Córdoba, J., Vargas, V., Guarner, L., Boyé, R., Pineda, V.","Revista Española de Enfermedades Digestivas; 98(8); 616-620","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800007&lang=pt" 
"S1130-01082006000800011-esp","Quiste mesentérico: Experiencia en 4 casos","Martínez Ramos, D., Rodríguez Pereira, C., Escrig Sos, J., Pellicer, V., Miralles Tena, J. M., Salvador Sanchís, J. L.","Revista Española de Enfermedades Digestivas; 98(8); 626-627","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800011&lang=pt" 
"S1130-01082006000800005-esp","Indications and therapeutical options in hepatolithiasis","Ramia, J. M., Palomeque, A., Muffak, K., Villar, J., Garrote, D., Ferrón, J. A.","Revista Española de Enfermedades Digestivas; 98(8); 597-604","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800005&lang=pt" 
"S1130-01082006000800015-esp","Hepatolitiasis de la placa hiliar simulando colangiocarcinoma perihiliar tipo II","García Moreno, J. L., López Bernal, F., Molina García, D. A., Pareja Ciuró, F., García González, I., Gómez Bravo, M. A., Bernardos Rodríguez, A., Serrano Díez-Canedo, J., Barrera Pulido, L.","Revista Española de Enfermedades Digestivas; 98(8); 633-634","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800015&lang=pt" 
"S1130-01082006000800004-esp","EUS-guided mucosectomy for gastrointestinal cancer","Miquel, J. M., Abad, R., Souto, J., Fabra, R., Vila, M., Bargalló, D., Vázquez-Iglesias, J. L., Varas Lorenzo, M. J.","Revista Española de Enfermedades Digestivas; 98(8); 582-590","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800004&lang=pt" 
"S1130-01082006000800002-esp","Is anal endosonography useful in the study of recurrent complex fistula-in-ano?","Fernández-Frías, A. M., Pérez-Vicente, F., Arroyo, A., Sánchez-Romero, A. M., Navarro, J. M., Serrano, P., Oliver, I., Costa, D., Candela, F., Calpena, R.","Revista Española de Enfermedades Digestivas; 98(8); 573-581","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800002&lang=pt" 
"S1130-01082006000800006-esp","Hepatitis C and insulin resistance: steatosis, fibrosis and non-response","Romero-Gómez, M.","Revista Española de Enfermedades Digestivas; 98(8); 605-615","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800006&lang=pt" 
"S1130-01082006000800003-esp","MRI and endoscopic ultrasonography in the staging of gastric cancer","Arocena, M. G., Barturen, A., Bujanda, L., Casado, O., Ramírez, M. M., Oleagoitia, J. M., Galdiz Iturri, M., Múgica, P., Cosme, A., Gutiérrez-Stampa, M. A., Zapata, E., Echenique-Elizondo, M.","Revista Española de Enfermedades Digestivas; 98(8); 582-590","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800003&lang=pt" 
"S1130-01082006000800008-esp","Colitis by Cryptosporidium as initial manifestation of acquired immunodeficiency syndrome","Pita-Fernández, L., Vargas-Castrillón, J., Pazos, C., Gallego, I., García-Monzón, C.","Revista Española de Enfermedades Digestivas; 98(8); 621-623","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800008&lang=pt" 
"S1130-01082006000800009-esp","Hepatitis autoinmune","García-Buey, L., Moreno-Otero, R.","Revista Española de Enfermedades Digestivas; 98(8); 624-624","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800009&lang=pt" 
"S1130-01082006000800001-esp","Usefulness of anal ultrasonography in anal fistula","Mínguez Pérez, M., García-Granero, E.","Revista Española de Enfermedades Digestivas; 98(8); 563-572","Revista Española de Enfermedades Digestivas","Inglês","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800001&lang=pt" 
"S1130-01082006000800014-esp","Expresión de la proteína p53 desde displasia leve hasta adenocarcinoma en un paciente con esófago de Barrett: un estudio con inmunohistoquimia","Bustamante, M., Bernet, L.","Revista Española de Enfermedades Digestivas; 98(8); 631-632","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800014&lang=pt" 
"S1130-01082006000800012-esp","Tratamiento con octreótido en el hidrotórax hepático","Garrido Serrano, A., Pascasio Acevedo, J. M., Márquez Galán, J. L.","Revista Española de Enfermedades Digestivas; 98(8); 627-629","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800012&lang=pt" 
"S1130-01082006000800010-esp","Hemorragias digestivas bajas severas por angiodisplasia colónica: Manejo y problemática diagnóstica","Ríos, A., Montoya, M., Rodríguez, J. M., Parrilla, P.","Revista Española de Enfermedades Digestivas; 98(8); 625-626","Revista Española de Enfermedades Digestivas","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082006000800010&lang=pt" 
