"S0718-58392014000200015-chl","Influence of breed and feeding on the main quality characteristics of sheep carcass and meat: A review","Ramírez-Retamal, Jorge, Morales, Rodrigo","Chilean journal of agricultural research; 74(2); 225-233","Chilean journal of agricultural research","Inglês","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392014000200015&lang=pt" 
"S0034-77442014000600004-cri","Variación fenotípica de la concha en Neritinidae (Gastropoda: Neritimorpha) en ríos de Puerto Rico","Blanco, Juan Felipe, Tamayo, Silvana, Scatena, Frederick N.","Revista de Biología Tropical; 62(); 53-68","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600004&lang=pt" 
"S0034-77442014000600003-cri","Do omnivorous shrimp influence mayfly nymph life history traits in a tropical island stream?","Macías, Nicholas A., Colón-Gaud, Checo, Duggins, Jonathan W., Ramírez, Alonso","Revista de Biología Tropical; 62(); 41-51","Revista de Biología Tropical","Inglês","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600003&lang=pt" 
"S0034-77442014000600009-cri","Land use effects on leaf litter breakdown in low-order streams draining a rapidly developing tropical watershed in Puerto Rico","Torres, Pedro J, Ramírez, Alonso","Revista de Biología Tropical; 62(); 129-142","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600009&lang=pt" 
"S0034-77442014000600008-cri","Descomposición de hojarasca en seis arroyos de Bosque Mesófilo de Montaña en la cuenca alta del río La Antigua, Veracruz, México","Astudillo, Manuel R., Ramírez, Alonso, Novelo-Gutiérrez, Rodolfo, Vázquez, Gabriela","Revista de Biología Tropical; 62(); 111-127","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600008&lang=pt" 
"S0034-77442014000600002-cri","Factores ambientales asociados con la preferencia de hábitat de larvas de tricópteros en cuencas con bosque seco tropical (Tolima, Colombia)","Vásquez-Ramos, Jesús M., Guevara-Cardona, Giovany, Reinoso-Flórez, Gladys","Revista de Biología Tropical; 62(); 21-40","Revista de Biología Tropical","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600002&lang=pt" 
"S0034-77442014000600017-cri","The Andean Biotic Index (ABI): revised tolerance to pollution values for macroinvertebrate families and index performance evaluation","Ríos-Touma, Blanca, Acosta, Raúl, Prat, Narcís","Revista de Biología Tropical; 62(); 249-273","Revista de Biología Tropical","Inglês","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442014000600017&lang=pt" 
"S0717-95532014000100006-chl","DETERMINANTES SOCIALES EN SALUD Y ESTILOS DE VIDA EN POBLACIÓN ADULTA DE CONCEPCIÓN, CHILE","VIDAL GUTIÉRREZ, DAISY, CHAMBLAS GARCÍA, ISIS, ZAVALA GUTIÉRREZ, MERCEDES, MÜLLER GILCHRIST, RALPH, RODRÍGUEZ TORRES, MARÍA CECILIA, CHÁVEZ MONTECINO, ALEJANDRA","Ciencia y enfermería; 20(1); 61-74","Ciencia y enfermería","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100006&lang=pt" 
"S0717-95532014000100007-chl","IMPACTO DO PROGRAMA DE APOIO AO TABAGISTA DE UM MUNICÍPIO DO SUL DE MINAS GERAIS, BRASIL","TAKAMATSU GOYATÁ, SUELI LEIKO, DIAS SILVA, MARCELO JOSÉ, DE SOUZA, WALNÉIA APARECIDA, CARDOSO PODESTÁ, MÁRCIA HELENA MIRANDA, BEIJO, LUIZ ALBERTO","Ciencia y enfermería; 20(1); 77-88","Ciencia y enfermería","Português","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100007&lang=pt" 
"S0717-95532014000100004-chl","EVENTOS ESTRESANTES Y LA RELACIÓN CON EL CONSUMO DE ALCOHOL Y TABACO EN ADOLESCENTES","VILLEGAS-PANTOJA, MIGUEL ÁNGEL, ALONSO-CASTILLO, MARÍA MAGDALENA, ALONSO-CASTILLO, BERTHA ALICIA, GUZMÁN FACUNDO, FRANCISCO RAFAEL","Ciencia y enfermería; 20(1); 35-46","Ciencia y enfermería","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100004&lang=pt" 
"S0717-95532014000100005-chl","CARACTERIZAÇÃO DO TRABALHO DE MENORES DE UMA ESCOLA ESTADUAL DE DIVINÓPOLIS-MG","GIAROLA CECILIO, SUMAYA, DA PENHA SILVEIRA, RENATA CRISTINA","Ciencia y enfermería; 20(1); 47-60","Ciencia y enfermería","Português","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100005&lang=pt" 
"S0717-95532014000100002-chl","HISTORIA DEL EJERCICIO PROFESIONAL DE ENFERMERAS HOSPITALARIAS DEL SUR DE CHILE (1940-1980)","PAREDES M, PAMELA, RIVAS R, EDITH","Ciencia y enfermería; 20(1); 9-21","Ciencia y enfermería","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100002&lang=pt" 
"S0717-95532014000100003-chl","A COMUNICAÇÃO PROXÊMICA NO TRABALHO DA ENFERMAGEM: UMA REVISÃO INTEGRATIVA DE LITERATURA","CHAVES TERRA, ALESSANDRA, HEIDTMANN VAGHETTI, HELENA","Ciencia y enfermería; 20(1); 23-34","Ciencia y enfermería","Português","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100003&lang=pt" 
"S0717-95532014000100001-chl","INVESTIGACIÓN HISTÓRICA E IDENTIDAD PROFESIONAL","HUAIQUIAN SILVA, JULIA","Ciencia y enfermería; 20(1); 7-8","Ciencia y enfermería","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100001&lang=pt" 
"S0717-95532014000100010-chl","A CONSTRUÇÃO DA SEXUALIDADE DE ESTUDANTES DE ENFERMAGEM E SUAS PERCEPÇÕES ACERCA DA TEMÁTICA","DUTRA SEHNEM, GRACIELA, RUBIM PEDRO, EVA NERI, DENARDIN BUDÓ, MARIA DE LOURDES, MACHADO DA SILVA, FERNANDA, RESSEL, LÚCIA BEATRIZ","Ciencia y enfermería; 20(1); 111-121","Ciencia y enfermería","Português","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100010&lang=pt" 
"S0717-95532014000100012-chl","ENFOQUES DE ESTUDIO DE CASOS EN LA INVESTIGACIÓN DE ENFERMERÍA","URRA MEDINA, EUGENIA, NÚÑEZ CARRASCO, ROCÍO, RETAMAL VALENZUELA, CARMEN, JURE CARES, LUCY","Ciencia y enfermería; 20(1); 131-142","Ciencia y enfermería","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95532014000100012&lang=pt" 
"S0718-24492014000100010-chl","Identificación, Análisis y Evaluación del Riesgo de Exposición Ocupacional en Servicios de Preparación de Citostáticos de la Red Nacional de Prestadores","Villarroel Cantillana, Esteban","Ciencia &amp; trabajo; 16(49); 56-64","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100010&lang=pt" 
"S0718-24492014000100002-chl","Relación Entre los Cambios del Ambiente Laboral Ocasionados Postevento Sísmico del 27 Febrero 2010 y la Presencia de Ansiedad y Estrés Laboral en el Profesional de Enfermería","Luengo Martínez, Carolina Elena, Astudillo Araya, Ángela, Contreras Contreras, Sonia","Ciencia &amp; trabajo; 16(49); 1-8","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100002&lang=pt" 
"S0718-24492014000100003-chl","Factores de Riesgo Psicosocial y Satisfacción Laboral en una Empresa Chilena del Área de la Minería","Gómez Rojas, Paola, Hernández Guerrero, Julia, Méndez Campos, María Doris","Ciencia &amp; trabajo; 16(49); 9-16","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100003&lang=pt" 
"S0718-24492014000100001-chl","Editorial","Varela Valenzuela, Leonardo","Ciencia &amp; trabajo; 16(49); a01-a01","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100001&lang=pt" 
"S0718-24492014000100007-chl","Teletrabajo y su Relación con la Seguridad y Salud en el Trabajo","Bonilla Prieto, Liliana Andrea, Plaza Rocha, Diana Carolina, De Cerquera, Gladys Soacha, Riaño-Casallas, Martha Isabel","Ciencia &amp; trabajo; 16(49); 38-42","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100007&lang=pt" 
"S0718-24492014000100008-chl","El Mobbing y los Síntomas de Estrés en Docentes Universitarios del Sector Público","Lara Sotomayor, Juan Eduardo, Pando Moreno, Manuel","Ciencia &amp; trabajo; 16(49); 43-48","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100008&lang=pt" 
"S0718-24492014000100009-chl","Inseguridad Laboral Percibida y Malestar Psicológico: Evaluación de Dos Modelos Predictivos en Trabajadores Suministrados de la Ciudad de Concepción, Chile","Valencia Silva, Leonardo, Avendaño Bravo, Cecilia","Ciencia &amp; trabajo; 16(49); 49-55","Ciencia &amp; trabajo","Espanhol","2014","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-24492014000100009&lang=pt" 
"S1413-81232014000401151-scl","Programa de Educação pelo Trabalho para a Saúde da Universidade de São Paulo (Campus Capital): o olhar dos tutores","Fonsêca, Graciela Soares, Junqueira, Simone Rennó","Ciência &amp; Saúde Coletiva; 19(4); 1151-1162","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401151&lang=pt" 
"S1413-81232014000401053-scl","O ensino das ciências sociais em saúde: entre o aplicado e o teórico","Barros, Nelson Filice de","Ciência &amp; Saúde Coletiva; 19(4); 1053-1063","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401053&lang=pt" 
"S1413-81232014000401263-scl","Fatores associados à procura por serviços de saúde numa perspectiva relacional de gênero","Levorato, Cleice Daiana, Mello, Luane Marques de, Silva, Anderson Soares da, Nunes, Altacílio Aparecido","Ciência &amp; Saúde Coletiva; 19(4); 1263-1274","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401263&lang=pt" 
"S1413-81232014000401095-scl","El lugar del sujeto en el campo de la salud: enseñanzas de la investigación cualitativa","Martínez-Salgado, Carolina","Ciência &amp; Saúde Coletiva; 19(4); 1095-1102","Ciência &amp; Saúde Coletiva","Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401095&lang=pt" 
"S1413-81232014000401295-scl","Método de mineração de dados para identificação de câncer de mama baseado na seleção de variáveis","Holsbach, Nicole, Fogliatto, Flávio Sanson, Anzanello, Michel Jose","Ciência &amp; Saúde Coletiva; 19(4); 1295-1304","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401295&lang=pt" 
"S1413-81232014000401007-scl","A construção teórica na sociologia da saúde: uma reflexão sobre a sua trajetória","Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1007-1018","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401007&lang=pt" 
"S1413-81232014000401319-spa","ERRATA","","Ciência &amp; Saúde Coletiva; 19(4); 1319-1319","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401319&lang=pt" 
"S1413-81232014000401123-spa","O risco das aminas biogênicas nos alimentos","Gomes, Myrna Barbosa, Pires, Bruna Amatto Duarte, Fracalanzza, Suely Aparecida Pimenta, Marin, Victor Augustus","Ciência &amp; Saúde Coletiva; 19(4); 1123-1134","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401123&lang=pt" 
"S1413-81232014000401223-spa","Atrasos nos encaminhamentos de pacientes com câncer bucal: avaliação qualitativa da percepção dos cirurgiões-dentistas","Lombardo, Eduardo Madruga, Cunha, Amanda Ramos da, Carrard, Vinicius Coelho, Bavaresco, Caren Serra","Ciência &amp; Saúde Coletiva; 19(4); 1223-1232","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401223&lang=pt" 
"S1413-81232014000401315-spa","The new sociology of the health service","Spadacio, Cristiane","Ciência &amp; Saúde Coletiva; 19(4); 1315-1316","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401315&lang=pt" 
"S1413-81232014000401085-spa","Medicina sob as lentes da História: reflexões teórico-metodológicas","Mota, André, Schraiber, Lilia Blima","Ciência &amp; Saúde Coletiva; 19(4); 1085-1094","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401085&lang=pt" 
"S1413-81232014000401053-spa","O ensino das ciências sociais em saúde: entre o aplicado e o teórico","Barros, Nelson Filice de","Ciência &amp; Saúde Coletiva; 19(4); 1053-1063","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401053&lang=pt" 
"S1413-81232014000401201-spa","Dissatisfaction with body image among adolescent students: association with socio-demographic factors and nutritional status","Pelegrini, Andreia, Coqueiro, Raildo da Silva, Beck, Carmem Cristina, Ghedin, Karoliny Debiasi, Lopes, Adair da Silva, Petroski, Edio Luiz","Ciência &amp; Saúde Coletiva; 19(4); 1201-1208","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401201&lang=pt" 
"S1413-81232014000401151-spa","Programa de Educação pelo Trabalho para a Saúde da Universidade de São Paulo (Campus Capital): o olhar dos tutores","Fonsêca, Graciela Soares, Junqueira, Simone Rennó","Ciência &amp; Saúde Coletiva; 19(4); 1151-1162","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401151&lang=pt" 
"S1413-81232014000401077-spa","Quase uma auto/biografia: um estudo sobre os cientistas sociais na saúde a partir do Currículo Lattes","Nascimento, Juliana Luporini do, Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1077-1084","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401077&lang=pt" 
"S1413-81232014000401191-spa","Perfil das exposições a medicamentos por mulheres em idade reprodutiva atendidas por um Centro de Informações Toxicológicas","Takahama, Carina Harumi, Turini, Conceição Aparecida, Girotto, Edmarlon","Ciência &amp; Saúde Coletiva; 19(4); 1191-1199","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401191&lang=pt" 
"S1413-81232014000401095-spa","El lugar del sujeto en el campo de la salud: enseñanzas de la investigación cualitativa","Martínez-Salgado, Carolina","Ciência &amp; Saúde Coletiva; 19(4); 1095-1102","Ciência &amp; Saúde Coletiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401095&lang=pt" 
"S1413-81232014000401317-spa","Ce qui circule entre nous","Conill, Eleonor Minho","Ciência &amp; Saúde Coletiva; 19(4); 1317-1318","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401317&lang=pt" 
"S1413-81232014000401031-spa","The sociology of health in the United States: recent theoretical contributions","Cockerham, William C","Ciência &amp; Saúde Coletiva; 19(4); 1031-1039","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401031&lang=pt" 
"S1413-81232014000401005-spa","Social and human sciences in health: incorporating the theory","","Ciência &amp; Saúde Coletiva; 19(4); 1005-1005","Ciência &amp; Saúde Coletiva","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401005&lang=pt" 
"S1413-81232014000401041-scl","A sociologia da saúde no Brasil - a construção de uma identidade","Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1041-1052","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401041&lang=pt" 
"S1413-81232014000401135-scl","Grupo etário e periodicidade recomendados para a mamografia de rastreio: uma revisão sistemática","Pereira, Miguel Basto, Oliveira, Joana, Ribeiro, Daniela Pinheiro, Castro, Bárbara, Yaphe, John, Sousa, Jaime Correia de","Ciência &amp; Saúde Coletiva; 19(4); 1135-1140","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401135&lang=pt" 
"S1413-81232014000401171-scl","Occupation and factors associated with exposure to the sun among beach workers","Lucena, Eudes Euler de Souza, Costa, Danielle Clarisse Barbosa, Silveira, Éricka Janine Dantas da, Lima, Kenio Costa","Ciência &amp; Saúde Coletiva; 19(4); 1171-1178","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401171&lang=pt" 
"S1413-81232014000401065-scl","A narrativa nas pesquisas qualitativas em saúde","Castellanos, Marcelo Eduardo Pfeiffer","Ciência &amp; Saúde Coletiva; 19(4); 1065-1076","Ciência &amp; Saúde Coletiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401065&lang=pt" 
"S1413-81232014000401031-scl","The sociology of health in the United States: recent theoretical contributions","Cockerham, William C","Ciência &amp; Saúde Coletiva; 19(4); 1031-1039","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401031&lang=pt" 
"S1413-81232014000401209-scl","Anemia e deficiência de vitamina A em crianças menores de cinco anos assistidas pela Estratégia Saúde da Família no Estado de Pernambuco, Brasil","Paula, Weslla Karla Albuquerque Silva de, Caminha, Maria de Fátima Costa, Figueirôa, José Natal, Batista Filho, Malaquias","Ciência &amp; Saúde Coletiva; 19(4); 1209-1222","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401209&lang=pt" 
"S1413-81232014000401077-scl","Quase uma auto/biografia: um estudo sobre os cientistas sociais na saúde a partir do Currículo Lattes","Nascimento, Juliana Luporini do, Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1077-1084","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401077&lang=pt" 
"S1413-81232014000401245-scl","Os gastos tributários e seus impactos sobre o desempenho da saúde e da educação","Paes, Nelson Leitão","Ciência &amp; Saúde Coletiva; 19(4); 1245-1253","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401245&lang=pt" 
"S1413-81232014000401103-scl","Reflexividade como éthos da pesquisa qualitativa","Minayo, Maria Cecília de Souza, Guerriero, Iara Coelho Zito","Ciência &amp; Saúde Coletiva; 19(4); 1103-1112","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401103&lang=pt" 
"S1413-81232014000401233-scl","Acesso ao diagnóstico da tuberculose em serviços de saúde do município de Vitória, ES, Brasil","Loureiro, Rafaela Borges, Villa, Tereza Cristina Scatena, Ruffino-Netto, Antônio, Peres, Renata Lyrio, Braga, Jose Ueleres, Zandonade, Eliana, Maciel, Ethel Leonor Noia","Ciência &amp; Saúde Coletiva; 19(4); 1233-1244","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401233&lang=pt" 
"S1413-81232014000401275-scl","Clinical and epidemiological aspects of scorpion stings in the northeast region of Brazil","Barros, Rafaella Moreno, Pasquino, Jackeline Araujo, Peixoto, Laisla Rangel, Targino, Isabely Tamarys Gomes, Sousa, Jorge Alves de, Leite, Renner de Souza","Ciência &amp; Saúde Coletiva; 19(4); 1275-1282","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401275&lang=pt" 
"S1413-81232014000401019-scl","Os diálogos da antropologia com a saúde: contribuições para as políticas públicas","Langdon, Esther Jean","Ciência &amp; Saúde Coletiva; 19(4); 1019-1029","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232014000401019&lang=pt" 
"S1413-81232014000401007-spa","A construção teórica na sociologia da saúde: uma reflexão sobre a sua trajetória","Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 19(4); 1007-1018","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401007&lang=pt" 
"S1413-81232014000401019-spa","Os diálogos da antropologia com a saúde: contribuições para as políticas públicas","Langdon, Esther Jean","Ciência &amp; Saúde Coletiva; 19(4); 1019-1029","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000401019&lang=pt" 
