"S1516-89132014000100018-scl","Plant cells in the context of climate change","Machado, Marcelo Rubens","Brazilian Archives of Biology and Technology; 57(1); 126-137","Brazilian Archives of Biology and Technology","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132014000100018&lang=pt" 
"S0100-69162014000100006-scl","Air flow humidification for air-assisted boom sprayer","Stanislavski, Wilson M., Antuniassi, Ulisses R., Chechetto, Rodolfo G.","Engenharia Agrícola; 34(1); 48-56","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100006&lang=pt" 
"S0100-69162014000100002-scl","Forças de atrito em silos verticais de paredes lisas em diferentes relações altura/diâmetro","Lopes Neto, José P., Nascimento, José W. B. do, Silva, Rafael C.","Engenharia Agrícola; 34(1); 8-17","Engenharia Agrícola","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100002&lang=pt" 
"S0100-69162014000100009-scl","Influence of the sample area in the variability of losses in the mechanical harvesting of soybeans","Loureiro Júnior, Antônio M., Silva, Rouverson P. da, Cassia, Marcelo T., Compagnon, Ariel M., Voltarelli, Murilo A.","Engenharia Agrícola; 34(1); 76-85","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100009&lang=pt" 
"S0100-69162014000100015-scl","Evaluation of the effect of the seed extract of Moringa oleifera Lam over the efficiency of organic filters in wastewater treatment of dairy cattle breeding","Francisco, João P., Silva, Jonathas B. G., Roque, Odir C. C., Nascentes, Alexandre L., Silva, Leonardo D. B.","Engenharia Agrícola; 34(1); 143-152","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100015&lang=pt" 
"S0100-69162014000100019-scl","Use of penetrometers in agriculture: a review","Moraes, Moacir T. de, Silva, Vanderlei R. da, Zwirtes, Anderson L., Carlesso, Reimar","Engenharia Agrícola; 34(1); 179-193","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100019&lang=pt" 
"S0100-69162014000100003-scl","Water requirement and yield of fig trees under different drip irrigation management","Andrade, Irineu P. de S., Carvalho, Daniel F. de, Almeida, Wilk S. de, Silva, Jonathas B. Gonçalves, Silva, Leonardo D. B. da","Engenharia Agrícola; 34(1); 17-27","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100003&lang=pt" 
"S0100-69162014000100001-scl","Physiological evaluation of heat stress in gestating sows under different housing systems in bedding and concrete floor","Nunes, Maria L. A., Miranda, Késia O. da S., Faria, João M. B. A. de, Vieira, Afrânio M. C., Arcaro Júnior, Irineu","Engenharia Agrícola; 34(1); 1-7","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100001&lang=pt" 
"S0100-69162014000100008-scl","Effect of working pressure at different spray nozzles on drift quantification in wind tunnel","Gandolfo, Marco A., Carvalho, Fernando K., Chechetto, Rodolfo G., Gandolfo, Ulisses D., Moraes, Eder D. de","Engenharia Agrícola; 34(1); 66-73","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100008&lang=pt" 
"S0100-69162014000100014-scl","Anaerobic-aerobic treatment of swine wastewater in uasb and batch reactors in series","Urbinati, Estevão, Oliveira, Roberto Alves de","Engenharia Agrícola; 34(1); 124-142","Engenharia Agrícola","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162014000100014&lang=pt" 
"S1413-81232014000200559-spa","As causas da deficiencia fisica em municipios do nordeste brasileiro e estimativa de custos de servicos especializados","Santos, Silvana, Pequeno, Anne Aluska da Silva, Galvao, Claudia Regina Cabral, Pessoa, Andre Luiz Santos, Almeida, Ednno dos Santos, Pereira, Josecleide Calixto, Medeiros, Jovany Luiz Alves de, Kok, Fernando","Ciência &amp; Saúde Coletiva; 19(2); 559-568","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200559&lang=pt" 
"S1413-81232014000200641-spa","Seguridad alimentaria, crecimiento y niveles de vitamina A, hemoglobina y zinc en ninos preescolares del nordeste de Brasil","Pedraza, Dixis Figueroa, Queiroz, Daiane de, Paiva, Adriana de Azevedo, Cunha, Maria Auxiliadora Lins da, Lima, Zilka Nanes","Ciência &amp; Saúde Coletiva; 19(2); 641-650","Ciência &amp; Saúde Coletiva","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200641&lang=pt" 
"S1413-81232014000200330-spa","Atencao Basica a Saude no SUS: uma heranca com testamento","Sousa, Maria Fatima de, Mendonca, Ana Valeria Machado","Ciência &amp; Saúde Coletiva; 19(2); 330-331","Ciência &amp; Saúde Coletiva","Inglês, Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200330&lang=pt" 
"S1413-81232014000200569-spa","A comunidade terapeutica para recuperacao da dependencia do alcool e outras drogas no Brasil: mao ou contramao da reforma psiquiatrica?","Perrone, Pablo Andres Kurlander","Ciência &amp; Saúde Coletiva; 19(2); 569-580","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200569&lang=pt" 
"S1413-81232014000200469-spa","The International Classification of Functioning, Disability and Health: progress and opportunities","Ferreira, Luana Talita Diniz, Castro, Shamyr Sulyvan de, Buchalla, Cassia Maria","Ciência &amp; Saúde Coletiva; 19(2); 469-474","Ciência &amp; Saúde Coletiva","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200469&lang=pt" 
"S1413-81232014000200651-spa","Cohn A.Cartas ao Presidente Lula: Bolsa Família e direitos sociais. Rio de Janeiro: Pensamento Brasileiro; 2012.","Escorel, Sarah","Ciência &amp; Saúde Coletiva; 19(2); 651-652","Ciência &amp; Saúde Coletiva","Português","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232014000200651&lang=pt" 
