"S1678-77572008000400006-scl","Surface degradation of composite resins by acidic medicines and ph-cycling","Valinoti, Ana Carolina, Neves, Beatriz Gonçalves, Silva, Eduardo Moreira da, Maia, Lucianne Cople","Journal of Applied Oral Science; 16(4); 257-265","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000400006&lang=pt" 
"S0004-27302008000600012-scl","Índice de massa corporal, circunferência da cintura e dobra cutânea triciptal na predição de alterações lipídicas em crianças com 11 anos de idade","Lunardi, Cláudia Cruz, Petroski, Édio Luiz","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1009-1014","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600012&lang=pt" 
"S0004-27302008000600002-scl","Tecido adiposo: uma breve perspectiva histórica e o momento atual","Lima, Fabio Bessa","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 927-928","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600002&lang=pt" 
"S0004-27302008000600003-scl","A hipótese do pólo comum entre a pré-eclâmpsia e o diabetes gestacional","Franco, Denise Reis","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 929-930","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600003&lang=pt" 
"S0004-27302008000600011-scl","Associação entre a perda de peso, a massa óssea, a composição corporal e o consumo alimentar de adolescentes obesos pós-púberes","Santos, Luana C., Cintra, Isa P., Fisberg, Mauro, Castro, Marise L., Martini, Lígia A.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1001-1008","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600011&lang=pt" 
"S0004-27302008000600010-scl","A hipoglicemia silenciosa é parte do controle glicêmico ideal em pacientes com DM1? - tempo de hipoglicemia pelo CGMS versus média glicêmica","Maia, Frederico Fernandes Ribeiro, Araújo, Levimar R.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 994-1000","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600010&lang=pt" 
"S0004-27302008000600007-scl","A Hypercaloric pellet-diet cycle induces obesity and co-morbidities in wistar rats","Nascimento, André F., Sugizaki, Mário M., Leopoldo, André S., Lima-Leopoldo, Ana P., Luvizotto, Renata A. M., Nogueira, Célia R., Cicogna, Antonio C.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 968-974","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600007&lang=pt" 
"S0004-27302008000600009-scl","Prevalência de disfunção tireoidiana e anticorpos antitireoidianos em pacientes portadores de diabetes melito tipo 1 e em seus familiares de primeiro grau","Rodrigues, Ricardo, Gonçalves, Fabrícia Torres, Jorge, Paulo Tannus","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 985-993","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600009&lang=pt" 
"S0004-27302008000600017-scl","Importância da metodologia na dosagem de testosterona sérica: comparação entre um imunoensaio direto e um método fundamentado em cromatografia líquida de alta performance e espectrometria de massa em tandem (HPLC/MS-MS)","Vieira, José Gilberto H., Nakamura, Odete H., Ferrer, Cláudia Maria, Tachibana, Teresinha T., Endo, Maria Helena K., Carvalho, Valdemir M.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1050-1055","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600017&lang=pt" 
"S0004-27302008000600018-scl","Investigação de baixa estatura: aspectos clínicos, laboratoriais e moleculares da insensibilidade ao hormônio de crescimento","Jorge, Alexander Augusto de Lima, Pereira, Maria Adelaide Albergaria","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1056-1065","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600018&lang=pt" 
"S0004-27302008000600019-scl","Severe hypertension and hypokalemia as first clinical manifestations in ectopic Cushing&#039;s syndrome","Fernández-Rodríguez, Eva, Villar-Taibo, Rocío, Pinal-Osorio, Iria, Cabezas-Agrícola, José Manuel, Anido-Herranz, Urbano, Prieto, Alma, Casanueva, Felipe F, Araujo-Vilar, David","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1066-1070","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600019&lang=pt" 
"S0104-530X2008000200003-scl","Previsão top-down ou bottom-up? Impacto nos níveis de erro e de estoques de segurança","Wanke, Peter","Gestão &amp; Produção; 15(2); 231-245","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200003&lang=pt" 
"S0104-530X2008000200007-scl","Práticas de gestão do conhecimento em grupos de pesquisa da rede Instituto Fábrica do Milênio","Lima, Karina Kühl de, Amaral, Daniel Capaldo","Gestão &amp; Produção; 15(2); 291-305","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200007&lang=pt" 
"S0104-530X2008000200001-scl","Carta do Editor","Pereira, Néocles Alves","Gestão &amp; Produção; 15(2); -","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200001&lang=pt" 
"S0004-27302008000600004-scl","Instrumentos de avaliação de qualidade de vida relacionada à saúde no diabetes melito","Aguiar, Carlos Clayton Torres, Vieira, Anya Pimentel G. Fernandes, Carvalho, André Ferrer, Montenegro-Junior, Renan M.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 931-939","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600004&lang=pt" 
"S0004-27302008000600005-scl","O papel dos produtos finais da glicação avançada (AGEs) no desencadeamento das complicações vasculares do diabetes","Barbosa, Júnia H. P., Oliveira, Suzana L., Seara, Luci Tojal e","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 940-950","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600005&lang=pt" 
"S0004-27302008000600006-scl","Papel da dieta na prevenção e no controle da inflamação crônica: evidências atuais","Geraldo, Júnia M., Alfenas, Rita de C. G.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 951-967","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600006&lang=pt" 
"S0004-27302008000600008-scl","Gestational diabetes and pre-eclampsia: common antecedents?","Wendland, Eliana M. Da Ros, Duncan, Bruce B., Belizán, José M., Vigo, Alvaro, Schmidt, Maria Inês","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 975-984","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600008&lang=pt" 
"S0004-27302008000600016-scl","Incretin mimetics and dipeptidyl peptidase-4 inhibitors: innovative treatment therapies for type 2 diabetes","Davidson, Jaime A., Parente, Erika B., Gross, Jorge L.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 52(6); 1039-1049","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302008000600016&lang=pt" 
"S0104-530X2008000200002-scl","A influência da orientação à geração de valor ao acionista nas práticas de gestão de pessoas no ambiente da produção","Marx, Roberto, Soares, João Paulo Reis Faleiros","Gestão &amp; Produção; 15(2); 215-230","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200002&lang=pt" 
"S0104-530X2008000200004-scl","Efeitos da adoção do modelo do Prêmio Nacional da Qualidade na medição de desempenho: estudos de caso em empresas ganhadoras do prêmio","Oliveira, Gerusa Tinasi de, Martins, Roberto Antonio","Gestão &amp; Produção; 15(2); 247-259","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200004&lang=pt" 
"S0104-530X2008000200005-scl","Um sistema de indicadores para comparação entre organizações: o caso das pequenas e médias empresas de construção civil","Mello, Luiz Carlos Brasil de Brito, Amorim, Sérgio Roberto Leusin de, Bandeira, Renata Albergaria de Mello","Gestão &amp; Produção; 15(2); 261-274","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200005&lang=pt" 
"S0104-530X2008000200006-scl","Otimização no serviço de saúde no estado do Paraná: fluxo de pacientes e novas configurações hierárquicas","Scarpin, Cassius Tadeu, Steiner, Maria Teresinha Arns, Dias, Gláucio José Cardozo, Steiner Neto, Pedro José","Gestão &amp; Produção; 15(2); 275-290","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200006&lang=pt" 
"S0104-530X2008000200008-scl","Medição do inventário em processo e tempo de atravessamento em manufatura por modelagem em redes de Petri e diagrama de resultados","Facchin, Tiago, Sellitto, Miguel Afonso","Gestão &amp; Produção; 15(2); 307-321","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200008&lang=pt" 
"S0104-530X2008000200009-scl","Implantação do método activity based costing na logística interna de uma empresa química","Vasconcellos, Themis Castro de, Marins, Fernando Augusto Silva, Muniz Junior, Jorge","Gestão &amp; Produção; 15(2); 323-335","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200009&lang=pt" 
"S0104-530X2008000200013-scl","Avaliação de resultados e impactos da pesquisa e desenvolvimento: avanços e desafios metodológicos a partir de estudo de caso","Furtado, André Tosi, Bin, Adriana, Bonacelli, Maria Beatriz Machado, Paulino, Sônia Regina, Miglino, Maria Augusta, Castro, Paula Felício Drummond de","Gestão &amp; Produção; 15(2); 381-392","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200013&lang=pt" 
"S0104-530X2008000200014-scl","Algoritmo genético de agrupamento para formação de módulos de arranjo físico","Argoud, Ana Rita Tiradentes Terra, Gonçalves Filho, Eduardo Vila, Tiberti, Alexandre José","Gestão &amp; Produção; 15(2); 393-405","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200014&lang=pt" 
"S0104-530X2008000200015-scl","Aspectos de complexidade do trabalho de coletores de lixo domiciliar: a gestão da variabilidade do trabalho na rua","Vasconcelos, Renata Campos, Lima, Francisco de Paula Antunes, Camarotto, João Alberto, Abreu, Ana Carolina Medeiros da Silveira, Coutinho Filho, Augusto Otávio Silveira","Gestão &amp; Produção; 15(2); 407-419","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200015&lang=pt" 
"S0104-530X2008000200016-scl","Eficiência bancária: os maiores bancos são os mais eficientes? Uma análise por envoltória de dados","Périco, Ana Elisa, Rebelatto, Daisy Aparecida do Nascimento, Santana, Naja Brandão","Gestão &amp; Produção; 15(2); 421-431","Gestão &amp; Produção","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2008000200016&lang=pt" 
"S0365-05962008000400009-scl","Tungíase disseminada tratada com ivermectina","Gatti, Flávia Romero, Oliveira, Caroline Montoza de, Servilha, Thais Reis, Sanchez, Ana Paula Galli","Anais Brasileiros de Dermatologia; 83(4); 339-342","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400009&lang=pt" 
"S0365-05962008000400015-scl","Você conhece esta síndrome?","Coeli, Flávia Regina, Macedo, Danielle Mazziero, Batista, Mariana Dias, Cestari, Silmara da Costa Pereira, Rotta, Osmar","Anais Brasileiros de Dermatologia; 83(4); 375-377","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400015&lang=pt" 
"S0365-05962008000400001-scl","Deveres e responsabilidades dos pareceristas","Vale, Everton Siviero do, Gontijo, Bernardo, Marques, Silvio Alencar","Anais Brasileiros de Dermatologia; 83(4); 281-282","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400001&lang=pt" 
"S0365-05962008000400008-scl","Infecção cutânea rara por Acinetobacter baumannii em imunocompetente: relato de um caso","Cirino, Pablo Vitoriano, Guimarães, Newton Sales, Follador, Ivonise","Anais Brasileiros de Dermatologia; 83(4); 335-338","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400008&lang=pt" 
"S0365-05962008000400007-scl","Fusariose em paciente imunocomprometido: sucesso terapêutico com voriconazol","Pincelli, Thaís Prota Hussein, Brandt, Hebert Roberto Clivati, Motta, Adriana Lopes, Maciel, Felipe Vieira Rodrigues, Criado, Paulo Ricardo","Anais Brasileiros de Dermatologia; 83(4); 331-334","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400007&lang=pt" 
"S0365-05962008000400006-scl","Envolvimento mucocutâneo no lúpus eritematoso sistêmico e sua associação com auto-anticorpos","Machado, Ana Paula Bachtold, Dykyj, Michelle Totti, Vandresen, Nadine, Skare, Thelma L","Anais Brasileiros de Dermatologia; 83(4); 323-328","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400006&lang=pt" 
"S0365-05962008000400004-scl","A terapia fotodinâmica com ácido 5-aminolevulínico como modalidade de tratamento para neoplasias cutâneas não-melanoma","Felício, Lília Bernardini Antunes de, Ferreira, Juliana, Bentley, Maria Vitória Badra, Bagnato, Vanderlei Salvador, Tedesco, Cláudio Antonio, Souza, Cacilda da Silva","Anais Brasileiros de Dermatologia; 83(4); 309-316","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400004&lang=pt" 
"S0365-05962008000400003-scl","Associação entre lúpus eritematoso e tabagismo","Araújo, Júnia Maria Fernandes, Oliveira, Ana Rosa Magaldi Ribeiro de, Cedrim, Sâmya Diégues, Tristão, Olímpia Castelo, Gamonal, Aloísio","Anais Brasileiros de Dermatologia; 83(4); 303-308","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400003&lang=pt" 
"S0365-05962008000400005-scl","Câncer cutâneo em Taubaté (SP) - Brasil, de 2001 a 2005: um estudo de prevalência","Ferreira, Flávia Regina, Nascimento, Luiz Fernando C.","Anais Brasileiros de Dermatologia; 83(4); 317-322","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400005&lang=pt" 
"S0365-05962008000400010-scl","Imunologia da hanseníase","Mendonça, Vanessa Amaral, Costa, Rosane Dias, Melo, Gustavo Eustáquio Brito Alvim de, Antunes, Carlos Maurício, Teixeira, Antonio Lúcio","Anais Brasileiros de Dermatologia; 83(4); 343-350","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400010&lang=pt" 
"S0365-05962008000400014-scl","Tratamento de vasculopatia livedóide com imunoglobulina intravenosa","Sobral Filho, Jader Freire, Valdek, Milane Caroline de Oliveira, Rodrigues, Luiza Toscano Dias","Anais Brasileiros de Dermatologia; 83(4); 372-374","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400014&lang=pt" 
"S0365-05962008000400013-scl","Possibilidade de associação de melanoma e acromegalia","Leães, Carolina Garcia Soares, Batista, Rafael Loch, Dallago, Cristina Micheletto, Lima, Julia Fernanda Semelmann Pereira, Oliveira, Miriam da Costa","Anais Brasileiros de Dermatologia; 83(4); 369-371","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400013&lang=pt" 
"S0365-05962008000400016-scl","Haga su diagnostico","Rivelli, Victoria, Domínguez, Liz, Gorostiaga, Graciela, Mendoza, Gloria, Aldama, Arnaldo","Anais Brasileiros de Dermatologia; 83(4); 379-381","Anais Brasileiros de Dermatologia","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400016&lang=pt" 
"S1519-566X2008000400001-scl","Nymph and adult biology of Dichelops melacanthus (Dallas) (Heteroptera: Pentatomidae) feeding on cultivated and non-cultivated host plants","Chocorosqui, Viviane R., Panizzi, Antônio R.","Neotropical Entomology; 37(4); 353-360","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400001&lang=pt" 
"S1519-566X2008000400006-scl","Utilização dos recursos florais pelos visitantes em Sparattosperma leucanthum (Vell.) K. Schum. (Bignoniaceae)","Polatto, Leandro P., Alves Jr., Valter V.","Neotropical Entomology; 37(4); 389-398","Neotropical Entomology","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400006&lang=pt" 
"S1519-566X2008000400007-scl","Evaluation of three methods for sampling ground-dwelling Ants in the Brazilian Cerrado","Lopes, Cauê T., Vasconcelos, Heraldo L.","Neotropical Entomology; 37(4); 399-405","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400007&lang=pt" 
"S1519-566X2008000400010-scl","A new species of Laranda Walker 1869 (Orthoptera: Grylloidea, Phalangopsidae) from remnant patches of the Brazilian Atlantic Forest","Mews, Carina M., Lopes-Andrade, Cristiano, Sperber, Carlos F.","Neotropical Entomology; 37(4); 420-425","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400010&lang=pt" 
"S1519-566X2008000400013-scl","Diversidad de cicadélidos y clastoptéridos (Hemiptera) en tres zonas productoras de café afectadas por Xylella fastidiosa Wells et al. en Costa Rica","Garita-Cambronero, Jerson, Villalobos, William, Godoy, Carolina, Rivera, Carmen","Neotropical Entomology; 37(4); 436-448","Neotropical Entomology","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400013&lang=pt" 
"S1519-566X2008000400019-scl","Thrips (Thysanoptera: Thripidae, Phlaeothripidae) damaging peach in Paranapanema, São Paulo State, Brazil","Pinent, Silvia M.J., Mascaro, Fernando, Botton, Marcos, Redaelli, Luiza R.","Neotropical Entomology; 37(4); 486-488","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400019&lang=pt" 
"S1519-566X2008000400020-scl","Erratum: microbiota fúngica de melipona subnitida Ducke (Hymenoptera: Apidae)","","Neotropical Entomology; 37(4); 489-489","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400020&lang=pt" 
"S0365-05962008000400002-scl","Criocirurgia com nitrogênio líquido e as dermatoses infecciosas","Moraes, Aparecida Machado de, Velho, Paulo Eduardo Neves Ferreira, Magalhães, Renata Ferreira","Anais Brasileiros de Dermatologia; 83(4); 285-298","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400002&lang=pt" 
"S0365-05962008000400011-scl","Leucemia/linfoma de células T do adulto","Bittencourt, Achiléa L., Farré, Lourdes","Anais Brasileiros de Dermatologia; 83(4); 351-359","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400011&lang=pt" 
"S0365-05962008000400012-scl","Experiência de 65 anos no tratamento da acne e de 26 anos com isotretinoína oral","Sampaio, Sebastião de Almeida Prado, Bagatin, Edileia","Anais Brasileiros de Dermatologia; 83(4); 361-367","Anais Brasileiros de Dermatologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962008000400012&lang=pt" 
"S1519-566X2008000400003-scl","Photoperiodism and seasonality in neotropical population of Plutella xylostella L. (Lepidoptera: Yponomeutidae)","Campos, Wellington G.","Neotropical Entomology; 37(4); 365-369","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400003&lang=pt" 
"S1519-566X2008000400008-scl","Abundance and species richness of Coreoidea (Hemiptera: Heteroptera) from Parque Estadual do Turvo, Southern Brazil","Barcellos, Aline, Schmidt, Letícia S., Brailovsky, Harry","Neotropical Entomology; 37(4); 406-412","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400008&lang=pt" 
"S1519-566X2008000400009-scl","Morphological regional differences of epithelial cells along the midgut in Diatraea saccharalis Fabricius (Lepidoptera: Crambidae) larvae","Pinheiro, Daniela O., Quagio-Grassiotto, Irani, Gregório, Elisa A.","Neotropical Entomology; 37(4); 413-419","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400009&lang=pt" 
"S1519-566X2008000400012-scl","Morphology of male reproductive system in three species of Trypoxylon (Trypargilum) Richards (Hymenoptera: Crabronidae)","Moreira, Polyana A., Araújo, Vinícius A., Zama, Uyrá, Lino-Neto, José","Neotropical Entomology; 37(4); 429-435","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400012&lang=pt" 
"S1519-566X2008000400015-scl","Population dynamics of Aceria guerreronis Keifer (Acari: Eriophyidae) and associated predators on coconut fruits in Northeastern Brazil","Reis, Aleuny C., Gondim Jr., Manoel G.C., Moraes, Gilberto J. de, Hanna, Rachid, Schausberger, Peter, Lawson-Balagbo, Late E., Barros, Reginaldo","Neotropical Entomology; 37(4); 457-462","Neotropical Entomology","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2008000400015&lang=pt" 
