"S0100-879X2000000200003-scl","Insect juvenile hormone: from &quot;status quo&quot; to high society","Hartfelder, K.","Brazilian Journal of Medical and Biological Research; 33(2); 157-177","Brazilian Journal of Medical and Biological Research","Inglês","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2000000200003&lang=pt" 
"S0004-27492000000100005-scl","Influência da cicloplegia sobre a ação hipotensora do latanoprost em indivíduos normais","Alves, Marco Aurélio, Marback, Patrícia Maria F., Prata Jr., João Antonio","Arquivos Brasileiros de Oftalmologia; 63(1); 25-28","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100005&lang=pt" 
"S0004-27492000000100003-scl","Lasik para correção de miopia, astigmatismos e hipermetropia","Kwitko, Sérgio, Marinho, Diane, Raskin, Roseli, Sprinz, Sérgio, Rabin, Moacir, Rymer, Samuel, Noble, Antonio Mendez","Arquivos Brasileiros de Oftalmologia; 63(1); 9-18","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100003&lang=pt" 
"S0004-27492000000100004-scl","Videoangiografia digital com a fluoresceína sódica e indocianina verde na doença hipertensiva específica da gestação","Pereira, Maurício B., Salum, Juliana Ferraz, Calucci, Daniela, Ferraz, Paulo Eduardo, Uno, Fausto, Farah, Michel E.","Arquivos Brasileiros de Oftalmologia; 63(1); 19-23","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100004&lang=pt" 
"S0004-27492000000100009-scl","O uso do &quot;photoscreening&quot; no estudo de fatores ambliopigênicos na população infantil","Reis, Pedro Paulo Leite dos, Kawakami, Wagner Oto, Mourão, Domingos A. C.","Arquivos Brasileiros de Oftalmologia; 63(1); 45-48","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100009&lang=pt" 
"S0004-27492000000100014-scl","Correção de estrabismo paralítico por injeção de toxina botulínica","Wattiez, Raquel, Casanova, Fábio Henrique Cacho, Cunha, Rosana N. Pires da, Mendonça, Tomás Scalamandré","Arquivos Brasileiros de Oftalmologia; 63(1); 71-77","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100014&lang=pt" 
"S0004-27492000000100017-scl","Paresia de IV nervo por diabete melito","Curi, Renato L. N.","Arquivos Brasileiros de Oftalmologia; 63(1); 87-89","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100017&lang=pt" 
"S0004-27492000000100019-scl","An Improved Surgical Technique for Pterygium Excision With Intraoperative Application of Mitomycin &lt;FONT FACE=Symbol&gt;-&lt;/FONT&gt; C","","Arquivos Brasileiros de Oftalmologia; 63(1); 97-97","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100019&lang=pt" 
"S0004-27492000000100008-scl","Endoftalmite: uma análise de 58 casos","Schirmbeck, Tarciso, Romão, Erasmo, Rodrigues, Maria de Lourdes Veronese, Figueiredo, José Fernando de Castro","Arquivos Brasileiros de Oftalmologia; 63(1); 39-44","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100008&lang=pt" 
"S0004-27492000000100013-scl","Correlação entre os achados à biomicroscopia ultra-sônica de bolhas filtrantes, com ou sem mitomicina C, e a pressão intra-ocular","Marcon, Italo Mundialino, Mello, Paulo Augusto de Arruda, Corrêa, Zélia Maria da Silva, Marcon, Alexandre Seminoti","Arquivos Brasileiros de Oftalmologia; 63(1); 65-70","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100013&lang=pt" 
"S0004-27492000000100018-scl","Atualização no tratamento das ceratoconjuntivites cicatriciais","Gomes, José Alvaro Pereira","Arquivos Brasileiros de Oftalmologia; 63(1); 91-96","Arquivos Brasileiros de Oftalmologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492000000100018&lang=pt" 
"S0100-72032000000100001-scl","Femina, RBGO e o ano 2000","","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 6-6","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100001&lang=pt" 
"S0100-72032000000100010-scl","Nível plasmático de tamoxifeno e resposta tumoral de pacientes com câncer avançado de mama","Matthes, Ângelo do Carmo Silva","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 55-55","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100010&lang=pt" 
"S0100-72032000000100006-scl","Efeitos do tamoxifeno e dos estrogênios conjugados no epitélio mamário de ratas em estro permanente","Silva, Benedito Borges da, Gebrim, Luiz Henrique, Simões, Manuel de Jesus, Baracat, Edmund Chada, Lima, Geraldo Rodrigues de","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 33-36","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100006&lang=pt" 
"S0100-72032000000100003-scl","É seguro não utilizar sulfato de magnésio nas pacientes com pré-eclâmpsia?","Ramos, José Geraldo Lopes, Costa, Sérgio Martins, Francisco, Mara Alexandra, Almeida, Andrea Garcia de, Machado, Marta Franco, Borowski, Claudia","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 13-17","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100003&lang=pt" 
"S0100-72032000000100002-scl","Diagnóstico do oligoâmnio pela ultra-sonografia: uso de diferentes medidas do maior bolsão comparadas ao ILA","Perrotti, Maria Regina Machado, Cecatti, José Guilherme, Bricola Filho, Milton, Andrade, Kleber Cursino de, Santos, Fernanda Fioravanti Azank dos","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 7-12","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100002&lang=pt" 
"S0100-72032000000100013-scl","Mamografia, ultra-sonografia e ressonância magnética na avaliação da ruptura de próteses mamárias de silicone em pacientes assintomáticas: achados com correlação cirúrgica","Scaranelo, Anabel Medeiros","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 56-56","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100013&lang=pt" 
"S0100-72032000000100011-scl","Efeito de uma ação educativa sobre a conduta dos profissionais de saúde da rede de atenção primária em relação às doenças de transmissão sexual","Fernandes, Arlete Maria dos Santos","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 55-55","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100011&lang=pt" 
"S0100-72032000000100012-scl","Predição da acidose no nascimento em gestações com diástole zero ou reversa à dopplervelocimetria das artérias umbilicais","Francisco, Rossana Pulcinelli Vieira","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 56-56","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100012&lang=pt" 
"S0004-27302000000100004-scl","Tecido adiposo como glândula endócrina","Wajchenberg, Bernardo Léo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 13-20","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100004&lang=pt" 
"S0004-27302000000100006-scl","A função gonadal do homem obeso","Lima, Nicolau, Cavaliere, Humberto, Halpern, Alfredo, Medeiros-Neto, Geraldo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 31-37","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100006&lang=pt" 
"S0104-59702000000400001-scl","La tuberculosis en la literatura argentina: tres ejemplos a través de la novela el cuento y la poesía","Carbonetti, Adrián Carlos Alfredo","História, Ciências, Saúde-Manguinhos; 6(3); 479-492","História, Ciências, Saúde-Manguinhos","Espanhol","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400001&lang=pt" 
"S0104-59702000000400014-scl","","","História, Ciências, Saúde-Manguinhos; 6(3); 721-724","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400014&lang=pt" 
"S0104-59702000000400009-scl","A corografia medieval e a cartografia renascentista: testemunhos iconográficos de duas visões de mundo","Noronha, Isabel","História, Ciências, Saúde-Manguinhos; 6(3); 681-687","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400009&lang=pt" 
"S0104-59702000000400008-scl","Aos loucos, os médicos: a luta pela medicalização do hospício e construção da psiquiatria no Rio Grande do Sul","Wadi, Yonissa Marmitt","História, Ciências, Saúde-Manguinhos; 6(3); 659-679","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400008&lang=pt" 
"S0104-59702000000400013-scl","Repensando o papel do Estado diante da saúde pública contemporânea","Fonseca, Cristina M. Oliveira","História, Ciências, Saúde-Manguinhos; 6(3); 717-720","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400013&lang=pt" 
"S0104-59702000000400012-scl","O desafio de uma antropologia das idades","Cunha, Neiva Vieira da","História, Ciências, Saúde-Manguinhos; 6(3); 712-717","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400012&lang=pt" 
"S0104-59702000000400011-scl","As barbas do imperador, ou a iconografia do império","Freitas, Marcus Vinicius de","História, Ciências, Saúde-Manguinhos; 6(3); 707-711","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400011&lang=pt" 
"S0104-59702000000400002-scl","Antropologia da doença e do doente: percepções e estratégias de vida dos tuberculosos","Bertolli Filho, Claudio","História, Ciências, Saúde-Manguinhos; 6(3); 493-522","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400002&lang=pt" 
"S0104-59702000000400003-scl","A vida inteira que podia ter sido e que não foi: trajetória de um poeta tísico","Pôrto, Ângela","História, Ciências, Saúde-Manguinhos; 6(3); 523-550","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400003&lang=pt" 
"S0104-59702000000400004-scl","História e medicina: a herança arcaica de um paradigma","Cardoso, Maria Helena Cabral de Almeida","História, Ciências, Saúde-Manguinhos; 6(3); 551-575","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400004&lang=pt" 
"S0104-59702000000400005-scl","Combates sanitários e embates científicos: Emílio Ribas e a febre amarela em São Paulo","Almeida, Marta de","História, Ciências, Saúde-Manguinhos; 6(3); 577-607","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400005&lang=pt" 
"S0104-59702000000400006-scl","O paradigma da epistemologia histórica: a contribuição de Thomas Kuhn","Jacobina, Ronaldo Ribeiro","História, Ciências, Saúde-Manguinhos; 6(3); 609-630","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400006&lang=pt" 
"S0104-59702000000400007-scl","Ensinando ciências sociais em uma escola de medicina: a história de um curso (1965-90)","Nunes, Everardo Duarte","História, Ciências, Saúde-Manguinhos; 6(3); 631-657","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400007&lang=pt" 
"S0104-59702000000400010-scl","Integração entre epidemiologia e antropologia","Gadelha, Angela Maria Jourdan, Coimbra Jr., Carlos E. A., Stotz, Eduardo Navarro, Castiel, Luís David, Hartz, Zulmira de Araújo, Czeresnia, Dina","História, Ciências, Saúde-Manguinhos; 6(3); 689-705","História, Ciências, Saúde-Manguinhos","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702000000400010&lang=pt" 
"S1516-35982000000100007-scl","Efeito de inoculante bacteriano sobre a qualidade da silagem e perda de matéria seca durante a ensilagem de sorgo","Pedroso, André de Faria, Freitas, Alfredo Ribeiro de, Souza, Gilberto Batista de","Revista Brasileira de Zootecnia; 29(1); 48-52","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100007&lang=pt" 
"S1516-35982000000100006-scl","Avaliação de métodos para estimação da disponibilidade de forragem em pastagem de capim-elefante","Lopes, Rogério dos Santos, Fonseca, Dilermando Miranda da, Cóser, Antônio Carlos, Nascimento Júnior, Domício do, Martins, Carlos Eugênio, Obeid, José Antônio","Revista Brasileira de Zootecnia; 29(1); 40-47","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100006&lang=pt" 
"S1516-35982000000100001-scl","Eficiência da eletroejaculação de morfotipos machos do camarão-de-água-doce Macrobrachium rosenbergii","Goldberg, Rubens Sterental, Oshiro, Lídia Miyako Yoshii","Revista Brasileira de Zootecnia; 29(1); 1-5","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100001&lang=pt" 
"S1516-35982000000100004-scl","Caracterização preliminar e seleção de germoplasma do gênero Paspalum para produção de forragem","Batista, Luiz Alberto Rocha, Godoy, Rodolfo","Revista Brasileira de Zootecnia; 29(1); 23-32","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100004&lang=pt" 
"S1516-35982000000100018-scl","Estudo de características do sistema mamário e suas relações com a produção de leite em vacas da raça Gir","Teodoro, Roberto Luiz, Verneque, Rui da Silva, Martinez, Mario Luiz, Cruz, Mauro, Paula, Luiz Ronaldo de Oliveira, Campos, José de Paula","Revista Brasileira de Zootecnia; 29(1); 131-135","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100018&lang=pt" 
"S1516-35982000000100014-scl","Influência de fatores genéticos e de meio sobre o crescimento de bovinos da raça Nelore no Estado do Maranhão","Martins, Gabrimar Araújo, Martins Filho, Raimundo, Lima, Francisco de Assis Melo, Lôbo, Raimundo Nonato Braga","Revista Brasileira de Zootecnia; 29(1); 103-107","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100014&lang=pt" 
"S1516-35982000000100013-scl","Avaliação de procedimentos na estimação de parâmetros genéticos em bovinos de corte","Freitas, Alfredo Ribeiro de","Revista Brasileira de Zootecnia; 29(1); 94-102","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100013&lang=pt" 
"S1516-35982000000100023-scl","Efeito do nível de trigo na dieta, do percentual de grãos germinados e da forma física da ração sobre o desempenho de frangos de corte","Brum, Paulo Antonio Rabenschlag de, Lima, Gustavo Júlio Mello Monteiro de, Mazzuco, Helenice, Fialho, Flávio Bello, Guariente, Eliana Maria, Viola, Eduardo Spillari","Revista Brasileira de Zootecnia; 29(1); 168-176","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100023&lang=pt" 
"S1516-35982000000100026-scl","Efeito da qualidade do milho no desempenho de frangos de corte","Stringhini, José Henrique, Mogyca, Nadja Susana, Andrade, Maria Auxiliadora, Orsine, Geisa Fleury, Café, Marcos Barcellos, Borges, Sebastião Aparecido","Revista Brasileira de Zootecnia; 29(1); 191-198","Revista Brasileira de Zootecnia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982000000100026&lang=pt" 
"S0100-72032000000100007-scl","Aspectos clínicos e metabólicos de mulheres na pós-menopausa tratadas com tibolona","Wehba, Salim, Machado, Rogério Bonassi, Fernandes, César Eduardo, Ferreira, José Arnaldo Souza, Melo, Nilson Roberto de, Aldrighi, José Mendes, Baracat, Edmund Chada","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 37-41","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100007&lang=pt" 
"S0100-72032000000100008-scl","Comparação dos resultados do tratamento cirúrgico da incontinência urinária de esforço por três diferentes técnicas cirúrgicas","Ramos, José Geraldo Lopes, Xavier, Nilton Leite, Nácul, Andrea Prestes, Zucatto, Ângela Erguy, Hentschel, Eduardo Lange","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 43-48","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100008&lang=pt" 
"S0100-72032000000100005-scl","Subnotificação da mortalidade materna em Campinas: 1992 a 1994","Parpinelli, Mary Angela, Faúndes, Aníbal, Cecatti, José Guilherme, Surita, Fernanda Garanhani de Castro, Pereira, Belmiro Gonçalves, Passini Júnior, Renato, Amaral, Eliana","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 27-32","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100005&lang=pt" 
"S0100-72032000000100009-scl","Métodos de tratamento utilizados na incontinência urinária de esforço genuína: um estudo comparativo entre cinesioterapia e eletroestimulação endovaginal","Bernardes, Nicole O., Péres, Flávia R., Souza, Elza L.B.L., Souza, Oswaldo L.","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 49-54","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100009&lang=pt" 
"S0100-72032000000100004-scl","Complicações da gestação e do parto como fatores de risco de óbito perinatal","Cunha, Alfredo de Almeida, Reis, Aldo Franklin Ferreira, Luz, Thales Pontes, Torres, Tania Zdenka Guillén de","Revista Brasileira de Ginecologia e Obstetrícia; 22(1); 19-26","Revista Brasileira de Ginecologia e Obstetrícia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032000000100004&lang=pt" 
"S0004-27302000000100002-scl","Introdução","Halpern, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 3-4","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100002&lang=pt" 
"S0004-27302000000100001-scl","Obesidade: genética, fisiopatologia e terapêutica às vésperas de uma importante revolução conceitual","Kater, Claudio E.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 1-2","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100001&lang=pt" 
"S0004-27302000000100009-scl","Correlação da medida de espessura intra-abdominal medida pela ultra-sonografia com os fatores de risco cardiovascular","Leite, Claudia C., Matsuda, Daniella, Wajchenberg, Bernardo L., Cerri, Giovanni G., Halpern, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 49-56","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100009&lang=pt" 
"S0004-27302000000100008-scl","Risco cardiovascular em uma população de obesos","Cercato, Cintia, Silva, Shirley, Sato, Alessandra, Mancini, Márcio, Halpern, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 45-48","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100008&lang=pt" 
"S0004-27302000000100017-scl","Cirurgia em obesos mórbidos: experiência pessoal","Garrido Junior, Arthur B.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 106-110","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100017&lang=pt" 
"S0004-27302000000100014-scl","A farmacoterapia da obesidade nos consensos","Coutinho, Walmir F., Cabral, Monica D.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 91-94","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100014&lang=pt" 
"S0004-27302000000100015-scl","Eficácia e tolerabilidade das substâncias calorigênicas: ioimbina, triiodotironina, aminofilina combinada a efedrina e fenilpropanolamina no tratamento da obesidade a curto prazo","Rascovski, A., Millner, T.H., Batalha, L., Reis, C., Mancini, M.C., Halpern, A.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 95-102","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100015&lang=pt" 
"S0004-27302000000100016-scl","Experiência clínica com o uso conjunto de sibutramina e orlistat em pacientes obesos","Halpern, Alfredo, Monegaglia, Ana Paola, Oliva, Anna Beatriz G., Beyruti, Monica, Halpern, Zuleika S.C., Mancini, Marcio C.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 103-105","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100016&lang=pt" 
"S0004-27302000000100003-scl","O uso da ultra-sonografia na avaliação da distribuição de gordura abdominal","Radominski, Rosana B., Vezozzo, Denise P., Cerri, Giovanni G., Halpern, Alfredo","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 5-12","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100003&lang=pt" 
"S0004-27302000000100005-scl","A obesidade estaria relacionada ao aumento do volume das adrenais?","Matos, Amélio F.G., Vieira, Andréa R., Coutinho, Walmir, Madeira, Denise, Carraro, Lúcia M., Rodrigues, Rosa, Bastos, Gláucia, Cabral, Mônica, Pantaleão, André, Oliveira, Jucinéia, Meirelles, Ricardo M.R.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 44(1); 21-30","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2000","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302000000100005&lang=pt" 
