"S1852-38622009000300003-arg","Insuficiencia cardíaca y diabetes: Una combinación de alto riesgo","Botta, Cristian E","Insuficiencia cardíaca; 4(3); 107-113","Insuficiencia cardíaca","Espanhol","2009","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-38622009000300003&lang=pt" 
"S0188-25032009000300004-mex","La expropiación y las transformaciones del estado","Azuela, Antonio, Herrera, Carlos, Saavedra-Herrera, Camilo","Revista mexicana de sociología; 71(3); 525-555","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300004&lang=pt" 
"S0188-25032009000300005-mex","Los técnicos superiores universitarios: Diferenciación educativa, estratificación social y segmentación del trabajo","Ruiz Larraguivel, Estela","Revista mexicana de sociología; 71(3); 557-584","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300005&lang=pt" 
"S0188-25032009000300006-mex","Arturo Lara Rivero, coord. Co-evolución de empresas maquiladoras, instituciones y regiones: una nueva interpretación","Contreras, Óscar F.","Revista mexicana de sociología; 71(3); 585-589","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300006&lang=pt" 
"S0188-25032009000300007-mex","","Rangel Torrijo, Hugo","Revista mexicana de sociología; 71(3); 589-591","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300007&lang=pt" 
"S0188-25032009000300008-mex","Geoffrey M. Hodgson: Economía institucional y evolutiva contemporánea","Mallorquín, Carlos","Revista mexicana de sociología; 71(3); 591-595","Revista mexicana de sociología","Espanhol","2009","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032009000300008&lang=pt" 
"S0103-20032009000300005-scl","Consumo de fertilizantes e produtividade da laranja em São Paulo ao longo das décadas de 1970, 1980 e 1990","Figueiredo, Margarida Garcia de, Barros, Alexandre Lahóz Mendonça de, Frizzone, José Antônio","Revista de Economia e Sociologia Rural; 47(3); 637-650","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300005&lang=pt" 
"S0103-20032009000300004-scl","Tipificação das famílias de oito assentamentos rurais da região de Andradina (SP), com base em diferentes estratégias de produção e comercialização","Sant&#039;Ana, Antonio Lázaro, Tarsitano, Maria Aparecida Anselmo","Revista de Economia e Sociologia Rural; 47(3); 615-636","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300004&lang=pt" 
"S0103-20032009000300007-scl","Análise da eficiência técnica de talhões de café irrigados e não-irrigados em Minas Gerais: 2004-2006","Santos, Vladimir Faria dos, Vieira, Wilson da Cruz, Rufino, José Luís dos Santos, Lima, João Ricardo F. de","Revista de Economia e Sociologia Rural; 47(3); 677-698","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300007&lang=pt" 
"S0103-20032009000300008-scl","Avaliação económica de tarifas de água no uso agrícola: um estudo de caso no Sul de Portugal","Fragoso, Rui, Marques, Carlos","Revista de Economia e Sociologia Rural; 47(3); 699-718","Revista de Economia e Sociologia Rural","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032009000300008&lang=pt" 
"S1025-55832009000300001-per","","Pacheco, José","Anales de la Facultad de Medicina; 70(3); 161-162","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300001&lang=pt" 
"S1025-55832009000300002-per","Efecto hipoglicemiante coadyuvante del extracto etanólico de hojas de Annona muricata L (guanábana), en pacientes con diabetes tipo 2 bajo tratamiento de glibenclamida","Arroyo, Jorge, Martínez, Jaime, Ronceros, Gerardo, Palomino, Robert, Villarreal, Aníbal, Bonilla, Pablo, Palomino, Christian, Quino, Mariano","Anales de la Facultad de Medicina; 70(3); 163-167","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300002&lang=pt" 
"S1025-55832009000300003-per","Impacto de una intervención alimentaria con un concentrado proteico de Medicago sativa L (alfalfa), en niños pre escolares con desnutrición crónica","Soberón, María, Oriondo, Rosa, Estrada, Enriqueta, Arnao, Inés, Cordero, Adriana, Velásquez, Luz, Arteaga, Irene","Anales de la Facultad de Medicina; 70(3); 168-174","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300003&lang=pt" 
"S1025-55832009000300004-per","Evaluación de la toxicidad del extracto metanólico de hojas de Passiflora edulis Sims (maracuyá), en ratas","Rojas, Juan, Díaz, David","Anales de la Facultad de Medicina; 70(3); 175-180","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300004&lang=pt" 
"S1025-55832009000300005-per","Extracto acuoso de Lepidium meyenii Walp (maca) y su papel como adaptógeno, en un modelo animal de resistencia física","Suárez, Silvia, Oré, Raquel, Arnao, Inés, Rojas, Luis, Trabucco, Juan","Anales de la Facultad de Medicina; 70(3); 181-185","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300005&lang=pt" 
"S1025-55832009000300006-per","Respuesta del sistema antioxidante en varones sanos, frente a hiperglicemia aguda inducida","Oré, Raquel, Castillo, Oscar, Sandoval, Miguel, Valdivieso, Rubén, Oriondo, Rosa, Woolcott, Orison, Durand, Jorge, Tello, Lida","Anales de la Facultad de Medicina; 70(3); 186-192","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300006&lang=pt" 
"S1025-55832009000300007-per","El uso de diferentes poblaciones referenciales en el diagnóstico de los principales problemas nutricionales en niños y adolescentes","Pajuelo, Jaime, Medrano, Mery","Anales de la Facultad de Medicina; 70(3); 193-198","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300007&lang=pt" 
"S1025-55832009000300008-per","Estudio comparativo entre cesárea tipo Misgav Ladach y cesárea tipo Kerr: Comparative study","Ventura, Walter","Anales de la Facultad de Medicina; 70(3); 199-204","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300008&lang=pt" 
"S1025-55832009000300009-per","Neurofibromatosis tipo 1 asociada a déficit cognitivo, hidrocefalia, displasia ósea y elefantiasis","Ramírez, Julio, Wong, Gustavo, Mechán, Victor, Durán, Cesar, Cerrillo, Gustavo, Ronceros, Gerardo, Ballena, Isabel, Llanos, Miguel","Anales de la Facultad de Medicina; 70(3); 205-210","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300009&lang=pt" 
"S1025-55832009000300010-per","Neurofibromatosis tipo 1 asociado a tumor maligno de la vaina de nervio periférico y a carcinoma de colon","Valle, Rubén, Valencia, Víctor, Huamán-Muñante, José","Anales de la Facultad de Medicina; 70(3); 211-216","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300010&lang=pt" 
"S1025-55832009000300011-per","La teoría del conocimiento en investigación científica: una visión actual","V. Ramírez, Augusto","Anales de la Facultad de Medicina; 70(3); 217-224","Anales de la Facultad de Medicina","Espanhol","2009","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1025-55832009000300011&lang=pt" 
"S1561-31942009000300001-cub","La cultura económica: fundamentación para su formación en el estudiante de la carrera de medicina","Pérez Alea, María del Carmen, Mesa Urquiaga, Marina, López González, Carelia","Revista de Ciencias Médicas de Pinar del Río; 13(3); 1-13","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300001&lang=pt" 
"S1561-31942009000300002-cub","Evaluación del valor responsabilidad en estudiantes de Medicina y sus profesores","Jiménez Pacheco, Mirta, Pando García, Edith, Abreu Carrete, Berta, Morejón Jiménez, Jeidy, Díaz Llanio, Pedro","Revista de Ciencias Médicas de Pinar del Río; 13(3); 14-24","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300002&lang=pt" 
"S1561-31942009000300003-cub","Evolución de los conocimientos para la prevención del VIH/SIDA en estudiantes de medicina","García Alúm, Nury Esther, Valdés Vento, Ana Carmen, Gutiérrez Machado, Aurelio Jesús, Forcelledo Llano, Carmen R, Delgado Rodríguez, Ariel","Revista de Ciencias Médicas de Pinar del Río; 13(3); 19-29","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300003&lang=pt" 
"S1561-31942009000300005-cub","Estrategia educativa para capacitar asistentes de enfermería sobre lactancia materna","Abreu Carrete, Berta, Arada Rodríguez, Amaelis, Jiménez Pacheco, Mirta, Rodríguez López, Beatriz, López Alonso, Margot","Revista de Ciencias Médicas de Pinar del Río; 13(3); 40-51","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300005&lang=pt" 
"S1561-31942009000300006-cub","Propuesta metodológica para la prevención y tratamiento de las lesiones por rayos","Viñas Díaz, José Antonio, Rodríguez, Jesús Juan, Álvarez Reynoso, Sara","Revista de Ciencias Médicas de Pinar del Río; 13(3); 52-64","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300006&lang=pt" 
"S1561-31942009000300007-cub","Competencia profesoral de metodólogos en reglamento que norma el proceso docente en educación superior","Aguado Ibarra, Marlén C, Llamazares Milians, Ana Mayté, Morales Piloto, Yasmín, Herrera Miranda, Guillermo Luis, González Corrales, Santa","Revista de Ciencias Médicas de Pinar del Río; 13(3); 65-74","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300007&lang=pt" 
"S1561-31942009000300008-cub","Valoración del diseño de los contenidos de la asignatura de morfofisiología I en la carrera de Medicina","Linares Guerra, Maritza, Capote Martínez, Rafael, Fonte Medina, Nohary","Revista de Ciencias Médicas de Pinar del Río; 13(3); 75-83","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300008&lang=pt" 
"S1561-31942009000300009-cub","La Extensión Universitaria y la Promoción de Salud en la Atención Primaria","Véliz Gutiérrez, José A, Pérez Díaz, Noarys, Fernández Montequín, Zoila, Sanabria Negrin, José, Concepción Pérez, Nericilvia","Revista de Ciencias Médicas de Pinar del Río; 13(3); 84-92","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300009&lang=pt" 
"S1561-31942009000300010-cub","Gestión investigativo laboral para estudiantes de la carrera de medicina en el consultorio. Estudio preliminar","Díaz Álvarez, Lázara Mayra, Valverde Bravo, Ivis H, Valdés Vento, Ana Carmen, Núñez Díaz, Brenda de la C, Vilaú Díaz, Luis Ángel","Revista de Ciencias Médicas de Pinar del Río; 13(3); 93-101","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300010&lang=pt" 
"S1561-31942009000300011-cub","Experiencia del trabajo de profesores consultantes en el proceso de universalización en las ciencias médicas, 2007-2008","Valverde Bravo, Ivis H, Díaz Álvarez, Lazara M, Hernández Cubilla, Maria Mayra, Amaran Valverde, Jorge E, Sierra Herrero, Rosa Maria","Revista de Ciencias Médicas de Pinar del Río; 13(3); 102-109","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300011&lang=pt" 
"S1561-31942009000300012-cub","Extensión Universitaria y personal docente en las carreras de las Ciencias Médicas","Coro Montanet, Gleyvis, Valverde Bravo, Ivis H, Afre Socorro, Analina, Montanet Aventaño, Adalberto, Vinent, Rosalina","Revista de Ciencias Médicas de Pinar del Río; 13(3); 118-125","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300012&lang=pt" 
"S1561-31942009000300013-cub","Estructura, logros y desafíos del Grupo de Estudios Didácticos de la Educación Superior en Salud","Guerra Cabrera, Emérida, Arada Rodríguez, Amaelis, Díaz Alvarez, Lázara M, Valverde Bravo, Ivis H","Revista de Ciencias Médicas de Pinar del Río; 13(3); 126-136","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300013&lang=pt" 
"S1561-31942009000300014-cub","Hábitos de aprendizaje y rendimiento académico en la asignatura morfofisiología-II de la carrera de estomatología","Albert Díaz, Juan Félix, González Cordero, Ada Esther, Laborí Puentes, Norma, Llano Lazo, Mayra","Revista de Ciencias Médicas de Pinar del Río; 13(3); 137-147","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2009","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942009000300014&lang=pt" 
