"S1517-97022007000200002-scl","Vãs querelas e verdadeiros objetivos do ensino da literatura na França","Verrier, Jean","Educação e Pesquisa; 33(2); 207-213","Educação e Pesquisa","Francês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022007000200002&lang=pt" 
"S0034-72992007000400018-scl","Tontura associada a distúrbio do pânico e agorafobia: relato de caso e revisão da literatura","Gurgel, João Daniel Caliman e, Costa, Klinger Vagner Teixeira da, Cutini, Flavia Nepel, Sarmento Júnior, Krishnamurti Matos de Araújo, Mezzasalma, Marco André, Cavalcanti, Heráclio Villar Ramalho","Revista Brasileira de Otorrinolaringologia; 73(4); 569-572","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400018&lang=pt" 
"S0034-72992007000400020-scl","Síndrome de Usher","Norte, Maria Carolina Braga, Juares, Antônio José Cortez, Nardi, José Carlos, Dell’Aringa, Alfredo Rafael, Kobari, Kazue","Revista Brasileira de Otorrinolaringologia; 73(4); 574-574","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400020&lang=pt" 
"S0034-72992007000400019-scl","Sulco vocal: provável etiologia genética. Relato de quatro casos em familiares","Martins, Regina Helena Garcia, Silva, Rafael, Ferreira, Danilo Moretti, Dias, Norimar Hernandes","Revista Brasileira de Otorrinolaringologia; 73(4); 573-573","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000400019&lang=pt" 
"S0101-31222007000200020-scl","Sulphuric acid scarification effects on Brachiaria brizantha, B. humidicola and Panicum maximum seed dormancy release","Usberti, Roberto, Martins, Leila","Revista Brasileira de Sementes; 29(2); 143-147","Revista Brasileira de Sementes","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200020&lang=pt" 
"S0101-31222007000200005-scl","Avaliação de modelos de secagem em camada fina de sementes de maracujá amarelo","Carlesso, Vinicius de Oliveira, Berbert, Pedro Amorim, Silva, Roberto Ferreira da, Detmann, Edenio","Revista Brasileira de Sementes; 29(2); 28-37","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200005&lang=pt" 
"S0101-31222007000200010-scl","Revestimento de sementes de milho superdoce (sh2)","Mendonça, Elisabeth Aparecida Furtado de, Carvalho, Nelson Moreira de, Ramos, Nilza Patrícia","Revista Brasileira de Sementes; 29(2); 68-79","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200010&lang=pt" 
"S0101-31222007000200013-scl","Eletrical conductivity and deterioration of soybean seeds exposed to different storage conditions","Panobianco, Maristela, Vieira, Roberval Daiton","Revista Brasileira de Sementes; 29(2); 97-105","Revista Brasileira de Sementes","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200013&lang=pt" 
"S0101-31222007000200016-scl","Teste de comprimento de plântulas sob estresse hídrico na avaliação do potencial fisiológico das sementes de milho","Ávila, Marizangela Rizzatti, Braccini, Alessandro de Lucca e, Scapim, Carlos Alberto","Revista Brasileira de Sementes; 29(2); 117-124","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200016&lang=pt" 
"S0101-31222007000200022-scl","Determinação do teor de água de sementes de café empregando o método da capacitância em radiofreqüências","Berbet, Pedro Amorim, Molina, Marília Amorim Berbet, Carlesso, Vinicius Oliveira, Oliveira, Márcia Terezinha Ramos","Revista Brasileira de Sementes; 29(2); 159-170","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200022&lang=pt" 
"S0101-31222007000200023-scl","Classificação fisiológica de sementes de cinco espécies arbóreas de mata ciliar quanto a tolerância à dessecação e ao armazenamento","José, Anderson Cleiton, Silva, Edvaldo Amaral da, Davide, Antonio Claudio","Revista Brasileira de Sementes; 29(2); 171-178","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200023&lang=pt" 
"S0101-31222007000200024-scl","Vigor de sementes de rúcula (Eruca sativa L.) pelo este de deterioração controlada","Goulart, Liziane Silva, Tillmann, Maria Angela André","Revista Brasileira de Sementes; 29(2); 179-186","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200024&lang=pt" 
"S0101-31222007000200025-scl","Qualidade de sementes de acessos de melão crioulo (Cucumis melo L.)","Delwing, Andréa Becker, Franke, Lúcia Brandão, Barros, Ingrid Bergman Inchausti de","Revista Brasileira de Sementes; 29(2); 187-194","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200025&lang=pt" 
"S0101-31222007000200027-scl","Sobrevivência de patógenos associados a sementes de soja armazenadas durante seis meses","Galli, Juliana Altafin, Panizi, Rita de Cássia, Vieira, Roberval Daiton","Revista Brasileira de Sementes; 29(2); 205-213","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200027&lang=pt" 
"S0101-31222007000200028-scl","Eficiência do fungicida carboxin + thiram no tratamento de sementes de amendoim","Bittencourt, Sonia Regina Mudrovitsch de, Menten, José Otavio Machado, Araki, Carlos Alberto dos Santos, Moraes, Maria Heloísa Duarte de, Rugai, Adolfo da Rios, Dieguez, Manoel Javier, Vieira, Roberval Daiton","Revista Brasileira de Sementes; 29(2); 214-222","Revista Brasileira de Sementes","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222007000200028&lang=pt" 
"S0101-74382007000200004-scl","Método multicritério ELECTRE IV-H para priorização de atividades em projetos","Mota, Caroline Maria de Miranda, Almeida, Adiel Teixeira de","Pesquisa Operacional; 27(2); 247-269","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000200004&lang=pt" 
"S0101-74382007000200007-scl","A multi-start random constructive heuristic for the container loading problem","Araújo, Olinto César Bassi de, Armentano, Vinícius Amaral","Pesquisa Operacional; 27(2); 311-331","Pesquisa Operacional","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000200007&lang=pt" 
"S0101-74382007000200008-scl","Análise de problemas de partição de instalações em sistemas job-shops por meio de modelos de redes de filas","Silva, Claudio Rogerio Negri da, Morabito, Reinaldo","Pesquisa Operacional; 27(2); 333-356","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000200008&lang=pt" 
"S1413-24782007000200002-scl","A ação de governos locais na educação de jovens e adultos","Haddad, Sérgio","Revista Brasileira de Educação; 12(35); 197-211","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200002&lang=pt" 
"S1413-24782007000200003-scl","O FUNDEF no estado do Rio de Janeiro: a óptica dos perdedores","Esteves, Luiz Carlos Gil","Revista Brasileira de Educação; 12(35); 212-231","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200003&lang=pt" 
"S1413-24782007000200006-scl","A Escola Argentina no antigo Distrito Federal durante os anos de 1930: um torrão argentino em solo brasileiro","Chaves, Miriam Waidenfeld","Revista Brasileira de Educação; 12(35); 253-267","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200006&lang=pt" 
"S1413-24782007000200007-scl","Saberes em viagem nos manuais pedagógicos: construções da escola em Portugal e no Brasil (1870-1970)","Silva, Vivian Batista da","Revista Brasileira de Educação; 12(35); 268-277","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200007&lang=pt" 
"S1413-24782007000200008-scl","Os gregos nas estratégias argumentativas de John Dewey","Cunha, Marcus Vinicius da, Sacramento, Leonardo Freitas","Revista Brasileira de Educação; 12(35); 278-289","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200008&lang=pt" 
"S1413-24782007000200009-scl","Mídia, máquinas de imagens e práticas pedagógicas","Fischer, Rosa Maria Bueno","Revista Brasileira de Educação; 12(35); 290-299","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200009&lang=pt" 
"S1413-24782007000200011-scl","O papel da Igreja nos primórdios da educação dos surdos","Reily, Lucia","Revista Brasileira de Educação; 12(35); 308-326","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200011&lang=pt" 
"S1413-24782007000200012-scl","Missionárias norte-americanas na educação brasileira: vestígios de sua passagem nas escolas de São Paulo no século XIX","Almeida, Jane Soares de","Revista Brasileira de Educação; 12(35); 327-342","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200012&lang=pt" 
"S1413-24782007000200013-scl","Histórias de vida de professores: o caso da educação profissional","Burnier, Suzana, Cruz, Regina Mara Ribeiro, Durães, Marina Nunes, Paz, Mônica Lana, Silva, Adriana Netto, Silva, Ivone Maria Mendes","Revista Brasileira de Educação; 12(35); 343-358","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200013&lang=pt" 
"S1413-24782007000200014-scl","Espaços de participação e escolarização de trabalhadores rurais: construção ou destituição do direito à educação no campo?","Pereira, Sônia","Revista Brasileira de Educação; 12(35); 359-371","Revista Brasileira de Educação","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782007000200014&lang=pt" 
"S0718-19572007000200002-chl","Dieta del pez espada Xiphias gladius Linnaeus, 1758 en distintas zonas de pesca frente a Chile central durante el otoño de 2004","Castillo, Katherine, Ibáñez, Christian M, González, Carlos, Chong, Javier","Revista de biología marina y oceanografía; 42(2); 149-156","Revista de biología marina y oceanografía","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000200002&lang=pt" 
"S0718-19572007000200003-chl","Dispersal patterns of shrimp larvae and postlarvae of the genus Solenocera","Gómez, Mario A, Gracia, Adolfo","Revista de biología marina y oceanografía; 42(2); 157-165","Revista de biología marina y oceanografía","Inglês","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000200003&lang=pt" 
"S0718-19572007000200004-chl","Coupling the reproductive period of blue shrimp Litopenaeus stylirostris Stimpson, 1874 (Decapoda: Penaeidae) and sea surface temperature in the Gulf of California","Aragón-Noriega, E. Alberto","Revista de biología marina y oceanografía; 42(2); 167-175","Revista de biología marina y oceanografía","Inglês","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000200004&lang=pt" 
"S0718-19572007000200006-chl","Nematodos de los arrecifes de Isla Mujeres y Banco Chinchorro, Quintana Roo, México","de Jesús-Navarrete, Alberto","Revista de biología marina y oceanografía; 42(2); 193-200","Revista de biología marina y oceanografía","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000200006&lang=pt" 
"S0718-19572007000200007-chl","Substituciones en la unidad D-Galactosa de polímeros del agar: Implicaciones metabólicas","Ondarza, Mauricio A","Revista de biología marina y oceanografía; 42(2); 201-204","Revista de biología marina y oceanografía","Espanhol","2007","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-19572007000200007&lang=pt" 
"S0100-39842007000400002-scl","Qual o seu diagnóstico?","Nacif, Marcelo Souto, Oliveira Júnior, Amarino Carvalho de, Moreira, Denise Madeira, Nagano, Mônica Regina, Luz, José Hugo Mendes, Martins, Marcio dos Santos, Oliveira, Mauro Esteves de, Mendes, Luiz Fernando, Montera, Marcelo, Rochitte, Carlos Eduardo","Radiologia Brasileira; 40(4); XI-XIII","Radiologia Brasileira","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842007000400002&lang=pt" 
"S0104-11692007000400001-scl","International networking: Brazil and Latin America conquering the international nursing scene","Mendes, Isabel Amélia Costa, Marziale, Maria Helena Palucci","Revista Latino-Americana de Enfermagem; 15(4); 523-528","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400001&lang=pt" 
"S0104-11692007000400028-scl","Development and use of digital educative objects in nursing teaching","Cogo, Ana Luísa Petersen, Pedro, Eva Néri Rubim, Silveira, Denise Tolfo, Silva, Ana Paula Scheffer Schell da, Alves, Rosa Helena Kreutz, Catalan, Vanessa Menezes","Revista Latino-Americana de Enfermagem; 15(4); 699-701","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400028&lang=pt" 
"S0101-74382007000200005-scl","Análise bayesiana do funcionamento diferencial do item","Soares, Tufi Machado, Gamerman, Dani, Gonçalves, Flávio Bambirra","Pesquisa Operacional; 27(2); 271-291","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000200005&lang=pt" 
"S0100-39842007000400008-scl","Contribuição da tomografia computadorizada no estadiamento do carcinoma de células escamosas da supraglote","Aragão Jr., Antonio Gilson Monte, Souza, Ricardo Pires de, Rapoport, Abrão","Radiologia Brasileira; 40(4); 241-246","Radiologia Brasileira","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842007000400008&lang=pt" 
"S0100-39842007000400010-scl","Educação a distância mediada pela internet: &quot;Linfonodo sentinela, prevenção, diagnóstico precoce e biópsia - nova técnica de abordagem do câncer de mama&quot;","Kelmer, Santuzza, Coelho-Oliveira, Afrânio, Fonseca, Lea Mirian Barbosa da","Radiologia Brasileira; 40(4); 251-254","Radiologia Brasileira","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842007000400010&lang=pt" 
"S0100-39842007000400015-scl","Laringocele: aspecto ultra-sonográfico - relato de caso","Pinho, Marco da Cunha, Viana, Publio César, Omokawa, Mauricio, Simões, Cezar, Gebrim, Eloisa M.M. Santiago, Cerri, Giovanni Guido, Chammas, Maria Cristina","Radiologia Brasileira; 40(4); 279-282","Radiologia Brasileira","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842007000400015&lang=pt" 
"S0104-11692007000400002-scl","The meaning of the rubella vaccine for pregnant women","Ozaki, Lúcia Maria Tonzar Ristori, Shimo, Antonieta Keiko Kakuda","Revista Latino-Americana de Enfermagem; 15(4); 529-535","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400002&lang=pt" 
"S0104-11692007000400003-scl","Puerperal infection from the perspective of humanized delivery care at a public maternity hospital","Guimarães, Elisângela Euripedes Resende, Chianca, Tânia Couto Machado, Oliveira, Adriana Cristina de","Revista Latino-Americana de Enfermagem; 15(4); 536-542","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400003&lang=pt" 
"S0104-11692007000400004-scl","Perspectives from a home based neonatal care program in Brazil&#039;s Single Health System","Lopes, Tatiana Coelho, Mota, Joaquim Antônio César, Coelho, Suelene","Revista Latino-Americana de Enfermagem; 15(4); 543-548","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400004&lang=pt" 
"S0104-11692007000400005-scl","A study about families of children and teenagers who were victims of violence and faced judicial intervention","Roque, Eliana Mendes de Souza Teixeira, Ferriani, Maria das Graças Carvalho","Revista Latino-Americana de Enfermagem; 15(4); 549-555","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400005&lang=pt" 
"S0104-11692007000400006-scl","Care delivery for the child to grow up despite the pain: the family&#039;s experience","Rossato, Lisabelle Mariano, Angelo, Margareth, Silva, Clovis Artur Almeida","Revista Latino-Americana de Enfermagem; 15(4); 556-562","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400006&lang=pt" 
"S0104-11692007000400007-scl","Categorization of postoperative pain descriptors in the sensitive, affective and evaluative dimensions of painful experiences","Pereira, Lilian Varanda, Sousa, Fátima Aparecida Emm Faleiros","Revista Latino-Americana de Enfermagem; 15(4); 563-567","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400007&lang=pt" 
"S0104-11692007000400008-scl","Being transformed by illness: adolescents&#039; diabetes experience","Damião, Elaine Buchhorn Cintra, Pinto, Carolina Marques Marcondes","Revista Latino-Americana de Enfermagem; 15(4); 568-574","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400008&lang=pt" 
"S0104-11692007000400010-scl","Satisfaction of diabetes patients under follow-up in a diabetes education program","Zanetti, Maria Lúcia, Otero, Liudmila Miyar, Biaggi, Marília Voltolini, Santos, Manoel Antônio dos, Péres, Denise Siqueira, Guimarães, Fernanda Pontin de Mattos","Revista Latino-Americana de Enfermagem; 15(4); 583-589","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400010&lang=pt" 
"S0104-11692007000400011-scl","Chronic health conditions in adults: concept analysis","Freitas, Maria Célia de, Mendes, Maria Manuela Rino","Revista Latino-Americana de Enfermagem; 15(4); 590-597","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400011&lang=pt" 
"S0104-11692007000400012-scl","Relatives&#039; experience of intensive care: the other side of hospitalization","Fabiane, Urizzi, Corrêa, Adriana Katia","Revista Latino-Americana de Enfermagem; 15(4); 598-604","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400012&lang=pt" 
"S0104-11692007000400013-scl","Experiencing the situation of being with cancer: some revelations","Siqueira, Karina Machado, Barbosa, Maria Alves, Boemer, Magali Roseira","Revista Latino-Americana de Enfermagem; 15(4); 605-611","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400013&lang=pt" 
"S0104-11692007000400014-scl","Measuring the energy spent by parturient women in fasting and in ingesting caloric replacement (HONEY)","Melo, Célia Regina Maganha e, Peraçoli, José Carlos","Revista Latino-Americana de Enfermagem; 15(4); 612-617","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400014&lang=pt" 
"S0104-11692007000400018-scl","Educational software for scheduling nursing personnel: elaboration, development and application through the internet","Juliani, Carmen Maria Casquel Monti, Kurcgant, Paulina","Revista Latino-Americana de Enfermagem; 15(4); 639-644","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400018&lang=pt" 
"S0104-11692007000400019-scl","Bibliometric study on nursing theses and dissertations employing a phenomenological approach: tendency and perspectives","Merighi, Miriam Ap. Barbosa, Gonçalves, Roselane, Ferreira, Fernanda Cristina","Revista Latino-Americana de Enfermagem; 15(4); 645-650","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400019&lang=pt" 
"S0104-11692007000400020-scl","Galveston Orientation and Amnesia Test: applicability and relation with the Glasgow Coma Scale","Silva, Silvia Cristina Fürbringer e, Sousa, Regina Marcia Cardoso de","Revista Latino-Americana de Enfermagem; 15(4); 651-657","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400020&lang=pt" 
"S0104-11692007000400021-scl","Psychosocial rehabilitation in mental health care: strategies under construction","Pereira, Maria Alice Ornellas","Revista Latino-Americana de Enfermagem; 15(4); 658-664","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400021&lang=pt" 
"S0104-11692007000400022-scl","Family crisis in the context of bone marrow transplantation: an integrative review","Matsubara, Tatiana Camila, Carvalho, Emilia Campos de, Canini, Silvia Rita Marin da Silva, Sawada, Namie Okino","Revista Latino-Americana de Enfermagem; 15(4); 665-670","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400022&lang=pt" 
"S0104-11692007000400023-scl","Topical iodophor use in chronic wounds: a literature review","Oliveira, Alcicléa dos Santos, Santos, Vera Lúcia Conceição de Gouveia","Revista Latino-Americana de Enfermagem; 15(4); 671-676","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400023&lang=pt" 
"S0104-11692007000400024-scl","Maternal anxiety in the pre- and postnatal period: a literature review","Correia, Luciana Leonetti, Linhares, Maria Beatriz Martins","Revista Latino-Americana de Enfermagem; 15(4); 677-683","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692007000400024&lang=pt" 
"S0100-204X2007000800020-scl","Períodos de ausência de presas e estabilidade do controle biológico do ácaro-rajado","Oliveira, Hamilton, Duarte, Vanessa, Rezende, Daniela, Fadini, Marcos Antônio Matiello, Pallini, Angelo","Pesquisa Agropecuária Brasileira; 42(8); 1207-1209","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800020&lang=pt" 
"S0100-204X2007000800018-scl","Embriões de pacu submetidos a diferentes protocolos de resfriamento","Streit Júnior, Danilo Pedro, Digmayer, Melanie, Ribeiro, Ricardo Pereira, Sirol, Rodolfo Nardez, Moraes, Gentil Vanini de, Galo, Juliana Minardi","Pesquisa Agropecuária Brasileira; 42(8); 1199-1202","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800018&lang=pt" 
"S0100-204X2007000800001-scl","Composição e qualidade de pólen apícola coletado em Minas Gerais","Modro, Anna Frida Hatsue, Message, Dejair, Luz, Cynthia Fernandes Pinto da, Meira Neto, João Augusto Alves","Pesquisa Agropecuária Brasileira; 42(8); 1057-1065","Pesquisa Agropecuária Brasileira","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2007000800001&lang=pt" 
