"S1414-98932015000300959-scl","Significações Dadas pelos Progenitores acerca do Diagnóstico de Câncer dos Filhos","Frizzo, Natalia Schopf, Quintana, Alberto Manuel, Salvagni, Adelise, Barbieri, Ângela, Gebert, Lenir","Psicologia: Ciência e Profissão; 35(3); 959-972","Psicologia: Ciência e Profissão","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000300959&lang=pt" 
"S1517-83822015000300825-scl","Optimization of growth and bacteriocin production by &lt;italic&gt;Lactobacillus sakei&lt;/italic&gt; subsp. &lt;italic&gt;sakei&lt;/italic&gt;2a","Malheiros, Patrícia S., Sant’Anna, Voltaire, Todorov, Svetoslav D., Franco, Bernadette D.G.M.","Brazilian Journal of Microbiology; 46(3); 825-834","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300825&lang=pt" 
"S1517-83822015000300835-scl","Habituation of enterotoxigenic &lt;italic&gt;Staphylococcus aureus&lt;/italic&gt; to &lt;italic&gt;Origanum vulgare&lt;/italic&gt; L. essential oil does not induce direct-tolerance and cross-tolerance to salts and organic acids","Tavares, Adassa Gama, Monte, Daniel Farias Marinho do, Albuquerque, Allan dos Reis, Sampaio, Fábio Correia, Magnani, Marciane, Siqueira Júnior, José Pinto de, Souza, Evandro Leite de","Brazilian Journal of Microbiology; 46(3); 835-840","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300835&lang=pt" 
"S1517-83822015000300841-scl","Low doses of gamma radiation in the management of postharvest &lt;italic&gt;Lasiodiplodia theobromae&lt;/italic&gt; in mangos","Santos, Alice Maria Gonçalves, Lins, Severina Rodrigues Oliveira, Silva, Josenilda Maria da, Oliveira, Sônia Maria Alves de","Brazilian Journal of Microbiology; 46(3); 841-847","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300841&lang=pt" 
"S1517-83822015000300849-scl","Use of green fluorescent protein to monitor &lt;italic&gt;Lactobacillus plantarum&lt;/italic&gt; in the gastrointestinal tract of goats","Han, Xufeng, Wang, Lei, Li, Wei, Li, Bibo, Yang, Yuxin, Yan, Hailong, Qu, Lei, Chen, Yulin","Brazilian Journal of Microbiology; 46(3); 849-854","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300849&lang=pt" 
"S1517-83822015000300855-scl","Biosurfactant production by &lt;italic&gt;Pseudomonas aeruginosa&lt;/italic&gt;in kefir and fish meal","Kaskatepe, Banu, Yildiz, Sulhiye, Gumustas, Mehmet, Ozkan, Sibel A.","Brazilian Journal of Microbiology; 46(3); 855-859","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300855&lang=pt" 
"S1517-83822015000300867-scl","Interspecific transmission of small ruminant lentiviruses from goats to sheep","Souza, Thiago S. de, Pinheiro, Raymundo R., Costa, Joselito N., Lima, Carla C.V. de, Andrioli, Alice, Azevedo, Dalva A.A. de, Santos, Vanderlan W.S. dos, Araújo, Juscilânia F., Sousa, Ana Lídia M. de, Pinheiro, Danielle N.S., Fernandes, Flora M.C., Costa Neto, Antonio O.","Brazilian Journal of Microbiology; 46(3); 867-874","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300867&lang=pt" 
"S1517-83822015000300879-scl","Detection of &lt;italic&gt;Rickettsia bellii&lt;/italic&gt; and &lt;italic&gt;Rickettsia amblyommii&lt;/italic&gt; in &lt;italic&gt;Amblyomma longirostre&lt;/italic&gt; (Acari: Ixodidae) from Bahia state, Northeast Brazil","McIntosh, Douglas, Bezerra, Rodrigo Alves, Luz, Hermes Ribeiro, Faccini, João Luiz Horacio, Gaiotto, Fernanda Amato, Giné, Gastón Andrés Fernandez, Albuquerque, George Rego","Brazilian Journal of Microbiology; 46(3); 879-883","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300879&lang=pt" 
"S1517-83822015000300885-scl","Characterization of mannitol-fermenting methicillin-resistant staphylococci isolated from pigs in Nigeria","Ugwu, Clifford C., Gomez-Sanz, Elena, Agbo, Ifeoma C., Torres, Carmen, Chah, Kennedy F.","Brazilian Journal of Microbiology; 46(3); 885-892","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300885&lang=pt" 
"S1517-83822015000300893-scl","The use of date waste for lactic acid production by a fed-batch culture using &lt;italic&gt;Lactobacillus casei&lt;/italic&gt; subsp. &lt;italic&gt;rhamnosus&lt;/italic&gt;","Nancib, Aicha, Nancib, Nabil, Boubendir, Abdelhafid, Boudrant, Joseph","Brazilian Journal of Microbiology; 46(3); 893-902","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300893&lang=pt" 
"S1517-83822015000300903-scl","Thermotolerant and mesophylic fungi from sugarcane bagasse and their prospection for biomass-degrading enzyme production","Santos, Bruna Silveira Lamanes dos, Gomes, Arthur Filipe Sousa, Franciscon, Emanuele Giuliane, Oliveira, Jean Maikon de, Baffi, Milla Alves","Brazilian Journal of Microbiology; 46(3); 903-910","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300903&lang=pt" 
"S1517-83822015000300911-scl","Enhancing inulinase yield by irradiation mutation associated with optimization of culture conditions","Gou, Yafeng, Li, Jianhua, Zhu, Junbao, Xu, Wanyun, Gao, Jianfeng","Brazilian Journal of Microbiology; 46(3); 911-920","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300911&lang=pt" 
"S1517-83822015000300921-scl","Characterization of &lt;italic&gt;Francisella&lt;/italic&gt; species isolated from the cooling water of an air conditioning system","Gu, Quan, Li, Xunde, Qu, Pinghua, Hou, Shuiping, Li, Juntao, Atwill, Edward R., Chen, Shouyi","Brazilian Journal of Microbiology; 46(3); 921-927","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300921&lang=pt" 
"S1517-83822015000300929-scl","Characterization of the &lt;italic&gt;hrpZ&lt;/italic&gt; gene from &lt;italic&gt;Pseudomonas syringae&lt;/italic&gt; pv. &lt;italic&gt;maculicola&lt;/italic&gt;M2","Álvarez-Mejía, César, Rodríguez-Ríos, Dalia, Hernández-Guzmán, Gustavo, López-Ramírez, Varinia, Valenzuela-Soto, Humberto, Marsch, Rodolfo","Brazilian Journal of Microbiology; 46(3); 929-936","Brazilian Journal of Microbiology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822015000300929&lang=pt" 
"S2307-21132015000300003-cub","Evaluación del capital intelectual en la Vicedirección General de Investigaciones del Centro de Neurociencias de Cuba","Hechavarria Argudin, Damila","Revista Cubana de Información en Ciencias de la Salud; 26(3); 217-230","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300003&lang=pt" 
"S2307-21132015000300002-cub","La gestión del conocimiento desde las ciencias de la información: responsabilidades y oportunidades","Ponjuán Dante, Gloria","Revista Cubana de Información en Ciencias de la Salud; 26(3); 206-216","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300002&lang=pt" 
"S2307-21132015000300004-cub","Métodos, técnicas y constantes para la evaluación de los catálogos de acceso público en línea","Campos Herrera, Airelys","Revista Cubana de Información en Ciencias de la Salud; 26(3); 231-244","Revista Cubana de Información en Ciencias de la Salud","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2307-21132015000300004&lang=pt" 
"S0864-34662015000300010-cub","Herramienta multidimensional para la medición de la integración en redes de servicios de salud del primer nivel de atención","López Puig, Pedro, Alonso Carbonell, Liuba, García Milian, Ana Julia, Segredo Pérez, Alina María, Ruales Estupiñán, José Leonardo, Alfaro Cantón, Gerardo","Revista Cubana de Salud Pública; 41(3); 510-531","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300010&lang=pt" 
"S0864-34662015000300012-cub","Implicaciones jurídicas para el debate cubano sobre eutanasia","Quintero Silverio, Odalys, Rodríguez Hernández, Jorge Félix","Revista Cubana de Salud Pública; 41(3); 547-565","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300012&lang=pt" 
"S0864-34662015000300006-cub","Representaciones socioculturales sobre el ideal de la salud sexual y reproductiva en estudiantes universitarios ecuatorianos","Saeteros Hernández, Rosa Del Carmen, Díaz Bernal, Zoe, Sanabria Ramos, Giselda, Pérez Piñero, Julia","Revista Cubana de Salud Pública; 41(3); 459-475","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000300006&lang=pt" 
