"S0103-863X2014000100049-scl","Sources and Reactions to Stress in Brazilian Lawyers","Costa, Maria de Fátima Antunes Alves, Ferreira, Maria Cristina","Paidéia (Ribeirão Preto); 24(57); 49-56","Paidéia (Ribeirão Preto)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-863X2014000100049&lang=pt" 
"S1676-24442014000200131-scl","Study on sickle cell disease haplotypes reveals the African origin of Amapá&#039;s population","Castelo, Natália de Morais, Nascimento, Rafael Espíndola do, Rodrigues, Artemis Socorro do Nascimento","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 131-134","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200131&lang=pt" 
"S1676-24442014000200100-scl","The use of indicators in the pre-analytical phase as a laboratory management tool","Codagnone, Fabio Triachini, Alencar, Sibelle Mattos Flores, Shcolnik, Wilson, Chaves, Sergio Roberto da Silva, Silva, Luciano Andrade, Henriques, Victor Hugo Oliveira, Spitz, Luana Carrilho","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 100-104","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200100&lang=pt" 
"S1676-24442014000200105-scl","Detection of PNH cells by flow cytometry, using multiparameter analysis","Rocha, Juliana Maria Camargos, Silva, Maria Luíza, Souza, Marcelo Eduardo de Lima, Murao, Mitiko, Araújo, Sérgio Schusterschitz da Silva, Santos, Silvana Maria Elói","Jornal Brasileiro de Patologia e Medicina Laboratorial; 50(2); 105-114","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442014000200105&lang=pt" 
"S0212-16112014000400009-esp","Bioactive vegetable proteins and peptides in lipid-lowering: nutraceutical potential","Ruiz Ruiz, Jorge Carlos, Betancur Ancona, David Abram, Segura Campos, Maira Rubi","Nutrición Hospitalaria; 29(4); 776-784","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400009&lang=pt" 
"S0212-16112014000400027-esp","Changes in body composition of high competition rugby players during the phases of a regular season: influence of diet and exercise load","García, M., Martínez-Moreno, J. M., Reyes-Ortiz, A., Suárez Moreno-Arrones, L., García A., A., Garcíacaballero, M.","Nutrición Hospitalaria; 29(4); 913-921","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400027&lang=pt" 
"S0212-16112014000400018-esp","Lactancia materna y desarrollo cognitivo: valoración de la respuesta a la interferencia mediante el &quot;test de los 5 dígitos&quot;","Pérez Ruiz, Juan Manuel, Iribar Ibabe, M.ª Concepción, Peinado Herreros, José María, Miranda León, M.ª Teresa, Campoy Folgoso, Cristina","Nutrición Hospitalaria; 29(4); 852-857","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400018&lang=pt" 
"S0212-16112014000400008-esp","La adiposidad como factor de riesgo del hígado graso no alcohólico: revisión sistemática","Jiménez-Cruz, Arturo, Gómez-Miranda, Luis Mario, Díaz Ramírez, Glenda, Carvalí Meza, Nuris Yohana, Bacardí-Gascón, Montserrat","Nutrición Hospitalaria; 29(4); 771-775","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400008&lang=pt" 
"S0212-16112014000400014-esp","Precisión del índice de masa corporal, obtenido a partir de datos de peso y altura autoinformados en una muestra infantil española","Baile, José I., González-Calderón, María J.","Nutrición Hospitalaria; 29(4); 829-831","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400014&lang=pt" 
"S0212-16112014000400032-esp","La X de las dislipemias","Merino Viveros, María, Vega Piñero, Belén, Gil Ares, Femando, Guijarro de Armas, M.ª Guadalupe, Maribel Montaño, July, Navea Aguilera, Cristina","Nutrición Hospitalaria; 29(4); 953-955","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400032&lang=pt" 
"S0212-16112014000400019-esp","Contenido nutricional de alimentos y bebidas publicitados en la franja infantil de la televisión colombiana","Mejía-Díaz, Diana Margarita, Carmona-Garcés, Isabel Cristina, Giraldo-López, Paula Andrea, González-Zapata, Laura","Nutrición Hospitalaria; 29(4); 858-864","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400019&lang=pt" 
"S0212-16112014000400021-esp","El menú de textura modificada: valor nutricional, digestibilidad y aportación dentro del menú de hospitales y residencias de mayores","Irles Rocamora, José Antonio, García-Luna, Pedro P.","Nutrición Hospitalaria; 29(4); 873-879","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400021&lang=pt" 
"S0212-16112014000400003-esp","Trastornos neurológicos relacionados con la malnutrición en la Guerra Civil Española (1936-1939)","Culebras, Jesús M.","Nutrición Hospitalaria; 29(4); 712-718","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400003&lang=pt" 
"S0212-16112014000400024-esp","Evolución de los niveles de condición física en población octogenaria y su relación con un estilo de vida sedentario","Muñoz-Arribas, Alberto, Vila-Maldonado, Sara, Pedrero-Chamizo, Raquel, Espino, Luis, Gusi, Narcis, Villa, Gerardo, González-Gross, Marcela, Casajús, José Antonio, Ara, Ignacio, Gómez-Cabello, Alba","Nutrición Hospitalaria; 29(4); 894-900","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400024&lang=pt" 
"S0212-16112014000400010-esp","Clinical undernutrition in 2014: pathogenesis, early diagnosis and consequences; undernutrition and trophopathy","Ulíbarri Pérez, José Ignacio de","Nutrición Hospitalaria; 29(4); 785-796","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400010&lang=pt" 
"S0212-16112014000400030-esp","Serum uric acid can predict higher C-reactive protein levels in apparently healthy men","Carvalho Vidigal, Fernanda de, Frandsen Paez de Lima Rosado, Lina Enriqueta, Paixão Rosado, Gilberto, Cassia Lanes Ribeiro, Rita de, Carmo Castro Franceschini, Sylvia do","Nutrición Hospitalaria; 29(4); 935-940","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400030&lang=pt" 
"S0212-16112014000400016-esp","Intensive nutritional support improves the nutritional status and body composition in severely malnourished children with cerebral palsy","García-Contreras, Andrea A., Vásquez-Garibay, Edgar M., Romero-Velarde, Enrique, Ibarra-Gutiérrez, Ana Isabel, Troyo-Sanromán, Rogelio, Sandoval-Montes, Imelda E.","Nutrición Hospitalaria; 29(4); 838-843","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400016&lang=pt" 
"S0212-16112014000400029-esp","Herramientas para la calibración de menús y cálculo de la composición nutricional de los alimentos: validez y variabilidad","San Mauro Martín, Ismael, Hernández Rodríguez, B.","Nutrición Hospitalaria; 29(4); 929-934","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400029&lang=pt" 
"S0212-16112014000400013-esp","Acciones y problemas maternos para manejar el peso del hijo de acuerdo a la percepción materna del peso y edad del hijo","Flores-Peña, Yolanda, Cárdenas-Villarreal, Velia M., Trejo-Ortiz, Perla M., Ávila-Alpirez, Hermelinda, Ugarte-Esquivel, Alicia, Gallegos-Martínez, Josefina","Nutrición Hospitalaria; 29(4); 822-828","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400013&lang=pt" 
"S0212-16112014000400012-esp","Purple grape juice as a protector against acute X-irradiation induced alterations on mobility, anxiety, and feeding behaviour in mice","Soares, Félix A. A., Dalla Corte, Cristiane L., Andrade, Edson R., Marina, Raquel, González, Paquita, Barrio, Juan P.","Nutrición Hospitalaria; 29(4); 812-821","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400012&lang=pt" 
"S0212-16112014000400017-esp","Uso de una emulsión lipídica de nutrición parenteral a base de ácidos grasos omega 3 en pacientes menores de 18 años hospitalizados con alteración de las pruebas hepáticas asociada a la nutrición parenteral total","Giraldo Villa, Adriana, Henao Roldan, Catherine, García Loboguerrero, Fanny, Martínez Volkmar, María Isabel, Contreras Ramírez, Mónica María, Ruiz Navas, Patricia","Nutrición Hospitalaria; 29(4); 844-851","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400017&lang=pt" 
"S0212-16112014000400022-esp","Estimation of antioxidants dietary intake in wet age-related macular degeneration patients","Bibiloni, María del Mar, Zapata, María Elisa, Aragón, Juan A., Pons, Antoni, Olea, José Luis, Tur, Josep A.","Nutrición Hospitalaria; 29(4); 880-888","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400022&lang=pt" 
"S0212-16112014000400028-esp","High prevalence of inactivity among young patients with type 1 diabetes in south Spain","Gutiérrez Manzanedo, José Vicente, Carral San Laureano, Florentino, García Domínguez, Gloria, Ayala Ortega, Carmen, Jiménez Carmona, Soledad, Aguilar Diosdado, Manuel","Nutrición Hospitalaria; 29(4); 922-928","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400028&lang=pt" 
"S0212-16112014000400025-esp","Asociación entre desnutrición y depresión en el adulto mayor","Pérez Cruz, Elizabeth, Lizárraga Sánchez, Diana Cecilia, Martínez Esteves, María del Rosario","Nutrición Hospitalaria; 29(4); 901-906","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400025&lang=pt" 
"S0212-16112014000400023-esp","Papel del polimorfismo RS 6923761 del receptor glucagon-like peptide1 receptor sobre el peso, riesgo cardiovascular y niveles de adipocitoquinas en pacientes con obesidad mórbida","Luis, Daniel Antonio de, Pacheco, David, Aller, Rocío, Izaola, Olatz, Bachiller, Rosario","Nutrición Hospitalaria; 29(4); 889-893","Nutrición Hospitalaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400023&lang=pt" 
"S0212-16112014000400020-esp","Metabolic syndrome and associated factors in children and adolescents of a Brazilian municipality","Costa Dias Pitangueira, Jacqueline, Rodrigues Silva, Luciana, Portela de Santana, Mônica Leila, Monteiro da Silva, Maria da Conceição, Ribas de Farias Costa, Priscila, D´Almeida, Vânia, Oliveira Assis, Ana Marlúcia de","Nutrición Hospitalaria; 29(4); 865-872","Nutrición Hospitalaria","Inglês","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112014000400020&lang=pt" 
"S0325-00752014000200025-arg","Trastornos motores crónicos en niños y adolescentes","Lejarraga, Horacio","Archivos argentinos de pediatría; 112(2); e92-e92","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200025&lang=pt" 
"S0325-00752014000200024-arg","Corre de la SAP","","Archivos argentinos de pediatría; 112(2); e83-e91","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200024&lang=pt" 
"S0325-00752014000200021-arg","Seudotumor cerebral","Novoa, Viviana B., Perasso, María Inés, Bermúdez, Susana","Archivos argentinos de pediatría; 112(2); 198-200","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200021&lang=pt" 
"S0325-00752014000200020-arg","Cursos de reanimación cardiopulmonar básicos para padres de recién nacidos y lactantes","Enríquez, Diego, Castro, Adriana, Rabasa, Cecilia, Capelli, Carola, Cores Ponte, Florencia, Gutiérrez, Susana, Mariani, Gonzalo, Pacchioni, Sergio, Pardo, Amorina, Pérez, Gastón, Sorgetti, Mariana, Szyld, Edgardo","Archivos argentinos de pediatría; 112(2); 192-197","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200020&lang=pt" 
"S0325-00752014000200023-arg","Resúmenes de trabajos seleccionados publicados en las revistas de las Sociedades de Pediatría del Cono Sur 2012","","Archivos argentinos de pediatría; 112(2); e76-e82","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200023&lang=pt" 
"S0325-00752014000200022-arg","Archivos hace 75 años","","Archivos argentinos de pediatría; 112(2); e66-e75","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200022&lang=pt" 
"S0325-00752014000200010-arg","Infección grave por Staphylococcus aureus en tres unidades de cuidados intensivos pediátricos: análisis de los casos de neumonía necrotizante","Taffarel, Pedro, Bonetto, Germán, Penazzi, Matías, Jorro Barón, Facundo, Saenz, Silvia, Uranga, Macarena, Mari, Eduardo, Pereda, Rosana, Debaisi, Gustavo","Archivos argentinos de pediatría; 112(2); 163-168","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200010&lang=pt" 
"S0325-00752014000200011-arg","Hepatitis autoinmune en niños: perspectivas actuales","Cuarterolo, Miriam, Ciocca, Mirta, Álvarez, Fernando","Archivos argentinos de pediatría; 112(2); 169-175","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200011&lang=pt" 
"S0325-00752014000200012-arg","Hernia de disco lumbar en un niño con fibrosis quística: caso clínico","Alexiou, George A, Stefanaki, Kalliopi, Sfakianos, George, Prodromou, Neofytos","Archivos argentinos de pediatría; 112(2); e43-e45","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200012&lang=pt" 
"S0325-00752014000200014-arg","Botulismo por herida traumática","Moreno, Emilia, Pannocchia, Cecilia, Carricondo, Concepción","Archivos argentinos de pediatría; 112(2); e50-e52","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200014&lang=pt" 
"S0325-00752014000200015-arg","Exantema macular en un niño con gastroenteritis por rotavirus: informe de caso","Zulfikar Akelma, Ahmet, Nevzat Cizmeci, Mehmet, Mete, Emin, Dilara Malli, Dilsad, Erpolat, Seval, Mujgan Sonmez, Fatma","Archivos argentinos de pediatría; 112(2); e53-e56","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200015&lang=pt" 
"S0325-00752014000200016-arg","Dermatosis IgA lineal de la infancia: reporte de un caso","Reyes-Baraona, Francisco, Andino, Romina, Carrasco, Juan Eduardo, Arriagada, Camila, Guerrero, Silvia","Archivos argentinos de pediatría; 112(2); e57-e60","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200016&lang=pt" 
"S0325-00752014000200017-arg","Hemangiomas congénitos rápidamente involutivos: serie de 25 casos","Larralde, Margarita, Solé, Juan Javier, Luna, Paula Carolina, Mosquera, Tomás, Abad, María Eugenia","Archivos argentinos de pediatría; 112(2); e61-e65","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200017&lang=pt" 
"S0325-00752014000200018-arg","Accidentes por lepidópteros: Hylesia nigricans (Berg, 1875) o &quot;mariposa negra&quot;","Cabrerizo, Silvia, Spera, Marina, de Roodt, Adolfo","Archivos argentinos de pediatría; 112(2); 179-182","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200018&lang=pt" 
"S0325-00752014000200019-arg","Infecciones de piel y partes blandas en pediatría: consenso sobre diagnóstico y tratamiento","","Archivos argentinos de pediatría; 112(2); 183-191","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200019&lang=pt" 
"S0325-00752014000200007-arg","Evaluación de la producción científica del Hospital General de Niños Pedro de Elizalde, 2000-2011","Domínguez, Paula, Chiolo, María José, Davenport, María Carolina, Di Lalla, Sandra, Martins, Andrea, Ferrero, Fernando","Archivos argentinos de pediatría; 112(2); 147-152","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200007&lang=pt" 
"S0325-00752014000200006-arg","Evaluación posalta del crecimiento en prematuros: implicaciones de adoptar las curvas OMS","Fustiñana, Carlos A, Rodríguez, Diana, Mariani, Gonzalo","Archivos argentinos de pediatría; 112(2); 141-146","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200006&lang=pt" 
"S0325-00752014000200005-arg","Condición física y riesgo cardiovascular futuro en niños y adolescentes argentinos: una introducción de la batería ALPHA","Secchi, Jeremías David, García, Gastón César, España-Romero, Vanesa, Castro-Piñero, José","Archivos argentinos de pediatría; 112(2); 132-140","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200005&lang=pt" 
"S0325-00752014000200004-arg","Efectividad de un programa para mejorar el uso de antibióticos en niños internados en un hospital pediátrico de tercer nivel de atención en Argentina","Ruvinsky, Silvina, Mónaco, Andrea, Pérez, Guadalupe, Taicz, Moira, Inda, Laura, Epelbaum, Carolina, Kijko, Ivana, Constanzo, Patricia, Bologna, Rosa","Archivos argentinos de pediatría; 112(2); 124-131","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200004&lang=pt" 
"S0325-00752014000200003-arg","Comunicación en el pase de guardia en las áreas de cuidados intensivos en un hospital universitario: estudio transversal","Behiti, César A, Eymann, Alfredo, Durante, Eduardo, Pizarro, Rodolfo, Carrió, Silvia, Figari, Marcelo","Archivos argentinos de pediatría; 112(2); 119-123","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200003&lang=pt" 
"S0325-00752014000200002-arg","El relato de un padre ante circunstancias vividas en una Unidad de Cuidados Intensivos Neonatales","Basile, Gastón","Archivos argentinos de pediatría; 112(2); 116-118","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200002&lang=pt" 
"S0325-00752014000200001-arg","La comunicación en los equipos de atención médica: un desafío esencial para mejorar la seguridad del paciente","Ceriani Cernadas, José M","Archivos argentinos de pediatría; 112(2); 114-115","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200001&lang=pt" 
"S0325-00752014000200009-arg","Bevacizumab intravítreo como monoterapia de la retinopatia del prematuro en 12 pacientes","Bancalari M, Aldo, Schade Y, Ricardo, Peña Z, Rubén, Pavez P, Nicolás","Archivos argentinos de pediatría; 112(2); 160-163","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200009&lang=pt" 
"S0325-00752014000200008-arg","Hormona antidiurética, 2014","Repetto, Horacio A","Archivos argentinos de pediatría; 112(2); 153-159","Archivos argentinos de pediatría","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752014000200008&lang=pt" 
"S2175-33692014000100003-scl","Identifying communities of practice through mobile phone data","Pucci, Paola","urbe. Revista Brasileira de Gestão Urbana; 6(1); 17-30","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100003&lang=pt" 
"S2175-33692014000100005-scl","Vélib and data: a new way of inhabiting the city","Boullier, Dominique, Crépel, Maxime","urbe. Revista Brasileira de Gestão Urbana; 6(1); 47-56","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100005&lang=pt" 
"S2175-33692014000100004-scl","Space matters: the relational power of mobile technologies","Odendaal, Nancy","urbe. Revista Brasileira de Gestão Urbana; 6(1); 31-45","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100004&lang=pt" 
"S2175-33692014000100006-scl","New technological localisms: a comparative analysis of two case studies","Reed, Darren J., Johnson, Mark R.","urbe. Revista Brasileira de Gestão Urbana; 6(1); 57-72","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100006&lang=pt" 
"S2175-33692014000100002-scl","","Boullier, Dominique","urbe. Revista Brasileira de Gestão Urbana; 6(1); 13-16","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100002&lang=pt" 
"S2175-33692014000100007-scl","Cell phones: a digital cartography of São Paulo","De Marchi, Polise Moreira","urbe. Revista Brasileira de Gestão Urbana; 6(1); 13-85","urbe. Revista Brasileira de Gestão Urbana","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692014000100007&lang=pt" 
"S1692-72732014000100008-col","Exercise and Training at Altitudes: Physiological Effects and Protocols","Vargas Pinilla, Olga Cecilia","Revista Ciencias de la Salud; 12(1); 111-126","Revista Ciencias de la Salud","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100008&lang=pt" 
"S1692-72732014000100003-col","Adaptación cultural del cuestionario LINQ (Lung Information Needs Questionnaire) en pacientes con enfermedad respiratoria crónica en un programa de rehabilitación pulmonar en Cali, Colombia","Wilches Luna, Esther Cecilia, Obregón A., Lorena, Delgado H., María Isabel, Rebolledo A., Diana Fernanda, Terreros A., Adíela","Revista Ciencias de la Salud; 12(1); 23-34","Revista Ciencias de la Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732014000100003&lang=pt" 
