"S0100-40422011000200013-scl","Derivados citotóxicos de vitanolidos isolados das folhas de Acnistus arborescens","Minguzzi, Sandro, Barata, Lauro E. S., Cordell, Geoffrey A.","Química Nova; 34(2); 237-241","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200013&lang=pt" 
"S0100-40422011000200007-scl","Desenvolvimento de métodos de análise por CLAE-UV para os antimicrobianos tetraciclina, sulfametoxazol e trimetoprima utilizando materiais à base de sílica como sistemas de pré-concentração","Pedroso, Rosana Cristina Ribeiro, Peralba, Maria do Carmo Ruaro, Santos, João Henrique Zimnoch dos, Pizzolato, Tânia Mara, Fröehlich, Pedro Eduardo","Química Nova; 34(2); 206-212","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200007&lang=pt" 
"S0103-21002011000100001-scl","Rumo à consolidação da excelência na Pós-Graduação de Enfermagem no Brasil","Erdmann, Alacoque Lorenzini, Fernandes, Josicelia Dumêt","Acta Paulista de Enfermagem; 24(1); vii-viii","Acta Paulista de Enfermagem","Inglês, Português, Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100001&lang=pt" 
"S0103-21002011000100022-scl","Da alcoolização ao verbo: ensaio da psicodinâmica do trabalho","Martins, Julia Trevisan, Bobroff, Maria Cristina Cescatto","Acta Paulista de Enfermagem; 24(1); 142-143","Acta Paulista de Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100022&lang=pt" 
"S0103-21002011000100023-scl","","","Acta Paulista de Enfermagem; 24(1); 145-145","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100023&lang=pt" 
"S1807-59322011000100002-scl","Reflexões críticas sobre os três erres, ou os periódicos brasileiros excluídos","Rocha e Silva, Mauricio","Clinics; 66(1); 3-7","Clinics","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100002&lang=pt" 
"S1807-59322011000100003-scl","Prevalence of potential drug interactions in patients in an intensive care unit of a university hospital in Brazil","Reis, Adriano Max Moreira, Cassiani, Silvia Helena De Bortoli","Clinics; 66(1); 9-15","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100003&lang=pt" 
"S1807-59322011000100024-scl","Protective effect of sildenafil citrate on contralateral testis injury after unilateral testicular torsion/detorsion","Yíldíz, Hamit, Durmus, Ali Said, Şimşek, Halil, Yaman, Mine","Clinics; 66(1); 137-142","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100024&lang=pt" 
"S0103-21002011000100002-scl","A teoria da complexidade no cotidiano da chefia de enfermagem","Pradebon, Vania Marta, Erdmann, Alacoque Lorenzini, Leite, Joséte Luzia, Lima, Suzinara Beatriz Soares de, Prochnow, Adelina Giacomelli","Acta Paulista de Enfermagem; 24(1); 13-22","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100002&lang=pt" 
"S0103-21002011000100003-scl","Ensino de teorias de enfermagem em Cursos de Graduação em Enfermagem do Estado do Paraná - Brasil","Matos, Jéssica Carvalho de, Luz, Geisa dos Santos, Marcolino, Janaína de Souza, Carvalho, Maria Dalva de Barros, Pelloso, Sandra Marisa","Acta Paulista de Enfermagem; 24(1); 23-28","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100003&lang=pt" 
"S0103-21002011000100004-scl","Características sociodemográficas, capacidade funcional e morbidades entre idosos com e sem declínio cognitivo","Ferreira, Pollyana Cristina dos Santos, Tavares, Darlene Mara dos Santos, Rodrigues, Rosalina Aparecida Partezani","Acta Paulista de Enfermagem; 24(1); 29-35","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100004&lang=pt" 
"S0103-21002011000100005-scl","Diagnóstico de enfermagem memória prejudicada em idosos hospitalizados","Souza, Priscilla Alfradique de, Santana, Rosimere Ferreira","Acta Paulista de Enfermagem; 24(1); 36-42","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100005&lang=pt" 
"S0103-21002011000100006-scl","Cuidador de pessoa com acidente vascular encefálico: necessidades, sentimentos e orientações recebidas","Oliveira, Barbara Campos de, Garanhani, Mara Lúcia, Garanhani, Márcia Regina","Acta Paulista de Enfermagem; 24(1); 43-49","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100006&lang=pt" 
"S0103-21002011000100007-scl","Avaliação da dor como quinto sinal vital: opinião de profissionais de enfermagem","Nascimento, Leonel Alves do, Kreling, Maria Clara Giorio Dutra","Acta Paulista de Enfermagem; 24(1); 50-54","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100007&lang=pt" 
"S0103-21002011000100008-scl","Perfil da prática da amamentação em grupo de mães adolescentes","Camarotti, Caroline Michele, Nakano, Ana Márcia Spanó, Pereira, Caroline Ribeiro, Medeiros, Camila Pani, Monteiro, Juliana Cristina dos Santos","Acta Paulista de Enfermagem; 24(1); 55-60","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100008&lang=pt" 
"S0103-21002011000100009-scl","Avaliação do viés de classificação da laceração perineal no parto normal","Colacioppo, Priscila Maria, Riesco, Maria Luiza Gonzalez, Colacioppo, Roberto Celso, Osava, Ruth Hitomi","Acta Paulista de Enfermagem; 24(1); 61-66","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100009&lang=pt" 
"S0103-21002011000100011-scl","Avaliação do teor de Atenolol em comprimidos divididos com faca caseira e aparelho cortador","Auricchio, Mariangela Tirico, Yano, Helena Miyoco, Santos, Ana Paula, Bugno, Adriana","Acta Paulista de Enfermagem; 24(1); 74-79","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100011&lang=pt" 
"S0103-21002011000100012-scl","Pessoa com deficiência física e sensorial: percepção de alunos da graduação em enfermagem","Rebouças, Cristiana Brasil de Almeida, Cezario, Kariane Gomes, Oliveira, Paula Marciana Pinheiro de, Pagliuca, Lorita Marlena Freitag","Acta Paulista de Enfermagem; 24(1); 80-86","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100012&lang=pt" 
"S0103-21002011000100013-scl","Significados das hierarquias no trabalho em hospitais públicos brasileiros a partir de estudos empíricos","Vaghetti, Helena Heidtmann, Padilha, Maria Itayra Coelho de Souza, Lunardi Filho, Wilson Danilo, Lunardi, Valéria Lerch, Costa, Cesar Francisco Silva da","Acta Paulista de Enfermagem; 24(1); 87-93","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100013&lang=pt" 
"S0103-21002011000100014-scl","Avaliação e tratamento da dor perineal no pós-parto vaginal","Francisco, Adriana Amorim, Oliveira, Sonia Maria Junqueira Vasconcellos de, Santos, Jaqueline de Oliveira, Silva, Flora Maria Barbosa da","Acta Paulista de Enfermagem; 24(1); 94-100","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100014&lang=pt" 
"S0103-21002011000100015-scl","Cobertura vacinal contra hepatite B entre usuários de drogas ilícitas","Attilio, Juliana Santos, Rodrigues, Fabiana Perez, Renovato, Rogério Dias, Sales, Cibele de Moura, Alvarenga, Márcia Regina Martins, Moreira, Marjorie Thomaz, Pereira, Nathalia Cristina Alves","Acta Paulista de Enfermagem; 24(1); 101-106","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100015&lang=pt" 
"S0103-21002011000100016-scl","Sexualidade de puérperas com bebês de risco","Belentani, Leda Maria, Marcon, Sônia Silva, Pelloso, Sandra Marisa","Acta Paulista de Enfermagem; 24(1); 107-113","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100016&lang=pt" 
"S0103-21002011000100017-scl","Débito cardíaco diminuído: revisão sistemática das características definidoras","Souza, Vanessa de, Zeitoun, Sandra Salloum, Barros, Alba Lucia Bottura Leite de","Acta Paulista de Enfermagem; 24(1); 114-119","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100017&lang=pt" 
"S0103-21002011000100019-scl","Produção científica sobre eliminações urinárias em periódicos de enfermagem brasileiros","Fumincelli, Laís, Mazzo, Alessandra, Silva, Amanda de Assunção Teodoro da, Pereira, Barbara Juliana da Costa, Mendes, Isabel Amélia Costa","Acta Paulista de Enfermagem; 24(1); 127-131","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100019&lang=pt" 
"S0103-21002011000100020-scl","Enfermagem e a prática hemoterápica no Brasil: revisão integrativa","Barbosa, Stella Maia, Torres, Cibele Almeida, Gubert, Fabiane do Amaral, Pinheiro, Patrícia Neyva da Costa, Vieira, Neiva Francenely Cunha","Acta Paulista de Enfermagem; 24(1); 132-136","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100020&lang=pt" 
"S0103-21002011000100021-scl","A problemática da elaboração da escala mensal de enfermagem","Souza, Geórgia Pereira Silveira, Freitas, Genival Fernandes de, Prado, Cláudia, Leite, Maria Madalena Januário, Pereira, Irene Mari","Acta Paulista de Enfermagem; 24(1); 137-141","Acta Paulista de Enfermagem","Inglês, Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100021&lang=pt" 
"S0103-21002011000100010-scl","Cuidados com a pele adotados por gestantes assistidas em serviços públicos de saúde","Urasaki, Maristela Belletti Mutt","Acta Paulista de Enfermagem; 24(1); 67-73","Acta Paulista de Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100010&lang=pt" 
"S0103-21002011000100018-scl","A classificação das intervenções de Enfermagem na prática clínica de enfermeiros brasileiros","Sampaio, Rodrigo Soares, Santos, Iraci dos, Amantéa, Mara Lúcia, Nunes, Alessandra Sant&#039;Anna","Acta Paulista de Enfermagem; 24(1); 120-126","Acta Paulista de Enfermagem","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-21002011000100018&lang=pt" 
"S1807-59322011000100021-scl","Prediction of large esophageal varices in cirrhotic patients using classification and regression tree analysis","Hong, Wan-dong, Dong, Le-mei, Jiang, Zen-cai, Zhu, Qi-huai, Jin, Shu-Qing","Clinics; 66(1); 119-124","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100021&lang=pt" 
"S1807-59322011000100001-scl","The stability of fish populations: how changes in the environment may affect people with epilepsy","Cysneiros, Roberta M, Arida, Ricardo M, Terra, Vera C, Nejm, Mariana B, Scorza, Fulvio A","Clinics; 66(1); 1-2","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100001&lang=pt" 
"S1807-59322011000100009-scl","Effect of physiological overload on pregnancy in women with mitral regurgitation","Borges, Vera T. M, Matsubara, Beatriz B, Magalhães, Claudia G, Peraçoli, Jose C, Rudge, Marilza V. C","Clinics; 66(1); 47-50","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100009&lang=pt" 
"S1807-59322011000100008-scl","Results of the surgical treatment of non-advanced megaesophagus using Heller-Pinotti&#039;s surgery: Laparotomy vs. Laparoscopy","Lopes, Luiz Roberto, Braga, Nathália da Silva, Oliveira, Gustavo Carvalho de, Coelho Neto, João de Souza, Camargo, Marcelo Amade, Andreollo, Nelson Adami","Clinics; 66(1); 41-46","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100008&lang=pt" 
"S1807-59322011000100032-scl","Totally laparoscopic ureteroneocystostomy with intracorporeal tailoring for primary obstructive megaureter","Mitre, Anuar Ibrahim, Lestingi, Jean Felipe Prodocimo, Arap, Marco Antonio, Lucon, Antonio Marmo, Srougi, Miguel","Clinics; 66(1); 177-179","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100032&lang=pt" 
"S1807-59322011000100031-scl","Celiac crisis with ataxia in a child","Oba, Jane, Escobar, Ana Maria, Schvartsman, Benita G. S, Gherpelli, José Luiz","Clinics; 66(1); 173-175","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100031&lang=pt" 
"S1807-59322011000100027-scl","Limits to clinical trials in surgical areas","Demange, Marco Kawamura, Fregni, Felipe","Clinics; 66(1); 159-161","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100027&lang=pt" 
"S1807-59322011000100028-scl","IDH1 mutations in a Brazilian series of Glioblastoma","Uno, Miyuki, Oba-Shinjo, Sueli Mieko, Silva, Roseli da, Miura, Flavio, Clara, Carlos Afonso, Almeida, José Reynaldo Walther de, Malheiros, Suzana M. F, Bianco, André Macedo, Brandt, Reynaldo, Ribas, Guilherme Carvalhal, Feres, Halim, Dzik, Carlos, Rosemberg, Sérgio, Stavale, João Norberto, Teixeira, Manoel Jacobsen, Marie, Suely K. N","Clinics; 66(1); 163-165","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100028&lang=pt" 
"S1807-59322011000100029-scl","New HNF-1α nonsense mutation causes maturity-onset diabetes of the young type 3","Nogaroto, Viviane, Svidnicki, Paulo Vinicius, Bonatto, Naieli, Milléo, Fábio Quirillo, Almeida, Mara Cristina de, Vicari, Marcelo Ricardo, Artoni, Roberto Ferreira","Clinics; 66(1); 167-168","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100029&lang=pt" 
"S1807-59322011000100033-scl","Re: comparison between two shock wave regimens using frequencies of 60 and 90 impulses per minute for urinary stones","Ho, Christopher C. K","Clinics; 66(1); 181-181","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100033&lang=pt" 
"S1807-59322011000100004-scl","Evolution of critically ill patients with gastroschisis from three tertiary centers","Tannuri, Ana Cristina A, Sbragia, Lourenço, Tannuri, Uenis, Silva, Luanna M, Leal, Antonio José G, Schmidt, Augusto Frederico S, Oliveira-Filho, Antonio G, Bustorff-Silva, Joaquim Murray, Vicente, Yvone A. M. V. A, Tazima, Maria de Fátima G. S, Pileggi, Flávio O, Camperoni, Alexandra L","Clinics; 66(1); 17-20","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100004&lang=pt" 
"S1807-59322011000100030-scl","An unusual case of a tortuous abdominal aorta with a common celiacomesenteric trunk: demonstrated by angiography","Kara, Engin, Celebi, Baris, Yildiz, Altan, Ozturk, Nail, Uzmansel, Deniz","Clinics; 66(1); 169-171","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100030&lang=pt" 
"S0100-40422011000200001-scl","País emergente em ciência","Torresi, Susana I. Córdoba de, Pardini, Vera L., Ferreira, Vitor F.","Química Nova; 34(2); 179-180","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200001&lang=pt" 
"S0100-40422011000200005-scl","Relación entre la entalpía de inmersión de monolitos de carbon activado y parametros texturales","Vargas, Diana P., Gutiérrez, Liliana Giraldo, Moreno, Juan Carlos","Química Nova; 34(2); 196-199","Química Nova","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200005&lang=pt" 
"S0100-40422011000200018-scl","Flavonoides de Lonchocarpus campestris (Leguminosae)","Pires, Andreza Maria L., Silveira, Edilberto R., Pessoa, Otília Deusdênia L.","Química Nova; 34(2); 268-271","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200018&lang=pt" 
"S0100-40422011000200017-scl","Alvejamento químico de caulins Brasileiros: efeito do potencial eletroquímico da polpa e do ajuste do pH","Silva, Fernanda Arruda Nogueira Gomes da, Garrido, Francisco Manoel dos Santos, Medeiros, Marta Eloísa, Sampaio, João Alves, Luz, Adão Benvindo da, Mello, Lívia da Silva, Silva, Flávio Teixeira da","Química Nova; 34(2); 262-267","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200017&lang=pt" 
"S0100-40422011000200028-scl","Voltametria de Pulso Diferencial (VPD) em estado sólido de manchas de Cromatografia de Camada Delgada (CCD): um novo método de análise para fitoativos antioxidantes","Gonçalves, Darlene, Couto, Renê O., Conceição, Edemilson C., Reis, Nathasha S., Gil, Eric S.","Química Nova; 34(2); 330-334","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200028&lang=pt" 
"S0100-40422011000200027-scl","Determinação da densidade de corrente de corrosão em meios de baixa condutividade: uso de microeletrodos para minimizar a queda ôhmica","Oliveira, Paulo César A. de, Bertazzoli, Rodnei","Química Nova; 34(2); 325-329","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200027&lang=pt" 
"S0100-40422011000200026-scl","Caracterização e quantificação de contaminantes em aguardentes de cana","Zacaroni, Lidiany Mendonça, Cardoso, Maria das Graças, Saczk, Adelir Aparecida, Santiago, Wilder D., Anjos, Jeancarlo Pereira dos, Masson, José, Duarte, Felipe C., Nelson, David Lee","Química Nova; 34(2); 320-324","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200026&lang=pt" 
"S0100-40422011000200030-scl","Determinação de enxofre em amostras vegetais por oxidação via seca em meio alcalino com detecção espectrofométrica","Rossete, Alexssandra Luiza Rodrigues Molina, Carneiro, Josiane Meire Tolotti, Batagello, Hugo Henrique, Oliveira, Juliana Graciela Giovannini, Bendassolli, José Albertino","Química Nova; 34(2); 341-343","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200030&lang=pt" 
"S0100-40422011000200031-scl","Sistema de refrigeração cíclico para utilização em destilador térmico","Assirati, Lucas, Pereira, Carlos A., Nunes, Luiz A. O.","Química Nova; 34(2); 344-345","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000200031&lang=pt" 
"S1807-59322011000100005-scl","Entrapped victims in motor vehicle collisions: characteristics and prehospital care in the city of São Paulo, Brazil","Dias, Adriano Rogério Navarro, Abib, Simone de Campos Vieira, Poli-de-Figueiredo, Luiz Francisco, Perfeito, João Aléssio Juliano","Clinics; 66(1); 21-25","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100005&lang=pt" 
"S1807-59322011000100016-scl","Sensitivity and specificity of auditory steady-state response testing","Rabelo, Camila Maia, Schochat, Eliane","Clinics; 66(1); 87-93","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000100016&lang=pt" 
"S1807-59322011000300019-scl","Hypertonic saline and reduced peroxynitrite formation in experimental pancreatitis","Rios, Ester Correia Sarmento, Moretti, Ana Soares, Velasco, Irineu Tadeu, Souza, Heraldo Possolo de, Abatepaulo, Fatima, Soriano, Francisco","Clinics; 66(3); 469-476","Clinics","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322011000300019&lang=pt" 
"S0100-40422011000300024-scl","Estudo das condições de estocagem do bagaço de cana-de-açúcar por análise térmica","Santos, Moacyr L. dos, Lima, Omar J. de, Nassar, Eduardo J., Ciuffi, Katia J., Calefi, Paulo S.","Química Nova; 34(3); 507-511","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000300024&lang=pt" 
"S0101-31222011000100004-scl","Preparo das sementes de café para avaliação da viabilidade pelo teste de tetrazólio","Clemente, Aline da Consolação Sampaio, Carvalho, Maria Laene Moreira de, Guimarães, Renato Mendes, Zeviani, Walmes Marques","Revista Brasileira de Sementes; 33(1); 38-44","Revista Brasileira de Sementes","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222011000100004&lang=pt" 
"S0101-31222011000100009-scl","Germinação de sementes de Passiflora setacea e dormência induzida pelo armazenamento","Pádua, Juliano Gomes, Schwingel, Laíssa Castelo, Mundim, Rosângela Caldas, Salomão, Antonieta Nassif, Roverijosé, Solange Carvalho Barrios","Revista Brasileira de Sementes; 33(1); 80-85","Revista Brasileira de Sementes","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31222011000100009&lang=pt" 
"S0037-86822011000800005-scl","O Inquérito triatomínico (1975-1983)","Silveira, Antônio Carlos","Revista da Sociedade Brasileira de Medicina Tropical; 44(); 26-32","Revista da Sociedade Brasileira de Medicina Tropical","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822011000800005&lang=pt" 
