"S1413-81232012000500011-spa","Atendimento de saúde para pessoas idosas vítimas de violência no município do Rio de Janeiro","Ribeiro, Adalgisa Peixoto, Souza, Edinilsa Ramos de, Valadares, Fabiana Castelo","Ciência &amp; Saúde Coletiva; 17(5); 1167-1177","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500011&lang=pt" 
"S0102-311X2012000500014-spa","Assistência pública de saúde no contexto da transição demográfica brasileira: exigências atuais e futuras","Mendes, Antonio da Cruz Gouveia, Sá, Domicio Aurélio de, Miranda, Gabriella Morais Duarte, Lyra, Tereza Maciel, Tavares, Ricardo Antonio Wanderley","Cadernos de Saúde Pública; 28(5); 955-964","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500014&lang=pt" 
"S0102-311X2012000500013-spa","Faltas ao trabalho por problemas de saúde na indústria","Yano, Sylvia Regina Trindade, Santana, Vilma Sousa","Cadernos de Saúde Pública; 28(5); 945-954","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500013&lang=pt" 
"S0102-311X2012000500010-spa","Efeito do plano amostral em modelo logístico ordinal: uma análise do estado de saúde autorreferido de adultos no Brasil usando a Pesquisa Nacional por Amostra de Domicílios de 2008","Moraes, José Rodrigo de, Moreira, Jessica Pronestino de Lima, Luiz, Ronir Raggio","Cadernos de Saúde Pública; 28(5); 913-924","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500010&lang=pt" 
"S0102-311X2012000500009-spa","Prevalence of self-reported chronic diseases in individuals over the age of 40 in São Paulo, Brazil: the Platino study","Carvalho, Andréa K., Menezes, Ana Maria B., Camelier, Aquiles, Rosa, Fernanda Warken, Nascimento, Oliver A., Perez-Padilla, Rogelio, Jardim, José R.","Cadernos de Saúde Pública; 28(5); 905-912","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500009&lang=pt" 
"S0102-311X2012000500008-spa","Autopercepção da mastigação e fatores associados em adultos brasileiros","Braga, Ana Paula Gasparini, Barreto, Sandhi Maria, Martins, Andréa Maria Eleutério de Barros Lima","Cadernos de Saúde Pública; 28(5); 889-904","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500008&lang=pt" 
"S0102-311X2012000500007-spa","Fatores relacionados à vacinação contra a gripe em idosos: estudo transversal, Cambé, Paraná, Brasil","Campos, Eliane Cristina, Sudan, Luci Cristina Pulga, Mattos, Edlivia Dias de, Fidelis, Reginaldo","Cadernos de Saúde Pública; 28(5); 878-888","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500007&lang=pt" 
"S0102-311X2012000500006-spa","Trends in hospitalizations for respiratory diseases in Salvador, Bahia State, Brazil, 1998-2009","Antunes, Fernanda Pedro, Costa, Maria da Conceição Nascimento, Paim, Jairnilson Silva, Vieira-da-Silva, Ligia Maria, Santos, Carlos Antonio de Souza Teles, Cruz, Álvaro Augusto, Barreto, Mauricio L.","Cadernos de Saúde Pública; 28(5); 869-877","Cadernos de Saúde Pública","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500006&lang=pt" 
"S0102-311X2012000500004-spa","Internações por condições sensíveis à atenção primária em Campo Grande, Mato Grosso do Sul, Brasil, 2000 a 2009","Campos, Amanda Zandonadi de, Theme-Filha, Mariza Miranda","Cadernos de Saúde Pública; 28(5); 845-855","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500004&lang=pt" 
"S1413-81232012000500004-spa","Apoio social e saúde: contribuições das ciências sociais e humanas às intervenções em saúde","Gonçalves, Tonantzin Ribeiro","Ciência &amp; Saúde Coletiva; 17(5); 1117-1119","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500004&lang=pt" 
"S1413-81232012000500003-spa","Uma contribuição antropológica sobre o apoio social","Martin, Denise","Ciência &amp; Saúde Coletiva; 17(5); 1115-1117","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500003&lang=pt" 
"S0102-311X2012000500002-scl","Contribuição dos agentes indígenas de saúde na atenção diferenciada à saúde dos povos indígenas brasileiros","Diehl, Eliana Elisabeth, Langdon, Esther Jean, Dias-Scopel, Raquel Paiva","Cadernos de Saúde Pública; 28(5); 819-831","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500002&lang=pt" 
"S0102-311X2012000500005-scl","Utilização de eritropoetina por pacientes incidentes em hemodiálise no Sistema Único de Saúde, Brasil, 2002-2003","Gurgel, Thaís Caroline, Cherchiglia, Mariângela Leal, Acurcio, Francisco de Assis, Szuster, Daniele Araújo Campos, Gomes, Isabel Cristina, Andrade, Eli Iola Gurgel","Cadernos de Saúde Pública; 28(5); 856-868","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500005&lang=pt" 
"S0102-311X2012000500006-scl","Trends in hospitalizations for respiratory diseases in Salvador, Bahia State, Brazil, 1998-2009","Antunes, Fernanda Pedro, Costa, Maria da Conceição Nascimento, Paim, Jairnilson Silva, Vieira-da-Silva, Ligia Maria, Santos, Carlos Antonio de Souza Teles, Cruz, Álvaro Augusto, Barreto, Mauricio L.","Cadernos de Saúde Pública; 28(5); 869-877","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500006&lang=pt" 
"S0102-311X2012000500007-scl","Fatores relacionados à vacinação contra a gripe em idosos: estudo transversal, Cambé, Paraná, Brasil","Campos, Eliane Cristina, Sudan, Luci Cristina Pulga, Mattos, Edlivia Dias de, Fidelis, Reginaldo","Cadernos de Saúde Pública; 28(5); 878-888","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500007&lang=pt" 
"S0102-311X2012000500008-scl","Autopercepção da mastigação e fatores associados em adultos brasileiros","Braga, Ana Paula Gasparini, Barreto, Sandhi Maria, Martins, Andréa Maria Eleutério de Barros Lima","Cadernos de Saúde Pública; 28(5); 889-904","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500008&lang=pt" 
"S0102-311X2012000500009-scl","Prevalence of self-reported chronic diseases in individuals over the age of 40 in São Paulo, Brazil: the Platino study","Carvalho, Andréa K., Menezes, Ana Maria B., Camelier, Aquiles, Rosa, Fernanda Warken, Nascimento, Oliver A., Perez-Padilla, Rogelio, Jardim, José R.","Cadernos de Saúde Pública; 28(5); 905-912","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500009&lang=pt" 
"S0102-311X2012000500010-scl","Efeito do plano amostral em modelo logístico ordinal: uma análise do estado de saúde autorreferido de adultos no Brasil usando a Pesquisa Nacional por Amostra de Domicílios de 2008","Moraes, José Rodrigo de, Moreira, Jessica Pronestino de Lima, Luiz, Ronir Raggio","Cadernos de Saúde Pública; 28(5); 913-924","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500010&lang=pt" 
"S0102-311X2012000500011-scl","Metrópole e região: dilemas da pactuação da saúde. O caso da Região Metropolitana da Baixada Santista, São Paulo, Brasil","Ianni, Aurea Maria Zöllner, Monteiro, Paulo Henrique Nico, Alves, Olga Sofia Fabergé, Morais, Maria de Lima Salum e, Barboza, Renato","Cadernos de Saúde Pública; 28(5); 925-934","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500011&lang=pt" 
"S0102-311X2012000500012-scl","Avaliação da implantação do Método Canguru por gestores, profissionais e mães de recém-nascidos","Gontijo, Tarcisio Laerte, Xavier, César Coelho, Freitas, Maria Imaculada de Fátima","Cadernos de Saúde Pública; 28(5); 935-944","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500012&lang=pt" 
"S0102-311X2012000500013-scl","Faltas ao trabalho por problemas de saúde na indústria","Yano, Sylvia Regina Trindade, Santana, Vilma Sousa","Cadernos de Saúde Pública; 28(5); 945-954","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500013&lang=pt" 
"S0102-311X2012000500014-scl","Assistência pública de saúde no contexto da transição demográfica brasileira: exigências atuais e futuras","Mendes, Antonio da Cruz Gouveia, Sá, Domicio Aurélio de, Miranda, Gabriella Morais Duarte, Lyra, Tereza Maciel, Tavares, Ricardo Antonio Wanderley","Cadernos de Saúde Pública; 28(5); 955-964","Cadernos de Saúde Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500014&lang=pt" 
"S0102-311X2012000500016-scl","Socioeconomic status and age at menarche in indigenous and non-indigenous Chilean adolescents","Amigo, Hugo, Vásquez, Sofía, Bustos, Patricia, Ortiz, Guillermo, Lara, Macarena","Cadernos de Saúde Pública; 28(5); 977-983","Cadernos de Saúde Pública","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2012000500016&lang=pt" 
"S1413-81232012000500007-scl","&quot;Sentir-se em casa longe de casa&quot;: vulnerabilidade, religiosidade e apoio social entre os migrantes brasileiros no Japão","Matsue, Regina Yoshie","Ciência &amp; Saúde Coletiva; 17(5); 1135-1142","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500007&lang=pt" 
"S1413-81232012000500008-scl","Apoio matricial em saúde do trabalhador: tecendo redes na atenção básica do SUS, o caso de Amparo/ SP","Santos, Ana Paula Lopes dos, Lacaz, Francisco Antonio de Castro","Ciência &amp; Saúde Coletiva; 17(5); 1143-1150","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500008&lang=pt" 
"S1413-81232012000500009-scl","Significado da atuação da equipe da Estratégia de Saúde da Família em uma comunidade socialmente vulnerável","Backes, Dirce Stein, Backes, Marli Terezinha Stein, Erdmann, Alacoque Lorenzini, Büscher, Andreas, Marchiori, Mara Teixeira, Koerich, Magda Santos","Ciência &amp; Saúde Coletiva; 17(5); 1151-1157","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500009&lang=pt" 
"S1413-81232012000500010-scl","Perfil do idoso dependente de cuidado domiciliar em comunidades de baixo nível socioeconômico de Porto Alegre, Rio Grande do Sul","Del Duca, Giovâni Firpo, Martinez, Aline de Deus, Bastos, Gisele Alsina Nader","Ciência &amp; Saúde Coletiva; 17(5); 1159-1165","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500010&lang=pt" 
"S1413-81232012000500011-scl","Atendimento de saúde para pessoas idosas vítimas de violência no município do Rio de Janeiro","Ribeiro, Adalgisa Peixoto, Souza, Edinilsa Ramos de, Valadares, Fabiana Castelo","Ciência &amp; Saúde Coletiva; 17(5); 1167-1177","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500011&lang=pt" 
"S1413-81232012000500012-scl","Terceirização em cuidados continuados: uma abordagem de gestão de risco","Guimarães, Cristina Machado, Carvalho, José Crespo de","Ciência &amp; Saúde Coletiva; 17(5); 1179-1190","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500012&lang=pt" 
"S1413-81232012000500014-scl","Las personas que viven con VIH/SIDA y su vínculo con los antirretrovirales provistos por el Programa Nacional en Argentina","Colautti, Marisel Andrea","Ciência &amp; Saúde Coletiva; 17(5); 1203-1213","Ciência &amp; Saúde Coletiva","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500014&lang=pt" 
"S1413-81232012000500016-scl","Grupos de apoio para homens com câncer de próstata: revisão integrativa da literatura","Moscheta, Murilo dos Santos, Santos, Manoel Antônio dos","Ciência &amp; Saúde Coletiva; 17(5); 1225-1233","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500016&lang=pt" 
"S1413-81232012000500017-scl","Para além das grades e punições: uma revisão sistemática sobre a saúde penitenciária","Gois, Swyanne Macêdo, Santos Junior, Hudson Pires de Oliveira, Silveira, Maria de Fátima de Araújo, Gaudêncio, Mércia Maria de Paiva","Ciência &amp; Saúde Coletiva; 17(5); 1235-1246","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500017&lang=pt" 
"S1413-81232012000500021-scl","Sentidos atribuídos por profissionais à promoção da saúde do adolescente","Santos, Antonía Alizandra Gomes dos, Silva, Raimunda Magalhães da, Machado, Maria de Fátima Antero Sousa, Vieira, Luiza Jane Eyre de Souza, Catrib, Ana Maria Fontenelle, Jorge, Herla Maria Furtado","Ciência &amp; Saúde Coletiva; 17(5); 1275-1284","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500021&lang=pt" 
"S1413-81232012000500022-scl","Perceptions of dental students regarding dentistry, the job market and the public healthcare system","Costa, Simone de Melo, Silveira, Marise Fagundes, Durães, Sarah Jane Alves, Abreu, Mauro Henrique Nogueira Guimarães de, Bonan, Paulo Rogério Ferreti","Ciência &amp; Saúde Coletiva; 17(5); 1285-1296","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500022&lang=pt" 
"S1413-81232012000500023-scl","Análise do desempenho motor associado ao estado nutricional de idosos cadastrados no Programa Saúde da Família, no município de Vitória de Santo Antão-PE","Soares, Lisandra Delfino de Albuquerque, Campos, Florisbela de Arruda Câmara e Siqueira, Araújo, Maria das Graças Rodrigues de, Falcão, Ana Patrícia Siqueira Tavares, Lima, Bruna Rafaela Dornelas de Andrade, Siqueira, Danielle Ferreira de, Fittipaldi, Etiene Oliveira da Silva, Arruda, Silvana Gonçalves Brito de, Faro, Zelyta Pinheiro de","Ciência &amp; Saúde Coletiva; 17(5); 1297-1304","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500023&lang=pt" 
"S1413-81232012000500024-scl","Papel do agente comunitário de saúde no controle do estoque domiciliar de medicamentos em comunidades atendidas pela estratégia de saúde da família","Laste, Gabriela, Deitos, Alícia, Kauffmann, Carla, Castro, Luís César de, Torres, Iraci Lucena da Silva, Fernandes, Luciana Carvalho","Ciência &amp; Saúde Coletiva; 17(5); 1305-1312","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500024&lang=pt" 
"S1413-81232012000500026-scl","Uso racional de antibióticos: uma experiência para educação em saúde com escolares","Dandolini, Bruna Werner, Batista, Lilian de Bem, Souza, Lúcia Helena Fernandes de, Galato, Dayani, Piovezan, Anna Paula","Ciência &amp; Saúde Coletiva; 17(5); 1323-1331","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500026&lang=pt" 
"S1413-81232012000500027-scl","A saúde bucal na mídia impressa: análise das matérias jornalísticas nos anos de 2004-2009","Cavaca, Aline Guio, Gentilli, Victor, Zandonade, Eliana, Cortellete Júnior, Moacyr, Emmerich, Adauto","Ciência &amp; Saúde Coletiva; 17(5); 1333-1345","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500027&lang=pt" 
"S1413-81232012000500028-scl","Atenção primária à saúde e a construção de sentidos para a saúde bucal: leitura construcionista social sobre discursos de idosos","Bulgarelli, Alexandre Favero, Pinto, Ione Carvalho, Lorenzi, Carla Guanaes, Villa, Teresa Cristina Scatena, Mestriner, Soraya Fernandes, Silva, Rosalina Carvalho da","Ciência &amp; Saúde Coletiva; 17(5); 1347-1355","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500028&lang=pt" 
"S1413-81232012000500029-scl","Dor dentária como motivo de absenteísmo em uma população de trabalhadores","Miotto, Maria Helena Monteiro de Barros, Silotti, Jean Carlos Bazoni, Barcellos, Ludmilla Awad","Ciência &amp; Saúde Coletiva; 17(5); 1357-1363","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500029&lang=pt" 
"S1413-81232012000500030-scl","Concepções dos hipertensos sobre os fatores de risco para a doença","Machado, Mariana Carvalho, Pires, Cláudia Geovana da Silva, Lobão, William Mendes","Ciência &amp; Saúde Coletiva; 17(5); 1365-1374","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000500030&lang=pt" 
"S0102-311X2012000500002-spa","Contribuição dos agentes indígenas de saúde na atenção diferenciada à saúde dos povos indígenas brasileiros","Diehl, Eliana Elisabeth, Langdon, Esther Jean, Dias-Scopel, Raquel Paiva","Cadernos de Saúde Pública; 28(5); 819-831","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500002&lang=pt" 
"S0102-311X2012000500003-spa","Estudo ecológico sobre os possíveis determinantes socioeconômicos, demográficos e fisiográficos do suicídio no Estado do Rio de Janeiro, Brasil, 1998-2002","Bezerra Filho, José Gomes, Werneck, Guilherme Loureiro, Almeida, Rosa Lívia Freitas de, Oliveira, Maria Ivoneide Veríssimo de, Magalhães, Francismeire Brasileiro","Cadernos de Saúde Pública; 28(5); 833-844","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500003&lang=pt" 
"S0102-311X2012000500005-spa","Utilização de eritropoetina por pacientes incidentes em hemodiálise no Sistema Único de Saúde, Brasil, 2002-2003","Gurgel, Thaís Caroline, Cherchiglia, Mariângela Leal, Acurcio, Francisco de Assis, Szuster, Daniele Araújo Campos, Gomes, Isabel Cristina, Andrade, Eli Iola Gurgel","Cadernos de Saúde Pública; 28(5); 856-868","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500005&lang=pt" 
"S0102-311X2012000500011-spa","Metrópole e região: dilemas da pactuação da saúde. O caso da Região Metropolitana da Baixada Santista, São Paulo, Brasil","Ianni, Aurea Maria Zöllner, Monteiro, Paulo Henrique Nico, Alves, Olga Sofia Fabergé, Morais, Maria de Lima Salum e, Barboza, Renato","Cadernos de Saúde Pública; 28(5); 925-934","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500011&lang=pt" 
"S0102-311X2012000500012-spa","Avaliação da implantação do Método Canguru por gestores, profissionais e mães de recém-nascidos","Gontijo, Tarcisio Laerte, Xavier, César Coelho, Freitas, Maria Imaculada de Fátima","Cadernos de Saúde Pública; 28(5); 935-944","Cadernos de Saúde Pública","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2012000500012&lang=pt" 
"S1413-81232012000500012-spa","Terceirização em cuidados continuados: uma abordagem de gestão de risco","Guimarães, Cristina Machado, Carvalho, José Crespo de","Ciência &amp; Saúde Coletiva; 17(5); 1179-1190","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500012&lang=pt" 
"S1413-81232012000500013-spa","Atuação do psicólogo nos hospitais e nas maternidades do estado de Sergipe","Santos, Lyvia de Jesus, Vieira, Maria Jésia","Ciência &amp; Saúde Coletiva; 17(5); 1191-1202","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500013&lang=pt" 
"S1413-81232012000500014-spa","Las personas que viven con VIH/SIDA y su vínculo con los antirretrovirales provistos por el Programa Nacional en Argentina","Colautti, Marisel Andrea","Ciência &amp; Saúde Coletiva; 17(5); 1203-1213","Ciência &amp; Saúde Coletiva","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500014&lang=pt" 
"S1413-81232012000500015-spa","Pobreza e Política Social: a implementação de programas complementares do Programa Bolsa Família","Santos, Cláudia Roberta Bocca, Magalhães, Rosana","Ciência &amp; Saúde Coletiva; 17(5); 1215-1224","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500015&lang=pt" 
"S1413-81232012000500018-spa","Conhecimentos produzidos acerca do crack: uma incursão nas dissertações e teses brasileiras","Rodrigues, Diego Schaurich, Backes, Dirce Stein, Freitas, Hilda Maria Barbosa de, Zamberlan, Claudia, Gelhen, Maria Helena, Colomé, Juliana Silveira","Ciência &amp; Saúde Coletiva; 17(5); 1247-1258","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500018&lang=pt" 
"S1413-81232012000500021-spa","Sentidos atribuídos por profissionais à promoção da saúde do adolescente","Santos, Antonía Alizandra Gomes dos, Silva, Raimunda Magalhães da, Machado, Maria de Fátima Antero Sousa, Vieira, Luiza Jane Eyre de Souza, Catrib, Ana Maria Fontenelle, Jorge, Herla Maria Furtado","Ciência &amp; Saúde Coletiva; 17(5); 1275-1284","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500021&lang=pt" 
"S1413-81232012000500022-spa","Perceptions of dental students regarding dentistry, the job market and the public healthcare system","Costa, Simone de Melo, Silveira, Marise Fagundes, Durães, Sarah Jane Alves, Abreu, Mauro Henrique Nogueira Guimarães de, Bonan, Paulo Rogério Ferreti","Ciência &amp; Saúde Coletiva; 17(5); 1285-1296","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000500022&lang=pt" 
