"S1852-99922011000300010-arg","Colonoscopía virtual","Seehaus, Alberto Cristian","Revista argentina de radiología; 75(3); 222-222","Revista argentina de radiología","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-99922011000300010&lang=pt" 
"S1983-51752011000300019-scl","Mycobacteriosis in patients with breast implants: a case review from the Ivo Pitanguy Institute","Wajnberg, Gabrielle Bessa, Basile, Vinicius Volpe D&#039;Angieri, Prado, Luís Gustavo Moraes, Faria, José de, Radwanski, Henrique N, Pitanguy, Ivo","Revista Brasileira de Cirurgia Plástica; 26(3); 482-487","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300019&lang=pt" 
"S1983-51752011000300017-scl","&quot;Double duck&quot; nasolabial lifting","Cardim, Vera Lucia Nocchi, Silva, Alessandra dos Santos, Salomons, Rolf Lucas, Dornelles, Rodrigo de Faria Valle, Blom, José Orlofe de Souza, Silva, Adriano de Lima e","Revista Brasileira de Cirurgia Plástica; 26(3); 466-471","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300017&lang=pt" 
"S1983-51752011000300016-scl","Filling the nasal dorsum with Gore-tex in rhinoplasties","Tostes, Rodrigo Otávio Gontijo, Ferreira, Felipe Pacheco Martins, Andrade Júnior, João Carlos Cisneiros Guedes de, Lima, José Cesário da Silva Almada, Almeida, Patrícia Noronha de, Meira, Alexandre Alcides Mattos de, Ferreira, Eduardo de Melo, Coelho, Anna Cristina de Freitas","Revista Brasileira de Cirurgia Plástica; 26(3); 461-465","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300016&lang=pt" 
"S1983-51752011000300013-scl","Minimally invasive lift of the middle third of the face using musculoaponeurotic suspension with periosteal fixation technique: a review of 50 cases","Souza, Alexandre Silveira Timóteo de, Andrade Júnior, João Carlos Cisneiros Guedes de","Revista Brasileira de Cirurgia Plástica; 26(3); 439-445","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300013&lang=pt" 
"S1983-51752011000300034-scl","Letters to the Editor","Lima, Diogo Almeida","Revista Brasileira de Cirurgia Plástica; 26(3); 551-551","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300034&lang=pt" 
"S1983-51752011000300033-scl","Letters to the Editor","","Revista Brasileira de Cirurgia Plástica; 26(3); 550-550","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300033&lang=pt" 
"S1983-51752011000300032-scl","Letters to the Editor","Baroudi, Ricardo, Goldenberg, Dov Charles","Revista Brasileira de Cirurgia Plástica; 26(3); 550-550","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300032&lang=pt" 
"S1983-51752011000300002-scl","Original articles versus case reports: the hierarchy of scientific evidence levels","Goldenberg, Dov, Baroudi, Ricardo","Revista Brasileira de Cirurgia Plástica; 26(3); 378-378","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300002&lang=pt" 
"S1983-51752011000300001-scl","Publication of the Revista Brasileira de Cirurgia Plástica (Brazilian Journal of Plastic Surgery) in english and the expansion of scientific horizons","Baroudi, Ricardo, Goldenberg, Dov","Revista Brasileira de Cirurgia Plástica; 26(3); 377-377","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300001&lang=pt" 
"S1983-51752011000300011-scl","Ear reconstruction after traumatic injuries","Silva, José Carlos da, Guimarães Filho, Waldivino, Araújo, Bruno Granieri de Oliveira","Revista Brasileira de Cirurgia Plástica; 26(3); 428-432","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300011&lang=pt" 
"S1983-51752011000300005-scl","Influence of sildenafil and buflomedil on survival of randomized flaps in rats: an experimental study","Figueiredo, Jason C. Abrantes, Zampar, Antonio Gustavo, Destro, Cristina, Arias, Victor Eduardo A, Morro, Rebeca, Pinheiro, Adivânia de Souza, Mélega, José Marcos de Andrade","Revista Brasileira de Cirurgia Plástica; 26(3); 390-393","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300005&lang=pt" 
"S1983-51752011000300006-scl","Adipose tissue mature stem cells in skin healing: a controlled randomized study","Martins, Pedro Djacir Escobar, Uebel, Carlos Oscar, Machado, Denise Cantarelli, Silva, Jefferson Braga da","Revista Brasileira de Cirurgia Plástica; 26(3); 394-401","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300006&lang=pt" 
"S1983-51752011000300008-scl","Tissue expansion at Hospital de Clinicas-UFPR: our experience","Freitas, Renato da Silva, Cruz, Gilvani Azor de Oliveira e, Scomação, Isis, Nasser, Isis Juliane Guarezi, Colpo, Paula Giordani","Revista Brasileira de Cirurgia Plástica; 26(3); 407-410","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300008&lang=pt" 
"S1983-51752011000300010-scl","Surgical treatment of pressure ulcers: a two-year experience","Figueiras, Ricardo Goes","Revista Brasileira de Cirurgia Plástica; 26(3); 418-427","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300010&lang=pt" 
"S1983-51752011000300014-scl","Frontal and glabellar myotomy: single short frontal scar approach","Gomes, Rogério Schutzler","Revista Brasileira de Cirurgia Plástica; 26(3); 446-452","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300014&lang=pt" 
"S1983-51752011000300031-scl","Plexiform neurofibroma of the upper limb","Batista, Kátia Torres, Araújo, Hugo José de, Paz Júnior, Aloysio Campos da","Revista Brasileira de Cirurgia Plástica; 26(3); 546-549","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300031&lang=pt" 
"S1983-51752011000300020-scl","Umbilical scar autonomization: a safe technique for secondary abdominoplasties","Ribeiro, Liacyr, Pessoa, Marcelo Castro Marcal, Rocha, Roberto Braga","Revista Brasileira de Cirurgia Plástica; 26(3); 488-495","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300020&lang=pt" 
"S1983-51752011000300030-scl","Liposuction in body-shaping treatment for Kobberling-Dunnigan syndrome","Colombo, André Ratto, Silva, Bruna Ferrante, Chaem, Luiz Humberto Toyoso, Batista, Adriano Peduti, Almeida, Cynthia Ottaiano Rodrigues, Amâncio, Flávio Malaquias","Revista Brasileira de Cirurgia Plástica; 26(3); 542-545","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300030&lang=pt" 
"S1983-51752011000300035-scl","Letters to the Editor","Portinho, Ciro Paz","Revista Brasileira de Cirurgia Plástica; 26(3); 551-551","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300035&lang=pt" 
"S0103-20032011000300001-scl","Compensação e incentivo à proteção ambiental: o caso do ICMS ecológico em Minas Gerais","Fernandes, Luciany Lima, Coelho, Alexandre Bragança, Fernandes, Elaine Aparecida, Lima, João Eustáquio de","Revista de Economia e Sociologia Rural; 49(3); 521-544","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300001&lang=pt" 
"S0103-20032011000300009-scl","Índice de inovação: hierarquização dos produtores do arranjo produtivo local de fruticultura irrigada, estado do Ceará","Campos, Kilmer Coelho, Carvalho, Fátima Marília Andrade de","Revista de Economia e Sociologia Rural; 49(3); 741-770","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300009&lang=pt" 
"S0465-546X2011000300001-esp","Monográfico sobre factores psicosociales: Salud laboral y salud mental: estado de la cuestión","Gálvez Herrer, Macarena, Maqueda Blasco, Jerónimo, Mingote Adán, José Carlos","Medicina y Seguridad del Trabajo; 57(224); 188-189","Medicina y Seguridad del Trabajo","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2011000300001&lang=pt" 
"S1575-18132011000300001-esp","Responsabilidad social en la formación de los médicos","Gual, Arcadi","Educación Médica; 14(3); 133-135","Educación Médica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132011000300001&lang=pt" 
"S1983-51752011000300012-scl","Use of the vermilion myomucosal flap with or without the mentolabial skin flap for lower lip reconstruction","Oliveira, Milton Paulo de, Martins, Pedro Djacir Escobar, Cunha, Guilherme Larsen da, Alvarez, Gustavo Steffen, Gazzalle, Anajara, Siqueira, Evandro José","Revista Brasileira de Cirurgia Plástica; 26(3); 433-438","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300012&lang=pt" 
"S1983-51752011000300015-scl","Single block costal cartilage graft in rhinoplasty","Lopes, Daniel Dias, Andrade, Bruno Gazire de Araújo, Vaena, Michel Luciano Holger Toledano, Mota, Denise Salles Coelho da","Revista Brasileira de Cirurgia Plástica; 26(3); 453-460","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300015&lang=pt" 
"S1983-51752011000300009-scl","Versatility of the bilobed flap","Tissiani, Luiz Alexandre Lorico, Alonso, Nivaldo, Carneiro, Marcus Hubaide, Bazzi, Khaled, Rocco, Monica","Revista Brasileira de Cirurgia Plástica; 26(3); 411-417","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300009&lang=pt" 
"S1575-18132011000300006-esp","Percepción de los riesgos de su puesto de trabajo de los médicos internos residentes de un hospital secundario","Martín-Prieto, M. Reyes, Gamo, M. Fe, Ruiz-Figueroa, M. Josefa","Educación Médica; 14(3); 163-170","Educación Médica","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132011000300006&lang=pt" 
"S1134-928X2011000300007-esp","Calcificación distrófica en úlceras de la extremidad inferior","Chaverri Fierro, Daniel, Portas Freixes, Jesús, Bosch Cuenca, Mariona, Sáez Horts, Marta, Montoya Hellín, Ignacio, González Sierra, Mercedes","Gerokomos; 22(3); 126-130","Gerokomos","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-928X2011000300007&lang=pt" 
"S0104-40602011000300003-scl","Integración Curricular: respuesta al reto de educar en y desde la diversidad","Illán Romeu, Nuria, Molina Saorín, Jesús","Educar em Revista; (41); 17-40","Educar em Revista","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300003&lang=pt" 
"S0104-40602011000300004-scl","Formação de professores e inclusão: como se reformam os reformadores?","Rodrigues, David, Lima-Rodrigues, Luzia","Educar em Revista; (41); 41-60","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300004&lang=pt" 
"S0104-40602011000300005-scl","Educação especial na perspectiva da educação inclusiva: desafios da implantação de uma política nacional","Kassar, Mônica de Carvalho Magalhães","Educar em Revista; (41); 61-79","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300005&lang=pt" 
"S0104-40602011000300006-scl","Inclusão escolar pela via da colaboração entre educação especial e educação regular","Mendes, Eniceia Gonçalves, Almeida, Maria Amélia, Toyoda, Cristina Yoshie","Educar em Revista; (41); 80-93","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300006&lang=pt" 
"S0104-40602011000300007-scl","Políticas e práticas inclusivas no ensino fundamental: das implicações nacionais às locais","Jesus, Denise Meyrelles de, Vieira, Alexandro Braga","Educar em Revista; (41); 95-108","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300007&lang=pt" 
"S0104-40602011000300008-scl","Encaminhamentos pedagógicos com alunos com Altas Habilidades/Superdotação na Educação Básica: o cenário Brasileiro","Pérez, Susana Graciela Pérez Barrera, Freitas, Soraia Napoleão","Educar em Revista; (41); 109-124","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300008&lang=pt" 
"S0104-40602011000300009-scl","Ingresso e permanência na Universidade: alunos com deficiências em foco","Moreira, Laura Ceretta, Bolsanello, Maria Augusta, Seger, Rosangela Gehrke","Educar em Revista; (41); 125-143","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300009&lang=pt" 
"S0104-40602011000300010-scl","Meninas! sejam educadas por Barbie e &quot;com&quot; a Barbie...","Roveri, Fernanda Theodoro, Soares, Carmen Lúcia","Educar em Revista; (41); 147-163","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300010&lang=pt" 
"S0104-40602011000300011-scl","O corpo nas atualizações do racismo contemporâneo","Camozzato, Viviane Castro","Educar em Revista; (41); 165-180","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300011&lang=pt" 
"S0104-40602011000300012-scl","Considerações sobre a presença do esporte na educação física infantil: reflexões e experiências","Richter, Ana Cristina, Gonçalves, Michelle Carreirão, Vaz, Alexandre Fernandez","Educar em Revista; (41); 181-195","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300012&lang=pt" 
"S0104-40602011000300013-scl","Autonomia do educando na escola fundamental: um tema negligenciado","Paro, Vitor Henrique","Educar em Revista; (41); 197-213","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300013&lang=pt" 
"S0104-40602011000300014-scl","Heurísticos y racionalidad: ¿La ignorancia beneficia a los estudiantes en algún sentido?","López Astorga, Miguel","Educar em Revista; (41); 215-229","Educar em Revista","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300014&lang=pt" 
"S0104-40602011000300015-scl","Concepções de meio ambiente dos educadores ambientais do Zoológico de Goiânia: implicações nas atividades e contribuições para a formação do sujeito ecológico?","Fonseca, Fabíola Simões Rodrigues da, Oliveira, Leandro Gonçalves","Educar em Revista; (41); 231-246","Educar em Revista","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602011000300015&lang=pt" 
"S1983-51752011000300003-scl","Replacement of fetal calf serum by human serum as supplementation for human fibroblast culture","Isaac, César, Mattos, Cristiana Nicoli de, Rêgo, Francinni Mambrine Pires do, Cardim, Larissa Nocchi, Altran, Silvana Cereijido, Paggiaro, André Oliveira, Tutihashi, Rafael Mamoru Carneiro, Mathor, Mônica Beatriz, Ferreira, Marcus Castro","Revista Brasileira de Cirurgia Plástica; 26(3); 379-384","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300003&lang=pt" 
"S1983-51752011000300004-scl","Intramuscular 30% polymethylmethacrylate (PMMA) implants in a non-protein vehicle: an experimental study in rats","Puricelli, Edela, Nácul, Almir Moojen, Ponzoni, Deise, Corsetti, Adriana, Hildebrand, Laura de Campos, Valente, Denis Souto","Revista Brasileira de Cirurgia Plástica; 26(3); 385-389","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300004&lang=pt" 
"S1983-51752011000300007-scl","Role of keratinocytes in wound contraction: an impact assessment using a model of collagen matrix populated with fibroblasts","Isaac, César, Paggiaro, André Oliveira, Aldunate, Johnny Leandro Conduta Borda, Herson, Marisa Roma, Altran, Silvana Cereijido, Mônica Beatriz, Mathor, Ferreira, Marcus Castro","Revista Brasileira de Cirurgia Plástica; 26(3); 402-406","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300007&lang=pt" 
"S1983-51752011000300018-scl","Breast reconstruction with permanent expander: a different approach","Manfredini, Rinede Luis","Revista Brasileira de Cirurgia Plástica; 26(3); 472-480","Revista Brasileira de Cirurgia Plástica","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000300018&lang=pt" 
"S0103-20032011000300002-scl","Determinantes da demanda brasileira por importação de arroz do Mercosul","Capitani, Daniel Henrique Dario, Miranda, Sílvia Helena Galvão de, Filho, João Gomes Martines","Revista de Economia e Sociologia Rural; 49(3); 545-572","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300002&lang=pt" 
"S0103-20032011000300003-scl","Fatores associados à eficiência técnica e de escala das cooperativas agropecuárias paranaenses","Souza, Uemerson Rodrigues de, Braga, Marcelo José, Ferreira, Marco Aurélio Marques","Revista de Economia e Sociologia Rural; 49(3); 573-597","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300003&lang=pt" 
"S0103-20032011000300004-scl","Desafios da agroindústria canavieira no Brasil pós-desregulamentação: uma análise das capacidades tecnológicas","Shikida, Pery Francisco Assis, Azevedo, Paulo Furquim de, Vian, Carlos Eduardo de Freitas","Revista de Economia e Sociologia Rural; 49(3); 599-628","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300004&lang=pt" 
"S0103-20032011000300005-scl","Dificuldade de adequação às medidas técnicas: a percepção das empresas exportadoras de alimentos","Faria, Rosane Nunes de, Burnquist, Heloísa Lee, Pestana, Maria Helena de Aguiar Pereira e","Revista de Economia e Sociologia Rural; 49(3); 629-646","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300005&lang=pt" 
"S0103-20032011000300007-scl","Agricultura familiar e agroindústria canavieira: impasses sociais","Carvalho, Simone Pereira de, Marin, Joel Orlando Bevilaqua","Revista de Economia e Sociologia Rural; 49(3); 681-707","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300007&lang=pt" 
"S0103-20032011000300008-scl","Desmatamento e crescimento econômico no Brasil: uma análise da curva de Kuznets ambiental para a Amazônia legal","Oliveira, Rejane Corrêa de, Almeida, Eduardo, Freguglia, Ricardo da Silva, Barreto, Ricardo Candéa Sá","Revista de Economia e Sociologia Rural; 49(3); 709-739","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300008&lang=pt" 
"S0103-20032011000300010-scl","Território café do Cerrado: transformações na estrutura produtiva e seus impactos sobre o pessoal ocupado","Ortega, Antonio César, Jesus, Clesio Marcelino","Revista de Economia e Sociologia Rural; 49(3); 771-800","Revista de Economia e Sociologia Rural","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032011000300010&lang=pt" 
