"S0102-76382010000100001-scl","Tempo de renovação","Braile, Domingo M.","Brazilian Journal of Cardiovascular Surgery; 25(1); I-II","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382010000100001&lang=pt" 
"S1132-05592010000100002-esp","Infancia, Adolescencia y Tecnologías de la Información y la Comunicación (TICs) en Perspectiva Psicosocial","Malo Cerrato, Sara, Figuer Ramírez, Cristina","Psychosocial Intervention; 19(1); 5-8","Psychosocial Intervention","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1132-05592010000100002&lang=pt" 
"S0864-21412010000100001-cub","EDITORIAL","","Educación Médica Superior; 24(1); 1-2","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100001&lang=pt" 
"S0864-21412010000100004-cub","Mediación metacognitiva, estrategias de enseñanza y procesos de pensamiento del docente de Medicina","Alterio Ariola, Gianfranco Humberto, Ruiz Bolívar, Carlos","Educación Médica Superior; 24(1); 25-32","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100004&lang=pt" 
"S0864-21412010000100006-cub","Motivación y rendimiento docente en estudiantes bolivianos del Nuevo Programa de Formación de Médicos","Soler Porro, Aida Barbarita, Chirolde Núñez, Raúl René","Educación Médica Superior; 24(1); 42-51","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100006&lang=pt" 
"S0864-21412010000100007-cub","Aplicaciones de la modelación jerárquica a la predicción del rendimiento académico en la carrera de Medicina","Valdés Sánchez, Maydelín","Educación Médica Superior; 24(1); 52-64","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100007&lang=pt" 
"S0864-21412010000100008-cub","Papel del Diplomado de Educación Médica en la formación como profesores de los especialistas de Medicina General Integral en el Nuevo Programa de Formación de Médicos Latinoamericanos","Acosta Gómez, Yuxini, Montano Luna, José Antonio, Díaz MolledaI, Maritza, Moreno Domínguez, José Carlos, Valdés Mora, Mariela","Educación Médica Superior; 24(1); 65-75","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100008&lang=pt" 
"S0864-21412010000100009-cub","Cuba y la cooperación solidaria en la formación de médicos del mundo","Mejías Sánchez, Yoerquis, Duany Machado, Orgel José, Toledo Fernández, Ana Margarita","Educación Médica Superior; 24(1); 76-84","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100009&lang=pt" 
"S0864-21412010000100010-cub","Desarrollo metodológico de &quot;análisis de casos&quot; como estrategia de enseñanza","Maldonado Rojas, Mónica, Vásquez Rojas, Marcela, Toro Opazo, Carla","Educación Médica Superior; 24(1); 85-94","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100010&lang=pt" 
"S0864-21412010000100011-cub","Trasplante renal y enfermedad renal crónica","Castro López, Frank Wenceslao","Educación Médica Superior; 24(1); 95-96","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100011&lang=pt" 
"S0864-21412010000100012-cub","Software educativos","Vidal Ledo, María, Gómez Martínez, Freddy, Ruiz Piedra, Alina M.","Educación Médica Superior; 24(1); 97-110","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100012&lang=pt" 
"S0864-21412010000100013-cub","Un nuevo modelo formativo de médicos en la Universidad Barrio Adentro, República Bolivariana de Venezuela","Borroto Cruz, Eugenio Radamés, Salas Perea, Ramón Syr, Díaz Rojas, Pedro Augusto","Educación Médica Superior; 24(1); 111-135","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100013&lang=pt" 
"S0864-21412010000100003-cub","Caracterización del claustro de profesores de la especialdiad de MGI","Salas Mainegra, Arlene, Nolla Cao, Nidia","Educación Médica Superior; 24(1); 15-24","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100003&lang=pt" 
"S0864-21412010000100005-cub","Modelo metodológico para el diseño y aplicación de las estrategias curriculares en Ciencias Médicas","Sierra Figueredo, Simón, Pernas Gómez, Marta, Fernández Sacasas, José A., Diego Cobelo, Juan Manuel, Miralles Aguilera, Eva, de la Torre Castro, Gladys, González García, Nerys, Cardona Monteagudo, María, Acosta Hernández, Zoila","Educación Médica Superior; 24(1); 33-41","Educación Médica Superior","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21412010000100005&lang=pt" 
"S1562-30092010000100001-cub","Pseudocóccidos en la provincia de Cienfuegos y sus hospedantes","Niebla Rumbaut, Saray, Jiménez Carbonell, Roquelina, Castellanos González, Leónides, Suárez Perera, Esperanza","Fitosanidad; 14(1); 01-10","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100001&lang=pt" 
"S1562-30092010000100003-cub","Colección de Coccinellidae del Museo Nacional de Historia Natural de Cuba","Milán Vargas, Ofelia, Fuentes García, Raymil, Fernández García, Ileana","Fitosanidad; 14(1); 19-23","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100003&lang=pt" 
"S1562-30092010000100004-cub","Glomus intraradices para el control de Meloidogyne incognita (Kofoid &amp; White) Chitwood en condiciones protegidas","Cristóbal Alejo, Jairo, Herrera-Parra, Elizabeth, Reyes Oregel, Vicente, Ruiz Sánchez, Esaú, Tun Suárez, José María, Celis Rodríguez, Teresita","Fitosanidad; 14(1); 25-29","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100004&lang=pt" 
"S1562-30092010000100005-cub","Control químico de patógenos fungosos en piña de vivero (I)","Hernández Mansilla, Alexis A, Muiño García, Berta Lina, Rosón Álvarez, Carmen, Casola González, Caridad, Porras González, Ángela C, López Mayea, Aliana","Fitosanidad; 14(1); 31-37","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100005&lang=pt" 
"S1562-30092010000100007-cub","Resúmenes del II Taller Latinoamericano de Biocontrol de Fitopatógenos","","Fitosanidad; 14(1); 49-72","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100007&lang=pt" 
"S1562-30092010000100006-cub","Creación y desarrollo de la infraestructura del sistema estatal de sanidad vegetal en la provincia de Santiago de Cuba","Vuelta Urdaneta, Armando, Barroso Planas, Katlys","Fitosanidad; 14(1); 39-47","Fitosanidad","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1562-30092010000100006&lang=pt" 
"S0864-03942010000100002-cub","Producción de semillas de Leucaena spp. en suelo ácido","Wencomo, Hilda B, Cepero, Bárbara, Ramírez, J","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100002&lang=pt" 
"S0864-03942010000100003-cub","Descomposición de la hojarasca en un sistema silvopastoril de Panicum maximum y Leucaena leucocephala (Lam) de Wit cv. Cunningham: III. Influencia de la densidad y diversidad de la macrofauna asociada","Sánchez, Saray, Crespo, G.J, Hernández, Marta","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100003&lang=pt" 
"S0864-03942010000100004-cub","Caracterización cultural y morfológica e identificación de 12 aislamientos fungosos de semillas de Leucaena leucocephala cv. Perú","Lezcano, J. C, Martínez, B, Alonso, O","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100004&lang=pt" 
"S0864-03942010000100005-cub","Evaluación de vacas de doble propósito de genotipos Holstein x Cebú en sistemas de pastoreo arborizado: I. Primíparas","Simón, L, López, O, Álvarez, D","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100005&lang=pt" 
"S0864-03942010000100006-cub","Morus sp. para la alimentación de bovinos en desarrollo (Nota técnica)","Milera, Milagros, Sánchez, Tania, Martín, G","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100006&lang=pt" 
"S0864-03942010000100007-cub","Estudio de un ciclo de ceba con una dieta integral a base de forraje y hollejo de cítrico: I. Efecto de la calidad del forraje","Ojeda, F, Pino, Bárbara N, Lamela, L, Santana, H, Montejo, I","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100007&lang=pt" 
"S0864-03942010000100008-cub","Utilización de piensos criollos con harina de Albizia lebbeck para la ceba de conejos alimentados con bejuco de boniato","Montejo, I. L, López, O, Lamela, L","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100008&lang=pt" 
"S0864-03942010000100009-cub","Dinámica de las larvas infestantes de estrongílidos gastrointestinales en ovinos en pastoreo","Arece, J, Rodríguez, J.G","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100009&lang=pt" 
"S0864-03942010000100001-cub","Caracterización y potencialidades del grano de sorgo (Sorghum bicolor L. Moench)","Pérez, A, Saucedo, O, Iglesias, J, Wencomo, Hilda B, Reyes, F, Oquendo, G, Milián, Idolkys","Pastos y Forrajes; 33(1); 1-1","Pastos y Forrajes","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942010000100001&lang=pt" 
"S0034-74342010000100006-col","Seguridad y actividad de la Solución de Bardana como coadyuvante en el manejo del prúrito vulvovaginal en Colombia: Ensayo clínico fase II","Canaval, Hoover, Bonilla, Jairo, Scarpetta, Claudia, Martínez, Fernando, Orejarena, Jaime, Solórzano, Diana","Revista Colombiana de Obstetricia y Ginecología; 61(1); 42-48","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100006&lang=pt" 
"S0034-74342010000100007-col","Defectos del tubo neural y ácido fólico: patogenia, metabolismo y desarrollo embriológico: Revisión de la literatura","Suárez-Obando, Fernando, Ordóñez-Vásquez, Adriana, Zarante, Ignacio","Revista Colombiana de Obstetricia y Ginecología; 61(1); 49-60","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100007&lang=pt" 
"S0034-74342010000100004-col","Espectroscopia de impedancia eléctrica en cáncer invasivo del cuello uterino en mujeres de Caldas (Colombia), 2008-2009","Olarte-Echeverri, Germán, Aristizábal-Botero, William, Osorio-G, Gloria Fátima, Rojas-Díaz, Jerónimo","Revista Colombiana de Obstetricia y Ginecología; 61(1); 18-22","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100004&lang=pt" 
"S0034-74342010000100005-col","Percepciones del uso de anticonceptivos en Bogotá(Colombia) 2009: Estudio cualitativo","Gómez-Sánchez, Pio Iván, Pardo, Yaira","Revista Colombiana de Obstetricia y Ginecología; 61(1); 34-41","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100005&lang=pt" 
"S0034-74342010000100002-col","Vigilancia epidemiológica de ciclopía en el Hospital Universitario del Valle, Cali (Colombia) 2004-2008","Saldarriaga, Wilmar","Revista Colombiana de Obstetricia y Ginecología; 61(1); 12-17","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100002&lang=pt" 
"S0034-74342010000100003-col","Acoso sexual en la comunidad estudiantil de la Universidad de Manizales (Colombia) 2008: Estudio de corte transversal","Castaño-Castrillón, José Jaime, González, Eliana Katherine, Guzmán, July Andrea, Montoya, Jhon Stiven, Murillo, Juan Manuel, Páez-Cala, Martha Luz, Parra, Luisa María, Salazar, Tania Victoria, Velásquez, Yesica","Revista Colombiana de Obstetricia y Ginecología; 61(1); 18-27","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100003&lang=pt" 
"S0034-74342010000100001-col","Sección Colombia del American College of Obstetricians and Gynecologists (ACOG) y proceso de recertificación voluntaria","Castañeda, Jimmy","Revista Colombiana de Obstetricia y Ginecología; 61(1); 8-9","Revista Colombiana de Obstetricia y Ginecología","Inglês, Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100001&lang=pt" 
"S0034-74342010000100008-col","Tumor de celulas esteroideas: reporte de un caso y revisión de la literatura","Ramírez, Javier Andrés, Suescún, Óscar, Palomino, María Cristina","Revista Colombiana de Obstetricia y Ginecología; 61(1); 61-66","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100008&lang=pt" 
"S0034-74342010000100009-col","Embarazo ectópico en la cicatriz uterina: reporte de un caso y revisión de la literatura","Sepúlveda-Agudelo, Janer, Cristancho-Solano, Mayra, Parra-Meza, Carolina","Revista Colombiana de Obstetricia y Ginecología; 61(1); 67-72","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100009&lang=pt" 
"S0034-74342010000100011-col","Respuesta a: comentarios sobre el artículo &quot;Acretismo placentario: diagnóstico prenatal mediante ultrasonido y resonancia magnética y su correlación histopatológica en Barranquilla (Colombia)&quot;","Díaz-Yunez, Israel, De Nubbila Lizcano, Eduardo, Parra-Anaya, Guido, Serrano-Montes, Saray, Vergara-Quintero, Felipe","Revista Colombiana de Obstetricia y Ginecología; 61(1); 80-82","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100011&lang=pt" 
"S0034-74342010000100010-col","Dengue en recién nacidos: presentación de dos casos en Neiva (Huila, Colombia) y revisión de la literatura","Fonseca-Becerra, Carlos Eduardo, Bayona-Ospina, Miguel Andrés","Revista Colombiana de Obstetricia y Ginecología; 61(1); 73-78","Revista Colombiana de Obstetricia y Ginecología","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74342010000100010&lang=pt" 
"S1405-77432010000100001-mex","Editorial","González Osuna, Marcia Aida","Ingeniería, investigación y tecnología; 11(1); -","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100001&lang=pt" 
"S1405-77432010000100010-mex","Sensibilidad paramétrica de modelos de circuitos equivalentes de orden superior de turbogeneradores","López-García, I., Escarela-Pérez, R., Niewierowicz-Swiecicka, T., Campero-Littlewood, E.","Ingeniería, investigación y tecnología; 11(1); 101-111","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100010&lang=pt" 
"S1405-77432010000100011-mex","Propuesta técnica sobre el tratamiento del influente de la presa José Antonio Alzate a través un sistema lagunar aerobio","Rosas de Alva, S.G., Barceló-Quintal, I.D., Bussy-Beaurain, A.L., López-Galván, E.","Ingeniería, investigación y tecnología; 11(1); 113-125","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100011&lang=pt" 
"S1405-77432010000100002-mex","La aplicación del álgebra abstracta y las computadoras para la solución de problemas de caminos en redes orientadas","Murray-Lasso, M.A.","Ingeniería, investigación y tecnología; 11(1); 1-16","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100002&lang=pt" 
"S1405-77432010000100003-mex","A Digital Method for the Detection of Blood Flow Direction in Ultrasonic Doppler Systems","Sotomayor-Ortega, A., Fuentes-Cruz, M., García-Nocetti, F., Moreno-Hernández, E., Barragán-Ocampo, M., Acevedo-Contla, P.","Ingeniería, investigación y tecnología; 11(1); 17-23","Ingeniería, investigación y tecnología","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100003&lang=pt" 
"S1405-77432010000100004-mex","Análisis de exergía en estado permanente de un destilador solar simple","Torchia-Núñez, J.C., Porta-Gándara, M.A., Cervantes-de Gortari, J.G.","Ingeniería, investigación y tecnología; 11(1); 25-34","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100004&lang=pt" 
"S1405-77432010000100005-mex","Inventario de emisiones en 2005 de gases de efecto invernadero por el sector energético mexicano","Flores-Velázquez, R., Muñoz Ledo-Carranza, R., Villalba-Valle, D.","Ingeniería, investigación y tecnología; 11(1); 35-43","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100005&lang=pt" 
"S1405-77432010000100006-mex","Análisis numérico tridimensional de la convección forzada para un flujo laminar sobre un escalón al frente","Barbosa-Saldaña, J.G., Jiménez-Bernal, J.A., Gutiérrez-Torres, C. del C., Quinto-Diez, P.","Ingeniería, investigación y tecnología; 11(1); 45-55","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100006&lang=pt" 
"S1405-77432010000100007-mex","Método de diseño para variedad de productos basado en el análisis de su modularidad","De La O-Ramos, R., Borja-Ramírez, V., López-Parra, M., Ramírez-Reivich, A.C.","Ingeniería, investigación y tecnología; 11(1); 57-71","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100007&lang=pt" 
"S1405-77432010000100008-mex","Estudio acústico-estructural de la cabina de un vehículo automotriz","Aguilera-Cortés, L.A., Herrera-May, A.L., Torres-Cisneros, M., González-Palacios, M.A., González-Galván, E.J.","Ingeniería, investigación y tecnología; 11(1); 73-86","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100008&lang=pt" 
"S1405-77432010000100009-mex","Desarrollo de un modelo electro-térmico para apartarrayos de ZnO bajo contaminación","Guardado-Zavala, J.L., Moreno-Barraza, M., Zazueta-Peña, H, Venegas-Rebollar, V., Melgoza-Vázquez, E.","Ingeniería, investigación y tecnología; 11(1); 87-99","Ingeniería, investigación y tecnología","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-77432010000100009&lang=pt" 
"S0016-71692010000100001-mex","Rare earth element geochemistry of the Late Quaternary tephra and volcano-clastic sediments from the Pachuca sub-basin, north-eastern Basin of Mexico","Roy, P. D., Morton-Bermea, O., Hernández-Álvarez, E., Pi, T., Lozano, R.","Geofísica internacional; 49(1); 3-15","Geofísica internacional","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692010000100001&lang=pt" 
