"S0213-12852004000400001-esp","A nuestros lectores","","Avances en Odontoestomatología; 20(4); 173-173","Avances en Odontoestomatología","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-12852004000400001&lang=pt" 
"S0036-36342004000400005-mex","Hacia una base normativa mexicana en la medición de calidad de vida relacionada con la salud, mediante el Formato Corto 36","Durán-Arenas, Luis, Gallegos-Carrillo, Katia, Salinas-Escudero, Guillermo, Martínez-Salgado, Homero","Salud Pública de México; 46(4); 306-315","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400005&lang=pt" 
"S0036-36342004000400001-mex","Patrones de ingesta de bebidas alcohólicas entre estudiantes de odontología","Gaitán Cepeda, Luis Alberto, Calderón Boni, Lourdes, Martínez González, Mario","Salud Pública de México; 46(4); 282-283","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400001&lang=pt" 
"S0036-36342004000400002-mex","En relación con las vacunas contra el virus del papiloma humano","Madrid Marina, Vicente, Hugo Bermúdez, Víctor","Salud Pública de México; 46(4); 284-285","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400002&lang=pt" 
"S0036-36342004000400010-mex","","","Salud Pública de México; 46(4); 351-362","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400010&lang=pt" 
"S0036-36342004000400011-mex","Acceso para todos: la comunidad internacional con trabajo en VIH/SIDA se reunió en Bangkok","Gutiérrez, Juan Pablo, Kendall, Tamil, Negroni, Mirka, Bautista, Sergio","Salud Pública de México; 46(4); 363-365","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400011&lang=pt" 
"S0036-36342004000400012-mex","Encuesta sobre Tabaquismo en Jóvenes, México 2003","Valdés Salgado, Raydel","Salud Pública de México; 46(4); 366-367","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400012&lang=pt" 
"S0036-36342004000400013-mex","Food, nutrition and the prevention of cancer: a global perspective","Avila Curiel, Abelardo","Salud Pública de México; 46(4); 368-369","Salud Pública de México","Espanhol","2004","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342004000400013&lang=pt" 
"S0100-29452004000200005-scl","Conteúdo de carboidratos em gemas e ramos de macieira durante o outono e inverno em região de baixa ocorrência de frio","Carvalho, Ruy Inacio Neiva de, Zanette, Flávio","Revista Brasileira de Fruticultura; 26(2); 202-205","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200005&lang=pt" 
"S0100-29452004000200011-scl","Processamento mínimo de uvas de mesa sem semente","Mattiuz, Ben-Hur, Miguel, Ana Carolina Almeida, Nachtigal, Jair Costa, Durigan, José Fernando, Camargo, Umberto Almeida","Revista Brasileira de Fruticultura; 26(2); 226-229","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200011&lang=pt" 
"S0100-29452004000200036-scl","Leguminosas e seus efeitos sobre propriedades físicas do solo e produtividade do mamoeiro &#039;Tainung 1&#039;","Carvalho, José Eduardo Borges de, Lopes, Lucy Coelho, Araújo, Ana Maria de Amorim, Souza, Luciano da Silva, Caldas, Ranulfo Corrêa, Daltro Junior, Carlos Alberto, Carvalho, Lícia Lemos de, Oliveira, Antonio Alberto Rocha, Santos, Rosane Cardoso dos","Revista Brasileira de Fruticultura; 26(2); 335-338","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200036&lang=pt" 
"S0100-29452004000200008-scl","Efeitos de modos de aplicação e concentrações de etefon na coloração da casa e outros atributos de qualidade do abacaxi &#039;Pérola&#039;","Santana, Luciana Lima de Almeida, Reinhardt, Domingo Haroldo, Medina, Valdique Martins, Ledo, Carlos Alberto da Silva, Caldas, Ranulfo Corrêa, Peixoto, Clovis Pereira","Revista Brasileira de Fruticultura; 26(2); 212-216","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200008&lang=pt" 
"S0100-29452004000200027-scl","Acúmulo e distribuição de nutrientes em banana &#039;Mysore&#039; em desenvolvimento","Salomão, Luiz Carlos Chamhum, Puschmann, Rolf, Siqueira, Dalmo Lopes de, Nolasco, Claudio de Azevedo","Revista Brasileira de Fruticultura; 26(2); 290-294","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200027&lang=pt" 
"S0100-29452004000200032-scl","Efeito da omissão de macronutrientes e boro no crescimento, nos sintomas de deficiências nutricionais e na composição mineral de plantas de camucamuzeiro","Viégas, Ismael de Jesus Matos, Thomaz, Maria Alice Alves, Silva, Jefferson Felipe da, Conceição, Heráclito Eugênio Oliveira da, Naiff, Ana Priscilla Miranda","Revista Brasileira de Fruticultura; 26(2); 315-319","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200032&lang=pt" 
"S0100-29452004000200051-scl","Utilização do ácido giberélico para a quebra de dormência de sementes de Passiflora nitida Kunth germinadas in vitro","Passos, Ilene Ribeiro da Silva, Matos, Giovana Vesechi da Conceição, Meletti, Laura Maria Molina, Scott, Marta Dias Soares, Bernacci, Luís Carlos, Vieira, Maria Aparecida Ribeiro","Revista Brasileira de Fruticultura; 26(2); 380-381","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200051&lang=pt" 
"S0100-29452004000200050-scl","Multiplicação in vitro do porta-enxerto de Prunus spp. &#039;Carelli&#039;","Teixeira, Paulo de Tarso, Silva, Aparecido Lima da, Ducroquet, Jean-Pierre Henri Joseph, Guerra, Miguel Pedro","Revista Brasileira de Fruticultura; 26(2); 377-379","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200050&lang=pt" 
"S0100-29452004000200047-scl","Enraizamento de estacas herbáceas de nespereira (Eriobotrya japonica Lindl)","Silva, José Antonio Alberto da, Pereira, Fernando Mendes","Revista Brasileira de Fruticultura; 26(2); 369-371","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200047&lang=pt" 
"S0100-29452004000200046-scl","2,6-di-hidroxiacetofenona no enraizamento de estacas semilenhosas de pessegueiro","Tofanelli, Mauro Brasil Dias, Ono, Elizabeth Orika, Rodrigues, João Domingos","Revista Brasileira de Fruticultura; 26(2); 366-368","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200046&lang=pt" 
"S0100-29452004000200045-scl","Comportamento de cultivares de coqueiros anão e híbridos no Distrito Federal","Ramos, Víctor Hugo Vargas, Pinto, Alberto Carlos de Queiroz, Aragão, Wilson Menezes, Gomes, Antonio Carlos, Junqueira, Nilton Tadeu Vilela, Lobato, Edson, Oliveira, Maria Alice Santos","Revista Brasileira de Fruticultura; 26(2); 363-365","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200045&lang=pt" 
"S0100-29452004000200044-scl","Produtividade e qualidade dos frutos da laranjeira &#039;Pêra&#039; clone IAC em 16 porta-enxertos na região de Bebedouro-SP","Stuchi, Eduardo Sanches, Donadio, Luiz Carlos, Sempionato, Otávio Ricardo, Perecin, Dilermando","Revista Brasileira de Fruticultura; 26(2); 359-362","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200044&lang=pt" 
"S0100-29452004000200041-scl","Efeitos das condições de amadurecimento sobre a suscetibilidade de bananas &#039;SH 3640&#039; ao despencamento natural","Maia, Victor Martins, Alexandre, Rodrigo Sobreira, Sallomão, Luiz Carlos Chamhum, Silva, Eldo Antônio Monteiro da, Meira, Renata Maria Strozi Alves","Revista Brasileira de Fruticultura; 26(2); 351-353","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200041&lang=pt" 
"S0100-29452004000200040-scl","Reguladores vegetais na quebra da dominância apical de mamoeiro (Carica papaya L.)","Ono, Elizabeth Orika, Grana Júnior, José Francisco, Rodrigues, João Domingos","Revista Brasileira de Fruticultura; 26(2); 348-350","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200040&lang=pt" 
"S0100-29452004000200039-scl","Efeitos do paclobutrazol na fertilidade de gemas e no crescimento dos ramos de videiras cv Rubi","Botelho, Renato Vasconcelos, Pires, Erasmo José Paioli, Terra, Maurilo Monteiro, Mercer, Renato Monteiro, Kerniski, Sérgio","Revista Brasileira de Fruticultura; 26(2); 345-347","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200039&lang=pt" 
"S0100-29452004000200025-scl","Influência do ácido indolbutírico no enraizamento de estacas apicais e basais de caramboleira (Averrhoa carambola L.) sob condições de nebulização intermitente","Bastos, Débora Costa, Martins, Antonio Baldo Geraldo, Scaloppi Junior, Erivaldo José, Sarzi, Isabele, Fatinansi, Júnior César","Revista Brasileira de Fruticultura; 26(2); 284-286","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200025&lang=pt" 
"S0100-29452004000200024-scl","Embriogênese somática do caquizeiro","Carvalho, Dayse Cristina de, Biasi, Luiz Antonio, Ribas, Luciana Lopes Forets, Telles, Charles Allan, Zanette, Flávio","Revista Brasileira de Fruticultura; 26(2); 280-283","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200024&lang=pt" 
"S0100-29452004000200023-scl","Efeito de diferentes substratos e duas formas de adubação na produção de mudas de mamoeiro","Yamanishi, Osvaldo Kiyohi, Fagundes, Geni Rodrigues, Machado Filho, José Altino, Valone, Gustavo de Vincenzo","Revista Brasileira de Fruticultura; 26(2); 276-279","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200023&lang=pt" 
"S0100-29452004000200020-scl","Polinização natural, manual e autopolinização no pegamento de frutos de pinheira (Annona squamosa L.) em Alagoas","Campos, Rousseau da Silva, Lemos, Eurico Eduardo Pinto de, Oliveira, Jaqueline Figueredo de, Fonseca, Fernanda Karina Pereira da, Santiago, Antônio Dias, Barros, Pericles Gabriel","Revista Brasileira de Fruticultura; 26(2); 261-263","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200020&lang=pt" 
"S0100-29452004000200019-scl","Métodos de proteção de mudas de abacate contra geada em diferentes cultivares","Mindêllo Neto, Ubirajara Ribeiro, Torres, André Nunes Loula, Balbinot Júnior, Alvadi Antônio, Hirano, Elcio, Ramos, Victor Hugo Vargas","Revista Brasileira de Fruticultura; 26(2); 258-260","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200019&lang=pt" 
"S0100-29452004000200014-scl","Efeito de fungicidas cúpricos, aplicados isoladamente ou em combinação com mancozeb, na expressão de sintomas de fitotoxicidade e controle da ferrugem causada por Puccinia psidii em goiabeira","Goes, Antonio de, Martins, Ricardo Duarte, Reis, Renato Ferrari dos","Revista Brasileira de Fruticultura; 26(2); 237-240","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200014&lang=pt" 
"S0100-29452004000200013-scl","Biologia e tabela de vida de fertilidade de Deuterollyta majuscula (Lep.: Pyralidae) em abacateiro (Persea americana MILL.)","Nava, Dori Edson, Neves, Ademir Diniz, Diez-Rodríguez, Gabriela Inés, Gonçalves, José Carlos, Parra, José Roberto Postali","Revista Brasileira de Fruticultura; 26(2); 234-236","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200013&lang=pt" 
"S0100-29452004000200012-scl","Residues of carbosulfan and its carbofuran metabolites and 3-hydroxy-carbofuran in oranges","Trevisan, Marcos José, Baptista, Gilberto Casadei de, Trevizan, Luiz Roberto Pimentel, Papa, Geraldo","Revista Brasileira de Fruticultura; 26(2); 230-233","Revista Brasileira de Fruticultura","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200012&lang=pt" 
"S0100-29452004000200010-scl","Efeito do óleo de soja no controle da antracnose e na conservação da manga cv. Palmer em pós-colheita","Junqueira, Nilton Tadeu Vilela, Chaves, Renata da Costa, Nascimento, Alessandra Carneiro do, Ramos, Vitor Hugo Vargas, Peixoto, José Ricardo, Junqueira, Lívia Pereira","Revista Brasileira de Fruticultura; 26(2); 222-225","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200010&lang=pt" 
"S0100-29452004000200009-scl","Efeito do 1-metilciclopropeno na conservação de maçãs &#039;Royal Gala&#039; em ar refrigerado e atmosfera controlada","Corrent, Adriana Regina, Parussolo, Aguinaldo, Girardi, Cesar Luiz, Rombaldi, Cesar Valmor","Revista Brasileira de Fruticultura; 26(2); 217-221","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200009&lang=pt" 
"S0100-29452004000200003-scl","Caracterização de gemas florais de pereira (Pyrus sp.) relacionada ao abortamento floral","Verrissimo, Valtair, Herter, Flavio Gilberto, Rodrigues, Alexandre Couto, Gardin, João Peterson, Silva, João Batista da","Revista Brasileira de Fruticultura; 26(2); 193-197","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200003&lang=pt" 
"S0100-29452004000200002-scl","Editorial","Ruggiero, Carlos","Revista Brasileira de Fruticultura; 26(2); -","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200002&lang=pt" 
"S0100-29452004000200001-scl","A cultura da carambola","Bastos, Débora Costa","Revista Brasileira de Fruticultura; 26(2); -","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200001&lang=pt" 
"S0100-29452004000200006-scl","Gas exchange of the umbu tree under semi-arid conditions","Lima Filho, José Moacir Pinheiro","Revista Brasileira de Fruticultura; 26(2); 206-208","Revista Brasileira de Fruticultura","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200006&lang=pt" 
"S0100-29452004000200007-scl","Antecipação da colheita de caqui &#039;Costata&#039; através da quebra de dormência com cianamida hidrogenada e óleo mineral","Mizobutsi, Gisele Polete, Bruckner, Claudio Horst, Salomão, Luiz Carlos Chamhum, Neves, Júlio César Lima","Revista Brasileira de Fruticultura; 26(2); 209-211","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200007&lang=pt" 
"S0100-29452004000200016-scl","Desempenho agronômico de bananeiras micropropagadas em Botucatu-SP","Leonel, Sarita, Gomes, Everaldo Mariano, Pedroso, Carlos Jorge","Revista Brasileira de Fruticultura; 26(2); 245-248","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200016&lang=pt" 
"S0100-29452004000200018-scl","Efeito do ethephon na qualidade da uva &#039;Niagara Rosada&#039; (Vitis labrusca L.), produzida na entressafra, na região de Jales-SP","Pereira, Fernando Mendes, Fracaro, Antonio Augusto","Revista Brasileira de Fruticultura; 26(2); 254-257","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200018&lang=pt" 
"S0100-29452004000200022-scl","Seleção de progênies de maracujazeiro-amarelo vigorosas e resistentes à verrugose (Cladosporium cladosporioides)","Negreiros, Jacson Rondinelli da Silva, Bruckner, Claudio Horst, Cruz, Cosme Damião, Siqueira, Dalmo Lopes de, Pimentel, Leonardo Duarte","Revista Brasileira de Fruticultura; 26(2); 272-275","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200022&lang=pt" 
"S0100-29452004000200026-scl","Potencial de propagação de cultivares de marmeleiro por estaquia","Pio, Rafael, Araújo, João Paulo Campos de, Scarpare Filho, João Alexio, Mourão Filho, Francisco de Assis Alves, Alvarenga, Ângelo Albérico, Abrahão, Enilson","Revista Brasileira de Fruticultura; 26(2); 287-289","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200026&lang=pt" 
"S0100-29452004000200043-scl","Patogenicidade do fungo Colletotrichum gloeosporioides, patógeno da cochonilha Orthezia praelonga, a diversos frutos e a plântulas de abobrinha","Teixeira, Manoel Araújo, Bettiol, Wagner, Cesnik, Roberto, Vieira, Rosana Faria","Revista Brasileira de Fruticultura; 26(2); 356-358","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200043&lang=pt" 
"S0100-29452004000200030-scl","Crescimento e sintomas visuais de deficências de micronutrientes em umbuzeiros","Neves, Orlando Sílvio Caires, Sá, José Roberto de, Carvalho, Janice Guedes de","Revista Brasileira de Fruticultura; 26(2); 306-309","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200030&lang=pt" 
"S0100-29452004000200035-scl","Estabelecimento de normas DRIS para o diagnóstico nutricional do coqueiro-anão verde na região Norte Fluminense","Santos, Anselmo Lúcio dos, Monnerat, Pedro Henrique, Carvalho, Almy Júnior Cordeiro de","Revista Brasileira de Fruticultura; 26(2); 330-334","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200035&lang=pt" 
"S0100-29452004000200038-scl","Efeito do ácido naftaleno acético (ANA) e benzilaminopurina (BAP) no aumento do ângulo de inserção dos ramos em macieira","Kretzschmar, Aike Anneliese, Oster, Andréia Hansen, Martins, Carlos Roberto, Nava, Gilmar Antonio","Revista Brasileira de Fruticultura; 26(2); 343-344","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200038&lang=pt" 
"S0100-29452004000200034-scl","Equilíbrio nutricional e distúrbios fisiológicos em manga &#039;Tommy Atkins&#039;","Assis, Joston Simão de, Silva, Davi José, Moraes, Patrícia Lígia Dantas de","Revista Brasileira de Fruticultura; 26(2); 326-329","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200034&lang=pt" 
"S0100-29452004000200037-scl","Uso fertilizante de resíduo da indústria processadora de goiabas","Mantovani, José Ricardo, Corrêa, Márcio Cleber de Medeiros, Cruz, Mara Cristina Pessôa da, Ferreira, Manoel Evaristo, Natale, William","Revista Brasileira de Fruticultura; 26(2); 339-342","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200037&lang=pt" 
"S0100-29452004000200049-scl","Influence of the substrate in germination of lychee seeds","Andrade, Renata Aparecida de, Martins, Antonio Baldo Geraldo, Oliveira, Inez Vilar de Morais","Revista Brasileira de Fruticultura; 26(2); 375-376","Revista Brasileira de Fruticultura","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200049&lang=pt" 
"S0100-29452004000200048-scl","Indução de calos embriogênicos em explantes de cupuaçuzeiro","Ferreira, Maria das Graças Rodrigues, Cárdenas, Fernando Enrique Ninamango, Carvalho, Carlos Henrique Siqueira de, Carneiro, Andréa Almeida, Damião Filho, Carlos Ferreira","Revista Brasileira de Fruticultura; 26(2); 372-374","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200048&lang=pt" 
"S0100-29452004000200052-scl","Limitações nutricionais para o cultivo de açaizeiro em latossolo amarelo textura média, Estado do Pará","Viégas, Ismael de Jesus Matos, Frazão, Dilson Augusto Capucho, Thomaz, Maria Alice Alves, Conceição, Heráclito Eugênio Oliveira da, Pinheiro, Eurico","Revista Brasileira de Fruticultura; 26(2); 382-384","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200052&lang=pt" 
"S0100-29452004000200042-scl","Controle químico da helmintosporiose (Bipolaris incurvata) em coqueiro cultivar &#039;Anão-verde&#039; em condições de campo","Modesto, Junior Cesar, Fenille, Roseli Chela","Revista Brasileira de Fruticultura; 26(2); 354-355","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200042&lang=pt" 
"S0100-29452004000200015-scl","Avaliação de plantas cítricas, em diferentes profundidades de plantio, em latossolo amarelo dos tabuleiros costeiros","Souza, Laercio Duarte, Cunha Sobrinho, Almir Pinto da, Ribeiro, Luciano da Silva, Souza, Luciano da Silva, Ledo, Carlos Alberto da Silva","Revista Brasileira de Fruticultura; 26(2); 241-244","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200015&lang=pt" 
"S0100-29452004000200033-scl","Efeito de doses de nitrogênio, fósforo e potássio em duas cultivares de cupuaçu, com e sem sementes, na região da Amazônia central","Alfaia, Sonia Sena, Ayres, Marta Iria da Costa","Revista Brasileira de Fruticultura; 26(2); 320-325","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200033&lang=pt" 
"S0100-29452004000200004-scl","Caracterização funcional do sistema reprodutivo da aroeira-vermelha (Schinus terebinthifolius Raddi), em Florianópolis-SC, Brasil","Lenzi, Maurício, Orth, Afonso Inácio","Revista Brasileira de Fruticultura; 26(2); 198-201","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200004&lang=pt" 
"S0100-29452004000200017-scl","Efeito de bactérias diazotróficas na produção de abacaxizeiro &#039;Cayenne Champac&#039;, sob irrigação, em dois níveis de adubação nitrogenada","Weber, Olmar Baller, Terao, Daniel, Rocha, Leto Saraiva, Correia, Diva, Santos, Francisco José de Seixas","Revista Brasileira de Fruticultura; 26(2); 249-253","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200017&lang=pt" 
"S0100-29452004000200021-scl","Avaliação de cultivares de mangueira selecionadas pelo Instituto Agronômico de Campinas comparadas a outras de importância comercial","Carvalho, Cássia Regina Limonta, Rossetto, Carlos Jorge, Mantovani, Dilza Maria Bassi, Morgano, Marcelo Antônio, Castro, Josalba Vidigal de, Bortoletto, Nelson","Revista Brasileira de Fruticultura; 26(2); 264-271","Revista Brasileira de Fruticultura","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452004000200021&lang=pt" 
