"S0030-24652012000200003-sza","Ebola virus outbreaks in Africa: Past and present","Muyembe-Tamfum, J.J., Mulangu, S., Masumu, Justin, Kayembe, J.M., Kemp, A., Paweska, Janusz T","Onderstepoort Journal of Veterinary Research; 79(2); 06-13","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200003&lang=pt" 
"S0030-24652012000200016-sza","A socio-economic approach to One Health policy research in southern Africa","Kayunze, Kim A., Kiwara, Angwara D., Lyamuya, Eligius, Kambarage, Dominic M., Rushton, Jonathan, Coker, Richard, Kock, Richard, Rweyemamu, Mark M.","Onderstepoort Journal of Veterinary Research; 79(2); 67-74","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200016&lang=pt" 
"S0030-24652012000200017-sza","Bovine tuberculosis at the human-livestock-wildlife interface: Is it a public health problem in Tanzania? A review","Katale, Bugwesa Z., Mbugi, Erasto V., Kendal, Sharon, Fyumagwa, Robert D., Kibiki, Gibson S., Godfrey-Faussett, Peter, Keyyu, Julius D., van Helden, Paul, Matee, Mecky I.","Onderstepoort Journal of Veterinary Research; 79(2); 84-97","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200017&lang=pt" 
"S0030-24652012000200018-sza","&#039;One Health&#039; infectious diseases surveillance in Tanzania: Are we all on board the same flight?","Mbugi, Erasto V., Kayunze, Kim A., Katale, Bugwesa Z., Kendall, Sharon, Good, Liam, Kibik, Gibson S., Keyyu, Julius D., Godfrey-Faussett, Peter, van Helden, Paul, Matee, Mecky I.","Onderstepoort Journal of Veterinary Research; 79(2); 01-07","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200018&lang=pt" 
"S0030-24652012000200019-sza","Tuberculosis cross-species transmission in Tanzania: Towards a One-Health concept","Mbugi, Erasto V., Katale, Bugwesa Z., Kendall, Sharon, Good, Liam, Kibiki, Gibson S., Keyyu, Julius D., Godfrey-Faussett, Peter, van Helden, Paul, Matee, Mecky I.","Onderstepoort Journal of Veterinary Research; 79(2); 01-06","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200019&lang=pt" 
"S0030-24652012000200020-sza","Identification of the plague reservoir in an endemic area of Zambia","Hang&#039;ombe, Bernard M., Nakamura, I., Kaile, D., Mweene, A.S., Samui, K.L., Kilonzo, B.S., Sawa, H., Sugimoto, C., Wren, B.","Onderstepoort Journal of Veterinary Research; 79(2); 92-92","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200020&lang=pt" 
"S0030-24652012000200021-sza","Filoviral haemorrhagic fevers: A threat to Zambia?","Changula, Katendi, Mweene, A.S.","Onderstepoort Journal of Veterinary Research; 79(2); 93-93","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200021&lang=pt" 
"S0030-24652012000200022-sza","Rift Valley fever: Real or perceived threat for Zambia?","Dautu, George, Sindato, Calvin, Mweene, Aaron S., Samui, Kenny L., Roy, Polly, Noad, Robert, Paweska, Janusz, Majiwa, Phelix A.O., Musoke, Antony J.","Onderstepoort Journal of Veterinary Research; 79(2); 94-99","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200022&lang=pt" 
"S0030-24652012000200023-sza","The epidemiology and socio-economic impact of Rift Valley fever epidemics in Tanzania: A review","Sindato, Calvin, Karimuribo, Esron, Mboera, E.G.","Onderstepoort Journal of Veterinary Research; 79(2); 100-100","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200023&lang=pt" 
"S0030-24652012000200024-sza","Epidemiological aspects of bovine trypanosomosis in an endemic focus of eastern Zambia: The role of trypanosome strain variability in disease pattern","Masumu, Justin, Tshilenge, G., Mbao, V.","Onderstepoort Journal of Veterinary Research; 79(2); 101-105","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200024&lang=pt" 
"S0030-24652012000200025-sza","Human cystic echinococcosis in South Africa","Mogoye, Benjamin, Menezes, Colin N., Grobusch, Martin P., Wahlers, Kerstin, Frean, John","Onderstepoort Journal of Veterinary Research; 79(2); 106-106","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200025&lang=pt" 
"S0030-24652012000200026-sza","Resource mapping and emergency preparedness to infectious diseases in human and animal populations in Kibaha and Ngorongoro districts, Tanzania","Karimuribo, E.D., Jones, B., Matee, M.I., Kambarage, D.M., Mounier-Jack, S., Rweyemamu, M.M.","Onderstepoort Journal of Veterinary Research; 79(2); 107-107","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200026&lang=pt" 
"S0030-24652012000200027-sza","First International One Health congress","Jeggo, Martyn H.","Onderstepoort Journal of Veterinary Research; 79(2); 108-108","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200027&lang=pt" 
"S0030-24652012000200028-sza","Foot-and-mouth disease control in Zambia: A review of the current situation","Sinkala, Yona, Pfeiffer, D., Kasanga, C., Muma, J.B., Simuunza, M., Mweene, A.","Onderstepoort Journal of Veterinary Research; 79(2); 109-109","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200028&lang=pt" 
"S0030-24652012000200029-sza","Genomic sequence of infectious bursal disease virus from Zambia suggests evidence for genome re-assortment in nature","Kasanga, Christopher J., Yamaguchi, T., Munang&#039;andu, H.M., Wambura, P.N., Ohya, K., Fukushi, H.","Onderstepoort Journal of Veterinary Research; 79(2); 110-110","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200029&lang=pt" 
"S0030-24652012000200030-sza","Infectious diseases of economic importance: Molecular biological characteristics of foot-and-mouth disease viruses collected in Tanzania from 1967 to 2009","Kasanga, Christopher J., Sallu, R., Mpelumbe-Ngeleja, C.A.R., Wadsworth, J., Ferris, N.P., Hutchings, G.H., Wambura, P.P., Yongolo, M.G.S., Knowles, N.J., King, Donald P., Rweyemamu, M.M.","Onderstepoort Journal of Veterinary Research; 79(2); 111-111","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200030&lang=pt" 
"S0030-24652012000200031-sza","Development of a curriculum for training in One Health analytical epidemiology at the University of Zambia","Muma, J.B., Simuunza, Martin, Mwachalimba, K., Munyeme, M., Namangala, B., Hankanga, C., Sijumbila, G., Ndonyo, R. Likwa, Sinkala, Yona, Mwanza, A., Mweene, A. Simanyengwe","Onderstepoort Journal of Veterinary Research; 79(2); 112-115","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200031&lang=pt" 
"S0030-24652012000200032-sza","MSc In One Health Molecular Biology","Wambura, P.","Onderstepoort Journal of Veterinary Research; 79(2); 131-131","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200032&lang=pt" 
"S0030-24652012000200033-sza","MSc One Health Analytical Epidemiology","Simuunza, M.C.","Onderstepoort Journal of Veterinary Research; 79(2); 132-132","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200033&lang=pt" 
"S0030-24652012000200034-sza","Leptospirosis in South Africa","Saif, Adrienne, Frean, John, Rossouw, Jenny, Trataris, Anastasia N.","Onderstepoort Journal of Veterinary Research; 79(2); 133-133","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200034&lang=pt" 
"S0030-24652012000200035-sza","Bartonella henselae and Bartonella quintana seroprevalence in HIV-positive, HIV-negative and clinically healthy volunteers in Gauteng, South Africa","Trataris, Anastasia N., Arntzen, Lorraine, Rossouw, Jennifer, Frean, John, Karstaedt, Allan","Onderstepoort Journal of Veterinary Research; 79(2); 134-134","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200035&lang=pt" 
"S0030-24652012000200036-sza","Towards One Health Knowledge Networks: A Southern African Centre of Infectious Disease Surveillance case study","Beda, Eric","Onderstepoort Journal of Veterinary Research; 79(2); 135-135","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200036&lang=pt" 
"S0030-24652012000200037-sza","Phytochemical isolation of compounds from Sceletium tortuosum and activity testing against Plasmodium falciparum","Setshedi, Itumeleng I., Fouche, Gerda, Dewar, John, Maharaj, Vinesh, Myer, Martin S.","Onderstepoort Journal of Veterinary Research; 79(2); 136-136","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200037&lang=pt" 
"S0030-24652012000200038-sza","Impact of HIV and AIDS on food security in Rufiji District, Tanzania","Kayunze, Kim A.","Onderstepoort Journal of Veterinary Research; 79(2); 136-136","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200038&lang=pt" 
"S0030-24652012000200039-sza","Immunogeno: Protective mechanism for Rift Valley fever in the Democratic Republic of Congo","Tshilenge, Georges","Onderstepoort Journal of Veterinary Research; 79(2); 137-137","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200039&lang=pt" 
"S0030-24652012000200040-sza","Investigation of water sources as reservoirs of Vibrio cholerae in Bepanda, Douala and determination of physico-chemical factors maintaining its endemicity","Tatah, Akoachere J.-F.K., Pulcherie, Kwedjeu M.C., Mande, Ndip L., Akum, Njom H.","Onderstepoort Journal of Veterinary Research; 79(2); 138-138","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200040&lang=pt" 
"S0030-24652012000200041-sza","Cysticercosis in the Democratic Republic of Congo","Dorny, P., Kabwe, C., Kirezi, K., Lukanu, K., Lutumba, P., Maketa, V., Matondo, P., Polman, K., Praet, N., Speybroeck, N., Sumbu, J.","Onderstepoort Journal of Veterinary Research; 79(2); 139-139","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200041&lang=pt" 
"S0030-24652012000200042-sza","Unexpectedly low seroprevalence of toxoplasmosis in South Africa","Kistiah, K., Frean, John, Winiecka-Krusnell, J., Barragan, A.","Onderstepoort Journal of Veterinary Research; 79(2); 140-140","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200042&lang=pt" 
"S0030-24652012000200043-sza","Co-infections of malaria and soil-transmitted helminths in localities with different levels of urbanisation in the Mount Cameroon region","Lum, E., Kimbi, H.K., Mbuh, J., Ndamukong-Nyanga, J., Njunda, A.L., Lello, J.","Onderstepoort Journal of Veterinary Research; 79(2); 141-141","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200043&lang=pt" 
"S0030-24652012000200044-sza","","","Onderstepoort Journal of Veterinary Research; 79(2); 142-142","Onderstepoort Journal of Veterinary Research","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0030-24652012000200044&lang=pt" 
"S1646-107X2012000100001-prt","Uma reflexão crítica sobre a prática científica e o seu contributo para a qualidade de vida da sociedade","Vasconcelos-Raposo, J., Teixeira, C.M., Fernandes, H.M.","Motricidade; 8(1); 01-04","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100001&lang=pt" 
"S1646-107X2012000100002-prt","Associação entre baixos níveis de aptidão física e fatores sociodemográficos em adolescentes de área urbanas e rurais","Petroski, E.L., Silva, A.F., Rodrigues, A.B., Pelegrini, A.","Motricidade; 8(1); 5-13","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100002&lang=pt" 
"S1646-107X2012000100004-prt","Insulina pancreática de ratos diabéticos tipo 1 submetidos a um protocolo de treinamento físico individualizado","Moura, L. Pereira de, Gomes, R.J., Leme, J.A., Voltarelli, F.A., Ribeiro, C., Moura, R. Ferreira de, Araújo, M. Barbosa de, Luciano, E., Mello, M. Rostom de","Motricidade; 8(1); 23-32","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100004&lang=pt" 
"S1646-107X2012000100005-prt","Perceived quality of life and physical activity in Brazilian older adults","Porto, D.B., Guedes, D.P., Fernandes, R.A., Reichert, F.F.","Motricidade; 8(1); 33-41","Motricidade","Inglês","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100005&lang=pt" 
"S1646-107X2012000100006-prt","Efeitos do treinamento funcional com cargas sobre a composição corporal: Um estudo experimental em mulheres fisicamente inativas","Pereira, P.C., Medeiros, R.D., Santos, A.A., Oliveira, L.S., Aniceto, R.R., Júnior, A.A., Nascimento, J.A., Sousa, M.S.","Motricidade; 8(1); 42-52","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100006&lang=pt" 
"S1646-107X2012000100007-prt","Dismorfia muscular: A busca pelo corpo hiper musculoso","Azevedo, A.P., Ferreira, A.C., Silva, P.P. Da, Caminha, I.O., Freitas, C.M.","Motricidade; 8(1); 53-66","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100007&lang=pt" 
"S1646-107X2012000100008-prt","Transmissão de ideias sobre o corpo humano pelo professor de Educação Física escolar e reações percebidas nos alunos","Carvalho, S.F., Silva, S.A.P.S., Nista-Piccolo, V.L., Moreira, W.W., Nunes, H.C.B.","Motricidade; 8(1); 67-77","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100008&lang=pt" 
"S1646-107X2012000100009-prt","Fotogrametria: Fidedignidade e falta de objetividade na avaliação postural","Glaner, M.F., Mota, Y.L., Viana, A.C.R., Santos, M.C.","Motricidade; 8(1); 78-85","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100009&lang=pt" 
"S1646-107X2012000100010-prt","Função muscular em indivíduos com doença arterial obstrutiva periférica: Uma revisão sistemática","Menêses, A.L., Farah, B.Q., Ritti-Dias, R.M.","Motricidade; 8(1); 86-96","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100010&lang=pt" 
"S1646-107X2012000100003-prt","Níveis de potência muscular em atletas de futebol e futsal em diferentes categorias e posições","Silva, J.F., Detanico, D., Floriano, L.T., Dittrich, N., Nascimento, P.C., Santos, S.G., Guglielmo, L.G.A.","Motricidade; 8(1); 14-22","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000100003&lang=pt" 
"S1646-107X2012000200001-prt","Num desporto com valores: Construir uma sociedade mais justa","Vasconcelos-Raposo, J.","Motricidade; 8(2); 1-7","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200001&lang=pt" 
"S1646-107X2012000200002-prt","Relação da prática de exercícios físicos e fatores associados às regulações motivacionais de adolescentes brasileiros","Silva, R.B., Matias, T.S., Viana, M.S., Andrade, A.","Motricidade; 8(2); 8-21","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200002&lang=pt" 
"S1646-107X2012000200003-prt","Impacto da escolaridade materna e paterna na perceção da imagem corporal em acadêmicos de Educação Física","Silva, D.A.S., Pereira, I.M.M., Oliveira, A.C. Cabral de","Motricidade; 8(2); 22-31","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200003&lang=pt" 
"S1646-107X2012000200004-prt","Autoeficácia para a prática de atividade física por indivíduos adultos","Barros, M.B., Iaochite, R.T.","Motricidade; 8(2); 32-41","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200004&lang=pt" 
"S1646-107X2012000200005-prt","Influência da família na primeira fase de desenvolvimento da carreira de nadadores medalhistas olímpicos brasileiros","Ferreira, R.M., Moraes, L.C.","Motricidade; 8(2); 42-51","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200005&lang=pt" 
"S1646-107X2012000200006-prt","Frequência cardíaca, perceção subjetiva de esforço e lactato sanguíneo nas aulas de jump fit e hidro jump","Moraes, H.B., Vale, R.G., Gomes, A.L., Novaes, G.S., Alves, J.V., Marinho, D.A., Novaes, J.S.","Motricidade; 8(2); 52-61","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200006&lang=pt" 
"S1646-107X2012000200007-prt","Lesão esportiva: Um estudo sobre a síndrome dolorosa femoropatelar","Catelli, D.S., Kuriki, H.U., Nascimento, P.R.C.","Motricidade; 8(2); 62-69","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200007&lang=pt" 
"S1646-107X2012000200008-prt","Influência da atividade física na imagem corporal: Uma revisão bibliográfica","Gonçalves, C.O., Campana, A.N., Tavares, M.C.","Motricidade; 8(2); 70-82","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200008&lang=pt" 
"S1646-107X2012000200009-prt","Meta-análise do efeito no sistema imunitário da suplementação de hidratos de carbono no exercício físico","Borges, G.F., Teixeira, A.M., Ferreira, J.P.","Motricidade; 8(2); 83-97","Motricidade","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-107X2012000200009&lang=pt" 
"S0870-90252012000100001-prt","(Des) centralização dos cuidados de saúde primários?","Barbosa, Patrícia","Revista Portuguesa de Saúde Pública; 30(1); 1-2","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100001&lang=pt" 
"S0870-90252012000100002-prt","Impacto dos programas de treino na qualidade de vida da mulher com incontinência urinária de esforço","Ferreira, Margarida, Santos, Paula Clara","Revista Portuguesa de Saúde Pública; 30(1); 3-10","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100002&lang=pt" 
"S0870-90252012000100003-prt","Cuidar da pessoa com fístula arteriovenosa: modelo para a melhoria contínua","Sousa, Clemente Neves","Revista Portuguesa de Saúde Pública; 30(1); 11-17","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100003&lang=pt" 
"S0870-90252012000100004-prt","Comparação dos utentes do antigo Hospital do Desterro com os utentes do Hospital de São José no acesso à consulta de Medicina Interna: Parte II: diferenças em acesso realizado","Pereira, Maria Isabel, Sousa, Bruno de, Coelho, Anabela, Ferrinho, Paulo","Revista Portuguesa de Saúde Pública; 30(1); 18-34","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100004&lang=pt" 
"S0870-90252012000100005-prt","Utilização de cuidados de saúde pela população idosa portuguesa: uma análise por género e classes latentes","Quintal, Carlota, Lourenço, Óscar, Ferreira, Pedro","Revista Portuguesa de Saúde Pública; 30(1); 35-46","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100005&lang=pt" 
"S0870-90252012000100006-prt","Prevalência de excesso de peso e obesidade em estudantes adolescentes do distrito de Castelo Branco: um estudo centrado no índice de massa corporal, perímetro da cintura e percentagem de massa gorda","Ferreira, Filipe, Mota, Jorge Augusto, Duarte, José","Revista Portuguesa de Saúde Pública; 30(1); 47-54","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100006&lang=pt" 
"S0870-90252012000100007-prt","Drug utilization research in a primary mental health service in Northeast of Brazil","Souza, Thais Teles de, Silva, Wellington Barros da, Quintans, Jullyana de Souza Siqueira, Onofre, Alexandre Sherlley Casimiro, Onofre, Fabiana Botelho de Miranda, Quintans-Júnior, Lucindo José","Revista Portuguesa de Saúde Pública; 30(1); 55-61","Revista Portuguesa de Saúde Pública","Inglês","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100007&lang=pt" 
"S0870-90252012000100008-prt","Cuidados de fim de vida: Portugal no projeto europeu PRISMA","Ferreira, Pedro Lopes, Antunes, Bárbara, Pinto, Ana Barros, Gomes, Bárbara","Revista Portuguesa de Saúde Pública; 30(1); 62-70","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100008&lang=pt" 
"S0870-90252012000100009-prt","Perturbação pós-stress traumático: características psicométricas da versão portuguesa da Posttraumatic Stress Disorder Checklist - Civilian Version (PCL-C)","Marcelino, Dália, Gonçalves, Sónia P.","Revista Portuguesa de Saúde Pública; 30(1); 71-75","Revista Portuguesa de Saúde Pública","Português","2012","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-90252012000100009&lang=pt" 
