"S1413-81232016001003303-spa","Disability, family and society: new thinking of an old debate","Goldson, Edward","Ciência &amp; Saúde Coletiva; 21(10); 3303-3307","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016001003303&lang=pt" 
"S0102-695X2016000500595-scl","Effects of bark flour of Passiflora edulis on food intake, body weight and behavioral response of rats","Figueiredo, Dandara A.F., Pordeus, Liana C.M., Paulo, Luciano L., Braga, Renan M., Fonsêca, Diogo V., Sousa, Bruno S., Costa, Maria J.C., Gonçalves, Maria C.R., Oliveira, Klébya H.D.","Revista Brasileira de Farmacognosia; 26(5); 595-600","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500595&lang=pt" 
"S0102-695X2016000500579-scl","Anticonvulsant mechanism of saponins fraction from adventitious roots of Ficus religiosa: possible modulation of GABAergic, calcium and sodium channel functions","Singh, Damanpreet, Goel, Rajesh Kumar","Revista Brasileira de Farmacognosia; 26(5); 579-585","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500579&lang=pt" 
"S0102-695X2016000500619-scl","Evaluation of mechanism for antihypertensive and vasorelaxant effects of hexanic and hydroalcoholic extracts of celery seed in normotensive and hypertensive rats","Tashakori-Sabzevar, Faezeh, Razavi, Bibi Marjan, Imenshahidi, Mohsen, Daneshmandi, Mohammadreza, Fatehi, Hamidreza, Sarkarizi, Yaser Entezari, Mohajeri, Seyed Ahmad","Revista Brasileira de Farmacognosia; 26(5); 619-626","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500619&lang=pt" 
"S0102-695X2016000500634-scl","Hypoglycemic effect of formulation containing hydroethanolic extract of Calophyllum brasiliense in diabetic rats induced by streptozotocin","Carvalho, Helison de Oliveira, Souza, Belmira Silva Farias e, Santos, Igor Victor Ferreira dos, Resque, Rafael Lima, Keita, Hady, Fernandes, Caio Pinho, Carvalho, José Carlos Tavares","Revista Brasileira de Farmacognosia; 26(5); 634-639","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500634&lang=pt" 
"S0102-695X2016000500553-scl","A validated and densitometric HPTLC method for the simultaneous quantification of reserpine and ajmalicine in Rauvolfia serpentina and Rauvolfia tetraphylla","Pandey, Devendra Kumar, Radha, , Dey, Abhijit","Revista Brasileira de Farmacognosia; 26(5); 553-557","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500553&lang=pt" 
"S0102-695X2016000500558-scl","Validated high performance thin layer chromatography method for the quantification of bioactive marker compounds in Draksharishta, an ayurvedic polyherbal formulation","Pillai, Divya, Pandita, Nancy","Revista Brasileira de Farmacognosia; 26(5); 558-563","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500558&lang=pt" 
"S0102-695X2016000500586-scl","Possible mechanisms of antinociception of methanol extract of Melastoma malabathricum leaves","Jaios, Erman Shah, Rahman, Suzana Abdul, Ching, Siew Mooi, Kadir, Arifah Abdul, Desa, Mohd. Nasir Mohd., Zakaria, Zainul Amirudin","Revista Brasileira de Farmacognosia; 26(5); 586-594","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500586&lang=pt" 
"S0102-695X2016000500564-scl","Identification of reference genes for gene expression normalization in safflower (Carthamus tinctorius)","Liu, Fei, Guo, Dan Dan, Tu, Yan Hua, Xue, Ying Ru, Gao, Yue, Guo, Mei Li","Revista Brasileira de Farmacognosia; 26(5); 564-570","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500564&lang=pt" 
"S0102-695X2016000500647-scl","Report on the Malungo expedition to the Erepecuru river, Oriximiná, Brazil. Part I: is there a difference between black and white breu?","Silva, Eduardo Rodrigues da, Oliveira, Danilo Ribeiro de, Melo, Maria de Fátima Figueiredo, Bizzo, Humberto Ribeiro, Leitão, Suzana Guimarães","Revista Brasileira de Farmacognosia; 26(5); 647-656","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500647&lang=pt" 
"S0102-695X2016000500627-scl","Identification of dysregulated microRNA expression and their potential role in the antiproliferative effect of the essential oils from four different Lippia species against the CT26.WT colon tumor cell line","Gomide, Mayna, Lemos, Fernanda, Reis, Daniele, José, Gustavo, Lopes, Miriam, Machado, Marco Antônio, Alves, Tânia, Coelho, Cíntia Marques","Revista Brasileira de Farmacognosia; 26(5); 627-633","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500627&lang=pt" 
"S0102-695X2016000500657-scl","Biological and therapeutic effects of honey produced by honey bees and stingless bees: a comparative review","Rao, Pasupuleti Visweswara, Krishnan, Kumara Thevan, Salleh, Naguib, Gan, Siew Hua","Revista Brasileira de Farmacognosia; 26(5); 657-664","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500657&lang=pt" 
"S0102-695X2016000500571-scl","Potent inhibition of Western Equine Encephalitis virus by a fraction rich in flavonoids and phenolic acids obtained from Achyrocline satureioides","Sabini, María Carola, Cariddi, Laura Noelia, Escobar, Franco Matías, Mañas, Fernando, Comini, Laura, Iglesias, Delvis, Larrauri, Mariana, Montoya, Susana Núñez, Sereno, José, Contigiani, Marta Silvia, Cantero, Juan José, Sabini, Liliana Inés","Revista Brasileira de Farmacognosia; 26(5); 571-578","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500571&lang=pt" 
"S0102-695X2016000500544-scl","The structural studies on the medicinal plant Haplophyllum telephioides","Tekin, Mehmet, Eruygur, Nuraniye","Revista Brasileira de Farmacognosia; 26(5); 544-552","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500544&lang=pt" 
"S0102-695X2016000500601-scl","Flax lignan concentrate attenuate hypertension and abnormal left ventricular contractility via modulation of endogenous biomarkers in two-kidney-one-clip (2K1C) hypertensive rats","Sawant, Sameer Hanmantrao, Bodhankar, Subhash Laxmanrao","Revista Brasileira de Farmacognosia; 26(5); 601-610","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500601&lang=pt" 
"S0102-695X2016000500533-scl","Anatomical and histochemical analysis of Dysphania ambrosioides supported by light and electron microscopy","Sá, Rafaela D., Santana, Asaph S.C.O., Silva, Flávia C.L., Soares, Luiz Alberto L., Randau, Karina P.","Revista Brasileira de Farmacognosia; 26(5); 533-543","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500533&lang=pt" 
"S0102-695X2016000500611-scl","Uliginosin B, a natural phloroglucinol derivative with antidepressant-like activity, increases Na+,K+-ATPase activity in mice cerebral cortex","Stein, Ana C., Müller, Liz G., Ferreira, Andréa G.K., Braga, Andressa, Betti, Andresa H., Centurião, Fernanda B., Scherer, Emilene B., Kolling, Janaína, Poser, Gilsane L. von, Wyse, Angela T.S., Rates, Stela M.K.","Revista Brasileira de Farmacognosia; 26(5); 611-618","Revista Brasileira de Farmacognosia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2016000500611&lang=pt" 
"S0021-75572016000600528-scl","Interference of heart and transcutaneous oxygen monitoring in the measurement of bioelectrical impedance analysis in preterm newborns","Comym, Viviane C., Macedu, Yuri S., Neves, Eduardo K.P.B., Bueno, Arnaldo C., Fernandez, Herminia C., Moreira, Maria E.L., Vieira, Alan A.","Jornal de Pediatria; 92(5); 528-531","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600528&lang=pt" 
"S0021-75572016000600521-scl","Lack of association between genetic polymorphism of FTO, AKT1 and AKTIP in childhood overweight and obesity","Pereira, Patrícia de Araújo, Alvim-Soares Jr., António Marcos, Sandrim, Valéria Cristina, Lanna, Carla Márcia Moreira, Souza-Costa, Débora Cristine, Belo, Vanessa de Almeida, Paula, Jonas Jardim de, Tanus-Santos, José Eduardo, Romano-Silva, Marco Aurélio, Miranda, Débora Marques de","Jornal de Pediatria; 92(5); 521-527","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600521&lang=pt" 
"S0021-75572016000600432-scl","Empiric therapy with vancomycin in the neonatal intensive care unit: let&#039;s &quot;get smart&quot; globally!","Sánchez, Pablo J., Moallem, Mohannad, Cantey, Joseph B., Milton, Avante, Michelow, Ian C.","Jornal de Pediatria; 92(5); 432-435","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600432&lang=pt" 
"S0021-75572016000600436-scl","Impact of health professional training in breastfeeding on their knowledge, skills, and hospital practices: a systematic review","Jesus, Patricia Carvalho de, Oliveira, Maria Inês Couto de, Fonseca, Sandra Costa","Jornal de Pediatria; 92(5); 436-450","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600436&lang=pt" 
"S0021-75572016000600464-scl","Clinical and laboratory signs associated to serious dengue disease in hospitalized children","Pone, Sheila Moura, Hökerberg, Yara Hahr Marques, Oliveira, Raquel de Vasconcellos Carvalhaes de, Daumas, Regina Paiva, Pone, Tamiris Moura, Pone, Marcos Vinicius da Silva, Brasil, Patricia","Jornal de Pediatria; 92(5); 464-471","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600464&lang=pt" 
"S0021-75572016000600479-scl","Correlation between hemoglobin levels of mothers and children on exclusive breastfeeding in the first six months of life","Marques, Rosa de Fátima da Silva Vieira, Taddei, José Augusto de Aguiar Carrazedo, Konstantyner, Tulio, Marques, Affonso Celso Vieira, Braga, Josefina Aparecida Pellegrini","Jornal de Pediatria; 92(5); 479-485","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600479&lang=pt" 
"S0021-75572016000600493-scl","Association between overweight and obesity in schoolchildren with rs9939609 polymorphism (FTO) and family history for obesity","Reuter, Cézane Priscila, Burgos, Miria Suzana, Bernhard, Joana Carolina, Tornquist, Debora, Klinger, Elisa Inês, Borges, Tássia Silvana, Renner, Jane Dagmar Pollo, Valim, Andréia Rosane de Moura, Mello, Elza Daniel de","Jornal de Pediatria; 92(5); 493-498","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600493&lang=pt" 
"S0021-75572016000600512-scl","Association of hypertriglyceridemic-waist phenotype with liver enzymes and cardiometabolic risk factors in adolescents: the CASPIAN-III study","Kelishadi, Roya, Jamshidi, Fahimeh, Qorbani, Mostafa, Motlagh, Mohammad Esmaeil, Heshmat, Ramin, Ardalan, Gelayol, Hovsepian, Silva","Jornal de Pediatria; 92(5); 512-520","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600512&lang=pt" 
"S0021-75572016000600532-scl","Serum TSH levels are associated with cardiovascular risk factors in overweight and obese adolescents","Souza, Luciana Lopes de, Guedes, Erika Paniago, Teixeira, Patrícia Fátima dos Santos, Moreira, Rodrigo Oliveira, Godoy-Matos, Amelio Fernando, Vaisman, Mario","Jornal de Pediatria; 92(5); 532-538","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600532&lang=pt" 
"S0021-75572016000600539-scl","Atypical manifestations of Epstein-Barr virus: red alert for primary immunodeficiencies","Segundo, Gesmar R.S.","Jornal de Pediatria; 92(5); 539-540","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600539&lang=pt" 
"S0021-75572016000600472-scl","Empirical antimicrobial therapy for late-onset sepsis in a neonatal unit with high prevalence of coagulase-negative Staphylococcus","Romanelli, Roberta Maia de Castro, Anchieta, Lêni Márcia, Silva, Ana Carolina Bueno e, Jesus, Lenize Adriana de, Rosado, Viviane, Clemente, Wanessa Trindade","Jornal de Pediatria; 92(5); 472-478","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600472&lang=pt" 
"S0021-75572016000600499-scl","Evaluation of human milk titratable acidity before and after addition of a nutritional supplement for preterm newborns","Pereira, Cibelle Iáskara do Vale, Dametto, Juliana Fernandes dos Santos, Oliveira, Janaína Cavalcanti Costa","Jornal de Pediatria; 92(5); 499-504","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600499&lang=pt" 
"S0021-75572016000600429-scl","Predictors of dengue severity","Halstead, Scott B.","Jornal de Pediatria; 92(5); 429-431","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600429&lang=pt" 
"S0021-75572016000600486-scl","Fecal calprotectin levels in preterm infants with and without feeding intolerance","Moussa, Rehab, Khashana, Abdelmoneim, Kamel, Noha, Elsharqawy, Sonia Elsharqawy","Jornal de Pediatria; 92(5); 486-492","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600486&lang=pt" 
"S0021-75572016000600505-scl","Child development in primary care: a surveillance proposal","Coelho, Renato, Ferreira, José Paulo, Sukiennik, Ricardo, Halpern, Ricardo","Jornal de Pediatria; 92(5); 505-511","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600505&lang=pt" 
"S0021-75572016000600540-scl","Authors&#039; reply: Atypical manifestations of Epstein-Barr virus: red alert for primary immunodeficiencies","Bolis, Vasileios, Karadedos, Christos, Chiotis, Ioannis, Chaliasos, Nikolaos, Tsabouri, Sophia","Jornal de Pediatria; 92(5); 540-541","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600540&lang=pt" 
"S0021-75572016000600451-scl","Brazilian infant and preschool children feeding: literature review","Mello, Carolina Santos, Barros, Karina Vieira, Morais, Mauro Batista de","Jornal de Pediatria; 92(5); 451-463","Jornal de Pediatria","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572016000600451&lang=pt" 
"S0038-23532016000500006-sza","The Piltdown case: Further questions","Francis Thackeray, J.","South African Journal of Science; 112(9-10); 1-2","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500006&lang=pt" 
"S0038-23532016000500004-sza","The Marine Protected Areas debate: implications for the proposed Phakisa Marine Protected Areas Network","Sink, Kerry","South African Journal of Science; 112(9-10); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500004&lang=pt" 
"S0038-23532016000500014-sza","Do arthropod assemblages fit the grassland and savanna biomes of South Africa?","Botha, Monique, Siebert, Stefan J., van den Berg, Johnnie","South African Journal of Science; 112(9-10); 1-10","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500014&lang=pt" 
"S0038-23532016000500010-sza","South Africa in the Antarctic Circumnavigation Expedition: A multi-institutional and interdisciplinary scientific project","Halo, Issufo, Dorrington, Rosemary, Bornman, Thomas, de Villiers, Stephanie, Fawcett, Sarah","South African Journal of Science; 112(9-10); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500010&lang=pt" 
"S0038-23532016000500020-sza","Differential involvement of ascorbate and guaiacol peroxidases in soybean drought resistance","Moloi, Makoena J., Mwenye, Obed J., van der Merwe, Rouxlene","South African Journal of Science; 112(9-10); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500020&lang=pt" 
"S0038-23532016000500013-sza","Reducing substance use and sexual risk behaviour among men who have sex with men in South Africa","Williams, Petal Petersen, Carney, Tara, Parry, Charles D.H.","South African Journal of Science; 112(9-10); 1-5","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500013&lang=pt" 
"S0038-23532016000500005-sza","AUFWIND: An ambitious German microalgae project for producing third-generation biofuels","Grobbelaar, Johan U.","South African Journal of Science; 112(9-10); 1-2","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500005&lang=pt" 
"S0038-23532016000500009-sza","SEAmester - South Africa&#039;s first class afloat","Ansorge, Isabelle J., Brundrit, Geoff, Brundrit, Jean, Dorrington, Rosemary, Fawcett, Sarah, Gammon, David, Henry, Tahlia, Hermes, Juliet, Hölscher, Beate, d&#039;Hotman, Jethan, Meiklejohn, Ian, Morris, Tammy, Pinto, Izidine, du Plessis, Marcel, Roman, Raymond, Saunders, Clinton, Shabangu, Fannie W., Vos, Marc de, Walker, David R., Louw, Gavin","South African Journal of Science; 112(9-10); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500009&lang=pt" 
"S0038-23532016000500023-sza","Retraction","","South African Journal of Science; 112(9-10); 1-1","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500023&lang=pt" 
"S0038-23532016000500003-sza","National Research Foundation celebrates science excellence for development","Brussow, Thalia","South African Journal of Science; 112(9-10); 1-3","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500003&lang=pt" 
"S0038-23532016000500007-sza","Finding an influential voice for academies in Africa","Crewe, Robin M.","South African Journal of Science; 112(9-10); 1-2","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500007&lang=pt" 
"S0038-23532016000500001-sza","No fee increases: Cascades and calamities","Butler-Adam, John","South African Journal of Science; 112(9-10); 1-1","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500001&lang=pt" 
"S0038-23532016000500017-sza","Do African microfinance institutions need efficiency for financial stability and social outreach?","Azad, Md A.K., Munisamy, Susila, Masum, Abdul K.M., Wanke, Peter","South African Journal of Science; 112(9-10); 1-8","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500017&lang=pt" 
"S0038-23532016000500011-sza","A snow forecasting decision tree for significant snowfall over the interior of South Africa","Stander, Jan Hendrik, Dyson, Liesl, Engelbrecht, Christien J.","South African Journal of Science; 112(9-10); 1-10","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500011&lang=pt" 
"S0038-23532016000500019-sza","Implications of summer breeding frogs from Langebaanweg, South Africa: Regional climate evolution at 5.1 mya","Matthews, Thalassa, John Measey, G., Roberts, David L.","South African Journal of Science; 112(9-10); 1-7","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500019&lang=pt" 
"S0038-23532016000500021-sza","Drought, climate change and sustainability of water in agriculture: A roadmap towards the NWRS2","Chami, Daniel El, Moujabber, Maroun El","South African Journal of Science; 112(9-10); 1-4","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500021&lang=pt" 
"S0038-23532016000500012-sza","New light on vitamin B12: The adenosylcobalamin-dependent photoreceptor protein CarH","Chemaly, Susan M.","South African Journal of Science; 112(9-10); 1-9","South African Journal of Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532016000500012&lang=pt" 
"S0074-02762016001000659-scl","Vancomycin-intermediate livestock-associated methicillin-resistant Staphylococcus aureus ST398/t9538 from swine in Brazil","Moreno, Luisa Z, Dutra, Mauricio C, Moreno, Marina, Ferreira, Thais SP, Silva, Givago FR da, Matajira, Carlos EC, Silva, Ana Paula S, Moreno, Andrea M","Memórias do Instituto Oswaldo Cruz; 111(10); 659-661","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000659&lang=pt" 
"S0074-02762016001000652-scl","Genetic evidence of enzootic leishmaniasis in a stray canine and Texas mouse from sites in west and central Texas","Kipp, Evan J, Mariscal, Jacqueline, Armijos, Rodrigo X, Weigel, Margaret, Waldrup, Kenneth","Memórias do Instituto Oswaldo Cruz; 111(10); 652-654","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016001000652&lang=pt" 
"S1807-59322016001000611-scl","Role of the Neutrophil-Lymphocyte Ratio in the Differential Diagnosis of Exudative Pleural Effusion","Akturk, Ulku Aka, Ernam, Dilek, Akbay, Makbule Ozlem, Koçak, Nagihan Durmus, Ogur, Erhan, Irmak, Ilim","Clinics; 71(10); 611-616","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000611&lang=pt" 
"S1807-59322016001000626-scl","Profibrotic pathways and atrial cardiomyopathy in persistent atrial fibrillation","Canpolat, Uğur","Clinics; 71(10); 626-626","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000626&lang=pt" 
"S1807-59322016001000580-scl","Velocity time integral for right upper pulmonary vein in VLBW infants with patent ductus arteriosus","Lista, Gianluca, Bianchi, Silvia, Mannarino, Savina, Schena, Federico, Castoldi, Francesca, Stronati, Mauro, Mosca, Fabio","Clinics; 71(10); 580-585","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016001000580&lang=pt" 
