"S1519-566X2007000200017-scl","Ácaros associados à cultura da soja no Rio Grande do Sul","Guedes, Jerson V.C., Navia, Denise, Lofego, Antonio C., Dequech, Sônia T.B.","Neotropical Entomology; 36(2); 288-293","Neotropical Entomology","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2007000200017&lang=pt" 
"S1413-86702007000200028-scl","Septicemia caused by Vibrio cholerae O1 biotype El Tor, in São Paulo, Brazil","Abboud, C.S., Ferreira, C.E.S., Barbosa, V.L.B., Araújo, D.A.C., Zandonadi, E.C., Pasternak, J.","Brazilian Journal of Infectious Diseases; 11(2); 300-301","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200028&lang=pt" 
"S1413-86702007000200011-scl","Short-interfering RNAs as antivirals against rabies","Brandão, Paulo Eduardo, Castilho, Juliana Galera, Fahl, Willian, Carnieli Jr., Pedro, Oliveira, Rafael de Novaes, Macedo, Carla Isabel, Carrieri, Maria Luiza, Kotait, Ivanete","Brazilian Journal of Infectious Diseases; 11(2); 224-225","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200011&lang=pt" 
"S1413-86702007000200026-scl","Esophageal ulcers caused by reactivation of ganglionary tuberculosis: a case report","Hadlich, Everton, Galperim, Bruno, Rizzon, Carlos Fernando","Brazilian Journal of Infectious Diseases; 11(2); 293-296","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200026&lang=pt" 
"S1413-86702007000200023-scl","Nosocomial outbreak of Pantoea agglomerans in a pediatric urgent care center","Bicudo, Eliana L., Macedo, Vanise O., Carrara, Marlene A., Castro, Fabíola F.S., Rage, Ruth I.","Brazilian Journal of Infectious Diseases; 11(2); 281-284","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200023&lang=pt" 
"S1413-86702007000200022-scl","Cefepime restriction improves gram-negative overall resistance patterns in neonatal intensive care unit","Araujo, Orlei Ribeiro de, Silva, Dafne Cardoso Bourguignon da, Diegues, Ana Regina, Arkader, Ronaldo, Cabral, Eloíza Aparecida Ferreira, Afonso, Marta Rodriguez, Louzada, Maria Eduarda, Albertoni, Andréa de Cássia Stéfano","Brazilian Journal of Infectious Diseases; 11(2); 277-280","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200022&lang=pt" 
"S1413-86702007000200025-scl","Dyslipidaemia associated with the highly active antiretroviral therapy in aids patient: reversion after switching (stavudine to tenofovir and lopinavir/ritonavir to atazanavir/ritonavir)","Domingos, Hamilton, Cunha, Rivaldo Venâncio da, Paniago, Anamaria Mello Miranda","Brazilian Journal of Infectious Diseases; 11(2); 290-292","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200025&lang=pt" 
"S1413-86702007000200027-scl","Successful treatment of vancomycin-resistant enterococcus ventriculitis in a child","Silva, Paulo Sérgio Lucas da, Monteiro Neto, Henrique, Sejas, Lílian Márcia","Brazilian Journal of Infectious Diseases; 11(2); 297-299","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200027&lang=pt" 
"S1413-86702007000200029-scl","Vibrio vulnificus infection in São Paulo, Brazil: case report and literature review","Araujo, Maria Rita Elmor de, Aquino, Caroline, Scaramal, Elton, Ciola, Claudete Sílvia, Schettino, Guilherme, Machado, Marcel Cerqueira Cesar","Brazilian Journal of Infectious Diseases; 11(2); 302-305","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200029&lang=pt" 
"S1413-86702007000200007-scl","Prevalence of HIV infection in patients hospitalized for tuberculosis in Bahia, Brazil","Matos, Eliana Dias, Lemos, Antônio Carlos Moreira, Bittencourt, Carolina, Mesquita, Critiane Leite, Kuhn, Patrícia Chamadoira","Brazilian Journal of Infectious Diseases; 11(2); 208-211","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200007&lang=pt" 
"S1413-86702007000200008-scl","The incidence of cytomegalovirus infection in lung transplant recipients under universal prophylaxis with intravenous ganciclovir","Schröeder, Regina, Michelon, Tatiana, Wurdig, João, Fagundes, Iara, Schio, Sadi, Sanchez, Leticia, Camargo, José J., Sukkienik, Teresa C., Pasqualotto, Alessandro C., Neumann, Jorge","Brazilian Journal of Infectious Diseases; 11(2); 212-214","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200008&lang=pt" 
"S1413-86702007000200013-scl","Inactivation of Escherichia coli O157:H7 by essential oil from Cinnamomum zeylanicum","Senhaji, Ouafae, Faid, Mohamed, Kalalou, Ichraq","Brazilian Journal of Infectious Diseases; 11(2); 234-236","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200013&lang=pt" 
"S1413-86702007000200016-scl","Community-acquired pneumonia in the childhood: analysis of the diagnostic methods","Requejo, Henry I. Z.","Brazilian Journal of Infectious Diseases; 11(2); 246-248","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200016&lang=pt" 
"S1413-86702007000200018-scl","Genital ulcers in women: clinical, microbiologic and histopathologic characteristics","Gomes, Christiane Maria Moreira, Giraldo, Paulo César, Gomes, Francis de Assis Moraes, Amaral, Rose, Passos, Mauro Romero Leal, Gonçalves, Ana Katherine da Silveira","Brazilian Journal of Infectious Diseases; 11(2); 254-260","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200018&lang=pt" 
"S1413-86702007000200006-scl","Efficacy of amphotericin B in a fat emulsion for the treatment of cryptococcal meningitis in AIDS patients","Rubio, Fernando Góngora, Zanon, Jeferson Rodrigo, Almeida, Margarete Teresa Gottardo de, Góngora, Delzi Vinha Nunes de","Brazilian Journal of Infectious Diseases; 11(2); 203-207","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200006&lang=pt" 
"S1413-86702007000200017-scl","Accuracy of a self-collection kit for the microbiological study of the vaginal content","Passos, Mauro Romero L., Varella, Renata Q., Barreto, Nero A., Garcia, Maria Luiza, Giraldo, Paulo C.","Brazilian Journal of Infectious Diseases; 11(2); 249-253","Brazilian Journal of Infectious Diseases","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702007000200017&lang=pt" 
"S1678-77572007000200003-scl","A quantitative analysis of rotary, ultrasonic and manual techniques to treat proximally flattened root canals","Grecca, Fabiana Soares, Garcia, Roberto Brandão, Bramante, Clóvis Monteiro, Moraes, Ivaldo Gomes de, Bernardineli, Norberti","Journal of Applied Oral Science; 15(2); 89-93","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200003&lang=pt" 
"S1678-77572007000200004-scl","Effect of a bonding resin layer associated with a self-etching adhesive system on the bond strength of indirect restorations","Castro, Carolina Guimarães, Santos Filho, Paulo César Freitas, Mota, Adérito Soares da, Campos, Roberto Elias, Soares, Carlos José","Journal of Applied Oral Science; 15(2); 94-98","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200004&lang=pt" 
"S1678-77572007000200005-scl","Dental maturity as an indicator of chronological age: radiographic assessment of dental age in a brazilian population","Kurita, Lucio Mitsuo, Menezes, Alynne Vieira, Casanova, Marcia Spinelli, Haiter-Neto, Francisco","Journal of Applied Oral Science; 15(2); 99-104","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200005&lang=pt" 
"S1678-77572007000200007-scl","Assessment of temporomandibular disorder and occlusion in treated class III malocclusion patients","Valle-Corotti, Karyna, Pinzan, Arnaldo, Valle, Caio Vinícius Martins do, Nahás, Ana Carla Raphaelli, Corotti, Mauro Vinícius","Journal of Applied Oral Science; 15(2); 110-114","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200007&lang=pt" 
"S1678-77572007000200010-scl","Shear bond strength of orthodontic brackets to enamel under different surface treatment conditions","Pithon, Matheus Melo, Oliveira, Márlio Vinícius de, Ruellas, Antonio Carlos de Oliveira, Bolognese, Ana Maria, Romano, Fábio Lourenço","Journal of Applied Oral Science; 15(2); 127-130","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200010&lang=pt" 
"S1678-77572007000200012-scl","Computed tomography imaging strategies and perspectives in orbital fractures","Santos, Denise Takehana dos, Oliveira, Jefferson Xavier, Vannier, Michael Walter, Cavalcanti, Marcelo Gusmão Paraíso","Journal of Applied Oral Science; 15(2); 135-139","Journal of Applied Oral Science","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572007000200012&lang=pt" 
"S0034-72992007000200008-scl","Comparação histológica entre o osso desmineralizado e polímero de mamona sobre a regeneração óssea","Laureano Filho, José Rodrigues, Castelo Branco, Bruno de Lira, Andrade, Emanuel Sávio Souza, Barbosa, José Ricardo de Albergaria","Revista Brasileira de Otorrinolaringologia; 73(2); 186-192","Revista Brasileira de Otorrinolaringologia","Inglês, Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992007000200008&lang=pt" 
"S0101-74382007000100001-scl","Amostragem descritiva no apreçamento de opções européias através de simulação Monte Carlo: o efeito da dimensionalidade e da probabilidade de exercício no ganho de precisão","Saliby, Eduardo, Gouvêa, Sergio Luiz Medeiros Proença de, Marins, Jaqueline Terra Moura","Pesquisa Operacional; 27(1); 1-13","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100001&lang=pt" 
"S0101-74382007000100002-scl","Economic efficiency of Embrapa&#039;s research centers and the influence of contextual variables","Souza, Geraldo da Silva e, Gomes, Eliane Gonçalves, Magalhães, Marília Castelo, Ávila, Antonio Flávio Dias","Pesquisa Operacional; 27(1); 15-26","Pesquisa Operacional","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100002&lang=pt" 
"S0101-74382007000100006-scl","Controle on-line por atributos com erros de classificação: uma abordagem econômica com classificações repetidas","Trindade, Anderson Laécio Galindo, Ho, Linda Lee, Quinino, Roberto da Costa","Pesquisa Operacional; 27(1); 105-116","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100006&lang=pt" 
"S0101-74382007000100003-scl","Um algoritmo exato para o problema de programação de projetos com custo de disponibilidade de recursos e múltiplos modos","Yamashita, Denise Sato, Morabito, Reinaldo","Pesquisa Operacional; 27(1); 27-49","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100003&lang=pt" 
"S0101-74382007000100004-scl","Um modelo de análise envoltória de dados para o estabelecimento de metas de continuidade do fornecimento de energia elétrica","Pessanha, José Francisco Moreira, Souza, Reinaldo Castro, Laurencel, Luiz da Costa","Pesquisa Operacional; 27(1); 51-83","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100004&lang=pt" 
"S0101-74382007000100005-scl","Otimização na formação de agrupamentos em problemas de composição de especialistas","Scarpel, Rodrigo Arnaldo, Milioni, Armando Zeferino","Pesquisa Operacional; 27(1); 85-104","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100005&lang=pt" 
"S0101-74382007000100007-scl","Synthetic control charts with two-stage sampling for monitoring bivariate processes","Costa, Antonio F. B., Machado, Marcela A. G.","Pesquisa Operacional; 27(1); 117-130","Pesquisa Operacional","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100007&lang=pt" 
"S0101-74382007000100008-scl","Sistema imunológico artificial para resolver o problema da árvore geradora mínima com parâmetros fuzzy","Almeida, Tiago Agostinho, Yamakami, Akebo, Takahashi, Márcia Tomie","Pesquisa Operacional; 27(1); 131-154","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100008&lang=pt" 
"S0101-74382007000100009-scl","Um modelo de otimização para o problema integrado de dimensionamento de lotes e programação da produção em fábricas de refrigerantes","Toledo, Claudio F. M., França, Paulo M., Morabito, Reinaldo, Kimms, Alf","Pesquisa Operacional; 27(1); 155-186","Pesquisa Operacional","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382007000100009&lang=pt" 
"S1135-57272007000200001-esp","El sexo de los indicadores y el género de las desigualdades","Colomer Revuelta, Concha","Revista Española de Salud Pública; 81(2); 91-93","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200001&lang=pt" 
"S1135-57272007000200007-esp","Indicadores de discapacidad en la Encuesta de Discapacidades, Deficiencias y Estado de Salud","Cabrero García, Julio","Revista Española de Salud Pública; 81(2); 167-181","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200007&lang=pt" 
"S1135-57272007000200003-esp","Relación entre la asistencia a guarderías y enfermedad infecciosa aguda en la infancia: Una revisión sistemática","Ochoa Sangrador, Carlos, Barajas Sánchez, Mª Verísima, Muñoz Martín, Beatriz","Revista Española de Salud Pública; 81(2); 113-129","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200003&lang=pt" 
"S1135-57272007000200010-esp","Estimación de los costos de la detección de casos de tuberculosis: Municipio Habana Vieja. 2002","Peralta Pérez, Mariana, Gálvez González, Ana M., González Ochoa, Edilberto","Revista Española de Salud Pública; 81(2); 201-209","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200010&lang=pt" 
"S1135-57272007000200009-esp","Impacto en Asturias de las urgencias de atención primaria sobre las hospitalarias: Un análisis de cointegración de series temporales","Oterino de la Fuente, David, Baños Pino, JF, Fernández Blanco, V., Rodríguez-Álvarez, A.","Revista Española de Salud Pública; 81(2); 191-200","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200009&lang=pt" 
"S0103-84782007000200050-scl","Acidente provocado por picada de abelhas como causa de morte de cães","Fighera, Rafael Almeida, Souza, Tatiana Mello de, Barros, Claudio Severo Lombardo de","Ciência Rural; 37(2); 590-593","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200050&lang=pt" 
"S0103-84782007000200049-scl","Cholelithiasis with atrophy of the right lateral hepatic lobe in a horse","Santos, Renato de Lima, Oliveira, Tatiane de Fátima Brandão de, Oliveira, Taismara Simas de, Galvão, João Felipe Brito, Paixão, Tatiane Alves da, Goloubeff, Barbara","Ciência Rural; 37(2); 586-589","Ciência Rural","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200049&lang=pt" 
"S1135-57272007000200005-esp","Concepciones, confusiones y contradicciones del factor de impacto en Colombia","Leon-Sarmiento, Fidias E., Bayona-Prieto, Jaime, Leon-S, Martha E.","Revista Española de Salud Pública; 81(2); 147-154","Revista Española de Salud Pública","Espanhol","2007","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272007000200005&lang=pt" 
"S0103-84782007000200010-scl","Ácido giberélico e dia curto interrompido em crisântemo de corte (Dendranthema grandiflora, Tzvelev., &quot;Gompier Chá&quot;)","Bellé, Rogério Antônio, Roggia, Samuel, Kuss, Rejane Cristina Roppa","Ciência Rural; 37(2); 357-362","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200010&lang=pt" 
"S0103-84782007000200002-scl","Aspectos biológicos da fase adulta dos curculionídeos-das-raízes dos citros","Guedes, Jerson Vanderlei Carús, Parra, José Roberto Postali, Fiorin, Rubens Alex","Ciência Rural; 37(2); 304-307","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200002&lang=pt" 
"S0103-84782007000200008-scl","Conservação pós-colheita de pinhões [sementes de Araucaria angustifolia (Bertoloni) Otto Kuntze] armazenados em diferentes temperaturas","Amarante, Cassandro Vidal Talamini do, Mota, Clenilso Sehnen, Megguer, Clarice Aparecida, Ide, Gilberto Massachi","Ciência Rural; 37(2); 346-351","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200008&lang=pt" 
"S0103-84782007000200007-scl","Variabilidade fenotípica de caracteres adaptativos da aveia branca (Avena sativa L.) em cruzamentos dialélicos","Hartwig, Irineu, Silva, José Antônio Gonzalez da, Carvalho, Fernando Irajá Félix de, Oliveira, Antonio Costa de, Bertan, Ivandro, Valério, Igor Pires, Silva, Giovani Olegário da, Ribeiro, Guilherme, Finatto, Taciane, Silveira, Gustavo da","Ciência Rural; 37(2); 337-345","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200007&lang=pt" 
"S0103-84782007000200006-scl","População de plantas, dose de nitrogênio e aplicação de fungicida na produção de arroz irrigado: I-características agronômicas","Marzari, Victor, Marchezan, Enio, Silva, Leandro Souza da, Camargo, Edinalvo Rabaioli, Teló, Gustavo Mack","Ciência Rural; 37(2); 330-336","Ciência Rural","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782007000200006&lang=pt" 
