"S0011-85162015000200002-sza","The unfinished symphony","Evans, WG","South African Dental Journal; 70(2); 48-48","South African Dental Journal","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0011-85162015000200002&lang=pt" 
"S1413-81232015000300865-spa","Letramento em saúde de diabéticos tipo 2: fatores associados e controle glicêmico","Sampaio, Helena Alves de Carvalho, Carioca, Antônio Augusto Ferreira, Sabry, Maria Olganê Dantas, Santos, Patrícia Mariano dos, Coelho, Maria Auristela Magalhães, Passamai, Maria da Penha Baião","Ciência &amp; Saúde Coletiva; 20(3); 865-874","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300865&lang=pt" 
"S0102-86502015000300194-scl","Prevention of peritoneal adhesion using a bacterial cellulose hydrogel, in experimental study","Coelho Junior, Elísio Rodrigues, Costa, Laura Olinda Bregieiro Fernandes, Alencar, Arinaldo Vasconcelos, Barbosa, Ana Paula Guimarães, Pinto, Flávia Crisina Morone, Aguiar, José Lamartine de Andrade","Acta Cirurgica Brasileira; 30(3); 194-198","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300194&lang=pt" 
"S0102-86502015000300199-scl","Preconditioning with L-alanyl-glutamine upon cerebral edema and hypocampus red neurons counting in rats subjected to brain ischemia /reperfusion injury","Vasconcelos, Paulo Roberto Cavalcante de, Guimarães, André Brito Bastos, Campelo, Marcio Wilker Soares, Vasconcelos, Paulo Roberto Leitão de, Guimaraes, Sergio Botelho","Acta Cirurgica Brasileira; 30(3); 199-203","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300199&lang=pt" 
"S1413-81232015000300947-spa","Análise da utilização das informações do Sistema de Informação de Atenção Básica (SIAB): uma revisão integrativa","Carreno, Ioná, Moreschi, Claudete, Marina, Bruna, Hendges, Deise Juliana Beckel, Rempel, Claudete, Oliveira, Monica Maria Celestina de","Ciência &amp; Saúde Coletiva; 20(3); 947-956","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300947&lang=pt" 
"S1413-81232015000300957-spa","Czeresnia D, Maciel EMGS, Oviedo RAM. Os sentidos da saúde e da doença. Rio de Janeiro: Fiocruz; 2013.","Silva, Alan Camargo, Ferreira, Jaqueline","Ciência &amp; Saúde Coletiva; 20(3); 957-958","Ciência &amp; Saúde Coletiva","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300957&lang=pt" 
"S0102-86502015000300216-scl","Reduction of contractility and reactivity in isolated lymphatics from hemorrhagic shock rats with resuscitation","Wang, Huai-huai, Zhang, Li-min, Zhao, Zi-gang, Niu, Chun-yu","Acta Cirurgica Brasileira; 30(3); 216-221","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300216&lang=pt" 
"S1413-81232015000300797-spa","Unawareness of hypertension and its determinants among &#039;quilombolas&#039; (inhabitants of &#039;quilombos&#039; - hinterland settlements founded by people of African origin) living in Southwest Bahia, Brazil","Bezerra, Vanessa Moraes, Andrade, Amanda Cristina de Souza, César, Cibele Comini, Caiaffa, Waleska Teixeira","Ciência &amp; Saúde Coletiva; 20(3); 797-807","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300797&lang=pt" 
"S1413-81232015000300789-spa","Physical benefits and reduction of depressive symptoms among the elderly: Results from the Portuguese &quot;National Walking Program&quot;","Branco, Jeronimo Costa, Jansen, Karen, Sobrinho, Jessica Teixeira, Carrapatoso, Susana, Spessato, Barbara, Carvalho, Joana, Mota, Jorge, Silva, Ricardo Azevedo da","Ciência &amp; Saúde Coletiva; 20(3); 789-795","Ciência &amp; Saúde Coletiva","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232015000300789&lang=pt" 
"S0718-58392015000100016-chl","Contribution of legumes to the availability of soil nitrogen and its uptake by wheat in Mediterranean environments of central Chile","Espinoza, Soledad, Ovalle, Carlos, Zagal, Erick, Matus, Iván, del Pozo, Alejandro","Chilean journal of agricultural research; 75(1); 111-121","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100016&lang=pt" 
"S0718-58392015000100017-chl","Genetic variability analysis of faba bean accessions using Inter-simple sequence repeat (ISSR) markers","Salazar-Laureles, María E, Pérez-López, Delfina de J, González-Huerta, Andrés, Vázquez-García, Luis M, Valadez-Moctezuma, Ernestina","Chilean journal of agricultural research; 75(1); 122-130","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100017&lang=pt" 
"S0718-58392015000100014-chl","Relationship between mineralized nitrogen during anaerobic incubations and residual effect of nitrogen fertilization in two rice paddy soils in Chile","Villaseñor, Diego, Zagal, Erick, Stolpe, Neal, Hirzel, Juan","Chilean journal of agricultural research; 75(1); 98-104","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100014&lang=pt" 
"S0718-58392015000100012-chl","Recovery of root growth and physiological characters in cotton after salt stress relief","Guo, Wen-Qi, Zhang, Pei-Tong, Li, Chun-Hong, Yin, Jian-Mei, Han, Xiao-Yong","Chilean journal of agricultural research; 75(1); 85-91","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100012&lang=pt" 
"S0718-58392015000100011-chl","Distribution and prevalence of crown rot pathogens affecting wheat crops in southern Chile","Moya-Elizondo, Ernesto, Arismendi, Nolberto, Castro, María Paz, Doussoulin, Herman","Chilean journal of agricultural research; 75(1); 78-84","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100011&lang=pt" 
"S0718-58392015000100008-chl","Modeling codling moth (Lepidoptera: Tortricidae) phenology and predicting egg hatch in apple orchards of the Maule Region, Chile","Barros-Parada, Wilson, Knight, Alan L, Fuentes-Contreras, Eduardo","Chilean journal of agricultural research; 75(1); 57-62","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100008&lang=pt" 
"S0718-58392015000100004-chl","Performance of faba bean genotypes with Orobanche foetida Poir. and Orobanche crenata Forsk. infestation in Tunisia","Trabelsi, Imen, Abbes, Zouhaier, Amri, Moez, Kharrat, Mohamed","Chilean journal of agricultural research; 75(1); 27-34","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100004&lang=pt" 
"S0718-58392015000100006-chl","Content of nitrates in potato tubers depending on the organic matter, soil fertilizer, cultivation simplifications applied and storage","Pobereżny, Jaroslaw, Wszelaczyńska, Elzbieta, Wichrowska, Dorota, Jaskulski, Dariusz","Chilean journal of agricultural research; 75(1); 42-49","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100006&lang=pt" 
"S0718-58392015000100001-chl","Relationships between phenotypic variation in osmotic adjustment, water-use efficiency, and drought tolerance of seven cultivars of Lotus corniculatus L.","Inostroza, Luis, Acuña, Hernán, Tapia, Gerardo","Chilean journal of agricultural research; 75(1); 3-12","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100001&lang=pt" 
"S0718-58392015000100003-chl","Effects of different potting growing media for Petunia grandiflora and Nicotiana alata Link &amp; Otto on photosynthetic capacity, leaf area, and flowering potential","Popescu, Gheorghe Cristian, Popescu, Monica","Chilean journal of agricultural research; 75(1); 21-26","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100003&lang=pt" 
"S0718-58392015000100002-chl","Seed quality and water use characteristics of maize landraces compared with selected commercial hybrids","Mazvimbakupa, Farai, Thembinkosi Modi, Albert, Mabhaudhi, Tafadzwanashe","Chilean journal of agricultural research; 75(1); 13-20","Chilean journal of agricultural research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-58392015000100002&lang=pt" 
"S0102-86502015000300229-scl","Is previous experience in laparoscopic necessary to perform robotic radical prostatectomy? A comparative study with robotic and the classic open procedure in patients with prostate cancer","Lott, Felipe Monnerat, Favorito, Luciano Alves","Acta Cirurgica Brasileira; 30(3); 229-234","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300229&lang=pt" 
"S0102-86502015000300222-scl","Effects of ropivacaine combined with morphine at 0.15 and 0.2 mg kg-1 in bitches undergoing epidural anesthesia","Albuquerque, Verônica Batista de, Araújo, Marcelo Augusto de, Ferreira, Gabriel Thadeu Nogueira Martins, Fonseca, Mariana Werneck, Arruda, André Moreira Martins, ShiChen, Lu, Oliva, Valéria Nobre Leal de Souza","Acta Cirurgica Brasileira; 30(3); 222-238","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300222&lang=pt" 
"S0102-86502015000300186-scl","Effect of sugarcane biopolymer in vocal fold of rabbits. Comparative study with calcium hydroxyapatite","Vasconcelos, Silvio José de, Leão, Rodrigo Augusto Souza, Bernardino-Araújo, Sidcley, Lira, Mariana Montenegro de Melo, Tsuji, Domingos Hiroshi","Acta Cirurgica Brasileira; 30(3); 186-193","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300186&lang=pt" 
"S0102-86502015000300204-scl","Use of low-power laser to assist the healing of traumatic wounds in rats","Calisto, Fernanda Camila Ferreira da Silva, Calisto, Sérgio Luís da Silva, Souza, Amanda Pires de, França, Cristiane Miranda, Ferreira, Ana Paula de Lima, Moreira, Márcia Bento","Acta Cirurgica Brasileira; 30(3); 204-208","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300204&lang=pt" 
"S0102-86502015000300178-scl","Respiratory immunohistochemical study in rats exposed to cigarette smoke and alcohol","Magnani, Karla Luciana, Cataneo, Daniele Cristina, Domingues, Maria Aparecida Custódio, Hasimoto, Erica Nishida, Evaristo, Thaiane Cristine, Cataneo, Antônio José Maria","Acta Cirurgica Brasileira; 30(3); 178-185","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300178&lang=pt" 
"S0102-86502015000300170-scl","Clotting Factor XIII and desmopressin improve hemostasis in uncontrolled bleeding","Carreiro, Paulo Roberto Lima, Rezende-Neto, Joao Baptista de, Lisboa, Thiago de Assis, Ribeiro, Daniel Dias, Camargos, Elizabeth Ribeiro da Silva, Andrade, Marcus Vinicius de Melo, Rizoli, Sandro Baletotti, Melo, Jose Renan da Cunha","Acta Cirurgica Brasileira; 30(3); 170-177","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300170&lang=pt" 
"S0102-86502015000300165-scl","Fasting does not induce gastric emptying in rats","Brito, Marcus Vinicius Henriques, Yasojima, Edson Yuzur, Teixeira, Renan Kleber Costa, Houat, Abdallah de Paula, Yamaki, Vitor Nagai, Costa, Felipe Lobato da Silva","Acta Cirurgica Brasileira; 30(3); 165-169","Acta Cirurgica Brasileira","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502015000300165&lang=pt" 
"S1405-31952015000200007-mex","Manejo y síndromes de domesticación del capulín (Prunus serotina Ehrh ssp. capuli (Cav.) Mc Vaugh) en comunidades del estado de Tlaxcala","Avendaño-Gómez, Aidé, Lira-Saade, Rafael, Madrigal-Calle, Beatriz, García-Moya, Edmundo, Soto-Hernández, Marcos, Romo de Vivar-Romo, Alfonso","Agrociencia; 49(2); 189-204","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200007&lang=pt" 
"S2007-11242015000100002-mex","Análisis de PCR-RFLP del gen de leptina y su asociación con características de la leche en ganado nativo (Bos indicus) de Irán","Rezaei, Mojtaba, Mirhosseini, Seyed Ziaeddin, Hossein-Zadeh, Navid Ohavi","Revista mexicana de ciencias pecuarias; 6(1); 15-24","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100002&lang=pt" 
"S2007-11242015000100007-mex","Actividad diferencial de fagocitosis e inducción de apoptosis in vitro por serotipos capsulares 5 y 8 de Staphylococcus aureus en neutrófilos de bovinos","Montoya García, Nancy, Peñuela Rivas, Claudia Giovanna, Acosta Dibarrat, Jorge Pablo, Velázquez Ordoñez, Valente","Revista mexicana de ciencias pecuarias; 6(1); 99-108","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100007&lang=pt" 
"S1405-31952015000200002-mex","Dinámicas y tendencias de la ganadería doble propósito en el sur del Estado de México","García-Martínez, Anastacio, Albarrán-Portillo, Benito, Avilés-Nova, Francisca","Agrociencia; 49(2); 125-139","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200002&lang=pt" 
"S2007-11242015000100008-mex","Conducta estral circanual en ovejas Pelibuey bajo condiciones áridas del noroeste de México","Gastelum-Delgado, Miguel A., Avendaño-Reyes, Leonel, Álvarez-Valenzuela, Francisco D., Correa-Calderón, Abelardo, Meza-Herrera, César A., Mellado, Miguel, Macías-Cruz, Ulises","Revista mexicana de ciencias pecuarias; 6(1); 109-118","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100008&lang=pt" 
"S1405-31952015000200004-mex","Water relations and photosynthesis of young coffee plants under two water regimes and different N and K doses","Andrade, Marcela A. Frois de, Cairo, Paulo A. Ramos, Santos, Jerffson L.","Agrociencia; 49(2); 153-161","Agrociencia","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200004&lang=pt" 
"S2007-11242015000100001-mex","Efecto de la proporción de genes Bos indicus x Bos taurus sobre peso al destete y edad a primer parto en una población multirracial","Toledo Alvarado, Hugo O., Berruecos Villalobos, José М., Vázquez Peláez, Carlos G.","Revista mexicana de ciencias pecuarias; 6(1); 1-13","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100001&lang=pt" 
"S1405-31952015000200001-mex","Association of IGF-1 content with whole, reduced-fat, and low-fat milk in México","Marín-Quiroga, Arlette, Villanueva-Fierro, Ignacio, Rodríguez-Pérez, M. Alberto, Lares-Asseff, I. Antonio, Cháirez-Hernández, Isaías, Proal-Nájera, J. Bernardo","Agrociencia; 49(2); 113-123","Agrociencia","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200001&lang=pt" 
"S1405-31952015000200008-mex","Calidad del agua en la producción de Pinus cembroides Zucc. en vivero","Gutiérrez-García, Jesús V., Rodríguez-Trejo, Dante A., Villanueva-Morales, Antonio, García-Díaz, Silvia, Romo-Lozano, José L.","Agrociencia; 49(2); 205-219","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200008&lang=pt" 
"S1405-31952015000200003-mex","Evaluación de azúcares y fibra soluble en el jugo de variantes de tunas (Opuntia spp.)","Zenteno-Ramírez, Gabriela, Juárez-Flores, B. Irene, Aguirre-Rivera, J. Rogelio, Ortiz-Pérez, M. Deogracias, Zamora-Pedraza, Cynthia, Rendón-Huerta, J. Antonio","Agrociencia; 49(2); 141-152","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200003&lang=pt" 
"S1405-31952015000200006-mex","Potencial dendroclimático de la madera temprana y tardía de Pinus cooperi Blanco","Pompa-García, Marín, Camarero-Martínez, J. Julio","Agrociencia; 49(2); 177-187","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200006&lang=pt" 
"S1405-31952015000200005-mex","Tasa de asimilación neta y rendimiento de girasol en función de urea y urea de liberación lenta","Morales Morales, E. Javier, Morales-Rosales, E. Jesús, Díaz-López, Ernesto, Cruz-Luna, A. Josefina, Medina-Arias, Norma, Guerrero-De la Cruz, Mario","Agrociencia; 49(2); 163-176","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200005&lang=pt" 
"S2007-11242015000100006-mex","Múltiples abscesos en un cerdo causados por Trueperella pyogenes (Arcanobacterium pyogenes): Reporte de caso","Verjan García, Noel, Almario Leiva, Geiner Alberto, Romero Jola, Néstor Jaime, Fandiño, Luz Clemencia","Revista mexicana de ciencias pecuarias; 6(1); 91-98","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100006&lang=pt" 
"S2007-11242015000100005-mex","Síndrome reproductivo y respiratorio del cerdo(PRRS): Revisión","López-Heydeck, Sandra Maricruz, Alonso-Morales, Rogelio Alejandro, Mendieta-Zerón, Hugo, Vázquez-Chagoyán, Juan Carlos","Revista mexicana de ciencias pecuarias; 6(1); 69-89","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100005&lang=pt" 
"S2007-11242015000100003-mex","Relación valina:lisina digestible en la dieta de pollos de engorda","Potença, Alexandra, Murakami, Alice Eiko, Ospina-Rojas, Iván Camilo, Muller Fernandes, Jovanir Inês","Revista mexicana de ciencias pecuarias; 6(1); 25-37","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100003&lang=pt" 
"S1405-31952015000200009-mex","Estimación de coeficientes de cultivo mediante sensores remotos en el distrito de riego Río Yaqui, Sonora, México","Castañeda-Ibáñez, Carlos R., Martínez-Menes, Mario, Pascual-Ramírez, Fermín, Flores-Magdaleno, Héctor, Fernández-Reynoso, Demetrio S., Esparza-Govea, Salvador","Agrociencia; 49(2); 221-232","Agrociencia","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-31952015000200009&lang=pt" 
"S2007-11242015000100004-mex","Efectos de los RNAm maternos sobre la maduración del ovocito y el desarrollo embrionario temprano en mamíferos: Revisión","Burrola-Barraza, М. Eduviges, González-Rodríguez, Everardo","Revista mexicana de ciencias pecuarias; 6(1); 39-68","Revista mexicana de ciencias pecuarias","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242015000100004&lang=pt" 
"S0871-018X2015000100016-prt","Desempenho agronómico e dissimilaridade genética entre genótipos de soja","Torres, Francisco E., David, Guilherme V., Teodoro, Paulo E., Ribeiro, Larissa P., Correa, Caio G., Júnior, Roque A. Luz","Revista de Ciências Agrárias; 38(1); 111-117","Revista de Ciências Agrárias","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2015000100016&lang=pt" 
"S0871-018X2015000100010-prt","Uniformidade de distribuição de água do microaspersor MC-20","Martins, Paulo E. S., Silva, Elcides R. da, Santana, Vinícius G., Neto, Jerônimo A. de Araújo, Zanini, José R.","Revista de Ciências Agrárias; 38(1); 65-70","Revista de Ciências Agrárias","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2015000100010&lang=pt" 
"S0871-018X2015000100006-prt","Efeito dos reguladores giberelina e citocinina na quebra de dormência de sementes de capim-andropogon","Feitosa, Francielle M., Júnior, Ildeu O. A., David, Andréia Márcia S. S., Rodrigues, Bruno Rafael A., Damascena, Nayara S., Araújo, Edcássio D., Amaro, Hugo Tiago R.","Revista de Ciências Agrárias; 38(1); 34-40","Revista de Ciências Agrárias","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2015000100006&lang=pt" 
"S0871-018X2015000100008-prt","Performance and carcass characteristics of Santa Inês lambs fed protein diets","Silva, Janaina L., Ribeiro, Karina G., Pereira, Odilon G., Filho, Sebastião C. Valadares, Pina, Douglas S., Paulino, Pedro V. R.","Revista de Ciências Agrárias; 38(1); 49-57","Revista de Ciências Agrárias","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2015000100008&lang=pt" 
"S0016-71692015000100004-mex","Estimation of multiple density-depth parameters from gravity inversion: Application to detached hanging wall systems of strike limited listric fault morphologies","Chakravarthi, V., Pramod Kumar, M.","Geofísica internacional; 54(1); 49-65","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100004&lang=pt" 
"S0016-71692015000100001-mex","Two algorithms to compute the electric resistivity response using Green&#039;s functions for 3D structures","Flores-Márquez, E. Leticia, Tejero-Andrade, Andrés, León-Sánchez, Adrián, Arango-Galván, Claudia, Chávez-Segura, René","Geofísica internacional; 54(1); 7-20","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100001&lang=pt" 
"S0016-71692015000100002-mex","Dynamics of internal waves generated by mountain breeze in Alchichica Crater Lake, Mexico","Filonov, Anatoliy, Tereshchenko, Iryna, Alcocer, Javier, Monzón, Cesar","Geofísica internacional; 54(1); 21-30","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100002&lang=pt" 
"S0016-71692015000100006-mex","Seismicity in the Basin and Range Province of Sonora, México, between 2003 and 2011, near the Rupture of the 3 May 1887 Mw 7.5 Earthquake","Castro, Raúl R.","Geofísica internacional; 54(1); 83-94","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100006&lang=pt" 
"S0016-71692015000100003-mex","Forward modeling of gravitational fields on hybrid multi-threaded cluster","Couder-Castañeda, Carlos, Ortiz-Alemán, José Carlos, Orozco-del-Castillo, Mauricio Gabriel, Nava-Flores, Mauricio","Geofísica internacional; 54(1); 31-48","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100003&lang=pt" 
"S0016-71692015000100007-mex","Evaluation of soil liquefaction from surface analysis","Ovando Shelley, Efraín, Mussio, Vanessa, Rodríguez, Miguel, Acosta Chang, José G.","Geofísica internacional; 54(1); 95-109","Geofísica internacional","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0016-71692015000100007&lang=pt" 
