"S0871-34132006000200004-prt","Gastric cancer: frequency and trends","Lunet, Nuno","Arquivos de Medicina; 20(3); 79-85","Arquivos de Medicina","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-34132006000200004&lang=pt" 
"S0365-66912006000500011-esp","Remedios oftálmicos en la materia médica de Dioscórides (II)","López de Letona, C.","Archivos de la Sociedad Española de Oftalmología; 81(5); 301-302","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500011&lang=pt" 
"S0365-66912006000500004-esp","Evaluación de archivos de la Sociedad Española de Oftalmología según criterios del «Institute for Scientific Information» para la selección de revistas científicas","Ruiz-Pérez, R., Delgado López-Cózar, E., Jiménez-Contreras, E.","Archivos de la Sociedad Española de Oftalmología; 81(5); 245-268","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500004&lang=pt" 
"S0365-66912006000500005-esp","Drusas del nervio óptico y defectos campimétricos severos","Calvo-González, C., Santos-Bueso, E., Díaz-Valle, D., Reche-Frutos, J., Moriche-Carretero, M., Benítez-Del-Castillo, J.M., García-Sánchez, J.","Archivos de la Sociedad Española de Oftalmología; 81(5); 269-274","Archivos de la Sociedad Española de Oftalmología","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0365-66912006000500005&lang=pt" 
"S1130-52742006000100001-esp","Orden social y salud mental: Una aproximación desde el bienestar social","Blanco, Amalio, Díaz, Darío","Clínica y Salud; 17(1); 7-29","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100001&lang=pt" 
"S1130-52742006000100002-esp","Evaluación del estilo cognitivo «Dependencia/independencia de campo» en el contexto de los problemas de ansiedad","Ramos Martín, Juan Manuel","Clínica y Salud; 17(1); 31-49","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100002&lang=pt" 
"S1130-52742006000100006-esp","Wolfgang Amadeus Mozart: La trágica independencia de un genio","Muñoz Guillén, Mª Teresa","Clínica y Salud; 17(1); 119-121","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100006&lang=pt" 
"S1130-52742006000100004-esp","Perspectivas actuales en el tratamiento del trastorno de estrés postraumático en la población infantil: Análisis bibliométrico","Bas Sarmiento, Pilar, Fernández Gutierrez, Martina, Barbacil Vicario, Ainhoa, Guitiérrez Vázquez, Celia-Victoria","Clínica y Salud; 17(1); 69-89","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100004&lang=pt" 
"S1130-52742006000100005-esp","Recientes resultados en el tratamiento del tabaquismo femenino","Muñoz, Miguel A., Baena, Antoni G., Cepeda-Benito, Antonio","Clínica y Salud; 17(1); 91-117","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100005&lang=pt" 
"S1130-52742006000100003-esp","Problemas emocionales y de conducta en hermanos de menores con diagnóstico de trastorno mental","Cagical de Gregorio, Virginia, Prieto-Usía, María","Clínica y Salud; 17(1); 51-68","Clínica y Salud","Espanhol","2006","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-52742006000100003&lang=pt" 
"S0873-65612006000100001-prt","A patologização da diversidade: uma reflexão antropológica sobre a noção de Culture-Bound Syndrome","Pussetti, Chiara","Etnográfica; 10(1); 05-40","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100001&lang=pt" 
"S0873-65612006000100002-prt","Os &quot;camponeses&quot; e o &quot;imperador&quot;: Reflexões etnográficas sobre orizicultura intensiva e estratificação social no Sudeste da China rural","Santos, Gonçalo Duro dos","Etnográfica; 10(1); 41-70","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100002&lang=pt" 
"S0873-65612006000100003-prt","Social movements in islamic contexts: anthropological approaches","Silva, Maria Cardeira da","Etnográfica; 10(1); 73-83","Etnográfica","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100003&lang=pt" 
"S0873-65612006000100004-prt","Secularism and islamic modernism in Turkey","Cinar, Alev","Etnográfica; 10(1); 85-96","Etnográfica","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100004&lang=pt" 
"S0873-65612006000100005-prt","Public islam and the common good","Eickelman, Dale F., Salvatore, Armando","Etnográfica; 10(1); 97-105","Etnográfica","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100005&lang=pt" 
"S0873-65612006000100006-prt","Other feminisms? Muslim associations and women’s participation in Morocco","Ramírez, Ángeles","Etnográfica; 10(1); 107-119","Etnográfica","Inglês","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100006&lang=pt" 
"S0873-65612006000100007-prt","Teoria feminista, agência e sujeito liberatório: algumas reflexões sobre o revivalismo islâmico no Egipto","Mahmood, Saba","Etnográfica; 10(1); 121-158","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100007&lang=pt" 
"S0873-65612006000100008-prt","Alteridade e experiência: Antropologia e teoria etnográfica","Goldman, Marcio","Etnográfica; 10(1); 161-173","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100008&lang=pt" 
"S0873-65612006000100009-prt","Entrevista com SIDNEY MINTZ","Bastos, Cristiana, Almeida, Miguel Vale de","Etnográfica; 10(1); 177-191","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100009&lang=pt" 
"S0873-65612006000100010-prt","Sobre sem rede: Ruy Duarte de Carvalho - trajectos e derivas","Amaral, Ana Rita","Etnográfica; 10(1); 195-198","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100010&lang=pt" 
"S0873-65612006000100012-prt","Outros trópicos: Novos destinos turísticos. Novos terrenos da Antropologia","Gonçalves, Ana","Etnográfica; 10(1); 203-204","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100012&lang=pt" 
"S0873-65612006000100013-prt","A arte xávega na Praia da Vieira: Histórias e imagens","Mendes, Paulo","Etnográfica; 10(1); 204-206","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100013&lang=pt" 
"S0873-65612006000100014-prt","Sonoridades luso-afro-brasileiras","Reis, Filipe","Etnográfica; 10(1); 206-209","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100014&lang=pt" 
"S0873-65612006000100015-prt","A leitura pública no Portugal contemporâneo (1926-1987)","Trindade, Luís","Etnográfica; 10(1); 209-211","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100015&lang=pt" 
"S0873-65612006000100011-prt","","Ribeiro, Fernando Bessa","Etnográfica; 10(1); 201-203","Etnográfica","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-65612006000100011&lang=pt" 
"S0873-21592006000300001-prt","Para uma maior divulgação da pneumologia portuguesa","Sotto-Mayor, Renato","Revista Portuguesa de Pneumologia; 12(3); 223-224","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300001&lang=pt" 
"S0873-21592006000300002-prt","Hérnias diafragmáticas traumáticas: Revisão casuística","Sousa, JPA, Baptista, JP, Martins, L, Pimentel, J","Revista Portuguesa de Pneumologia; 12(3); 225-239","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300002&lang=pt" 
"S0873-21592006000300003-prt","O trabalho de caminhada dos seis minutos não se correlaciona com o grau de obstrução do fluxo aéreo em doentes portadores de Doença Pulmonar Obstrutiva Crónica (DPOC)","Teixeira, Paulo José Zimermann, Costa, Cássia Cínara, Berton, Danilo Cortozi, Versa, Greice, Bertoletti, Otávio, Canterle, Dáversom Bordin","Revista Portuguesa de Pneumologia; 12(3); 241-253","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300003&lang=pt" 
"S0873-21592006000300004-prt","Adenocarcinoma do pulmão: Aplicação da classificação WHO 1999/2004 à casuística do Serviço de Anatomia Patológica do Hospital da Universidade de Coimbra","Carvalho, Lina","Revista Portuguesa de Pneumologia; 12(3); 255-268","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300004&lang=pt" 
"S0873-21592006000300005-prt","Tumor glómico do pulmão: Apresentação de um caso pouco frequente","Sousa, Vítor, Carvalho, Lina","Revista Portuguesa de Pneumologia; 12(3); 269-274","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300005&lang=pt" 
"S0873-21592006000300006-prt","Hiperplasia linfóide angiofolicular - Doença de Castleman - do mediastino: Apresentação de um caso clínico","Sousa, Vitor, Carvalho, Lina","Revista Portuguesa de Pneumologia; 12(3); 275-280","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300006&lang=pt" 
"S0873-21592006000300007-prt","Ventilação mecânica e obstinação terapêutica ou distanásia, a dialéctica da alta tecnologia em medicina intensiva","Monteiro, Filipe","Revista Portuguesa de Pneumologia; 12(3); 281-291","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300007&lang=pt" 
"S0873-21592006000300008-prt","A propósito de um caso de imunodeficiência comum variável: Revisão das hipogamaglobulinemias","Lopes, Alexandra, Barata, Fernando","Revista Portuguesa de Pneumologia; 12(3); 293-301","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300008&lang=pt" 
"S0873-21592006000300009-prt","Diagnóstico pouco usual de obstrução da traqueia","Damas, C, Fernandes, G, Magalhães, A, Hespanhol, VP","Revista Portuguesa de Pneumologia; 12(3); 303-308","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300009&lang=pt" 
"S0873-21592006000300010-prt","Resultados da ventilação não invasiva por pressão positiva dirigida à máxima redução da PACO2 em doentes com DPOC estável","Windisch, W, Kostié, S, Dreher, M, Virchow, J C, Sorichter, S","Revista Portuguesa de Pneumologia; 12(3); 309-311","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300010&lang=pt" 
"S0873-21592006000300011-prt","A actividade física e o internamento por exacerbação da DPOC","Pitta, F, Troosters, T, Probst, VS, Spruit, MA, Decramer, M, Gosselink, R","Revista Portuguesa de Pneumologia; 12(3); 312-315","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300011&lang=pt" 
"S0873-21592006000300012-prt","Diferenças entre o homem e a mulher na apresentação clínica de doentes diagnosticados com síndroma de apneia obstrutiva do sono","Shepertycky, MR, Banno, K, Kryger, MH","Revista Portuguesa de Pneumologia; 12(3); 316-318","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300012&lang=pt" 
"S0873-21592006000300013-prt","Relação entre a duração da cessação tabágica e a inflamação brônquica na DPOC","Lapperre, T S, Postma, D S, Gosman, M M E, Snoeck-Stroband, J B, Hacken, N H T ten, Hiemstra, P S, Timens, W, Sterk, P J, Mauad, T","Revista Portuguesa de Pneumologia; 12(3); 319-321","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300013&lang=pt" 
"S0873-21592006000300014-prt","Quistos de ar paratraqueais nos homens japoneses de meia-idade","Mineshita, Masamichi, Tajima, Osamu, Kondo, Toshiro","Revista Portuguesa de Pneumologia; 12(3); 322-323","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300014&lang=pt" 
"S0873-21592006000300015-prt","Estudo em fase III da utilização de talco em pó versus talco slurry na esclerose do derrame pleural maligno","Dresler, C","Revista Portuguesa de Pneumologia; 12(3); 324-326","Revista Portuguesa de Pneumologia","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592006000300015&lang=pt" 
"S1645-05232006000200002-prt","Alterações imunológicas e antropométricas induzidas por uma ultramaratona em Kayak: Um estudo de caso","Santos, J. A. Rodrigues dos, Candeias, J., Magalhães, M.C.","Revista Portuguesa de Ciências do Desporto; 6(2); 143-153","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200002&lang=pt" 
"S1645-05232006000200003-prt","Comparação entre a intensidade do esforço realizada por jovens futebolistas no primeiro e no segundo tempo do jogo de Futebol","Mortimer, Lucas, Condessa, Luciano, Rodrigues, Vinícius, Coelho, Daniel, Soares, Danusa, Silami-Garcia, Emerson","Revista Portuguesa de Ciências do Desporto; 6(2); 154-159","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200003&lang=pt" 
"S1645-05232006000200004-prt","Exercício contínuo e intermitente: Efeitos do treinamento e do destreinamento sobre o peso corporal e o metabolismo muscular de ratos obesos","Braga, Larissa, Mello, Maria, Manchado, Fúlvia, Gobatto, Claudio","Revista Portuguesa de Ciências do Desporto; 6(2); 160-169","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200004&lang=pt" 
"S1645-05232006000200005-prt","Exercício rosca bíceps: influência do tempo de execução e da intensidade da carga na atividade eletromiográfica de músculos lombares","Oliveira, Anderson, Gonçalves, Mauro, Cardozo, Adalgiso, Barbosa, Fernando","Revista Portuguesa de Ciências do Desporto; 6(2); 170-178","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200005&lang=pt" 
"S1645-05232006000200006-prt","Efeito do número de demonstrações na aquisição de uma habilidade motora: um estudo exploratório","Bruzi, Alessandro, Palhares, Leandro, Fialho, João, Benda, Rodolfo, Ugrinowitsch, Herbert","Revista Portuguesa de Ciências do Desporto; 6(2); 179-187","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200006&lang=pt" 
"S1645-05232006000200007-prt","Análise da assimetria nos padrões fundamentais arremessar e chutar em crianças","Santos, Ilca, Lage, Guilherme, Calvacante, Adriana, Ugrinowitsch, Herbert, Benda, Rodolfo","Revista Portuguesa de Ciências do Desporto; 6(2); 188-193","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200007&lang=pt" 
"S1645-05232006000200008-prt","A competência percebida pelos alunos, as expectativas do professor e o desempenho académico: como se relacionam na disciplina de educação física?","Henrique, José, Januário, Carlos","Revista Portuguesa de Ciências do Desporto; 6(2); 194-204","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200008&lang=pt" 
"S1645-05232006000200009-prt","As associações desportivas em Porto Alegre, Brasil: espaço de representação da identidade cultural teuto-brasileira","Mazo, Janice, Gaya, Adroaldo","Revista Portuguesa de Ciências do Desporto; 6(2); 205-213","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200009&lang=pt" 
"S1645-05232006000200010-prt","Glicocorticóides e síndrome metabólica: aspectos favoráveis do exercício físico nesta patofisiologia","Pauli, J. Rodrigo, Souza, Luciana, Rogatto, Gustavo, Gomes, Ricardo, Luciano, Eliete","Revista Portuguesa de Ciências do Desporto; 6(2); 217-228","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200010&lang=pt" 
"S1645-05232006000200011-prt","Compreendendo o overtraining no desporto: da definição ao tratamento","Silva, Adelino S. R., Santhiago, Vanessa, Gobatto, Cláudio A.","Revista Portuguesa de Ciências do Desporto; 6(2); 229-238","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200011&lang=pt" 
"S1645-05232006000200012-prt","Não se deve identificar força explosiva com potência muscular, ainda que existam algumas relações entre ambas","Carvalho, Carlos, Carvalho, Alberto","Revista Portuguesa de Ciências do Desporto; 6(2); 241-248","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200012&lang=pt" 
"S1645-05232006000200013-prt","Pedagogia da viagem: Arlequim, Mestiço, Híbrido, uma colcha de retalhos","Gaya, Adroaldo","Revista Portuguesa de Ciências do Desporto; 6(2); 249-252","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200013&lang=pt" 
"S1645-05232006000200001-prt","Diário de bordo: Ventos alísios","Bento, Jorge","Revista Portuguesa de Ciências do Desporto; 6(2); 137-139","Revista Portuguesa de Ciências do Desporto","Português","2006","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-05232006000200001&lang=pt" 
"S0798-22592006000300005-ven","Producción, Composición Química y Degradabilidad Ruminal In Situ de Brachiaria humidicola (RENDLE) Schweick en el Bosque Seco Tropical","Vergara-López, Juan, Araujo-Febres, Omar","Revista Científica; 16(3); 239-248","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300005&lang=pt" 
"S0798-22592006000300006-ven","Comportamiento Productivo y Fermentación Ruminal de Corderos Suplementados con Harina de Cocoíte (Gliricidia sepium), Morera (Morus alba) y Tulipán (Hibiscus rosa-sinensis)","Mata Espinosa, Miguel A., Hernández Sánchez, David, Cobos Peralta, Mario A., Ortega Cerrilla, María Esther, Mendoza Martínez, Germán D., Arcos-García, José Luis","Revista Científica; 16(3); 249-256","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300006&lang=pt" 
"S0798-22592006000300002-ven","Valores Hematológicos de la Tortuga Verde (Chelonia mydas) presente en la Alta Guajira","Montilla Fuenmayor, Alfredo José, Hernández Rangel, Jim Lenrry, Alvarado Árraga, Mary Cruz","Revista Científica; 16(3); 219-226","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300002&lang=pt" 
"S0798-22592006000300003-ven","Variaciones de la Fragilidad Osmótica Eritrocitaria en Bovinos a Pastoreo sobre praderas con bajo contenido de Selinio y Suplementados o no con Selenio","Chihuailaf Vivanco, Ricardo Hugo, Wittwer Menge, Fernando Germán, Contreras Barriga, Pedro Alberto","Revista Científica; 16(3); 227-231","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300003&lang=pt" 
"S0798-22592006000300013-ven","Estandarización de la detección del Glicomacropéptido Por Page-SDS como índice de Adulteración de Leche","Galindo-Amaya, Luz Mila, Valbuena-Colmenares, Emiro, Rojas-Villarroel, Evelin","Revista Científica; 16(3); 208-314","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300013&lang=pt" 
"S0798-22592006000300012-ven","Determinación Microbiológica y Molecular de Listeria sp. y Listeria monocytogenes en Cerdas a nivel de una planta beneficiadora en EUA","Rivera P., Fernando H., Wesley, Irene, Hurd, Scott, Simoes, David, Sosa, Alix, Rivera, Sergio","Revista Científica; 16(3); 297-307","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300012&lang=pt" 
"S0798-22592006000300011-ven","Crecimiento Pre-Destete en Hembras Bovinas Doble Propósito","González-Stagnaro, Carlos, Rodríguez-Urbina, María A., Goicochea-Llaque, Javier, Madrid-Bury, Ninoska, González-Villalobos, Decio","Revista Científica; 16(3); 288-296","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300011&lang=pt" 
"S0798-22592006000300010-ven","Análisis de Regresión Logística para datos Correlacionados utilizando tres procedimientos del sistema Estadístico SAS","Segura Correa, José Candelario, Solis Calderón, José de Jesús, Segura Correa, Víctor Manuel","Revista Científica; 16(3); 282-287","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300010&lang=pt" 
"S0798-22592006000300014-ven","Obtención y Caracterización de dos Concentrados Proteicos a partir de Biomasa de Kluyveromyces marxianus var. marxianus cultivada en suero lácteo Desproteinizado","Cori de Mendoza, Marta Elena, Rivas, Nilo, Dorta, Blas, Pacheco de Delahaye, Emperatriz, Bertsch, Antonio","Revista Científica; 16(3); 315-324","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300014&lang=pt" 
"S0798-22592006000300007-ven","Suplementación de Mautas Mestizas de Cría con Heno de Guinea (Panicum maximum, Jacq.) y una Mezcla Alimenticia de Yacija, Harina de Maíz, Afrechillo de trigo y Sales Minerales","Caraballo, Alfredo, de Acurero, Miriam, Florio, Jazmín, Fuenmayor, Abdenago, Pirela, Manuel F., González, Ignacio","Revista Científica; 16(3); 257-263","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300007&lang=pt" 
"S0798-22592006000300008-ven","Concentraciones Sanguíneas de Calcio, Fósforo y Magnesio en Mautas Mestizas (Taurus-Indicus) Suplementadas Estratégicamente durante el periodo Peripuberal","Miranda López, Silvio, González, Decio, Rojas, Nidia, Villalobos, Gloria","Revista Científica; 16(3); 264-272","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300008&lang=pt" 
"S0798-22592006000300009-ven","Desarrollo de Embriones Caprinos In Vitro: Efecto del Co-Cultivo con Células Epiteliales de Oviducto","Bosch, Pablo, Blanch, María S., Ferrero, Susana, Díaz, Hernán, Piccatto, Fernando, Bosch, Ricardo A.","Revista Científica; 16(3); 273-281","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300009&lang=pt" 
"S0798-22592006000300004-ven","Caracterización Toxinológica del Veneno Total de la Serpiente de Cascabel Crotalus durissus cumanensis (VIPERIDAE), presente en la localidad de Porshoure, Guajira Venezolana","Pirela De las Salas, Rafael del Carmen, López-Jonsthon, Juan Carlos, Hernández Rangel, Jim Lenrry","Revista Científica; 16(3); 232-238","Revista Científica","Espanhol","2006","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-22592006000300004&lang=pt" 
