"S2007-28722013000300008-mex","La educación en sociedades líquidas","Yáñez-Velazco, Juan-Carlos","Revista iberoamericana de educación superior; 4(11); 137-137","Revista iberoamericana de educación superior","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-28722013000300008&lang=pt" 
"S1679-45082013000300012-scl","Fatores que interferem na adesão terapêutica medicamentosa em hipertensos","Daniel, Ana Carolina Queiroz Godoy, Veiga, Eugenia Velludo","Einstein (São Paulo); 11(3); 331-337","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300012&lang=pt" 
"S1679-45082013000300020-scl","Endocardite por Streptococcus gallolyticus em portadora de lúpus eritematoso sistêmico: avaliação pelo ecocardiograma tridimensional","Azevedo, Rudyney Eduardo Uchôa de, Rodrigues, Ana Clara Tude, França, Lucas Arraes de, Trindade, Maria Luciana Zacarias Hannouche da, Vieira, Marcelo Luiz Campos, Fischer, Claudio Henrique, Morhy, Samira Saady","Einstein (São Paulo); 11(3); 373-375","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300020&lang=pt" 
"S1679-45082013000300019-scl","Calcificação caseosa do anel mitral: relato de caso","França, Lucas Arraes de, Rodrigues, Ana Clara Tude, Vieira, Marcelo Luiz Campos, Oliveira, Wércules Antônio Alves de, Azevedo, Rudyney Eduardo Uchôa de, Cordovil, Adriana, Lira-Filho, Edgar Bezerra de, Fischer, Claudio Henrique, Morhy, Samira Saady","Einstein (São Paulo); 11(3); 370-372","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300019&lang=pt" 
"S1679-45082013000300018-scl","Artéria coronária direita anômala com origem na artéria pulmonar e pericardite constritiva: uma associação inusitada","Silvestre, Odilson Marcos, Adam, Eduardo Leal, Melo, Dirceu Thiago Pessoa de, Dias, Ricardo Ribeiro, Ramires, Felix J. A., Mady, Charles","Einstein (São Paulo); 11(3); 367-369","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300018&lang=pt" 
"S1679-45082013000300017-scl","Trombose muito tardia de stent coronário não farmacológico: identificando má aposição e expansão por ultrassonografia intravascular","Caixeta, Adriano, Braga, Vanessa Cristina Salomon Palma, Mintz, Gary S","Einstein (São Paulo); 11(3); 364-366","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300017&lang=pt" 
"S1679-45082013000300024-scl","Achados de microscopia eletrônica de varredura de trombo em enxerto de veia safena em paciente com infarto agudo do miocárdio","Borges, Marcela Dias, Aguillera, André Haraguti, Brilhante, José Joaquim, Caixeta, Adriano","Einstein (São Paulo); 11(3); 398-399","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300024&lang=pt" 
"S1679-45082013000300023-scl","Ecocardiografia com contraste no infarto do miocárdio","Trindade, Maria Luciana Zacarias Hannouche da, Vieira, Marcelo Luiz Campos, Rodrigues, Ana Clara Tude, Francisco Neto, Miguel José, Fischer, Claudio Henrique, Morhy, Samira Saady","Einstein (São Paulo); 11(3); 392-397","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300023&lang=pt" 
"S1679-45082013000300025-scl","Angiotomografia computadorizada de coronárias com tomógrafo com 320 fileiras de detectores e utilizando o AIDR-3D: experiência inicial","Sasdelli Neto, Roberto, Nomura, Cesar Higa, Macedo, Ana Carolina Sandoval, Bianco, Danilo Perussi, Kay, Fernando Uliana, Szarf, Gilberto, Teles, Gustavo Borges da Silva, Shoji, Hamilton, Santana Netto, Pedro Vieira, Passos, Rodrigo Bastos Duarte, Chate, Rodrigo Caruso, Ishikawa, Walther Yoshiharu, Lima, João Paulo Bacellar Costa, Rocha, Marcelo Assis, Marcos, Vinícius Neves, Failla, Bruna Bonaventura, Funari, Marcelo Buarque de Gusmão","Einstein (São Paulo); 11(3); 400-404","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300025&lang=pt" 
"S1414-32832013000300001-scl","Apresentação","D&#039;Oliveira, Ana Flávia Pires Lucas","Interface - Comunicação, Saúde, Educação; 17(46); 513-513","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300001&lang=pt" 
"S1414-32832013000300020-scl","","Monteiro, Priscila de Vasconcelos, Pereira, Maria Lúcia Duarte","Interface - Comunicação, Saúde, Educação; 17(46); 733-735","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300020&lang=pt" 
"S1414-32832013000300002-scl","Diálogos sobre a noção de vítima e construção da identidade","Azevedo, Letícia Rodrigues de","Interface - Comunicação, Saúde, Educação; 17(46); 515-522","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300002&lang=pt" 
"S1414-32832013000300019-scl","Para além da comunidade: trabalho e qualificação dos agentes comunitários de saúde","Andrade, Cristiane Batista","Interface - Comunicação, Saúde, Educação; 17(46); 729-732","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300019&lang=pt" 
"S1414-32832013000300022-scl","composições... palavras... imagens... costuras...","Castro, Eliane Dias de, Isoda, Nara Mitiru de Tani, Duarte, Renan Tobias, Galheigo, Sandra Maria, Almeida, Eduardo Augusto Alves de","Interface - Comunicação, Saúde, Educação; 17(46); 743-754","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300022&lang=pt" 
"S1414-32832013000300021-scl","Teses","","Interface - Comunicação, Saúde, Educação; 17(46); 737-742","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300021&lang=pt" 
"S1414-32832013000300007-scl","Alegrias e tristezas no cotidiano de trabalho do agente comunitário de saúde: cenários de paixões e afetamentos","Galavote, Heletícia Scabelo, Franco, Túlio Batista, Lima, Rita de Cássia Duarte, Belizário, Antônio Márcio","Interface - Comunicação, Saúde, Educação; 17(46); 575-586","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300007&lang=pt" 
"S1414-32832013000300014-scl","O silêncio dos inocentes: por um estudo narrativo da prática médica","Carelli, Fabiana Buitor, Pompilio, Carlos Eduardo","Interface - Comunicação, Saúde, Educação; 17(46); 677-681","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300014&lang=pt" 
"S0104-11692013000501011-scl","Chronic conditions and the challenges for knowledge production in health","Lima, Regina Aparecida Garcia de","Revista Latino-Americana de Enfermagem; 21(5); 1011-1012","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692013000501011&lang=pt" 
"S0103-05822013010800001-scl","research-article","","Revista Paulista de Pediatria; 31(3); 01-02","Revista Paulista de Pediatria","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822013010800001&lang=pt" 
"S0104-44782013000300004-scl","Brasil: classes sociais, neodesenvolvimentismo e política externa nos governos Lula e Dilma","Boito Jr., Armando, Berringer, Tatiana","Revista de Sociologia e Política; 21(47); 31-38","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300004&lang=pt" 
"S0104-44782013000300003-scl","Empresários, o governo do PT e o desenvolvimentismo","Bresser-Pereira, Luiz Carlos","Revista de Sociologia e Política; 21(47); 21-29","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300003&lang=pt" 
"S0100-54052013000300011-scl","Levantamento e avaliação da incidência das doenças da mandioca no estado da Paraíba","Morais, Martival dos Santos, Nascimento, Luciana Cordeiro do, Moreira, Keila Aparecida, Cavalcanti, Marilene da Silva, Oliveira, Neiva Tinti de","Summa Phytopathologica; 39(3); 204-206","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300011&lang=pt" 
"S0100-54052013000300009-scl","Método rápido para extração de DNA de Puccinia kuehnii","Alessio, Valter Miotto, Hoffmann, Hermann Paulo, Carneiro, Monalisa Sampaio","Summa Phytopathologica; 39(3); 198-200","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300009&lang=pt" 
"S0100-54052013000300008-scl","Reação de genótipos de algodoeiro à mancha de Ramularia em diferentes épocas e ambientes","Cia, Edivaldo, Fuzatto, Milton Geraldo, Kondo, Júlio Isao, Ohl, Guilherme de Almeida, Galbieri, Rafael","Summa Phytopathologica; 39(3); 193-197","Summa Phytopathologica","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-54052013000300008&lang=pt" 
"S1414-32832013000300001-spa","Apresentação","D&#039;Oliveira, Ana Flávia Pires Lucas","Interface - Comunicação, Saúde, Educação; 17(46); 513-513","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300001&lang=pt" 
"S1414-32832013000300022-spa","composições... palavras... imagens... costuras...","Castro, Eliane Dias de, Isoda, Nara Mitiru de Tani, Duarte, Renan Tobias, Galheigo, Sandra Maria, Almeida, Eduardo Augusto Alves de","Interface - Comunicação, Saúde, Educação; 17(46); 743-754","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300022&lang=pt" 
"S1414-32832013000300019-spa","Para além da comunidade: trabalho e qualificação dos agentes comunitários de saúde","Andrade, Cristiane Batista","Interface - Comunicação, Saúde, Educação; 17(46); 729-732","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300019&lang=pt" 
"S1414-32832013000300016-spa","Prevención del consumo problemático de drogas en la escuela: estrategia de formación docente en Argentina utilizando TIC","Camarotti, Ana Clara, Kornblit, Ana Lía, Di Leo, Pablo Francisco","Interface - Comunicação, Saúde, Educação; 17(46); 695-703","Interface - Comunicação, Saúde, Educação","Espanhol","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300016&lang=pt" 
"S1414-32832013000300014-spa","O silêncio dos inocentes: por um estudo narrativo da prática médica","Carelli, Fabiana Buitor, Pompilio, Carlos Eduardo","Interface - Comunicação, Saúde, Educação; 17(46); 677-681","Interface - Comunicação, Saúde, Educação","Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300014&lang=pt" 
"S1414-32832013000300021-spa","Teses","","Interface - Comunicação, Saúde, Educação; 17(46); 737-742","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832013000300021&lang=pt" 
"S1679-45082013000300003-scl","Comparação entre BNP e NT-proBNP quanto à concordância e quanto à influência das variáveis clínicas e laboratoriais","Curiati, Milena Novaes Cardoso, Silvestre, Odilson Marcos, Pires, Lucas José Tachotti, Mangini, Sandrigo, Pires, Philippe Vieira, Gaiotto, Fabio Antonio, Laurino, André Micheletto, Pêgo-Fernandes, Paulo Manuel, Ferreira, Carlos Eduardo dos Santos, Bacal, Fernando","Einstein (São Paulo); 11(3); 273-277","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300003&lang=pt" 
"S1679-45082013000300005-scl","Relação entre variabilidade da frequência cardíaca e indicadores de obesidade central e geral em adolescentes obesos normotensos","Farah, Breno Quintella, Prado, Wagner Luiz do, Tenório, Thiago Ricardo dos Santos, Ritti-Dias, Raphael Mendes","Einstein (São Paulo); 11(3); 285-290","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300005&lang=pt" 
"S1679-45082013000300006-scl","Características do estudo eletrofisiológico na Doença de Chagas","Cedraz, Swellen Schuenemann, Silva, Paulo Christo Coutinho da, Minowa, Ricardo Katsumi Yendo, Aragão, Juliano Furtado de, Silva, Danilo Victor, Morillo, Carlos, Moreira, Dalmo Antonio Ribeiro, Habib, Ricardo Garbe, Valdigem, Bruno Pereira, Armaganijan, Luciana Vidal","Einstein (São Paulo); 11(3); 291-295","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300006&lang=pt" 
"S1679-45082013000300007-scl","Cirurgia robótica em Cardiologia: um procedimento seguro e efetivo","Poffo, Robinson, Toschi, Alisson Parrilha, Pope, Renato Bastos, Celullare, Alex Luiz, Benício, Anderson, Fischer, Claudio Henrique, Vieira, Marcelo Luiz Campos, Teruya, Alexandre, Hatanaka, Dina Mie, Rusca, Gabriel Franzin, Makdisse, Marcia","Einstein (São Paulo); 11(3); 296-302","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300007&lang=pt" 
"S1679-45082013000300009-scl","Implantação de protocolo institucional para o uso racional de hemoderivados e seu impacto no pós-operatório de cirurgias de revascularização miocárdica","Silva, Pedro Gabriel Melo de Barros e, Ikeoka, Dimas Tadahiro, Fernandes, Viviane Aparecida, Lasta, Nilza Sandra, Silva, Debora Prudencio e, Okada, Mariana Yumi, Izidoro, Beatriz Akinaga, Garcia, José Carlos Teixeira, Baruzzi, Antonio Claudio do Amaral, Furlan, Valter","Einstein (São Paulo); 11(3); 310-316","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300009&lang=pt" 
"S1679-45082013000300010-scl","Características clínicas e ecocardiográficas associadas à evolução do canal arterial em recém-nascidos com peso de nascimento inferior a 1.500g","Visconti, Luiza Fortunato, Morhy, Samira Saady, Deutsch, Alice D&#039;Agostini, Tavares, Gláucia Maria Penha, Wilberg, Tatiana Jardim Mussi, Rossi, Felipe de Souza","Einstein (São Paulo); 11(3); 317-323","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300010&lang=pt" 
"S1679-45082013000300011-scl","Efeitos de curto prazo de um programa de atividade física moderada em pacientes com síndrome metabólica","Colombo, Caroline Macoris, Macedo, Rafael Michel de, Fernandes-Silva, Miguel Morita, Caporal, Alexandra Moro, Stinghen, Andréa Emilia, Costantini, Costantino Roberto, Baena, Cristina Pellegrino, Guarita-Souza, Luiz Cesar, Faria-Neto, José Rocha","Einstein (São Paulo); 11(3); 324-330","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300011&lang=pt" 
"S1679-45082013000300014-scl","Evolução clínica de pacientes com mediastinite pós-cirurgia de revascularização miocárdica submetidos à oxigenoterapia hiperbárica como terapia adjuvante","Egito, Julyana Galvão Tabosa do, Abboud, Cely Saad, Oliveira, Aline Pâmela Vieira de, Máximo, Carlos Alberto Gonçalves, Montenegro, Carolina Moreira, Amato, Vivian Lerner, Bammann, Roberto, Farsky, Pedro Silvio","Einstein (São Paulo); 11(3); 345-349","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300014&lang=pt" 
"S1679-45082013000300015-scl","Segurança e eficácia dos stents farmacológicos eluidores de biolimus com polímero biodegradável: análise do registro EINSTEIN (Evaluation of Next-generation drug-eluting STEnt IN patients with coronary artery disease)","Souza, Cristiano Freitas de, El Mouallem, Anwar Mohamed, Brito Júnior, Fábio Sândoli de, Abizaid, Alexandre Antônio Cunha, Almeida, Breno Oliveira, Almeida, Amanda Gonçalves, Nascimento, Teresa Cristina Dias Cunha, Perin, Marco Antonio, Caixeta, Adriano","Einstein (São Paulo); 11(3); 350-356","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300015&lang=pt" 
"S1679-45082013000300016-scl","Efeito da implementação de um protocolo assistencial de infarto agudo do miocárdio sobre os indicadores de qualidade","Makdisse, Marcia, Katz, Marcelo, Corrêa, Alessandra da Graça, Forlenza, Luciano Monte Alegre, Perin, Marco Antonio, Brito Júnior, Fábio Sândoli de, Nascimento, Teresa Cristina Dias Cunha, Gomes, Ivanise Maria, Franken, Marcelo, Knobel, Marcos, Pesaro, Antonio Eduardo Pereira, Santos, Oscar Fernando Pavão dos, Cendoroglo Neto, Miguel, Lottenberg, Claudio Luiz","Einstein (São Paulo); 11(3); 357-363","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300016&lang=pt" 
"S1679-45082013000300021-scl","Calcificação vascular: fisiopatologia e implicações clínicas","Liberman, Marcel, Pesaro, Antonio Eduardo Pereira, Carmo, Luciana Simão, Serrano Jr, Carlos Vicente","Einstein (São Paulo); 11(3); 376-382","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300021&lang=pt" 
"S1679-45082013000300022-scl","Insuficiência cardíaca descompensada","Mangini, Sandrigo, Pires, Philippe Vieira, Braga, Fabiana Goulart Marcondes, Bacal, Fernando","Einstein (São Paulo); 11(3); 383-391","Einstein (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082013000300022&lang=pt" 
"S1414-32832013000300003-scl","Femicídios: narrativas de crimes de gênero","Meneghel, Stela Nazareth, Ceccon, Roger Flores, Hesler, Lilian Zielke, Margarites, Ane Freitas, Rosa, Stefania, Vasconcelos, Valmir Dorn","Interface - Comunicação, Saúde, Educação; 17(46); 523-533","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300003&lang=pt" 
"S1414-32832013000300005-scl","Construção da identidade dos atores da Saúde Coletiva no Brasil: uma revisão da literatura","Silva, Vinício Oliveira da, Pinto, Isabela Cardoso de Matos","Interface - Comunicação, Saúde, Educação; 17(46); 549-560","Interface - Comunicação, Saúde, Educação","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300005&lang=pt" 
"S1414-32832013000300008-scl","Comunicación para la salud y estilos de vida saludables: aportes para la reflexión desde la salud colectiva","Rojas-Rajs, Soledad, Soto, Edgar Jarillo","Interface - Comunicação, Saúde, Educação; 17(46); 587-599","Interface - Comunicação, Saúde, Educação","Inglês, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832013000300008&lang=pt" 
