"S2179-975X2013000100011-scl","Temporal variation in phytoplankton community in a freshwater coastal lake of southern Brazil","Tonetta, Denise, Petrucio, Mauricio Mello, Laudares-Silva, Roselane","Acta Limnologica Brasiliensia; 25(1); 99-110","Acta Limnologica Brasiliensia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2013000100011&lang=pt" 
"S1646-69182013000100008-prt","Experimentação animal, um mundo com regras: do planeamento à publicação","Santos, Ana Isabel Moura, Antunes, Luis","Revista Portuguesa de Cirurgia; (24); 45-50","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100008&lang=pt" 
"S1646-69182013000100013-prt","Como e Porquê um Ensaio Clínico","Dinis, José","Revista Portuguesa de Cirurgia; (24); 75-78","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100013&lang=pt" 
"S1646-69182013000100014-prt","Formação Cirúrgica e Investigação","Almeida, J. C. Mendes de","Revista Portuguesa de Cirurgia; (24); 79-81","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100014&lang=pt" 
"S1646-69182013000100016-prt","Cirurgia em Ambulatório ou pôr os doentes a andar","Almeida, Carlos Costa","Revista Portuguesa de Cirurgia; (24); 89-91","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100016&lang=pt" 
"S1646-69182013000100017-prt","História da Sociedade Portuguesa de Cirurgia","","Revista Portuguesa de Cirurgia; (24); 93-126","Revista Portuguesa de Cirurgia","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182013000100017&lang=pt" 
"S0080-62342013000501090-scl","Impact of the disease: acceptability, ceiling and floor effects and reliability of an instrument on heart failure","Rodrigues, Simey de Lima Lopes, Rodrigues, Roberta Cunha Matheus, Sao-Joao, Thais Moreira, Pavan, Renata Bigatti Bellizzotti, Padilha, Katia Melissa, Gallani, Maria-Cecilia","Revista da Escola de Enfermagem da USP; 47(5); 1090-1097","Revista da Escola de Enfermagem da USP","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342013000501090&lang=pt" 
"S1645-91992013000100002-prt","A Justiça enquanto função do Estado","Garoupa, Nuno","Relações Internacionais (R:I); (37); 15-21","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100002&lang=pt" 
"S0872-19042013000200001-prt","Thermodynamic Study and Characterization by Electrochemical Technique of Pyrazole Derivatives as Corrosion Inhibitors for C38 Steel in Molar Hydrochloric Acid","El Ouali, I., Chetouani, A., Hammouti, B., Aouniti, A., Touzani, R., El Kadiria, S., Nlated, S.","Portugaliae Electrochimica Acta; 31(2); 53-78","Portugaliae Electrochimica Acta","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042013000200001&lang=pt" 
"S0872-19042013000200002-prt","Physicochemical Study and Corrosion Inhibition Potential of Ficus tricopoda for Aluminium in Acidic Medium","Eddy, N.O., Ameh, P.O., Gwarzo, M.Y., Okopand, I.J., Dodo, S.N.","Portugaliae Electrochimica Acta; 31(2); 79-93","Portugaliae Electrochimica Acta","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042013000200002&lang=pt" 
"S0872-19042013000200003-prt","The Effect of Eclipta Alba Leaves Extract on the Corrosion Inhibition Process of Carbon Steel in Sea Water","Johnsirani, V., Sathiyabama, J., Rajendran, S., Christyc, S.M. Lydia, Jeyasundari, J.","Portugaliae Electrochimica Acta; 31(2); 95-106","Portugaliae Electrochimica Acta","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042013000200003&lang=pt" 
"S0872-19042013000200004-prt","Optimization of the Electrodeposition Conditions for Mercury Removal from Vegetal Biomass with Response Surface Methodology","Marrugo-Negrete, J.J., Pinedo-Hernández, J.J., Baeza-Reyes, J.A.","Portugaliae Electrochimica Acta; 31(2); 107-117","Portugaliae Electrochimica Acta","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042013000200004&lang=pt" 
"S0872-19042013000200005-prt","Azo Dye Compounds as Corrosion Inhibitors for Dissolution of Mild Steel in Hydrochloric Acid Solution","Nagiub, A.M., Mahross, M.H., Khalil, H.F.Y., Mahran, B.N.A., Yehia, M.M., El-Sabbah, M.M.B.","Portugaliae Electrochimica Acta; 31(2); 119-139","Portugaliae Electrochimica Acta","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-19042013000200005&lang=pt" 
"S1645-91992013000100001-prt","Reforma do Estado e Reforma das Forças Armadas","Teixeira, Nuno Severiano","Relações Internacionais (R:I); (37); 05-14","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100001&lang=pt" 
"S1645-91992013000100003-prt","A política europeia e o furacão Euro: Trova do vento que (não) passa","Soares, António Goucha","Relações Internacionais (R:I); (37); 23-33","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100003&lang=pt" 
"S1645-91992013000100004-prt","A reforma","Cunha, Luís Campos e","Relações Internacionais (R:I); (37); 35-42","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100004&lang=pt" 
"S1645-91992013000100005-prt","Portugal e a Guerra do Iraque","Lima, Bernardo Pires de","Relações Internacionais (R:I); (37); 43-61","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100005&lang=pt" 
"S1645-91992013000100006-prt","Continuidade e mudança na política externa brasileira: As especificidades do comportamento externo brasileiro de 2003 a 2010","Saraiva, Miriam Gomes","Relações Internacionais (R:I); (37); 63-78","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100006&lang=pt" 
"S1645-91992013000100007-prt","«Democratização» e consolidação do poder político em Angola no pós-guerra","Schubert, Jon","Relações Internacionais (R:I); (37); 79-98","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100007&lang=pt" 
"S1645-91992013000100008-prt","Sucessos e incertezas: o papel da ajuda médica nas relações entre Taiwan e São Tomé e Príncipe","Lopes, Helena Ferreira Santos","Relações Internacionais (R:I); (37); 99-113","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100008&lang=pt" 
"S1645-91992013000100009-prt","A construção social da governança das relações internacionais: Entrevista com Emanuel Adler","Reis, Bruno Cardoso","Relações Internacionais (R:I); (37); 115-125","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100009&lang=pt" 
"S1645-91992013000100010-prt","Memórias do Papa laico","Pereira, Bernardo Futscher","Relações Internacionais (R:I); (37); 129-133","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100010&lang=pt" 
"S1645-91992013000100011-prt","Capitalismo no Islão: a longa divergência","Curto, Pedro Marcelo","Relações Internacionais (R:I); (37); 135-139","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100011&lang=pt" 
"S1645-91992013000100012-prt","A soma de todas as partes… ou as experiências nacionais europeias de finanças públicas no século XIX","Lima, Nuno Miguel","Relações Internacionais (R:I); (37); 141-145","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100012&lang=pt" 
"S1645-91992013000100013-prt","Estratega, diplomata, guerrilheiro: Cabral reexaminado","Santos, Aurora Almada e","Relações Internacionais (R:I); (37); 147-150","Relações Internacionais (R:I)","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992013000100013&lang=pt" 
"S0465-546X2013000100009-esp","Trastornos músculo-esqueléticos en músicos profesionales: revisión bibliográfica","Almonacid-Canseco, Gemma, Gil-Beltrán, Isabel, López-Jorge, Irene, Bolancé-Ruiz, Inmaculada","Medicina y Seguridad del Trabajo; 59(230); 124-145","Medicina y Seguridad del Trabajo","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0465-546X2013000100009&lang=pt" 
"S0004-05922013000100009-esp","Effects of growth habits of grasses on weed population and dry matter yield in grass-legume swards","Anele, U.Y., Jolaosho, O.A., Arigbede, O.M., Olanite, J.A., Onifade, O.S.","Archivos de Zootecnia; 62(237); 79-87","Archivos de Zootecnia","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100009&lang=pt" 
"S1887-85712013000100003-esp","Identificación de estresores en las prácticas clínicas y evolución de los mismos en una promoción de alumnos de enfermería","López González, J.M., Orbañanos Peiro, L., Cibanal Juan, M.L.","Sanidad Militar; 69(1); 13-21","Sanidad Militar","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712013000100003&lang=pt" 
"S1887-85712013000100008-esp","Paciente con dolor lumbar y enfisema subcutáneo en miembro inferior derecho","Fuentes Esteban, D., Bartolomé Cela, E., Molina López-Nava, P., Carretero Quevedo, A.","Sanidad Militar; 69(1); 61-62","Sanidad Militar","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712013000100008&lang=pt" 
"S0004-05922013000100005-esp","Efecto del aceite de palma sobre el crecimiento y capacidad reproductiva de carneros de pelo púberes","Luna-Palomera, C., Aguilar Cabrales, J.A., Peralta-Torres, J.A., Velázquez Martínez, J.R.","Archivos de Zootecnia; 62(237); 45-52","Archivos de Zootecnia","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100005&lang=pt" 
"S0004-05922013000100015-esp","Effect of initial seminal plasma fructose concentration on goat semen storage at 5ºC","Matos-Brito, B.G., Lima, I.C.S., Pereira, J.F., Barboza, F.M., Linard, M.A.B., Aguiar, G.V., Catunda, A.G.V., Moura, A.A.A., Nunes, J.F., Campos, A.C.N.","Archivos de Zootecnia; 62(237); 143-146","Archivos de Zootecnia","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100015&lang=pt" 
"S0004-05922013000100012-esp","Efeitos ambientais e genéticos sobre escores visuais e ganho em peso ao sobreano de bovinos Brangus","Queiroz, S.A., Oliveira, J.A., Costa, G.Z., Fries, L.A.","Archivos de Zootecnia; 62(237); 111-121","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100012&lang=pt" 
"S0004-05922013000100010-esp","Perfil metabólico, hematológico e comportamental de poedeiras suplementadas com Panax ginseng","Catalan, A.A.S., Avila, V.S., Lopes, L.L., Montagner, P., Vargas, G.D., Xavier, E.G., Roll, V.F.B.","Archivos de Zootecnia; 62(237); 89-100","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100010&lang=pt" 
"S0004-05922013000100008-esp","Digestive enzymes in African Giant land snail (Archachatina marginata) during aestivation","Ademolu, K.O., Fakeye, O.D., Dedeke, G.A., Ajayi, O.A., Idowu, A.B.","Archivos de Zootecnia; 62(237); 73-77","Archivos de Zootecnia","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100008&lang=pt" 
"S0004-05922013000100004-esp","Glucomanano esterificado e selênio orgânico em frangos alimentados com dietas com aflatoxinas","Rossi, P., Nunes, J.K., Rutz, F., Reis, J.S., Boursheidt, D., Rocha, A.A., Moraes, P.V.D., Anciuti, M.A.","Archivos de Zootecnia; 62(237); 33-43","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100004&lang=pt" 
"S0004-05922013000100006-esp","Farelo de arroz desengordurado com baixo teor de ácido fítico na alimentação da carpa capim#","Costenaro-Ferreira, C., Silva, L.P., Della-Flora, M.A.L., Martinelli, S.G., Maschio, D., Corrêia, V.","Archivos de Zootecnia; 62(237); 53-60","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100006&lang=pt" 
"S0004-05922013000100013-esp","Parâmetros genéticos de características de carcaça e de crescimento de bovinos da raça Nelore","Ferriani, L., Albuquerque, L.G., Baldi, F.S.B., Venturini, G.C., Bignardi, A.B., Silva, J.A II.V., Chud, T.C.S., Munari, D.P., Oliveira, J.A.","Archivos de Zootecnia; 62(237); 123-129","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100013&lang=pt" 
"S0004-05922013000100007-esp","Comportamento ingestivo de novilhas suplementadas a pasto sob nutrição compensatória","Santana Júnior, H.A., Silva, R.R., Carvalho, G.G.P., Cardoso, E.O., Mendes, F.B.L., Pinheiro, A.A., Abreu Filho, G., Dias, D.L.S., Barroso, D.S., Silva, F.F., Trindade Júnior, G.","Archivos de Zootecnia; 62(237); 61-71","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100007&lang=pt" 
"S0004-05922013000100011-esp","Brown seaweed meal to Nile tilapia fingerlings","Costa, M.M., Oliveira, S.T.L., Balen, R.E., Bueno Junior, G., Baldan, L.T., Silva, L.C.R., Santos, L.D.","Archivos de Zootecnia; 62(237); 101-109","Archivos de Zootecnia","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100011&lang=pt" 
"S1887-85712013000100005-esp","Carcinoma verrucoso periimplantario: A propósito de un caso","García Cañas, P., García Cañas, R., García Rebollar, R., Marín García, F.","Sanidad Militar; 69(1); 38-42","Sanidad Militar","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1887-85712013000100005&lang=pt" 
"S0004-05922013000100002-esp","Avaliações fenotípicas da raça bovina Curraleiro Pé-duro do semiárido do Brasil","Carvalho, G.M.C., Fé da Silva, L.R., Almeida, M.J.O., Lima Neto, A.F., Beffa, L.M.","Archivos de Zootecnia; 62(237); 9-20","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100002&lang=pt" 
"S0004-05922013000100003-esp","Comparação das peles de tilápia do Nilo, pacu e tambaqui: Histologia, composição e resistência","Franco, M.L.R.S., Franco, N.P., Gasparino, E., Dorado, D.M., Prado, M., Vesco, A.P.D.","Archivos de Zootecnia; 62(237); 21-32","Archivos de Zootecnia","Português","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-05922013000100003&lang=pt" 
"S0016-35032013000100008-ven","Prótesis metálicas autoexpansibles en lesiones malignas avanzadas del tracto digestivo","Rosendo, José Luis, Ramos, Julio, Mujica, Carmen, Sánchez Jaeger, Armando","Gen; 67(1); 32-35","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100008&lang=pt" 
"S0016-35032013000100009-ven","Prótesis esofágica autoexpansible para tratamiento de síndrome de Boerhaave: A propósito de un caso","Martínez, Yolette","Gen; 67(1); 36-38","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100009&lang=pt" 
"S0016-35032013000100006-ven","Colangioscopia peroral mono operador (Spyglass): Experiencia preliminar en el Hospital Vargas de Caracas, Caracas, Venezuela","Landaeta, Jorge, Rodríguez, María, Dias, Carla, Corredor, Lobsang, Esquerre, Ivanova, Manuitt, Juan, Veitia, Guillermo","Gen; 67(1); 20-24","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100006&lang=pt" 
"S0016-35032013000100007-ven","La dieta hiperproteica: su repercusión sobre albúmina sérica, líquido ascítico y estado nutricional en cirrosis","Romero, Gisela, Anderson Vásquez, Hazel, Báez, Mónica, Zambrano, Jackeline","Gen; 67(1); 25-31","Gen","Espanhol","2013","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0016-35032013000100007&lang=pt" 
