"S0101-73302012000100017-scl","Sobre algumas relações entre qualificação, trabalho docente e gênero","Durães, Sarah Jane Alves","Educação &amp; Sociedade; 33(118); 271-288","Educação &amp; Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302012000100017&lang=pt" 
"S0102-76382012000100006-scl","Cirurgia cardíaca videoassistida: 6 anos de experiência","Fortunato Júnior, Jeronimo Antonio, Pereira, Marcelo Luiz, Martins, André Luiz M., Pereira, Daniele de Souza C., Paz, Maria Evangelista, Paludo, Luciana, Branco Filho, Alcides, Milosewich, Branka","Brazilian Journal of Cardiovascular Surgery; 27(1); 24-37","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100006&lang=pt" 
"S0102-76382012000100009-scl","Características clínico-demográficas de pacientes submetidos a cirurgia de revascularização do miocárdio e sua relação com a mortalidade","Oliveira, Eduardo Lafaiette de, Westphal, Glauco Adrieno, Mastroeni, Marco Fabio","Brazilian Journal of Cardiovascular Surgery; 27(1); 52-60","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100009&lang=pt" 
"S0102-76382012000100010-scl","Oxidative stress and inflammatory response increase during coronary artery bypass grafting with extracorporeal circulation","Melek, Flora Eli, Baroncini, Liz Andréa Villela, Repka, João Carlos Domingus, Nascimento, Celso Soares, Précoma, Dalton Bertolim","Brazilian Journal of Cardiovascular Surgery; 27(1); 61-65","Brazilian Journal of Cardiovascular Surgery","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100010&lang=pt" 
"S0102-76382012000100011-scl","Cirurgia de revascularização miocárdica na fase aguda do infarto: análise dos fatores preditores de mortalidade intra-hospitalar","Mejía, Omar Asdrúbal Vilca, Lisboa, Luiz A Ferreira, Tiveron, Marcos Gradim, Santiago, José Augusto Duncan, Tineli, Rafael Angelo, Dallan, Luis Alberto Oliveira, Jatene, Fabio Biscegli, Stolf, Noedir Antonio Groppo","Brazilian Journal of Cardiovascular Surgery; 27(1); 66-74","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100011&lang=pt" 
"S0102-76382012000100012-scl","Estimulação elétrica nervosa transcutânea no pós-operatório de cirurgia torácica: revisão sistemática e metanálise de estudos randomizados","Sbruzzi, Graciele, Silveira, Scheila Azeredo, Silva, Diego Vidaletti, Coronel, Christian Correa, Plentz, Rodrigo Della Méa","Brazilian Journal of Cardiovascular Surgery; 27(1); 75-87","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100012&lang=pt" 
"S0102-76382012000100013-scl","Efeito da descelularização com SDS na prevenção da calcificação em pericárdio bovino fixado em glutaraldeído: estudo em ratos","Collatusso, Claudinei, Roderjan, João Gabriel, Vieira, Eduardo Discher, Costa, Francisco Diniz Affonso da, Noronha, Lucia de, Fornazari, Daniele de Fátima","Brazilian Journal of Cardiovascular Surgery; 27(1); 88-96","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100013&lang=pt" 
"S0102-76382012000100014-scl","Correção cirúrgica da coarctação da aorta em adultos sob assistência circulatória extracorpórea esquerda","Ferreira, Eduardo Carvalho, Nina, Vinícius José da Silva, Assef, Marco Aurélio Sales, Silva, Nathalia Almeida Cardoso da, Gaspar, Shirlyne Fabianni Dias, Silva, Fernando Alberto Costa Cardoso da, Nascimento, Rozélia Sousa","Brazilian Journal of Cardiovascular Surgery; 27(1); 97-102","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100014&lang=pt" 
"S0102-76382012000100015-scl","Subxyphoid pleural drain confers lesser impairment in respiratory muscle strength, oxygenation and lower chest pain after off-pump coronary artery bypass grafting: a randomized controlled trial","Cancio, Andreia S. A., Guizilini, Solange, Bolzan, Douglas W., Dauar, Renato B., Succi, José E., Paola, Angelo A. V. de, Carvalho, Antonio C. de Camargo, Gomes, Walter J.","Brazilian Journal of Cardiovascular Surgery; 27(1); 103-109","Brazilian Journal of Cardiovascular Surgery","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100015&lang=pt" 
"S0102-76382012000100016-scl","Comparative experimental study of myocardial protection with crystalloid solutions for heart transplantation","Lima, Melchior Luiz, Fiorelli, Alfredo Inácio, Vassallo, Dalton Valentim, Pinheiro, Bruno Botelho, Stolf, Noedir Antonio Groppo, Gomes, Otoni Moreira","Brazilian Journal of Cardiovascular Surgery; 27(1); 110-116","Brazilian Journal of Cardiovascular Surgery","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382012000100016&lang=pt" 
"S1516-44462012000100007-scl","Suicide mortality in São Gabriel da Cachoeira, a predominantly indigenous Brazilian municipality","Souza, Maximiliano Loiola Ponte de, Orellana, Jesem Douglas Yamall","Revista Brasileira de Psiquiatria; 34(1); 34-37","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100007&lang=pt" 
"S1516-44462012000100014-scl","Development and validation of the Intrinsic Religiousness Inventory (IRI)","Taunay, Tauily C, Cristino, Eva D, Machado, Myrela O, Rola, Francisco H, Lima, José W. O, Macêdo, Danielle S, Gondim, Francisco de Assis A, Moreira-Almeida, Alexander, Carvalho, André F","Revista Brasileira de Psiquiatria; 34(1); 76-81","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100014&lang=pt" 
"S1516-44462012000100018-scl","Cognitive-Behavior Therapy-Online in OCD patient with hoarding symptoms","Prado, Helena da Silva, Perin, Eduardo Aliende","Revista Brasileira de Psiquiatria; 34(1); 112-113","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100018&lang=pt" 
"S1516-44462012000100008-scl","No association between the HTR1A gene and suicidal behavior: a meta-analysis","Rivera Angles, Miriam, Bermúdez Ocaña, Deysi, Camarena Medellín, Beatriz, Tovilla-Zárate, Carlos","Revista Brasileira de Psiquiatria; 34(1); 38-42","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100008&lang=pt" 
"S1516-44462012000100010-scl","Low family support perception: a &#039;social marker&#039; of substance dependence?","Lemos, Valdir de Aquino, Antunes, Hanna Karen Moreira, Baptista, Makilim Nunes, Tufik, Sergio, Mello, Marco Túlio De, Formigoni, Maria Lucia Oliveira de Souza","Revista Brasileira de Psiquiatria; 34(1); 52-59","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100010&lang=pt" 
"S1516-44462012000100011-scl","Peritraumatic tonic immobility is associated with posttraumatic stress symptoms in undergraduate Brazilian students","Portugal, Liana Catarina L, Pereira, Mirtes Garcia, Alves, Rita de Cássia S, Tavares, Gisella, Lobo, Isabela, Rocha-Rego, Vanessa, Marques-Portella, Carla, Mendlowicz, Mauro V, Coutinho, Evandro S, Fiszman, Adriana, Volchan, Eliane, Figueira, Ivan, Oliveira, Letícia de","Revista Brasileira de Psiquiatria; 34(1); 60-65","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100011&lang=pt" 
"S1516-44462012000100012-scl","Prevalence and clinical impact of eating disorders in bipolar patients","Seixas, Camila, Miranda-Scippa, Ângela, Nery-Fernandes, Fabiana, Andrade-Nascimento, Mônica, Quarantini, Lucas C, Kapczinski, Flavio, Oliveira, Irismar Reis de","Revista Brasileira de Psiquiatria; 34(1); 66-70","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100012&lang=pt" 
"S1516-44462012000100016-scl","A review on predictors of treatment outcome in social anxiety disorder","Mululo, Sara Costa Cabral, Menezes, Gabriela Bezerra de, Vigne, Paula, Fontenelle, Leonardo F","Revista Brasileira de Psiquiatria; 34(1); 92-100","Revista Brasileira de Psiquiatria","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462012000100016&lang=pt" 
"S0073-47212012000100001-scl","Densidade, tamanho populacional e conservação de primatas em fragmento de Mata Atlântica no sul do Estado de Minas Gerais, Brasil","Costa, Maurício Djalles, Fernandes, Fernando Afonso Bonillo, Hilário, Renato Richard, Gonçalves, Aline Vaz, Souza, Janaína Maria de","Iheringia. Série Zoologia; 102(1); 5-10","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100001&lang=pt" 
"S0073-47212012000100004-scl","Community structure of metazoan parasites of silverside, Odontesthes bonariensis (Pisces, Atherinopsidae) from Argentina","Drago, Fabiana B.","Iheringia. Série Zoologia; 102(1); 26-32","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100004&lang=pt" 
"S0073-47212012000100005-scl","Grupo Drosophila asiri (Diptera, Drosophilidae), un nuevo grupo de especies andinas con la descripción de dos nuevas especies y la redescripción de Drosophila asiri","Figuero, María Luna, Rafael, Violeta, Céspedes, Diego","Iheringia. Série Zoologia; 102(1); 33-42","Iheringia. Série Zoologia","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100005&lang=pt" 
"S0073-47212012000100008-scl","Estudo da alimentação dos peixes no rio Grande à jusante da usina hidrelétrica de Itutinga, Minas Gerais, Brasil","Gandini, Cíntia V., Boratto, Igor A., Fagundes, Daniela C., Pompeu, Paulo S.","Iheringia. Série Zoologia; 102(1); 56-61","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100008&lang=pt" 
"S0073-47212012000100009-scl","Desenvolvimento larval de Brycon hilarii (Characiformes, Characidae)","Oliveira, Fernando G. de, Bialetzki, Andréa, Gomes, Luiz C., Santin, Miriam, Taguti, Tátia L.","Iheringia. Série Zoologia; 102(1); 62-70","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100009&lang=pt" 
"S0073-47212012000100011-scl","Diet of Astyanax paranae (Characidae) in streams with different riparian land covers in the Passa-Cinco River basin, southeastern Brazil","Ferreira, Anderson, Gerhard, Pedro, Cyrino, José E. P.","Iheringia. Série Zoologia; 102(1); 80-87","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100011&lang=pt" 
"S0073-47212012000100014-scl","Diversity of harvestmen (Arachnida, Opiliones) in Parque da Onça Parda, southeastern Brazil","Resende, Leonardo P. A., Pinto-da-Rocha, Ricardo, Bragagnolo, Cibele","Iheringia. Série Zoologia; 102(1); 99-105","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000100014&lang=pt" 
"S1413-65382012000100002-scl","Acertando o passo! Falar de deficiência mental é um erro: deve falar-se de dificuldade intelectual e desenvolvimental (DID). Por quê?","Santos, Sofia, Morato, Pedro","Revista Brasileira de Educação Especial; 18(1); 3-16","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100002&lang=pt" 
"S1413-65382012000100004-scl","Participação de crianças com paralisia cerebral nos ambientes da escola","Silva, Daniela Baleroni Rodrigues, Martinez, Cláudia Maria Simões, Santos, Jair Licio Ferreira","Revista Brasileira de Educação Especial; 18(1); 33-52","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100004&lang=pt" 
"S1413-65382012000100005-scl","Psicologia e inclusão escolar: novas possibilidades de intervir preventivamente sobre problemas comportamentais","Silva, Aline Maira da, Mendes, Enicéia Gonçalves","Revista Brasileira de Educação Especial; 18(1); 53-70","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100005&lang=pt" 
"S1413-65382012000100006-scl","Tecnologia assistiva para a criança com paralisia cerebral na escola: identificação das necessidades","Rocha, Aila Narene Dahwache Criado, Deliberato, Débora","Revista Brasileira de Educação Especial; 18(1); 71-92","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100006&lang=pt" 
"S1413-65382012000100008-scl","Qualidade de vida de cuidadores de pessoas com necessidades especiais","Braccialli, Lígia Maria Presumido, Bagagi, Priscilla dos Santos, Sankako, Andréia Naomi, Araújo, Rita de Cássia Tibério","Revista Brasileira de Educação Especial; 18(1); 113-126","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100008&lang=pt" 
"S1413-65382012000100009-scl","Inclusão escolar de crianças com síndrome de down: experiências contadas pelas famílias","Luiz, Flávia Mendonça Rosa, Nascimento, Lucila Castanheira","Revista Brasileira de Educação Especial; 18(1); 127-140","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100009&lang=pt" 
"S1413-65382012000100010-scl","Inclusão de crianças com deficiência na escola regular numa região do município de São Paulo: conhecendo estratégias e ações","Briant, Maria Emília Pires, Oliver, Fátima Corrêa","Revista Brasileira de Educação Especial; 18(1); 141-154","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100010&lang=pt" 
"S1413-65382012000100011-scl","Percepção de conflito em uma família recasada constituída por um filho com paralisia cerebral","Freitas, Hilda Rosa Moraes de, Silva, Simone Souza da Costa, Pontes, Fernando Augusto Ramos","Revista Brasileira de Educação Especial; 18(1); 155-172","Revista Brasileira de Educação Especial","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-65382012000100011&lang=pt" 
"S1679-87592012000100001-scl","Subtidal soft-bottom macroinvertebrate communities of the Canary Islands. An ecological approach","Monterroso, Oscar, Riera, Rodrigo, Núñez, Jorge","Brazilian Journal of Oceanography; 60(1); 1-9","Brazilian Journal of Oceanography","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592012000100001&lang=pt" 
"S0325-75412012000100001-arg","Salvador Mazza: un rebelde con causa","Menghi, Claudia I","Revista argentina de microbiología; 44(1); -","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100001&lang=pt" 
"S0325-75412012000100002-arg","Disease caused by non-tuberculous mycobacteria: diagnostic procedures and treatment evaluation in the North of Buenos Aires Province","Imperiale, Belén, Zumárraga, Martín, Gioffré, Andrea, Di Giulio, Beatriz, Cataldi, Angel, Morcillo, Nora","Revista argentina de microbiología; 44(1); 3-9","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100002&lang=pt" 
"S0325-75412012000100003-arg","Bacteriemias de origen comunitario en pacientes adultos que acuden al servicio de urgencias de un hospital universitario","Artico, Muriel J, Rocchi, Marta, Gasparotto, Ana, Ocaña Carrizo, Valeria, Navarro, Mercedes, Mollo, Valeria, Avilés, Natalia, Romero, Vanessa, Carrillo, Sonia, Monterisi, Aída","Revista argentina de microbiología; 44(1); -","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100003&lang=pt" 
"S0325-75412012000100004-arg","In vitro oxidant effects of D-glucosamine reduce adhesión and biofilm formation of Staphylococcus epidermidis","Aiassa, Virginia, Barnes, Ana I, Albesa, Inés","Revista argentina de microbiología; 44(1); -","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100004&lang=pt" 
"S0325-75412012000100005-arg","Onicomicosis: epidemiología, agentes causales y evaluación de los métodos diagnósticos de laboratorio","Nazar, Javier R, Gerosa, Paula E, Díaz, Osvaldo A","Revista argentina de microbiología; 44(1); -","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100005&lang=pt" 
"S0325-75412012000100006-arg","","Barbás, María G, Gallego, Sandra V, Castro, Gonzalo M, Baumeister, Elsa, Kademian, Silvia, De Leon, Juan, Cudolá, Analía","Revista argentina de microbiología; 44(1); -","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100006&lang=pt" 
"S0325-75412012000100007-arg","Resistencia a cefalosporinas de espectro extendido en enterobacterias sin AmpC inducible: Evaluación de los nuevos puntos de corte","Nastro, Marcela, Montoto Piazza, Luciana, Saposnik, Elsa, García, Susana, Barberis, Claudia, Vay, Carlos, Rodríguez, Carlos H., Famiglietti, Angela","Revista argentina de microbiología; 44(1); 30-35","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100007&lang=pt" 
"S0325-75412012000100008-arg","Penicillium species present in Uruguayan salami","Galvalisi, Umberto, Lupo, Sandra, Piccini, Juan, Bettucci, Lina","Revista argentina de microbiología; 44(1); 36-42","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100008&lang=pt" 
"S0325-75412012000100009-arg","Selective grazing by protists upon enteric bacteria in an aquatic system","Domínguez, María S, Escalante, Alicia H, Folabella, Alicia M, Zamora, Ángela S","Revista argentina de microbiología; 44(1); 43-48","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100009&lang=pt" 
"S0325-75412012000100010-arg","Bioprospection of marine microorganisms: biotechnological applications and methods","Dionisi, Hebe M, Lozada, Mariana, Olivera, Nelda L.","Revista argentina de microbiología; 44(1); 49-60","Revista argentina de microbiología","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100010&lang=pt" 
"S0325-75412012000100011-arg","Lesiones vesículo-ampollosas en un paciente oncológico inmunodeprimido","García-Lozano, Tomás, Aznar Oroval, Eduardo, Cruz Mojarrieta, Julia, Messeguer Badía, Francesc","Revista argentina de microbiología; 44(1); 61-61","Revista argentina de microbiología","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-75412012000100011&lang=pt" 
"S0718-560X2012000100001-chl","Caracterización de las principales pesquerías del golfo San Jorge Patagonia, Argentina","Góngora, María Eva, González-Zevallos, Diego, Pettovello, Alejandro, Mendía, Luis","Latin american journal of aquatic research; 40(1); 1-11","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100001&lang=pt" 
"S0718-560X2012000100002-chl","La acuariofilia de especies ornamentales marinas: un mercado de retos y oportunidades","Lango Reynoso, Fabiola, Castañeda-Chávez, María, Zamora-Castro, Jorge E, Hernández-Zárate, Galdy, Ramírez-Barragán, Magdiel A, Solís-Morán, E","Latin american journal of aquatic research; 40(1); 12-21","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100002&lang=pt" 
"S0718-560X2012000100003-chl","Role of egg surface glycoconjugate in the fertilization of the rock shrimp Rhynchocinetes typus (Milne-Edwards, 1837)","Dupré, Enrique, Gómez, Daniel, Araya, Andrea, Gallardo, Cristian","Latin american journal of aquatic research; 40(1); 22-29","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100003&lang=pt" 
"S0718-560X2012000100004-chl","Caracterización de las tácticas de pesca en la pesquería multiespecífica de crustáceos demersales en Chile","Párraga, Diana, Wiff, Rodrigo, Quiroz, Juan Carlos, Zilleruelo, Maximiliano, Bernal, Claudio, Azócar, Jorge","Latin american journal of aquatic research; 40(1); 30-41","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100004&lang=pt" 
"S0718-560X2012000100005-chl","Morfodinámica de un campo de dunas submarinas en una entrada de marea: San Blas, Argentina","Cuadrado, Diana G, Gómez, Eduardo A","Latin american journal of aquatic research; 40(1); 42-52","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100005&lang=pt" 
"S0718-560X2012000100006-chl","Influence of environmental factors on the growth of the juvenile, maturing juvenile, and adult tropical scallop, Euvola ziczac (Pteroida: Pectinidae), in suspended culture conditions","Lodeiros, César, Freites, Luis, Maeda-Martínez, Alfonso, Himmelman, John H","Latin american journal of aquatic research; 40(1); 53-62","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100006&lang=pt" 
"S0718-560X2012000100007-chl","Variabilidad espacial y temporal de la abundancia y diversidad de la comunidad de peces en la costa de Campeche, México","Ayala-Pérez, Luis Amado, Terán-González, Greicy Janet, Flores-Hernández, Domingo, Ramos-Miranda, Julia, Sosa-López, Atahualpa","Latin american journal of aquatic research; 40(1); 63-78","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100007&lang=pt" 
"S0718-560X2012000100008-chl","Changes in abiotic characteristics of water in the Paranapanema River and three lateral lagoons at mouth zone of the Jurumirim Reservoir during the flood period, São Paulo, Brazil","Granado, Danielli Cristina, Henry, Raoul","Latin american journal of aquatic research; 40(1); 79-89","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100008&lang=pt" 
"S0718-560X2012000100009-chl","Clasificación acústica de anchoveta (Engraulis ringens) y sardina común (Strangomera bentincki) mediante máquinas de vectores soporte en la zona centro-sur de Chile: efecto de la calibración de los parámetros en la matriz de confusión","Robotham, Hugo, Bosch, Paul, Castillo, Jorge, Tapia, Ignacio","Latin american journal of aquatic research; 40(1); 90-101","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100009&lang=pt" 
"S0718-560X2012000100010-chl","From coexistence to competitive exclusion: can overfishing change the outcome of competition in skates (Chondrichthyes, Rajidae)?","Ruocco, Natalia L, Lucifora, Luis O, Díaz de Astarloa, Juan M, Menni, Roberto C, Mabragaña, Ezequiel, Giberto, Diego A","Latin american journal of aquatic research; 40(1); 102-112","Latin american journal of aquatic research","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100010&lang=pt" 
"S0718-560X2012000100011-chl","Efecto de la radiación ultravioleta B en la producción de polifenoles en la microalga marina Chlorella sp.","Copia, Jaime, Gaete, Hernán, Zúñiga, Gustavo, Hidalgo, María, Cabrera, Enrique","Latin american journal of aquatic research; 40(1); 113-123","Latin american journal of aquatic research","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2012000100011&lang=pt" 
