"S0102-09352015000401039-scl","In vivo biocompatibility of nanostructured Chitosan/Peo membranes","Vulcani, V.A.S., Franzo, V.S., Rabelo, R.E., Rabbers, A.S., Assis, B.M., D&#039;Ávila, M.A., Antoni, S.M.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1039-1044","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401039&lang=pt" 
"S1010-27522015000200002-cub","Incidencia de enfermedades fúngicas en plantaciones de cacao de las provincias orientales de Cuba","Martínez de la Parte, Einar, Pérez Vicente, Luis","Revista de Protección Vegetal; 30(2); 87-96","Revista de Protección Vegetal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522015000200002&lang=pt" 
"S0365-05962015000400589-scl","Syndrome in Question","Peruzzo, Juliano, Nazar, Fernanda Luca, Tubone, Mariana Quirino, Escobar, Gabriela Fortes, Cestari, Tania Ferreira","Anais Brasileiros de Dermatologia; 90(4); 589-590","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400589&lang=pt" 
"S0365-05962015000400586-scl","Jorge Lobo’s disease","Carvalho, Kalline Andrade de, Floriano, Marcos César, Enokihara, Milvia Maria Simões e Silva, Mascarenhas, Marta Regina Machado","Anais Brasileiros de Dermatologia; 90(4); 586-588","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400586&lang=pt" 
"S0365-05962015000400598-scl","Trichophyton rubrum dermatophytosis in a patient under chronic use of systemic corticoids: an exuberant presentation","Sena, Levi Bezerra, Oliveira, Dayana Carla de, Paula, Carmen Dea Ribeiro de, Costa, Mariana Carvalho, Franceschi, Luiz Eduardo de Almeida Prado, Costa, Izelda Maria Carvalho","Anais Brasileiros de Dermatologia; 90(4); 598-599","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400598&lang=pt" 
"S0102-09352015000401193-scl","Detection of papillomavirus DNA in formalin-fixed paraffin-embedded equine aural plaque samples","Zakia, L.S., Basso, R.M., Olivo, G., Herman, M., Araujo Jr., J.P., Borges, A.S., Oliveira-Filho, J.P.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(4); 1193-1196","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000401193&lang=pt" 
"S0365-05962015000400595-scl","Ultraviolet radiation emitted by lamps, TVs, tablets and computers: are there risks for the population?","Duarte, Ida Alzira Gomes, Hafner, Mariana de Figueiredo Silva, Malvestiti, Andrey Augusto","Anais Brasileiros de Dermatologia; 90(4); 595-597","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400595&lang=pt" 
"S0365-05962015000400592-scl","Is adermatoglyphia an additional feature of Kindler Syndrome?","Almeida Jr, Hiram Larangeira de, Goetze, Fernanda Mendes, Fong, Kenneth, Lai-Cheong, Joey, McGrath, John","Anais Brasileiros de Dermatologia; 90(4); 592-593","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400592&lang=pt" 
"S0365-05962015000400600-scl","Systemic lupus erythematosus in a patient with Turner syndrome","Bai, Juan, Qiao, Jianjun, Wu, Yinhua, Zhao, Zhengyan, Fang, Hong","Anais Brasileiros de Dermatologia; 90(4); 600-601","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400600&lang=pt" 
"S0253-570X2015000200009-cub","Relación de algunos indicadores sanguíneos con la infestación de parásitos gastrointestinales en ovinos","Arece García, Javier, Sanavria, Argemiro, Soca, Mildrey, da Fonseca, Adivaldo H., Fidlarczyk Maciel, Raisa, da Silva, Larissa Clara, Tomaz, Aline Maria, Zen Gianfrancisco, Olivia","Revista de Salud Animal; 37(2); 133-135","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200009&lang=pt" 
"S0253-570X2015000200003-cub","Reducción de la mastitis subclínica con el empleo de implante de catgut en el punto de acupuntura Estómago 29","Farray González, Jesús Francisco, Rubio García, Juan Luís, Fabré Rodríguez, Yolexis, Alonso Rodríguez, Julio César, Suárez Fernández, Yolanda E.","Revista de Salud Animal; 37(2); 86-93","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200003&lang=pt" 
"S0253-570X2015000200002-cub","Calidad e inocuidad en la leche cruda de una cadena de producción de una provincia occidental de Cuba","Martínez Vasallo, Ailin, Villoch Cambas, Alejandra, Ribot Enriquez, Ariel, Montes de Oca, Nivian, Riverón Alemán, Yamilka, Ponce Ceballo, Pastor","Revista de Salud Animal; 37(2); 79-85","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200002&lang=pt" 
"S0253-570X2015000200001-cub","Análisis del cumplimiento de las Buenas Prácticas de faenado en cinco mataderos municipales de Manabí, Ecuador","Delgado Demera, Hipatia, Roque Piñeiro, Esnayra, Cedeño Palacios, Carlos Alfredo, Villoch Cambas, Alejandra","Revista de Salud Animal; 37(2); 69-78","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200001&lang=pt" 
"S1029-30192015000800002-cub","Validación y consistencia del test de exploración visual de la percepción del movimiento","Carballo Reina, Onelia, Barcas Trovajo, Beatriz","MEDISAN; 19(8); 938-946","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800002&lang=pt" 
"S1029-30192015000800003-cub","Análisis estadístico implicativo en la identificación de factores de riesgo en pacientes con cáncer de pulmón","García Mederos, Yohani, Zamora Matamoros, Larisa, Sagaró del Campo, Nelsa","MEDISAN; 19(8); 947-957","MEDISAN","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192015000800003&lang=pt" 
"S0253-570X2015000200006-cub","Pesquisa serológica y molecular de Brucella sp. en un rebaño bufalino lechero en la Cuenca del Sur del Lago de Maracaibo","Rosales-Zambrano, Datty, Lugo, Ángela, Andueza, Félix, López-Merino, Ahidé, Morales-Estrada, Aurea, Bolívar, Ana María","Revista de Salud Animal; 37(2); 112-117","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200006&lang=pt" 
"S0021-75572015000400318-scl","The social-ecological context of media use and school success","Radesky, Jenny S.","Jornal de Pediatria; 91(4); 318-319","Jornal de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572015000400318&lang=pt" 
"S0365-05962015000400554-scl","Granulomatous mycosis fungoides - A diagnostic challenge","Pousa, Catharina Maria Freire de Lucena, Nery, Natália Solon, Mann, Danielle, Obadia, Daniel Lago, Alves, Maria de Fátima Gonçalves Scotelaro","Anais Brasileiros de Dermatologia; 90(4); 554-556","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400554&lang=pt" 
"S0036-36342015000400008-mex","Public health services and their relationship with rapid HIV test utilization and access for key populations in Morelos, Mexico","Cuadra-Hernández, Silvia Magali, Bernabé-Aranda, Jesús Israel, Conde-Glez, Carlos Jesús, Sánchez-Domínguez, Mario Salvador, Ortega-Altamirano, Doris Verónica","Salud Pública de México; 57(4); 304-311","Salud Pública de México","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342015000400008&lang=pt" 
"S0036-36342015000400012-mex","Análisis de la tendencia de sífilis adquirida en México durante el periodo 2003-2013","Herrera-Ortiz, Antonia, Uribe-Salas, Felipe J, Olamendi-Portugal, Ma. Leonidez, García-Cisneros, Santa, Conde-Glez, Carlos Jesús, Sánchez-Alemán, Miguel A","Salud Pública de México; 57(4); 335-342","Salud Pública de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342015000400012&lang=pt" 
"S0036-36342015000400013-mex","Florecimientos algales nocivos producidos por Pyrodinium bahamense en Oaxaca, México (2009-2010)","Alonso-Rodríguez, Rosalba, Mendoza-Amézquita, Elsa, Velásquez-López, Sandra Abigail, Seim, Jens Andreas, Martínez-Rodríguez, Víctor Manuel","Salud Pública de México; 57(4); 343-351","Salud Pública de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342015000400013&lang=pt" 
"S0036-36342015000400009-mex","Disease and weight loss: a prospective study of middle-aged and older adults in Costa Rica and England","Blue, Laura, Goldman, Noreen, Rosero-Bixby, Luis","Salud Pública de México; 57(4); 312-319","Salud Pública de México","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342015000400009&lang=pt" 
"S0717-75262015000400005-chl","Influencia de la adolescencia y su entorno en la adherencia al control prenatal e impacto sobre la prematuridad, bajo peso al nacer y mortalidad neonatal","Mendoza Tascón, Luis Alfonso, Arias Guatibonza, Martha Deyfilia, Peñaranda Ospina, Claudia Bibiana, Mendoza Tascón, Laura Isabel, Manzano Penagos, Stefania, Varela Bahena, Ana María","Revista chilena de obstetricia y ginecología; 80(4); 306-315","Revista chilena de obstetricia y ginecología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262015000400005&lang=pt" 
"S0717-75262015000400003-chl","Salud sexual en Chile: una aproximación descriptiva al comportamiento y la satisfacción sexual de los chilenos","Mella S, Camila, Oyanedel S, Juan Carlos, Vargas S, Salvador, de Ugarte L, Nerea","Revista chilena de obstetricia y ginecología; 80(4); 289-296","Revista chilena de obstetricia y ginecología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262015000400003&lang=pt" 
"S1025-02552015000400014-cub","Evasión de la respuesta inmune: una lección del mycobacterium tuberculosis","Vázquez Reyes, Nayady, Stwart Lemes, George, Quesada Leyva, Lidyce, Falcón Almeida, Yadira","Revista Archivo Médico de Camagüey; 19(4); 419-427","Revista Archivo Médico de Camagüey","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552015000400014&lang=pt" 
"S0717-75262015000400001-chl","Celebrando 80 años al servicio de la Salud Integral de la Mujer: invitación abierta a ser parte de un congreso que enaltece el rol histórico del especialista","Cuello Fredes, Mauricio","Revista chilena de obstetricia y ginecología; 80(4); 279-281","Revista chilena de obstetricia y ginecología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262015000400001&lang=pt" 
"S1025-02552015000400012-cub","Fracturas por compresión vertical de columna lumbar","Álvarez López, Alejandro, García Lorenzo, Yenima de la Caridad","Revista Archivo Médico de Camagüey; 19(4); 397-404","Revista Archivo Médico de Camagüey","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552015000400012&lang=pt" 
"S1025-02552015000400011-cub","Fracturas segmentarias de tibia","Álvarez López, Alejandro, García Lorenzo, Yenima de la Caridad","Revista Archivo Médico de Camagüey; 19(4); 389-396","Revista Archivo Médico de Camagüey","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1025-02552015000400011&lang=pt" 
"S0036-36342015000400010-mex","Consultorios adyacentes a farmacias privadas en México: infraestructura y características del personal médico y su remuneración","Díaz-Portillo, Sandra P, Idrovo, Álvaro J, Dreser, Anahí, Bonilla, Federico R, Matías-Juan, Bonifacia, Wirtz, Veronika J","Salud Pública de México; 57(4); 320-328","Salud Pública de México","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342015000400010&lang=pt" 
"S0717-75262015000400011-chl","Predictores de resultado neonatal adverso en colestasia intrahepática del embarazo","Martinovic Titiro, Carolina, Carvajal, Jorge A","Revista chilena de obstetricia y ginecología; 80(4); 348-350","Revista chilena de obstetricia y ginecología","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262015000400011&lang=pt" 
"S0365-05962015000400577-scl","Two friends with eroded nodules on the ears: atypical fibroxanthoma case report","Pesapane, Filippo, Nazzaro, Gianluca, Lunardon, Luisa, Coggi, Antonella, Gianotti, Raffaele","Anais Brasileiros de Dermatologia; 90(4); 577-579","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000400577&lang=pt" 
"S0253-570X2015000200010-cub","Detección por nPCR de Anaplasma marginale y Babesia bovis en búfalos (Bubalus bubalis) en el Occidente de Cuba","Obregón Álvarez, Dasiel","Revista de Salud Animal; 37(2); 136-136","Revista de Salud Animal","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0253-570X2015000200010&lang=pt" 
"S1516-18462015000401370-scl","ERRATA","","Revista CEFAC; 17(4); 1370-1370","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401370&lang=pt" 
"S0103-40142015000200377-scl","O cientista e o político - Mario Schenberg","Salinas, Silvio R. A.","Estudos Avançados; 29(84); 377-380","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200377&lang=pt" 
"S0103-40142015000200365-scl","Entre o risco e a leveza - dois poetas brasileiros contemporâneos","Lins, Vera","Estudos Avançados; 29(84); 365-373","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200365&lang=pt" 
"S0103-40142015000200006-scl","Editorial","Bosi, Alfredo","Estudos Avançados; 29(84); 6-6","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200006&lang=pt" 
"S0103-40142015000200027-scl","Crise hídrica na Macrometrópole Paulista e respostas da sociedade civil","Jacobi, Pedro Roberto, Cibim, Juliana, Leão, Renata de Souza","Estudos Avançados; 29(84); 27-42","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200027&lang=pt" 
"S0103-40142015000200007-scl","Crise de abastecimento de água em São Paulo e falta de planejamento estratégico","Côrtes, Pedro Luiz, Torrente, Mauro, Pinto Alves Pinto, Ailton, Ruiz, Mauro Silva, Dias, António José Guerner, Rodrigues, Rosely","Estudos Avançados; 29(84); 7-26","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200007&lang=pt" 
"S0103-40142015000200043-scl","Crise hídrica e energia: conflitos no uso múltiplo das águas","Galvão, Jucilene, Bermann, Célio","Estudos Avançados; 29(84); 43-68","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200043&lang=pt" 
"S0103-40142015000200069-scl","Uma nova cidade para as águas urbanas","Anelli, Renato Luiz Sobral","Estudos Avançados; 29(84); 69-84","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200069&lang=pt" 
"S0103-40142015000200085-scl","Árvores urbanas em São Paulo: planejamento, economia e água","Buckeridge, Marcos","Estudos Avançados; 29(84); 85-101","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200085&lang=pt" 
"S0103-40142015000200115-scl","Conflitos pela água em tempos de seca no Baixo Jaguaribe, Estado do Ceará","Pereira, Guilherme Reis, Cuellar, Miguel Dragomir Zanic","Estudos Avançados; 29(84); 115-137","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200115&lang=pt" 
"S0103-40142015000200151-scl","Funções eco-hidrológicas das florestas nativas e o Código Florestal","Tambosi, Leandro Reverberi, Vidal, Mariana Morais, Ferraz, Silvio Frosini de Barros, Metzger, Jean Paul","Estudos Avançados; 29(84); 151-162","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200151&lang=pt" 
"S0103-40142015000200163-scl","O estatuto jurídico das águas no Brasil","Aith, Fernando Mussa Abujamra, Rothbarth, Renata","Estudos Avançados; 29(84); 163-177","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200163&lang=pt" 
"S0103-40142015000200179-scl","A formação dos conhecimentos em recursos hídricos e aplicações em tomadas de decisões","Campos, José Nilson B., Campos, Vanessa Ribeiro","Estudos Avançados; 29(84); 179-194","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200179&lang=pt" 
"S0103-40142015000200219-scl","A bomba - o testemunho de Arrupe","Lamet, Pedro Miguel","Estudos Avançados; 29(84); 219-239","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200219&lang=pt" 
"S0103-40142015000200241-scl","Hiroshima: a catástrofe atômica e suas testemunhas","Nakagawa, Cristiane Izumi","Estudos Avançados; 29(84); 241-259","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200241&lang=pt" 
"S0103-40142015000200261-scl","Rapsódia em agosto","Leitão, Sergio","Estudos Avançados; 29(84); 261-274","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200261&lang=pt" 
"S0103-40142015000200277-scl","Alegoria e símbolo em torno do Fausto de Goethe","Mazzari, Marcus V.","Estudos Avançados; 29(84); 277-304","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200277&lang=pt" 
"S0103-40142015000200321-scl","Poesia e crítica de poesia hoje: heterogeneidade, crise, expansão","Pedrosa, Celia","Estudos Avançados; 29(84); 321-333","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200321&lang=pt" 
"S0103-40142015000200335-scl","Situação de &quot;Sítio&quot;","Simon, Iumna Maria","Estudos Avançados; 29(84); 335-351","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000200335&lang=pt" 
"S1676-24442015000400218-scl","Performance analysis of software for identification of intestinal parasites","Gomes, Andressa P., Noguerol, Luana, Bez, Marta R., Tavares, Rejane G.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 218-223","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400218&lang=pt" 
"S1678-77572015000400390-scl","The functional EGF+61 polymorphism and nonsyndromic oral clefts susceptibility in a Brazilian population","FALAGAN-LOTSCH, Priscila, LOPES, Talíria Silva, KÜCHLER, Erika Calvano, TANNURE, Patrícia Nivoloni, COSTA, Marcelo de Castro, AMORIM, Lidia Maria da Fonte de, GRANJEIRO, José Mauro","Journal of Applied Oral Science; 23(4); 390-396","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400390&lang=pt" 
"S1678-77572015000400376-scl","Surface properties of multilayered, acrylic resin artificial teeth after immersion in staining beverages","NEPPELENBROEK, Karin Hermana, KUROISHI, Eduardo, HOTTA, Juliana, MARQUES, Vinicius Rizzo, MOFFA, Eduardo Buozi, SOARES, Simone, URBAN, Vanessa Migliorini","Journal of Applied Oral Science; 23(4); 376-382","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400376&lang=pt" 
"S1678-77572015000400383-scl","Analysis of radiopacity, pH and cytotoxicity of a new bioceramic material","SOUZA, Letícia Chaves de, YADLAPATI, Mamatha, DORN, Samuel O, SILVA, Renato, LETRA, Ariadne","Journal of Applied Oral Science; 23(4); 383-389","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400383&lang=pt" 
"S1676-24442015000400231-scl","Oxidative stress in the pathophysiology of metabolic syndrome: which mechanisms are involved?","Avelar, Thalia M. T., Storch, Amanda S., Castro, Luana A., Azevedo, Gabriela V. M. M., Ferraz, Leda, Lopes, Patricia F.","Jornal Brasileiro de Patologia e Medicina Laboratorial; 51(4); 231-239","Jornal Brasileiro de Patologia e Medicina Laboratorial","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-24442015000400231&lang=pt" 
"S1678-77572015000400369-scl","Biological and mechanical properties of an experimental glass-ionomer cement modified by partial replacement of CaO with MgO or ZnO","KIM, Dong-Ae, ABO-MOSALLAM, Hany, LEE, Hye-Young, LEE, Jung-Hwan, KIM, Hae-Won, LEE, Hae-Hyoung","Journal of Applied Oral Science; 23(4); 369-375","Journal of Applied Oral Science","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572015000400369&lang=pt" 
