"S0103-84782012000900010-scl","Índices topográficos aplicados à modelagem agrícola e ambiental","Minella, Jean Paolo Gomes, Merten, Gustavo Henrique","Ciência Rural; 42(9); 1575-1582","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000900010&lang=pt" 
"S0717-92272012000300004-chl","Evaluación del efecto de talleres orientados a padres cuyos hijos presentan primeros episodios psicóticos","Loubat O, Margarita","Revista chilena de neuro-psiquiatría; 50(3); 151-157","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300004&lang=pt" 
"S0717-92272012000300005-chl","El cobre en la neurofisiología del hipocampo","Leiva R, Juan, Palestini Q, Mario","Revista chilena de neuro-psiquiatría; 50(3); 158-165","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300005&lang=pt" 
"S0717-92272012000300006-chl","Afasia logopénica: presentación de un caso y revisión de la literatura","Baeza V, Sandra, Bustos R, Carla, Ovando B, Pamela","Revista chilena de neuro-psiquiatría; 50(3); 166-173","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300006&lang=pt" 
"S0717-92272012000300007-chl","Neuropatía hereditaria con susceptibilidad a la parálisis por presión: Importancia del protocolo electrodiagnóstico","Díaz Negrillo, Antonio","Revista chilena de neuro-psiquiatría; 50(3); 174-180","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300007&lang=pt" 
"S0717-92272012000300008-chl","Abuso y dependencia de internet: la epidemia y su controversia","Berner G, Juan Enrique, Santander T, Jaime","Revista chilena de neuro-psiquiatría; 50(3); 181-190","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300008&lang=pt" 
"S0717-92272012000300010-chl","Trastorno generalizado del desarrollo no especificado: Una reflexión sobre este diagnóstico","Sandoval, Angélica, Moyano, Andrea, Barrera, Paula","Revista chilena de neuro-psiquiatría; 50(3); 202-203","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300010&lang=pt" 
"S0717-92272012000300009-chl","Guía clínica: consenso para Chile en enfermedad de Fabry","Varas M, Carmen, Gómez, Griselda, Morales T, Miguel, Molt C, Fernando, Cabello A, Juan Francisco, Alcántara P, Alex, Downey C, Patricio, Barría M, Carlos, Álvarez C, Mariela, Villarroel Sch, Claudio, Ponce M, Juan Carlos, Cortés M, Fanny, Moraga U, Sandra, Peredo O, Pilar","Revista chilena de neuro-psiquiatría; 50(3); 191-201","Revista chilena de neuro-psiquiatría","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272012000300009&lang=pt" 
"S0034-71402012000300002-scl","Uma nota sobre erros de previsão da inflação de curto-prazo","Kohlscheen, Emanuel","Revista Brasileira de Economia; 66(3); 289-297","Revista Brasileira de Economia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300002&lang=pt" 
"S0034-71402012000300004-scl","An empirical analysis of the external finance premium of public non-financial corporations in Brazil","Oliveira, Fernando N. de, Ronchi Neto, Alberto","Revista Brasileira de Economia; 66(3); 323-360","Revista Brasileira de Economia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300004&lang=pt" 
"S0034-71402012000300001-scl","Attentiveness cycles: synchronized behavior and aggregate fluctuations","Gomes, Orlando","Revista Brasileira de Economia; 66(3); 271-288","Revista Brasileira de Economia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300001&lang=pt" 
"S0034-71402012000300003-scl","Previsão do câmbio real-dólar sob um arcabouço de apreçamento de ativos","Matos, Paulo, Beviláqua, Giovanni, Filho, Jaime","Revista Brasileira de Economia; 66(3); 299-321","Revista Brasileira de Economia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300003&lang=pt" 
"S0034-71402012000300006-scl","Agregação temporal e não-linearidade afetam os testes da paridade do poder de compra: evidência a partir de dados brasileiros","Simões, Oscar R., Marçal, Emerson Fernandes","Revista Brasileira de Economia; 66(3); 375-399","Revista Brasileira de Economia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300006&lang=pt" 
"S0034-71402012000300005-scl","Uma nota sobre estimativas de carga fiscal e incidência de ICMS usando dados em painel","Politi, Ricardo Batista, Mattos, Enlinson Henrique Carvalho de","Revista Brasileira de Economia; 66(3); 361-374","Revista Brasileira de Economia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-71402012000300005&lang=pt" 
"S0718-92732012000200001-chl","Heidegger y Zubiri... y el «problema de Dios»","Espinoza Lolas, Ricardo, Ascorra Costa, Paula","Veritas; (27); 09-33","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200001&lang=pt" 
"S0718-92732012000200002-chl","María Zambrano: la actualidad de Dios","Pulgar Castro, Rodrigo","Veritas; (27); 35-55","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200002&lang=pt" 
"S0718-92732012000200003-chl","El acceso racional a Dios en la Institución de la Religión Cristiana de Juan Calvino","Svensson, Manfres","Veritas; (27); 57-73","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200003&lang=pt" 
"S0718-92732012000200004-chl","Axiological and practical reason in Husserl","Ferrer Santos, Urbano","Veritas; (27); 77-95","Veritas","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200004&lang=pt" 
"S0718-92732012000200006-chl","Factum de la razón y conciencia moral Acerca de la normatividad en la moral kantiana","Gonzalez Vallejos, Miguel","Veritas; (27); 113-134","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200006&lang=pt" 
"S0718-92732012000200007-chl","La contingencia de la Palabra de Dios, presupuesto necesario de la hermenéutica bíblica","Casas Ramírez, Juan Alberto","Veritas; (27); 137-164","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200007&lang=pt" 
"S0718-92732012000200008-chl","«¿Entiendes lo que estás leyendo?»: (Hch 8,30) Acerca de la traducción de la Biblia de la Iglesia en América","Silva Retamales, Santiago","Veritas; (27); 165-191","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200008&lang=pt" 
"S0718-92732012000200009-chl","La concepción de la pena en el magisterio actual","Irarazabal, Gustavo","Veritas; (27); 193-220","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200009&lang=pt" 
"S1679-45082012000300002-scl","Dez anos de einstein","Glina, Sidney","Einstein (São Paulo); 10(3); ix-x","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300002&lang=pt" 
"S1679-45082012000300001-scl","einstein na PubMed","Rizzo, Luiz Vicente","Einstein (São Paulo); 10(3); vii-vii","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300001&lang=pt" 
"S1679-45082012000300026-scl","Adaptação experimental de uma cepa de influenza H5HA confere transmissão por gotículas aéreas numa cepa recombinante H5Ha/H1N1 do vírus da influenza em furões","Pasternak, Jacyr","Einstein (São Paulo); 10(3); 391-393","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300026&lang=pt" 
"S1679-45082012000300025-scl","Baixa acuidade visual secundária à doença celíaca","Martins, Thiago Gonçalves dos Santos, Costa, Ana Luiza Fontes de Azevedo","Einstein (São Paulo); 10(3); 389-390","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300025&lang=pt" 
"S1679-45082012000300022-scl","Hemoperitôneo secundário a GIST gástrico c-KIT negativo e anticorpo anti-DOG1 positivo","Epstein, Marina Gabrielle, Pasquetti, Aline Fioravanti, Costa, Sara Venoso, Favaro, Murillo de Lima, Contrucci Filho, Orlando, Ribeiro Junior, Marcelo Augusto Fontenelle","Einstein (São Paulo); 10(3); 377-379","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300022&lang=pt" 
"S1679-45082012000300021-scl","Anafilaxia com convulsões após angiografia com fluoresceína em paciente ambulatorial","Balbino, Marcos, Silva, Gisele, Correia, Gabriela Cardoso Tostes Pimentel","Einstein (São Paulo); 10(3); 374-376","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300021&lang=pt" 
"S1679-45082012000300020-scl","Neuropatia do nervo femoral após psoas hitch","Pinto, Antonio Cardoso, Macea, José Rafael, Pecoraro, Marcello Toscano","Einstein (São Paulo); 10(3); 371-373","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300020&lang=pt" 
"S1679-45082012000300024-scl","A termodinâmica como princípio motriz do sistema imune","Finger, Eduardo","Einstein (São Paulo); 10(3); 386-388","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300024&lang=pt" 
"S0073-47212012000300002-scl","Distribuição espaço-temporal e sucesso reprodutivo de Eretmochelys imbricata nas praias do Ipojuca, Pernambuco, Brasil","Moura, Carina C. de M., Guimarães, Elisângela da S., Moura, Geraldo J. B. de, Amaral, Getúlio J. A. do, Silva, Arley C. da","Iheringia. Série Zoologia; 102(3); 254-260","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300002&lang=pt" 
"S0073-47212012000300003-scl","Trophic ecology of Lontra longicaudis (Carnivora, Mustelidae) in lotic and semilotic environments in southeastern Brazil","Santos, Lívia B., Reis, Nelio R. dos, Orsi, Mário L.","Iheringia. Série Zoologia; 102(3); 261-268","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300003&lang=pt" 
"S0073-47212012000300014-scl","Descrição de uma espécie nova de Hentziectypus e da fêmea de H. rafaeli (Araneae, Theridiidae)","Buckup, Erica Helena, Marques, Maria Aparecida L., Rodrigues, Everton Nei Lopes","Iheringia. Série Zoologia; 102(3); 340-342","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300014&lang=pt" 
"S0073-47212012000300001-scl","Distribuição horizontal da macrofauna bentônica na praia do Cassino, extremo sul do Brasil","Neves, Luciano Peyrer das, Silva, Pedro de Sá Rodrigues da, Bemvenuti, Carlos Emílio","Iheringia. Série Zoologia; 102(3); 245-253","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300001&lang=pt" 
"S0073-47212012000300010-scl","Revisão taxonômica de Termitococcinae (Hemiptera, Coccoidea, Margarodidae)","Silva, Daniele C. da, Carvalho, Gervásio S.","Iheringia. Série Zoologia; 102(3); 311-320","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300010&lang=pt" 
"S0073-47212012000300007-scl","Diversity of social wasps (Hymenoptera, Vespidae) in Cerrado biome of the southern of the state of Minas Gerais, Brazil","Simões, Matheus H., Cuozzo, Mariana D., Frieiro-Costa, Fernando A.","Iheringia. Série Zoologia; 102(3); 292-297","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300007&lang=pt" 
"S0073-47212012000300015-scl","Neodrassex, a new genus of the Leptodrassex group (Araneae, Gnaphosidae) from South America","Ott, Ricardo","Iheringia. Série Zoologia; 102(3); 343-350","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300015&lang=pt" 
"S0073-47212012000300008-scl","Biometric and statistical investigations on the cnidoma of the genus Hydra (Cnidaria, Hydrozoa)","Deserti, Maria I., Zamponi, Mauricio O.","Iheringia. Série Zoologia; 102(3); 298-302","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300008&lang=pt" 
"S0073-47212012000300012-scl","New species of Eupalaestrus from Argentina (Araneae, Theraphosidae, Theraphosinae)","Ferretti, Nelson, Barneche, Jorge","Iheringia. Série Zoologia; 102(3); 327-330","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300012&lang=pt" 
"S1983-14472012000300002-scl","A biossegurança e segurança do paciente na visão de acadêmicos de enfermagem","Cararro, Telma Elisa, Gelbcke, Francine Lima, Sebold, Luciara Fabiane, Kempfer, Silvana Silveira, Zapelini, Maria Christina, Waterkemper, Roberta","Revista Gaúcha de Enfermagem; 33(3); 14-19","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300002&lang=pt" 
"S1983-14472012000300001-scl","Serviço de enfermagem em saúde pública do Hospital de Clínicas de Porto Alegre: 40 anos de história","Heldt, Elizeth","Revista Gaúcha de Enfermagem; 33(3); 8-9","Revista Gaúcha de Enfermagem","Inglês, Português, Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300001&lang=pt" 
"S1983-14472012000300020-scl","Representações sociais de trabalhadores da atenção básica de saúde sobre envelhecimento","Mendes, Cristina Katya Torres Teixeira, Alves, Maria do Socorro Costa Feitosa, Silva, Antonia Oliveira, Paredes, Maria Adelaide Silva, Rodrigues, Tatyanni Peixoto","Revista Gaúcha de Enfermagem; 33(3); 148-155","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300020&lang=pt" 
"S0718-92732012000200005-chl","En torno a la hermenéutica blanca de Ser Tiempo en Edith Stein","Caballero Bono, Jose Luis","Veritas; (27); 97-112","Veritas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-92732012000200005&lang=pt" 
"S1679-45082012000300003-scl","Análise comparativa das gestações e da frequência de prematuridade e baixo peso ao nascer entre filhos de mães adolescentes e adultas","Perez Neto, Maria Isabel Naliato, Segre, Conceição Aparecida de Mattos","Einstein (São Paulo); 10(3); 271-277","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300003&lang=pt" 
"S1679-45082012000300005-scl","Detecção de mutações no gene KIT em leucemia mieloide aguda","Machado, Luis Eduardo Silva, Pinho, João Renato Rebello, Sitnik, Roberta, Muto, Nair Hideko, Velloso, Elvira Deolinda Rodrigues Pereira, Petroni, Roberta Cardoso, Campregher, Paulo Vidal","Einstein (São Paulo); 10(3); 286-291","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300005&lang=pt" 
"S1679-45082012000300006-scl","Procedimentos intervencionistas para o manejo da dor no câncer","Minson, Fabiola Peixoto, Assis, Fabrício Dias, Vanetti, Thais Kfouri, Sardá Junior, Jamir, Mateus, Wanessa Pereira, Del Giglio, Auro","Einstein (São Paulo); 10(3); 292-295","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300006&lang=pt" 
"S1679-45082012000300007-scl","Isolamento e caracterização de células-tronco mesenquimais de filtros reutilizáveis e descartáveis de medula óssea","Deus, Glaziane Cordeiro de, Normanton, Marilia, Hamerschlak, Nelson, Kondo, Andrea Tiemi, Ribeiro, Andreza Alice Feitosa, Goldberg, Anna Carla, Marti, Luciana Cavalheiro","Einstein (São Paulo); 10(3); 296-301","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300007&lang=pt" 
"S1679-45082012000300008-scl","Análise da rejeição do transplante de aponeurose em coelhos","David, Andre Ibrahim, Gouvea, Eduardo Sauerbronn, Batista, Felipe Ribeiro, Barros, Paulo Henrique Fogaça de, Martini Filho, Dino, Arias, Victor, Corsi, Paulo Roberto, Szutan, Luiz Arnaldo","Einstein (São Paulo); 10(3); 302-305","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300008&lang=pt" 
"S1679-45082012000300009-scl","Influenza pandêmica A/H1N1: análise comparativa de alterações histopatológicas pulmonares","Marchiori, Roberta, Bredt, Carla Sakuma de Oliveira, Campos, Marcos Menezes Freitas de, Negretti, Fábio, Duarte, Péricles Almeida Delfino","Einstein (São Paulo); 10(3); 306-311","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300009&lang=pt" 
"S1679-45082012000300011-scl","Estudo psicométrico da Escala de Avaliação de Demência e sua aplicabilidade em instituições de longa permanência no Brasil","Jacinto, Alessandro Ferrari, Aguiar, Ana Cristina Procópio de Oliveira, Franco, Fabio Gazelato de Melo, Ribeiro, Miriam Ikeda, Citero, Vanessa de Albuquerque","Einstein (São Paulo); 10(3); 318-322","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300011&lang=pt" 
"S1679-45082012000300013-scl","Relação da circunferência do pescoço com a força muscular relativa e os fatores de risco cardiovascular em mulheres sedentárias","Tibana, Ramires Alsamir, Teixeira, Tatiane Gomes, Farias, Darlan Lopes de, Silva, Alessandro de Oliveira, Madrid, Bibiano, Vieira, Alexandre, Franz, Carlos Bainy, Balsamo, Sandor, Souza Júnior, Tácito Pessoa de, Prestes, Jonato","Einstein (São Paulo); 10(3); 329-334","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300013&lang=pt" 
"S1679-45082012000300014-scl","Qualidade das informações de saúde e medicamentos nos sítios brasileiros","Gondim, Ana Paula Soares, Weyne, Davi Pontes, Ferreira, Bruno Sousa Pinto","Einstein (São Paulo); 10(3); 335-341","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300014&lang=pt" 
"S1679-45082012000300015-scl","Circuncisão por motivos médicos no sistema público de saúde do Brasil: epidemiologia e tendências","Korkes, Fernando, Silva II, Jarques Lucio, Pompeo, Antonio Carlos Lima","Einstein (São Paulo); 10(3); 342-346","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300015&lang=pt" 
"S1679-45082012000300016-scl","Avaliação da percepção de enfermeiros sobre três protocolos para controle glicêmico em pacientes críticos","Corrêa, Thiago Domingos, Almeida, Francisca Pereira de, Cavalcanti, Alexandre Biasi, Pereira, Adriano José, Silva, Eliézer","Einstein (São Paulo); 10(3); 347-353","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300016&lang=pt" 
"S1679-45082012000300017-scl","Impacto do uso da pinça seladora ou do bisturi harmônico nos desfechos intra-hospitalares e no custo de procedimentos de tireoidectomia","Silva, Fabricia Bersi da, Limoeiro, Ana Claudia de Oliveira, Del Bianco, Juliana, Teich, Vanessa, Teich, Nelson, Teixeira, José Carlos, Vasconcelos, Ana Luiz, Sardenberg, Camila","Einstein (São Paulo); 10(3); 354-359","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300017&lang=pt" 
"S1679-45082012000300018-scl","A importância de uma base de dados na gestão de serviços de saúde","Andrade, Cláudia Toledo de, Magedanz, Ana Maria Prado Castello Branco, Escobosa, Daísa Mesquita, Tomaz, Wellington Martins, Santinho, Carolina Sampieri, Lopes, Tania Oliveira, Lombardo, Valéria","Einstein (São Paulo); 10(3); 360-365","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300018&lang=pt" 
"S1679-45082012000300019-scl","Distintas manifestações do tumor odontogênico cístico calcificante","Utumi, Estevam Rubens, Pedron, Irineu Gregnanin, Silva, Leopoldo Penteado Nucci da, Machado, Gustavo Grothe, Rocha, André Caroli","Einstein (São Paulo); 10(3); 366-370","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300019&lang=pt" 
"S1679-45082012000300023-scl","Fatores de risco maternos não biológicos para o baixo peso ao nascer na América Latina: revisão sistemática de literatura com meta-análise","Silva, Telma Regina Sanches Ranzani da","Einstein (São Paulo); 10(3); 380-385","Einstein (São Paulo)","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082012000300023&lang=pt" 
"S0073-47212012000300011-scl","Variation morphogeometrics of Africanized honey bees (Apis mellifera) in Brazil","Nunes, Lorena A., Araújo, Edilson D. de, Marchini, Luis C., Moreti, Augusta C. de C. C.","Iheringia. Série Zoologia; 102(3); 321-326","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300011&lang=pt" 
"S0073-47212012000300004-scl","Can climate shape flight activity patterns of Plebeia remota Hymenoptera, Apidae)?","Hilário, Sergio D., Ribeiro, Márcia de F., Imperatriz-Fonseca, Vera L.","Iheringia. Série Zoologia; 102(3); 269-276","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300004&lang=pt" 
"S0073-47212012000300005-scl","Width-weight relationship and condition factor of Ucides cordatus (Crustacea, Decapoda, Ucididae) at tropical mangroves of Northeast Brazil","Araújo, Marina S.L.C., Castiglioni, Daniela S., Coelho, Petrônio A.","Iheringia. Série Zoologia; 102(3); 277-284","Iheringia. Série Zoologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300005&lang=pt" 
"S0073-47212012000300013-scl","Novos táxons de Cerambycidae (Coleoptera) das Américas Central e do Sul","Martins, Ubirajara R., Galileo, Maria Helena M.","Iheringia. Série Zoologia; 102(3); 331-339","Iheringia. Série Zoologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000300013&lang=pt" 
"S1983-14472012000300003-scl","Abortamento na adolescência: vivência e necessidades de cuidado","Faria, Ester Correa Rodrigues de, Domingos, Selisvane Ribeiro da Fonseca, Merighi, Miriam Aparecida Barbosa, Ferreira, Leidiane Maria Gomes","Revista Gaúcha de Enfermagem; 33(3); 20-26","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300003&lang=pt" 
"S1983-14472012000300004-scl","Atendimento à crise psíquica no pronto-socorro: visão de profissionais de enfermagem","Borges, Leandro da Rosa, Pinho, Leandro Barbosa de, Lacchini, Annie Jeanninne Bisso, Schneider, Jacó Fernando","Revista Gaúcha de Enfermagem; 33(3); 27-33","Revista Gaúcha de Enfermagem","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472012000300004&lang=pt" 
