"S1657-92672013000300017-col","Análisis psicosocial del consumo de alcohol en adolescentes mexicanos","Villarreal González, María Elena, Sánchez Sosa, Juan Carlos, Musitu Ochoa, Gonzalo","Universitas Psychologica; 12(3); 857-873","Universitas Psychologica","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-92672013000300017&lang=pt" 
"S1870-34532013000300007-mex","Nuevos registros de cangrejos ermitaños (Crustacea: Decapoda: Paguroidea) del Santuario Islas de Bahía Chamela, Jalisco, México: con comentarios sobre el uso de conchas vacías como hábitat","Bastida-Izaguirre, Dafne, Ayón-Parente, Manuel, Salgado-Barragán, José, Galván-Villa, Cristian Moisés, Ríos-Jara, Eduardo","Revista mexicana de biodiversidad; 84(3); 782-791","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300007&lang=pt" 
"S1870-34532013000300004-mex","Larval trematodes of Biomphalaria straminea (Mollusca: Planorbidae) in a ricefield in Corrientes Province, Argentina","Fernández, María Virginia, Hamann, Mónika Inés, Ostrowski-de Núñez, Margarita","Revista mexicana de biodiversidad; 84(3); 756-764","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300004&lang=pt" 
"S1870-34532013000300005-mex","Lista sistemática de la malacofauna terrestre del municipio de Atoyac, Veracruz","Araiza, Victoria, Naranjo-García, Edna","Revista mexicana de biodiversidad; 84(3); 765-773","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300005&lang=pt" 
"S1870-34532013000300002-mex","Bia manuelii (Euphorbiaceae: Acalyphoideae), a new species from Sierra de Coalcomán, Michoacán, Mexico","Steinmann, Victor W., Ramírez-Amezcua, Yocupitzia","Revista mexicana de biodiversidad; 84(3); 746-750","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300002&lang=pt" 
"S1870-34532013000300003-mex","Hoffmannia arqueonervosa (Rubiaceae), una especie nueva del centro de Veracruz, México","Castillo-Campos, Gonzalo, Bautista-Bello, Alma Patricia, Medina-Abreo, María Elena, García-Franco, José G., Martínez, María Luisa","Revista mexicana de biodiversidad; 84(3); 751-755","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300003&lang=pt" 
"S1870-34532013000300001-mex","Algunas especies del género Byssosphaeria (Melanommataceae, Pleosporales) de Veracruz, México","Chacón-Zapata, Santiago, Tapia-Padilla, Fidel","Revista mexicana de biodiversidad; 84(3); 739-745","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300001&lang=pt" 
"S1870-34532013000300019-mex","Reproductive activity of anurans in a dominant agricultural landscape from central-eastern Argentina","Sánchez, Laura C., Peltzer, Paola M., Lajmanovich, Rafael C., Manzano, Adriana S., Junges, Celina M., Attademo, Andrés M.","Revista mexicana de biodiversidad; 84(3); 912-926","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300019&lang=pt" 
"S1870-34532013000300018-mex","Fish community structure dynamics in cenotes of the Biosphere Reserve of Sian Ka&#039;an, Yucatán Peninsula, Mexico","Camargo-Guerra, Teodiceldo, Escalera-Vázquez, Luis H., Zambrano, Luis","Revista mexicana de biodiversidad; 84(3); 901-911","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300018&lang=pt" 
"S1870-34532013000300014-mex","Diagnosis prospectiva sobre la diversidad de diatomeas epilíticas en la laguna Bacalar, Quintana Roo, México","Siqueiros-Beltrones, David A., Argumedo-Hernández, Uri, Hernández-Almeida, Oscar U.","Revista mexicana de biodiversidad; 84(3); 865-875","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300014&lang=pt" 
"S1870-34532013000300017-mex","Abundancia, distribución en los forófitos y producción de frutos de la primera población de Telipogon helleri (Orchidaceae) descubierta en México","García-González, Alfredo, Damon, Anne","Revista mexicana de biodiversidad; 84(3); 894-900","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300017&lang=pt" 
"S1870-34532013000300016-mex","Listado florístico de especies anuales de floración invernal en el noreste de Nuevo León, México","Guzmán-Lucio, Marco Antonio, Wendt, Tom, Simpson, Beryl, Alvarado-Vázquez, Marco Antonio, Foroughbakhch-Pournavab, Rahim, González-Álvarez, Marcela, Rocha-Estrada, Alejandra","Revista mexicana de biodiversidad; 84(3); 884-893","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300016&lang=pt" 
"S1870-34532013000300011-mex","Lista sistemática y afinidades zoogeográficas de la ictiofauna del Sistema Arrecifal Veracruzano, México","Del Moral-Flores, Luis Fernando, Tello-Musi, José Luis, Reyes-Bonilla, Héctor, Pérez-España, Horacio, Martínez-Pérez, José Antonio, Horta-Puga, Guillermo, Velazco-Mendoza, Laura Adriana, Álvarez del Castillo-Cárdenas, Patricia Alexandra","Revista mexicana de biodiversidad; 84(3); 825-846","Revista mexicana de biodiversidad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300011&lang=pt" 
"S1870-34532013000300010-mex","A new species of Forcipomyia (Phytohelea) from Argentina (Diptera: Ceratopogonidae)","Marino, Pablo I., Díaz, Florentina, Ronderos, María M.","Revista mexicana de biodiversidad; 84(3); 818-824","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300010&lang=pt" 
"S1870-34532013000300013-mex","On the presence of Cissites maculata (Coleoptera: Meloidae) in Mexico","García-París, Mario, Piñango, Celeigher, Manzanilla, Jesús, Zaldívar-Riverón, Alejandro","Revista mexicana de biodiversidad; 84(3); 855-864","Revista mexicana de biodiversidad","Inglês","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532013000300013&lang=pt" 
"S1414-81452013000400713-scl","A integralidade do cuidado ao recém-nascido: articulações da gestão, ensino e assistência","Duarte, Elysângela Dittz, Sena, Roseni Rosângela de, Dittz, Erika da Silva, Tavares, Tatiana Silva, Silva, Paloma Morais, Walty, Cynthia Marcia Romano Faria","Escola Anna Nery; 17(4); 713-720","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400713&lang=pt" 
"S1414-81452013000400599-scl","Saúde na perspectiva da integralidade","Alvim, Neide Aparecida Titonelli","Escola Anna Nery; 17(4); 599-599","Escola Anna Nery","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400599&lang=pt" 
"S1414-81452013000400611-scl","Validação clínica do diagnóstico &quot;falta de adesão&quot; em pessoas com hipertensão arterial","Oliveira, Célida Juliana de, Araujo, Thelma Leite de, Costa, Francisca Bertilia Chaves, Costa, Alice Gabrielle de Sousa","Escola Anna Nery; 17(4); 611-619","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400611&lang=pt" 
"S1414-81452013000400788-scl","Colonialismo nas relações entre trabalhadores e usuários durante as práticas de cuidado: implicações para a integralidade da atenção","Schimith, Maria Denise, Brêtas, Ana Cristina Passarella, Budó, Maria de Lourdes Denardin, Chiesa, Anna Maria, Alberti, Gabriela Fávero","Escola Anna Nery; 17(4); 788-795","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400788&lang=pt" 
"S1414-81452013000400730-scl","A equipe de saúde na atenção integral ao adolescente vivendo com HIV/AIDS","Mesquita, Nanci Felix, Torres, Odete Messa","Escola Anna Nery; 17(4); 730-739","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400730&lang=pt" 
"S1414-81452013000400628-scl","Integralidade do cuidado com o idoso na estratégia de saúde da família: visão da equipe","Coutinho, Aline Torres, Popim, Regina Célia, Carregã, Karyn, Spiri, Wilza Carla","Escola Anna Nery; 17(4); 628-637","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400628&lang=pt" 
"S1414-81452013000400781-scl","Interação entre equipe de enfermagem e família na percepção dos familiares de crianças com doenças crônicas","Rodrigues, Polianna Formiga, Amador, Daniela Doulavince, Silva, Kenya de Lima, Reichert, Altamira Pereira da Silva, Collet, Neusa","Escola Anna Nery; 17(4); 781-787","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400781&lang=pt" 
"S1414-81452013000400740-scl","Adesão ao tratamento antirretroviral: assistência integral baseada no modelo de atenção às condições crônicas","Fiuza, Maria Luciana Teles, Lopes, Emeline Moura, Alexandre, Herta de Oliveira, Dantas, Patrícia Bernardo, Galvão, Marli Teresinha Gimeniz, Pinheiro, Ana Karina Bezerra","Escola Anna Nery; 17(4); 740-748","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400740&lang=pt" 
"S1414-81452013000400646-scl","Práticas integrativas e complementares no cuidado de enfermagem: um enfoque ético","Magalhães, Mariana Gonzalez Martins de, Alvim, Neide Aparecida Titonelli","Escola Anna Nery; 17(4); 646-653","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400646&lang=pt" 
"S1414-81452013000400620-scl","Melhores práticas na atenção básica à saúde e os sentidos da integralidade","Andrade, Selma Regina de, Mello, Ana Lúcia Schaefer Ferreira de, Locks, Maria Teresa Rogério, Mattia, Daiana de, Hoeller, Fernanda, Erdmann, Alacoque Lorenzini","Escola Anna Nery; 17(4); 620-627","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400620&lang=pt" 
"S1414-81452013000400638-scl","Necessidades de saúde de homens na atenção básica: acolhimento e vínculo como potencializadores da integralidade","Storino, Luisa Pereira, Souza, Kleyde Ventura de, Silva, Kênia Lara","Escola Anna Nery; 17(4); 638-645","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400638&lang=pt" 
"S1414-81452013000400654-scl","Ambiente e humanização: retomada do discurso de nightingale na política nacional de humanização","Freitas, Fernanda Duarte da Silva de, Silva, Rodrigo Nogueira da, Araújo, Flávia Pachedo de, Ferreira, Márcia de Assunção","Escola Anna Nery; 17(4); 654-660","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400654&lang=pt" 
"S1414-81452013000400698-scl","Cuidado integral e aconselhamento reprodutivo à mulher que abortou: percepções da enfermagem","Strefling, Ivanete da Silva Santiago, Lunardi Filho, Wilson Danilo, Kerber, Nalú Pereira da Costa, Soares, Marilu Correa, Gomes, Vera Lúcia de Oliveira, Vargas, Elisa de","Escola Anna Nery; 17(4); 698-704","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400698&lang=pt" 
"S1414-81452013000400772-scl","Integralidade das ações entre profissionais e serviços: prerrogativa ao direito à saúde da criança","Andrade, Raquel Dully, Santos, Jaqueline Silva, Pina, Juliana Coelho, Furtado, Maria Cândida de Carvalho, Mello, Débora Falleiros de","Escola Anna Nery; 17(4); 772-780","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400772&lang=pt" 
"S1414-81452013000400690-scl","Comunicação terapêutica entre profissionais de saúde e mães acompanhantes durante a hospitalizaçao do filho","Figueiredo, Sarah Vieira, Gomes, Ilvana Lima Verde, Pennafort, Viviane Peixoto dos Santos, Monteiro, Ana Ruth Macêdo, Figueiredo, Juliana Vieira","Escola Anna Nery; 17(4); 690-697","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400690&lang=pt" 
"S1414-81452013000400755-scl","O autocuidado para o tratamento de úlcera de perna falciforme: orientações de enfermagem","Martins, Amanda, Moreira, Debora Galvão, Nascimento, Emilia Matos do, Soares, Enedina","Escola Anna Nery; 17(4); 755-763","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400755&lang=pt" 
"S1414-81452013000400705-scl","Vulnerabilidade ao adoecimento de crianças com hiv/aids em transição da infância para a adolescência","Bubadué, Renata de Moura, Paula, Cristiane Cardoso de, Carnevale, Franco, Marín, Sandra Catalina Ochoa, Brum, Crhis Netto de, Padoin, Stela Maris de Mello","Escola Anna Nery; 17(4); 705-712","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400705&lang=pt" 
"S1414-81452013000400749-scl","Integralidade no cuidado: estudo da qualidade de vida dos usuários com tuberculose","Farias, Sheila Nascimento Pereira de, Medeiros, Célia Regina da Silva, Paz, Elisabete Pimenta Araújo, Lobo, Alexandrina de Jesus Serra, Ghelman, Liane Gack","Escola Anna Nery; 17(4); 749-754","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400749&lang=pt" 
"S1414-81452013000400721-scl","Rede social de apoio ao desenvolvimento infantil segundo a equipe de saúde da família","Dezoti, Ana Paula, Alexandre, Ana Maria Cosvoski, Tallmann, Vanessa Aparecida Bida, Maftum, Mariluci Alves, Mazza, Verônica de Azevedo","Escola Anna Nery; 17(4); 721-729","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400721&lang=pt" 
"S1414-81452013000400668-scl","Serviço residencial terapêutico: o olhar do usuário","Matos, Bruna Gusmão de, Moreira, Lilian Hortale de Oliveira","Escola Anna Nery; 17(4); 668-676","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400668&lang=pt" 
"S1414-81452013000400677-scl","Integralidade como uma dimensão da prática assistencial do enfermeiro no acolhimento mãe-bebê","Souza, Maria Helena do Nascimento, Paz, Elisabete Pimenta Araújo, Farias, Sheila Nascimento Pereira, Ghelman, Liane Gack, Mattos, Camille Xavier de, Barros, Rebecca Rodrigues de","Escola Anna Nery; 17(4); 677-682","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400677&lang=pt" 
"S1414-81452013000400661-scl","O cuidado de enfermagem aos doadores de sangue - a perspectiva da integralidade","Santos, Nereida Lucia Palko dos, Stipp, Marluci Andrade Conceição, Silva, Ana Lúcia Abrahão da, Moreira, Marléa Chagas, Leite, Josete Luzia","Escola Anna Nery; 17(4); 661-667","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400661&lang=pt" 
"S1414-81452013000400764-scl","Compreendendo o princípio de integralidade na visão de discentes da graduação em enfermagem","Teixeira, Gabriela Bezerra, Silva, Camila Augusta da, Teixeira, Lidiane Bezerra, Monteiro, Akemi Iwata","Escola Anna Nery; 17(4); 764-771","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400764&lang=pt" 
"S1414-81452013000400603-scl","Atenção domiciliar na estruturação da rede de atenção à saúde:trilhando os caminhos da integralidade","Brito, Maria José Menezes, Andrade, Angélica Mônica, Caçador, Beatriz Santana, Freitas, Letícia Fernanda de Cota, Penna, Claudia Maria de Mattos","Escola Anna Nery; 17(4); 603-610","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400603&lang=pt" 
"S1414-81452013000400683-scl","Significado da capacitação profissional para o cuidado da mulher vítima de violência conjugal","Gomes, Nadirlene Pereira, Erdmann, Alacoque Lorenzini, Bettinelli, Luiz Antonio, Higashi, Giovana Dorneles Callegaro, Carneiro, Jordana Brock, Diniz, Normélia Maria Freire","Escola Anna Nery; 17(4); 683-689","Escola Anna Nery","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-81452013000400683&lang=pt" 
"S2071-081X2013000100001-bol","PRESENTACIÓN","Diez de Medina, José Antonio","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia; 6(6); 8-10","Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia","Espanhol","2013","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2071-081X2013000100001&lang=pt" 
"S1886-58872013000300012-esp","Tratamiento ambulatorio involuntario en psiquiatría: una revisión desde la bioética","Gías Gil, Belén","Revista de Bioética y Derecho; (29); 109-121","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300012&lang=pt" 
"S1886-58872013000300007-esp","El principio de justicia y la gestión de recursos crónicamente insuficientes en tiempos de crisis","José María, Francesc","Revista de Bioética y Derecho; (29); 62-67","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300007&lang=pt" 
"S1886-58872013000300006-esp","Clinical Research involving Children: consideration relating to assent","Villena Sarmiento, Rita, Vieira da Motta, Marcia","Revista de Bioética y Derecho; (29); 51-61","Revista de Bioética y Derecho","Inglês","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300006&lang=pt" 
"S1886-58872013000300002-esp","De enfermedades y gentes","García Aznar, Andreu","Revista de Bioética y Derecho; (29); 3-10","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300002&lang=pt" 
"S1886-58872013000300003-esp","Il caso Italia: medicina riproduttiva e obiezione di coscienza","Balzano, Angela","Revista de Bioética y Derecho; (29); 11-23","Revista de Bioética y Derecho","Italiano","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300003&lang=pt" 
"S1886-58872013000300004-esp","Protocolo para la presentación y análisis de casos clínicos ante los Comités de Ética Asistencial","Netza Cardoso, Cruz","Revista de Bioética y Derecho; (29); 24-34","Revista de Bioética y Derecho","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1886-58872013000300004&lang=pt" 
