"S0482-50042012000100014-scl","Níveis séricos elevados de homocisteína em pacientes pediátricos com fenômeno de Raynaud primário","Kutilek, Stepan, Nemec, Vladimir, Bockayova, Eva","Revista Brasileira de Reumatologia; 52(1); 128-130","Revista Brasileira de Reumatologia","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0482-50042012000100014&lang=pt" 
"S1677-55382012000100009-scl","Single-session ureteroscopic pneumatic lithotripsy for the management of bilateral ureteric stones","Isen, Kenan","International braz j urol; 38(1); 63-68","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100009&lang=pt" 
"S1677-55382012000100008-scl","When prone position is contraindicated or not preferable, can supine percutaneous nephrolithotomy solve the problem?","Youssef, A., Esmat, M., Wael, M.","International braz j urol; 38(1); 57-62","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100008&lang=pt" 
"S1677-55382012000100019-scl","Acute bilateral renal vein thrombosis secondary to sepsis from pyelonephritis","Harris, Leslie A., Van Every, Marvin J., Fundell, Larry J.","International braz j urol; 38(1); 132-134","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100019&lang=pt" 
"S1677-55382012000100012-scl","Simplified hemostatic technique during laparoscopic partial nephrectomy","Tsivian, Alexander, Tsivian, Matvey, Benjamin, Shalva, Sidi, Ami A.","International braz j urol; 38(1); 84-88","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100012&lang=pt" 
"S1677-55382012000100015-scl","Rapid thawing human sperm does not affect basic parameters in normozoospermic men: a double-blind prospective study","Vieira, Marco A., Nery, Simone F., Tavares, Rubens L., Dela Cruz, Cynthia, Reis, Fernando M., Camargos, Aroldo F.","International braz j urol; 38(1); 108-115","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100015&lang=pt" 
"S1677-55382012000100016-scl","Varicocele among healthy young men in Turkey; prevalence and relationship with body mass index","Soylemez, Haluk, Atar, Murat, Sancaktutar, Ahmet Ali, Bozkurt, Yasar, Penbegul, Necmettin","International braz j urol; 38(1); 116-121","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100016&lang=pt" 
"S1677-55382012000100018-scl","Enhanced computed tomograms provide accurate assessment of local extension and stage of bladder carcinoma","Lang, Erich K., Nguyen, Quan, Zhang, Karl","International braz j urol; 38(1); 129-131","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100018&lang=pt" 
"S1677-55382012000100020-scl","Retroperitoneal lymph node dissection with concomitant IVC thrombectomy, caval wall resection, and grafting for metastatic NSGT","Hakky, Tariq, Kim, Timothy, Rodriguez, Alejandro R., Armstrong, Paul, Mangar, Devanand, Spiess, Philippe E.","International braz j urol; 38(1); 135-136","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100020&lang=pt" 
"S0034-76122012000100002-scl","O jovem percurso da administração política","Gomes, Fábio Guedes","Revista de Administração Pública; 46(1); 7-24","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000100002&lang=pt" 
"S0034-76122012000100012-scl","Reflexividade e articulação empreendedora na sociedade contemporânea: podemos fazer diferente?","Sá, Marcio Gomes de, Mello, Sérgio Carvalho Benício de","Revista de Administração Pública; 46(1); 249-270","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000100012&lang=pt" 
"S0034-76122012000100015-scl","Ecos da contribuição de Guerreiro Ramos para a divulgação da obra de Weber no campo de estudos organizacionais (EOs)","Camara, Leonor Moreira","Revista de Administração Pública; 46(1); 315-331","Revista de Administração Pública","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122012000100015&lang=pt" 
"S1677-55382012000100001-scl","Editor’s comment","Kim, Fernando J.","International braz j urol; 38(1); 01-03","International braz j urol","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382012000100001&lang=pt" 
"S1413-81232012000200001-spa","O dilema da Rio + 20","","Ciência &amp; Saúde Coletiva; 17(2); 284-284","Ciência &amp; Saúde Coletiva","Inglês, Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200001&lang=pt" 
"S1413-81232012000200009-spa","Sensibilidade ao Látex e Dosagem de Anticorpos Específicos em Profissionais da Área da Saúde","Gomes, Maria José, Barbosa, Roberto Sarcinelli, Dias, Filipe Pereira, Carvalho, Raquel Baroni de, Oliveira, Elizabete Regina Araujo de, Hebling, Eduardo","Ciência &amp; Saúde Coletiva; 17(2); 351-358","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200009&lang=pt" 
"S1413-81232012000200029-spa","","Santos, Solange Laurentino dos","Ciência &amp; Saúde Coletiva; 17(2); 561-563","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200029&lang=pt" 
"S1413-81232012000200004-spa","Biossegurança, saúde, ambiente e comunicação de riscos: um debate necessário","Peres, Frederico","Ciência &amp; Saúde Coletiva; 17(2); 294-297","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200004&lang=pt" 
"S1413-81232012000200022-spa","Avaliação da qualidade de comprimidos de propranolol e enalapril distribuídos no sistema público de saúde em uma cidade do sul do Brasil","Bianchin, Mariana Domingues, Blatt, Carine Raquel, Soares, Alessandra de Sá, Külkamp-Guerreiro, Irene Clemes","Ciência &amp; Saúde Coletiva; 17(2); 491-498","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200022&lang=pt" 
"S1413-81232012000200021-spa","Regulamentação da propaganda de alimentos infantis como estratégia para a promoção da saúde","Henriques, Patrícia, Sally, Enilce Oliveira, Burlandy, Luciene, Beiler, Renata Mondino","Ciência &amp; Saúde Coletiva; 17(2); 481-490","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200021&lang=pt" 
"S1413-81232012000200020-spa","Alimentação hospitalar: proposições para a qualificação do Serviço de Alimentação e Nutrição, avaliadas pela comunidade científica","Diez-Garcia, Rosa Wanda, Padilha, Marina, Sanches, Maísa","Ciência &amp; Saúde Coletiva; 17(2); 473-480","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200020&lang=pt" 
"S1413-81232012000200019-spa","Estimativa de valores corrigidos e o efeito da correção pelo erro de medida em dados dietéticos obtidos por Questionário de Frequência Alimentar para Adolescentes (QFAA)","Voci, Silvia Maria, Enes, Carla Cristina, Romero, Alexandre, Slater, Betzabeth","Ciência &amp; Saúde Coletiva; 17(2); 465-471","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200019&lang=pt" 
"S1413-81232012000200017-spa","Concentração de sódio e glicose em soro de reidratação oral preparado por Agentes Comunitários de Saúde","Carmo, Liliane Fernandes do, Pereira, Lilian Maciel Rosa, Silva, Camilo Adalton Mariano da, Cunha, Aureliano Claret da, Quintaes, Kesia Diego","Ciência &amp; Saúde Coletiva; 17(2); 445-452","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200017&lang=pt" 
"S1413-81232012000200014-spa","Avaliação do impacto na qualidade de vida causado por problemas bucais na população adulta e idosa em município da Região Sudeste","Miotto, Maria Helena Monteiro de Barros, Barcellos, Ludmilla Awad, Velten, Deise Berger","Ciência &amp; Saúde Coletiva; 17(2); 397-405","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200014&lang=pt" 
"S1413-81232012000200002-spa","Biossegurança, Proteção Ambiental e Saúde: compondo o mosaico","Rocha, Sheila Sotelino da, Bessa, Theolis Costa Barbosa, Almeida, Alzira Maria Paiva de","Ciência &amp; Saúde Coletiva; 17(2); 287-292","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200002&lang=pt" 
"S1413-81232012000200018-spa","O fazer educação alimentar e nutricional: algumas contribuições para reflexão","Santos, Ligia Amparo da Silva","Ciência &amp; Saúde Coletiva; 17(2); 455-462","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200018&lang=pt" 
"S1413-81232012000200003-spa","Reflexão crítica sobre a invisibilidade da biossegurança e da biosseguridade","Augusto, Lia Giraldo da Silva","Ciência &amp; Saúde Coletiva; 17(2); 293-294","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200003&lang=pt" 
"S1413-81232012000200005-scl","A saúde no licenciamento ambiental: uma proposta metodológica para a avaliação dos impactos da indústria de petróleo e gás","Barbosa, Eduardo Macedo, Barata, Matha Macedo de Lima, Hacon, Sandra de Souza","Ciência &amp; Saúde Coletiva; 17(2); 299-310","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200005&lang=pt" 
"S1413-81232012000200006-scl","Serão os carrapaticidas agrotóxicos? Implicações na saúde e na percepção de riscos de trabalhadores da pecuária leiteira","Silva, Tatiana Pastorello Pereira da, Moreira, Josino Costa, Peres, Frederico","Ciência &amp; Saúde Coletiva; 17(2); 311-325","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200006&lang=pt" 
"S1413-81232012000200008-scl","Experiências brasileiras e o debate sobre comunicação e governança do risco em áreas contaminadas por chumbo","Di Giulio, Gabriela Marques, Figueiredo, Bernardino Ribeiro, Ferreira, Lúcia da Costa, Dos Anjos, José Ângelo Sebastião Araújo","Ciência &amp; Saúde Coletiva; 17(2); 337-349","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200008&lang=pt" 
"S1413-81232012000200010-scl","A falta de informação sobre os Organismos Geneticamente Modificados no Brasil","Ribeiro, Isabelle Geoffroy, Marin, Victor Augustus","Ciência &amp; Saúde Coletiva; 17(2); 359-368","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200010&lang=pt" 
"S1413-81232012000200011-scl","Indicadores para Centros de Referência em Saúde do Trabalhador: proposição de um sistema de acompanhamento de serviços de saúde","Jacques, Camila Corrêa, Milanez, Bruno, Mattos, Rita de Cássia Oliveira da Costa","Ciência &amp; Saúde Coletiva; 17(2); 369-378","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200011&lang=pt" 
"S1413-81232012000200012-scl","Sindicalismo, condições de trabalho e saúde: a perspectiva dos profissionais da educação do Rio de Janeiro","Souza, Kátia Reis de, Brito, Jussara Cruz de","Ciência &amp; Saúde Coletiva; 17(2); 379-388","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200012&lang=pt" 
"S1413-81232012000200013-scl","Smoking among undergraduate students in the area of health","Granville-Garcia, Ana Flávia, Sarmento, Dmitry José de Santana, Santos, Jalber Almeida, Pinto, Tássia Almeida, Sousa, Raulison Vieira de, Cavalcanti, Alessandro Leite","Ciência &amp; Saúde Coletiva; 17(2); 389-396","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200013&lang=pt" 
"S1413-81232012000200014-scl","Avaliação do impacto na qualidade de vida causado por problemas bucais na população adulta e idosa em município da Região Sudeste","Miotto, Maria Helena Monteiro de Barros, Barcellos, Ludmilla Awad, Velten, Deise Berger","Ciência &amp; Saúde Coletiva; 17(2); 397-405","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200014&lang=pt" 
"S1413-81232012000200015-scl","Urinary, Circulating, and Tissue Biomonitoring Studies Indicate Widespread Exposure to Bisphenol A","Vandenberg, Laura N., Chahoud, Ibrahim, Heindel, Jerrold J, Padmanabhan, Vasantha, Paumgartten, Francisco J.R, Schoenfelder, Gilbert","Ciência &amp; Saúde Coletiva; 17(2); 407-434","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200015&lang=pt" 
"S1413-81232012000200019-scl","Estimativa de valores corrigidos e o efeito da correção pelo erro de medida em dados dietéticos obtidos por Questionário de Frequência Alimentar para Adolescentes (QFAA)","Voci, Silvia Maria, Enes, Carla Cristina, Romero, Alexandre, Slater, Betzabeth","Ciência &amp; Saúde Coletiva; 17(2); 465-471","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200019&lang=pt" 
"S1413-81232012000200021-scl","Regulamentação da propaganda de alimentos infantis como estratégia para a promoção da saúde","Henriques, Patrícia, Sally, Enilce Oliveira, Burlandy, Luciene, Beiler, Renata Mondino","Ciência &amp; Saúde Coletiva; 17(2); 481-490","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200021&lang=pt" 
"S1413-81232012000200022-scl","Avaliação da qualidade de comprimidos de propranolol e enalapril distribuídos no sistema público de saúde em uma cidade do sul do Brasil","Bianchin, Mariana Domingues, Blatt, Carine Raquel, Soares, Alessandra de Sá, Külkamp-Guerreiro, Irene Clemes","Ciência &amp; Saúde Coletiva; 17(2); 491-498","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200022&lang=pt" 
"S1413-81232012000200024-scl","Masculinidade hegemônica, vulnerabilidade e prevenção ao HIV/AIDS","Marques Junior, Joilson Santana, Gomes, Romeu, Nascimento, Elaine Ferreira do","Ciência &amp; Saúde Coletiva; 17(2); 511-520","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200024&lang=pt" 
"S1413-81232012000200026-scl","Características associadas ao uso de serviços odontológicos públicos pela população adulta brasileira","Pinto, Rafaela da Silveira, Matos, Divane Leite, Loyola Filho, Antônio Ignácio de","Ciência &amp; Saúde Coletiva; 17(2); 531-544","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200026&lang=pt" 
"S1413-81232012000200027-scl","A concepção de família e religiosidade presente nos discursos produzidos por profissionais médicos acerca de crianças com doenças genéticas","Martins, Antilia Januária, Cardoso, Maria Helena Cabral de Almeida, Llerena Júnior, Juan Clinton, Moreira, Martha Cristina Nunes","Ciência &amp; Saúde Coletiva; 17(2); 545-553","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200027&lang=pt" 
"S1415-65552012000100002-scl","Decisões de investimento em ativos de longo prazo nas empresas brasileiras: Qual a aderência ao modelo teórico?","Frezatti, Fábio, Bido, Diógenes de Souza, Cruz, Ana Paula Capuano da, Barroso, Marcelo Francini Girão, Machado, Maria José de Camargo","Revista de Administração Contemporânea; 16(1); 01-22","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100002&lang=pt" 
"S1415-65552012000100004-scl","Evolução de conhecimentos no relacionamento comprador-fornecedor","Rezende, Sérgio Fernando Loureiro, Lima, Walmir Marques de Andrade, Versiani, Ângela França","Revista de Administração Contemporânea; 16(1); 39-58","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100004&lang=pt" 
"S1415-65552012000100005-scl","Intervenientes na transferência de tecnologia universidade-empresa: o caso PUCRS","Closs, Lisiane, Ferreira, Gabriela, Sampaio, Cláudio, Perin, Marcelo","Revista de Administração Contemporânea; 16(1); 59-78","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100005&lang=pt" 
"S1415-65552012000100007-scl","Representações sociais sobre as relações de parentesco: estudo de caso em um grupo empresarial familiar","Lescura, Carolina, Brito, Mozar José de, Borges, Alex Fernando, Cappelle, Mônica Carvalho Alves","Revista de Administração Contemporânea; 16(1); 98-117","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100007&lang=pt" 
"S1415-65552012000100008-scl","Orientação para aprendizagem, orientação para mercado e desempenho organizacional: evidências empíricas","Abbade, Eduardo Botti, Zanini, Roselaine Ruviaro, Souza, Adriano Mendonça","Revista de Administração Contemporânea; 16(1); 118-136","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100008&lang=pt" 
"S1413-81232012000200006-spa","Serão os carrapaticidas agrotóxicos? Implicações na saúde e na percepção de riscos de trabalhadores da pecuária leiteira","Silva, Tatiana Pastorello Pereira da, Moreira, Josino Costa, Peres, Frederico","Ciência &amp; Saúde Coletiva; 17(2); 311-325","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200006&lang=pt" 
"S1413-81232012000200007-spa","Amianto, perigo e invisibilidade: percepção de riscos ambientais e à saúde de moradores do município de Bom Jesus da Serra/Bahia","Moniz, Marcela de Abreu, Castro, Hermano Albuquerque de, Peres, Frederico","Ciência &amp; Saúde Coletiva; 17(2); 327-336","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200007&lang=pt" 
"S1413-81232012000200008-spa","Experiências brasileiras e o debate sobre comunicação e governança do risco em áreas contaminadas por chumbo","Di Giulio, Gabriela Marques, Figueiredo, Bernardino Ribeiro, Ferreira, Lúcia da Costa, Dos Anjos, José Ângelo Sebastião Araújo","Ciência &amp; Saúde Coletiva; 17(2); 337-349","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200008&lang=pt" 
"S1413-81232012000200010-spa","A falta de informação sobre os Organismos Geneticamente Modificados no Brasil","Ribeiro, Isabelle Geoffroy, Marin, Victor Augustus","Ciência &amp; Saúde Coletiva; 17(2); 359-368","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200010&lang=pt" 
"S1413-81232012000200012-spa","Sindicalismo, condições de trabalho e saúde: a perspectiva dos profissionais da educação do Rio de Janeiro","Souza, Kátia Reis de, Brito, Jussara Cruz de","Ciência &amp; Saúde Coletiva; 17(2); 379-388","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200012&lang=pt" 
"S1413-81232012000200015-spa","Urinary, Circulating, and Tissue Biomonitoring Studies Indicate Widespread Exposure to Bisphenol A","Vandenberg, Laura N., Chahoud, Ibrahim, Heindel, Jerrold J, Padmanabhan, Vasantha, Paumgartten, Francisco J.R, Schoenfelder, Gilbert","Ciência &amp; Saúde Coletiva; 17(2); 407-434","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200015&lang=pt" 
"S1413-81232012000200023-spa","Consumo de medicamentos por trabalhadores de hospital","Luz, Tatiana Chama Borges, Luiza, Vera Lucia, Avelar, Fernando Genovez, Hökerberg, Yara Hahr Marques, Passos, Sonia Regina Lambert","Ciência &amp; Saúde Coletiva; 17(2); 499-509","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200023&lang=pt" 
"S1413-81232012000200024-spa","Masculinidade hegemônica, vulnerabilidade e prevenção ao HIV/AIDS","Marques Junior, Joilson Santana, Gomes, Romeu, Nascimento, Elaine Ferreira do","Ciência &amp; Saúde Coletiva; 17(2); 511-520","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200024&lang=pt" 
"S1413-81232012000200026-spa","Características associadas ao uso de serviços odontológicos públicos pela população adulta brasileira","Pinto, Rafaela da Silveira, Matos, Divane Leite, Loyola Filho, Antônio Ignácio de","Ciência &amp; Saúde Coletiva; 17(2); 531-544","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200026&lang=pt" 
"S1413-81232012000200027-spa","A concepção de família e religiosidade presente nos discursos produzidos por profissionais médicos acerca de crianças com doenças genéticas","Martins, Antilia Januária, Cardoso, Maria Helena Cabral de Almeida, Llerena Júnior, Juan Clinton, Moreira, Martha Cristina Nunes","Ciência &amp; Saúde Coletiva; 17(2); 545-553","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200027&lang=pt" 
"S1413-81232012000200016-spa","Comparison of eating attitudes among university students from the five Brazilian regions","Alvarenga, Marle dos Santos, Scagliusi, Fernanda Baeza, Philippi, Sonia Tucunduva","Ciência &amp; Saúde Coletiva; 17(2); 435-444","Ciência &amp; Saúde Coletiva","Inglês","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232012000200016&lang=pt" 
"S1413-81232012000200023-scl","Consumo de medicamentos por trabalhadores de hospital","Luz, Tatiana Chama Borges, Luiza, Vera Lucia, Avelar, Fernando Genovez, Hökerberg, Yara Hahr Marques, Passos, Sonia Regina Lambert","Ciência &amp; Saúde Coletiva; 17(2); 499-509","Ciência &amp; Saúde Coletiva","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232012000200023&lang=pt" 
"S1415-65552012000100006-scl","Identificando os condicionantes socialmente construídos (Enacted) das práticas estratégicas em ambientes altamente institucionalizados","Maciel, Cristiano de Oliveira, Weymer, Alex Sandro Quadros, Augusto, Paulo Otávio Mussi","Revista de Administração Contemporânea; 16(1); 79-97","Revista de Administração Contemporânea","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552012000100006&lang=pt" 
