"S1516-14982003000200009-scl","Futuro anterior","Costa-Moura, Fernanda","Ágora: Estudos em Teoria Psicanalítica; 6(2); 321-323","Ágora: Estudos em Teoria Psicanalítica","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14982003000200009&lang=pt" 
"S0100-41582003000600004-scl","Caracterização de uma nova estirpe do Tomato mosaic virus isolada de tomateiro no Estado de São Paulo","Moreira, Silvia R., Eiras, Marcelo, Chaves, Alexandre L.R., Galleti, Silvia R., Colariccio, Addolorata","Fitopatologia Brasileira; 28(6); 602-607","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600004&lang=pt" 
"S0100-41582003000600005-scl","Manejo do solo e da irrigação como nova tática de controle de Meloidogyne incognita em feijoeiro","Dutra, Marcos Roberto, Campos, Vicente Paulo","Fitopatologia Brasileira; 28(6); 608-614","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600005&lang=pt" 
"S0100-41582003000600006-scl","Influência da intensidade da murcha-de-fusário no rendimento do caupi","Assunção, Iraíldes P., Michereff, Sami. J., Mizubuti, Eduardo.S.G., Brommonschenkel, Sérgio H.","Fitopatologia Brasileira; 28(6); 615-619","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600006&lang=pt" 
"S0100-41582003000600013-scl","Estudo da interação de um begomovírus isolado de tomateiro com a mosca branca","Santos, Carmem D. G., Ávila, Antonio C. de, Resende, Renato de O.","Fitopatologia Brasileira; 28(6); 664-673","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600013&lang=pt" 
"S0100-41582003000600008-scl","Controle químico de Fusarium moniliforme em sementes de milho: metodologia de avaliação e efeitos sobre a qualidade fisiológica","Moraes, Maria H. D., Menten, José O. M., Gravena, Jouse C., Alves, Camila A.","Fitopatologia Brasileira; 28(6); 626-632","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600008&lang=pt" 
"S0100-41582003000600009-scl","Comportamento sazonal da clorose variegada dos citros em três regiões do Estado de São Paulo","Laranjeira, Francisco F., Bergamin Filho, Armando, Amorim, Lilian, Lopes, João Roberto S.","Fitopatologia Brasileira; 28(6); 633-641","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600009&lang=pt" 
"S0100-41582003000600011-scl","Isolamento, caracterização cultural-morfológica, patogenicidade e serologia de Streptomyces spp. da batata","Fischer, Ivan H., Kimati, Hiroshi, Martins, Marise C.","Fitopatologia Brasileira; 28(6); 650-655","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600011&lang=pt" 
"S0066-782X2003001400010-scl","Caso 12/2003 - instituto do coração do hospital das clínicas da FMUSP","Atik, Edmar","Arquivos Brasileiros de Cardiologia; 81(6); 620-620","Arquivos Brasileiros de Cardiologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2003001400010&lang=pt" 
"S0066-782X2003001400009-scl","Caso 6/2003 - Homem de 54 anos, com insuficiência cardíaca progressiva e refratária, infarto do miocárdio, aterosclerose coronariana e ponte miocárdica (Faculdade de Ciências Médicas da Universidade de Campinas - UNICAMP)","Bachur, Luís Felipe, Almeida, Eros Antonio de, Bittencourt, Luís Antônio K., Figueiredo, Márcio Jansen O., Nogueira, Eduardo Arantes","Arquivos Brasileiros de Cardiologia; 81(6); 614-619","Arquivos Brasileiros de Cardiologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2003001400009&lang=pt" 
"S0100-41582003000600001-scl","Levantamento de fungos associados às podridões do colmo e quantificação de danos em lavouras de milho do Planalto Médio gaúcho e dos Campos Gerais do Paraná","Denti, Eidi Alfredo, Reis, Erlei Melo","Fitopatologia Brasileira; 28(6); 585-590","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600001&lang=pt" 
"S0100-41582003000600007-scl","Caracterização enzimática e patogenicidade cruzada de Colletotrichum spp. associados a doenças de pós-colheita","Lima Filho, Rinaldo M., Oliveira, Sônia M. A., Menezes, Maria","Fitopatologia Brasileira; 28(6); 620-625","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600007&lang=pt" 
"S0100-41582003000600010-scl","Controle químico da queima de folhas e da mela de estacas de eucalipto, causadas por Rhizoctonia spp.","Silveira, Silvaldo Felipe da, Alfenas, Acelino Couto, Maffia, Luís Antônio, Suzuki, Márcio Shiguero","Fitopatologia Brasileira; 28(6); 642-649","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600010&lang=pt" 
"S0100-41582003000600012-scl","Variabilidade de isolados de Alternaria brassicicola no Estado de Pernambuco","Michereff, Sami J., Noronha, Marissônia A., Rocha Jr, Otacílio M., Silva, Jearbes A., MizubutiI, Eduardo S.G.","Fitopatologia Brasileira; 28(6); 656-663","Fitopatologia Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582003000600012&lang=pt" 
"S0034-70942003000600016-scl","João Batista Pereira","","Revista Brasileira de Anestesiologia; 53(6); 863-863","Revista Brasileira de Anestesiologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942003000600016&lang=pt" 
"S0034-70942003000600013-scl","Incidentes críticos em anestesia no Uruguai - dez anos após: estudo comparativo (1990-2000)","Bello, Manuel da Fonte, Liberman, Gladys Miriam Lejbusiewicz, Escudero, Gonzalo Manuel Barreiro","Revista Brasileira de Anestesiologia; 53(6); 814-832","Revista Brasileira de Anestesiologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942003000600013&lang=pt" 
"S0103-50532003000600002-scl","Molecular materials and devices: developing new functional systems based on the coordination chemistry approach","Toma, Henrique E.","Journal of the Brazilian Chemical Society; 14(6); 845-869","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600002&lang=pt" 
"S0103-50532003000600004-scl","Model studies related to vanadium biochemistry: recent advances and perspectives","Baran, Enrique J.","Journal of the Brazilian Chemical Society; 14(6); 878-888","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600004&lang=pt" 
"S0103-50532003000600005-scl","Dye-sensitized solar cells: a successful combination of materials","Longo, Claudia, De Paoli, Marco-A.","Journal of the Brazilian Chemical Society; 14(6); 898-901","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600005&lang=pt" 
"S0103-50532003000600009-scl","New titanium(IV) and vanadium(IV) haloalkoxides: synthetic route and structural characterisation","Nunes, Giovana G., Reis, Dayane M., Camargo, Pedro H. C., Hitchcock, Peter B., Hörner, Manfredo, Matos, Robson M., Mangrich, Antonio S., Sá, Eduardo L. de, Leigh, G. Jeffery, Soares, Jaísa F.","Journal of the Brazilian Chemical Society; 14(6); 922-929","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600009&lang=pt" 
"S0103-50532003000600011-scl","Preparation of a ferrofluid using cyclodextrin and magnetite","Bocanegra-Diaz, Alberto, Mohallem, Nelcy D. S., Sinisterra, Rubén D.","Journal of the Brazilian Chemical Society; 14(6); 936-941","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600011&lang=pt" 
"S0103-50532003000600014-scl","Preparation of aromatic geraniol analogues via a Cu(I)-mediated Grignard coupling","Paz, J. Luis, Rodrigues, J. Augusto R.","Journal of the Brazilian Chemical Society; 14(6); 975-981","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600014&lang=pt" 
"S0103-50532003000600015-scl","Studies towards the construction of alkylidene quinolizidines: the total synthesis of homopumiliotoxin 223G","Santos, Leonardo S., Pilli, Ronaldo A.","Journal of the Brazilian Chemical Society; 14(6); 982-993","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600015&lang=pt" 
"S0103-50532003000600017-scl","Chemical transformation of abietic acid to new chiral derivatives","Santos, Catarina dos, Zukerman-Schpector, Julio, Imamura, Paulo M.","Journal of the Brazilian Chemical Society; 14(6); 998-1004","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600017&lang=pt" 
"S0103-50532003000600018-scl","Allylic azides as potential building blocks for the synthesis of nitrogenated compounds","Sá, Marcus M.","Journal of the Brazilian Chemical Society; 14(6); 1006-1010","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600018&lang=pt" 
"S0103-50532003000600012-scl","The chemistry of enaminones, diazocarbonyls and small rings: our contribution","Kascheres, Concetta Montanile","Journal of the Brazilian Chemical Society; 14(6); 945-969","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600012&lang=pt" 
"S0101-32622003006100002-scl","Inovações e projeto político-pedagógico: uma relação regulatória ou emancipatória?","Veiga, Ilma Passos Alencastro","Cadernos CEDES; 23(61); 267-281","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100002&lang=pt" 
"S0101-32622003006100007-scl","Projeto pedagógico dos parâmetros curriculares nacionais: identidade nacional e consciência histórica","Zamboni, Ernesta","Cadernos CEDES; 23(61); 367-377","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100007&lang=pt" 
"S0103-50532003000600001-scl","Editorial","Vargas, Maria D., Pilli, Ronaldo A.","Journal of the Brazilian Chemical Society; 14(6); 843-844","Journal of the Brazilian Chemical Society","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600001&lang=pt" 
"S0103-50532003000600006-scl","Reactions of diiron mu-aminocarbyne complexes containing nitrile ligands","Busetto, Luigi, Marchetti, Fabio, Zacchini, Stefano, Zanotti, Valerio","Journal of the Brazilian Chemical Society; 14(6); 902-907","Journal of the Brazilian Chemical Society","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532003000600006&lang=pt" 
"S0036-36342003000600001-spa","Cartas Al Editor","","Salud Pública de México; 45(6); 427-430","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600001&lang=pt" 
"S0036-36342003000600012-spa","Estadística de egresos hospitalarios del sector público del Sistema Nacional de Salud, 2002","","Salud Pública de México; 45(6); 512-533","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600012&lang=pt" 
"S0036-36342003000600013-spa","Grandes desafíos de la salud global","","Salud Pública de México; 45(6); 534-534","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600013&lang=pt" 
"S0036-36342003000600009-spa","","Hernández-Andrade, Edgar, Ahued-Ahued, José Roberto","Salud Pública de México; 45(6); 492-496","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600009&lang=pt" 
"S0036-36342003000600004-spa","Atención prenatal en el primer nivel de atención: características de los proveedores que influyen en la satisfacción de las usuarias","Bronfman-Pertzovsky, Mario Norberto, López-Moreno, Sergio, Magis-Rodríguez, Carlos, Moreno-Altamirano, Alejandra, Rutstein, Shea","Salud Pública de México; 45(6); 445-454","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600004&lang=pt" 
"S0036-36342003000600003-spa","Dosis de radiación ultravioleta en escolares mexicanos","Castanedo-Cázares, Juan Pablo, Lepe, Verónica, Gordillo-Moscoso, Antonio, Moncada, Benjamín","Salud Pública de México; 45(6); 439-444","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600003&lang=pt" 
"S0036-36342003000600002-spa","Concentraciones de DDT/DDE y riesgo de hipospadias: un estudio piloto de casos y controles","Flores-Luévano, Silvia, Farías, Paulina, Hernández, Mauricio, Romano-Riquer, Patricia, Weber, Jean Philippe, Dewailly, Eric, Cuevas-Alpuche, Juan, Romieu, Isabelle","Salud Pública de México; 45(6); 431-438","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600002&lang=pt" 
"S0101-32622003006100004-scl","Projeto político pedagógico e o Plano de Desenvolvimento da Escola: duas concepções antagônicas de gestão escolar","Fonseca, Marília","Cadernos CEDES; 23(61); 302-318","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100004&lang=pt" 
"S0101-32622003006100005-scl","Projetos político-pedagógicos emancipadores: histórias ao contrário","De Rossi, Vera Lúcia Sabongi","Cadernos CEDES; 23(61); 319-337","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100005&lang=pt" 
"S0101-32622003006100006-scl","Projeto pedagógico Xavante: tensões e rupturas na intensidade da construção curricular","Camargo, Dulce Maria Pompêo de, Albuquerque, Judite Gonçalves de","Cadernos CEDES; 23(61); 338-366","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100006&lang=pt" 
"S0101-32622003006100008-scl","A civilização escolar como projeto político e pedagógico da modernidde: cultura em classes, por escrito","Boto, Carlota","Cadernos CEDES; 23(61); 378-397","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100008&lang=pt" 
"S0101-32622003006100003-scl","Do projeto político do Banco Mundial ao projeto político-pedagógico da escola pública brasileira","Silva, Maria Abádia da","Cadernos CEDES; 23(61); 283-301","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100003&lang=pt" 
"S0036-36342003000600010-spa","Señales físico químicas involucradas en la búsqueda de hospederos y en la inducción de picadura por mosquitos","Torres-Estrada, José Luis, Rodríguez, Mario H","Salud Pública de México; 45(6); 497-505","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600010&lang=pt" 
"S0036-36342003000600011-spa","Interpretando correctamente en salud pública estimaciones puntuales, intervalos de confianza y contrastes de hipótesis","Scotto, Manuel G, Tobías-Garcés, Aurelio","Salud Pública de México; 45(6); 506-511","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600011&lang=pt" 
"S0101-74382003000300005-scl","A note on scheduling on a single processor with variable speed","Valente, Jorge M. S., Alves, Rui A. F. S.","Pesquisa Operacional; 23(3); 457-462","Pesquisa Operacional","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300005&lang=pt" 
"S0101-74382003000300006-scl","A model for cost estimation of system for piggery wastes treatment ponds: a case study","Medri, Waldir, Costa, Rejane Helena Ribeiro da","Pesquisa Operacional; 23(3); 463-473","Pesquisa Operacional","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300006&lang=pt" 
"S0036-36342003000600014-spa","Building a better health: a handbook of behavioral change","Alvarez, Miguel A","Salud Pública de México; 45(6); 535-536","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600014&lang=pt" 
"S0036-36342003000600005-spa","Frecuencia de micosis en pacientes inmunosuprimidos de un hospital regional de la Ciudad de México","Hernández-Hernández, Francisca, Córdova-Martínez, Erika, Manzano-Gayosso, Patricia, López-Alvarez, Rocío, Bazán-Mora, Elva, López-Martínez, Rubén","Salud Pública de México; 45(6); 455-460","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600005&lang=pt" 
"S0101-74382003000300001-scl","Combinatorial instruments in the design of a heuristic for the quadratic assignment problem","Boaventura-Netto, Paulo Oswaldo","Pesquisa Operacional; 23(3); 283-401","Pesquisa Operacional","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300001&lang=pt" 
"S0101-74382003000300002-scl","Dimensionamento de lotes e programação do forno numa fundição automatizada de porte médio","Araujo, Silvio Alexandre de, Arenales, Marcos Nereu","Pesquisa Operacional; 23(3); 403-420","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300002&lang=pt" 
"S0101-74382003000300003-scl","Construção de um modelo de regressão hierárquico para os dados do SIMAVE-2000","Soares, Tufi Machado, Mendonça, Márcia Cristina Meneghin","Pesquisa Operacional; 23(3); 421-441","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300003&lang=pt" 
"S0101-74382003000300004-scl","","Valente, Jorge M. S., Alves, Rui A. F. S.","Pesquisa Operacional; 23(3); 443-456","Pesquisa Operacional","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300004&lang=pt" 
"S0101-74382003000300007-scl","Methodes de decomposition et d&#039;agregation pour le traitement de problemes de multiflots","Bendali, Fatihah, Mailfert, Jean, Quilliot, Alain","Pesquisa Operacional; 23(3); 475-498","Pesquisa Operacional","Francês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382003000300007&lang=pt" 
"S0036-36342003000600006-spa","Conocimientos y actitudes de la pareja hacia la práctica de la planificación familiar en la Selva del Perú","Cruz-Peñarán, Doris de la, Langer-Glas, Ana, Hernández-Prado, Bernardo, González-Rengijo, Gustavo F","Salud Pública de México; 45(6); 461-471","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600006&lang=pt" 
"S0036-36342003000600007-spa","Violencia contra la mujer: conocimiento y actitud del personal médico del Instituto Mexicano del Seguro Social, Morelos, México","Méndez-Hernández, Pablo, Valdez-Santiago, Rosario, Viniegra-Velázquez, Leonardo, Rivera-Rivera, Leonor, Salmerón-Castro, Jorge","Salud Pública de México; 45(6); 473-482","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600007&lang=pt" 
"S0036-36342003000600008-spa","Evaluación del gasto en la construcción de unidades de salud: ejemplo de participación comunitaria","Tapia-Cruz, José Antonio, Urdapilleta, Oswaldo, Gómez-Dantés, Octavio, Garrido-Latorre, Francisco","Salud Pública de México; 45(6); 483-491","Salud Pública de México","Espanhol","2003","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342003000600008&lang=pt" 
"S0101-32622003006100001-scl","Apresentação","De Rossi, Vera Lúcia Sabongi","Cadernos CEDES; 23(61); 319-337","Cadernos CEDES","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622003006100001&lang=pt" 
"S1516-44462003000600001-scl","Apresentação","Mello, Luiz Eugênio A M","Revista Brasileira de Psiquiatria; 25(); 1-1","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600001&lang=pt" 
"S1516-44462003000600005-scl","Análise crítica dos sistemas neurais envolvidos nas respostas de medo inato","Canteras, Newton Sabino","Revista Brasileira de Psiquiatria; 25(); 21-24","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600005&lang=pt" 
"S1516-44462003000600010-scl","Serotonina, matéria cinzenta periaquedutal e transtorno do pânico","Graeff, Frederico G","Revista Brasileira de Psiquiatria; 25(); 42-45","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600010&lang=pt" 
"S1516-44462003000600008-scl","Efeito da estratégia de simulação mental sobre o controle postural","Rodrigues, Erika Carvalho, Imbiriba, Luís Aureliano, Leite, Gabriela Rego, Magalhães, José, Volchan, Eliane, Vargas, Cláudia D","Revista Brasileira de Psiquiatria; 25(); 33-35","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600008&lang=pt" 
"S1516-44462003000600002-scl","Comunicação simbólica em primatas não-humanos: uma análise baseada na semiótica de C. S. Peirce","Queiroz, João","Revista Brasileira de Psiquiatria; 25(); 2-5","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600002&lang=pt" 
"S1516-44462003000600003-scl","Ilusões: o olho mágico da percepção","Baldo, Marcus Vinícius C, Haddad, Hamilton","Revista Brasileira de Psiquiatria; 25(); 6-11","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600003&lang=pt" 
"S1516-44462003000600004-scl","A construção da atenção a partir da memória","Helene, André Frazão, Xavier, Gilberto Fernando","Revista Brasileira de Psiquiatria; 25(); 12-20","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600004&lang=pt" 
"S1516-44462003000600006-scl","Representações gustativas no córtex humano, e o controle central do apetite","Araújo, Ivan E de","Revista Brasileira de Psiquiatria; 25(); 25-28","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600006&lang=pt" 
"S1516-44462003000600013-scl","Sonho, memória e o reencontro de Freud com o cérebro","Ribeiro, Sidarta","Revista Brasileira de Psiquiatria; 25(); 59-63","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600013&lang=pt" 
"S1516-44462003000600012-scl","Transmissão pelo glutamato como alvo molecular na ansiedade","Carobrez, Antonio de Pádua","Revista Brasileira de Psiquiatria; 25(); 52-58","Revista Brasileira de Psiquiatria","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462003000600012&lang=pt" 
"S0103-40142003000300023-scl","Rússia: o que vivenciou e o que tem pela frente?","Zaslavskaia, Tatiana","Estudos Avançados; 17(49); 361-369","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300023&lang=pt" 
"S0103-40142003000300022-scl","Cairu e a patologia da Revolução","Monteiro, Pedro Meira","Estudos Avançados; 17(49); 349-358","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300022&lang=pt" 
"S0103-40142003000300002-scl","A Filosofia como vocação para a liberdade","Chaui, Marilena","Estudos Avançados; 17(49); 07-15","Estudos Avançados","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142003000300002&lang=pt" 
