"S0080-62341996000100010-scl","Avaliação da gravidade do traumatismo crânio-encefálico por índices anatômicos e fisiológicos","Imai, Maria de Fátima Paiva, Koizumi, Maria Sumie","Revista da Escola de Enfermagem da USP; 30(1); 116-137","Revista da Escola de Enfermagem da USP","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62341996000100010&lang=pt" 
"S0037-86821996000200008-scl","The FML (Fucose Mannose Ligand) of Leishmania donovani: a new tool in diagnosis, prognosis, transfusional control and vaccination against human kala-azar","Sousa, Claris B. Palatnik de, Gomes, Elza M., Souza, Edilma Paraguai de, Santos, Wania R. dos, Macedo, Sirley R. de, Medeiros, Linnete V. de, Luz, Kleber","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 153-163","Revista da Sociedade Brasileira de Medicina Tropical","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200008&lang=pt" 
"S0037-86821996000200010-scl","Avaliação do teste de aglutinação direta na detecção da infecção por Leishmania (Viannia) braziliensis em possíveis reservatórios de leishmaniose tegumentar americana no estado do Ceará","Bezerra, Haroldo Sérgio da S., Viana, Joseval da Rocha, Texeira, Maria Jania, Chaves, Cristina Sousa, Araújo, Daniela Bastos de, Lima Filho, José Hermênio C.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 181-184","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200010&lang=pt" 
"S0037-86821996000200013-scl","Resultados preliminares de um projeto sobre a ecologia dos flebotomineos vetores de leishmaniose tegumenar no estado da Bahia","Sherlock, Italo A., Maia, Helio, Dias-Lima, Artur Gomes","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 207-214","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200013&lang=pt" 
"S0037-86821996000200014-scl","Avaliação do sulfato de aminosidine no tratamento da leishmaniose mucosa causada por Leishmania (Viannia) braziliensis","Romero, Gustavo A. Sierra, Lessa, Hélio A., Macêdo, Vanize, Carvalho, Edgar M. de, Magalhães, Albino V. de, Orge, Maria de la Glória O., Abreu, Maria V.A. de, Marsden, Philip D.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 215-216","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200014&lang=pt" 
"S0037-86821996000200006-scl","Sorodiagnóstico da doença de Chagas: novo reagente para o teste de hemaglutinação indireta (THAI IAL)","Sasaki, Álvaro Toshiaki, Hoshino-Shimizu, Sumie, Nakamura, Paulo Mutuko, Vaz, Adelaide José, Camargo, Eide Dias, Silva, Marcos Vinícius da","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 137-144","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200006&lang=pt" 
"S0037-86821996000200009-scl","Teste de aglutinação direta no sorodiagnóstico da leishmaniose visceral no estado do Pará","Garcez, Lourdes M., Shaw, Jeffrey J., Silveira, Fernando T.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 165-180","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200009&lang=pt" 
"S0037-86821996000200011-scl","Avaliação das ações de controle da infecção esquistossomótica nas localidades de Cachoeira - Bahia, Bacia do Paraguaçu, 1982-1992","Santana, Vilma Sousa, Teixeira, Maria da Glória, Santos, Cristina C.P.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 185-195","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200011&lang=pt" 
"S0037-86821996000200005-scl","O Projeto Queixadinha: a morbidade e o controle da esquistossomose em área endêmica no nordeste de Minas Gerais, Brasil","Lambertucci, José Roberto, Gerspacher-Lara, Rogério, Pinto-Silva, Rogério A., Barbosa, Márcia M., Teixeira, Rosângela, Barbosa, Helena Facury, Serufo, José Carlos, Rezende, Dilermando Fazito, Drummond, Sandra Costa, Rayes, Abdunnabi A.M.","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 127-135","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200005&lang=pt" 
"S0037-86821996000200012-scl","Morbidade da doença de Chagas em áreas do Sertão da Paraíba e da Caatinga do Piauí","Coura, José Rodrigues, Borges-Pereira, José, Alves Filho, Francisco Itamar, Castro, José Adail Fonseca de, Cunha, Rivaldo Venâncio da, Costa, Walfredo, Junqueira, Angela Cristina Veríssimo","Revista da Sociedade Brasileira de Medicina Tropical; 29(2); 197-205","Revista da Sociedade Brasileira de Medicina Tropical","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86821996000200012&lang=pt" 
"S0103-84781996000100003-scl","Resposta de cultivares de milho à distribuição de plantas na linha, com e sem controle de plantas daninhas","Rizzardi, Mauro Antônio, Pires, João Leonardo","Ciência Rural; 26(1); 13-17","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100003&lang=pt" 
"S0103-84781996000100022-scl","Efeito da fermentação aeróbia na viabilidade de ovos de nematódeos trichostrongilídeos","Charles, Terezinha Padilha, Furlong, John, Santos, Clóvis de Paula","Ciência Rural; 26(1); 119-121","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100022&lang=pt" 
"S0103-84781996000100028-scl","Occurrence of physiological disease in flooded rice fields","Brancher, Ademar, Camargo, Flávio Anastácio de Oliveira, Santos, Gabriel de Araújo","Ciência Rural; 26(1); 149-151","Ciência Rural","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100028&lang=pt" 
"S0103-84781996000100024-scl","Avaliação de sistemas alimentares para terneiros desmamados aos três meses de idade","Coelho Filho, Roblein Cristal, Quadros, Fernando Luiz Ferreira de, Santos, Glênio Lopes dos","Ciência Rural; 26(1); 129-134","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100024&lang=pt" 
"S0103-84781996000100023-scl","Fatores que afetam a produção de leite e o período de lactação em um rebanho das raças Flamenga e Holandesa no Planalto Catarinense","Thaler Neto, André, Mühibauer, Márcio Daniel, Ramos, José Carlos, Zardo, Wilmar Francisco","Ciência Rural; 26(1); 123-128","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100023&lang=pt" 
"S0103-84781996000100021-scl","Estudo comparativo entre as provas de ELISA e imunofluorescência indireta (IFI) para detectar anticorpos contra Babesia bovis","Martins, João Ricardo, Corrêa, Bartolomeu Lima, Ceresér, Victor Hermes","Ciência Rural; 26(1); 115-118","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100021&lang=pt" 
"S0103-84781996000100015-scl","Influencia do solvente, da relação solo/solvente, e da incubação das amostras úmidas na variação do pH de solos Catarinenses","Almeida, Jaime Antonio de, Ernani, Paulo Roberto","Ciência Rural; 26(1); 81-85","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100015&lang=pt" 
"S0103-84781996000100014-scl","Influência dos resíduos da mineração do xisto no crescimento e no teor foliar de Cd, Co e Cr em plantas de aveia preta","Anjos, Ana Rosa Martins dos, Reissmann, Carlos Bruno","Ciência Rural; 26(1); 75-79","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100014&lang=pt" 
"S0103-84781996000100013-scl","Concentração e acumulação de nitrogénio, fósforo e potássio pelo feijoeiro cultivado sob diferentes níveis de irrigação","Pessoa, Antonio Carlos dos Santos, Kelling, Claudio Renato Schlessner, Pozzebon, Eder João, König, Osvaldo","Ciência Rural; 26(1); 69-74","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100013&lang=pt" 
"S0103-84781996000100007-scl","Estimativa da herdabilidade para os caracteres adaptativos ciclo e estatura de planta em aveia","Amaral, Adriane Leite do, Carvalho, Fernando Irajá Felix de, Federizzi, Luiz Carlos, Mittelmann, Andrea, Pandini, Fábio","Ciência Rural; 26(1); 33-37","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100007&lang=pt" 
"S0103-84781996000100006-scl","Influência de épocas de plantio e cultivares no rendimento total da cultura do alho (Allium sativum l.) em Santa Maria, RS","Trevisan, Jorge Nadir, Martins, Gustavo Adolfo Klippel, Santos, Nara Rejane Zamberlan dos","Ciência Rural; 26(1); 29-32","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100006&lang=pt" 
"S0103-84781996000100005-scl","Acúmulo de matéria seca e duração do período de enchimento de grãos do triticale","Aude, Maria Isabel da Silva, Bisognin, Dilson Antonio, Zanini, Welington","Ciência Rural; 26(1); 23-27","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100005&lang=pt" 
"S0103-84781996000100004-scl","Avaliação de genótipos de trigo hexaplóide quanto a tolerância a toxicidade do alumínio","Dornelles, Ana Lúcia Cunha, Carvalho, Fernando Irajá Félix de, Federizzi, Luiz Carlos, Sereno, Maria Jane Cruz de Melo, Amaral, Adriane, Langlois, Patrícia","Ciência Rural; 26(1); 19-22","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100004&lang=pt" 
"S0103-84781996000100002-scl","Levantamento populacional de cercopideos em Santa Maria-RS, com três métodos de coleta","Viana, Tânia Maria Boucinha, Tarragó, Manoel Fernando Siagaran","Ciência Rural; 26(1); 7-11","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100002&lang=pt" 
"S0103-84781996000100001-scl","Influência da rotação de culturas na infestação e danos causados por Sternechus Subsignatus (Boheman) (Coleoptera: Curculionidae) em plantio direto","Silva, Mauro Tadeu Braga da","Ciência Rural; 26(1); 1-5","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100001&lang=pt" 
"S0103-84781996000100032-scl","Estatísticas dos resultados das análises de laboratório de solos","Cargnelutti Filho, Alberto","Ciência Rural; 26(1); 175-176","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100032&lang=pt" 
"S0103-84781996000100012-scl","Rendimento de massa seca e absorção de fósforo pelo milho afetado pela aplicação de fósforo, calcário e inoculação com fungos micorrízicos","Santos, Julio Cesar Pires, Kaminski, João, Ernani, Paulo Roberto, Mafra, Alvaro Luis","Ciência Rural; 26(1); 63-67","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100012&lang=pt" 
"S0103-84781996000100019-scl","Transplante de cartilagem costal autóloga no reparo de desvio do pavilhão auricular de cães: estudo experimental","Eurides, Duvaldo","Ciência Rural; 26(1); 103-107","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100019&lang=pt" 
"S0103-84781996000100026-scl","Eficiência de armadilhas na captura da traça-do-tomateiro (Scrobipalpuloides absoluta (Meyrick, 1917)), com utilização de feromônio sexual, em estufa plástica","Guedes, Jerson Vanderlei Carús, Dequech, Sônia Thereza Bastos, Ribeiro, Ana Lúcia de Paula","Ciência Rural; 26(1); 143-145","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100026&lang=pt" 
"S0103-84781996000100020-scl","Fotossensibilização e colangiopatia associada a cristais em ovinos em pastagem com Brachiaria decumbens","Lemos, Ricardo Antonio Amaral de, Ferreira, Luiz Carlos Louzada, Silva, Sérgio Martins da, Nakazato, Luciano, Salvador, Sandro Cesar","Ciência Rural; 26(1); 109-113","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100020&lang=pt" 
"S0103-84781996000100011-scl","Resposta à regeneração e crescimento de brotos in vitro de Kielmeyera coriacea quando influenciado por diferentes concentrações dos sais e de sacarose","Pinto, José Eduardo Brasil Pereira, Arello, Eduardo Fonseca, Pinto, César Augusto Brasil Pereira, Barbosa, Márcio Henrique Pereira","Ciência Rural; 26(1); 57-61","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100011&lang=pt" 
"S0103-84781996000100008-scl","Determinação do modo de reprodução em capim-gordura (Melinis minutiflora Beauv.) por padrões enzimáticos","Silveira, Lia Rejane Machado, Moraes, Carlos Floriano de","Ciência Rural; 26(1); 39-44","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100008&lang=pt" 
"S0103-84781996000100018-scl","Avaliação da função renal através da densidade urinaria e dosagem sérica de uréia e creatinina na aflatoxicose experimental em cães","Hennemann, Carla Rosane de Aguiar, Cunha, Carlos Mário Severo, Lopes, Sônia Terezinha dos Anjos, Amaral, Anne Santos do, Polydoro, Alexandre da Silva","Ciência Rural; 26(1); 97-102","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100018&lang=pt" 
"S0103-84781996000100030-scl","Aproveitamento do zinco aplicado na semente na nutrição da planta","Ribeiro, Nerinéia Dalfollo, Santos, Osmar Souza dos","Ciência Rural; 26(1); 159-165","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100030&lang=pt" 
"S0103-84781996000100025-scl","As perspectivas da pequena produção familiar na agricultura","Ciprandi, Olivio, Fert Neto, João","Ciência Rural; 26(1); 135-141","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100025&lang=pt" 
"S0103-84781996000100017-scl","Variações da marcha em equinos da raça Mangalarga Marchador","Hussni, Carlos Alberto, Wissdorf, Horst, Nicolett, José Luiz de Mello","Ciência Rural; 26(1); 91-95","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100017&lang=pt" 
"S0103-84781996000100031-scl","Competição entre plantas com ênfase no recurso luz","Castro, Carlos Renato Tavares de, Garcia, Rasmo","Ciência Rural; 26(1); 167-174","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100031&lang=pt" 
"S0103-84781996000100029-scl","Osteotomia femoral em cúpula para correção do ângulo de inclinação do colo do fémur","lamaguti, Paulo, Inoe, Ana Paula, Sampaio, Renato Linhares, Machado, Vânia Maria Vasconcelos, Cruz, Mariângela Lozano","Ciência Rural; 26(1); 153-157","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100029&lang=pt" 
"S0103-84781996000100010-scl","Comportamento do sorgo granífero em função de diferentes frações da água disponível no solo","Peiter, Marcia Xavier, Carlesso, Reimar","Ciência Rural; 26(1); 51-55","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100010&lang=pt" 
"S0103-84781996000100009-scl","Indução de brotações em explantes de segmentos de folhas de plântulas de urucueiro em diferentes citocininas","Almeida, Jacqueline Leite, Almeida, Francisco Célio Guedes, Nunes, Raimundo de Pontes, Almeida, Francisco Aécio Guedes","Ciência Rural; 26(1); 45-49","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100009&lang=pt" 
"S0103-84781996000100027-scl","Comportamento de genotipos de arroz irrigado em Santa Maria - RS","Marchezan, Enio, Aude, Maria Isabel da Silva, Storck, Lindolfo","Ciência Rural; 26(1); 147-148","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100027&lang=pt" 
"S0103-84781996000100016-scl","Funções para descrever a relação altura diâmetro de Eucalyptus dunnii Maiden","Zanon, Magda Léa Bolzan, Finger, César Augusto Guimarães, Schneider, Paulo Renato, Klein, Jorge Euclides Meyer, Coelho, Maria Cristina Bueno","Ciência Rural; 26(1); 87-90","Ciência Rural","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84781996000100016&lang=pt" 
"S0074-02761996000200024-scl","Aspectos bionômicos de Squamatoides trivittatus (Diptera, Sarcophagidae) sob condições de laboratório","Salviano, Ricardo JB, Mello, Rubens Pinto de, Beck, Lilian CNH, d&#039;Almeida, José Mario","Memórias do Instituto Oswaldo Cruz; 91(2); 249-254","Memórias do Instituto Oswaldo Cruz","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761996000200024&lang=pt" 
"S1516-31801996000200006-scl","Progress in phototherapy","Araújo, Maria Cristina Korbage de, Vaz, Flávio Adolfo Costa, Ramos, José Lauro Araújo","Sao Paulo Medical Journal; 114(2); 1134-1140","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200006&lang=pt" 
"S1516-31801996000200004-scl","A t (9;11) translocation in childhood acute mixed leukemia","Chauffaille, Maria de Lourdes Lopes Ferrari, Yamamoto, Mihoko, Odone Filho, Vicente, Almeida, Maria Thereza, Maluf Jr., Paulo, Cristofani, Lilian M., Kerbauy, José, Raimondi, Suzana C.","Sao Paulo Medical Journal; 114(2); 1127-1130","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200004&lang=pt" 
"S1516-31801996000200005-scl","Melanoma ganglionic metastasis 30 years after treatment of the primary tumor: a case report","Tincani, Alfio José, Martins, Antonio Santos, Lage, Henriette de Toledo, Souza, Lincoln Santos","Sao Paulo Medical Journal; 114(2); 1131-1133","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200005&lang=pt" 
"S1516-31801996000200007-scl","Direct immunofluorescence in Lupus Erythematosus (LE)","Isfer, Roseli Svartman, Sanches Jr., José Antônio, Festa Neto, Cyro, Cernea, Selma Schuartz, Oliveira, Zilda Najjar Prado de, Vilela, Maria Apparecida Constantino, Silva, Maria Luiza, Miyachi, Lucy Massaco, Fukumori, Ligia Maria Ishimura, Silva, Soraia Regina da","Sao Paulo Medical Journal; 114(2); 1141-1147","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200007&lang=pt" 
"S1516-31801996000200001-scl","Clinical investigation needed","Atallah, Álvaro Nagib","Sao Paulo Medical Journal; 114(2); 1107-1107","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200001&lang=pt" 
"S1516-31801996000200002-scl","Prevalence of HIV and Treponema pallidum infections in pregnant women in Campinas and their association with socio-demographic factors","Amaral, Eliana, Faúndes, Anibal, Gonçales, Neiva Sellan Lopes, Pellegrino Jr., Jordão, Souza, Carmino Antonio de, Silva, João Luiz Pinto e","Sao Paulo Medical Journal; 114(2); 1108-1116","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200002&lang=pt" 
"S1516-31801996000200003-scl","Squamous-cell carcinoma of the lower lip: a retrospective study of 58 patients","Santos, Luiz Roberto Medina dos, Cernea, Cláudio Roberto, Kowalski, Luiz Paulo, Carneiro, Paulo Carneiro, Soto, Miriam Nakagami, Nishio, Sunao, Hojaij, Flávio Carneiro, Dutra Jr., Augusto, Silva Filho, Gilberto Britto e, Ferraz, Alberto Rossetti","Sao Paulo Medical Journal; 114(2); 1117-1126","Sao Paulo Medical Journal","Inglês","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31801996000200003&lang=pt" 
"S0864-21251996000200001-cub","Estrategia y plan de acción de la sociedad cubana de medicina familiar para el periodo de 1996 a 1997","","Revista Cubana de Medicina General Integral; 12(2); 111-112","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200001&lang=pt" 
"S0864-21251996000200002-cub","Autoagresión por quemaduras","Montes de Oca, Iris, Martínez Camejo, José Manuel, Calixté Semanat, Páusides, Selva Suárez, Angel L","Revista Cubana de Medicina General Integral; 12(2); 113-119","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200002&lang=pt" 
"S0864-21251996000200003-cub","Sobre la percepción de la violencia intrafamiliar por los niños","Muñiz Ferrer, Mario César, Jiménez García, Yanayna, Ferrer Marrero, Daisy, González Pérez, Jorge, Rondón García, Ileana","Revista Cubana de Medicina General Integral; 12(2); 126-131","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200003&lang=pt" 
"S0864-21251996000200004-cub","Programa de prevención de anemia falciforme (I): Evaluación de la indicación de electroforesis de hemoglobina","Ruiz, Raúl Martín","Revista Cubana de Medicina General Integral; 12(2); 132-135","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200004&lang=pt" 
"S0864-21251996000200005-cub","Programa de prevención de anemia falciforme (II): Evaluación del seguimiento de gestantes con hemoglobinas anormales","Martín Ruiz, MarcosRaúl","Revista Cubana de Medicina General Integral; 12(2); 136-140","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200005&lang=pt" 
"S0864-21251996000200006-cub","Programa de prevención de anemia falciforme (III): La electroforesis de hemoglobina: indicación e interpretación","Martín Ruiz, Marcos Raúl","Revista Cubana de Medicina General Integral; 12(2); 141-144","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200006&lang=pt" 
"S0864-21251996000200007-cub","Hipertensión arterial: comportamiento de su prevalencia y de algunos factores de riesgo","Hernández Cisneros, Freddie, Mena Lima, Andrea M, Rivero Sánchez, Miguel, Serrano González, Aldo","Revista Cubana de Medicina General Integral; 12(2); 145-149","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200007&lang=pt" 
"S0864-21251996000200008-cub","Sistema de vigilancia de salud a nivel de la atención primaria","Batista Moliner, Ricardo, Gandul Salabarría, Luis, Díaz González, Lázara","Revista Cubana de Medicina General Integral; 12(2); 150-164","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200008&lang=pt" 
"S0864-21251996000200009-cub","Los umbrales glicémicos en los resultados pobres de embarazos de madres diabéticas","Díaz Alonso, Guillermo","Revista Cubana de Medicina General Integral; 12(2); 189-194","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200009&lang=pt" 
"S0864-21251996000200010-cub","Aforismos","Lugones Botell, Miguel A, Quintana Riverón, Tania Y","Revista Cubana de Medicina General Integral; 12(2); 198-201","Revista Cubana de Medicina General Integral","Espanhol","1996","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21251996000200010&lang=pt" 
