"S1516-14392016000501033-scl","Effect of Cold Work on Cavitation Resistance of an Austenitic Stainless Steel Coating","Cruz, Juliane Ribeiro da, Henke, Sérgio Luiz, d&#039;Oliveira, Ana Sofia Clímaco Monteiro","Materials Research; 19(5); 1033-1041","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501033&lang=pt" 
"S1516-14392016000501102-scl","Estimation of the Fracture Toughness Threshold of a Ferritic Steel at the Lower Ductile to Brittle Transition Region","Berejnoi, Carlos, Vacca, Santiago, Galarza, Claudia, Perez Ipiña, Juan Elías","Materials Research; 19(5); 1102-1107","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501102&lang=pt" 
"S1516-14392016000501114-scl","Adsorption of Silver (I) From Aqueous Solution Using Chitosan/Montmorillonite Composite Beads","Jintakosol, Thanut, Nitayaphat, Walaikorn","Materials Research; 19(5); 1114-1121","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501114&lang=pt" 
"S1516-14392016000501122-scl","Microstructural Characterization of As-Cast V-Si Alloys and Reevaluation of the Invariant Reactions Involving the Liquid Phase of the V-Si System","Lima-Kühn, Belmira Benedita de, Silva, Antonio Augusto Araujo Pinto da, Suzuki, Paulo Atsushi, Coelho, Gilberto Carvalho, Nunes, Carlos Angelo","Materials Research; 19(5); 1122-1126","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501122&lang=pt" 
"S1516-14392016000501057-scl","The Effect of Co and Zn Addition on Densification and Electrical Properties of Ceria-Based Nanopowders","Villas-Boas, Lúcia Adriana, Nascente, Pedro Augusto de Paula, Landers, Richard, Campos, Marcelo, Souza, Dulcina Maria Pinatti Ferreira de","Materials Research; 19(5); 1057-1063","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501057&lang=pt" 
"S1516-14392016000501049-scl","AISI 1005 Steel Plasma Treated by Different Thermochemical Surface Treatments","Damin, Keli Vanessa Salvador, Lamim, Thiago de Souza, Cavilha Neto, Francisco, Binder, Cristiano, Klein, Aloisio Nelmo, Maliska, Ana Maria","Materials Research; 19(5); 1049-1056","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501049&lang=pt" 
"S0034-70942016000500555-scl","Our anesthesia experience during electroconvulsive therapy in pregnant patients","Bakı, Elif Doğan, Akıcı, Özlem Çetin, Güzel, Halil İbrahim, Kokulu, Serdar, Ela, Yüksel, Sıvacı, Remziye Gül","Revista Brasileira de Anestesiologia; 66(5); 555-555","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500555&lang=pt" 
"S1516-14392016000501042-scl","Mechanical Properties and Crystallographic Texture of Symmetrical and Asymmetrical Cold Rolled IF Steels","Sardinha, Nina do Amaral, Santos, Igor Cuzzuol dos, Andrade, Bárbara Vaz, Botelho, Ramón Alves, Oliveira, Rebeca Vieira de, Diniz, Saulo Brinco, Paula, Andersan dos Santos, Brandao, Luiz Paulo","Materials Research; 19(5); 1042-1048","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501042&lang=pt" 
"S1516-14392016000500977-scl","A Simple Way to Produce γ-Alumina From Aluminum Cans by Precipitation Reactions","Adans, Ysla França, Martins, André Rosa, Coelho, Rodrigo Estevam, Virgens, Cesário Francisco das, Ballarini, Adriana Daniela, Carvalho, Luciene Santos","Materials Research; 19(5); 977-982","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000500977&lang=pt" 
"S1516-14392016000501144-scl","Development of an ω-Phase in Grade 2 Titanium Processed by HPT at High Hydrostatic Pressure","Figueiredo, Roberto B., Langdon, Terence G.","Materials Research; 19(5); 1144-1148","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501144&lang=pt" 
"S1516-14392016000501026-scl","Analytic Approach to Alloys Thermodynamics: Ternary Cu-Ga-Ni system","Gomidželović, Lidija, Kostov, Ana, Živković, Dragana, Krstić, Vesna","Materials Research; 19(5); 1026-1032","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501026&lang=pt" 
"S1516-14392016000501064-scl","Thermal Insulating Foams Produced From Glass Waste and Banana Leaves","Arcaro, Sabrina, Maia, Bianca Goulart de Oliveira, Souza, Marcelo Tramontin, Cesconeto, Francielly Roussenq, Granados, Laura, Oliveira, Antonio Pedro Novaes de","Materials Research; 19(5); 1064-1069","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501064&lang=pt" 
"S1516-14392016000500991-scl","CuI Film Produced by Chemical Extraction Method in Different Media","Kariper, Ishak Afşin","Materials Research; 19(5); 991-998","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000500991&lang=pt" 
"S1516-14392016000501193-scl","Influence of Pushing and Pulling the Electrode Procedure and Addition of Second Layer of Welding on the Wear in Hardfacing of Fe-Cr-C","Rauta, Romulo Poderoso, Rodrigues, Samuel Filgueiras, Leal, Valdemar Silva, Reis, Gedeon Silva, Aranas Jr, Clodualdo, Ferraresi, Valtair Antônio","Materials Research; 19(5); 1193-1200","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501193&lang=pt" 
"S0034-70942016000500549-scl","Simple handling of venous air embolism during abdominal myomectomy","Basaran, Betül, Basaran, Ahmet, Kozanhan, Betül, Özmen, Sadık, Basaran, Mustafa","Revista Brasileira de Anestesiologia; 66(5); 549-550","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500549&lang=pt" 
"S1516-14392016000500965-scl","12 mm Thick Circular Blanks of Al-killed AISI 1020 Steel -Applied for Cylindrical Cup Manufacturing by Multistage Deep Drawing with Simultaneous Ironing","Parida, Anil Kumar, Soren, Shatrughan, Jha, Raghu Nandan, Sadhukhan, Sanjoy","Materials Research; 19(5); 965-976","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000500965&lang=pt" 
"S1516-14392016000501098-scl","Electrochemical Behavior of Titanium Nitride Thin Films Deposited on Silicon by Plasma Discharge Technique in Cathodic Cage","Bottoni, Cintia de Laet Ravani, Dias, Mauro César, Gontijo, L. C.","Materials Research; 19(5); 1098-1101","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501098&lang=pt" 
"S0034-70942016000500533-scl","Spinal subarachnoid haematoma after spinal anaesthesia: case report","Vidal, Marion, Strzelecki, Antoine, Houadec, Mireille, Krikken, Isabelle Ranz, Danielli, Antoine, Souza Neto, Edmundo Pereira de","Revista Brasileira de Anestesiologia; 66(5); 533-535","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500533&lang=pt" 
"S1516-14392016000500983-scl","Studying the electrical, thermal, and photocatalytic activity of nanocomposite of polypyrrole with the photoadduct of K3[Fe(CN)6] and diethylenetriamine","Moosvi, Syed Kazim, Majid, Kowsar, Ara, Tabassum","Materials Research; 19(5); 983-990","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000500983&lang=pt" 
"S0034-70942016000500543-scl","Anesthesia in a patient with Stiff Person Syndrome","Yagan, Ozgur, Özyilmaz, Kadir, Özmaden, Ahmet, Sayin, Özgür, Hanci, Volkan","Revista Brasileira de Anestesiologia; 66(5); 543-545","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500543&lang=pt" 
"S1516-14392016000501017-scl","Nano and Micro Ceramic Membranes from Degradable Templates","Carreño, Neftalí Lenin Villarreal, Rattman, Cristiane Wienke Raubach, Gonçalves, Margarete Regina Freitas, Silva, Ricardo Marques e, Paganotto, Gian Francesco dos Reis, Alcazar, José Carlos Bernedo, Avellaneda, Cesar Oropesa, Barbosa, Ananda Morais, Duarte, Viviane Coelho, Lucena, Poty Rodrigues de","Materials Research; 19(5); 1017-1025","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501017&lang=pt" 
"S1516-14392016000501155-scl","Novel Gd(OH)3, GdOOH and Gd2O3 Nanorods: Microwave-Assisted Hydrothermal Synthesis and Optical Properties","Almeida, Maciel Salomão de, Santos, Maria Aparecida Bezerra dos, Gonçalves, Rosana de Fátima, Santos, Maria Rita de Cássia, Marques, Ana Paula de Azevedo, Longo, Elson, La Porta, Felipe de Almeida, Pinatti, Ivo Mateus, Silva, Maya Dayana Penha, Godinho, Mario Junior","Materials Research; 19(5); 1155-1161","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501155&lang=pt" 
"S0034-70942016000500529-scl","Correlation of computed tomography, magnetic resonance imaging and clinical outcome in acute carbon monoxide poisoning","Ozcan, Namik, Ozcam, Giray, Kosar, Pinar, Ozcan, Ayse, Basar, Hulya, Kaymak, Cetin","Revista Brasileira de Anestesiologia; 66(5); 529-532","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500529&lang=pt" 
"S1516-14392016000501070-scl","Synthesis, Swelling Properties and Evaluation of Genotoxicity of Hydrogels Based on (Meth)acrylates and Itaconic Acid","Takić Miladinov, Dijana, Tomić, Simonida, Stojanović, Sanja, Najdanović, Jelena, Filipović, Jovanka, Trajanović, Miroslav, Najman, Stevo","Materials Research; 19(5); 1070-1079","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501070&lang=pt" 
"S0034-70942016000500451-scl","Perioperative warming with a thermal gown prevents maternal temperature loss during elective cesarean section. A randomized clinical trial","Bernardis, Ricardo Caio Gracco de, Siaulys, Monica Maria, Vieira, Joaquim Edson, Mathias, Lígia Andrade Silva Telles","Revista Brasileira de Anestesiologia; 66(5); 451-455","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500451&lang=pt" 
"S0034-70942016000500456-scl","Evaluation of the effects of intra-arterial sugammadex and dexmedetomidine: an experimental study","Hancı, Volkan, Özbilgin, Şule, Özbal, Seda, Kamacı, Gonca, Ateş, Hasan, Boztaş, Nilay, Ergür, Bekir Uğur, Arıkanoğlu, Ahmet, Yılmaz, Osman, Yurtlu, Bülent Serhan","Revista Brasileira de Anestesiologia; 66(5); 456-464","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500456&lang=pt" 
"S0034-70942016000500551-scl","Airway management in newborn with Klippel-Feil syndrome","Altay, Nuray, Yüce, Hasan H., Aydoğan, Harun, Dörterler, Mustafa E.","Revista Brasileira de Anestesiologia; 66(5); 551-553","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500551&lang=pt" 
"S0034-70942016000500475-scl","Paravertebral block for management of acute postoperative pain and intercostobrachial neuralgia in major breast surgery","Gacio, Mercedes Fernández, Lousame, Ana Maria Agrelo, Pereira, Susana, Castro, Clara, Santos, Juliana","Revista Brasileira de Anestesiologia; 66(5); 475-484","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500475&lang=pt" 
"S0034-70942016000500539-scl","Awake insertion of a Laryngeal Mask Airway-Proseal™ as alternative to awake fiberoptic intubation in management of anticipated difficult airway in ambulatory surgery","Zaballos, Matilde, Ginel, María Dolores, Portas, Maite, Barrio, María, López, Ana María","Revista Brasileira de Anestesiologia; 66(5); 539-542","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500539&lang=pt" 
"S0034-70942016000500485-scl","The effects of memantine on recovery, cognitive functions, and pain after propofol anesthesia","Emik, Ulku, Unal, Yusuf, Arslan, Mustafa, Demirel, Cengiz Bekir","Revista Brasileira de Anestesiologia; 66(5); 485-491","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500485&lang=pt" 
"S0034-70942016000500470-scl","Patient state index and cerebral blood flow changes during shoulder arthroscopy in beach chair position","Buget, Mehmet Ilke, Atalar, Ata Can, Edipoglu, Ipek Saadet, Sungur, Zerrin, Sivrikoz, Nukhet, Karadeniz, Meltem, Saka, Esra, Kucukay, Suleyman, Senturk, Mert N.","Revista Brasileira de Anestesiologia; 66(5); 470-474","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500470&lang=pt" 
"S1516-14392016000501207-scl","Deposition of TiO2 Film on Duplex Stainless Steel Substrate Using the Cathodic Cage Plasma Technique","Sousa, Rômulo Ribeiro Magalhães de, Araújo, Francisco Odolberto de, Costa, José Alzamir Pereira da, Nishimoto, Akio, Viana, Bartolomeu Cruz, Alves Jr., Clodomiro","Materials Research; 19(5); 1207-1212","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501207&lang=pt" 
"S0034-70942016000500546-scl","Non-invasive mechanical ventilation and epidural anesthesia for an emergency open cholecystectomy","Yurtlu, Bülent Serhan, Köksal, Bengü, Hancı, Volkan, Turan, Işıl Özkoçak","Revista Brasileira de Anestesiologia; 66(5); 546-548","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500546&lang=pt" 
"S1516-14392016000501008-scl","Use of Magnetic Barkhausen Noise (MBN) to Follow Up the Formation of Sigma Phase in Saf2205 (UNS S31803) Duplex Stainless Steel","Huallpa, Edgar Apaza, Monlevade, Eduardo Franco de, Capó Sánchez, Julio, Campos, Manuel Alberteris, Padovese, Linilson, Goldenstein, Hélio","Materials Research; 19(5); 1008-1016","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016000501008&lang=pt" 
"S0034-70942016000500465-scl","Comparative immunohistochemical assessment of the effect of repetitive anesthesia with isoflurane and sevoflurane on rat liver","Ruxanda, Flavia, Gal, Adrian Florin, Raţiu, Cristian, Miclăuş, Viorel, Rus, Vasile, Oana, Liviu Ioan","Revista Brasileira de Anestesiologia; 66(5); 465-469","Revista Brasileira de Anestesiologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942016000500465&lang=pt" 
"S0103-50532016001001912-scl","Vitamin C Determination by Ultraviolet Spectroscopy and Multiproduct Calibration","Santos, Dayane A., Lima, Karen P., Março, Paulo H., Valderrama, Patrícia","Journal of the Brazilian Chemical Society; 27(10); 1912-1917","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001912&lang=pt" 
"S0103-50532016001001847-scl","Electrochromic Properties of Polyaniline-Based Hybrid Organic/Inorganic Materials","Silva, Rosanny C., Sarmento, Marina V., Faez, Roselena, Mortimer, Roger J., Ribeiro, Adriana S.","Journal of the Brazilian Chemical Society; 27(10); 1847-1857","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001847&lang=pt" 
"S0103-50532016001001750-scl","Estuary Adjacent to a Megalopolis as Potential Disrupter of Carbon and Nutrient Budgets in the Coastal Ocean","Lazzari, Letícia, Wagener, Angela L. R., Farias, Cássia O., Baêta, Aída P., Mauad, Cristiane R., Fernandes, Alexandre M., Paranhos, Rodolfo, Carreira, Renato S.","Journal of the Brazilian Chemical Society; 27(10); 1750-1765","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001750&lang=pt" 
"S0103-50532016001001858-scl","A Study of the Interaction Between trans-Dehydrocrotonin, a Bioactive Natural 19-nor-Clerodane, and Serum Albumin","Chaves, Otávio Augusto, Soares, Breno A., Maciel, Maria Aparecida M., Sant&#039;Anna, Carlos Maurício R., Netto-Ferreira, José Carlos, Cesarin-Sobrinho, Dari, Ferreira, Aurélio B. B.","Journal of the Brazilian Chemical Society; 27(10); 1858-1865","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001858&lang=pt" 
"S0103-50532016001001715-scl","Solid Phase Extraction to On-Line Preconcentrate Trace Cadmium Using Chemically Modified Nano-Carbon Black with 3-Mercaptopropyltrimethoxysilane","Zappielo, Caroline D., Nanicuacua, Daniel M., Santos, Walter N. L. dos, Silva, Daniel L. F. da, Dall&#039;Antônia, Luiz H., Oliveira, Fernanda M. de, Clausen, Débora N., Tarley, César R. T.","Journal of the Brazilian Chemical Society; 27(10); 1715-1726","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001715&lang=pt" 
"S0103-50532016001001918-scl","Simplification of Lipase Design in the Enzymatic Kinetic Resolution of Amines by Saturation Transfer Difference NMR","Silva, Marcio S., Pietrobom, Daniel","Journal of the Brazilian Chemical Society; 27(10); 1918-1923","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001918&lang=pt" 
"S0103-50532016001001800-scl","Evaluating the &quot;Tape Tea&quot; Myth as Low Cost Abuse Drug through Mass Spectrometry","Lehmann, Eraldo L., Correa, Deleon N., Schmidt, Eduardo M., Eberlin, Marcos N., Arruda, Marco A. Z.","Journal of the Brazilian Chemical Society; 27(10); 1800-1806","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001800&lang=pt" 
"S0103-50532016001001814-scl","Solid-Phase Peptide Synthesis of Dipeptide (Histidine-β-Alanine) as a Chelating Agent by Using Trityl Chloride Resin, for Removal of Al3+, Cu2+, Hg2+ and Pb2+: Experimental and Theoretical Study","Rahimi, Rahmatollah, Khosravi, Maryam, Tehrani, Mohammd H. H., Rabbani, Mahboubeh, Safavi, Ebrahim","Journal of the Brazilian Chemical Society; 27(10); 1814-1819","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001814&lang=pt" 
"S0103-50532016001001872-scl","Chemical Profile and Cytotoxic Activity of Leaf Extracts from Senna spp. from Northeast of Brazil","Silva, Juliana G. A., Silva, Alexander A., Coutinho, Isabel D., Pessoa, Claudia O., Cavalheiro, Alberto J., Silva, Maria G. V.","Journal of the Brazilian Chemical Society; 27(10); 1872-1880","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001872&lang=pt" 
"S0103-50532016001001727-scl","Effects of Different Numbers of Fungicide Application on the Proximate Composition of Soybean","Michels, Roger N., Bonafe, Elton G., Figueiredo, Luana C., Suzuki, Rúbia M., Tonin, Lilian D., Montanher, Paula F., Martins, Alessandro Francisco, Visentainer, Jesui V., Canteri, Marcelo G., Silva, Marcelo Augusto A.","Journal of the Brazilian Chemical Society; 27(10); 1727-1735","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001727&lang=pt" 
"S0103-50532016001001881-scl","On-line Green Solid Phase Extraction of Trace Rare Earth Elements and Uranium in Environmental Samples and ICP OES Detection","Zari, Naeemeh, Hassan, Jalal, Tabar-Heydar, Kourosh, Ahmadi, Seyyed H.","Journal of the Brazilian Chemical Society; 27(10); 1881-1888","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001881&lang=pt" 
"S0103-50532016001001832-scl","Atmospheric Pressure Continuous Production of Solketal from the Acid-Catalyzed Reaction of Glycerol with Acetone","Oliveira, Paula A., Souza, Rodrigo O. M. A., Mota, Claudio J. A.","Journal of the Brazilian Chemical Society; 27(10); 1832-1837","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001832&lang=pt" 
"S0103-50532016001001706-scl","Preparation of Two Maleic Acid Sulfonamide Salts and Their Copper(II) Complexes and Antiglaucoma Activity Studies","Yenikaya, Cengiz, İlkimen, Halil, Demirel, Mehmet Melih, Ceyhan, Burçin, Bülbül, Metin, Tunca, Ekrem","Journal of the Brazilian Chemical Society; 27(10); 1706-1714","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001706&lang=pt" 
"S0103-50532016001001838-scl","Characterization of the Fruit Pulp of Camu-Camu (Myrciaria dubia) of Seven Different Genotypes and Their Rankings Using Statistical Methods PCA and HCA","Freitas, Camila A. B., Silva, Antonio S., Alves, Cláudio N., Nascimento, Walnice M. O., Lopes, Alessandra S., Lima, Marcelo O., Müller, Regina C. S.","Journal of the Brazilian Chemical Society; 27(10); 1838-1846","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001838&lang=pt" 
"S0103-50532016001001744-scl","Ibuprofen, Carbamazepine and β-Estradiol Determination Using Thin-Film Microextraction and Gas Chromatography-Mass Spectrometry","Giordano, Ady, Vásquez, José, Retamal, Mauricio, Ascar, Loreto","Journal of the Brazilian Chemical Society; 27(10); 1744-1749","Journal of the Brazilian Chemical Society","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532016001001744&lang=pt" 
