"S2317-17822015000400307-scl","Guest editorial","Silva, Hilton Justino da, Tomé, Marileda","CoDAS; 27(4); 307-308","CoDAS","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822015000400307&lang=pt" 
"S1516-18462015000401090-scl","Perfil do desenvolvimento da linguagem de crianças no município de Belém, segundo o Teste de Triagem de Denver II","Costa, Elson Ferreira, Cavalcante, Lilia Iêda Chaves, Dell&#039;Aglio, Débora Dalbosco","Revista CEFAC; 17(4); 1090-1102","Revista CEFAC","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-18462015000401090&lang=pt" 
"S0036-36342015000400007-spa","Medición simplificada del nivel socioeconómico en encuestas breves: propuesta a partir de acceso a bienes y servicios","Díaz-Acosta, Rodrigo, Shiba-Matsumoto, Andrey Ryo, Gutiérrez, Juan Pablo","Salud Pública de México; 57(4); 298-303","Salud Pública de México","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342015000400007&lang=pt" 
"S0100-39842015000400017-scl","Creutzfeldt-Jakob dementia","Reis, Fabiano, Palma, Ana Laura Gatti, Schwingel, Ricardo, Torres, Hélio Henrique Jorge, Oshima, Mariana Mari, Queiroz, Luciano Souza, Rogério, Fábio","Radiologia Brasileira; 48(4); 267-268","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000400017&lang=pt" 
"S0034-75902015000400380-scl","SOCIAL ENTREPRENEURSHIP AND SOCIAL BUSINESS: RETROSPECTIVE AND PROSPECTIVE RESEARCH","BARKI, EDGARD, COMINI, GRAZIELLA, CUNLIFFE, ANN, HART, STUART, RAI, SUDHANSHU","Revista de Administração de Empresas; 55(4); 380-384","Revista de Administração de Empresas","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-75902015000400380&lang=pt" 
"S0121-03192015000200004-col","Estado nutricional en menores de 10 años atendidos en la ESE Hospital Santa Mónica de Dosquebradas, Risaralda, Colombia, en el período de 2008-2012","Gaviria, Javier A, Largo, Carlos, Rodríguez-Morales, Alfonso J","Medicas UIS; 28(2); 209-220","Medicas UIS","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-03192015000200004&lang=pt" 
"S0020-38742015000200239-scl","Mário de Andrade, Rachel de Queiroz e Mary Pedrosa cantam para Lorenzo Dow Turner","Toni, Flávia Camargo","Revista do Instituto de Estudos Brasileiros; (61); 239-247","Revista do Instituto de Estudos Brasileiros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742015000200239&lang=pt" 
"S0020-38742015000200203-scl","O sentido moderno da administração colonial: o caso do Regimento das Missões","Oliveira, Pedro Rocha de","Revista do Instituto de Estudos Brasileiros; (61); 203-221","Revista do Instituto de Estudos Brasileiros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742015000200203&lang=pt" 
"S0020-38742015000200223-scl","Todos entoam: o cancionista e seus parceiros","Matos, Cláudia Neiva de","Revista do Instituto de Estudos Brasileiros; (61); 223-229","Revista do Instituto de Estudos Brasileiros","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742015000200223&lang=pt" 
"S0020-38742015000200231-scl","A unidade (hispano-)americana e o olhar sobre o Brasil","Rossi, Fernanda da Silva Rodrigues","Revista do Instituto de Estudos Brasileiros; (61); 231-238","Revista do Instituto de Estudos Brasileiros","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0020-38742015000200231&lang=pt" 
"S1981-77462015000200543-scl","Realidades da Educação Profissional no Brasil","Lima, Julio Cesar França","Trabalho, Educação e Saúde; 13(2); 543-546","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200543&lang=pt" 
"S1981-77462015000200541-scl","Políticas e cuidado em saúde mental: contribuições para a prática profissional","Cavalcanti, Maria Tavares","Trabalho, Educação e Saúde; 13(2); 541-542","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200541&lang=pt" 
"S1981-77462015000200301-scl","O legado da construção do sistema de proteção social brasileiro para a intersetorialidade","Rezende, Mônica de, Baptista, Tatiana Wargas de Faria, Amâncio Filho, Antenor","Trabalho, Educação e Saúde; 13(2); 301-322","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200301&lang=pt" 
"S1981-77462015000200473-scl","Percepções e demandas de nutricionistas da alimentação escolar sobre sua formação","Honório, Andréa Riskala Franco, Batista, Sylvia Helena","Trabalho, Educação e Saúde; 13(2); 473-492","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200473&lang=pt" 
"S1981-77462015000200411-scl","O proeja e a proposta de integração curricular: dispositivos analisadores da educação","Amado, Luiz Antonio Saléh","Trabalho, Educação e Saúde; 13(2); 411-428","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200411&lang=pt" 
"S1981-77462015000200533-scl","Entrevista: Jaime Breilh","","Trabalho, Educação e Saúde; 13(2); 533-540","Trabalho, Educação e Saúde","Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200533&lang=pt" 
"S1981-77462015000200515-scl","AVALIAÇÃO DA QUALIDADE DEVIDA DE ESTUDANTES DE NUTRIÇÃO","Baraldi, Solange, Bampi, Luciana Neves da Silva, Pereira, Mariana Fernandes, Guilhem, Dirce Bellezi, Mariath, Aline Brandão, Campos, Ana Carolina Oliveira","Trabalho, Educação e Saúde; 13(2); 515-531","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200515&lang=pt" 
"S1981-77462015000200451-scl","A SUBJETIVIDADE DO PROFISSIONAL DA ODONTOLOGIA PÓS-REESTRUTURAÇÃO PRODUTIVA: ÉTICA E ESPECIALIZAÇÃO","Gomes, Doris, Ramos, Flávia Regina Souza","Trabalho, Educação e Saúde; 13(2); 451-472","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200451&lang=pt" 
"S1981-77462015000200323-scl","CAPITALISMO E ONTOLOGIA DA BIOÉTICA: O PROCESSO DE TRABALHO DE MÉDICOS DE FAMÍLIA NA ITÁLIA","Lima, Rita de Cássia Gabrielli Souza, Verdi, Marta Inez Machado","Trabalho, Educação e Saúde; 13(2); 323-341","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200323&lang=pt" 
"S1981-77462015000200283-scl","Contribuições da antropologia para o campo da educação em saúde no Brasil","Dias, João Vinícius dos Santos, Ferreira, Jaqueline","Trabalho, Educação e Saúde; 13(2); 283-299","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200283&lang=pt" 
"S1981-77462015000200493-scl","IMPASSES, DESAFIOS E AS INTERFACES DA EDUCAÇÃO ALIMENTAR E NUTRICIONAL COMO PROCESSO DE PARTICIPAÇÃO POPULAR","Casemiro, Juliana Pereira, Fonseca, Alexandre Brasil Carvalho da, Machado, Elaine Cristina da Silva, Peres, Solange Carvalho","Trabalho, Educação e Saúde; 13(2); 493-514","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200493&lang=pt" 
"S1981-77462015000200381-scl","Discursos masculinos sobre prevenção e promoção da saúde do homem","Trilico, Matheus Luis Castelan, Oliveira, Gabriela Romano de, Kijimura, Marinei Yuko, Pirolo, Sueli Moreira","Trabalho, Educação e Saúde; 13(2); 381-395","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200381&lang=pt" 
"S1981-77462015000200261-scl","PARTICIPAÇÃO SOCIAL, VIGILÂNCIA EM SAÚDE DO TRABALHADOR E SERVIÇO PÚBLICO","Souza, Kátia Reis de, Bonfatti, Renato José, Santos, Maria Blandina Marques dos","Trabalho, Educação e Saúde; 13(2); 261-282","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000200261&lang=pt" 
"S1519-70772015000200181-scl","An Analysis of Differences in Terms of Professional Interests Based on the Project to Replace IAS 39","Carvalho, Cláudia Daniela Ferreira da Mota, Albuquerque, Fábio Henrique Ferreira de, Quirós, Joaquín Texeira, Justino, Maria do Rosário Fernandes","Revista Contabilidade &amp; Finanças; 26(68); 181-194","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200181&lang=pt" 
"S0103-65642015000200240-scl","Aulas investigativas e a construção de conceitos de matemática: um estudo a partir da teoria de Piaget","Bona, Aline Silva de, Souza, Maria Thereza Costa Coelho de","Psicologia USP; 26(2); 240-248","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200240&lang=pt" 
"S1519-70772015000200223-scl","The Term Structure of Interest Rates and its Impact on the Liability Adequacy Test for Insurance Companies in Brazil","Duarte, Antonio Aurelio, Silva, Aldy Fernandes da, Oliveira, Luciano Vereda, Weffort, Elionor Farah Jreige, Chan, Betty Lilian","Revista Contabilidade &amp; Finanças; 26(68); 223-236","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200223&lang=pt" 
"S0103-65642015000200136-scl","Políticas públicas e desigualdades na migração e refúgio","Lussi, Carmem","Psicologia USP; 26(2); 136-144","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200136&lang=pt" 
"S0103-65642015000200145-scl","Migrantes, pós-colonialismo e fundamentalismo: enlaces entre Oriente e Ocidente e a questão do Islã","Smaili, Soraya S.","Psicologia USP; 26(2); 145-151","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200145&lang=pt" 
"S0103-65642015000200152-scl","O outro: análise crítica de discursos sobre imigração e gênero","Mountian, Ilana, Rosa, Miriam Debieux","Psicologia USP; 26(2); 152-160","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200152&lang=pt" 
"S0103-65642015000200161-scl","Del campo a la periferia de la ciudad, la omnipresente sombra de la violencia. Campesinos desplazados forzados en Colombia caminan de la mano del eterno retorno a la violencia: vulneración y potencia de vida","Ocampo Prado, Myriam, Martínez Carpeta, Mábel, Zuluaga Tapia, Sandra Liliana","Psicologia USP; 26(2); 161-168","Psicologia USP","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200161&lang=pt" 
"S0103-65642015000200175-scl","Do relatório ao relato, da alienação ao sujeito: a experiência de uma prática clínica com refugiados em uma instituição de saúde","Saglio-Yatzimirsky, Marie-C.","Psicologia USP; 26(2); 175-185","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200175&lang=pt" 
"S0103-65642015000200193-scl","Migração, rupturas psíquicas e espaços terapêuticos","Ferreira, Ademir Pacelli","Psicologia USP; 26(2); 193-198","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200193&lang=pt" 
"S0103-65642015000200199-scl","Antes da chuva: metamorfoses do círculo","Matos, Olgária Chain Féres","Psicologia USP; 26(2); 199-207","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200199&lang=pt" 
"S0103-65642015000200208-scl","Experimentação política da amizade em comunidades da internet a partir da teoria dos afetos de Espinosa","Azevedo, Lívia Godinho Nery Gomes, Ferreri, Marcelo de Almeida, Chaga, Luana Costa, Faria, Weslley de Sá, Nascimento, Gicelma Barreto, Almeida, Lívia Mendes de","Psicologia USP; 26(2); 208-220","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200208&lang=pt" 
"S0103-65642015000200221-scl","A perspectiva biomédica dos transtornos alimentares e seus desdobramentos em atendimentos psicológicos","Pedrosa, Raquel Lima, Teixeira, Leônia Cavalcante","Psicologia USP; 26(2); 221-230","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200221&lang=pt" 
"S0103-65642015000200231-scl","O papel das emoções na relação confiança-exatidão do testemunho","Reis, Maria Anabela Bento Marinho Nunes, Horta, Maria Purificação","Psicologia USP; 26(2); 231-239","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200231&lang=pt" 
"S0103-65642015000200249-scl","Heidegger: o estudo dos fenômenos humanos baseados na existência humana como ser-aí (Dasein)","Cardinalli, Ida Elizabeth","Psicologia USP; 26(2); 249-258","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200249&lang=pt" 
"S0103-65642015000200259-scl","Do Círculo de Eranos à construção do simbólico, em Carl Gustav Jung","Ferreira, Amauri Carlos, Silveira, Luiz Henrique Lemos","Psicologia USP; 26(2); 259-268","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200259&lang=pt" 
"S0103-65642015000200269-scl","Números que pouco explicam: indicadores sobre famílias recasadas e &lt;italic&gt;bullying&lt;/italic&gt;","Brito, Leila Maria Torraca de, Soares, Laura Cristina Eiras Coelho","Psicologia USP; 26(2); 269-278","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200269&lang=pt" 
"S0103-65642015000200279-scl","A dor forasteira e o belo passageiro: perspectivas nietzschiana e freudiana","Fortes, Maria Isabel de Andrade","Psicologia USP; 26(2); 279-285","Psicologia USP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200279&lang=pt" 
"S0103-65642015000200286-scl","Reflections on a footnote: implications for the study of emotions in animals","Otta, Emma","Psicologia USP; 26(2); 286-295","Psicologia USP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000200286&lang=pt" 
"S1519-70772015000200126-scl","Main Consequences of IFRS Adoption: Analysis of Existing Literature and Suggestions for Further Research","Lourenço, Isabel Maria Estima Costa, Branco, Manuel Emílio Mota de Almeida Delgado Castelo","Revista Contabilidade &amp; Finanças; 26(68); 126-139","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200126&lang=pt" 
"S1519-70772015000200140-scl","Determining Factors for Delisting of Companies Listed on BM&amp;FBOVESPA","Bortolon, Patricia Maria, Silva Junior, Annor da","Revista Contabilidade &amp; Finanças; 26(68); 140-153","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200140&lang=pt" 
"S1519-70772015000200154-scl","Comparability of Accounting Choices in Future Valuation of Investment Properties: An Analysis of Brazilian and Portuguese Listed Companies","Souza, Flaida Êmine Alves de, Botinha, Reiner Alves, Silva, Pablo Rogers, Lemes, Sirlei","Revista Contabilidade &amp; Finanças; 26(68); 154-166","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200154&lang=pt" 
"S1519-70772015000200167-scl","Determinant Factors of Dividend Payments in Brazil","Forti, Cristiano Augusto Borges, Peixoto, Fernanda Maciel, Alves, Denis Lima e","Revista Contabilidade &amp; Finanças; 26(68); 167-180","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200167&lang=pt" 
"S1519-70772015000200195-scl","Comparing the Use of Forward-Looking and Contemporary Performance Measurement to Formulate Incentive Contracts in the Presence of the Horizon Problem: An Experimental Analysis","Santos, Luis Paulo Guimarães dos","Revista Contabilidade &amp; Finanças; 26(68); 195-207","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200195&lang=pt" 
"S1519-70772015000200208-scl","Determinants of Supply and Demand for Trade Credit by Micro, Small and Medium-Sized Enterprises","Carvalho, Claudinê Jordão de, Schiozer, Rafael Felipe","Revista Contabilidade &amp; Finanças; 26(68); 208-222","Revista Contabilidade &amp; Finanças","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772015000200208&lang=pt" 
"S0718-09342015000200004-chl","Transitividad en el español de Chile: Exploración desde la perspectiva sistémico-funcional","Gutiérrez, Rosa María","Revista signos; 48(88); 223-249","Revista signos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342015000200004&lang=pt" 
"S0122-74832015000200009-col","Mitochondrial DNA analysis suggests a Chibchan migration into Colombia","Noguera-Santamaría, María Claudia, Anderson, Carl Edlund, Uricoechea, Daniel, Durán, Clemencia, Briceño-Balcázar, Ignacio, Bernal Villegas, Jaime","Universitas Scientiarum; 20(2); 261-278","Universitas Scientiarum","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-74832015000200009&lang=pt" 
"S0122-74832015000200007-col","Funciones ecológicas de los anfibios y reptiles neotropicales: una revisión","Cortes-Gomez, AM, Ruiz-Agudelo, CA, Valencia-Aguilar, A, Ladle, RJ","Universitas Scientiarum; 20(2); 229-245","Universitas Scientiarum","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-74832015000200007&lang=pt" 
"S1983-80422015000200238-scl","Confidencialidad y privacidad en la medicina y en la investigación científica: desde la bioética a la ley","Outomuro, Delia, Mirabile, Lorena M.","Revista Bioética; 23(2); 238-243","Revista Bioética","Inglês, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422015000200238&lang=pt" 
"S1983-80422015000200331-scl","Crônica de uma morte adiada: o tabu da morte e os limites não científicos da ciência","Silva, Luiz Felipe da Cunha e","Revista Bioética; 23(2); 331-339","Revista Bioética","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-80422015000200331&lang=pt" 
"S1981-38212015000200109-scl","Cash Transfers and Mayoral Elections: The Case of Sao Paulo&#039;s Renda Mínima","Corrêa, Diego Sanches","Brazilian Political Science Review; 9(2); 109-120","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000200109&lang=pt" 
"S1981-38212015000200003-scl","State Transfers, Taxes and Income Inequality in Brazil","Medeiros, Marcelo, Souza, Pedro H. G. F.","Brazilian Political Science Review; 9(2); 3-29","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000200003&lang=pt" 
"S1981-38212015000200030-scl","Biopiracy after the Nagoya Protocol: Problem Structure, Regime Design and Implementation Challenges","Rabitz, Florian","Brazilian Political Science Review; 9(2); 30-53","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000200030&lang=pt" 
"S1981-38212015000200054-scl","Corruption and Political Participation in the Americas and the Caribbean","Bonifácio, Robert, Paulino, Rafael","Brazilian Political Science Review; 9(2); 54-80","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000200054&lang=pt" 
"S2176-66812015000200480-scl","Reverberações da avaliação educacional no Brasil","Machado, Cristiane","Revista Brasileira de Estudos Pedagógicos; 96(243); 480-484","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000200480&lang=pt" 
"S2176-66812015000200475-scl","Educação comparada e o mundo globalizado","Verhine, Robert Evan","Revista Brasileira de Estudos Pedagógicos; 96(243); 475-479","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000200475&lang=pt" 
"S0038-23532015000400005-sza","Intellectual property rights in Africa: The way ahead","Pouris, Anastassios","South African Journal of Science; 111(7-8); 1-1","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000400005&lang=pt" 
"S0038-23532015000400004-sza","Lessons for eye health practitioners","Naidoo, Kovin","South African Journal of Science; 111(7-8); 1-1","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000400004&lang=pt" 
"S0038-23532015000400006-sza","Memoirs of an ichthyologist","van Wilgen, Brian W.","South African Journal of Science; 111(7-8); 1-1","South African Journal of Science","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0038-23532015000400006&lang=pt" 
"S0121-07932015000300012-col","Ronda clínica y epidemiológica. Análisis de datos longitudinales","León A, Alba Luz, Jaimes Barragán, Fabián","Iatreia; 28(3); 325-331","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000300012&lang=pt" 
"S0121-07932015000300010-col","Obstrucción intestinal por semillas de Vasconcellea: reporte de tres casos y revisión de la literatura","Montoya-González, Juliana, Vasco, Alejandra, Hoyos-Figueroa, Francisco, Osorio-Cadavid, Natalia, Marín-Agudelo, Alejandro, Jaramillo-Bustamante, Juan Camilo","Iatreia; 28(3); 318-324","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000300010&lang=pt" 
"S0121-07932015000300011-col","Cierre percutáneo de la auriculilla izquierda con dispositivo Watchman: opción para pacientes con fibrilación auricular y alto riesgo de sangrado por anticoagulación","Sénior, Juan, Borja, Henry, Fernández, Andrés, Rodríguez, Arturo, Aldana, Víctor","Iatreia; 28(3); 325-331","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000300011&lang=pt" 
"S0121-07932015000300009-col","Hipopotasemia recurrente y de difícil control en un paciente con leucemia linfoide aguda","Nieto-Ríos, John Fredy, Serna-Higuita, Lina María, Valencia-Chicué, Libardo Humberto, Ocampo-Kohn, Catalina, Aristizábal-Alzate, Arbey, Zuluaga-Valencia, Gustavo Adolfo","Iatreia; 28(3); 312-317","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000300009&lang=pt" 
