"S2237-93632014000200073-scl","The influence of time on the quality of life of patients with intestinal stoma","Salles, Valdemir José Alegre, Becker, Carolina de Paula Penteado, Faria, Giuliana da Matta Rossi","Journal of Coloproctology (Rio de Janeiro); 34(2); 73-75","Journal of Coloproctology (Rio de Janeiro)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-93632014000200073&lang=pt" 
"S0103-507X2014000200155-scl","Adequação dos balanços energético e proteico na nutrição por via enteral em terapia intensiva: quais são os fatores limitantes?","Ribeiro, Lia Mara Kauchi, Oliveira Filho, Ronaldo Sousa, Caruso, Lucia, Lima, Patricia Azevedo, Damasceno, Nágila Raquel Teixeira, Soriano, Francisco Garcia","Revista Brasileira de Terapia Intensiva; 26(2); 155-162","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200155&lang=pt" 
"S0103-507X2014000200122-scl","Sedação e memórias de pacientes submetidos à ventilação mecânica em unidade de terapia intensiva","Costa, Jaquilene Barreto da, Marcon, Sonia Silva, Macedo, Claudia Rejane Lima de, Jorge, Amaury Cesar, Duarte, Péricles Almeida Delfino","Revista Brasileira de Terapia Intensiva; 26(2); 122-129","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200122&lang=pt" 
"S0103-507X2014000200130-scl","Marcadores inflamatórios e perfusionais como preditores e fatores de risco para readmissão de pacientes gravemente enfermos","Santos, Moreno Calcagnotto dos, Boniatti, Márcio Manozzo, Lincho, Carla Silva, Pellegrini, José Augusto Santos, Vidart, Josi, Rodrigues Filho, Edison Moraes, Vieira, Silvia Regina Rios","Revista Brasileira de Terapia Intensiva; 26(2); 130-136","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200130&lang=pt" 
"S0103-507X2014000200089-scl","Recomendações brasileiras de ventilação mecânica 2013. Parte I","Barbas, Carmen Sílvia Valente, Ísola, Alexandre Marini, Farias, Augusto Manoel de Carvalho, Cavalcanti, Alexandre Biasi, Gama, Ana Maria Casati, Duarte, Antonio Carlos Magalhães, Vianna, Arthur, Serpa Neto, Ary, Bravim, Bruno de Arruda, Pinheiro, Bruno do Valle, Mazza, Bruno Franco, Carvalho, Carlos Roberto Ribeiro de, Toufen Júnior, Carlos, David, Cid Marcos Nascimento, Taniguchi, Corine, Mazza, Débora Dutra da Silveira, Dragosavac, Desanka, Toledo, Diogo Oliveira, Costa, Eduardo Leite, Caser, Eliana Bernardete, Silva, Eliezer, Amorim, Fabio Ferreira, Saddy, Felipe, Galas, Filomena Regina Barbosa Gomes, Silva, Gisele Sampaio, Matos, Gustavo Faissol Janot de, Emmerich, João Claudio, Valiatti, Jorge Luis dos Santos, Teles, José Mario Meira, Victorino, Josué Almeida, Ferreira, Juliana Carvalho, Prodomo, Luciana Passuello do Vale, Hajjar, Ludhmila Abrahão, Martins, Luiz Cláudio, Malbouisson, Luiz Marcelo Sá, Vargas, Mara Ambrosina de Oliveira, Reis, Marco Antonio Soares, Amato, Marcelo Brito Passos, Holanda, Marcelo Alcântara, Park, Marcelo, Jacomelli, Marcia, Tavares, Marcos, Damasceno, Marta Cristina Paulette, Assunção, Murillo Santucci César, Damasceno, Moyzes Pinto Coelho Duarte, Youssef, Nazah Cherif Mohamad, Teixeira, Paulo José Zimmermann, Caruso, Pedro, Duarte, Péricles Almeida Delfino, Messeder, Octavio, Eid, Raquel Caserta, Rodrigues, Ricardo Goulart, Jesus, Rodrigo Francisco de, Kairalla, Ronaldo Adib, Justino, Sandra, Nemer, Sérgio Nogueira, Romero, Simone Barbosa, Amado, Verônica Moreira","Revista Brasileira de Terapia Intensiva; 26(2); 89-121","Revista Brasileira de Terapia Intensiva","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2014000200089&lang=pt" 
"S2237-60892014000200107-scl","Translation and adaptation of the Child Posttraumatic Cognitions Inventory (cPTCI) to Brazilian Portuguese","Lobo, Beatriz de Oliveira Meneguelo, Brunnet, Alice Einloft, Silva, Thiago Loreto Garcia da, Santos, Lafaiete Moreira dos, Gauer, Gustavo, Arteche, Adriane Xavier, Kristensen, Christian Haag","Trends in Psychiatry and Psychotherapy; 36(2); 107-112","Trends in Psychiatry and Psychotherapy","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-60892014000200107&lang=pt" 
"S1809-29502014000200180-scl","Quality of life after mastectomy and its relation with muscle strength of upper limb","Silva, Suelen Helena da, Koetz, Lydia Christmann Espindola, Sehnem, Eduardo, Grave, Magali Teresinha Quevedo","Fisioterapia e Pesquisa; 21(2); 180-185","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200180&lang=pt" 
"S1809-29502014000200120-scl","Correlation between temporal-spatial parameters and manual ability of adults with dyskinetic cerebral palsy","Artilheiro, Mariana Cunha, Speciali, Danielli Souza, Lopes, Bárbara Alves, Correa, João Carlos Ferrari, Lucareli, Paulo Roberto Garcia","Fisioterapia e Pesquisa; 21(2); 120-126","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200120&lang=pt" 
"S1809-29502014000200167-scl","Effects of physical exercise on articular range of motion of the lower limb in the Parkinson&#039;s disease individuals","Barbieri, Fabio Augusto, Batistela, Rosangela Alice, Rinaldi, Natália Madalena, Teixeira-Arroyo, Claudia, Stella, Florindo, Gobbi, Lilian Teresa Bucken","Fisioterapia e Pesquisa; 21(2); 167-173","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200167&lang=pt" 
"S1809-29502014000200174-scl","Supplement with Cystoseira canariensis promotes an increase of resistance to the maximum load in the grastrocnemius muscle of female rats","Abdalla, Douglas Reis, Araújo, Eliana Silva Cassimiro, Carvalho, Leonardo César, Bertoncello, Dernival","Fisioterapia e Pesquisa; 21(2); 174-179","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200174&lang=pt" 
"S1809-29502014000200101-scl","Neuromuscular diseases: revisiting the &quot;overtraining&quot;","Orsini, Marco, Hasue, Renata Hydee, Leite, Marco Antônio Araújo, Menezes, Sara Lúcia Silveira de, Silva, Júlio Guilherme, Oliveira, Acary Bulle","Fisioterapia e Pesquisa; 21(2); 101-102","Fisioterapia e Pesquisa","Inglês, Português, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200101&lang=pt" 
"S1809-29502014000200186-scl","Physical therapy in the conservative treatment for anterior cruciate ligament rupture followed by contralateral rupture: case report","Almeida, Gabriel Peixoto Leão, Arruda, Gilvan de Oliveira, Marques, Amélia Pasqual","Fisioterapia e Pesquisa; 21(2); 186-192","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200186&lang=pt" 
"S1809-29502014000200113-scl","Ratings of perceived exertion at anaerobic threshold in patients with coronary artery disease","Forti, Meire, Zamunér, Antonio Roberto, Kunz, Vandeni Clarice, Salviati, Mariana Rodrigues, Nery, Tarcísio Augusto Gonçalves, Silva, Ester da","Fisioterapia e Pesquisa; 21(2); 113-119","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200113&lang=pt" 
"S1809-29502014000200193-scl","Gait energy expenditure in children with Duchenne muscular dystrophy: case study","Souza, Mariana Angélica de, Ferreira, Marília Ester, Baptista, Cyntia Rogean de Jesus Alves de, Sverzut, Ana Claudia Mattiello","Fisioterapia e Pesquisa; 21(2); 193-198","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200193&lang=pt" 
"S1809-29502014000200127-scl","Postural stability, risk of falls and fear of falling in elderly with diabetic neuropathy who do therapeutic exercises","Pinheiro, Hudson Azevedo, Vilaça, Karla Helena Coelho, Carvalho, Gustavo de Azevedo","Fisioterapia e Pesquisa; 21(2); 127-132","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200127&lang=pt" 
"S1809-29502014000200133-scl","The professionals&#039; perceptions about the MOVE(r) curriculum approach","Reis, Carolina Trombeta, Nobre, Maria Inês Rubo de Souza","Fisioterapia e Pesquisa; 21(2); 133-138","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200133&lang=pt" 
"S1809-29502014000200139-scl","Comparison of postural balance between professional tae kwon do athletes and young adults","Rabello, Lucas Maciel, Macedo, Christiane de Souza Guerino, Gil, André Wilson, Oliveira, Marcio Rogério de, Coelho, Vinícius Arantes, Silva, Gustavo Balthazzar, Silva Jr., Rubens Alexandre da","Fisioterapia e Pesquisa; 21(2); 139-143","Fisioterapia e Pesquisa","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200139&lang=pt" 
"S1809-29502014000200144-scl","The profile of spinal injuries in the elderly population","Teixeira, Glaciéle de Oliveira, Oliveira, Thais Fonseca de, Frison, Verônica Baptista, Resende, Thais de Lima","Fisioterapia e Pesquisa; 21(2); 144-150","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200144&lang=pt" 
"S1809-29502014000200156-scl","Children with visual impairments may have altered joint movement: an observational case-control study","João, Silvia Maria Amado, Pádua, Michelle de, Taddei, Ulisses Tirollo, Mendes, Yuri Carvalho, Sauer, Juliana Ferreira","Fisioterapia e Pesquisa; 21(2); 156-160","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200156&lang=pt" 
"S1809-29502014000200151-scl","Handgrip and functional mobility in elderly with different levels of physical activity","Macedo, Dayane de Oliveira, Freitas, Letícia Mendes de, Scheicher, Marcos Eduardo","Fisioterapia e Pesquisa; 21(2); 151-155","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200151&lang=pt" 
"S1809-29502014000200161-scl","Physical activity level and depressive symptoms in patients undergoing hemodialysis: a cross-sectional study","Cavalcanti, Cléssyo Tavares de Amorim, Araújo Filho, José Cândido de, Marinho, Patrícia Érika de Melo","Fisioterapia e Pesquisa; 21(2); 161-166","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200161&lang=pt" 
"S1809-29502014000200107-scl","Assessment of cross-cultural adaptations and measurement properties of self-report outcome measures in Portuguese relevant to temporomandibular disorders: a systematic review","Costa, Letícia Miranda Resende da, Medeiros, Daiane Lazzeri de, Ries, Lilian Gerdi Kittel, Beretta, Audria, Noronha, Marcos Amaral de","Fisioterapia e Pesquisa; 21(2); 107-112","Fisioterapia e Pesquisa","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502014000200107&lang=pt" 
"S0102-09352014000200044-scl","Infecção congênita em cabritos por Mycoplasma agalactiae","Silva, N.S., Azevedo, E.O., Campos, A.C., Cordeiro, A.A., Mamede, A.G., Silva, R.B.S., Castro, R.S., Nascimento, E. Rosendo, Marinho, M.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 631-634","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200044&lang=pt" 
"S0102-09352014000200045-scl","Comparação entre as medidas morfométricas de equinos Mangalarga Marchador de marcha batida e marcha picada","Santiago, J.M., Rezende, A.S.C., Lana, Â.M.Q., Fonseca, M.G., Abrantes, R.G.P., Lage, J., Andrade, J.M., Resende, T.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 635-639","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200045&lang=pt" 
"S0102-09352014000200042-scl","Detection of antimicrobial and anthelmintic residues in bulk tank milk from four different mesoregions of Minas Gerais State - Brazil","Cerqueira, M.M.O.P., Souza, F.N., Cunha, A.F., Picinin, L.C.A., Leite, M.O., Penna, C.F.A.M., Souza, M.R., Fonseca, L.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(2); 621-625","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000200042&lang=pt" 
