"S0080-62342016000300434-scl","Creation of complexity assessment tool for patients receiving home care","Bôas, Maria Leopoldina de Castro Villas, Shimizu, Helena Eri, Sanchez, Mauro Niskier","Revista da Escola de Enfermagem da USP; 50(3); 434-441","Revista da Escola de Enfermagem da USP","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000300434&lang=pt" 
"S1414-462X2016000200216-scl","Perfil clínico-hospitalar de crianças com cardiopatia congênita","Belo, Wanessa Alves, Oselame, Gleidson Brandão, Neves, Eduardo Borba","Cadernos Saúde Coletiva; 24(2); 216-220","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200216&lang=pt" 
"S0101-73302016000200497-scl","EU VO LÁ ONTEM, PAPAI! ― EXPERIÊNCIA E CULTURAS INFANTIS: REFLEXÕES SOBRE INFÂNCIA E TEMPORALIDADE RECURSIVA","Sanhces, Eduardo Oliveira, Silva, Divino José da","Educação &amp; Sociedade; 37(135); 497-516","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200497&lang=pt" 
"S1414-462X2016000200228-scl","Importância do acolhimento de pais que tiveram diagnóstico do transtorno do espectro do autismo de um filho","Maia, Fernanda Alves, Almeida, Maria Tereza Carvalho, Oliveira, Liliane Marta Mendes de, Oliveira, Stéffany Lara Nunes, Saeger, Vanessa Souza de Araújo, Oliveira, Victória Spínola Duarte de, Silveira, Marise Fagundes","Cadernos Saúde Coletiva; 24(2); 228-234","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200228&lang=pt" 
"S1414-462X2016000200192-scl","Judicialização do direito à saúde na região Nordeste, Brasil: dimensões e desafios","Nunes, Carlos Francisco Oliveira, Ramos Júnior, Alberto Novaes","Cadernos Saúde Coletiva; 24(2); 192-199","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200192&lang=pt" 
"S1413-81232016000601757-spa","Mapeando iniciativas territoriais saudáveis, suas características e evidências de efetividade","Freire, Maria do Socorro Machado, Salles, Rosane Paula de Senna, Franco de Sá, Ronice Maria Pereira","Ciência &amp; Saúde Coletiva; 21(6); 1757-1766","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601757&lang=pt" 
"S1413-81232016000601839-spa","Equipe “Consultório na Rua” de Manguinhos, Rio de Janeiro, Brasil: práticas de cuidado e promoção da saúde em um território vulnerável","Engstrom, Elyne Montenegro, Teixeira, Mirna Barros","Ciência &amp; Saúde Coletiva; 21(6); 1839-1848","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601839&lang=pt" 
"S1413-81232016000601695-spa","Perspectivas e desafios da “nova” Política Nacional de Promoção da Saúde: para qual arena política aponta a gestão?","Albuquerque, Tales Iuri Paz e, Franco de Sá, Ronice Maria Pereira, Araújo Júnior, José Luiz do Amaral Correia de","Ciência &amp; Saúde Coletiva; 21(6); 1695-1706","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601695&lang=pt" 
"S1413-81232016000601931-spa","Política de promoção da saúde e planejamento urbano: articulações para o desenvolvimento da cidade saudável","Sperandio, Ana Maria Girotti, Francisco Filho, Lauro Luiz, Mattos, Thiago Pedrosa","Ciência &amp; Saúde Coletiva; 21(6); 1931-1938","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601931&lang=pt" 
"S1413-81232016000601819-spa","A contribuição do CEPEDOC para a construção da Política de Promoção da Saúde no Brasil","Westphal, Márcia Faria, Franceschini, Maria Cristina Trousdell","Ciência &amp; Saúde Coletiva; 21(6); 1819-1828","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601819&lang=pt" 
"S1413-81232016000601899-spa","Sustentabilidade de um programa de alimentação escolar bem-sucedido: estudo de caso no Nordeste do Brasil","Melo, Mariana Navarro Tavares de, Franco de Sá, Ronice Maria Pereira, Melo Filho, Djalma Agripino de","Ciência &amp; Saúde Coletiva; 21(6); 1899-1908","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601899&lang=pt" 
"S1413-81232016000601789-spa","Colaboração interprofissional no Projeto Saúde e Prevenção na Escola","Dias, Maria Socorro de Araújo, Vieira, Francisca Maria Bezerra Ribeiro, Silva, Lielma Carla Chagas da, Vasconcelos, Maristela Inês Osawa, Machado, Maria de Fátima Antero Sousa","Ciência &amp; Saúde Coletiva; 21(6); 1789-1798","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601789&lang=pt" 
"S1413-81232016000601717-spa","Avaliação de gestores, trabalhadores, conselheiros de saúde e usuários do SUS sobre a Política de Promoção da Saúde","Alexandre, Veruska Prado, Rocha, Dais Gonçalves, Marcelo, Vânia Cristina, Lima, Jacqueline Rodrigues de","Ciência &amp; Saúde Coletiva; 21(6); 1717-1726","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601717&lang=pt" 
"S1413-81232016000601861-spa","O direito humano à água e ao esgotamento sanitário como instrumento para promoção da saúde de populações vulneráveis","Neves-Silva, Priscila, Heller, Léo","Ciência &amp; Saúde Coletiva; 21(6); 1861-1870","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601861&lang=pt" 
"S1413-81232016000601879-spa","O Programa Iluminar Campinas: a construção de uma política intersetorial e interinstitucional para o enfrentamento da violência como um problema social","Pedrosa, Claudia Mara, Diniz, Carmen Simone Grilo, Moura, Verônica Gomes Alencar de Lima e","Ciência &amp; Saúde Coletiva; 21(6); 1879-1888","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601879&lang=pt" 
"S1413-81232016000601871-spa","Percepção da qualidade ambiental de localidades próximas ao Complexo Petroquímico do Rio de Janeiro, Brasil","Moniz, Marcela de Abreu, Carmo, Cleber Nascimento do, Hacon, Sandra de Souza","Ciência &amp; Saúde Coletiva; 21(6); 1871-1878","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601871&lang=pt" 
"S1413-81232016000601957-spa","Promoção da saúde da mulher brasileira e a alimentação saudável: vozes e discursos evidenciados pela Folha de SP","Oliveira-Costa, Mariella Silva de, Amorim, Anne Caroline Coelho Leal Árias, Cadaxa, Aede Gomes, Mendonça, Ana Valéria Machado","Ciência &amp; Saúde Coletiva; 21(6); 1957-1964","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601957&lang=pt" 
"S1413-81232016000601939-spa","Por uma agenda global pós-Objetivos de Desenvolvimento do Milênio","Matida, Álvaro","Ciência &amp; Saúde Coletiva; 21(6); 1939-1946","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601939&lang=pt" 
"S0717-92272016000200006-chl","Estudio electrodiagnóstico en síndrome de Guillain Barré en adultos","Alvarado L, Jimena, Vergara B, Loreto","Revista chilena de neuro-psiquiatría; 54(2); 123-132","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200006&lang=pt" 
"S0717-71942016000100001-chl","La construcción del discurso sobre el origen de los indígenas americanos en la Historia general del reino de Chile de Diego de Rosales","Baraibar, Álvaro","Historia (Santiago); 49(1); 11-25","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100001&lang=pt" 
"S1414-462X2016000200131-scl","Morbidade materna grave na microrregião de Barbacena/MG","Vidal, Carlos Eduardo Leal, Carvalho, Marco Aurélio Bernardes de, Grimaldi, Izabela Ribeiro, Reis, Marcela Campos dos, Baêta, Maria Clara Nepomuceno, Garcia, Raíssa Barbosa, Silva, Senice Alvarenga Rodrigues","Cadernos Saúde Coletiva; 24(2); 131-138","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200131&lang=pt" 
"S1414-462X2016000200145-scl","Identificação de pacientes com indicação de Cuidados Paliativos na Estratégia Saúde da Família: estudo exploratório","Marcucci, Fernando Cesar Iwamoto, Perilla, Anamaria Baquero, Brun, Marília Maroneze, Cabrera, Marcos Aparecido Sarria","Cadernos Saúde Coletiva; 24(2); 145-152","Cadernos Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-462X2016000200145&lang=pt" 
"S0101-73302016000200539-scl","DIDÁTICA MULTIDIMENSIONAL: POR UMA SISTEMATIZAÇÃO CONCEITUAL","Franco, Maria Amélia Santoro, Pimenta, Selma Garrido","Educação &amp; Sociedade; 37(135); 539-553","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200539&lang=pt" 
"S0717-92272016000200004-chl","Determinantes biopsicosociales de depresión en pacientes atendidos en Centros de Atención Primaria de Concepción, Chile","Vicente P, Benjamín, Rojas P, Romina, Saldivia B, Sandra, Pérez V, Cristhian, Melipillán A, Roberto, Hormazábal P, Nain, Pihan V, Rolando","Revista chilena de neuro-psiquiatría; 54(2); 102-112","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200004&lang=pt" 
"S1413-81232016000601767-spa","Avaliação da Política Nacional de Promoção da Saúde: perspectivas e desafios","Magalhães, Rosana","Ciência &amp; Saúde Coletiva; 21(6); 1767-1776","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601767&lang=pt" 
"S1413-81232016000601965-spa","Atenção pré-natal e fatores de risco associados à prematuridade e baixo peso ao nascer em capital do nordeste brasileiro","Gonzaga, Isabel Clarisse Albuquerque, Santos, Sheila Lima Diogenes, Silva, Ana Roberta Vilarouca da, Campelo, Viriato","Ciência &amp; Saúde Coletiva; 21(6); 1965-1974","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601965&lang=pt" 
"S1413-81232016000601849-spa","O Programa Academia da Saúde como estratégia de promoção da saúde e modos de vida saudáveis: cenário nacional de implementação","Sá, Gisele Balbino Araujo Rodrigues de, Dornelles, Gabriela Chagas, Cruz, Kátia Godoy, Amorim, Roberta Corrêa de Araújo, Andrade, Silvânia Suely Caribé de Araújo, Oliveira, Taís Porto, Silva, Marta Maria Alves da, Malta, Deborah Carvalho, Souza, Maria de Fátima Marinho de","Ciência &amp; Saúde Coletiva; 21(6); 1849-1860","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601849&lang=pt" 
"S1413-81232016000601947-spa","Common Elements Treatment Approach based on a Cognitive Behavioral Intervention: implementation in the Colombian Pacific","Pacichana-Quinayáz, Sara Gabriela, Osorio-Cuéllar, Gisel Viviana, Bonilla-Escobar, Francisco Javier, Fandiño-Losada, Andrés, Gutiérrez-Martínez, María Isabel","Ciência &amp; Saúde Coletiva; 21(6); 1947-1956","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601947&lang=pt" 
"S1413-81232016000601909-spa","Promoción de la salud en los lugares de trabajo: un camino por recorrer","Bazzani, Luzetty Chaves, Sánchez, Alba Idaly Muñoz","Ciência &amp; Saúde Coletiva; 21(6); 1909-1920","Ciência &amp; Saúde Coletiva","Inglês, Espanhol","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601909&lang=pt" 
"S1413-81232016000601921-spa","Geração de trabalho e renda como estratégia de Promoção da Saúde: o caso das mulheres mastectomizadas em Nova Iguaçu, RJ, Brasil","Santana, Clarice Silva, Galvão, Gíssia Gomes, Costa, Paulini Malfei de Carvalho, Tavares, Maria de Fátima Lobato","Ciência &amp; Saúde Coletiva; 21(6); 1921-1930","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601921&lang=pt" 
"S1413-81232016000601737-spa","Pesquisa-intervenção em promoção da saúde: desafios metodológicos de pesquisar “com”","Mendes, Rosilda, Pezzato, Luciane Maria, Sacardo, Daniele Pompei","Ciência &amp; Saúde Coletiva; 21(6); 1737-1746","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601737&lang=pt" 
"S1413-81232016000601829-spa","Práticas corporais e atividades físicas na perspectiva da Promoção da Saúde na Atenção Básica","Carvalho, Fabio Fortunato Brasil de, Nogueira, Júlia Aparecida Devidé","Ciência &amp; Saúde Coletiva; 21(6); 1829-1838","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601829&lang=pt" 
"S1413-81232016000601889-spa","Estratégias pedagógicas em grupos com o tema alimentação e nutrição: os bastidores do processo de escolha","Botelho, Fernanda Cangussu, Guerra, Lúcia Dias da Silva, Pava-Cárdenas, Alexandra, Cervato-Mancuso, Ana Maria","Ciência &amp; Saúde Coletiva; 21(6); 1889-1898","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601889&lang=pt" 
"S1413-81232016000601799-spa","A promoção da saúde no ensino profissional: desafios na Saúde e a necessidade de alcançar outros setores","Tavares, Maria de Fátima Lobato, Rocha, Rosa Maria da, Bittar, Cléria Maria Lobo, Petersen, Cristina Buischi, Andrade, Mônica de","Ciência &amp; Saúde Coletiva; 21(6); 1799-1808","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601799&lang=pt" 
"S1413-81232016000601707-spa","Autores-atores e processos organizacionais e relacionais na revisão da Política Nacional de Promoção da Saúde","Sá, Ronice Maria Pereira Franco de, Rezende, Regiane, Akerman, Marco, Freire, Maria do Socorro Machado, Salles, Rosane Paula Senna, Moysés, Simone Tetu","Ciência &amp; Saúde Coletiva; 21(6); 1707-1716","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601707&lang=pt" 
"S1413-81232016000601683-spa","Política Nacional de Promoção da Saúde (PNPS): capítulos de uma caminhada ainda em construção","Malta, Deborah Carvalho, Morais Neto, Otaliba Libanio, Silva, Marta Maria Alves da, Rocha, Dais, Castro, Adriana Miranda de, Reis, Ademar Arthur Chioro dos, Akerman, Marco","Ciência &amp; Saúde Coletiva; 21(6); 1683-1694","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601683&lang=pt" 
"S1413-81232016000601777-spa","Referencial teórico sobre práticas intersetoriais em Promoção da Saúde na Escola","Silva, Carlos dos Santos, Bodstein, Regina Cele de Andrade","Ciência &amp; Saúde Coletiva; 21(6); 1777-1788","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601777&lang=pt" 
"S1413-81232016000601975-spa","O conhecimento e o ensino sobre doenças sexualmente transmissíveis entre universitários","Castro, Eneida Lazzarini de, Caldas, Tânia Alencar de, Morcillo, André Moreno, Pereira, Elisabete Monteiro de Aguiar, Velho, Paulo Eduardo Neves Ferreira","Ciência &amp; Saúde Coletiva; 21(6); 1975-1984","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601975&lang=pt" 
"S1413-81232016000601747-spa","Comunidades ampliadas de pesquisa ação como dispositivos para uma promoção emancipatória da saúde: bases conceituais e metodológicas","Porto, Marcelo Firpo de Souza, Cunha, Marize Bastos da, Pivetta, Fatima, Zancan, Lenira, Freitas, Jairo Dias de","Ciência &amp; Saúde Coletiva; 21(6); 1747-1756","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601747&lang=pt" 
"S1688-03902016000200002-ury","Estacionalidad de la vitamina D plasmática: su importancia en la clínica y en la salud","Mendoza, Beatriz, Ronco, Álvaro L.","Revista Médica del Uruguay; 32(2); 80-86","Revista Médica del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902016000200002&lang=pt" 
"S1688-03902016000200003-ury","Prevalencia del déficit de vitamina D en una población de embarazadas que se asisten en el Centro Hospitalario Pereira Rossell","Gómez, Fernanda, Bottaro, Soledad, Cóppola, Francisco, Tomasso, Giselle, Rocha, Vanessa, Giménez, Cecilia","Revista Médica del Uruguay; 32(2); 87-97","Revista Médica del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902016000200003&lang=pt" 
"S0101-73302016000200425-scl","POLÍTICAS DE CURRÍCULO PARA O ENSINO MÉDIO NO BRASIL CONTEMPORÂNEO: O QUE ENSINA AOS JOVENS A ESCOLA QUE PROTEGE?","Silva, Roberto Rafael Dias da, Fabris, Elí Terezinha Henn","Educação &amp; Sociedade; 37(135); 425-443","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016000200425&lang=pt" 
"S1688-03902016000200005-ury","Patrones de reducción luego de quimioterapia neoadyuvante por cáncer de mama: implicancias en la cirugía conservadora","Acevedo, Carlos, Santander, Guianeya, Musto, María, Ortega, Virginia, Simonet, Fernando, Aizen, Bernardo, Reyes, Susana, Durán, Federico","Revista Médica del Uruguay; 32(2); 104-108","Revista Médica del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902016000200005&lang=pt" 
"S1688-03902016000200006-ury","Caracterización de la población y evaluación de la calidad asistencial de los niños controlados en la Unidad de Diabetes del Centro Hospitalario Pereira Rossell","Deutsch, Ilse, Pérez, Rocío, Pardo, Laura, Iacopino, Andrea, Gontade, Carolina, Gutiérrez, Stella","Revista Médica del Uruguay; 32(2); 109-117","Revista Médica del Uruguay","Espanhol","2016","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902016000200006&lang=pt" 
"S1413-81232016000601809-spa","Políticas de promoção da saúde e potenciais conflitos de interesses que envolvem o setor privado comercial","Burlandy, Luciene, Alexandre, Veruska Prado, Gomes, Fabio da Silva, Castro, Inês Rugani Ribeiro de, Dias, Patrícia Camacho, Henriques, Patrícia, Carvalho, Camila Maranha Paes de, Castro Júnior, Paulo Cesar Pereira de","Ciência &amp; Saúde Coletiva; 21(6); 1809-1818","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000601809&lang=pt" 
"S0717-92272016000200010-chl","CARTA AL EDITOR","Flores Gatica, Milton","Revista chilena de neuro-psiquiatría; 54(2); 162-162","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200010&lang=pt" 
"S0719-25842016000100001-chl","Editorial","Álvarez Valenzuela, Daniel","Revista chilena de derecho y tecnología; 5(1); 7-8","Revista chilena de derecho y tecnología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-25842016000100001&lang=pt" 
"S0717-92272016000200001-chl","Publicidad de terapias innovadoras","Fuentes G, Patricio","Revista chilena de neuro-psiquiatría; 54(2); 83-83","Revista chilena de neuro-psiquiatría","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-92272016000200001&lang=pt" 
"S0717-71942016000100025-chl","Rafael Sagredo Baeza y Rodrigo Moreno Jeria (coordinadores), El Mar del Sur en la historia. Ciencia, expansión, representación y poder en el Pacífico","Puig-Samper, Miguel Ángel","Historia (Santiago); 49(1); 71-75","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100025&lang=pt" 
"S0717-71942016000100017-chl","","Alburquerque, Germán","Historia (Santiago); 49(1); 33-36","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100017&lang=pt" 
"S0717-71942016000100016-chl","","Ossa Santa Cruz, Juan Luis","Historia (Santiago); 49(1); 27-31","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100016&lang=pt" 
"S0717-71942016000100014-chl","Piero Castagneto, Corresponsales en campaña de la Guerra del Pacífico. 1879-1881","Ibarra Cifuentes, Patricio","Historia (Santiago); 49(1); 21-24","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100014&lang=pt" 
"S0717-71942016000100018-chl","","Hausser, Christian","Historia (Santiago); 49(1); 37-40","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100018&lang=pt" 
"S0717-71942016000100020-chl","Elvira López Taverne, El proceso de construcción estatal en Chile. Hacienda pública y burocracia (1817-1860)","Serrano del Pozo, Gonzalo","Historia (Santiago); 49(1); 47-50","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100020&lang=pt" 
"S0717-71942016000100026-chl","Verónica Undurraga y Rafael Gaune (eds.), Formas de control y disciplinamiento. Chile, América y Europa, siglos XVI-XIX","Bornhauser, Niklas","Historia (Santiago); 49(1); 77-81","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100026&lang=pt" 
"S0717-71942016000100022-chl","Pablo Ortemberg, Rituales del poder en Lima (1735-1828). De la Monarquía a la República","Sanfuentes, Olaya","Historia (Santiago); 49(1); 55-60","Historia (Santiago)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942016000100022&lang=pt" 
