"S0100-736X2012001000004-scl","Distribuição e identificação das regiões de risco para a cisticercose bovina no estado do Paraná","Guimarães-Peixoto, Rafaella P.M., Souza, Valmir K., Pinto, Paulo S.A., Santos, Tatiane O.","Pesquisa Veterinária Brasileira; 32(10); 975-979","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000004&lang=pt" 
"S1808-86942012000500013-scl","Correlação do potencial evocado P300 com aspectos cognitivos e depressivos do envelhecimento","Miranda, Elisiane Crestani de, Pinheiro, Maria Madalena Canina, Pereira, Liliane Desgualdo, Iorio, Maria Cecília Martineli","Brazilian Journal of Otorhinolaryngology; 78(5); 83-89","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500013&lang=pt" 
"S1808-86942012000500015-scl","Posturografia estática em dependentes de drogas ilícitas e álcool","Moreira, Daniela Affonso, Ganança, Maurício Malavasi, Caovilla, Heloisa Helena","Brazilian Journal of Otorhinolaryngology; 78(5); 97-103","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500015&lang=pt" 
"S1808-86942012000500016-scl","Avaliação do equilíbrio em idosos que sofrem queda e aqueles que não sofrem quedas","Müjdeci, Banu, Aksoy, Songul, Atas, Ahmet","Brazilian Journal of Otorhinolaryngology; 78(5); 104-109","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500016&lang=pt" 
"S1808-86942012000500017-scl","Prevalência de Streptococcus β-hemolítico em crianças portadoras de necessidades especiais","Morais, Viviane Martha Santos de, Orsi, Alice Ramos, Maranhão, Fernanda Cristina de Albuquerque, Castro, Therezita Maria Peixoto Patury Galvão, Castro, Karina Cavalcante Beltrão de, Silva, Denise Maria Wanderlei","Brazilian Journal of Otorhinolaryngology; 78(5); 110-115","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500017&lang=pt" 
"S1808-86942012000500018-scl","Fissuras lábio palatinas não sindrômicas: relação entre o sexo e a extensão clínica","Martelli, Daniella Reis Barbosa, Machado, Renato Assis, Swerts, Mário Sérgio Oliveira, Rodrigues, Laíse Angélica Mendes, Aquino, Sibele Nascimento de, Martelli Júnior, Hercílio","Brazilian Journal of Otorhinolaryngology; 78(5); 116-120","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500018&lang=pt" 
"S1808-86942012000500019-scl","Videolaringoestroboscopia e avaliação vocal em pacientes portadores de artrite reumatoide","Castro, Mario Augusto Ferrari de, Dedivitis, Rogério Aparecido, Pfuetzenreiter Júnior, Elio Gilberto, Barros, Ana Paula Brandão, Queija, Débora dos Santos","Brazilian Journal of Otorhinolaryngology; 78(5); 121-127","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500019&lang=pt" 
"S1808-86942012000500020-scl","Neurofibromatose 2: opções de restauração auditiva","Monteiro, Tatiana Alves, Goffi-Gomez, Maria Valeria Schmidt, Tsuji, Robinson Koji, Gomes, Marcos Queiroz Telas, Brito Neto, Rubens Vuono, Bento, Ricardo Ferreira","Brazilian Journal of Otorhinolaryngology; 78(5); 128-134","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500020&lang=pt" 
"S0100-736X2012001000002-scl","Neospora caninum em bovinos em matadouros de Pernambuco e Alagoas","Amaral, Rodolfo L.G., Silva, Leonildo B.G., Pinheiro Júnior, José W., Souza Neto, Orestes L., Leal, Carlos A.S., Porto, Wagnner J.N., Barbosa, José M.P., Mota, Rinaldo A.","Pesquisa Veterinária Brasileira; 32(10); 953-966","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000002&lang=pt" 
"S0100-736X2012001000003-scl","Influence of tail biting on weight gain, lesions and condemnations at slaughter of finishing pigs","Marques, Brenda Maria F.P.P., Bernardi, Mari L., Coelho, Carolini F., Almeida, Mirian, Morales, Oscar E., Mores, Tiago J., Borowski, Sandra M., Barcellos, David E.S.N.","Pesquisa Veterinária Brasileira; 32(10); 967-974","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000003&lang=pt" 
"S0100-736X2012001000005-scl","Transfer of passive immunity and serum proteinogram in the first six months of life of Criollo Lageano and black and white holstein calves","Teixeira, William Timboni, Fonteque, Graziela Vieira, Ramos, Alexandre Floriani, Mariante, Arthur da Silva, Egito, Andrea Alves do, Martins, Vera Maria Villamil, Saito, Mere Erika, Fonteque, Joandes Henrique","Pesquisa Veterinária Brasileira; 32(10); 980-986","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000005&lang=pt" 
"S0100-736X2012001000011-scl","Seroprevalence and risk factors associated with infection by Neospora caninum of dairy cattle in the state of Alagoas, Brazil","Sousa, Maria E., Wagnner, J.N. Porto, Albuquerque, Pedro P.F., Souza Neto, Orestes L., Faria, Eduardo B., Pinheiro Júnior, José W., Mota, Rinaldo A.","Pesquisa Veterinária Brasileira; 32(10); 1009-1013","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000011&lang=pt" 
"S0100-736X2012001000013-scl","Sheep production as a Senecio spp. control tool","Bandarra, Paulo Mota, Oliveira, Luiz Gustavo de, Dalto, André Cabrera, Boabaid, Fabiana Marques, Juffo, Gregory, Riet-Correa, Franklin, Driemeier, David, Cruz, Cláudio Estêvão Farias da","Pesquisa Veterinária Brasileira; 32(10); 1017-1022","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000013&lang=pt" 
"S0100-736X2012001000015-scl","Avaliação terapêutica e posológica da levotiroxina sódica em cães com hipotiroidismo primário adquirido","De Marco, Viviani, Silva, Roberta M.T., Karamm, Mariana A., Florio, Jorge C., Lorigrados, Carla A.B.","Pesquisa Veterinária Brasileira; 32(10); 1030-1036","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000015&lang=pt" 
"S0100-736X2012001000018-scl","Levantamento qualitativo de gêneros de parasitos em amostras fecais de jacarés criados comercialmente em sistema fechado no estado do Rio de Janeiro","Batista, André M.B., Da Costa Pereira, Maria A.V., Vita, Gilmar F., Barbosa, Celso G., Silva Antonio, Isabela M., Barros, Suzana C.W., Magalhães, Alex R., Freitas, Juliana P.","Pesquisa Veterinária Brasileira; 32(10); 1045-1049","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000018&lang=pt" 
"S0100-736X2012001000019-scl","Sequencing and expression analysis of hepcidin mRNA in donkey (Equus asinus) liver","Oliveira-Filho, José P., Marques, Jessica A., Cunha, Paulo Henrique J., Medeiros, Gildenor X., Riet-Correa, Franklin, Machado, Vânia Maria V., Borges, Alexandre S.","Pesquisa Veterinária Brasileira; 32(10); 1050-1054","Pesquisa Veterinária Brasileira","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000019&lang=pt" 
"S0100-736X2012001000021-scl","Estudo histológico e comparativo das papilas linguais dos cervídeos Mazama americana e Mazama gouzoubira por microscopia de luz e eletrônica de varredura","Kokubun, Hanna Sibuya, Esper, Greyson V. Zanatta, Franciolli, André L. Rezende, Silva, Fernanda Menezes de Oliveira e, Rici, Rose Eli G., Miglino, Maria Angélica","Pesquisa Veterinária Brasileira; 32(10); 1061-1066","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000021&lang=pt" 
"S0100-736X2012001000022-scl","Estudo morfofuncional dos rins de cães da raça Golden Retriever afetados pela distrofia muscular (GRMD)","Abreu, Dilayla K., Costola-de-Souza, Carolina, Alcântara, Dayane, Rodrigues, Elaine A.F., Araújo, Karla P.C., Maiorka, Paulo C., Miglino, Maria A., Ambrósio, Carlos E.","Pesquisa Veterinária Brasileira; 32(10); 1067-1072","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000022&lang=pt" 
"S1808-86942012000500024-scl","Rabdomioma adulto em glândula submandibular","Willrich, Ana Helena, Jung, Juliana Elizabeth, Percicote, Ana Paula, Becker, Renata, Ioshii, Sérgio Ossamu","Brazilian Journal of Otorhinolaryngology; 78(5); 138-138","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500024&lang=pt" 
"S0100-736X2012001000006-scl","Utilização de vagens de Prosopis juliflora na alimentação de ovinos e caprinos","Riet-Correa, Franklin, Andrade, Fagney R.M. de, Carvalho, Fabrício K.L., Tabosa, Ivon M., Galiza, Glauco J., Bernardino, José N., Simões, Sara V.D., Medeiros, Rosane M.T.","Pesquisa Veterinária Brasileira; 32(10); 987-989","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000006&lang=pt" 
"S0100-736X2012001000014-scl","Intoxicação experimental por Metternichia princeps (Solanaceae) em ovinos e bovinos","Caldas, Saulo A., Brito, Marilene de Farias, Prado, Juliana da Silva, Yamasaki, Elise Miyuki, Veronezi, Luciane, Jönck, Fernanda, Maia, Diogo dos Santos, Tokarnia, Carlos Hubinger","Pesquisa Veterinária Brasileira; 32(10); 1023-1029","Pesquisa Veterinária Brasileira","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012001000014&lang=pt" 
"S0004-27302012000700006-scl","Oxidative stress and interleukin-6 secretion during the progression of type 1 diabetes","Reis, Janice Sepúlveda, Amaral, Clara Araújo Veloso, Volpe, Caroline Maria Oliveira, Fernandes, Jamille Silveira, Borges, Erica Abreu, Isoni, Camila Armond, Anjos, Paula Martins Ferreira dos, Machado, José Augusto Nogueira","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 441-448","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700006&lang=pt" 
"S0004-27302012000700007-scl","Use of hemoglobin A1C to detect Haitian-Americans with undiagnosed Type 2 diabetes","Exebio, Joel C., Zarini, Gustavo G., Vaccaro, Joan A., Exebio, Cristobal, Huffman, Fatma G.","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 449-455","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700007&lang=pt" 
"S1808-86942012000500014-scl","Potenciais evocados auditivos de tronco encefálico de ex-usuários de drogas","Weich, Tainara Milbradt, Tochetto, Tania Maria, Seligman, Lilian","Brazilian Journal of Otorhinolaryngology; 78(5); 90-96","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500014&lang=pt" 
"S0004-27302012000700004-scl","Evaluation of plasma homocysteine level according to the C677T and A1298C polymorphism of the enzyme MTHRF in type 2 diabetic adults","Mello, Adriana Lima, Cunha, Selma Freire de Carvalho da, Foss-Freitas, Maria Cristina, Vannucchi, Helio","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 429-434","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700004&lang=pt" 
"S0004-27302012000700002-scl","Concentrações de 25-hidroxivitamina D e níveis pressóricos em idosos hipertensos","Neves, Juliana Padilha Ramos, Silva, Alexandre Sérgio, Morais, Liana Clébia Soares Lima de, Diniz, Alcides da Silva, Costa, Maria José de Carvalho, Asciutti, Luiza Sonia Rios, Gonçalves, Maria da Conceição Rodrigues","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 415-422","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700002&lang=pt" 
"S0004-27302012000700003-scl","High prevalence of vitamin D deficiency among newly diagnosed youth-onset diabetes mellitus in north India","Daga, Riyaz Ahmad, Laway, Bashir Ahmad, Shah, Zaffar Amin, Mir, Shahnaz Ahmad, Kotwal, Suman Kumar, Zargar, Abdul Hamid","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 423-428","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700003&lang=pt" 
"S0004-27302012000700010-scl","O ciclo glicose-ácido graxo durante exercício intenso: uma teoria contestável?","Rosseto, Fábio","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 465-467","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700010&lang=pt" 
"S0004-27302012000700008-scl","Icterícia grave e miocardiopatia tireotóxica com trombo atrial","Souza, Marcus V. Leitão de, Novaes, Fernanda Satake","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 456-460","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700008&lang=pt" 
"S0004-27302012000700009-scl","Ectopic Cushing&#039;s syndrome caused by a pulmonary ACTH-secreting tumor in a patient treated with octreotide","Rodrigues, Pedro, Castedo, José Luís, Damasceno, Margarida, Carvalho, Davide","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 461-464","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700009&lang=pt" 
"S0004-27302012000700011-scl","Regulação do metabolismo de glicose e ácido graxo no músculo esquelético durante o exercício físico","Silveira, Leonardo R., Curi, Rui","Arquivos Brasileiros de Endocrinologia &amp; Metabologia; 56(7); 468-469","Arquivos Brasileiros de Endocrinologia &amp; Metabologia","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27302012000700011&lang=pt" 
"S1808-86942012000500002-scl","Uma nova abordagem para a dacriocistorrinostomia endoscópica","Singh, Amit Pal, Narula, Vineet, Meher, Ravi","Brazilian Journal of Otorhinolaryngology; 78(5); 7-11","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500002&lang=pt" 
"S1808-86942012000500001-scl","Tomografia computadorizada: um bem que pode fazer mal","Ribeiro, Fernando de A. Quintanilha","Brazilian Journal of Otorhinolaryngology; 78(5); 2-2","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500001&lang=pt" 
"S1808-86942012000500004-scl","Comparação do perfil clínico de crianças não obesas com apneia do sono e ronco","Stefanini, Daniele de Oliveira Soares, Barros, Emília Leite de, Stefanini, Renato, Pradella-Hallinan, Márcia Lurdes de Cássia, Pignatari, Shirley Shizue Nagata, Fujita, Reginaldo Raimundo","Brazilian Journal of Otorhinolaryngology; 78(5); 22-26","Brazilian Journal of Otorhinolaryngology","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-86942012000500004&lang=pt" 
"S0036-36342012000500012-mex","Noticias de salud ambiental EHP-SPM","","Salud Pública de México; 54(5); 544-562","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500012&lang=pt" 
"S0036-36342012000500011-mex","Hacia la erradicación de la poliomielitis: logros y retos en México","Esteve-Jaramillo, Alejandra, López-Collada, Vesta L Richardson","Salud Pública de México; 54(5); 537-543","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500011&lang=pt" 
"S0036-36342012000500010-mex","Diagnóstico de leptospirosis humana: evaluación de la aglutinación macroscópica en diferentes etapas de la enfermedad","Vanasco, Norma Bibiana, Schmeling, María Fernanda, Chiani, Yosena, Lottersberger, Javier, Tarabla, Héctor Dante","Salud Pública de México; 54(5); 530-536","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500010&lang=pt" 
"S0036-36342012000500006-mex","Facility-based care for delivery and management of complications related to pregnancy and childbirth in Mexico","Hernández, Bernardo, Ortiz-Panozo, Eduardo, Pérez-Cuevas, Ricardo","Salud Pública de México; 54(5); 496-505","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500006&lang=pt" 
"S0036-36342012000500003-mex","Compliance to micronutrient supplementation in children 3 to 24 months of age from a semi-rural community in Mexico","López-Flores, Fernando, Neufeld, Lynnette Marie, Sotres-Álvarez, Daniela, García-Guerra, Armando, Ramakrishnan, Usha","Salud Pública de México; 54(5); 470-478","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500003&lang=pt" 
"S0036-36342012000500001-mex","Importancia de fomentar la investigación científica en salud pública desde pregrado","Abudinén A, Gabriel, Soto V, Diego, Rodríguez-Morales, Alfonso J.","Salud Pública de México; 54(5); 459-462","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500001&lang=pt" 
"S0036-36342012000500009-mex","Seroepidemiología del paludismo en un grupo de migrantes en tránsito (Chiapas, 2008)","Betanzos-Reyes, Ángel Francisco, González-Cerón, Lilia, Rodríguez, Mario Henry, Torres-Monzón, Jorge Aurelio","Salud Pública de México; 54(5); 523-529","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500009&lang=pt" 
"S0036-36342012000500005-mex","Older adults under a mixed regime of infectious and chronic diseases","Samper-Ternent, Rafael, Michaels-Obregon, Alejandra, Wong, Rebeca, Palloni, Alberto","Salud Pública de México; 54(5); 487-495","Salud Pública de México","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500005&lang=pt" 
"S0036-36342012000500004-mex","Desarrollo de un cuestionario didáctico para conocer la ingestión de verduras y frutas de niños en el receso escolar: estudio piloto","Medina, Catalina, Villanueva-Borbolla, Montserrat, Barquera, Simón","Salud Pública de México; 54(5); 479-486","Salud Pública de México","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342012000500004&lang=pt" 
