"S0034-75152013000300016-cub","Truabin inyectable","","Revista Cubana de Farmacia; 47(3); 423-424","Revista Cubana de Farmacia","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75152013000300016&lang=pt" 
"S1677-55382013000500756-scl","Withdraw of the Ureteroscope Causes Fragmented Ureter Stones to Disperse","Canguven, Onder, Boz, Mustafa, Bulbul, Mustafa, Selimoglu, Ahmet, Albayrak, Selami","International braz j urol; 39(5); 756-757","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500756&lang=pt" 
"S1677-55382013000500671-scl","Pain related and overall morbidity with TRUS guided prostate biopsy  a prospective study","Ubee, Sarvpreet S., Marri, Rajendra R., Srirangam, Shalom J.","International braz j urol; 39(5); 671-674","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500671&lang=pt" 
"S1677-55382013000500758-scl","Re: Noninvasive Methods to Evaluate Bladder Obstruction in Men","Elterman, Dean S., Chughtai, Bilal, Lee, Richard, Te, Alexis E., Kaplan, Steven A.","International braz j urol; 39(5); 758-759","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500758&lang=pt" 
"S1677-55382013000500754-scl","Impacted Anterior Urethral Calculus Complicated by a Stone-containing Diverticulum in an Elderly Man: Outcome of Transurethral Lithotripsy without Resection of the Diverticulum","Zhou, Tie, Chen, Guanghua, Zhang, Wei, Peng, Yonghan, Xiao, Liang, Xu, Chuangliang, Sun, Yinghao","International braz j urol; 39(5); 754-755","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500754&lang=pt" 
"S1677-55382013000500639-scl","Comparison of positive surgical margin rates in high risk prostate cancer: open versus minimally invasive radical prostatectomy","Harty, Niall J., Kozinn, Spencer I., Canes, David, Sorcini, Andrea, Moinzadeh, Alireza","International braz j urol; 39(5); 639-648","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500639&lang=pt" 
"S1677-55382013000500631-scl","Comparison of Urinary and Serum CA 19-9 as Markers of Early Stage Urothelial Carcinoma","Roy, Suparna, Dasgupta, Anindya, Kar, Kaushik","International braz j urol; 39(5); 631-638","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500631&lang=pt" 
"S1677-55382013000500649-scl","PGC and PSMA in prostate cancer diagnosis: tissue analysis from biopsy samples","Antunes, Alberto A., Reis, Sabrina T., Leite, Katia R., Real, Danilo M., Sousa-Canavez, Juliana M., Camara-Lopes, Luiz H., Dall&#039;oglio, Marcos F., Srougi, Miguel","International braz j urol; 39(5); 649-656","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500649&lang=pt" 
"S1677-55382013000500727-scl","Decline of seminal parameters in middle-aged males is associated with lower urinary tract symptoms, prostate enlargement and bladder outlet obstruction","Ausmees, Kristo, Korrovits, Paul, Timberg, Gennadi, Punab, Margus, Mandar, Reet","International braz j urol; 39(5); 727-740","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500727&lang=pt" 
"S1677-55382013000500675-scl","The prostate after administration of anabolic androgenic steroids: a morphometrical study in rats","Vargas, Rafael Areas, Oliveira, Leonardo Pires, Frankenfeld, Stephan, Souza, Diogo Benchimol de, Costa, Waldemar Silva, Favorito, Luciano Alves, Sampaio, Francisco Jose Barcellos","International braz j urol; 39(5); 675-682","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500675&lang=pt" 
"S1677-55382013000500702-scl","Outcomes of intracorporeal lithotripsy of upper tract stones is not affected by BMI and skin-to-stone distance (SSD) in obese and morbid patients","Pompeo, Alexandre, Molina, Wilson R., Juliano, Cesar, Sehrt, David, Kim, Fernando J.","International braz j urol; 39(5); 702-711","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500702&lang=pt" 
"S1677-55382013000500663-scl","Idiopathic and neurogenic detrusor overactivity: do the different patterns have urodynamic characteristics related to gender or neurological condition?","Valentini, Francoise A., Marti, Brigitte G., Robain, Gilberte","International braz j urol; 39(5); 663-670","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500663&lang=pt" 
"S1677-55382013000500692-scl","Outcomes of percutaneous nephrolithotomy: Comparison of elderly and younger patients","Nakamon, T., Kitirattrakarn, P., Lojanapiwat, B.","International braz j urol; 39(5); 692-701","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500692&lang=pt" 
"S1677-55382013000500657-scl","The Effect of Combined Therapy with Tamsulosin Hydrochloride and Meloxicam in Patients with Benign Prostatic Hyperplasia Symptoms and Impact on Nocturia and Sleep Quality","Gorgel, Sacit Nuri, Sefik, Ertugrul, Kose, Osman, Olgunelma, Vural, Sahin, Evren","International braz j urol; 39(5); 657-662","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500657&lang=pt" 
"S1677-55382013000500622-scl","Comparison of Radical Cystectomy with Conservative Treatment in Geriatric ( 80) Patients with Muscle-Invasive Bladder Cancer","Martini, Thomas, Mayr, Roman, Wehrberger, Clemens, Dechet, Christopher, Lodde, Michele, Palermo, Salvatore, Trenti, Emanuela, Comploj, Evi, Pycha, Armin","International braz j urol; 39(5); 622-630","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500622&lang=pt" 
"S1677-55382013000500712-scl","Establishing the minimal number of virtual reality simulator training sessions necessary to develop basic laparoscopic skills competence: evaluation of the learning curve","Duarte, Ricardo Jordao, Cury, Jose, Oliveira, Luis Carlos Neves, Srougi, Miguel","International braz j urol; 39(5); 712-719","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500712&lang=pt" 
"S1677-55382013000500614-scl","Radical nephroureterectomy for pathologic T4 upper tract urothelial cancer: can oncologic outcomes be improved with multimodality therapy?","Youssef, Ramy F., Yair, Lotan, Sagalowsky, Arthur I., Shariat, Shahrokh F., Wood, Christopher G., Raman, Jay D., Cord, Langner, Richard, Zigeuner, Marco, Roscigno, Francesco, Montorsi, Christian, Bolenz, Wassim, Kassouf, Vitaly, Margulis","International braz j urol; 39(5); 614-621","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500614&lang=pt" 
"S1677-55382013000500683-scl","Cultural Adaptation of the National Institutes of Health  Chronic Prostatitis Symptom Index (NIH-CPSI) - to Brazilian Spoken Portuguese: NIH-CPSI (Braz)","Novotny, Cristiano, Deves, Eduardo, Novotny, Rodrigo, Rodrigues, Igor Kunze, Neves, Fabricio Souza","International braz j urol; 39(5); 683-691","International braz j urol","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-55382013000500683&lang=pt" 
"S0718-40262013000500014-chl","Consentimiento informado: síntesis de teoría actual y recomendaciones","Ávalos J, Nicolás, Tapia M, Sandra","Revista chilena de cirugía; 65(5); 448-453","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500014&lang=pt" 
"S0718-40262013000500015-chl","Osteotomías craneomaxilofaciales con sistemas ultrasónicos","Olate M, Sergio, Almeida A, Andrés, Unibazo Z, Alejandro, Alister H, Juan Pablo, Uribe F, Francisca, Martínez V, Felipe, Huentequeo-Molina, Claudio","Revista chilena de cirugía; 65(5); 454-462","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500015&lang=pt" 
"S0718-40262013000500016-chl","Hepatectomía laparoscópica","Jarufe C, Nicolás, Marambio G, Andrés, de la Llera K, Juan Francisco, Varas C, Julián, Sanhueza G, Marcel, Martínez C, Jorge","Revista chilena de cirugía; 65(5); 463-471","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500016&lang=pt" 
"S0718-40262013000500017-chl","Estudio prospectivo de los resultados de la reparación electiva de hernias incisionales","Espinoza G, Ricardo","Revista chilena de cirugía; 65(5); 472-472","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500017&lang=pt" 
"S0718-40262013000500018-chl","GIST del recto: resultados del tratamiento quirúrgico y multimodal en la era del Imatinib","Bannura C, Guillermo","Revista chilena de cirugía; 65(5); 472-472","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500018&lang=pt" 
"S0718-40262013000500019-chl","Ha fallecido hace algunos meses el Dr. Raúl Álvarez de Oro","Bidegain-Pavón, Carlos","Revista chilena de cirugía; 65(5); 473-473","Revista chilena de cirugía","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-40262013000500019&lang=pt" 
"S0102-37722013000300006-scl","A transmissão psíquica na poética familiar de Almodóvar: Volver (2006) e Tudo sobre Minha Mãe (1999)","Scorsolini-Comin, Fabio, Santos, Manoel Antônio dos","Psicologia: Teoria e Pesquisa; 29(3); 287-295","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300006&lang=pt" 
"S0102-37722013000300005-scl","Desenvolvimento de uma medida de controle primário e secundário para idosos","Khoury, Hilma Tereza Tôrres, Günther, Isolda de Araújo","Psicologia: Teoria e Pesquisa; 29(3); 277-285","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300005&lang=pt" 
"S0102-37722013000300009-scl","Plantão psicológico em hospital e o processo de mudança psicológica","Perches, Tatiana Hoffmann Palmieri, Cury, Vera Engler","Psicologia: Teoria e Pesquisa; 29(3); 313-320","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300009&lang=pt" 
"S0102-37722013000300011-scl","Dimensões e indicadores da qualidade de vida e do bem-estar no trabalho","Silva, Cleide Aparecida da, Ferreira, Maria Cristina","Psicologia: Teoria e Pesquisa; 29(3); 331-339","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300011&lang=pt" 
"S1806-00132013000300001-scl","A dor aguda: um problema desafiador","Garcia, João Batista Santos","Revista Dor; 14(3); 163-163","Revista Dor","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132013000300001&lang=pt" 
"S1983-40632013000300002-scl","Atributos químicos do solo e produtividade de girassol e milho em função da aplicação de composto de lixo urbano","Strojaki, Tiago Vinicios, Silva, Vanderlei Rodrigues da, Somavilla, André, Da Ros, Clovis Orlando, Moraes, Moacir Tuzzin de","Pesquisa Agropecuária Tropical; 43(3); 278-285","Pesquisa Agropecuária Tropical","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632013000300002&lang=pt" 
"S0102-37722013000300001-scl","Acolhimento precoce e o vínculo na institucionalização","Golin, Gabriela, Benetti, Silvia Pereira da Cruz","Psicologia: Teoria e Pesquisa; 29(3); 241-248","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300001&lang=pt" 
"S0102-37722013000300002-scl","Brazilian mothers&#039; description of their children: dimensions of autonomy and relatedness","Seidl-de-Moura, Maria Lucia, Mendes, Deise Maria Leal Fernandes, Vieira, Mauro Luis, Korbarg, Ana Paula, Pessôa, Luciana Fontes, Bandeira, Tatiana Targino Alves","Psicologia: Teoria e Pesquisa; 29(3); 249-255","Psicologia: Teoria e Pesquisa","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300002&lang=pt" 
"S0102-37722013000300003-scl","Repercussões do câncer infantil sobre a relação conjugal","Rech, Bárbara Cristina Steffen, Silva, Isabela Machado da, Lopes, Rita de Cássia Sobreira","Psicologia: Teoria e Pesquisa; 29(3); 257-265","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300003&lang=pt" 
"S0102-37722013000300004-scl","Conflitos interparentais e individuação em jovens adultos portugueses: papel dos conflitos de lealdade","Mota, Catarina Pinheiro, Matos, Paula Mena","Psicologia: Teoria e Pesquisa; 29(3); 267-276","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300004&lang=pt" 
"S0102-37722013000300007-scl","Hipnose, dor crônica e técnicas de ancoragem: a terapia de dentro para fora","Neubern, Maurício da Silva","Psicologia: Teoria e Pesquisa; 29(3); 297-304","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300007&lang=pt" 
"S0102-37722013000300008-scl","Estratégias dialógicas de auto-organização da identidade: psicoterapia e reestruturação da gestão interna","Rosa, Catarina, Gonçalves, Miguel M.","Psicologia: Teoria e Pesquisa; 29(3); 305-312","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300008&lang=pt" 
"S0102-37722013000300010-scl","A lógica da dialogicidade narrativa no repertório de posições pessoais","DeSouza, Mariane Lima, Oliveira, Manoela Z., DaSilveira, Amanda, Gomes, William B.","Psicologia: Teoria e Pesquisa; 29(3); 321-329","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300010&lang=pt" 
"S0102-37722013000300012-scl","Equivalência de estímulos e redução de dificuldades na solução de problemas de adição e subtração","Henklain, Marcelo Henrique Oliveira, Carmo, João dos Santos","Psicologia: Teoria e Pesquisa; 29(3); 341-350","Psicologia: Teoria e Pesquisa","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722013000300012&lang=pt" 
"S0188-25032013000300001-mex","El fin del antiguo régimen agrario chileno (1955-1965)","Bellisario, Antonio","Revista mexicana de sociología; 75(3); 341-370","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300001&lang=pt" 
"S0188-25032013000300002-mex","Escolaridad y lengua hablada en comunidades rurales de la península yucateca","Mier y Terán, Marta, Rabell, Cecilia","Revista mexicana de sociología; 75(3); 371-406","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300002&lang=pt" 
"S0188-25032013000300003-mex","Representación descriptiva y sustantiva: la doble brecha de género en América Latina","Martínez, María Antonia, Garrido, Antonio","Revista mexicana de sociología; 75(3); 407-438","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300003&lang=pt" 
"S0188-25032013000300004-mex","¿Cómo se escribe la vida? Un estudio de la socialización a través del método biográfico","Abrantes, Pedro","Revista mexicana de sociología; 75(3); 439-464","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300004&lang=pt" 
"S0188-25032013000300005-mex","Más que mil palabras: los movimientos de trabajadores desocupados en el diario Clarín","Farías, Ariel, Nardin, Santiago, Santana, Guadalupe","Revista mexicana de sociología; 75(3); 465-499","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300005&lang=pt" 
"S0188-25032013000300006-mex","Pueblos urbanos: Identidad, ciudadanía y territorio en la ciudad de México","Camarena Luhrs, Margarita","Revista mexicana de sociología; 75(3); 501-504","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300006&lang=pt" 
"S0188-25032013000300007-mex","La conquista del poder: Elecciones y campañas presidenciales en América Latina","Ichuta Nina, Carlos Ernesto","Revista mexicana de sociología; 75(3); 504-508","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300007&lang=pt" 
"S0188-25032013000300008-mex","","Rodríguez Nava, Abigail","Revista mexicana de sociología; 75(3); 508-511","Revista mexicana de sociología","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-25032013000300008&lang=pt" 
"S1677-54492013000300216-scl","Variacoes anatomicas dos vasos tibiais: diagnostico diferencial de trombose venosa profunda antiga pela ecografia vascular","Engelhorn, Carlos Alberto, Cerri, Giovanna, Coral, Francisco, Gosalan, Carlos Jose, Engelhorn, Ana Luisa Dias Valiente","Jornal Vascular Brasileiro; 12(3); 216-220","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300216&lang=pt" 
"S1677-54492013000300252-scl","Pseudoaneurismas em associacao com infeccao pelo virus da imunodeficiencia humana: relato de dois casos","Tenorio, Guilon Otavio Santos, Silvestre, Jose Manoel Silva, Sardinha, Wander Eduardo, Ramires, Eduardo Durante, Morais Filho, Domingos de, Oliveira, Rodrigo Gomes de, Trevisan, Fernando Barbosa, Dias, Silfayner Victor Mathias","Jornal Vascular Brasileiro; 12(3); 252-256","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300252&lang=pt" 
"S1677-54492013000300243-scl","Acute limb ischemia secondary to radiation-induced arteritis: case report","Souza, Jose Emerson dos Santos, Cavalcante, Leonardo Pessoa, Bernardes, Marcos Velludo, Parisati, Marcos Henrique, Lacerda, Patricia de Souza, Pereira, Raquel Magalhaes","Jornal Vascular Brasileiro; 12(3); 243-246","Jornal Vascular Brasileiro","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300243&lang=pt" 
"S1677-54492013000300234-scl","Trombose isolada de veia braquial em paciente com hiper-homocisteinemia","Milhomem, Paula Sabrina Araujo, Brandao, Marcelo Luiz, Costa, Monica Meireles, Sales, Werther Souza, Santos, Juliano Ricardo Santana dos, Riemma, Rodrigo Alves, Alcantara, Viviane Queli Macedo de","Jornal Vascular Brasileiro; 12(3); 234-236","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300234&lang=pt" 
"S1677-54492013000300257-scl","Endovascular repair of traumatic external iliac vessel pseudoaneurysm and arteriovenous fistulae","Marin, Juan, Retamales, Beatriz, Onetto, Camila, Ceroni, Enrique, Marin, Cristian","Jornal Vascular Brasileiro; 12(3); 257-259","Jornal Vascular Brasileiro","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300257&lang=pt" 
"S1677-54492013000300185-scl","Os novos anticoagulantes orais no Brasil","Marques, Marcos Areas","Jornal Vascular Brasileiro; 12(3); 185-186","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300185&lang=pt" 
"S1677-54492013000300187-scl","Relacao entre o nivel de atividade fisica estimado pelo Baltimore Activity Scale for Intermittent Claudication e a pedometria em pacientes com claudicacao intermitente","Lopes, Pollianny Ramos, Barbosa, Joao Paulo dos Anjos Souza, Farah, Breno Quintella, Chehuen, Marcel da Rocha, Cucato, Gabriel Grizzo, Wolosker, Nelson, Forjaz, Claudia Lucia de Moraes, Dias, Raphael Mendes Ritti","Jornal Vascular Brasileiro; 12(3); 187-192","Jornal Vascular Brasileiro","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492013000300187&lang=pt" 
"S1983-14472013000300001-scl","Segurança do paciente na tríade assistência ensino pesquisa","Urbanetto, Janete de Souza, Gerhardt, Luiza Maria","Revista Gaúcha de Enfermagem; 34(3); 8-9","Revista Gaúcha de Enfermagem","Inglês, Português, Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472013000300001&lang=pt" 
"S0864-03942013000300001-cub","Estado del conocimiento del mejoramiento genético de cespitosas","López, Mislaidys, Hernández, L, Ramírez, Wendy, Medina, R, Pérez, J. M, González, M. C","Pastos y Forrajes; 36(3); 278-287","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300001&lang=pt" 
"S0864-03942013000300002-cub","Composición genérica del banco de semilla del suelo en un sistema silvopastoril multiasociado (Nota técnica)","Reyes, F, González, Yolanda, Navarro, Marlen, Iglesias, J. M, Hernández, D, Carballo, Mirtha","Pastos y Forrajes; 36(3); 296-299","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300002&lang=pt" 
"S0864-03942013000300004-cub","Eficiencia simbiótica de rizobios nativos de Sancti Spíritus, Cuba, inoculados en Centrosema molle","Bécquer, C. J, Prévost, Danielle, Gauvin, Carole, Beadouin, Annie","Pastos y Forrajes; 36(3); 322-328","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300004&lang=pt" 
"S0864-03942013000300006-cub","Caracterización físico-química y organoléptica de miel de Melipona beecheii obtenida en sistemas agroforestales","Fonte, Leydi, Díaz, Maykelis, Machado, R, Blanco, D, Demedio, J, García, A","Pastos y Forrajes; 36(3); 345-349","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300006&lang=pt" 
"S0864-03942013000300008-cub","Modelo de gestión estratégica para la toma de decisiones en entidades agropecuarias. Implementación en una UBPC del municipio Martí (Parte II)¹","Campos, Maybe, Suárez, J, Ojeda, R","Pastos y Forrajes; 36(3); 364-370","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300008&lang=pt" 
"S0864-03942013000300009-cub","La capacitación como elemento clave del modelo para la difusión y adopción de tecnologías de semillas en el sector ganadero cubano (Nota técnica)","Navarro, Marlen, Pérez, A, Suárez, J, Mesa, A. R","Pastos y Forrajes; 36(3); 377-383","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300009&lang=pt" 
"S0864-03942013000300003-cub","Emergencia y desarrollo inicial de cuatro leguminosas forrajeras arbóreas presentes en la altiplanicie de Maracaibo, Venezuela","Ramírez, Maribel, Caraballo, Brigida, Urdaneta, Aly, García, D. E","Pastos y Forrajes; 36(3); 303-312","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300003&lang=pt" 
"S0864-03942013000300005-cub","Influencia del número de nudos de los propágulos y el marco de plantación en el desarrollo de Trichanthera gigantea","Espinosa, A, Silva, J, González, O, Dunet, O","Pastos y Forrajes; 36(3); 334-339","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300005&lang=pt" 
"S0864-03942013000300007-cub","Cambios fisiopatológicos en ovinos Pelibuey en estabulación, después de infestación experimental con estrongílidos gastrointestinales","Arece, J, López, Y, Molina, M, Alpízar, A","Pastos y Forrajes; 36(3); 354-359","Pastos y Forrajes","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03942013000300007&lang=pt" 
