"S0872-34192015000100001-prt","EDITORIAL","Gonçalves, Carlos Manuel","Sociologia; 29(); 7-8","Sociologia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-34192015000100001&lang=pt" 
"S0124-71072015000100003-col","Resistencia antimicrobiana de bacterias aisladas de clínicas veterinarias de la ciudad de Ibagué, Colombia","Sánchez, María del Pilar, Gutiérrez, Norma Patricia, Padilla, Mónica Yamile, Suárez, Leidy Lorena","Universidad y Salud; 17(1); 18-31","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100003&lang=pt" 
"S0124-71072015000100012-col","Gestión ambiental de aguas residuales industriales con mercurio proveniente de la minería aurífera a nivel mundial: Estado del arte","Garzón-Gutiérrez, Jennyfer Magdalia, Rodríguez-Miranda, Juan Pablo","Universidad y Salud; 17(1); 132-144","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100012&lang=pt" 
"S0124-71072015000100009-col","Estudio etnobotánico de plantas medicinales utilizadas por los habitantes del área rural de la Parroquia San Carlos, Quevedo, Ecuador","Zambrano-Intriago, Leonardo Fabián, Buenaño-Allauca, Mónica Patricia, Mancera-Rodríguez, Néstor Javier, Jiménez-Romero, Edwin","Universidad y Salud; 17(1); 97-111","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100009&lang=pt" 
"S0124-71072015000100001-col","","YÉPEZ CH, MARÍA CLARA","Universidad y Salud; 17(1); 5-5","Universidad y Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072015000100001&lang=pt" 
"S0250-54602015000200001-bol","Evaluación de la calidad de jarabe de glucosa producido por hidrólisis enzimatica a partir de almidón de yuca (Manihot esculenta)","Huanca López, Susana, Espinal, Christian, Mollinedo, Patricia","Revista Boliviana de Química; 32(2); 24-29","Revista Boliviana de Química","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S0250-54602015000200001&lang=pt" 
"S0250-54602015000200003-bol","Síntesis de alquenos por reacciones de fragmentación; vistas mecanísticas; De la serie: El cuaderno de notas de química orgánica, un enfoque didáctico, N&quot;5.","Vila, José L, Bravo, José A","Revista Boliviana de Química; 32(2); 37-44","Revista Boliviana de Química","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S0250-54602015000200003&lang=pt" 
"S0250-54602015000200002-bol","Comportamiento electroquímico de la droga anticancer carboplatin y sus interacciones con las bases nitrogenadas sobre el electrodo de oro en condiciones fisiológicas.","Puma-Caparó, Blas P., Vega-Olivencia, Carmen A.","Revista Boliviana de Química; 32(2); 30-36","Revista Boliviana de Química","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S0250-54602015000200002&lang=pt" 
"S1657-95342015000200004-col","Increasing collaboration between health professionals.: Clues and challenges","Aguirre-Duarte, Nelson Alberto","Colombia Médica; 46(2); 66-70","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200004&lang=pt" 
"S1657-95342015000200008-col","Adrenal venous sampling in a patient with adrenal Cushing syndrome","Builes-Montaño, Carlos Esteban, Villa-Franco, Carlos Andrés, Román-Gonzalez, Alejandro, Velez-Hoyos, Alejandro, Echeverri-Isaza, Santiago","Colombia Médica; 46(2); 84-87","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200008&lang=pt" 
"S1657-95342015000200005-col","Second toe-to-hand transplantation.: A surgical option for hand amputations","Vergara-Amador, Enrique","Colombia Médica; 46(2); 71-74","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200005&lang=pt" 
"S1657-95342015000200007-col","Adult patent Ductus Arteriosus complicated by endocarditis and hemolytic anemia","Sabzi, Feridoun, Faraji, Reza","Colombia Médica; 46(2); 80-87","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200007&lang=pt" 
"S1657-95342015000200001-col","The right to die with dignity and conscientious objection","Rodrigues Torres, José Henrique","Colombia Médica; 46(2); 52-53","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200001&lang=pt" 
"S1657-95342015000200006-col","C677t (rs1801133) MTFHR gene polymorphism frequency in a colombian population","Romero-Sánchez, Consuelo, Gómez-Gutierrez, Alberto, Gómez, Piedad Elena, Casas-Gomez, Maria Consuelo, Briceño, Ignacio","Colombia Médica; 46(2); 75-79","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200006&lang=pt" 
"S1657-95342015000200002-col","Variations in the anatomical relationship between the common carotid artery and the internal jugular vein:: An ultrasonographic study","Umaña, Mauricio, García, Alberto, Bustamante, Luis, Castillo, José Luis, Martínez, Juan Sebastián","Colombia Médica; 46(2); 54-59","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200002&lang=pt" 
"S1657-95342015000200003-col","Introduction of software tools for epidemiological surveillance in infection control in Colombia","Hernández-Gómez, Cristhian, Motoa, Gabriel, Vallejo, Marta, Blanco, Víctor M, Correa, Adriana, de la Cadena, Elsa, Villegas, María Virginia","Colombia Médica; 46(2); 60-65","Colombia Médica","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342015000200003&lang=pt" 
"S0120-99572015000200001-col","Nota del editor","Alvarado Bestene, Jaime","Revista Colombiana de Gastroenterologia; 30(2); 149-149","Revista Colombiana de Gastroenterologia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99572015000200001&lang=pt" 
"S1794-12372015000300006-col","EVALUATION OF SOIL MOISTURE USING TOPOGRAPHIC (DEM), CLIMATE AND SOIL PARAMETERS IN A PIEDMONT AREA OF VILLAVICENCIO","Leiva Gutiérrez, Nancy, Rubiano Sanabria, Yolanda, Peña Quiñones, Andrés Javier","Revista EIA; (spe2); 61-75","Revista EIA","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-12372015000300006&lang=pt" 
"S1794-12372015000300003-col","EVALUACIÓN DE BIOCOMBUSTIBLES E HIDROCARBUROS DEL PETRÓLEO (GASOLINA Y DIESEL) EN UN SUELO: PROCESO DE TRANSPORTE Y BIORREMEDIACIÓN","Pérez Robles, Samia Leisa, Silva Melo, Ivette Catherine, Peñuela Mesa, Gustavo Antonio, Cardona Gallo, Santiago Alonso","Revista EIA; (spe2); 21-46","Revista EIA","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-12372015000300003&lang=pt" 
"S0719-09482015000100005-chl","El choque de dos imaginarios geopolíticos en Bolivia: La &quot;Guerra del Gas&quot;","Garay Vera, Cristian, Mendoza Pinto, Juan E","Si Somos Americanos; 15(1); 115-139","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100005&lang=pt" 
"S0719-09482015000100003-chl","Terrorismo y contraterrorismo en Colombia","Álvarez Rubio, Ariel","Si Somos Americanos; 15(1); 49-82","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100003&lang=pt" 
"S0719-09482015000100008-chl","Variables socioeconómicas y apoyo a la democracia en Chile, Perú y Colombia: la pobreza como factor clave","Valdés Gutiérrez, Iván Alejandro","Si Somos Americanos; 15(1); 199-222","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100008&lang=pt" 
"S0719-09482015000100010-chl","Briceño Ruiz, J. y Simonoff, A. (Eds). Integración y cooperación regional en América Latina Una relectura a partir de la teoría de la autonomía","Quitral, Máximo","Si Somos Americanos; 15(1); 249-252","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100010&lang=pt" 
"S0719-09482015000100011-chl","Estenssoro, F. Historia del debate ambiental en la política Mundial 1945 - 1992. La perspectiva Latinoamericana","Orellana Yáñez, José","Si Somos Americanos; 15(1); 253-257","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100011&lang=pt" 
"S0719-09482015000100001-chl","Presentación","Caro, Isaac, Jiles, Susana","Si Somos Americanos; 15(1); 9-11","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100001&lang=pt" 
"S0719-09482015000100004-chl","Del socio inglés a la asociación estratégica con China: Argentina y el realismo periférico","Bolinaga, Luciano Damián","Si Somos Americanos; 15(1); 83-113","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100004&lang=pt" 
"S0719-09482015000100007-chl","Deslocalización de la producción y la fuerza de trabajo: Bolivia - Argentina y las tendencias mundiales en la confección de indumentaria","Salgado, Paula Dinorah","Si Somos Americanos; 15(1); 169-198","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100007&lang=pt" 
"S0719-09482015000100006-chl","Las edades de la migración boliviana en Argentina: Córdoba y Ushuaia como destino","Magliano, María José, Mallimaci Barral, Ana Inés","Si Somos Americanos; 15(1); 141-167","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100006&lang=pt" 
"S0719-09482015000100002-chl","Diferencias territoriales en las percepciones políticas en Chile: Una aproximación operacional a la escala nacional y regional","Delamaza, Gonzalo, Thayer Correa, Luis Eduardo, Gaete, José Manuel","Si Somos Americanos; 15(1); 15-48","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100002&lang=pt" 
"S0719-09482015000100009-chl","Redefinición identitaria en migrantes transnacionales: el caso de los exiliados chilenos residentes en Vancouver, Canadá","Nahuelpan Sánchez, Karla","Si Somos Americanos; 15(1); 223-246","Si Somos Americanos","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-09482015000100009&lang=pt" 
"S1684-18592015000100008-cub","Algoritmo para la identificación de nódulos pulmonares solitarios en imágenes de tomografía de tórax","Rivero Castro, Arelys, Rivera Suárez, Yoel, Borges González, Yosuani, Naranjo Gorrín, Yoanny","Revista Cubana de Informática Médica; 7(1); 73-88","Revista Cubana de Informática Médica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18592015000100008&lang=pt" 
"S1684-18592015000100002-cub","Documentos utilizados en la gestión de la integración del proyecto de salud","Guzmán Vitón, Caridad, Derivet Thaureaux, Denis, Cabrera Hernández, Mirna, Barrera Palenzuela, Otniel, Castilla Blanco, Roberto Carlos, Paderni López, María del Carmen","Revista Cubana de Informática Médica; 7(1); 12-21","Revista Cubana de Informática Médica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18592015000100002&lang=pt" 
"S1684-18592015000100003-cub","La disciplina Informática Médica en el &quot;Plan D&quot; de la carrera de medicina","González García, Nery de la C., Garriga Zarria, Eneida Petra, Cuesta García, Yoadis, Mas Camacho, María Rosa","Revista Cubana de Informática Médica; 7(1); 22-30","Revista Cubana de Informática Médica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18592015000100003&lang=pt" 
"S1684-18592015000100010-cub","Integración de un Sistema de Gestión de Reglas de negocio al flujo de trabajo &quot;control de historias clínicas para trasplante renal&quot;","Pacheco Cárdenas, Yoan, Estévez Abrahantes, Sandra, Martínez del Busto, María Elena","Revista Cubana de Informática Médica; 7(1); 105-112","Revista Cubana de Informática Médica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18592015000100010&lang=pt" 
"S1684-18592015000100004-cub","Webquest: enfermedades infecciosas en situaciones de desastres naturales","Alemán Mondeja, Linet Diana, Díaz Suárez, Luis Alberto, Abín Vázquez, Lutgarda","Revista Cubana de Informática Médica; 7(1); 31-39","Revista Cubana de Informática Médica","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18592015000100004&lang=pt" 
"S0874-02832015000200010-prt","Perfil sociodemográfico e competência em aleitamento materno dos profissionais de enfermagem da Estratégia Saúde da Família","Fonseca-Machado, Mariana de Oliveira, Parreira, Bibiane Dias Miranda, Monteiro, Juliana Cristina dos Santos, Gomes-Sponholz, Flávia","Revista de Enfermagem Referência; serIV(5); 85-92","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200010&lang=pt" 
"S0874-02832015000200011-prt","Qualidade de vida em mulheres com Incontinência Urinária","Fernandes, Susana, Coutinho, Emília Carvalho, Duarte, João Carvalho, Nelas, Paula Alexandra Batista, Chaves, Claudia Margarida Correia Balula, Amaral, Odete","Revista de Enfermagem Referência; serIV(5); 93-99","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200011&lang=pt" 
"S0874-02832015000200012-prt","Qualidade de vida e saúde de pessoas submetidas a cirurgia de descompressão do nervo mediano","Preto, Leonel São Romão, Cruz, Fernanda Cristina Ramos Morgado da, Mendes, Maria Eugénia Rodrigues, Novo, André Filipe Morais Pinto","Revista de Enfermagem Referência; serIV(5); 101-108","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200012&lang=pt" 
"S0874-02832015000200013-prt","Vivências da interrupção espontânea da gravidez em primigestas no primeiro trimestre gestacional: um estudo fenomenológico","Camarneiro, Ana Paula Forte, Maciel, Juraci Conceição Silveira Cardoso, Silveira, Rosa Maria Garcia da","Revista de Enfermagem Referência; serIV(5); 109-117","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200013&lang=pt" 
"S0874-02832015000200014-prt","Avaliação da dor em crianças com cancro: uma revisão sistemática","Batalha, Luís Manuel Cunha, Fernandes, Ananda Maria, Campos, Catarina de, Gonçalves, Ana Maria Pacheco Mendes Perdigão Costa","Revista de Enfermagem Referência; serIV(5); 119-127","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200014&lang=pt" 
"S0874-02832015000200015-prt","Efeitos da mobilização precoce na reabilitação funcional em doentes críticos: uma revisão sistemática","Azevedo, Paulo Manuel Dias da Silva, Gomes, Bárbara Pereira","Revista de Enfermagem Referência; serIV(5); 129-138","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200015&lang=pt" 
"S0874-02832015000200016-prt","Cuidar: da condição de existência humana ao cuidar integral profissionalizado","Queirós, Paulo Joaquim Pina","Revista de Enfermagem Referência; serIV(5); 139-146","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200016&lang=pt" 
"S0874-02832015000200009-prt","Perceção de cultura organizacional e de gestão do conhecimento em hospitais com diferentes modelos de gestão","Cruz, Sofia Gaspar, Ferreira, Maria Manuela Frederico","Revista de Enfermagem Referência; serIV(5); 75-83","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200009&lang=pt" 
"S0874-02832015000200008-prt","Os muito idosos: avaliação funcional multidimensional","Rodrigues, Rogério Manuel Clemente, Silva, Cristiana Filipa Ribeiro da, Loureiro, Luís Manuel de Jesus, Silva, Sílvia Manuela Dias Tavares da, Crespo, Sandrina Sofia da Silva, Azeredo, Zaida de Aguiar Sá","Revista de Enfermagem Referência; serIV(5); 65-74","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200008&lang=pt" 
"S0874-02832015000200007-prt","Impacto do Projeto de Intervenção na Obesidade Infantil no primeiro ciclo de um agrupamento de escolas","Rodrigues, Alexandrina Marques, Alves, Odete Maria Azevedo, Amorim, Elsa Cristina Barreto Lima Freitas","Revista de Enfermagem Referência; serIV(5); 57-64","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200007&lang=pt" 
"S0874-02832015000200004-prt","Caracterização dos pacientes atendidos com crise hipertensiva num hospital de pronto socorro","Siqueira, Diego Silveira, Riegel, Fernando, Tavares, Juliana Petri, Crossetti, Maria da Graça Oliveira, Goes, Marta Georgina Oliveira de, Arruda, Luciane Soares","Revista de Enfermagem Referência; serIV(5); 27-36","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200004&lang=pt" 
"S0874-02832015000200006-prt","Eficácia de intervenções assistidas por animais na prevenção da violência de doentes psiquiátricos agudos hospitalizados","Marques, Maria Isabel Dias, Mendes, Aida Cruz, Gamito, Ana Isabel Ferreira de Magalhães, Sousa, Liliana De","Revista de Enfermagem Referência; serIV(5); 47-56","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200006&lang=pt" 
"S0874-02832015000200005-prt","Cuidados de higiene - banho: significados e perspetivas dos enfermeiros","Fonseca, Esmeralda Faria, Penaforte, Maria Helena de Oliveira, Martins, Maria Manuela Ferreira Pereira da Silva","Revista de Enfermagem Referência; serIV(5); 37-45","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200005&lang=pt" 
"S0874-02832015000200003-prt","A influência da rotação no trabalho na satisfação profissional dos enfermeiros num serviço de cirurgia","Dinis, Liliana Isabel Correia, Fronteira, Inês","Revista de Enfermagem Referência; serIV(5); 17-26","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200003&lang=pt" 
"S0874-02832015000200002-prt","Adesão do regime terapêutico medicamentoso dos idosos integrados nas equipas domiciliárias de Cuidados Continuados","Monterroso, Lígia Eduarda Pereira, Joaquim, Natércia, Sá, Luís Octávio de","Revista de Enfermagem Referência; serIV(5); 9-16","Revista de Enfermagem Referência","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832015000200002&lang=pt" 
"S0366-52322015000100013-col","REPTILES DEL VALLE SECO DEL RÍO MAGDALENA (HUILA, COLOMBIA)","MORENO-ARIAS, RAFAEL, QUINTERO-CORZO, SIMÓN","Caldasia; 37(1); 183-195","Caldasia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0366-52322015000100013&lang=pt" 
