"S0102-76382009000400025-scl","Dilatações gigantes das artérias coronárias em paciente assintomático","Carvalho, Enisa de Miranda de Freitas, Salerno, Tomas A, Coy, Kevin","Brazilian Journal of Cardiovascular Surgery; 24(3); 413-415","Brazilian Journal of Cardiovascular Surgery","Inglês, Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-76382009000400025&lang=pt" 
"S0102-33062009000300007-scl","Pólen de gimnospermas e angiospermas em sedimentos quaternários de duas matas com Araucária, planalto leste do Rio Grande do Sul, Brasil","Scherer, Caroline, Lorscheitter, Maria Luisa","Acta Botanica Brasilica; 23(3); 681-696","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300007&lang=pt" 
"S0102-33062009000300010-scl","Diatomáceas epífitas em Galaxaura rugosa (J. Ellis &amp; Solander) J.V. Lamouroux (Rhodophyta) no Arquipélago de Fernando de Noronha, PE, Nordeste do Brasil","Costa, Manoel Messias da Silva, Eskinazi-Leça, Enide, Pereira, Sonia Maria Barreto, Bandeira-Pedrosa, Maria Elizabeth","Acta Botanica Brasilica; 23(3); 713-719","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300010&lang=pt" 
"S0102-33062009000300012-scl","Ontogenia e estrutura do pericarpo de Prestonia riedelii (Müll. Arg.) Markgr. (Apocynaceae)","Aguiar, Shesterson, Carmello-Guerreiro, Sandra Maria, Kinoshita, Luiza Sumiko","Acta Botanica Brasilica; 23(3); 729-737","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300012&lang=pt" 
"S0102-33062009000300015-scl","Composição florística da floresta estacional decídua montana de Serra das Almas, CE, Brasil","Lima, Jacira Rabelo, Sampaio, Everardo Valadares de Sá Barretto, Rodal, Maria Jesus Nogueira, Araújo, Francisca Soares","Acta Botanica Brasilica; 23(3); 756-763","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300015&lang=pt" 
"S0102-33062009000300017-scl","Conhecimento e uso de plantas em uma comunidade caiçara do litoral sul do Estado do Rio de Janeiro, Brasil","Borges, Rodrigo, Peixoto, Ariane Luna","Acta Botanica Brasilica; 23(3); 769-779","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300017&lang=pt" 
"S0102-33062009000300019-scl","Anatomia de espécies anfíbias de Cyperaceae de lagoas do semi-árido, BA, Brasil","Leite, Kelly Regina Batista, França, Flávio, Scatena, Vera Lúcia","Acta Botanica Brasilica; 23(3); 786-796","Acta Botanica Brasilica","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300019&lang=pt" 
"S0102-33062009000300020-scl","Fruit ontogenesis in Clusia parviflora Humb. &amp; Bonpl. ex Willd. (Clusiaceae)","Mourão, Káthia Socorro Mathias, Marzinek, Juliana","Acta Botanica Brasilica; 23(3); 797-804","Acta Botanica Brasilica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300020&lang=pt" 
"S0102-33062009000300021-scl","Gametófitos de Pleurosorus papaverifolius (Kunze) Fée (Aspleniaceae) y Cheilanthes glauca (Cav.) Mett. (Pteridaceae), dos helechos rupícolas sudamericanos","Gabriel y Galán, Jose María, Prada, Carmen","Acta Botanica Brasilica; 23(3); 805-811","Acta Botanica Brasilica","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300021&lang=pt" 
"S0102-33062009000300022-scl","Characterisation of Sanguinhal Mire, Terceira Island (Azores): a protected quaking bog habitat","Mendes, Cândida, Dias, Eduardo","Acta Botanica Brasilica; 23(3); 812-819","Acta Botanica Brasilica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300022&lang=pt" 
"S0102-33062009000300023-scl","Effects of the parasitism of Struthanthus flexicaulis (Mart.) Mart. (Loranthaceae) on the fitness of Mimosa calodendron Mart. (Fabaceae), an endemic shrub from rupestrian fields over ironstone outcrops, Minas Gerais State, Brazil","Mourão, Fabiana Alves, Jacobi, Claudia Maria, Figueira, José Eugênio Côrtes, Batista, Eugênia Kelly Luciano","Acta Botanica Brasilica; 23(3); 820-825","Acta Botanica Brasilica","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062009000300023&lang=pt" 
"S0102-37722009000300002-scl","Sistema Personalizado de Ensino, Educação à Distância e aprendizagem centrada no aluno","Todorov, João Claudio, Moreira, Márcio Borges, Martone, Ricardo Corrêa","Psicologia: Teoria e Pesquisa; 25(3); 289-296","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300002&lang=pt" 
"S0102-37722009000300003-scl","Síndrome de burnout no setor de transporte de Natal","Gianasi, Luciana Bezerra de Souza, Borges, Livia de Oliveira","Psicologia: Teoria e Pesquisa; 25(3); 297-305","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300003&lang=pt" 
"S0102-37722009000300004-scl","Estresse ocupacional em profissionais de saúde: um estudo com enfermeiros portugueses","Gomes, A. Rui, Cruz, José Fernando, Cabanelas, Susana","Psicologia: Teoria e Pesquisa; 25(3); 307-318","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300004&lang=pt" 
"S0102-37722009000300006-scl","Aprendiz versus trabalhador: adolescentes em processo de aprendizagem","Amazarray, Mayte Raya, Thomé, Luciana Dutra, Souza, Ana Paula Lazzaretti de, Poletto, Michele, Koller, Silvia Helena","Psicologia: Teoria e Pesquisa; 25(3); 329-338","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300006&lang=pt" 
"S0102-37722009000300007-scl","Habilidades sociais de trabalhadores com e sem deficiência física","Pereira, Camila de Sousa, Del Prette, Almir, Del Prette, Zilda Aparecida Pereira","Psicologia: Teoria e Pesquisa; 25(3); 339-346","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300007&lang=pt" 
"S0102-37722009000300008-scl","Adequação ao Real de adolescentes: possibilidades informativas do Questionário Desiderativo","Guimarães, Nicole Medeiros, Pasian, Sonia Regina","Psicologia: Teoria e Pesquisa; 25(3); 347-355","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300008&lang=pt" 
"S0102-37722009000300010-scl","Validação do Questionário de Perfis de Valores (QPV) no Brasil","Tamayo, Alvaro, Porto, Juliana Barreiros","Psicologia: Teoria e Pesquisa; 25(3); 369-376","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300010&lang=pt" 
"S0102-37722009000300011-scl","Validação da versão brasileira do Check List para Avaliação da Personalidade (PACL)","Primi, Ricardo, Carvalho, Lucas de Francisco, Braido, Aracele Netto Gonçalves, Nunes, Carlos Henrique Sancineto","Psicologia: Teoria e Pesquisa; 25(3); 377-386","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300011&lang=pt" 
"S0102-37722009000300012-scl","Normas de emocionalidade para a versão brasileira do paradigma Deese-Roediger-McDermott (DRM)","Santos, Renato Favarin dos, Silveira, Ronie Alexsandro Teles da, Gomes, Carlos Falcão de Azevedo, Stein, Lilian Milnitsky","Psicologia: Teoria e Pesquisa; 25(3); 387-394","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300012&lang=pt" 
"S0102-37722009000300013-scl","As relações entre a satisfação conjugal e as habilidades sociais percebidas no cônjuge","Sardinha, Aline, Falcone, Eliane Mary de Oliveira, Ferreira, Maria Cristina","Psicologia: Teoria e Pesquisa; 25(3); 395-402","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300013&lang=pt" 
"S0102-37722009000300014-scl","Famílias em vulnerabilidade social: rastreamento de termos utilizados por terapeutas de família","Prati, Laíssa Eschiletti, Couto, Maria Clara P. de Paula, Koller, Sílvia Helena","Psicologia: Teoria e Pesquisa; 25(3); 403-408","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300014&lang=pt" 
"S0102-37722009000300015-scl","Adesão e não-adesão ao tratamento farmacológico para depressão","Cunha, Marines de Fátima, Gandini, Rita de Cássia","Psicologia: Teoria e Pesquisa; 25(3); 409-418","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300015&lang=pt" 
"S0102-37722009000300019-scl","Psicologia da Religião no Brasil: a produção em periódicos e livros","Paiva, Geraldo José de, Zangari, Wellington, Verdade, Marisa Moura, Paula, José Rogério Machado de, Faria, David Gaspar Ribeiro de, Gomes, Denise Mendes, Fontes, Fátima C. C., Rodrigues, Cátia Cilene Lima, Trovato, Maria Luísa, Gomes, Antônio Máspoli de Araújo","Psicologia: Teoria e Pesquisa; 25(3); 441-446","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300019&lang=pt" 
"S0102-37722009000300020-scl","Os adolescentes e a violência na imprensa","Santos, Maria de Fátima de Souza, Aléssio, Renata Lira dos Santos, Silva, Juliana Maria Moura do Nascimento","Psicologia: Teoria e Pesquisa; 25(3); 447-452","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300020&lang=pt" 
"S0102-37722009000300021-scl","Comportamento humano e recursos naturais: qualidade e disponibilidade da água avaliadas pelos usuários","Kuhnen, Ariane, Improta, Rafaella Lenoir, Silveira, Scheila Machado da","Psicologia: Teoria e Pesquisa; 25(3); 453-460","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300021&lang=pt" 
"S0100-84042009000300008-scl","Anatomy, ultrastructure and secretion of Hibiscus pernambucensis Arruda (Malvaceae) extrafloral nectary","Rocha, Joecildo Francisco, Machado, Silvia Rodrigues","Brazilian Journal of Botany; 32(3); 489-498","Brazilian Journal of Botany","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300008&lang=pt" 
"S0100-84042009000300010-scl","Substâncias antifúngicas constitutivas e induzidas em folhas e suspensões celulares de Rudgea jasminoides (Cham.) Müll. Arg. (Rubiaceae)","Oliveira, Marisa de Cacia, Simões, Kelly, Braga, Márcia Regina","Brazilian Journal of Botany; 32(3); 509-519","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300010&lang=pt" 
"S1984-82502009000300019-scl","Carotene and provitamin A content of vegetables sold in Viçosa, MG, Brazil, during spring and winter","Cardoso, Pollyanna Costa, Della Lucia, Ceres Mattos, Stringheta, Paulo César, Chaves, José Benício Paes, Pinheiro-Sant&#039;Ana, Helena Maria","Brazilian Journal of Pharmaceutical Sciences; 45(3); 527-537","Brazilian Journal of Pharmaceutical Sciences","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-82502009000300019&lang=pt" 
"S0102-37722009000300009-scl","Influência do recrutamento de participantes em sítios temáticos e comunidades virtuais nos resultados de medidas psicológicas aplicadas pela Internet","Wachelke, João Fernando Rech, Andrade, Alexsandro Luiz de","Psicologia: Teoria e Pesquisa; 25(3); 357-367","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300009&lang=pt" 
"S0102-37722009000300017-scl","O Desempenho de idosos quanto a tomada de decisão em duas variações do Iowa Gambling Test","Wagner, Gabriela Peretti, Parente, Maria Alice de Mattos Pimenta","Psicologia: Teoria e Pesquisa; 25(3); 425-433","Psicologia: Teoria e Pesquisa","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-37722009000300017&lang=pt" 
"S1575-18132009000400007-esp","Experiencia de implantación de un método docente constructivista en la enseñanza de la medicina legal: La libertad de prescripción como ejemplo","Francés-Bozal, F., Castelló-Ponce, A., Verdú-Pascual, F.","Educación Médica; 12(3); 179-182","Educación Médica","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1575-18132009000400007&lang=pt" 
"S0006-87052009000300005-scl","Desenvolvimento de cultivares de antúrio IAC como plantas de vaso no norte do Paraná","Takahashi, Lúcia Sadayo Assari, Faria, Ricardo Tadeu, Tombolato, Antonio Fernando Caetano, Cuquel, Francine Lorena, Grossi, Maurício Luiz","Bragantia; 68(3); 593-600","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300005&lang=pt" 
"S0006-87052009000300011-scl","Produção e qualidade de abóbora em função da idade das mudas e tipo de bandeja","Piovesan, Mariele Fernanda, Cardoso, Antonio Ismael Inácio","Bragantia; 68(3); 651-656","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300011&lang=pt" 
"S0006-87052009000300017-scl","Sistemas de produção de mandioca em treze municípios da Região Sudoeste da Bahia","Carvalho, Fábio Martins de, Viana, Anselmo Eloy Silveira, Cardoso, Carlos Estevão Leite, Matsumoto, Sylvana Naomi, Gomes, Izaltiene Rodrigues","Bragantia; 68(3); 699-702","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300017&lang=pt" 
"S0006-87052009000300016-scl","Manejo químico de plantas adultas de Digitaria insularis com glyphosate isolado e em mistura com chlorimuronethyl ou quizalofop-p-tefuril em área de plantio direto","Correia, Núbia Maria, Durigan, Julio Cezar","Bragantia; 68(3); 689-697","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300016&lang=pt" 
"S0006-87052009000300024-scl","Nitrogênio e boro na produção e incidência de haste oca em couve-flor &#039;Sharon&#039;","Mello, Simone da Costa, Camargo, Mônica Sartori de, Vivian, Rafael, Nascimento, Thaisa Sampaio, Oliveira, Érica Santos de, Bertanha, Raphael","Bragantia; 68(3); 761-764","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300024&lang=pt" 
"S0006-87052009000300026-scl","Armazenamento de sementes de ipê-branco: teor de água e temperatura do ambiente","Martins, Leila, Lago, Antonio Augusto do, Andrade, Antônio Carlos Silva de","Bragantia; 68(3); 775-780","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300026&lang=pt" 
"S0006-87052009000300027-scl","Maturadores e qualidade tecnológica da cana-de-açúcar variedade RB855453 em início de safra","Leite, Glauber Henrique Pereira, Crusciol, Carlos Alexandre Costa, Silva, Marcelo de Almeida, Venturini Filho, Waldemar Gastoni","Bragantia; 68(3); 781-787","Bragantia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0006-87052009000300027&lang=pt" 
"S0100-84042009000300002-scl","Jeanine Felfili, uma mulher florestal","Filgueiras, Tarciso S.","Brazilian Journal of Botany; 32(3); -","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300002&lang=pt" 
"S0100-84042009000300001-scl","Editorial","Dietrich, Sonia M.C.","Brazilian Journal of Botany; 32(3); -","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300001&lang=pt" 
"S0100-84042009000300013-scl","Reproductive biology and cytology of Hypericum brasiliense Choisy (Hypericaceae)","Moraes, Izabel Cristina Ribeiro de, Pinto-Maglio, Cecília Alzira Ferreira, Lombello, Ricardo Augusto","Brazilian Journal of Botany; 32(3); 539-544","Brazilian Journal of Botany","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300013&lang=pt" 
"S0100-84042009000300009-scl","Microsatellite-dense genetic map: towards genome coverage in a tropical maize (Zea mays L.) population","Lima, Milena De Luna Alves, Souza Jr., Cláudio Lopes de, Souza, Anete Pareira de","Brazilian Journal of Botany; 32(3); 499-508","Brazilian Journal of Botany","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300009&lang=pt" 
"S0100-84042009000300020-scl","Publish what? A reply to Scarano","Mattos, Eduardo Arcoverde de","Brazilian Journal of Botany; 32(3); 621-623","Brazilian Journal of Botany","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300020&lang=pt" 
"S0100-84042009000300017-scl","Padrões de distribuição das espécies de Paspalum L. (Poaceae: Panicoideae: Paniceae) ocorrentes em Pernambuco, Brasil","Maciel, Jefferson Rodrigues, Oliveira, Regina Célia de, Alves, Marccus","Brazilian Journal of Botany; 32(3); 597-605","Brazilian Journal of Botany","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042009000300017&lang=pt" 
