"S0100-29452008000100024-scl","A comercialização de uvas finas na região de Jales - SP","Costa, Sílvia Maria Almeida Lima, Gomes, Marcos Roberto Lacerda, Tarsitano, Maria Aparecida Anselmo","Revista Brasileira de Fruticultura; 30(1); 127-132","Revista Brasileira de Fruticultura","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452008000100024&lang=pt" 
"S0101-98802008000100004-scl","Retocolite ulcerativa (RCU): perfil evolutivo clínico endoscópico. Estudo retrospectivo","Silva, Edson Jurado da, Seixas, Iara Vasconcellos","Revista Brasileira de Coloproctologia; 28(1); 31-35","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100004&lang=pt" 
"S0101-98802008000100009-scl","Fatores prognósticos e sobrevida no adenocarcinoma primário de reto","Müssnich, Heloisa Guedes, Moreira, Luis Fernando, Gus, Pedro, Pimentel, Marcelo, Simon, Tatiana, Santos, Marcelo Bellon Dos","Revista Brasileira de Coloproctologia; 28(1); 62-71","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100009&lang=pt" 
"S0101-98802008000100008-scl","Complicações dos estomas em câncer colorretal: revisão de 21 complicações em 276 estomas realizados em 870 pacientes portadores de câncer colorretal","Cruz, Geraldo Magela Gomes da, Constantino, José Roberto Monteiro, Chamone, Bruno Cunha, Andrade, Mônica Mourthé de Alvim, Gomes, Daniel Martins Barbosa Medeiros","Revista Brasileira de Coloproctologia; 28(1); 50-61","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100008&lang=pt" 
"S0101-98802008000100010-scl","Prevalência de lesões precursoras do câncer anal em indivíduos HIV positivos, atendidos na Fundaçào de Medicina Tropical do Amazonas, experiência inicial em Manaus","Gimenez, Felicidad Santos, Silva, Ivan Tramujas da Costa e, Guimarães, Adriana Gonçalves Daumas Pinheiro, Ferreira, Luiz Carlos de Lima, Araújo, José de Ribamar, Rocha, Renata Pina, Atala, Larissa de Souza, Avi, Sabrina Veloso, Talhari, Sinésio","Revista Brasileira de Coloproctologia; 28(1); 72-76","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100010&lang=pt" 
"S0101-98802008000100013-scl","Cistoadenoma de apêndice: relato de caso e revisão da literatura sobre tumores mucinosos do apêndice vermiforme","Fonseca, Leonardo Maciel da, Sassine, Gibran Cessine Anacleto, Luz, Magda Maria Profeta da, Silva, Rodrigo Gomes da, Conceição, Sergio Alexandre da, Lacerda-Filho, Antonio","Revista Brasileira de Coloproctologia; 28(1); 89-94","Revista Brasileira de Coloproctologia","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-98802008000100013&lang=pt" 
"S1139-13752008000100002-esp","Repercusión del grado de dependencia de los pacientes en hemodiálisis sobre la carga de trabajo de enfermería","Cobo Sánchez, José Luis, Pelayo Alonso, Raquel, Sánchez Cano, Mª Soraya, Alonso Nates, Rosa, Menezo Viadero, Raquel, Gándara Revuelta, Magdalena, Rojo Tordable, Marina, Cuadrado Mantecón, Mª Eugenia, Villa Llamazares, Camino","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 06-11","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100002&lang=pt" 
"S1139-13752008000100003-esp","Formación proporcionada a los pacientes de diálisis peritoneal domiciliaria en España","Martín Espejo, Jesús Lucas, Cirera Segura, Francisco, Reina Neyra, Macarena","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 13-19","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100003&lang=pt" 
"S0104-14282008000100016-scl","Avaliação do ciclo térmico de conformação por compressão de peças em poli(sulfeto de fenileno) reforçado com fibras contínuas de carbono","Costa, Gustavo G. da, Botelho, Edson C., Rezende, Mirabel C., Costa, Michelle L.","Polímeros; 18(1); 81-86","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100016&lang=pt" 
"S0104-14282008000100015-scl","The effect of acetone addition on the properties of epoxy","Loos, Marcio R., Coelho, Luiz Antonio F., Pezzin, Sérgio H., Amico, Sandro C.","Polímeros; 18(1); 76-80","Polímeros","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100015&lang=pt" 
"S0104-14282008000100014-scl","Caracterização de tubo e adesivo utilizados em tubulações de plástico reforçado com fibras de vidro aplicados em plataformas marítimas","Pessanha, Maikon C. R., Dias, Dylmar P., Filgueira, Marcello, Paranhos, Ronaldo P. R., Farias, Otávio L. de","Polímeros; 18(1); 70-75","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100014&lang=pt" 
"S0104-14282008000100001-scl","Mensagem do Presidente da ABPol","Maule, Raquel S.","Polímeros; 18(1); E1-E1","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100001&lang=pt" 
"S0104-14282008000100002-scl","Editorial","","Polímeros; 18(1); E1-E1","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100002&lang=pt" 
"S0104-14282008000100004-scl","Bionanocompósitos e novas tendências em engenharia de biomassa","Correa, Carlos Alberto","Polímeros; 18(1); E13-E14","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100004&lang=pt" 
"S0104-14282008000100013-scl","Desenvolvimento de látices nitrílicos carboxilados","Macedo, Ana Luzia O., Coutinho, Fernanda M. B.","Polímeros; 18(1); 63-69","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100013&lang=pt" 
"S0104-14282008000100010-scl","Caracterización cualitativa de poliaminas libres en endurecedores de resinas epoxídicas del tipo etilenaminas por espectroscopia de resonancia magnética nuclear","González Garcia, Filiberto, Miguez, Eduardo, Tavares, Maria Inês B.","Polímeros; 18(1); 45-51","Polímeros","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100010&lang=pt" 
"S0104-14282008000100011-scl","Efeito higrotérmico em prepregs de fibra de vidro/epóxi por espectroscopia de luminescência","Sales, Rita de Cássia M., Dibbern-Brunelli, Deborah","Polímeros; 18(1); 52-56","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100011&lang=pt" 
"S0104-14282008000100012-scl","Determinação por espectroscopia nas regiões MIR/NIR do teor de NCO em adesivos poliuretânicos","Siqueira, Sandra H. S., Dutra, Rita C.L., Diniz, Milton F.","Polímeros; 18(1); 57-62","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100012&lang=pt" 
"S1139-13752008000100001-esp","","Andreu, Lola","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 05-05","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100001&lang=pt" 
"S1139-13752008000100007-esp","Incidencia de caídas en la Unidad de Hemodiálisis del Hospital General de Vic (Barcelona)","Molina Robles, Esmeralda, Pajares Requena, Dolors, Camps Ballester, Eduard, Molist Señé, Gemma, Carrera Goula, Raquel","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 64-69","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100007&lang=pt" 
"S1139-13752008000100004-esp","Evaluación de costes en hemodiálisis","Garoé Fernández García, Eduardo","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 21-24","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100004&lang=pt" 
"S1139-13752008000100008-esp","Protocolo de asepsia y utilización adecuada de recursos en hemodiálisis","Esteban Guajardo, Cruz, Rubio Montuenga, Mª José, Forcén Casado, Mª Jesús, Aranda Fernández, Mª Pilar, Lafuente Millán, Rosa Isabel, Villafaina Guzmán, Vanesa","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 71-73","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100008&lang=pt" 
"S0104-14282008000100003-scl","Macromoléculas nos cometas","","Polímeros; 18(1); E4-E11","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100003&lang=pt" 
"S0104-14282008000100005-scl","Síntese de poli(1,1&#039;-ferrocenilenovinileno) via acoplamento de McMurry","Gonçalves, Camila S., Kawano, Yoshio, Gruber, Jonas","Polímeros; 18(1); 1-4","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100005&lang=pt" 
"S0104-14282008000100007-scl","Caracterização morfológica do poliestireno de alto impacto (HIPS)","Rovere, Juliana, Correa, Carlos A., Grassi, Vinícius G., Dal Pizzol, Marcus F.","Polímeros; 18(1); 12-19","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100007&lang=pt" 
"S0104-14282008000100008-scl","Modificação de polímeros termorrígidos por separação de fases induzida por reação química: Sistema éter diglicidílico do Bisfenol-A e trietilenotetramina com copolímeros acrílicos","Filiberto González, Garcia, Soares, Bluma G., Neves, Alessandra F., Oliveira, Márcia G. de","Polímeros; 18(1); 20-29","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100008&lang=pt" 
"S0104-14282008000100009-scl","Evaluación de la adherencia de uniones adhesivas metálicas con adhesivos epoxídicos modificados","González Garcia, Filiberto, Sampaio, Eduardo M., Neves, Alessandra F., Oliveira, Márcia G. de","Polímeros; 18(1); 30-44","Polímeros","Espanhol","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100009&lang=pt" 
"S0104-14282008000100006-scl","Compósitos de polietileno reciclado e partículas de madeira de reflorestamento tratadas com polietileno modificado","Redighieri, Karla I., Costa, Dilma A.","Polímeros; 18(1); 5-11","Polímeros","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282008000100006&lang=pt" 
"S0873-21592008000200001-prt","A Revista Portuguesa de Pneumologia e outras publicações da Sociedade Portuguesa de Pneumologia","Sotto-Mayor, Renato","Revista Portuguesa de Pneumologia; 14(2); 175-176","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200001&lang=pt" 
"S0873-21592008000200002-prt","Treino de músculos inspiratórios em doentes com DPOC","Garcia, Susana, Rocha, Margarida, Pinto, Paula, Lopes, António M. F., Bárbara, Cristina","Revista Portuguesa de Pneumologia; 14(2); 177-194","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200002&lang=pt" 
"S0873-21592008000200003-prt","Medição do óxido nítrico no ar exalado: Utilização na avaliação de crianças com história de sibilância","Martins, Pedro, Caires, Iolanda, Pinto, José Rosado, Mata, Pedro Lopes da, Torres, Simões, Valente, Joana, Borrego, Carlos, Neuparth, Nuno","Revista Portuguesa de Pneumologia; 14(2); 195-218","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200003&lang=pt" 
"S0873-21592008000200004-prt","Hábitos tabágicos em alunos do 6.º ano de Medicina e medidas anti-tabágicas","Borges, André, Marques, Filipa, Lima, José, Costa, Luís, Gonçalves, Patrícia, Fernandes, Rui, Gonçalves, Nídia","Revista Portuguesa de Pneumologia; 14(2); 219-230","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200004&lang=pt" 
"S0873-21592008000200005-prt","Smoking habits and awareness of smoking risks depending on academic background in university students","Saleiro, Sandra, Damas, Carla, Gomes, Isabel","Revista Portuguesa de Pneumologia; 14(2); 231-238","Revista Portuguesa de Pneumologia","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200005&lang=pt" 
"S0873-21592008000200006-prt","Epidemiologia molecular de Mycobacterium tuberculosis em Lisboa","Portugal, Isabel, Barreiro, Luís, Vultos, Tiago, Macedo, Rita, Furtado, Cristina, Antunes, António Fonseca, Brum, Laura","Revista Portuguesa de Pneumologia; 14(2); 239-259","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200006&lang=pt" 
"S0873-21592008000200008-prt","Recommendations for the diagnosis and treatment of latent and active tuberculosis in inflammatory joint diseases candidates for therapy with tumor necrosis factor alpha inhibitors: March 2008 update","Fonseca, João Eurico, Lucas, Helena, Canhão, Helena, Duarte, Raquel, Santos, Maria José, Villar, Miguel, Faustino, Augusto, Raymundo, Elena","Revista Portuguesa de Pneumologia; 14(2); 271-283","Revista Portuguesa de Pneumologia","Inglês","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200008&lang=pt" 
"S0873-21592008000200009-prt","Carcinoma bronquíolo-alveolar associado a malformação congénita das vias aéreas pulmonares em adolescente assintomático","Abecasis, Francisco, Ferreira, Maria Gomes, Oliveira, Ana, Velho, Henrique Vaz","Revista Portuguesa de Pneumologia; 14(2); 285-290","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200009&lang=pt" 
"S0873-21592008000200010-prt","Um caso raro de hemangioma esclerosante múltiplo do pulmão","Boléo-Tomé, José Pedro, Matos, Cristina, Nogueira, Fernando, Maya, Manuela, Lino, José Sena, Abreu, Margarida Cancela de","Revista Portuguesa de Pneumologia; 14(2); 291-294","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200010&lang=pt" 
"S0873-21592008000200011-prt","Défice de alfa-1 antitripsina: A propósito de dois casos Clínicos","Serra, Sónia, Banha, Graça","Revista Portuguesa de Pneumologia; 14(2); 295-302","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200011&lang=pt" 
"S0873-21592008000200012-prt","Hiperventilação: A terapia cognitivo-comportamental e a técnica dos exercícios de indução dos sintomas no transtorno de pânico","King, Anna Lucia Spear, Valença, Alexandre Martins, Nardi, António Egídio","Revista Portuguesa de Pneumologia; 14(2); 303-308","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200012&lang=pt" 
"S0873-21592008000200013-prt","Acalasia do esófago: Diagnóstico diferencial de asma brônquica","Bacellar, Patrícia, Silva, Marta, Tinoco, Nélia, Costa, Francisco","Revista Portuguesa de Pneumologia; 14(2); 309-313","Revista Portuguesa de Pneumologia","Português","2008","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0873-21592008000200013&lang=pt" 
"S0370-44672008000100003-scl","Comportamento à compressão de argamassas reforçadas com fibras vegetais da Amazônia","Picanço, Marcelo de Souza, Ghavami, Khosrow","Rem: Revista Escola de Minas; 61(1); 13-18","Rem: Revista Escola de Minas","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672008000100003&lang=pt" 
"S1139-13752008000100005-esp","Análisis de las complicaciones de los catéteres permanentes para hemodiálisis en un área de salud: repercusión económica","Velayos González, María Pilar, Martínez Gómez, Susana, Portolés Pérez, José, Gago Gómez, Mª del Carmen, Andrés Vázquez, Mª del Mar, Gruss Vergara, Enrique","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 25-30","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100005&lang=pt" 
"S1139-13752008000100006-esp","","Limón, Enrique","Revista de la Sociedad Española de Enfermería Nefrológica; 11(1); 61-662","Revista de la Sociedad Española de Enfermería Nefrológica","Espanhol","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-13752008000100006&lang=pt" 
"S0102-33062008000100006-scl","Relações entre crescimento vegetativo e acúmulo de nitrogênio em duas cultivares de arroz com arquiteturas contrastantes","França, Marcel Giovanni Costa, Araújo, Adelson Paulo, Rossiello, Roberto Oscar Pereyra, Ramos, Flávia Toledo","Acta Botanica Brasilica; 22(1); 43-49","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100006&lang=pt" 
"S0102-33062008000100007-scl","Estádio sucessional e fatores geográficos como determinantes da similaridade florística entre comunidades florestais no Planalto Atlântico, Estado de São Paulo, Brasil","Durigan, Giselda, Bernacci, Luís Carlos, Franco, Geraldo Antonio Daher Correa, Arbocz, Géza de Faria, Metzger, Jean Paul, Catharino, Eduardo Luís Martins","Acta Botanica Brasilica; 22(1); 51-62","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100007&lang=pt" 
"S0102-33062008000100010-scl","Influência de fatores edáficos sobre variações florísticas na Floresta Estacional Semidecídua no entorno da Lagoa Carioca, Parque Estadual do Rio Doce, MG, Brasil","Camargos, Virginia Londe de, Silva, Alexandre Francisco da, Meira Neto, João Augusto Alves, Martins, Sebastião Venâncio","Acta Botanica Brasilica; 22(1); 75-84","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100010&lang=pt" 
"S0102-33062008000100014-scl","Estrutura de estádios ontogenéticos em população nativa da palmeira Syagrus romanzoffiana (Cham.) Glassman (Arecaceae)","Bernacci, Luís Carlos, Martins, Fernando Roberto, Santos, Flavio Antonio Maës dos","Acta Botanica Brasilica; 22(1); 119-130","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100014&lang=pt" 
"S0102-33062008000100016-scl","Ocorrência de Euglenophyceae pigmentadas em rizipiscicultura na Região do Vale do Itajaí, SC, Sul do Brasil","Alves-da-Silva, Sandra Maria, Tamanaha, Márcio da Silva","Acta Botanica Brasilica; 22(1); 145-163","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100016&lang=pt" 
"S0102-33062008000100019-scl","Levantamento florístico no cerrado de Pedregulho, SP, Brasil","Sasaki, Denise, Mello-Silva, Renato de","Acta Botanica Brasilica; 22(1); 187-202","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100019&lang=pt" 
"S0102-33062008000100020-scl","Conhecimento e uso de recursos vegetais de restinga por comunidades das ilhas do Cardoso (SP) e de Santa Catarina (SC), Brasil","Miranda, Tatiana Mota, Hanazaki, Natalia","Acta Botanica Brasilica; 22(1); 203-215","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100020&lang=pt" 
"S0102-33062008000100022-scl","Flora da Paraíba, Brasil: Polygala L. (Polygalaceae)","Coelho, Victor Peçanha de Miranda, Agra, Maria de Fátima, Baracho, George Sidney","Acta Botanica Brasilica; 22(1); 225-239","Acta Botanica Brasilica","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062008000100022&lang=pt" 
