"S0210-56912011000200014-esp","Fallo enmascarado de captura ventricular en paciente portador de marcapasos bicameral","Canabal-Berlanga, A., Sánchez-Rodríguez, P., Raigal-Caño, A.","Medicina Intensiva; 35(2); 135-136","Medicina Intensiva","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-56912011000200014&lang=pt" 
"S1679-87592011000100003-scl","Benthic macrofauna structure in the northeast area of Todos os Santos Bay, Bahia State, Brazil: patterns of spatial and seasonal distribution","Pires-Vanin, Ana Maria S, Muniz, Pablo, De Léo, Fabio Cabrera","Brazilian Journal of Oceanography; 59(1); 27-42","Brazilian Journal of Oceanography","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592011000100003&lang=pt" 
"S1679-87592011000100006-scl","Ichthyofauna in an estuary of the Mataripe area, Todos os Santos Bay, Bahia, Brazil","Dias, June Ferraz, Gonçalves, Aline Mariane, Fernandez, Wellington Silva, Silbiger, Helcy Lylian Nogueira, Fiadi, Carla Bertolucci, Schmidt, Thassya Christina dos Santos","Brazilian Journal of Oceanography; 59(1); 75-95","Brazilian Journal of Oceanography","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592011000100006&lang=pt" 
"S1679-87592011000100008-scl","Organotin pollution at Arraial do Cabo, Rio de Janeiro State, Brazil: increasing levels after the TBT ban","Toste, Raquel, Fernandez, Marcos Antônio, Pessoa, Igor de Araújo, Parahyba, Mateus Alves, Dore, Marina Pereira","Brazilian Journal of Oceanography; 59(1); 111-117","Brazilian Journal of Oceanography","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-87592011000100008&lang=pt" 
"S1679-39512011000100002-scl","A espacialidade na construção da identidade","Pimentel, Thiago Duarte, Carrieri, Alexandre de Pádua","Cadernos EBAPE.BR; 9(1); 1-21","Cadernos EBAPE.BR","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100002&lang=pt" 
"S1679-39512011000100004-scl","As experiências de consumo na perspectiva da teoria da cultura do consumo: identificando possíveis interlocuções e propondo uma agenda de pesquisa","Pinto, Marcelo de Rezende, Lara, Jose Edson","Cadernos EBAPE.BR; 9(1); 37-56","Cadernos EBAPE.BR","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100004&lang=pt" 
"S1679-39512011000100005-scl","Trabalho e gênero: a produção de masculinidades na perspectiva de homens e mulheres","Eccel, Claudia Sirangelo, Grisci, Carmem Lígia Iochins","Cadernos EBAPE.BR; 9(1); 57-78","Cadernos EBAPE.BR","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100005&lang=pt" 
"S1679-39512011000100006-scl","Masculinidade e feminilidade na Ameas: holograma, ilhas de clareza ou uma selva desconhecida?","Medeiros, Cintia Rodrigues de Oliveira, Valadão Junior, Valdir Machado","Cadernos EBAPE.BR; 9(1); 79-96","Cadernos EBAPE.BR","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100006&lang=pt" 
"S1679-39512011000100008-scl","Construindo a accountability em portais eletrônicos de câmaras municipais: um estudo de caso em Santa Catarina","Raupp, Fabiano Maury, Pinho, José Antonio Gomes de","Cadernos EBAPE.BR; 9(1); 116-138","Cadernos EBAPE.BR","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100008&lang=pt" 
"S1679-39512011000100011-scl","Los modelos de adopción de tecnologías de la información desde el paradigma actitudinal","López-Bonilla, Luis Miguel, López-Bonilla, Jesús Manuel","Cadernos EBAPE.BR; 9(1); 176-196","Cadernos EBAPE.BR","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512011000100011&lang=pt" 
"S0104-92242011000100003-scl","Estudo de alguns parâmetros básicos da soldagem GMAW com transferência por curto-circuito","Modenesi, Paulo J., Costa, Maria Celeste Monteiro de Souza, Santana, Ivan J., Berganholi, João Paulo Pereira","Soldagem &amp; Inspeção; 16(1); 12-21","Soldagem &amp; Inspeção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242011000100003&lang=pt" 
"S0104-92242011000100004-scl","Influência da regulagem de parâmetros de soldagem sobre a estabilidade do processo MIG/MAG operando em curto-circuito","Souza, Daniel, Rossi, Marcelo Lemos, Keocheguerians, Flávio, Nascimento, Vinícius Castanheira do, Vilarinho, Louriel Oliveira, Scotti, Américo","Soldagem &amp; Inspeção; 16(1); 22-32","Soldagem &amp; Inspeção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242011000100004&lang=pt" 
"S0104-92242011000100007-scl","Influência da corrente e granulometria do material de adição nos revestimentos processados por PTA","Bond, Danielle, Becker, Sueli Fischer, D&#039;Oliveira, Ana Sofia C.M.","Soldagem &amp; Inspeção; 16(1); 53-61","Soldagem &amp; Inspeção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242011000100007&lang=pt" 
"S0104-92242011000100010-scl","Efecto sobre la dilución de la granulometría de la ferroaleación en el alma de electrodos tubulares revestidos bajo la influencia de la composición del revestimiento","Cruz-Crespo, Amado, Fernández Fuentes, Rafael, Scotti, Américo","Soldagem &amp; Inspeção; 16(1); 79-85","Soldagem &amp; Inspeção","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242011000100010&lang=pt" 
"S0104-92242011000100011-scl","Effect of thermal aging on the interfacial reactions of tin-based solder alloys and copper substrates and kinetics of formation and growth of intermetallic compounds","Madeni, J. C., Liu, S.","Soldagem &amp; Inspeção; 16(1); 86-95","Soldagem &amp; Inspeção","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-92242011000100011&lang=pt" 
"S1020-49892011000300002-spa","Costo-efectividad de la radiografía de tórax en lactantes con sospecha clínica de bronquiolitis viral en Colombia","Rodríguez Martínez, Carlos E., Sossa Briceño, Mónica P.","Revista Panamericana de Salud Pública; 29(3); 153-161","Revista Panamericana de Salud Pública","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892011000300002&lang=pt" 
"S1984-70332011000100007-scl","Common bean breeding to improve red grain lines","Menezes Júnior, José Ângelo Nogueira de, Carneiro, José Eustáquio de Souza, Silva, Vanessa Maria Pereira e, Silva, Lêlisângela Carvalho da, Peternelli, Luiz Alexandre, Carneiro, Pedro Crescêncio Souza","Crop Breeding and Applied Biotechnology; 11(1); 50-58","Crop Breeding and Applied Biotechnology","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332011000100007&lang=pt" 
"S0138-65572011000100001-cub","Visión de la formación de profesionales médicos para las instituciones armadas","Menéndez López, José Rogelio, Quevedo Fonseca, Carlos Rafael","Revista Cubana de Medicina Militar; 40(1); 1-3","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100001&lang=pt" 
"S0138-65572011000100002-cub","Caracterización del traumatismo renal en pacientes del Hospital Militar Central &quot;Dr. Carlos J. Finlay&quot;","Valdés Estévez, Basily, Rodríguez Collar, Tomás Lázaro, Borges Sandrino, René Santiago, Núñez Roca, Ariel, Hernández Toboso, Igor","Revista Cubana de Medicina Militar; 40(1); 4-11","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100002&lang=pt" 
"S0138-65572011000100003-cub","Comportamiento de la úlcera gastroduodenal perforada","Cabrera Cárdenas, Félix Armando, Herrera, Manuel Hidalgo, Lorda Galiano, Lázaro","Revista Cubana de Medicina Militar; 40(1); 12-21","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100003&lang=pt" 
"S0138-65572011000100004-cub","Costo hospitalario del ictus isquémico agudo","Mesa Cabrera, Miguel, Blanco Aspiazu, Miguel Ángel","Revista Cubana de Medicina Militar; 40(1); 22-31","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100004&lang=pt" 
"S0138-65572011000100005-cub","Prevalencia de esteatosis hepática no alcohólica en autopsias y alteraciones morfológicas metabólicas relacionadas","Montero González, Teresita, Pérez Lorenzo, Marlen, Alarcón Arango, Idelmys, Infante Velázquez, Mirta, Angulo Pérez, Omar, Winogra Lay, Rebeca, Carmenate Pérez, Jaily","Revista Cubana de Medicina Militar; 40(1); 32-39","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100005&lang=pt" 
"S0138-65572011000100006-cub","Relación entre la higiene bucal y la gingivitis en jóvenes","Doncel Pérez, Clara, Vidal Lima, Marialina, del Valle Portilla, María del Carmen","Revista Cubana de Medicina Militar; 40(1); 40-47","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100006&lang=pt" 
"S0138-65572011000100007-cub","Diagnóstico y tratamiento de la endometriosis vesical","Rodríguez Collar, Tomás Lázaro","Revista Cubana de Medicina Militar; 40(1); 48-55","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100007&lang=pt" 
"S0138-65572011000100008-cub","Íleo biliar","Cabrera Cárdenas, Félix Armando, Hidalgo Herrera, Manuel, Camilo Ramírez, Andrés Félix, Gálvez Toledo, Osvaldo","Revista Cubana de Medicina Militar; 40(1); 56-62","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100008&lang=pt" 
"S0138-65572011000100009-cub","Tumor gástrico estromal","Tarafa Rosales, Yasmel, Arrué Guerrero, Aliet, Acosta López, Jania, Rodríguez Rodríguez, Ralismay, Cabreja Acuña, Maria Ofelia, Rosales González, Salvador Orlando","Revista Cubana de Medicina Militar; 40(1); 63-69","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100009&lang=pt" 
"S0138-65572011000100011-cub","Efectos adversos del tratamiento con interferón alfa-2b humano recombinante y rivabirina en pacientes con hepatitis crónica C","Mulet Pérez, Agustín, Pullés Labadié, Menelio, Gámez Escalona, Martha, Mulet Gámez, Agustín, Díaz Santos, Oscar, Infante Velázquez, Mirtha","Revista Cubana de Medicina Militar; 40(1); 76-84","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100011&lang=pt" 
"S0138-65572011000100012-cub","Vulnerabilidades de salud y la sostenibilidad de la defensa","Miranda Gómez, Osvaldo, Mora González, Salvador Roberto, Menéndez López, José Rogelio","Revista Cubana de Medicina Militar; 40(1); 85-93","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100012&lang=pt" 
"S0138-65572011000100010-cub","Eusebio Hernández","Delgado Calzado, Jorge, Sarduy Nápoles, Miguel","Revista Cubana de Medicina Militar; 40(1); 70-75","Revista Cubana de Medicina Militar","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-65572011000100010&lang=pt" 
"S0034-75312011000100011-cub","Aceptabilidad del tratamiento &quot;empírico&quot; de la infección urinaria aguda en el niño","Durán Álvarez, Sandalio","Revista Cubana de Pediatría; 83(1); 109-116","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100011&lang=pt" 
"S0034-75312011000100012-cub","Alteraciones oculares en el síndrome del niño maltratado","Zozaya Aldana, Beatriz","Revista Cubana de Pediatría; 83(1); 117-119","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100012&lang=pt" 
"S0034-75312011000100001-cub","Tratamiento sin antibióticos en recién nacidos febriles con pleocitosis del líquido cefalorraquídeo y presunta meningitis viral","Díaz Álvarez, Manuel, Arango Arias, María Isabel, Rivera Alés, Libertad, Claver Isás, Daniel, Medina García, Martha, Moreno Vázquez, Olimpo","Revista Cubana de Pediatría; 83(1); 1-13","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100001&lang=pt" 
"S0104-40362011000100003-scl","O ProUni e a conclusão do ensino superior: questões introdutórias sobre os egressos do programa na zona oeste do Rio de Janeiro","Amaral, Daniela Patti do, Oliveira, Fátima Bayma de","Ensaio: Avaliação e Políticas Públicas em Educação; 19(70); 21-42","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362011000100003&lang=pt" 
"S0104-40362011000100007-scl","Doze motivos favoráveis à adoção do Exame Nacional do Ensino Médio (ENEM) pelas Instituições Federais de Ensino Superior (IFES)","Andriola, Wagner Bandeira","Ensaio: Avaliação e Políticas Públicas em Educação; 19(70); 107-125","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362011000100007&lang=pt" 
"S0034-75312011000100002-cub","Conducta conservadora ante el traumatismo esplénico","Ferro Moreira, María Eugenia, Miranda Espinosa, Norberto, Olivera Salgado, Julio Diego, Callejo Hernández, Mario","Revista Cubana de Pediatría; 83(1); 14-21","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100002&lang=pt" 
"S0034-75312011000100004-cub","Caracterización del glaucoma juvenil","Roche Caso, Silvia, Triana Casado, Idalia, Molina Cisneros, Ceija, Ricardo Lorenzo, Rosa, Cabezas García, Ana","Revista Cubana de Pediatría; 83(1); 34-43","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100004&lang=pt" 
"S0034-75312011000100005-cub","Curvas de crecimiento de la circunferencia de la cintura en niños y adolescentes habaneros","Esquivel Lauzurique, Mercedes, Rubén Quesada, Mercedes, González Fernández, Ciro, Rodríguez Chávez, Lilia, Tamayo Pérez, Vilma","Revista Cubana de Pediatría; 83(1); 44-55","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100005&lang=pt" 
"S0034-75312011000100006-cub","Soporte alimentario y nutricional en niños con fibrosis quística","Esplugas Montoya, Aida, Razón Behar, Roberto, Ojea Menéndez, Arturo","Revista Cubana de Pediatría; 83(1); 56-64","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100006&lang=pt" 
"S0034-75312011000100007-cub","Percepción de riesgo de hipertensión arterial infantil en familiares de niños y adolescentes","González Sánchez, Raquel, Llapur Milián, René, Jiménez Hernández, Juana María, Llapur González, Ahmed, Fernández Morales, Danetsy","Revista Cubana de Pediatría; 83(1); 65-73","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100007&lang=pt" 
"S0034-75312011000100003-cub","Estrategia educativa para el control y prevención del maltrato infantil dirigida a padres de niños con síndrome de Down","Pineda Pérez, Eloy, Gutiérrez Baró, Elsa, Díaz Franco, Ada María","Revista Cubana de Pediatría; 83(1); 22-33","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100003&lang=pt" 
"S0034-75312011000100008-cub","El arte de la prescripción de antibióticos en el niño","Montalván González, Guillermo Luis","Revista Cubana de Pediatría; 83(1); 74-86","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100008&lang=pt" 
"S0034-75312011000100009-cub","Síndromes nefróticos congénitos y hereditarios","Durán Álvarez, Sandalio","Revista Cubana de Pediatría; 83(1); 87-102","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100009&lang=pt" 
"S0034-75312011000100010-cub","Parálisis periódica hiperpotasémica","Pozo Alonso, Albia, Pozo Lauzán, Desiderio, Hernández Rodríguez, Héctor, Hernández Meilán, Manuel, Sayú Stewart, José Manuel","Revista Cubana de Pediatría; 83(1); 103-108","Revista Cubana de Pediatría","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312011000100010&lang=pt" 
"S0376-78922011000100010-esp","Vaginoplastia: modificación de la técnica de McIndoe usando esponja de gel hemostático","Antoniadis, N., Charles, G., Mejías, I., Pabón, R.","Cirugía Plástica Ibero-Latinoamericana; 37(1); 73-77","Cirugía Plástica Ibero-Latinoamericana","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0376-78922011000100010&lang=pt" 
"S0256-95742011000300014-sza","Trauma care in South Africa: a call to arms","Wallis, Lee A","SAMJ: South African Medical Journal; 101(3); 171-172","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300014&lang=pt" 
"S0256-95742011000300015-sza","Assessment of safe endotracheal tube cuff pressures in emergency care: time for change?","Stein, Christopher, Berkowitz, Gary, Kramer, Efraim","SAMJ: South African Medical Journal; 101(3); 172-173","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300015&lang=pt" 
"S0256-95742011000300016-sza","The rat lung-worm Angiostrongylus cantonensis: a first report in South Africa","Archer, C E, Appleton, C C, Mukaratirwa, S, Hope, K J","SAMJ: South African Medical Journal; 101(3); 174-175","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300016&lang=pt" 
"S0256-95742011000300017-sza","Direct admission versus inter-hospital transfer to a level I trauma unit improves survival: an audit of the new Inkosi Albert Luthuli Central Hospital trauma unit","Cheddie, S, Muckart, D J J, Hardcastle, T C, Den Hollander, D, Cassimjee, H, Moodley, S","SAMJ: South African Medical Journal; 101(3); 176-178","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300017&lang=pt" 
"S0256-95742011000300018-sza","Is universal coverage via social health insurance financially feasible in Swaziland?","Mathauer, Inke, Musango, Laurent, Sibandze, Sibusiso, Mthethwa, Khosi, Carrin, Guy","SAMJ: South African Medical Journal; 101(3); 179-183","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300018&lang=pt" 
"S0256-95742011000300019-sza","Phaeochromocytoma in black South Africans: a 30-year audit","Huddle, K R L","SAMJ: South African Medical Journal; 101(3); 184-188","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300019&lang=pt" 
"S0256-95742011000300020-sza","Guideline for the assessment of trauma centres for South Africa","Hardcastle, Timothy Craig, Steyn, Elmin, Boffard, Kenneth, Goosen, Jacques, Toubkin, Mande, Loubser, Andre, Allard, Denis, Moeng, Steve, Muckart, David, Brysiewicz, Petra, Wallis, Lee","SAMJ: South African Medical Journal; 101(3); 189-194","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300020&lang=pt" 
"S0256-95742011000300021-sza","Guideline: procedural sedation in the emergency centre","Stander, M, Wallis, L A","SAMJ: South African Medical Journal; 101(3); 195-201","SAMJ: South African Medical Journal","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742011000300021&lang=pt" 
"S1983-51752011000100014-scl","Avaliação clínica e da espessura cutânea um ano após preenchimento de ácido hialurônico","Salles, Alessandra Grassi, Remigio, Adelina Fátima do Nascimento, Zacchi, Valeria Berton Liguori, Saito, Osmar Cássio, Ferreira, Marcus Castro","Revista Brasileira de Cirurgia Plástica; 26(1); 66-69","Revista Brasileira de Cirurgia Plástica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000100014&lang=pt" 
"S1983-51752011000100009-scl","Trauma facial: análise de 194 casos","Silva, Joaquim José de Lima, Lima, Antonia Artemisa Aurélio Soares, Melo, Igor Furtado Soares, Maia, Rafael Costa Lima, Pinheiro Filho, Tadeu Rodriguez de Carvalho","Revista Brasileira de Cirurgia Plástica; 26(1); 37-41","Revista Brasileira de Cirurgia Plástica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-51752011000100009&lang=pt" 
"S1415-43662011000300007-scl","Compactação do solo: efeitos nas características produtivas e morfológicas dos capins Piatã e Mombaça","Bonelli, Emerson A., Bonfim-Silva, Edna M., Cabral, Carlos E. A., Campos, Jader J., Scaramuzza, Walcylene L. M. P., Polizel, Analy C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 15(3); 264-269","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011000300007&lang=pt" 
"S1415-43662011000300010-scl","Viabilidade e micoflora de sementes de amendoim irradiadas com cobalto (60Co)","Alves, Niédja M. C., Almeida, Francisco de A. C., Gomes, Josivanda P., Leal, Artur S. C., Silva, Manasses M. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 15(3); 289-295","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011000300010&lang=pt" 
"S1415-43662011000300002-scl","Qualidade química de frutos do maracujazeiro-amarelo em solo com biofertilizante irrigado com águas salinas","Dias, Thiago J., Cavalcante, Lourival F., Freire, José L. de O., Nascimento, José A. M. do, Beckmann-Cavalcante, Márkilla Z., Santos, Gaudêncio P. dos","Revista Brasileira de Engenharia Agrícola e Ambiental; 15(3); 229-236","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662011000300002&lang=pt" 
"S0103-51502011000100011-scl","Mobilidade articular de idosos diabéticos e não diabéticos e influência da fisioterapia","Ulhoa, Lorena Soares, Lima, Rafael Chedid Oliveira, Cunha, Verusca Najara de Carvalho, Gomes, Erika Baptista, Campbell, Carmen Sílvia Grubert, Pedrosa, Hermelinda Cordeiro","Fisioterapia em Movimento; 24(1); 99-106","Fisioterapia em Movimento","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502011000100011&lang=pt" 
