"S0188-252X2014000100015-mex","¿A dónde hemos llegado? Un siglo de vanguardias artísticas en Occidente","Cortazar Rodríguez, Francisco Javier","Comunicación y sociedad; (21); 319-323","Comunicación y sociedad","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2014000100015&lang=pt" 
"S0004-282X2014000600480-scl","Communicative aspects and coping strategies in patients with Parkinson&#039;s disease","Costa, Flávia Pereira da","Arquivos de Neuro-Psiquiatria; 72(6); 480-480","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600480&lang=pt" 
"S0004-282X2014000600483-scl","Molecular analysis of polimorphisms in HLA-CLASS II DRB1* and IL7Rα possibly associated with multiple sclerosis susceptibility in a population sample of Rio de Janeiro","Figueiredo, André Luis dos Santos","Arquivos de Neuro-Psiquiatria; 72(6); 483-483","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600483&lang=pt" 
"S0004-282X2014000600482-scl","Multiple sclerosis susceptibility in a Brazilian sample, HLA and CIITA genes","Paradela, Eduardo Ribeiro","Arquivos de Neuro-Psiquiatria; 72(6); 482-482","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600482&lang=pt" 
"S0004-282X2014000600451-scl","Current perspectives in stem cell therapy for spinal cord repair in humans: a review of work from the past 10 years","Mariano, Eric Domingos, Batista, Chary Marquez, Barbosa, Breno José Alencar Pires, Marie, Suely Kazue Nagahashi, Teixeira, Manoel Jacobsen, Morgalla, Matthias, Tatagiba, Marcos, Li, Jun, Lepski, Guilherme","Arquivos de Neuro-Psiquiatria; 72(6); 451-456","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600451&lang=pt" 
"S0004-282X2014000600477-scl","Effect of gold nanoparticle solution on VDRL reactive CSF","Wiwanitkit, Viroj","Arquivos de Neuro-Psiquiatria; 72(6); 477-477","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600477&lang=pt" 
"S0004-282X2014000600478-scl","Finding of B cell epitope within polyprotein of Japanese encephalitis virus: a clue for development of new Japanese encephalitits vaccine","Yasri, Sora, Wiwanitkit, Viroj","Arquivos de Neuro-Psiquiatria; 72(6); 478-478","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600478&lang=pt" 
"S0004-282X2014000600479-scl","Incorrect administration method for booster dosage of rabies vaccination","Joob, Beuy, Wiwanitkit, Viroj","Arquivos de Neuro-Psiquiatria; 72(6); 479-479","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600479&lang=pt" 
"S0004-282X2014000600475-scl","Circadian variation of fatigue in paralytic poliomyelitis and postpolio syndrome: just fatigue or masked restless legs syndrome?","Romigi, Andrea, Placidi, Fabio, Evangelista, Elisa, Desiato, Maria T.","Arquivos de Neuro-Psiquiatria; 72(6); 475-475","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600475&lang=pt" 
"S0004-282X2014000600476-scl","Reply","Viana, Celiana Figueiredo","Arquivos de Neuro-Psiquiatria; 72(6); 476-476","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600476&lang=pt" 
"S0004-282X2014000600471-scl","The Brissaud sign","Aguiar, Tiago, Maranhão Filho, Péricles","Arquivos de Neuro-Psiquiatria; 72(6); 471-471","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600471&lang=pt" 
"S0004-282X2014000600472-scl","Neurogenic T waves as clues for diagnosing hemorrhagic stroke","Pinto, Wladimir Bocca Vieira de Rezende, Barros, Lucas Amorim Vieira de, Souza, Paulo Victor Sgobbi de, Pedroso, José Luiz, Barsottini, Orlando Graziani Povoas","Arquivos de Neuro-Psiquiatria; 72(6); 472-472","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600472&lang=pt" 
"S0004-282X2014000600473-scl","Pitfalls in vascular imaging when brain death is suspected: multiparametric multidetector computed tomography as a complementary diagnostic tool","Nunes, Douglas Mendes, Rocha, Antônio José da, Boni, Reginaldo Carlos","Arquivos de Neuro-Psiquiatria; 72(6); 473-474","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600473&lang=pt" 
"S1684-18242014000300010-cub","La caries dental y su interrelación con algunos factores sociales","Mayor Hernández, Félix, Pérez Quiñones, José Alberto, Cid Rodríguez, María del Carmen, Martínez Brito, Isabel, Martínez Abreu, Judit, Moure Ibarra, Miriam D","Revista Médica Electrónica; 36(3); 339-349","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300010&lang=pt" 
"S0120-06902014000200009-col","Rhodococcus equi pneumonia in a Foal - A case report","Oliver, Olimpo J, Castañeda, Rubiela","Revista Colombiana de Ciencias Pecuarias; 27(2); 139-144","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200009&lang=pt" 
"S0120-06902014000200008-col","Annual breeding soundness evaluation of rams","Oliveira Menegassi, Silvio R, Jardim Barcellos, Júlio O, Koetz Júnior, Celso, Peripolli, Vanessa, Andrighetto Canozzi, Maria E, McManus, Concepta, Guiselli Lopes, Flávio","Revista Colombiana de Ciencias Pecuarias; 27(2); 133-137","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200008&lang=pt" 
"S0120-06902014000200005-col","Effects of dietary barley on growth performance, carcass traits and pork quality of finishing pigs","Kim, Beob G, Wulf, Duane M, Maddock, Robert J, Peters, Dean N, Pedersen, Carsten, Liu, Yanhong, Stein, Hans H","Revista Colombiana de Ciencias Pecuarias; 27(2); 102-113","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200005&lang=pt" 
"S0120-06902014000200004-col","Effect of floor space on the behavior of laying hens in commercial cages","Rhim, Shin-Jae","Revista Colombiana de Ciencias Pecuarias; 27(2); 95-101","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200004&lang=pt" 
"S0120-06902014000200007-col","Dietary protein and body mass affect ammonium excretion in white cachama (Piaractus brachypomus)","David Ruales, Carlos A, Vásquez Torres, Wálter","Revista Colombiana de Ciencias Pecuarias; 27(2); 121-132","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200007&lang=pt" 
"S0120-06902014000200006-col","Reproductive evaluation of red deer (Cervus elaphus) stags under tropical conditions","Hernández-Souza, Maritza E, Aké-López, Jesús R, Segura Correa, José C, Centurión-Castro, Fernando, Aké-Villanueva, Jesús R, Ticante Perez, Víctor","Revista Colombiana de Ciencias Pecuarias; 27(2); 114-120","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200006&lang=pt" 
"S0120-06902014000200001-col","Breve análisis del ejercicio profesional en clínica y cirugía de pequeñas especies animales","Riaño Benavides, Carlos","Revista Colombiana de Ciencias Pecuarias; 27(2); 63-64","Revista Colombiana de Ciencias Pecuarias","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200001&lang=pt" 
"S0120-06902014000200003-col","Contribution of intensive silvopastoral systems to animal performance and to adaptation and mitigation of climate change","Cuartas Cardona, César A, Naranjo Ramírez, Juan F, Tarazona Morales, Ariel M, Murgueitio Restrepo, Enrique, Chará Orozco, Julián D, Ku Vera, Juan, Solorio Sánchez, Francisco J, Flores Estrada, Martha X, Solorio Sánchez, Baldomero, Barahona Rosales, Rolando","Revista Colombiana de Ciencias Pecuarias; 27(2); 76-94","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200003&lang=pt" 
"S0120-06902014000200002-col","Salmonella spp. in the pork supply chain: a risk approach","Rodríguez, Diego M, Suárez, Martha C","Revista Colombiana de Ciencias Pecuarias; 27(2); 65-75","Revista Colombiana de Ciencias Pecuarias","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-06902014000200002&lang=pt" 
"S1684-18242014000300004-cub","Diabetes mellitus como complicación de la cirrosis hepática. Hospital Territorial Docente Mario Muñoz Monroy. 2003-2013","Hernández Ortega, Ania, Sánchez Cruz, Julio César, Pereira Martínez, Madeline M, Umpierrez García, Ibis","Revista Médica Electrónica; 36(3); 265-272","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300004&lang=pt" 
"S1684-18242014000300005-cub","Presencia de factores de riesgo de malnutrición en centenarios diabéticos","Pimienta Suri, Anyelien, Massip Nicot, Juliette, Valdés Valenzuela, Asterio, Massip Nicot, Tania","Revista Médica Electrónica; 36(3); 273-289","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300005&lang=pt" 
"S1684-18242014000300006-cub","Tratamiento de la hepatitis crónica por virus C con interferón pegilado cubano y ribavirina","Corrales Alonso, Sahilí, Ramos Pachón, Carlos Manuel, Celestrín Tápanes, Homero, Morales Díaz, Mariuska, Abreu Jarrín, Mayelín, Bayoll Escalona, Alejandro","Revista Médica Electrónica; 36(3); 290-303","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300006&lang=pt" 
"S1684-18242014000300007-cub","La autoevaluación y la coevaluación. Experiencia con estudiantes de 4to año de la carrera de Medicina, en la asignatura Pediatría","Vidal Tallet, Lázaro Arturo, Noda Albelo, Amaury, Báez Pérez, Esther, Fernández Morín, José, Montell Hernandez, Oscar, Rodríguez Díaz, Eldalina","Revista Médica Electrónica; 36(3); 304-312","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300007&lang=pt" 
"S1684-18242014000300001-cub","La promoción de salud, estrategia principal de la nueva salud pública","Martínez Abreu, Judit","Revista Médica Electrónica; 36(3); 248-249","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300001&lang=pt" 
"S1684-18242014000300002-cub","Factores de riesgo asociados al bajo peso al nacer en el Policlínico Universitario Carlos Verdugo","García Florido, Aylín, Bello Rodríguez, Berta María, Méndez Dayoub, Adriana, Florido Arango, María de las Nieves, Socorro Montes de Oca, Yunier","Revista Médica Electrónica; 36(3); 250-257","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300002&lang=pt" 
"S1684-18242014000300003-cub","Divertículos periampulares diagnosticados durante colangiopancreatografía retrógrada endoscópica","Ramos Pachón, Carlos Manuel, del Valle Llufrio, Pedro","Revista Médica Electrónica; 36(3); 258-264","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300003&lang=pt" 
"S1684-18242014000300008-cub","La promoción de salud dirigida a reducir los factores de riesgo de cáncer cérvico uterino","Martínez Pérez, Misleny, de la Concepción Cárdenas, Juan Carlos, Pérez González, Ariel","Revista Médica Electrónica; 36(3); 313-324","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300008&lang=pt" 
"S1684-18242014000300009-cub","Diagnóstico de vaginosis bacteriana. Aspectos clínicos y estudios microbiológicos","Arnold Rodríguez, Mónica, González Lorenzo, Ariadna, Carbonell Hernández, Teresa","Revista Médica Electrónica; 36(3); 325-338","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300009&lang=pt" 
"S1684-18242014000300013-cub","La clase taller como forma organizativa de enseñanza de la disciplina Morfofisiología Humana en la carrera de Medicina","González García, Isahiris, Achiong Alemañy, Mercy, Jordán Padrón, Marena, Medina Tápanes, Elizabeth","Revista Médica Electrónica; 36(3); 372-380","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300013&lang=pt" 
"S1684-18242014000300012-cub","Tres victimarios y una víctima. Presentación de un caso","Jiménez Ramírez, Isis Leonor, Rodríguez Cárdenas, Orestes, Rodríguez Hernández, Leydis Alina, Molina Ramos, María Antonia, Díaz Montesino, Arian, Rodríguez Méndez, María de la Caridad","Revista Médica Electrónica; 36(3); 358-371","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300012&lang=pt" 
"S1684-18242014000300011-cub","Enteritis eosinofílica. A propósito de dos casos","Arredondo Bruce, Alfredo, Heredia Cardoso, Abbell Amís, Mejías Pérez, José, Rivero Peláez, Eduardo","Revista Médica Electrónica; 36(3); 350-357","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300011&lang=pt" 
"S1684-18242014000300015-cub","Hospital Territorial Docente Mario Muñoz Monroy, prestigiosa institución colombina","Álvarez Aragón, Mileyvis, Rodríguez Delgado, Maylin, Troya Borges, Eddy, Matos Campos, Mayra Rosa, Pérez Saavedra, Yosleivy","Revista Médica Electrónica; 36(3); 388-393","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300015&lang=pt" 
"S1684-18242014000300014-cub","El blog, una herramienta de la web para potenciar el proceso docente educativo en las carreras de las Ciencias Médicas","Martínez Abreu, Judit, Curbeira Hernández, Eduardo","Revista Médica Electrónica; 36(3); 381-387","Revista Médica Electrónica","Espanhol","2014","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1684-18242014000300014&lang=pt" 
"S0004-282X2014000600439-scl","Validation of the Brazilian version of the Spinal Cord Independence Measure III","Riberto, Marcelo, Tavares, Daniel Amorim, Rimoli, José Ragide Jamal, Castineira, Carolina Pastorin, Dias, Rodrigo Vasconcelos, Franzoi, Ana Cristina, Vall, Janaina, Lopes, Kathya Augusta Thomé, Chueire, Regina Helena M Fornari, Battistella, Linamara Rizzo","Arquivos de Neuro-Psiquiatria; 72(6); 439-444","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600439&lang=pt" 
"S0004-282X2014000600430-scl","Cardiac 123I-MIBG uptake in de novo Brazilian patients with Parkinson&#039;s disease without clinically defined dysautonomia","Leite, Marco Antonio Araujo, Nascimento, Osvaldo J. M., Pereira, João Santos, Amaral, Clayton, Mesquita, Cláudio T., Azevedo, Jader C., Brito, Adriana S. X. de, Pedras, Felipe Villela","Arquivos de Neuro-Psiquiatria; 72(6); 430-434","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600430&lang=pt" 
"S0004-282X2014000600435-scl","Psychiatric symptoms are present in most of the patients with idiopathic normal pressure hydrocephalus","Oliveira, Matheus F., Oliveira, João R. M., Rotta, José M., Pinto, Fernando C. G.","Arquivos de Neuro-Psiquiatria; 72(6); 435-438","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600435&lang=pt" 
"S0004-282X2014000600426-scl","Depression increases in patients with Parkinson?s disease according to the increasing severity of the cognitive impairment","Chagas, Marcos Hortes N., Moriyama, Tais S., Felício, André C., Sosa, Ana Luisa, Bressan, Rodrigo A., Ferri, Cleusa P.","Arquivos de Neuro-Psiquiatria; 72(6); 426-429","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600426&lang=pt" 
"S0004-282X2014000600422-scl","Prevalence of temporomandibular disorders symptoms in patients with multiple sclerosis","Carvalho, Lucas S. C., Matta, André P. C., Nascimento, Osvaldo J. M., Guimarães, Antônio S., Rodrigues, Luciane R.","Arquivos de Neuro-Psiquiatria; 72(6); 422-425","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600422&lang=pt" 
"S0004-282X2014000600445-scl","Seronegative Neuromyelitis Optica Spectrum - The challenges on disease definition and pathogenesis","Sato, Douglas Kazutoshi, Callegaro, Dagoberto, Lana-Peixoto, Marco Aurélio, Nakashima, Ichiro, Fujihara, Kazuo","Arquivos de Neuro-Psiquiatria; 72(6); 445-450","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600445&lang=pt" 
"S0004-282X2014000600457-scl","Stem cells in neurology - current perspectives","Batista, Chary Ely Marquez, Mariano, Eric Domingos, Marie, Suely Kazue Nagahashi, Teixeira, Manoel Jacobsen, Morgalla, Matthias, Tatagiba, Marcos, Li, Jun, Lepski, Guilherme","Arquivos de Neuro-Psiquiatria; 72(6); 457-465","Arquivos de Neuro-Psiquiatria","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2014000600457&lang=pt" 
"S1809-68912014000200011-scl","Aspectos hemodinâmicos da circulação extracorpórea em cães","Knupp, Sheila Nogueira Ribeiro, Vale, Daniela Fantini, Monteiro, Guilherme Soares, Luz, Mônica Jorge, Sheffer, Jussara Peters, Oliveira, André Lacerda","Ciência Animal Brasileira; 15(2); 200-206","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200011&lang=pt" 
"S1806-37132014000300313-scl","Simultaneous interstitial pneumonitis and cardiomyopathy induced by venlafaxine","Ferreira, Pedro Gonçalo, Costa, Susana, Dias, Nuno, Ferreira, António Jorge, Franco, Fátima","Jornal Brasileiro de Pneumologia; 40(3); 313-318","Jornal Brasileiro de Pneumologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132014000300313&lang=pt" 
"S1809-68912014000200013-scl","Descrição do plexo braquial do cachorro-do-mato (Cerdocyon thous Linnaeus, 1766)","Pinheiro, Luane Lopes, Branco, Érika, Souza, Damazio Campos, Pereira, Luiza Helena Corrêa, Lima, Ana Rita","Ciência Animal Brasileira; 15(2); 213-219","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200013&lang=pt" 
"S1806-37132014000300319-scl","Lung cancer and schwannoma - the pitfalls of positron emission tomography","Westphal, Fernando Luiz, Lima, Luiz Carlos de, Lima-Netto, José Correa, Tavares, Michel de Araújo, Gil, Felipe de Siqueira Moreira","Jornal Brasileiro de Pneumologia; 40(3); 319-321","Jornal Brasileiro de Pneumologia","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132014000300319&lang=pt" 
"S1809-68912014000200012-scl","Biometria do bulbo ocular de bovinos da raça Nelore","Corrêa, Lanna Beatriz Neves Silva, Santa&#039;Anna Junior, Leny Pereira, Souza Junior, Paulo de","Ciência Animal Brasileira; 15(2); 207-212","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200012&lang=pt" 
"S1809-68912014000200010-scl","Análise da segmentação anatomo-cirúrgica arterial do cólon de coelhos","Bianchi, Pedro Kastein Faria da Cunha, Kfoury Junior, José Roberto, Gonçalez, Patrícia Orlandini","Ciência Animal Brasileira; 15(2); 195-199","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200010&lang=pt" 
"S1809-68912014000200015-scl","Produção de hibridomas secretores de anticorpos anti-Neospora caninum para uso em imunodiagnóstico","Devens, Bruna Alves, Viloria, Marlene Isabel Vargas, Silva, Carlos Henryque de Souza e, Salcedo, Joaquin Hernán Patarroyo","Ciência Animal Brasileira; 15(2); 228-233","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200015&lang=pt" 
"S1809-68912014000200014-scl","Biometria podal de equídeos (Equus sp Linnaeus, 1758) de tração","Faria, Marcelo Domingues de, Santos, Maria Alice Maranhão, Martins, Laura Flávia Teixeira, Gradela, Adriana, Pereira Neto, Joaquim, Bandeira, Claudio Gomes Costa","Ciência Animal Brasileira; 15(2); 220-227","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200014&lang=pt" 
"S1809-68912014000200016-scl","Lesões cutâneas tipo tumorais associadas à infeção por avipoxvirus em uma marreca-cabocla (Dendrocygna autumnalis)","Pereira, Washington Luiz Assunção, Gabriel, Áurea Linhares Martins, Monger, Suellen da Gama Barbosa, Moraes, Leopoldo Augusto, Queiroz, Darlene Kássia Saraiva, Souza, Alex Junior Souza de","Ciência Animal Brasileira; 15(2); 234-238","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200016&lang=pt" 
"S1809-68912014000200002-scl","Desenvolvimento de terminologia descritiva para warmed-over flavor em carne assada bovina","Lage, Moacir Evandro, Godoy, Helena Teixeira, Bolini, Helena Maria André, Oliveira, Raphael Rocha de, Oliveira, Antônio Nonato de, Nicolau, Edmar Soares, Rezende, Cíntia Silva Minafra e","Ciência Animal Brasileira; 15(2); 128-137","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200002&lang=pt" 
"S1809-68912014000200003-scl","Emissão de CO2, características do dossel e acúmulo de forragem em pastos de capim-pensacola sob frequências de desfolhação","Galzerano, Leandro, Malheiros, Euclides Braga, Morgado, Eliane da Silva, Ruggieri, Ana Claudia","Ciência Animal Brasileira; 15(2); 138-144","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200003&lang=pt" 
"S1809-68912014000200008-scl","Efeito heterótico nas partes não-integrantes a carcaça de novilhos terminados em confinamento","Cattelam, Jonatas, Brondani, Ivan Luiz, Alves Filho, Dari Celestino, Argenta, Flânia Mônego, Siqueira Junior, Vicente, Martini, Patrícia Machado","Ciência Animal Brasileira; 15(2); 174-186","Ciência Animal Brasileira","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912014000200008&lang=pt" 
