"S0100-72032009000800008-scl","Tratamento do trabalho de parto prematuro","Bittar, Roberto Eduardo, Zugaib, Marcelo","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 415-422","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800008&lang=pt" 
"S0210-48062009000700020-esp","Quiste renal infectado por brucela","Escriche Ros, Raquel, Rodríguez Manzanilla, María J., Martín Montañés, Manuel, Esclarín Duny, Miguel Á., Sanz Vélez, José I.","Actas Urológicas Españolas; 33(7); 835-836","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700020&lang=pt" 
"S0210-48062009000700001-esp","Cambiando paradigmas en el diagnóstico (primario y de las recidivas) y en el tratamiento del Cáncer Urotelial: preparando el futuro","Gelabert Mas, Antoni","Actas Urológicas Españolas; 33(7); 725-727","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700001&lang=pt" 
"S0210-48062009000700023-esp","Incarceración de pene por anillo metálico","García Belmonte, David, Gili Masso, Josep Mª, Pascual García, Xavier, González Urendez, Pascual, Abadias Medrano, MªJ., Guajardo Guajardo, Jesús","Actas Urológicas Españolas; 33(7); 839-839","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700023&lang=pt" 
"S0210-48062009000700019-esp","Manejo conservador de los traumatismos renales por arma blanca: Presentación de dos nuevos casos y revisión de la literatura","Caballero Romeu, Juan Pablo, Megías Garrigós, Julián, Leivar Tamayo, Asier, Galiano Baena, Juan Francisco, Pérez Tomás, Carla, Herrero Polo, Enrique","Actas Urológicas Españolas; 33(7); 830-834","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700019&lang=pt" 
"S0210-48062009000700003-esp","Comentario editorial sobre el índice de masa corporal y la dieta afectan el desarrollo del cáncer de próstata","Orsola de los Santos, Anna, Morote Robles, Juan","Actas Urológicas Españolas; 33(7); 730-731","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700003&lang=pt" 
"S0210-48062009000700017-esp","Mitomicina C endovesical y fibrosis pulmonar","Janeiro Pais, José Manuel, Pastor Casas Agudo, Vicente, López Garcia, Daniel, González Dacal, Juan, Lamas Meilán, Cipriano, González Martín, Marcelino","Actas Urológicas Españolas; 33(7); 822-825","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700017&lang=pt" 
"S0210-48062009000700014-esp","Factores de riesgo asociados a lesiones vesicales en cesárea","Alcocer Urueta, Jaime, Bonilla Mares, Marcela, Gorbea Chávez, Viridiana, Velázquez Valassi, Beatriz","Actas Urológicas Españolas; 33(7); 806-810","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700014&lang=pt" 
"S0210-48062009000700007-esp","Nefrectomía radical laparoscópica en piezas quirúrgicas de gran tamaño","Alonso y Gregorio, Sergio, Sánchez, S., Soler, C., Rando, A., Girón, M., Tabernero Gómez, Ángel J., Aguilera, A., Cisneros Ledo, Jesús, Peña Barthel, Javier de la","Actas Urológicas Españolas; 33(7); 755-758","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700007&lang=pt" 
"S0210-48062009000700011-esp","Análisis de las aguas embotelladas y de grifo españolas y de las implicaciones de su consumo en la litiasis urinaria","Millán Rodríguez, Félix, Gracia García, Silvia, Jiménez Corro, Rocío, Serrano Liesa, Miriam, Rousaud Barón, Ferran, Sánchez Martín, Francisco, Angerri Feu, Oriol, Martínez Rodríguez, Roberto, Villavicencio Mavrich, Humberto","Actas Urológicas Españolas; 33(7); 778-793","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700011&lang=pt" 
"S0210-48062009000700013-esp","Incontinencia de orina durante la actividad sexual coital: Síntomas asociados y gravedad de la incontinencia","Espuña-Pons, Montserrat, Puig-Clota, Montserrat","Actas Urológicas Españolas; 33(7); 801-805","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700013&lang=pt" 
"S0210-48062009000700002-esp","Comentario editorial sobre análisis de las aguas embotelladas y de grifo españolas y de las implicaciones de su consumo en la litiasis urinaria","Lancina Martín, Juan A.","Actas Urológicas Españolas; 33(7); 728-729","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700002&lang=pt" 
"S0210-48062009000700009-esp","Nefrectomía laparoscópica simple con asistencia de notes transvaginal y uso de instrumentos laparoscópicos estándar","Castillo, Octavio A., Vidal-Mora, Ivar, Campos, Rodrigo, Fonerón, Alejandro, Feria-Flores, Miguel, Gómez, Reinaldo, Sepúlveda, Francisco","Actas Urológicas Españolas; 33(7); 767-770","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700009&lang=pt" 
"S0210-48062009000700015-esp","Liposarcoma del cordón espermático: Nuestra experiencia y revisión de la literatura","García Morúa, Alejandro, Lozano Salinas, Juan Fermín, Valdés Sepúlveda, Federico, Zapata, Homero, Gómez Guerra, Lauro Salvador","Actas Urológicas Españolas; 33(7); 811-815","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700015&lang=pt" 
"S0210-48062009000700012-esp","Estenosis uretral en la mujer: Etiología, diagnóstico y tratamiento","Gutiérrez Ruiz, Cristina, Rodríguez-Escovar, Fernando, Errando Smet, Carlos, Arañó Bertrán, Pedro, Villavicencio Mavrich, Humberto","Actas Urológicas Españolas; 33(7); 794-800","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700012&lang=pt" 
"S0210-48062009000700018-esp","Linfoma primario de pene","Ibarz Servio, Lluis, Arzoz Fábregas, Montserrat, Ruiz Domínguez, José M., Batlle Massana, Montserrat, Mate Sanz, José L., Saladié Roig, José M.","Actas Urológicas Españolas; 33(7); 826-829","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700018&lang=pt" 
"S0210-48062009000700008-esp","Cistoprostatectomía radical robótica: análisis oncológico y funcional","Palou Redorta, Joan, Gaya Sopena, Josep María, Gausa Gascón, Lluís, Sánchez-Martín, Francisco, Rosales Bordes, Antonio, Rodríguez Faba, Óscar, Villavicencio Mavrich, Humberto","Actas Urológicas Españolas; 33(7); 759-766","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700008&lang=pt" 
"S0210-48062009000700004-esp","La Iniciativa Open Access (OAI) en la literatura científica","Sánchez-Martín, Francisco M., Millán Rodríguez, Félix, Villavicencio Mavrich, Humberto","Actas Urológicas Españolas; 33(7); 732-740","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700004&lang=pt" 
"S0210-48062009000700005-esp","El índice de masa corporal y la dieta afectan el desarrollo del cáncer de próstata","López Fontana, Constanza M., Recalde Rincón, Gabriela M., Messina Lombino, Diego, Uvilla Recupero, Ana Laura, Pérez Elizalde, Rafael F., López Laur, José D.","Actas Urológicas Españolas; 33(7); 741-746","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700005&lang=pt" 
"S0210-48062009000700022-esp","Suboclusión intestinal tras laparoscopia","Pascual Queralt, Mª Mercé, Segarra Tomás, José, Català, Violeta, Pozuelo Fernández, I., Millán Rodríguez, Félix, Villavicencio Mavrich, Humberto","Actas Urológicas Españolas; 33(7); 838-838","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700022&lang=pt" 
"S0210-48062009000700024-esp","Seminoma bilateral sincrónico","Carrión López, Pedro, Pastor Navarro, Héctor, Martínez Ruiz, Jesús, Giménez Bachs, José Miguel, Lorenzo Romero, Juan Gabriel, Virseda Rodríguez, Julio Antonio","Actas Urológicas Españolas; 33(7); 840-840","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700024&lang=pt" 
"S0210-48062009000700021-esp","Perforación uretral y vesical por malla de uretropexia TOT","Álvarez Bandrés, Silvia, Hualde Alfaro, Antonio, Ripa Saldías, Luis, De Pablo Cárdenas, Álvaro, Cebrian Lostal, José L., Jiménez Parra, José D.","Actas Urológicas Españolas; 33(7); 837-837","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700021&lang=pt" 
"S0210-48062009000700016-esp","Leiomiosarcoma vesical: Presentación de un nuevo caso y revisión de la literatura","Rioja, Jorge, Rosell Costa, David, Rincón Mayans, Anibal, Saiz Sansi, Abel, Panizo Santos, Ángel, Berián Polo, José María","Actas Urológicas Españolas; 33(7); 816-821","Actas Urológicas Españolas","Espanhol","2009","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062009000700016&lang=pt" 
"S0101-73302009000200002-scl","Apresentação","Oliveira, Dalila Andrade, Assunção, Ada Ávila","Educação &amp; Sociedade; 30(107); 343-348","Educação &amp; Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302009000200002&lang=pt" 
"S0101-73302009000200001-scl","Editorial","","Educação &amp; Sociedade; 30(107); 337-340","Educação &amp; Sociedade","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302009000200001&lang=pt" 
"S0101-73302009000200004-scl","El trabajador universitario: entre el malestar y la lucha","Tamez González, Silvia, Pérez Domínguez, Josué Federico","Educação &amp; Sociedade; 30(107); 373-387","Educação &amp; Sociedade","Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302009000200004&lang=pt" 
"S0101-74382009000200002-scl","An approach using Lagrangian/surrogate relaxation for lot-sizing with transportation costs","Molina, Flavio, Santos, Maristela Oliveira dos, Toledo, Franklina M. B., Araujo, Silvio Alexandre de","Pesquisa Operacional; 29(2); 269-288","Pesquisa Operacional","Inglês","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382009000200002&lang=pt" 
"S0101-74382009000200007-scl","Aplicação de um modelo fuzzy DEA para priorizar modos de falha em sistemas nucleares","Garcia, Pauli Adriano de Almada, Melo, P. F. Frutuoso e, Schirru, R.","Pesquisa Operacional; 29(2); 383-402","Pesquisa Operacional","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382009000200007&lang=pt" 
"S0100-72032009000800009-scl","Análise imunoistoquímica da via WNT em neoplasias epiteliais ovarianas e ovários normais","Badiglian Filho, Levon","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 423-423","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800009&lang=pt" 
"S0100-72032009000800010-scl","Doplervelocimetria da artéria oftálmica em gestantes portadoras de lúpus eritematoso sistêmico sem atividade de doença renal","Freitas, Márcia Aires Rodrigues de","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 423-423","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800010&lang=pt" 
"S0100-72032009000800002-scl","Variação de peso de usuárias de acetato de medroxiprogesterona de depósito segundo índice de massa corporal em seguimento de seis anos","Pantoja, Márcia, Medeiros, Tatiane, Baccarin, Maria Carolina, Morais, Sirlei, Fernandes, Arlete Maria dos Santos","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 380-384","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800002&lang=pt" 
"S0100-72032009000800003-scl","Efeitos da hiperprolactinemia sobre o útero de camundongos no proestro","Gomes, Regina Célia Teixeira, Oliveira, Patrícia Bedesco de, Rossi, Alexandre Guilherme Zabeu, Baracat, Maria Cândida Pinheiro, Simões, Ricardo Santos, Baracat, Edmund Chada, Junior, José Maria Soares","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 385-390","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800003&lang=pt" 
"S0100-72032009000800004-scl","Modificações topográficas da junção uretrovesical e da uretra proximal após cirurgia combinada de Marshall-Marchetti-Krantz e Burch","Alencar, Arinaldo Vasconcelos de, Brandt, Frederico Teixeira, Costa, Hélio de Lima Ferreira Fernandes, Albuquerque, Carla Daisy, Costa, Rosângela Falcão da, Alencar, Saulo Barbosa Vasconcelos de","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 391-396","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800004&lang=pt" 
"S0100-72032009000800005-scl","Colonização materna e neonatal por estreptococo do grupo B em situações de ruptura pré-termo de membranas e no trabalho de parto prematuro","Nomura, Marcelo Luís, Passini Júnior, Renato, Oliveira, Ulysses Moraes, Calil, Roseli","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 397-403","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800005&lang=pt" 
"S0100-72032009000800006-scl","Fatores de risco para a gravidez na adolescência em uma maternidade-escola da Paraíba: estudo caso-controle","Amorim, Melania Maria Ramos, Lima, Lidiane de Araújo, Lopes, Camila Vigolvino, Araújo, Daniele Kelle Lopes de, Silva, Jéssica Guimarães Gomes, César, Larissa Cynthia, Melo, Adriana Suely de Oliveira","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 404-410","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800006&lang=pt" 
"S0100-72032009000800007-scl","Leiomioma uterino metastatizante benigno: relato de dois casos","Vieira, Sabas Carlos, França, Júlio César Queiroz de, Fé, João Araújo dos Martírios Moura, Santos, Lina Gomes dos, Almeida, Nayara Maria Gomes","Revista Brasileira de Ginecologia e Obstetrícia; 31(8); 411-414","Revista Brasileira de Ginecologia e Obstetrícia","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032009000800007&lang=pt" 
"S0066-782X2009000800001-scl","Arquivos e congresso reafirmam papel da SBC na promoção da educação","Chagas, Antonio Carlos Palandri","Arquivos Brasileiros de Cardiologia; 93(2); 75-75","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800001&lang=pt" 
"S0066-782X2009000800003-scl","Os dois Brasis e o tratamento do infarto agudo do miocárdio","Ribeiro, Antonio Luiz Pinho","Arquivos Brasileiros de Cardiologia; 93(2); 83-84","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800003&lang=pt" 
"S0066-782X2009000800021-scl","Caso 5/2009: lactente de 8 meses com insuficiência mitral por valva em arcada, em franca insuficiência cardíaca","Atik, Edmar","Arquivos Brasileiros de Cardiologia; 93(2); 200-201","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800021&lang=pt" 
"S0066-782X2009000800026-scl","Avaliação de esfigmomanômetros: uma proposta para excelência da medida da pressão arterial","Nobre, Fernando, Coelho, Eduardo Barbosa, Dallora, Maria Eulália Lessa do Valle, Figueiredo, Pio Antonio de, Ferreira, Ana Beatriz Fernandes, Rosa, Maria Alice Oliveira Ferreira da","Arquivos Brasileiros de Cardiologia; 93(2); e39-e41","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800026&lang=pt" 
"S0066-782X2009000800025-scl","Diagnóstico pré-natal de aneurisma e divertículo do ventrículo esquerdo","Barberato, Marcia F. A., Barberato, Silvio H., Binotto, Cristiane N., Cavalcanti, Mary Julianne M., Passos, Ana Paula, Miyague, Nelson I.","Arquivos Brasileiros de Cardiologia; 93(2); e36-e38","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800025&lang=pt" 
"S0066-782X2009000800024-scl","Características ecocardiográficas da cardiomiopatia não-compactada: diagnóstico perdido ou errôneo","Martínez-Baca López, Francisco, Alonso Bravo, Rosa Marisol, Rodríguez Huerta, Domingo Arturo","Arquivos Brasileiros de Cardiologia; 93(2); e33-e35","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800024&lang=pt" 
"S0066-782X2009000800023-scl","Angina de Prinzmetal","Contreras Zuniga, Eduardo, Gomez Mesa, Juan Esteban, Zuluaga Martinez, Sandra Ximena, Ocampo, Vanesa, Andres Urrea, Cristian","Arquivos Brasileiros de Cardiologia; 93(2); e30-e32","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800023&lang=pt" 
"S0066-782X2009000800017-scl","Sangramento durante a anticoagulação oral: alerta sobre um mal maior","Lavítola, Paulo de Lara, Spina, Guilherme Sobreira, Sampaio, Roney Orismar, Tarasoutchi, Flávio, Grinberg, Max","Arquivos Brasileiros de Cardiologia; 93(2); 174-179","Arquivos Brasileiros de Cardiologia","Inglês, Português, Espanhol","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2009000800017&lang=pt" 
