"S0074-02762016000700450-scl","Highly active ozonides selected against drug resistant malaria","Lobo, Lis, Sousa, Bruno de, Cabral, Lília, Cristiano, Maria LS, Nogueira, Fátima","Memórias do Instituto Oswaldo Cruz; 111(7); 450-453","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700450&lang=pt" 
"S0104-42302016000400307-scl","Evaluation of the symptoms and treatment prescribed to hospitalized patients","Roldi, Mariana da Silva, Moritz, Rachel Duarte","Revista da Associação Médica Brasileira; 62(4); 307-314","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400307&lang=pt" 
"S1909-30632016000200011-col","LA APLICACIÓN DE LAS TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN EN LA PREVENCIÓN COMUNITARIA DEL DELITO: LOS CASOS DE GEORREFERENCIACIÓN EN MONTERREY, MÉXICO","Aguirre Sala, Jorge Francisco","Revista de Relaciones Internacionales, Estrategia y Seguridad; 11(2); 239-270","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632016000200011&lang=pt" 
"S0104-42302016000400368-scl","The use of biomarkers in clinical osteoporosis","Cabral, Hebert Wilson Santos, Andolphi, Bruna Ferreira Galone, Ferreira, Brunna Vila Coutinho, Alves, Danielle Cristina Filgueira, Morelato, Renato Lírio, Chambo Filho, Antônio, Borges, Lizânia Spinassé","Revista da Associação Médica Brasileira; 62(4); 368-376","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400368&lang=pt" 
"S0104-42302016000400336-scl","Spatial data analysis and the use of maps in scientific health articles","Nucci, Luciana Bertoldi, Souccar, Patrick Theodore, Castilho, Silvia Diez","Revista da Associação Médica Brasileira; 62(4); 336-341","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400336&lang=pt" 
"S0104-42302016000400324-scl","Profile of pediatric eye trauma at Hospital de Base do Distrito Federal (HBDF), Brasília, Brazil","Rohr, Juliana Tessari Dias, Santos, Procópio Miguel dos, Santos, Regina Candido Ribeiro dos, Vieira, Camila Viana, Fé, Lylian Moura, Solano, Rodrigo Luis, Reis, Túlio Frade, Leão, Marcell de Oliveira, Guimarães, Vinícius da Costa","Revista da Associação Médica Brasileira; 62(4); 324-329","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400324&lang=pt" 
"S0104-42302016000400385-scl","ERRATA","","Revista da Associação Médica Brasileira; 62(4); 385-385","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400385&lang=pt" 
"S0074-02762016000700417-scl","Analysis of the genetic diversity of Candida isolates obtained from diabetic patients and kidney transplant recipients","Benedetti, Volmir Pitt, Savi, Daiani Cristina, Aluizio, Rodrigo, Adamoski, Douglas, Kava-Cordeiro, Vanessa, Galli-Terasawa, Lygia V, Glienke, Chirlei","Memórias do Instituto Oswaldo Cruz; 111(7); 417-422","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700417&lang=pt" 
"S0104-42302016000400347-scl","Family history of cardiovascular disease and non-HDL cholesterol in prepubescent non-obese children","Strufaldi, Maria Wany Louzada, Souza, Fabíola Isabel Suano de, Puccini, Rosana Fiorini, Franco, Maria do Carmo Pinho","Revista da Associação Médica Brasileira; 62(4); 347-352","Revista da Associação Médica Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302016000400347&lang=pt" 
"S0074-02762016000700433-scl","Spatial modeling of cutaneous leishmaniasis in the Andean region of Colombia","Pérez-Flórez, Mauricio, Ocampo, Clara Beatriz, Valderrama-Ardila, Carlos, Alexander, Neal","Memórias do Instituto Oswaldo Cruz; 111(7); 433-442","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700433&lang=pt" 
"S0074-02762016000700484-scl","Conidial germination in Scedosporium apiospermum, S. aurantiacum, S. minutisporum and Lomentospora prolificans: influence of growth conditions and antifungal susceptibility profiles","Mello, Thaís Pereira de, Aor, Ana Carolina, Oliveira, Simone Santiago Carvalho de, Branquinha, Marta Helena, Santos, André Luis Souza dos","Memórias do Instituto Oswaldo Cruz; 111(7); 484-494","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700484&lang=pt" 
"S0074-02762016000700423-scl","Phlebotomine sandfly (Diptera: Psychodidae) diversity and their Leishmania DNA in a hot spot of American Cutaneous Leishmaniasis human cases along the Brazilian border with Peru and Bolivia","Teles, Carolina Bioni Garcia, Santos, Ana Paula de Azevedo dos, Freitas, Rui Alves, Oliveira, Arley Faria José de, Ogawa, Guilherme Maerschner, Rodrigues, Moreno Souza, Pessoa, Felipe Arley Costa, Medeiros, Jansen Fernandes, Camargo, Luís Marcelo Aranha","Memórias do Instituto Oswaldo Cruz; 111(7); 423-432","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700423&lang=pt" 
"S0074-02762016000700460-scl","HSP70 of Leishmania amazonensis alters resistance to different stresses and mitochondrial bioenergetics","Codonho, Bárbara Santoni, Costa, Solange dos Santos, Peloso, Eduardo de Figueiredo, Joazeiro, Paulo Pinto, Gadelha, Fernanda Ramos, Giorgio, Selma","Memórias do Instituto Oswaldo Cruz; 111(7); 460-468","Memórias do Instituto Oswaldo Cruz","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762016000700460&lang=pt" 
"S1413-81232016000702147-scl","Tuberculose em presídios brasileiros: uma revisão integrativa da literatura","Valença, Mariana Soares, Possuelo, Lia Gonçalves, Cezar-Vaz, Marta Regina, Silva, Pedro Eduardo Almeida da","Ciência &amp; Saúde Coletiva; 21(7); 2147-2160","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702147&lang=pt" 
"S1413-81232016000702051-scl","Health issues of incarcerated women in the United States","Mignon, Sylvia","Ciência &amp; Saúde Coletiva; 21(7); 2051-2060","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702051&lang=pt" 
"S1413-81232016000702179-spa","The impact of insecticides management linked with resistance expression in Anopheles spp. populations","Silva, Guilherme Liberato da, Pereira, Thiago Nunes, Ferla, Noeli Juarez, Silva, Onilda Santos da","Ciência &amp; Saúde Coletiva; 21(7); 2179-2188","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000702179&lang=pt" 
"S1413-81232016000702179-scl","The impact of insecticides management linked with resistance expression in Anopheles spp. populations","Silva, Guilherme Liberato da, Pereira, Thiago Nunes, Ferla, Noeli Juarez, Silva, Onilda Santos da","Ciência &amp; Saúde Coletiva; 21(7); 2179-2188","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702179&lang=pt" 
"S1413-81232016000702135-scl","Sofrimento psíquico e estresse no trabalho de agentes penitenciários: uma revisão da literatura","Bezerra, Cláudia de Magalhães, Assis, Simone Gonçalves de, Constantino, Patricia","Ciência &amp; Saúde Coletiva; 21(7); 2135-2146","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702135&lang=pt" 
"S1413-81232016000702071-scl","Controle da tuberculose nas prisões, da pesquisa à ação: a experiência do Rio de Janeiro, Brasil","Sánchez, Alexandra, Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2071-2080","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702071&lang=pt" 
"S1413-81232016000702275-scl","Insegurança alimentar e consumo alimentar inadequado em escolares da rede municipal de São Leopoldo, RS, Brasil","Ruschel, Letícia Fialho, Henn, Ruth Liane, Backes, Vanessa, Melo, Priscila de, Marques, Luana Araújo da Silva, Olinto, Maria Teresa Anselmo","Ciência &amp; Saúde Coletiva; 21(7); 2275-2286","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702275&lang=pt" 
"S0122-06672016000200006-col","Obesidad y cáncer: fisiopatología y evidencia epidemiológica","Sepúlveda Fonseca, Jefersson David, Quintero Farías, Ricardo Andrés","Revista Médica de Risaralda; 22(2); 91-97","Revista Médica de Risaralda","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-06672016000200006&lang=pt" 
"S0717-68482016000100001-chl","PRESENTACIÓN","Aedo Fuentes, María Teresa","Acta literaria; (52); 7-12","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100001&lang=pt" 
"S0717-68482016000100010-chl","BOMBAL, CON OJOS NUEVOS","Amaro Castro, Lorena","Acta literaria; (52); 185-190","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100010&lang=pt" 
"S0717-68482016000100008-chl","CONJETURAS SOBRE EL LENGUAJE, EXPERIMENTACIÓN POÉTICA: DE LA NARRATIVA DE BORGES A LA OBRA DE HUIDOBRO, VALLEJO Y GIRONDO","Rivas Nielsen, Niels","Acta literaria; (52); 145-161","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100008&lang=pt" 
"S1415-43662016000700612-scl","Growth of Leucaena leucocephala (Lam.) de Wit favored by organic waste in the Brazilian semiarid region","Amaral, Francisco H. C., Nóbrega, Júlio C. A., Nóbrega, Rafaela S. A., Filho, José F. Lustosa, Amorim, Sarah P. do N.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 612-617","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700612&lang=pt" 
"S1415-43662016000700643-scl","Potassium fertilizer applied by different methods in the zucchini crop","Fernandes, Carlos N. V., Azevedo, Benito M. de, Camargo, Débora C., Dias, Chrislene N., Rebouças Neto, Mario de O., Costa, Fellype R. B.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 643-648","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700643&lang=pt" 
"S1415-43662016000700625-scl","Humic substances, purified MAP and hydrogel in the development and survival of Eucalyptus urograndis","Silva, Rodrigo J. da, Ferreira Junior, José M., Silva, Flavia A., Santos, Antonio C. M. dos, Lima, Saulo de O., Silva, Rubens R. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 625-629","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700625&lang=pt" 
"S1415-43662016000700595-scl","Biological treatment of drippers clogged by the use of treated domestic wastewater","Costa, Danniely O., Batista, Rafael O., Vale, Hudson S. M., Sousa, Amanda B. de, Dombroski, Solange A. G., Alves, Sandra M. C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 595-599","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700595&lang=pt" 
"S1415-43662016000700678-scl","Stability of cashew apple juice in powder dehydrated in spouted bed","Sousa, Sanyelle L., Morais, Brena A. de, Ribeiro, Luciana C., Costa, José M. C. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 678-682","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700678&lang=pt" 
"S0717-68482016000100004-chl","UNA MUCHACHA MUY BELLA DE JULIÁN LÓPEZ, O EL GESTO REPARADOR DE LA ESCRITURA","LOGIE, ILSE","Acta literaria; (52); 59-79","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100004&lang=pt" 
"S1415-43662016000700654-scl","Agronomic aspects of soybean plants subjected to deficit irrigation","Nunes, Antônia C., Bezerra, Francisco M. L., Silva, Roberta A. e, Silva Júnior, José L. C. da, Gonçalves, Flávia B., Santos, Geovana A.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 654-659","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700654&lang=pt" 
"S0717-68482016000100009-chl","HOMO FEMINAE LUPUS: LA REPRESENTACIÓN DE UNA CIUDADANÍA ANTROPOFÁGICA EN LA POESÍA CHILENA DE POSGOLPE","Salinas, Francisco Simon","Acta literaria; (52); 163-183","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100009&lang=pt" 
"S0717-68482016000100002-chl","ENTRE LOS ABISMOS DE LA INSPIRACIÓN Y LOS PARAÍSOS ARTIFICIALES: CAMPO DE AMAPOLAS BLANCAS DE GONZALO HIDALGO BAYAL","Calvo Revilla, Ana","Acta literaria; (52); 13-32","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100002&lang=pt" 
"S0717-68482016000100003-chl","UN DETECTIVE TRAS LA PISTA DE FEMINICIDIOS: EL LEVE ALIENTO DE LA VERDAD DE RAMÓN DÍAZ ETEROVIC","VASQUEZ MEJÍAS, AINHOA","Acta literaria; (52); 33-57","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100003&lang=pt" 
"S1415-43662016000700672-scl","Drying kinetics of atemoya pulp","Galdino, Plúvia O., Figueirêdo, Rossana M. F. de, Queiroz, Alexandre J. de M., Galdino, Pablícia O.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 672-677","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700672&lang=pt" 
"S1415-43662016000700637-scl","Water use efficiency and economic return of fresh vegetable in organic cultivation","Carvalho, Daniel F. de, Pinto, Marinaldo F., Monte, José A., Mello, Gabriel A. B. de, Sousa, Camila P. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 637-642","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700637&lang=pt" 
"S1415-43662016000700630-scl","Accumulation of macronutrients in different parts of sunflower fertilized with cassava wastewater","Dantas, Mara S. M., Rolim, Mario M., Pedrosa, Elvira M. R., Bezerra Neto, Egídio, Silva, Gerônimo F. da, Silva, Ênio F. de F. e","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 630-636","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700630&lang=pt" 
"S1415-43662016000700600-scl","Assessment methodology of backwash in pressurized sand filters","Deus, Fábio P. de, Testezlaf, Roberto, Mesquita, Marcio","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 600-605","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700600&lang=pt" 
"S1415-43662016000700660-scl","Calidad del aire en galpón avícola con ventilación natural durante la fase de pollitos","Osorio H., Robinson, Tinoco, Ilda F. F., Osorio S., Jairo A., Souza, Cecília de F., Coelho, Diogo J. de R., Sousa, Fernanda C. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 660-665","Revista Brasileira de Engenharia Agrícola e Ambiental","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700660&lang=pt" 
"S1415-43662016000700606-scl","Maize response to inoculation with strains of plant growth-promoting bactéria","Dartora, Janaína, Guimarães, Vandeir F., Menezes, Cid R. J., Freiberger, Mariângela B., Castoldi, Gustavo, Gonçalves, Edilaine. D. V.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 606-611","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700606&lang=pt" 
"S0717-68482016000100005-chl","TRANSCULTURACIÓN NARRATIVA: UTOPÍA PROGRAMÁTICA MODERNIZANTE","Herrera Pardo, Hugo","Acta literaria; (52); 81-101","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100005&lang=pt" 
"S1415-43662016000700618-scl","Spatial variability of Regosol chemical atributes in guava management with neem under semi-arid conditions","Castro, Douglas B., Pedrosa, Elvira M. R., Montenegro, Abelardo A. A., Rolim, Mario M., Leitão, Diego A. H. S., Oliveira, Ana Karina S.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 618-624","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700618&lang=pt" 
"S0717-68482016000100011-chl","Medina, Rubén (coord.). Perros habitados por las voces del desierto.","Acero, Nibaldo","Acta literaria; (52); 191-197","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100011&lang=pt" 
"S0717-68482016000100012-chl","Carolina Pizarro Cortés. Nuevos cronistas de Indias. Historia y liberación en la narrativa latinoamericana contemporánea.","Morong Reyes, Germán","Acta literaria; (52); 199-204","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100012&lang=pt" 
"S1415-43662016000700649-scl","Saline stress and temperatures on germination and vigor of Piptadenia moniliformis Benth. Seeds","Pereira, Francisco E. C. B., Medeiros Filho, Sebastião, Torres, Salvador B., Martins, Cibele C., Brito, Selma F. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 649-653","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700649&lang=pt" 
"S0717-68482016000100006-chl","LA AUTOFICCIÓN: UNA APROXIMACIÓN TEÓRICA. ENTRE LA RETÓRICA DE LA MEMORIA Y LA ESCRITURA DE RECUERDOS","MUSITANO, JULIA","Acta literaria; (52); 103-123","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100006&lang=pt" 
"S1415-43662016000700666-scl","Preservation of roasted and ground coffee during storage. Part 2: Bulk density and intergranular porosity","Corrêa, Paulo C., Oliveira, Gabriel H. H. de, Vasconcelos, Wander L., Vargas-Elías, Guillermo A., Santos, Fábio L., Nunes, Eduardo H. M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 20(7); 666-671","Revista Brasileira de Engenharia Agrícola e Ambiental","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662016000700666&lang=pt" 
"S0717-68482016000100007-chl","DEL SÍMBOLO A LA METONIMIA VÍA KAFKA: MUNDO ANIMAL DE ANTONIO DI BENEDETTO","Arce, Rafael","Acta literaria; (52); 125-144","Acta literaria","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482016000100007&lang=pt" 
"S1516-35982016000700409-scl","Economic analysis of dairy cattle farms in east Mediterranean region of Turkey","Yilmaz, Hilal, Gül, Mevlüt, Akkoyun, Selcan, Parlakay, Oguz, Bilgili, Mehmet Emin, Vurarak, Yasemin, Hizli, Hatice, Kilicalp, Numan","Revista Brasileira de Zootecnia; 45(7); 409-416","Revista Brasileira de Zootecnia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982016000700409&lang=pt" 
"S1807-59322016000700392-scl","Evaluation of pulmonary sequestration with multidetector computed tomography angiography in a select cohort of patients: A retrospective study","Long, Qihua, Zha, Yunfei, Yang, Zhigang","Clinics; 71(7); 392-398","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700392&lang=pt" 
"S1807-59322016000700375-scl","Association of hemoglobin with ankle-brachial index in general population","Chenglong, Zhang, Jing, Lei, Xia, Ke, Yang, Tianlun","Clinics; 71(7); 375-380","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700375&lang=pt" 
"S1807-59322016000700412-scl","Temporal profile of intestinal tissue expression of intestinal fatty acid-binding protein in a rat model of necrotizing enterocolitis","Simões, Ana Leda Bertoncini, Figueira, Rebeca Lopes, Gonçalves, Frances Lilian Lanhellas, Mitidiero, Luís Felipe Tsuyoshi, Silva, Orlando Castro e, Peiró, José Luis, Sbragia, Lourenço","Clinics; 71(7); 412-419","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700412&lang=pt" 
"S1807-59322016000700399-scl","The Incidence and Prevalence of Thromboangiitis Obliterans in Taiwan: A Nationwide, Population-based Analysis of Data Collected from 2002 to 2011","Zheng, Jie-Fu, Chen, Yi-Ming, Chen, Der-Yuan, Lin, Ching-Heng, Chen, Hsin-Hua","Clinics; 71(7); 399-403","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700399&lang=pt" 
"S1807-59322016000700381-scl","Factors associated with the need for ventilation at birth of neonates weighing ≥2,500 g","Sousa, José Roberto Pereira de, Leite, Álvaro Jorge Madeiro, Sanudo, Adriana, Guinsburg, Ruth","Clinics; 71(7); 381-386","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700381&lang=pt" 
"S1807-59322016000700365-scl","The Lowest Prevalence of Cholelithiasis in the Americas - An Autopsy-based Study","Asperti, André Marangoni, Reis, Paulo, Diniz, Marcio Augusto, Pinto, Mariana Dourado, Silva Júnior, Edinésio Carlos da, Silva, Danilo Felipe Dias da, D’Albuquerque, Luiz Augusto Carneiro, Andraus, Wellington","Clinics; 71(7); 365-369","Clinics","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322016000700365&lang=pt" 
