"S1130-01082010000800016-esp","On time to veto the use of the word &quot;appendagitis&quot;?","Morera Ocón, F. J.","Revista Española de Enfermedades Digestivas; 102(8); 513-513","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800016&lang=pt" 
"S1870-34532010000200021-mex","Distribución altitudinal de las aves en una zona prioritaria en Sinaloa y Durango, México","Medina-Macías, Ma Nelle, González-Bernal, Marco Antonio, Navarro-Sigüenza, Adolfo G.","Revista mexicana de biodiversidad; 81(2); 487-503","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200021&lang=pt" 
"S1870-34532010000200022-mex","Depredación de aves marinas nocturnas en islotes de isla Guadalupe, México","Mellink, Eric","Revista mexicana de biodiversidad; 81(2); 505-509","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200022&lang=pt" 
"S1870-34532010000200023-mex","Biodiversity conservation in Costa Rica: a correspondence analysis between identified biodiversity hotspots (Araceae, Arecaceae, Bromeliaceae, and Scarabaeinae) and conservation priority life zones","Kohlmann, Bert, Roderus, David, Elle, Ortwin, Solís, Ángel, Soto, Xinia, Russo, Ricardo","Revista mexicana de biodiversidad; 81(2); 511-559","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200023&lang=pt" 
"S1870-34532010000200024-mex","Patrones biogeográficos de la avifauna de la Sierra Madre del Sur","Blancas-Calva, Epifanio, Navarro-Sigüenza, Adolfo G., Morrone, Juan J.","Revista mexicana de biodiversidad; 81(2); 561-568","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200024&lang=pt" 
"S1870-34532010000200025-mex","Infection status of the estuarine turtles Kinosternon integrum and Trachemys scripta with Gnathostoma binucleatum in Sinaloa, Mexico","Díaz-Camacho, Sylvia Páz, de la Cruz-Otero, María del Carmen, Torres-Montoya, Edith Hilario, Sánchez-Gonzales, Sergio, Delgado-Vargas, Francisco, Nawa, Yukifumi","Revista mexicana de biodiversidad; 81(2); 569-571","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200025&lang=pt" 
"S1870-34532010000200026-mex","Riesgo de establecimiento del gasterópodo dulceacuícola invasor Melanoides tuberculatus (Thiaridae) en el Río de la Plata (Argentina-Uruguay)","Gutiérrez-Gregoric, Diego E., Vogler, Roberto E.","Revista mexicana de biodiversidad; 81(2); 573-577","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200026&lang=pt" 
"S1870-34532010000200027-mex","Ampliación del ámbito geográfico-altitudinal de Duellmanohyla chamulae (Amphibia: Hylidae) y primer registro para la anfibiofauna de Veracruz","Aguilar-López, José Luis, Pineda, Eduardo, García-Vázquez, Uri","Revista mexicana de biodiversidad; 81(2); 579-580","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200027&lang=pt" 
"S1870-34532010000200028-mex","New record of sheep frog (Hypopachus variolosus) in the Tres Marías Islands archipelago, Nayarit, Mexico","de la Torre, J. Antonio, López-Damián, Leonardo J., Bárcenas, Horacio V., Nájera-Solís, Edith, Medellín, Rodrigo A.","Revista mexicana de biodiversidad; 81(2); 581-582","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200028&lang=pt" 
"S1870-34532010000200029-mex","Primer registro de una colonia de Leptonycteris curasoae (Chiroptera: Phyllostomidae) en Baja California, México","Guevara-Carrizales, Aldo A., Martínez-Gallardo, Roberto, Moreno-Valdez, Arnulfo","Revista mexicana de biodiversidad; 81(2); 583-595","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200029&lang=pt" 
"S1870-34532010000200003-mex","Estudio florístico de Ficus (Moraceae) en el estado de Guerrero, México","Durán-Ramírez, Carlos Alberto, Fonseca-Juárez, Rosa María, Ibarra-Manríquez, Guillermo","Revista mexicana de biodiversidad; 81(2); 239-262","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200003&lang=pt" 
"S1870-34532010000200030-mex","¿Es posible la recuperación de especies silvestres extintas a través de la transferencia somática nuclear?","López-Saucedo, Janet, Ramón-Ugalde, Julio P., Piña-Aguilar, Raúl E.","Revista mexicana de biodiversidad; 81(2); 587-589","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200030&lang=pt" 
"S1870-34532010000200031-mex","Comparative biogeography: discovering and classifying biogeographical patterns of a dynamic Earth","Escalante, Tania, Morrone, Juan J.","Revista mexicana de biodiversidad; 81(2); 587-589","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200031&lang=pt" 
"S1870-34532010000200032-mex","","Contreras-Ramos, Atilano","Revista mexicana de biodiversidad; 81(2); 593-595","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200032&lang=pt" 
"S1870-34532010000200033-mex","Forma versus función: historia de la homología y la analogía","Morrone, Juan J.","Revista mexicana de biodiversidad; 81(2); 597-598","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200033&lang=pt" 
"S1870-34532010000200034-mex","Fe de erratas","","Revista mexicana de biodiversidad; 81(2); 599-599","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200034&lang=pt" 
"S1870-34532010000200004-mex","Relaciones filogenéticas de la subtribu Oncidiinae (Orchidaceae) inferidas a partir de caracteres estructurales y secuencias de ADN (ITS y matK): un enfoque combinado","Sandoval-Zapotitla, Estela, García-Cruz, Javier, Terrazas, Teresa, Villaseñor, José Luis","Revista mexicana de biodiversidad; 81(2); 263-279","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200004&lang=pt" 
"S1870-34532010000200005-mex","New host records for Anenterotrematidae, Lecithodendriidae and Urotrematidae trematodes in bats from Argentina, with redescription of Anenterotrema liliputianum","Lunaschi, Lía I., Notarnicola, Juliana","Revista mexicana de biodiversidad; 81(2); 281-287","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200005&lang=pt" 
"S1870-34532010000200006-mex","The genus Ixodes (Acari: Ixodidae) in Mexico: adult identification keys, diagnoses, hosts, and distribution","Guzmán-Cornejo, Carmen, Robbins, Richard G.","Revista mexicana de biodiversidad; 81(2); 289-298","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200006&lang=pt" 
"S1870-34532010000200007-mex","The species description process of North and Central American Geotrupinae (Coleoptera: Scarabaeoidea: Geotrupidae)","Trotta-Moreu, Nuria, Cabrero-Sañudo, Francisco José","Revista mexicana de biodiversidad; 81(2); 299-308","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200007&lang=pt" 
"S1870-34532010000200008-mex","New Lachesilla (Psocodea: &#039;Psocoptera&#039;: Lachesillidae) from Peru and Mexico, based on males with one clunial apophysis","García Aldrete, Alfonso N.","Revista mexicana de biodiversidad; 81(2); 309-314","Revista mexicana de biodiversidad","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200008&lang=pt" 
"S1870-34532010000200009-mex","Composición faunística y fenología de las mariposas (Rhopalocera: Papilionoidea) de Cañón de Lobos, Yautepec, Morelos, México","Luna-Reyes, María de las Mercedes, Llorente-Bousquets, Jorge, Luis-Martínez, Armando, Vargas-Fernández, Isabel","Revista mexicana de biodiversidad; 81(2); 315-342","Revista mexicana de biodiversidad","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-34532010000200009&lang=pt" 
"S1130-01082010000800006-esp","Multiple non-metastatic gastrointestinal stromal tumors: Differential features","Díaz Delgado, M., Hernández Amate, A., Sánchez León, M., Pereira Gallardo, S., Prieto Sánchez, E., Jiménez Sáenz, M., González-Cámpora, R.","Revista Española de Enfermedades Digestivas; 102(8); 489-497","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800006&lang=pt" 
"S0718-34372010000200001-chl","LA REVISTA CHILENA DE DERECHO EN EL BICENTENARIO","Vivanco Martínez, Ángela","Revista chilena de derecho; 37(2); 205-206","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200001&lang=pt" 
"S0718-34372010000200002-chl","INDICACIONES GEOGRÁFICAS Y DENOMINACIONES DE ORIGEN: PROPIEDAD INTELECTUAL EN PROGRESO","Errázuriz Tortorelli, Cristina","Revista chilena de derecho; 37(2); 207-239","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200002&lang=pt" 
"S0718-34372010000200003-chl","SOBRE EL CONCEPTO DE VICIO REDHIBITORIO EN LA COMPRAVENTA: ANÁLISIS COMPARADO DE LA JURISPRUDENCIA CHILENA Y COLOMBIANA","Oviedo Albán, Jorge","Revista chilena de derecho; 37(2); 241-296","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200003&lang=pt" 
"S0718-34372010000200004-chl","UN MARCO CONSTITUCIONAL PARA LOS TRATAMIENTOS MÉDICOS DE NIÑOS, NIÑAS Y ADOLESCENTES","Díaz de Valdés J, José Manuel","Revista chilena de derecho; 37(2); 271-310","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200004&lang=pt" 
"S0718-34372010000200005-chl","SUPUESTOS CONFLICTOS DE DERECHOS HUMANOS Y LA ESPECIFICACIÓN DE LA ACCIÓN MORAL","Orrego Sanchez, Cristóbal","Revista chilena de derecho; 37(2); 311-342","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200005&lang=pt" 
"S0718-34372010000200006-chl","COMPATIBILIDAD ENTRE EL DERECHO A LA LIBRE CONTRATACIÓN Y LA FIJACIÓN DE SALARIOS POR LEY (A PROPÓSITO DE LA LEY N° 20.281 SOBRE SUELDO BASE)","Fermandois Vohringer, Arturo, García García, José Francisco","Revista chilena de derecho; 37(2); 343-376","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200006&lang=pt" 
"S0718-34372010000200007-chl","LOS REQUISITOS QUE CONFIGURAN LA &quot;INTERVENCIÓN EN CONFLICTOS LABORALES&quot; Y LA &quot;INCITACIÓN A LA ALTERACIÓN DEL ORDEN PÚBLICO&quot;, EN LAS CAUSALES DE CESACIÓN EN EL CARGO DE PARLAMENTARIO","Ahumada Canabes, Marcela","Revista chilena de derecho; 37(2); 377-392","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200007&lang=pt" 
"S0718-34372010000200008-chl","MARTÍ MARTÍ, JOAQUIM (2008), LA DEFENSA FRENTE A LA CONTAMINACIÓN ACÚSTICA Y OTRAS INMISIONES","Amunátegui Perelló, Carlos Felipe","Revista chilena de derecho; 37(2); 393-396","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200008&lang=pt" 
"S0718-34372010000200009-chl","CALVO ESPIGA, A., EL MATRIMONIO ENTRE ESCILA Y CARIBDIS. HISTORIA Y LIMITES DE SU PROCESO SECULARIZADOR EN EL ORDENAMIENTO ESPAÑOL","Meléndez-Valdés Navas, Marina, Parody Navarro, J. Antonio","Revista chilena de derecho; 37(2); 397-399","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200009&lang=pt" 
"S0718-34372010000200010-chl","200 Años de Desarrollo Jurídico en el Chile Republicano: Notas para un balance","García-Huidobro Becerra, Cristóbal","Revista chilena de derecho; 37(2); 401-403","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200010&lang=pt" 
"S0718-34372010000200011-chl","LA FUERZA VINCULANTE DE LAS SENTENCIAS CONSTITUCIONALES Y EL RECONOCIMIENTO DE DERECHOS FUNDAMENTALES.: A PROPÓSITO DE LA LEY SOBRE REGULACIÓN DE LA FERTILIDAD","CARREÑO PAVEZ, GONZALO, JARAQUEMADA ROBLERO, JORGE","Revista chilena de derecho; 37(2); 405-419","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200011&lang=pt" 
"S0718-34372010000200012-chl","UN CAMBIO DE JURISPRUDENCIA ADMINISTRATIVA SOBRE EL ARTÍCULO 54 LETRA C) DE LA LEY 18.575","PRECHT PIZARRO, JORGE","Revista chilena de derecho; 37(2); 421-422","Revista chilena de derecho","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372010000200012&lang=pt" 
"S0123-12942010000200001-col","","Parra-Moreno, Ciro","Educación y Educadores; 13(2); 181-181","Educación y Educadores","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942010000200001&lang=pt" 
"S0123-12942010000200002-col","Factores asociados a la calidad en las facultades de Derecho de alto rendimiento académico en Colombia","Flórez-Peña, Teresa, Rojas-Cristancho, José Miguel","Educación y Educadores; 13(2); 185-197","Educación y Educadores","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-12942010000200002&lang=pt" 
"S1130-01082010000800002-esp","Coeliac disease: clinical features in adult populations","Fernández, A., González, L., Fuente, J. de la","Revista Española de Enfermedades Digestivas; 102(8); 466-471","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000800002&lang=pt" 
"S0212-16112010000400013-esp","Food habits and nutritional status of adolescents in Emilia-Romagna, Italy","Toselli, S., Argnani, L., Canducci, E., Ricci, E., Gualdi-Russo, E.","Nutrición Hospitalaria; 25(4); 613-621","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400013&lang=pt" 
"S0212-16112010000400012-esp","Estudio comparativo de dos dietas enterales en ancianos hospitalizados: proteína de soja frente a proteína caseína","García-Talavera Espín, N. V., Gómez Sánchez, M.ª B., Zomeño Ros, A. I., Nicolás Hernández, M., González Valverde, F. M., Gómez Ramos, M.ª J., Sánchez Álvarez, C.","Nutrición Hospitalaria; 25(4); 606-612","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400012&lang=pt" 
"S0212-16112010000400001-esp","El grupo de trabajo de ética de la SENPE","Álvarez Hernández, J., Moreno Villares, J. M., Culebras, J. M.","Nutrición Hospitalaria; 25(4); 533-534","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400001&lang=pt" 
"S0212-16112010000400021-esp","Evaluación nutricional comparada del adulto mayor en consultas de medicina familiar","Calderón Reyes, M. E., Ibarra Ramírez, F., García, J., Gómez Alonso, C., Rodríguez-Orozco, A. R.","Nutrición Hospitalaria; 25(4); 669-675","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400021&lang=pt" 
"S0212-16112010000400022-esp","Estado nutricional en ancianos con fractura de cadera","Pérez Durillo, F. T., Ruiz López, M.ª D., Bouzas, P. R., Martín-Lagos, A.","Nutrición Hospitalaria; 25(4); 676-681","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400022&lang=pt" 
"S0212-16112010000400024-esp","Ingesta dietética en un grupo de pacientes fumadores de marihuana","Luis, D. A. De, Armentia, A., Muñoz, P. L., Dueñas-Laita, A., Martín, B., Fuente, B. De la, Izaola, O.","Nutrición Hospitalaria; 25(4); 688-691","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400024&lang=pt" 
"S0212-16112010000400010-esp","Life quality of postsurgical patients with colorectal cancer after supplemented diet with agaricus sylvaticus fungus","Costa Fortes, R., Lacorte Recôva, V., Lima Melo, A., Carvalho Garbi Novaes, M.ª R.","Nutrición Hospitalaria; 25(4); 586-596","Nutrición Hospitalaria","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400010&lang=pt" 
"S0212-16112010000400005-esp","Efecto de un suplemento nutricional oral hiperproteico en pacientes desnutridos ubicados en residencias geriátricas","Ordóñez, J., Antonio Veira, J. A. De, Pou Soler, C., Navarro Calero, J., Rubio Navarro, J., Marcos Olivares, S., López Ventura, M.","Nutrición Hospitalaria; 25(4); 549-554","Nutrición Hospitalaria","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0212-16112010000400005&lang=pt" 
