"S0103-64402012000300009-scl","Supragingival plaque removal with and without dentifrice: a randomized controlled clinical trial","Zanatta, Fabricio B., Antoniazzi, Raquel P., Pinto, Tatiana M. P., Rösing, Cassiano K.","Brazilian Dental Journal; 23(3); 235-240","Brazilian Dental Journal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402012000300009&lang=pt" 
"S0211-69952012000500030-esp","Minimal change disease following influenza vaccination and acute renal failure: just a coincidence?","Gutiérrez, Silvina, Dotto, Beatriz, Petiti, Juan P., Paul, Ana L. De, Dionisio de Cabalier, M. Elisa, Torres, Alicia I., Mukdsi, Jorge H.","Nefrología (Madrid); 32(3); 414-415","Nefrología (Madrid)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500030&lang=pt" 
"S0211-69952012000500009-esp","Tratamiento eficaz de la arteriolopatía urémica calcificante con bifosfonatos","Torregrosa, José V., Durán, Carlos E., Barros, Xoana, Blasco, Miquel, Arias, Marta, Cases, Aleix, Campistol, Josep M.","Nefrología (Madrid); 32(3); 329-334","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500009&lang=pt" 
"S0211-69952012000500013-esp","Factores determinantes de una baja dosis de hemodiálisis establecida por dialisancia iónica en pacientes críticos con insuficiencia renal aguda","Rosa-Diez, Guillermo, Greloni, Gustavo, Crucelegui, María, Bedini-Roca, Mariela, Heredia-Martínez, Agustina, Coli, M. Luisa, Giannasi, Sergio, San-Román, Eduardo, Pizarro, Rodolfo, Belzitti, César, Algranati, Salomón, Heguilen, Ricardo","Nefrología (Madrid); 32(3); 359-366","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500013&lang=pt" 
"S0211-69952012000500023-esp","Monitorización en hemodiálisis en el Hospital de Cabueñes","Suárez-Laurés, Ana, Quiñones-Ortiz, Luis, Torre-Fernández, Miguel de la, Torres-Lacalle, Adolfo, Pablos-Pablo, Montse de, Puccini, Susana, Forascepi-Roza, Ramón","Nefrología (Madrid); 32(3); 402-403","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500023&lang=pt" 
"S0211-69952012000500008-esp","Uso del sirolimus en pacientes con síndrome nefrótico córtico-resistente primario","Liern, Miguel, Dereyes, Verónica, Fayad, Alicia, Vallejo, Graciela","Nefrología (Madrid); 32(3); 321-328","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500008&lang=pt" 
"S0211-69952012000500010-esp","Is there impact of mortality prior hemodialysis therapy in peritoneal dialysis patients?","Koc, Yener, Unsal, Abdulkadir, Basturk, Taner, Sakaci, Tamer, Ahbap-Dal, Elbis, Sinangil-Arar, Ayse, Kose-Budak, Sennur, Kayabasi, Hasan","Nefrología (Madrid); 32(3); 335-342","Nefrología (Madrid)","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500010&lang=pt" 
"S0211-69952012000500017-esp","Análisis de concordancia entre la bioimpedancia vectorial y la espectroscópica","Teruel-Briones, José L., Fernández-Lucas, Milagros, Ruiz-Roso, Gloria, Sánchez-Ramírez, Humberto, Rivera-Gorrin, Maite, Gomis-Couto, Antonio, Rodríguez-Mendiola, Nuria, Quereda, Carlos","Nefrología (Madrid); 32(3); 389-395","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500017&lang=pt" 
"S0211-69952012000500026-esp","Ascitis nefrogénica: ¿una entidad del pasado?","Díaz-Mancebo, Raquel, Sánchez-Villanueva, Rafael, González-García, Elena, Ossorio-González, Marta, Selgas-Gutiérrez, Rafael","Nefrología (Madrid); 32(3); 406-408","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500026&lang=pt" 
"S0211-69952012000500021-esp","Efectos de la suspensión de IECA y ARAII en enfermedad crónica avanzada","Díaz-Domínguez, Martha E., Fernández-Lucas, Milagros, Gomis-Couto, Antonio, Ruiz-Roso, Gloria, Teruel, José L., Quereda, Carlos","Nefrología (Madrid); 32(3); 400-401","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500021&lang=pt" 
"S0211-69952012000500029-esp","Nefropatía por cambios mínimos en el lupus eritematoso sistémico","Redondo-Pachón, M. Dolores, Enríquez, Ricardo, Sirvent, Ana E., Andrada, Encarna, Millán, Isabel, Amorós, Francisco","Nefrología (Madrid); 32(3); 412-413","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500029&lang=pt" 
"S0211-69952012000500028-esp","Colangitis esclerosante primaria y nefropatía intersticial: ¿una asociación emergente?","Heras, Manuel, Saiz, Ana, Fernández-Reyes, M. José, Sánchez, Rosa, Molina, Álvaro, Rodríguez, M. Astrid, Álvarez-Ude, Fernando","Nefrología (Madrid); 32(3); 410-412","Nefrología (Madrid)","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0211-69952012000500028&lang=pt" 
"S1414-98932012000200001-scl","Editorial","","Psicologia: Ciência e Profissão; 32(2); 272-272","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200001&lang=pt" 
"S1414-98932012000200012-scl","Afetividade, conflito familiar e problemas de comportamento em pré-escolares de famílias de baixa renda: visão de mães e professoras","Rohenkohl, Lia Mara Inês Albertoni, Castro, Elisa Kern de","Psicologia: Ciência e Profissão; 32(2); 438-451","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200012&lang=pt" 
"S1414-98932012000200014-scl","Psicossomática, gestação e diabetes: um estudo de caso","Barbosa, Roselaine Fernanda, Duarte, Cláudia Aparecida Marchetti, Santos, Laise Potério dos","Psicologia: Ciência e Profissão; 32(2); 472-483","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200014&lang=pt" 
"S1414-98932012000200002-scl","A escolha profissional no direcionamento da carreira dos universitários","Dias, Maria Sara de Lima, Soares, Dulce Helena Penna","Psicologia: Ciência e Profissão; 32(2); 272-283","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200002&lang=pt" 
"S1414-98932012000200003-scl","A competência social do Psicólogo: estudo com profissionais que atuam em instituções","Lima, Maria José, Cerveny, Ceneide Maria de Oliveira","Psicologia: Ciência e Profissão; 32(2); 284-303","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200003&lang=pt" 
"S1414-98932012000200004-scl","Avaliação dos trabalhadores acerca de um programa de qualidade de vida no trabalho: validação de escala e análise qualitativa","Andrade, Polyanna Peres, Veiga, Heila Magali da Silva","Psicologia: Ciência e Profissão; 32(2); 304-319","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200004&lang=pt" 
"S1414-98932012000200005-scl","Adolescência e sexualidade: um estudo exploratório em uma escola de Porto Velho - RO","Cedaro, José Juliano, Vilas Boas, Luana Michele da Silva, Martins, Renata Moreno","Psicologia: Ciência e Profissão; 32(2); 320-339","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200005&lang=pt" 
"S1414-98932012000200007-scl","Análise da escolha profissional: uma proposta fenomenológico-existencial","Feijoo, Ana Maria Lopez Calvo de, Magnan, Vanessa da Cunha","Psicologia: Ciência e Profissão; 32(2); 356-373","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200007&lang=pt" 
"S1414-98932012000200008-scl","Políticas públicas em saúde mental e trabalho: desafios políticos e epistemológicos","Nardi, Henrique Caetano, Ramminger, Tatiana","Psicologia: Ciência e Profissão; 32(2); 374-387","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200008&lang=pt" 
"S1414-98932012000200010-scl","O bem-estar no trabalho de Psicólogos em Serviços de Saúde Pública","Sousa, Alline Alves de, Coleta, Marilia Ferreira Dela","Psicologia: Ciência e Profissão; 32(2); 404-421","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200010&lang=pt" 
"S1414-98932012000200011-scl","Resolução da situação-problema e desfecho em histórias de crianças de 7 e 9 Anos","Rodrigues, Maria do Rosário de Fátima, Vilela, Fernanda Costa","Psicologia: Ciência e Profissão; 32(2); 422-437","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200011&lang=pt" 
"S1414-98932012000200013-scl","Problematizando as práticas psicológicas no modo de compreender o fenômeno assédio moral","Meurer, Bruna, Strey, Marlene Neves","Psicologia: Ciência e Profissão; 32(2); 452-471","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200013&lang=pt" 
"S1414-98932012000200015-scl","Psicologia Comunitária e a Saúde Pública: relato de experiência da prática Psi em uma Unidade de Saúde da Família","Amaral, Marília dos Santos, Gonçalves, Cristiane Holzschuh, Serpa, Monise Gomes","Psicologia: Ciência e Profissão; 32(2); 484-495","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200015&lang=pt" 
"S1414-98932012000200016-scl","Entrevistas devolutivas em pesquisa em avaliação Psicológica","Nunes, Maiana Farias Oliveira, Noronha, Ana Paula Porto, Ambiel, Rodolfo Augusto Matteo","Psicologia: Ciência e Profissão; 32(2); 496-505","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200016&lang=pt" 
"S1414-98932012000200017-scl","Grupo com agentes comunitárias: a construção de novas possibilidades do cuidar","Koda, Mirna Yamazato, Silva, Diego Vinícius da, Machado, Maria Aparecida dos Santos, Naldos, Sabrina Maria da Silva","Psicologia: Ciência e Profissão; 32(2); 506-515","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200017&lang=pt" 
"S1414-98932012000200018-scl","Programa de erradicação do trabalho infantil: ações extensionistas e protagonismo","Alberto, Maria de Fátima Pereira, Borges, Romanan Silva, Pessoa, Manuella Castelo Branco, Sousa, Juliana Mendes Lopes de, Araújo, Pedro Felipe Moura de, Vaz, Rodrigo de Oliveira Feitosa, Farias, Felipe Medeiros de, Mendes, Leonardo José de Alencar","Psicologia: Ciência e Profissão; 32(2); 516-531","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200018&lang=pt" 
"S1414-98932012000200009-scl","Análise profissiográfica e mapeamento de competências nas instituições de segurança pública","Faiad, Cristiane, Coelho Junior, Francisco Antonio, Caetano, Patrícia Fagundes, Albuquerque, Anelise Salazar","Psicologia: Ciência e Profissão; 32(2); 388-403","Psicologia: Ciência e Profissão","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932012000200009&lang=pt" 
"S0717-68482012000100010-chl","Otra ética para un nuevo mundo: El &quot;principio de responsabilidad&quot; de Hans Jonas en Mundo del fin del mundo (1994) de Luis Sepúlveda. Notas para una investigación ecocrítica","Araya Grandón, Juan Gabriel","Acta literaria; (44); 153-165","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100010&lang=pt" 
"S0717-68482012000100001-chl","Presentación","Zapata G, Juan","Acta literaria; (44); 5-7","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100001&lang=pt" 
"S0717-68482012000100003-chl","Digresión y subversión del género policial en Estrella distante de Roberto Bolaño","Oliver, María Paz","Acta literaria; (44); 35-51","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100003&lang=pt" 
"S0717-68482012000100004-chl","En busca de Klingsor de Jorge Volpi: Una novela con formato policial híbrido, posmoderno y poscolonial","Franken K, Clemens A","Acta literaria; (44); 53-72","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100004&lang=pt" 
"S0717-68482012000100005-chl","La escritura política de Michelle Cliff","Stecher, Lucía","Acta literaria; (44); 73-87","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100005&lang=pt" 
"S0717-68482012000100006-chl","Las im(posibilidades) de lo fantástico y de la &quot;inquietante extrañeza&quot; en la narrativa vanguardista de Felisberto Hernández y de Juan Emar","Rubio, Cecilia","Acta literaria; (44); 89-103","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100006&lang=pt" 
"S0717-68482012000100009-chl","Origen y límites del crítico en dos publicaciones periódicas literarias: El Renacimiento (México: 1869-1894) y El Nuevo Tiempo Literario (Colombia: 1903-1915, 1927-1929)","Bedoya Sánchez, Gustavo Adolfo","Acta literaria; (44); 135-151","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100009&lang=pt" 
"S0717-68482012000100011-chl","La construcción de la urbe y sus cuerpos","Morales Quant, Jaime","Acta literaria; (44); 167-173","Acta literaria","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-68482012000100011&lang=pt" 
"S0718-07642012000300001-chl","Selección de árbitros: un asunto ético","","Información tecnológica; 23(3); 1-1","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300001&lang=pt" 
"S0718-07642012000300002-chl","Caracterización del Patrón de Comportamiento de las Partículas en Suspensión en el Valle de México","Vázquez, Carlos, Beristain, Fernando, Audelo, Estela","Información tecnológica; 23(3); 3-10","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300002&lang=pt" 
"S0718-07642012000300003-chl","Evaluación de dos Modelos de Reducción de Escala en la Generación de Escenarios de Cambio Climático en el Valle de Mexicali en México","Camargo-Bravo, Adriana, García-Cueto, Rafael O","Información tecnológica; 23(3); 11-20","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300003&lang=pt" 
"S0718-07642012000300004-chl","Aplicación del Modelo de Bohart y Adams en la Remoción de Mercurio de Drenajes de Minería por Adsorción con Carbón Activado","Rojas, Hugo A, Guerrero, Diana C, Vásquez, Olga Y, Valencia, Jesús S","Información tecnológica; 23(3); 21-32","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300004&lang=pt" 
"S0718-07642012000300005-chl","Efecto de la Dispersión de Radiación sobre el Rendimiento Cuántico en la Degradación Fotocatalítica de Ácido Dicloroacético","Mesa, Jesús A, Machuca-Martínez, Fiderman, Mueses, Miguel A","Información tecnológica; 23(3); 33-42","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300005&lang=pt" 
"S0718-07642012000300006-chl","Modelo Matemático para Estimación de Eficiencias Fotónicas No-Intrínsecas en Reacciones Fotocatalíticas Heterogéneas","Mueses, Miguel A, Machuca-Martínez, Fiderman","Información tecnológica; 23(3); 43-50","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300006&lang=pt" 
"S0718-07642012000300007-chl","Reducción del Tiempo de Ciclo de Inyección de Termoplásticos con el uso de Moldes con Tratamiento Superficial por Nitruración","Corazza, Emerson J, Sacchelli, Carlos M, Marangoni, Cintia","Información tecnológica; 23(3); 51-58","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300007&lang=pt" 
"S0718-07642012000300008-chl","Envases de Cartón para Líquidos como Fuente de Fibra Secundaria","Turrado, José, Dávalos, Martha F, Fuentes, Francisco J, Saucedo, Alma R","Información tecnológica; 23(3); 59-66","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300008&lang=pt" 
"S0718-07642012000300009-chl","Cuantificación de Sapogeninas del Jugo Fresco y Fermentado de Fique (Furcraea gigantea) mediante Cromatografía Liquida de Alta Resolución (HPLC-PDA)","Benavides, Olga L, Arango, Oscar, Hurtado, Andrés M, Rojas, Myriam C","Información tecnológica; 23(3); 67-76","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300009&lang=pt" 
"S0718-07642012000300010-chl","Evaluación del Bioinsumo de Fique Pulverizado (Furcraea spp) para el Control in vitro de Phytophthora infestans en papa (Solanum tuberosum L)","Solarte, Ruben D, Osorio, Oswaldo, Hurtado, Andres M, Mejia, Diego F","Información tecnológica; 23(3); 77-86","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300010&lang=pt" 
"S0718-07642012000300011-chl","Nuevos Perfiles Genéticos de Salmonella Enteritidis identificados en Luján, Argentina","Anselmo, Ricardo J, Barrios, Hebe A","Información tecnológica; 23(3); 87-94","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300011&lang=pt" 
"S0718-07642012000300012-chl","Diseño de un Modelo 3D del Politécnico Colombiano Jaime Isaza Cadavid con Realidad Virtual","Mateus, Sandra P, Giraldo, Jorge E","Información tecnológica; 23(3); 95-102","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300012&lang=pt" 
"S0718-07642012000300013-chl","Modelo de un Personaje en un Entorno Virtual Inteligente","Mateus, Sandra P, Branch, John W","Información tecnológica; 23(3); 103-112","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300013&lang=pt" 
"S0718-07642012000300014-chl","Metodología para la Detección de Vulnerabilidades en Redes de Datos","Franco, David A, Perea, Jorge L, Puello, Plinio","Información tecnológica; 23(3); 113-120","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300014&lang=pt" 
"S0718-07642012000300015-chl","Mapas de Curvas Residuales para Procesos de Destilación Reactiva Multicomponente","Granados, Salvador, Díaz, Antonio F","Información tecnológica; 23(3); 121-128","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300015&lang=pt" 
"S0718-07642012000300016-chl","Sistemas de Aterramiento con la Utilización de Conductores y Barras Envueltos en Concreto","Kanashiro, Arnaldo G, Bezerra, Sergio R. C","Información tecnológica; 23(3); 129-136","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300016&lang=pt" 
"S0718-07642012000300017-chl","Modificaciones Hemodinámicas Asociadas a la Asimetría de Aneurismas de Aorta Abdominal y su Influencia en las Posibilidades de Ruptura","Nieto, Félix, Vilalta, Guillermo, Peréz, María Á, Lipsa, Laurentiu M","Información tecnológica; 23(3); 137-148","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300017&lang=pt" 
"S0718-07642012000300018-chl","Viscosidades de la mezcla n,n-Dimetilformamida + I-Butanol a Diferentes Temperaturas","Páez, Manuel S, Cantero, Plinio D, Peña, Juan F","Información tecnológica; 23(3); 149-156","Información tecnológica","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07642012000300018&lang=pt" 
"S0103-56652012000100004-scl","Direitos da criança e do adolescente: um debate necessário","Arantes, Esther Maria de Magalhães","Psicologia Clínica; 24(1); 45-56","Psicologia Clínica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-56652012000100004&lang=pt" 
