"S0034-70942010000500007-scl","Utilidade da ecocardiografia transeofageana durante hipotensão arterial grave em cirurgia não cardíaca","Schulmeyer, Cabrera, Farías, Jorge, Rajdl, Eduardo, Maza, Jaime de La, Labbé, Marcela","Revista Brasileira de Anestesiologia; 60(5); 513-521","Revista Brasileira de Anestesiologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942010000500007&lang=pt" 
"S1806-37132010000500021-scl","Novos valores de referência para pressões respiratórias máximas na população brasileira: correções","Cosa, Dirceu, Gonçalves, Helena Amaral, Lima, Luciana Peraro de, Ike, Daniela, Cancelliero, Karina Maria, Montebelo, Maria Imaculada de Lima","Jornal Brasileiro de Pneumologia; 36(5); 667-667","Jornal Brasileiro de Pneumologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132010000500021&lang=pt" 
"S1516-35982010001000005-scl","Variabilidade e herdabilidade de caracteres morfológicos em clones de capim-elefante na Zona da Mata de Pernambuco","Silva, Antônio Luiz Cordeiro da, Santos, Mércia Virginia Ferreira dos, Dubeux Júnior, José Carlos Batista, Lira, Mario de Andrade, Ferreira, Rinaldo Luiz Caraciolo, Freitas, Erinaldo Viana de, Cunha, Márcio Vieira da, Silva, Maria da Conceição","Revista Brasileira de Zootecnia; 39(10); 2132-2140","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000005&lang=pt" 
"S1516-35982010001000010-scl","Efeito do número da passagem e do gênero das células doadoras de núcleo no desenvolvimento de bovinos produzidos por transferência nuclear","Merighe, Giovana Krempel Fonseca, Miranda, Moysés dos Santos, Bem, Tiago Henrique Câmara de, Watanabe, Yeda Fumie, Meirelles, Flávio Vieira","Revista Brasileira de Zootecnia; 39(10); 2166-2173","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000010&lang=pt" 
"S1516-35982010001000012-scl","Calving sub-season and reproductive efficiency of beef cows","Reinher, Cristiane, Barcellos, Júlio Otávio Jardim, Peripolli, Vanessa, Prates, Ênio Rosa, Canozzi, Maria Eugênia Andrighetto","Revista Brasileira de Zootecnia; 39(10); 2182-2186","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000012&lang=pt" 
"S1516-35982010001000019-scl","Avaliação de complexo enzimático e betaína natural em rações para frangos de corte criados em aviário comercial","Pereira, Patrícia Watanabe Zanin, Menten, José Fernando Machado, Racanicci, Aline Mondini Calil, Traldi, Ana Beatriz, Silva, Cynthia Siqueira, Rizzo, Pricila Vetrano","Revista Brasileira de Zootecnia; 39(10); 2230-2236","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000019&lang=pt" 
"S1516-35982010001000021-scl","Desempenho e qualidade dos ovos de poedeiras comerciais alimentadas com rações contendo diferentes níveis de metionina e lisina","Silva, Mayra Fernanda Rizzo, Faria, Douglas Emygdio de, Rizzoli, Paula Wick, Santos, Andréa Luciana dos, Sakamoto, Márcia Izumi, Souza, Henrique Rosa Baltazar de","Revista Brasileira de Zootecnia; 39(10); 2246-2252","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000021&lang=pt" 
"S1516-35982010001000024-scl","Artificial induction of lactation in cattle","Freitas, Priscila Ribeiro Corradi, Coelho, Sandra Gesteira, Rabelo, Euler, Lana, Ângela Maria Quintão, Artunduaga, Maria Alexandra Torres, Saturnino, Helton Mattana","Revista Brasileira de Zootecnia; 39(10); 2268-2272","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000024&lang=pt" 
"S1516-35982010001000030-scl","Efeito da transformação do ninho manual modelo holandês em mecânico na postura de ovos de cama em matrizes de frangos de corte","Pilotto, Fernando, Ribeiro, Andréa Machado Leal, Cargnelutti Filho, Alberto, Klein, Vilson Antonio","Revista Brasileira de Zootecnia; 39(10); 2310-2314","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000030&lang=pt" 
"S1413-81232010000800016-spa","As normas de radioproteção e o uso dos equipamentos de proteção individual na concepção dos cirurgiões-dentistas","Santos, Ricardo Andrade, Miranda, Antônio Carlos de, Silva, Edna da Costa","Ciência &amp; Saúde Coletiva; 15(); 3125-3127","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800016&lang=pt" 
"S1413-81232010000800005-spa","(Re)conhecendo o território escolar e mapeando o sentido do ser-jovem: contribuições dos programas e projetos intersetoriais para superação das vulnerabilidades do escolar","Moll, Jaqueline, Rabelo, Marta Klumb Oliveira","Ciência &amp; Saúde Coletiva; 15(); 3023-3025","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800005&lang=pt" 
"S1413-81232010000800003-spa","Pesquisa Nacional de Saúde do Escolar: da academia para a sociedade","Hallal, Pedro Curi","Ciência &amp; Saúde Coletiva; 15(); 3020-3021","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800003&lang=pt" 
"S1413-81232010000800006-spa","Reflexões sobre a Pesquisa Nacional de Saúde do Escolar","","Ciência &amp; Saúde Coletiva; 15(); 3025-3026","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800006&lang=pt" 
"S1413-81232010000800001-spa","Pesquisa Nacional de Saúde do Escolar (PeNSE)","Penna, Gerson","Ciência &amp; Saúde Coletiva; 15(); 3006-3006","Ciência &amp; Saúde Coletiva","Inglês, Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800001&lang=pt" 
"S1413-81232010000800032-spa","Prevalência de mordida aberta anterior e protrusão dentária em pré-escolares da cidade do Recife (PE, Brasil)","Granville-Garcia, Ana Flávia, Ferreira, Jainara Maria Soares, Menezes, Valdenice Aparecida de","Ciência &amp; Saúde Coletiva; 15(); 3265-3270","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800032&lang=pt" 
"S1413-81232010000800030-spa","Avaliação da incidência de cárie em pacientes com síndrome de Down após sua inserção em um programa preventivo","Castilho, Aline Rogéria Freire de, Marta, Sara Nader","Ciência &amp; Saúde Coletiva; 15(); 3249-3253","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800030&lang=pt" 
"S1413-81232010000800029-spa","Perfil do cirurgião-dentista inserido na Estratégia de Saúde da Família em municípios do estado de Pernambuco, Brasil","Martelli, Petrônio José de Lima, Macedo, Cícera Lissandra Sá Vieira, Medeiros, Kátia Rejane de, Silva, Shirley Florêncio da, Cabral, Amanda Priscila de Santana, Pimentel, Fernando Castim, Monteiro, Ive da Silva","Ciência &amp; Saúde Coletiva; 15(); 3243-3248","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800029&lang=pt" 
"S1413-81232010000800028-spa","Prevalência de alterações da mucosa bucal em adolescentes brasileiros institucionalizados em dois centros de reeducação","Hipólito, Ramon Aluâne, Martins, Carlos Roberto","Ciência &amp; Saúde Coletiva; 15(); 3233-3242","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800028&lang=pt" 
"S1413-81232010000800025-spa","Práticas alimentares na gravidez: um estudo com gestantes e puérperas de um complexo de favelas do Rio de Janeiro (RJ, Brasil)","Baião, Mirian Ribeiro, Deslandes, Suely Ferreira","Ciência &amp; Saúde Coletiva; 15(); 3199-3206","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800025&lang=pt" 
"S1413-81232010000800024-spa","BabyCare: apoio à decisão na atenção primária materno-infantil com computadores de mão","Costa, Carmen Lúcia de Bartolo, Pinto, Vladimir Camelo, Cardoso, Orlando Lima, Baba, Marcelo Massakazu, Pisa, Ivan Torres, Palma, Domingos, Sigulem, Daniel","Ciência &amp; Saúde Coletiva; 15(); 3191-3198","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800024&lang=pt" 
"S1413-81232010000800023-spa","Gravidez após morte perinatal: sobre a relação da mãe com o bebê sobrevivente","Vidal, Manola","Ciência &amp; Saúde Coletiva; 15(); 3185-3190","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800023&lang=pt" 
"S1413-81232010000800022-spa","Prevalência de sobrepeso e obesidade e fatores associados em adolescentes na região centro-oeste do estado de São Paulo (SP, Brasil)","Sales-Peres, Sílvia Helena de Carvalho, Goya, Suzana, Sant&#039;Anna, Rute Moreira de Freitas, Silva, Henrique Mendes, Sales-Peres, André de Carvalho, Silva, Ricardo Pianta Rodrigues da, Lauris, José Roberto Pereira, Bastos, José Roberto de Magalhães","Ciência &amp; Saúde Coletiva; 15(); 3175-3184","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800022&lang=pt" 
"S1413-81232010000800021-spa","Estudo descritivo de quedas entre menores de 15 anos no município de Londrina (PR, Brasil)","Martins, Christine Baccarat de Godoy, Andrade, Selma Maffei de","Ciência &amp; Saúde Coletiva; 15(); 3167-3173","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800021&lang=pt" 
"S1413-81232010000800019-spa","Abortamento na adolescência: da vida à experiência do colo vazio - um estudo qualitativo","Vieira, Leila Maria, Goldberg, Tamara Beres Lederer, Saes, Sandra de Oliveira, Dória, Adriana Aparecida Bini","Ciência &amp; Saúde Coletiva; 15(); 3149-3156","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800019&lang=pt" 
"S1413-81232010000800018-spa","Qualidade da assistência materno-infantil em diferentes modelos de Atenção Primária","Caldeira, Antônio Prates, Oliveira, Rafael Morroni de, Rodrigues, Oreston Alves","Ciência &amp; Saúde Coletiva; 15(); 3139-3147","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800018&lang=pt" 
"S1413-81232010000800017-spa","Direito de acesso ao serviço de reprodução humana assistida: discussões bioéticas","Medeiros, Luciana Soares de, Verdi, Marta Inez Machado","Ciência &amp; Saúde Coletiva; 15(); 3129-3138","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800017&lang=pt" 
"S1413-81232010000800014-spa","Imagem corporal, estado nutricional e comportamento com relação ao peso entre adolescentes brasileiros","Castro, Inês Rugani Ribeiro de, Levy, Renata Bertazzi, Cardoso, Letícia de Oliveira, Passos, Michelle Delboni dos, Sardinha, Luciana Monteiro Vasconcelos, Tavares, Letícia Ferreira, Dutra, Sheila Potente, Martins, André","Ciência &amp; Saúde Coletiva; 15(); 3099-3108","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800014&lang=pt" 
"S1413-81232010000800013-spa","Consumo e comportamento alimentar entre adolescentes brasileiros: Pesquisa Nacional de Saúde do Escolar (PeNSE), 2009","Levy, Renata Bertazzi, Castro, Inês Rugani Ribeiro de, Cardoso, Letícia de Oliveira, Tavares, Letícia Ferreira, Sardinha, Luciana Monteiro Vasconcelos, Gomes, Fabio da Silva, Costa, André Wallace Nery da","Ciência &amp; Saúde Coletiva; 15(); 3085-3097","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800013&lang=pt" 
"S1413-81232010000800012-spa","Estado nutricional dos adolescentes e sua relação com variáveis sociodemográficas: Pesquisa Nacional de Saúde do Escolar (PeNSE), 2009","Araújo, Cora, Toral, Natacha, Silva, Ana Carolina Feldenheimer da, Velásquez-Melendez, Gustavo, Dias, Antonio José Ribeiro","Ciência &amp; Saúde Coletiva; 15(); 3077-3084","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800012&lang=pt" 
"S1413-81232010000800011-spa","Bullying in Brazilian schools: results from the National School-based Health Survey (PeNSE), 2009","Malta, Deborah Carvalho, Silva, Marta Angélica Iossi, Mello, Flavia Carvalho Malta de, Monteiro, Rosane Aparecida, Sardinha, Luciana Monteiro Vasconcelos, Crespo, Claudio, Carvalho, Mércia Gomes Oliveira de, Silva, Marta Maria Alves da, Porto, Denise Lopes","Ciência &amp; Saúde Coletiva; 15(); 3065-3076","Ciência &amp; Saúde Coletiva","Inglês","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800011&lang=pt" 
"S1413-81232010000800010-spa","Vivência de violência entre escolares brasileiros: resultados da Pesquisa Nacional de Saúde do Escolar (PeNSE)","Malta, Deborah Carvalho, Souza, Edinilsa Ramos de, Silva, Marta Maria Alves da, Silva, Carlos dos Santos, Andreazzi, Marco Antonio Ratzsch de, Crespo, Claudio, Mascarenhas, Márcio Dênis Medeiros, Porto, Denise Lopes, Figueroa, Alba Lucy Giraldo, Morais Neto, Otaliba Libânio de, Penna, Gerson de Oliveira","Ciência &amp; Saúde Coletiva; 15(); 3053-3063","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800010&lang=pt" 
"S1413-81232010000800009-spa","Fatores de risco para acidentes de transporte terrestre entre adolescentes no Brasil: Pesquisa Nacional de Saúde do Escolar (PeNSE)","Morais Neto, Otaliba Libânio de, Malta, Deborah Carvalho, Mascarenhas, Márcio Dênis Medeiros, Duarte, Elisabeth Carmen, Silva, Marta Maria Alves da, Oliveira, Klívia Brayner de, Lima, Cheila Marina, Porto, Denise Lopes","Ciência &amp; Saúde Coletiva; 15(); 3043-3052","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800009&lang=pt" 
"S1413-81232010000800008-spa","Prática de atividade física em adolescentes brasileiros","Hallal, Pedro Curi, Knuth, Alan Goularte, Cruz, Danielle Keylla Alencar, Mendes, Maria Isabel, Malta, Deborah Carvalho","Ciência &amp; Saúde Coletiva; 15(); 3035-3042","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800008&lang=pt" 
"S1413-81232010000800007-spa","Exposição ao tabagismo entre escolares no Brasil","Barreto, Sandhi Maria, Giatti, Luana, Casado, Leticia, Moura, Lenildo de, Crespo, Claudio, Malta, Deborah Carvalho","Ciência &amp; Saúde Coletiva; 15(); 3027-3034","Ciência &amp; Saúde Coletiva","Português","2010","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232010000800007&lang=pt" 
"S1516-35982010001000001-scl","Características limnológicas da coluna d&#039;água e dos efluentes de viveiros de criação de camarões-da-amazônia","Henry-Silva, Gustavo Gonzaga, Camargo, Antonio Fernando Monteiro, Pontes, Cibele Soares, Miyase, Leonardo Kazuya","Revista Brasileira de Zootecnia; 39(10); 2099-2107","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000001&lang=pt" 
"S1516-35982010001000002-scl","Características morfogênicas e estruturais do capim-marandu manejado sob pastejo intermitente com diferentes ofertas de forragem","Casagrande, Daniel Rume, Ruggieri, Ana Cláudia, Janusckiewicz, Estella Rosseto, Gomide, José Alberto, Reis, Ricardo Andrade, Valente, Andre Luis da Silva","Revista Brasileira de Zootecnia; 39(10); 2108-2115","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000002&lang=pt" 
"S1516-35982010001000003-scl","Características estruturais do pasto de capim-braquiária de acordo com a localização das fezes","Santos, Manoel Eduardo Rozalino, Fonseca, Dilermando Miranda da, Silva, Simone Pedro da, Carvalho, Victor Valério de, Pimentel, Roberson Machado, Albino, Ronan Lopes","Revista Brasileira de Zootecnia; 39(10); 2116-2124","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000003&lang=pt" 
"S1516-35982010001000006-scl","Morphogenetic and structural characteristics of andropogon grass submitted to different cutting heights","Sousa, Braulio Maia de Lana, Nascimento Júnior, Domicio do, Silva, Sila Carneiro da, Monteiro, Hélida Christhine de Freitas, Rodrigues, Carlindo Santos, Fonseca, Dilermando Miranda da, Silveira, Márcia Cristina Teixeira da, Sbrissia, André Fischer","Revista Brasileira de Zootecnia; 39(10); 2141-2147","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000006&lang=pt" 
"S1516-35982010001000007-scl","Consumo de matéria seca e desempenho de novilhas das raças Girolando e Guzerá sob suplementação na caatinga, na época chuvosa, em Pernambuco, Brasil","Santana, Daniel Fernando Ydoyaga, Lira, Mario de Andrade, Santos, Mércia Virginia Ferreira dos, Ferreira, Marcelo de Andrade, Santos, Djalma Cordeiro dos, Mello, Alexandre Carneiro Leão de, Dubeux Júnior, José Carlos Batista, Araujo, Gherman Garcia Leal de","Revista Brasileira de Zootecnia; 39(10); 2148-2154","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000007&lang=pt" 
"S1516-35982010001000008-scl","Estimation of variance components, genetic parameters and genetic trends for litter size of swines","Barbosa, Leandro, Lopes, Paulo Sávio, Regazzi, Adair José, Torres, Robledo de Almeida, Santana Júnior, Mário Luiz, Veroneze, Renata","Revista Brasileira de Zootecnia; 39(10); 2155-2159","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000008&lang=pt" 
"S1516-35982010001000009-scl","Curvas de lactação de quatro grupos genéticos de mestiças Holandês-Zebu","Glória, Joana Ribeiro da, Bergmann, José Aurélio Garcia, Quirino, Célia Raquel, Ruas, José Reinaldo Mendes, Matos, Carlos Rafael Araújo de, Pereira, Jonas Carlos Campos","Revista Brasileira de Zootecnia; 39(10); 2160-2165","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000009&lang=pt" 
"S1516-35982010001000011-scl","Detecção de locos de características quantitativas nos cromossomos 9, 10 e 11 de suínos","Pinto, Ana Paula Gomes, Lopes, Paulo Sávio, Lopes, Marcos Soares, Silva Filho, Miguel Inácio, Sousa, Katiene Régia Silva, Carneiro, Paulo Luiz Souza, Guimarães, Simone Eliza Facioni","Revista Brasileira de Zootecnia; 39(10); 2174-2181","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000011&lang=pt" 
"S1516-35982010001000013-scl","Adição de frutoligossacarídeo em dietas para leitões desmamados: desempenho, incidência de diarreia e metabolismo","Budiño, Fábio Enrique Lemos, Castro Júnior, Fernando Gomes de, Otsuk, Ivani Pozar","Revista Brasileira de Zootecnia; 39(10); 2187-2193","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001000013&lang=pt" 
